标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
恒阳骊都一期 3室1厅 东南,恒阳骊都一期 -罗浮广场,3室1厅 | 87.47平米 | 东南 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,55,"6,288元/平"
仁和春天国际花园 3室2厅 北,仁和春天国际花园 -金龙大道,3室2厅 | 90平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,83,"9,223元/平"
国际新城 4室2厅 南,国际新城 -罗浮广场,4室2厅 | 130.45平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,90,"6,900元/平"
西外宜居核 心区 邻西城中 央公园，环境优美，宜居家,天誉誉府 -莲花湖,3室2厅 | 96平米 | 东 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,70,"7,292元/平"
房子格局好，朝南，采光充足，视野好，光线好,仁和春天国际花园 -金龙大道,4室2厅 | 106平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,96,"9,057元/平"
低楼层户型方正通透安静宜居 便宜,恒阳骊都一期 -罗浮广场,2室1厅 | 76.82平米 | 北 | 精装 | 低楼层(共6层)  | 塔楼,1人关注 / 2个月以前发布,47,"6,119元/平"
熙河湾 2室1厅 西南,熙河湾 -金龙大道,2室1厅 | 61.32平米 | 西南 | 毛坯 | 高楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,26,"4,241元/平"
熙河湾 3室2厅 东南,熙河湾 -金龙大道,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共19层)  | 塔楼,37人关注 / 5个月以前发布,36,"3,303元/平"
西外凤凰大道花园优质小区，电梯房大套三。,西苑佳居 -罗浮广场,3室2厅 | 123平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,85,"6,911元/平"
州一豪庭 3室2厅 东南,州一豪庭 -金龙大道,3室2厅 | 83平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,4人关注 / 10个月以前发布,62,"7,470元/平"
大东街12楼带楼顶浇棚83.5平22万出售电梯可谈,大东街1号 -未知商圈,2室2厅 | 83.5平米 | 东 南 西 北 | 简装 | 高楼层(共12层)  | 暂无数据,0人关注 / 2个月以前发布,19.8,"2,372元/平"
罗浮商圈，精装修四房，户型方正，花园小区,紫荆苑 -罗浮广场,4室2厅 | 118平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 1个月以前发布,85,"7,204元/平"
单价5000西外国际新城精装四房双卫急售,国际新城 -罗浮广场,4室2厅 | 143.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,67,"4,663元/平"
文理学院里面的房子，读书方便，业主诚心出售！,学府雅苑 -莲花湖,3室2厅 | 136.88平米 | 东南 | 简装 | 中楼层(共22层)  | 板楼,5人关注 / 8个月以前发布,65,"4,749元/平"
彭家湾1楼/精装3房/带家具家电房/外院有40平,凤竹巷119号 -老车坝,3室2厅 | 69.7平米 | 东 南 西 北 | 精装 | 低楼层(共12层)  | 暂无数据,1人关注 / 1个月以前发布,21.98,"3,154元/平"
通锦·国际广场 3室1厅 东,通锦·国际广场 -罗浮广场,3室1厅 | 112平米 | 东 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,86,"7,679元/平"
交通局家属院 3室2厅 南 北,交通局家属院 -中心广场,3室2厅 | 80平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 5个月以前发布,31,"3,875元/平"
西外宜居区，城市公园，环境优美，宜居家,学府小区 -莲花湖,2室1厅 | 81.3平米 | 东南 | 其他 | 高楼层(共17层)  | 塔楼,2人关注 / 25天以前发布,40,"4,921元/平"
永红世嘉 1室1厅 东南 南,永红世嘉 -未知商圈,1室1厅 | 34平米 | 东南 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,21,"6,177元/平"
房龄新，电梯房，花园小区，视野好，。。。。。,仁和新村 -北客站,2室2厅 | 74平米 | 西南 | 精装 | 高楼层(共19层)  | 暂无数据,7人关注 / 6个月以前发布,48,"6,487元/平"
"城市坐标一室一厅出售,电梯房,位置好总价低",城市坐标 -三岔路口,1室1厅 | 35.7平米 | 东南 | 简装 | 中楼层(共15层)  | 板塔结合,19人关注 / 一年前发布,17,"4,762元/平"
小3房。精装修，税费满2年，看房方便,御景上城 -罗浮广场,3室2厅 | 85平米 | 东南 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,66.5,"7,824元/平"
金龙大道业主诚心出售.看房方便,万霖凤凰城 -莲花湖,2室2厅 | 70平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼,5人关注 / 1个月以前发布,64,"9,143元/平"
户型方正  端头户型 视野采光巴适,香榭国际 -金龙大道,2室2厅 | 82.08平米 | 东南 | 简装 | 中楼层(共30层)  | 塔楼,5人关注 / 一年前发布,52,"6,336元/平"
宏峰大厦 2室2厅 南,宏峰大厦 -中心广场,2室2厅 | 74平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,49,"6,622元/平"
清水房、可个性化设计和装修，提升居住体验。,江湾城一期 -江湾城,4室2厅 | 156.92平米 | 东 | 其他 | 低楼层(共12层)  | 塔楼,1人关注 / 2个月以前发布,86,"5,481元/平"
天灯巷2号 2室1厅 东南,天灯巷2号 -中心广场,2室1厅 | 54.95平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 31天以前发布,21,"3,822元/平"
棕榈岛精装四房双卫，拎包入住。,棕榈岛 -罗浮广场,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,25人关注 / 8个月以前发布,79.5,"6,360元/平"
三岔路口大3房，房东诚心出售，此房满五唯一，税费低,华泰小区 -三岔路口,3室2厅 | 116.56平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,34.8,"2,986元/平"
久昌鑫民苑 4室2厅 南,久昌鑫民苑 -未知商圈,4室2厅 | 140平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,42,"3,000元/平"
南外大三房双卫，房东急卖，价格好谈,中迪岚山郡 -未知商圈,3室2厅 | 93平米 | 东南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,65.2,"7,011元/平"
恒大·雍河湾 3室2厅 东南,恒大·雍河湾 -塔坨,3室2厅 | 102平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,88.8,"8,706元/平"
凤凰小区 2室2厅 南,凤凰小区 -中心广场,2室2厅 | 80平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,42,"5,250元/平"
银豊國際都市花园 3室1厅 西南,银豊國際都市花园 -中心广场,3室1厅 | 110平米 | 西南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,69.8,"6,346元/平"
金都景苑 3室1厅 东南,金都景苑 -万达路,3室1厅 | 96.87平米 | 东南 | 其他 | 中楼层(共24层)  | 平房,0人关注 / 2个月以前发布,58,"5,988元/平"
"滨河公园旁，花园小区。南北朝向,市内老城区",滨江风景 -老车坝,2室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 1个月以前发布,55,"5,340元/平"
万豪一品 3室2厅 东南,万豪一品 -罗浮广场,3室2厅 | 86.55平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 6个月以前发布,66.5,"7,684元/平"
市内六十一队防疫站里面，舒适步梯低楼层精装三房,通川北路96号 -老车坝,3室2厅 | 82平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,39.5,"4,818元/平"
南客站旁.临升华广场.精装套三双卫.户型方正.,御南苑 -南客站,3室2厅 | 111.88平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,56,"5,006元/平"
低楼层，采光好 户型方正 安静不吵 拎包入住,东升·教育花园 -南客站,3室2厅 | 95平米 | 东南 北 | 其他 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,46,"4,843元/平"
莲花湖好房点进来快看......,铁投·莲花府邸 -莲花湖,3室2厅 | 120.5平米 | 东 | 毛坯 | 中楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,86,"7,137元/平"
西晶御菁园 3室2厅 南,西晶御菁园 -罗浮广场,3室2厅 | 90.37平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,75,"8,300元/平"
满五唯一税费低，电梯房，带院停车，采光充足，,供销社 -未知商圈,3室2厅 | 86平米 | 东南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,37.5,"4,361元/平"
仙鹤路旁电梯套二电梯，房东急售,恒大品城 -三岔路口,2室1厅 | 60平米 | 东南 | 精装 | 低楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,36,"6,000元/平"
棕榈岛 2室1厅 东 东南,棕榈岛 -罗浮广场,2室1厅 | 83平米 | 东 东南 | 精装 | 高楼层(共25层)  | 塔楼,1人关注 / 1个月以前发布,58,"6,988元/平"
精品两房 改小三房  2梯4户,棕榈岛 -罗浮广场,2室2厅 | 86平米 | 东 | 精装 | 高楼层(共30层)  | 塔楼,9人关注 / 9个月以前发布,60.5,"7,035元/平"
西豪逸景 2室1厅 东南,西豪逸景 -金龙大道,2室1厅 | 83平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,4人关注 / 1个月以前发布,46,"5,543元/平"
南外大型花园小区 坐北朝南 中间楼层 业主诚心出售,一品南庭 -南客站,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,40.5,"7,364元/平"
恒阳骊都二期 2室1厅 东南,恒阳骊都二期 -罗浮广场,2室1厅 | 59.96平米 | 东南 | 简装 | 中楼层(共31层)  | 塔楼,4人关注 / 3个月以前发布,47,"7,839元/平"
誉府西苑叠拼别墅 带车位 前后花园,天誉誉府 -莲花湖,5室6厅 | 153平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,2人关注 / 3个月以前发布,160,"10,458元/平"
天地人和小区，可拎包入住，标准套二，满五不唯一,御景上城 -罗浮广场,2室2厅 | 84.7平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,65,"7,675元/平"
* 大精装三房，出行方便采光户型好,立根尚城 -南客站,3室2厅 | 130.67平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,85,"6,505元/平"
花园小区，精装三房双卫，配套齐全，交通方便,锦州国际三区 -三里坪,3室2厅 | 117平米 | 东 | 其他 | 低楼层(共8层)  | 板塔结合,0人关注 / 5天以前发布,59.8,"5,112元/平"
堰湾新区 3室2厅 东南 南,堰湾新区 -罗浮广场,3室2厅 | 115平米 | 东南 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,63,"5,479元/平"
中国农业发展银行家属院 3室2厅 东南,中国农业发展银行家属院 -万达路,3室2厅 | 133平米 | 东南 | 其他 | 高楼层(共15层)  | 板塔结合,0人关注 / 4天以前发布,54,"4,061元/平"
中国农业发展银行家属院 3室2厅 东南,中国农业发展银行家属院 -万达路,3室2厅 | 123平米 | 东南 | 其他 | 高楼层(共15层)  | 板塔结合,0人关注 / 4天以前发布,54,"4,391元/平"
西外繁华地段，3房双卫，房龄新，拎包入住,西华名苑 -西客站,3室2厅 | 99.6平米 | 东 | 其他 | 低楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,58,"5,824元/平"
花园小区精装修，价格实惠正2房,恒大品城 -三岔路口,1室1厅 | 58平米 | 东南 北 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 11天以前发布,37,"6,380元/平"
领域广场精装大三房，户型方正，采光通透,瑞东大厦 -万达路,3室2厅 | 95.34平米 | 西 | 其他 | 高楼层(共21层)  | 平房,0人关注 / 20天以前发布,44.5,"4,668元/平"
龍源锦苑 3室2厅 南 北,龍源锦苑 -三岔路口,3室2厅 | 116.64平米 | 南 北 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,55,"4,716元/平"
满五唯一住宅！配套成熟！视野充足,福源小区 -南客站,3室2厅 | 113平米 | 东南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 11天以前发布,46.6,"4,124元/平"
房子全新装修，随时看房，有钥匙，配套齐全，,广泽格凌西城项目部 -西客站,3室2厅 | 87平米 | 东南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 28天以前发布,61.88,"7,113元/平"
三里坪花园小区，少有河景房，业主精装修,锦州国际二区 -三里坪,3室2厅 | 113平米 | 东南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 8天以前发布,48.8,"4,319元/平"
南外南岸茗苑精装电梯三室两厅两卫河景房,南岸名苑 -三里坪,3室2厅 | 129平米 | 北 | 精装 | 高楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,72,"5,582元/平"
电梯房隔的七个单间 市内沃尔玛楼上 停车方便 位置好,滨江·名都城 -中心广场,6室1厅 | 115平米 | 东 东北 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 4天以前发布,86,"7,479元/平"
雍河湾 精装小套二 满五唯一税少 可按揭,恒大·雍河湾 -塔坨,2室1厅 | 63.61平米 | 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,53,"8,333元/平"
读书方便，繁华地段电梯，精装拎包入住,新西街48号 -万达路,4室2厅 | 106平米 | 东南 南 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 1个月以前发布,50,"4,717元/平"
花园小区，成熟地段，出行方便，有游泳池,锦州国际五区 -三里坪,3室2厅 | 117.78平米 | 东 东南 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 28天以前发布,82,"6,963元/平"
3000多买四房双卫三厅，交通方便，采光充足,万达路656号 -万达路,4室3厅 | 153平米 | 东南 | 简装 | 低楼层(共11层)  | 平房,0人关注 / 21天以前发布,53,"3,465元/平"
江湾城，清水现房，可个性化设计 视野开阔 户型正气。,江湾城澜岸 -江湾城,4室2厅 | 117平米 | 东南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 13天以前发布,81.8,"6,992元/平"
一品南庭 3室1厅 南,一品南庭 -南客站,3室1厅 | 97平米 | 南 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 16天以前发布,73.8,"7,609元/平"
精装正三房，采光通风俱佳，可拎包入住,花涧林 -三里坪,3室1厅 | 97平米 | 北 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 4天以前发布,75,"7,732元/平"
邦泰·天著 3室2厅 西,邦泰·天著 -莲花湖,3室2厅 | 79平米 | 西 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 8天以前发布,60,"7,595元/平"
澳莱·莲湖印象 3室1厅 南,澳莱·莲湖印象 -莲花湖,3室1厅 | 105平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 6天以前发布,92,"8,762元/平"
阳台大，采光充足，视野开阔，配套设施齐全,江湾城澜岸 -江湾城,4室2厅 | 116平米 | 南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 5天以前发布,85,"7,328元/平"
三里坪电梯正三房，花园小区，带停车场没配套设施齐全,龙座雅园 -三里坪,3室2厅 | 112.94平米 | 东南 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,66.5,"5,889元/平"
此房满2年大三房明厨明卫 电梯房  视野开阔,金兰小区 -罗浮广场,3室2厅 | 146.5平米 | 东南 | 其他 | 低楼层(共12层)  | 塔楼,0人关注 / 6天以前发布,78,"5,325元/平"
升华广场旁精装三房，户型方正采光巴适配套成熟,石化南苑 -南客站,3室1厅 | 78.5平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 1天以前发布,63.8,"8,128元/平"
户型方正，配套设施齐全，适合居住。房子精装修,恒大青年城 -三岔路口,4室2厅 | 120平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,78,"6,500元/平"
箭亭子街40号 3室2厅 东南 西南,箭亭子街40号 -中心广场,3室2厅 | 90平米 | 东南 西南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 3天以前发布,69.8,"7,756元/平"
工行家属院 3室2厅 东南,工行家属院 -未知商圈,3室2厅 | 85平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,38,"4,471元/平"
翠屏路电梯三房 精装修 位置好 总价格低,东城翠屏路社区 -未知商圈,3室2厅 | 84.35平米 | 东南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 6天以前发布,59,"6,995元/平"
地段好，电梯房，楼层适中，适合养老过渡……,龙脉·江南世家 -三里坪,3室1厅 | 108平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 1天以前发布,69.8,"6,463元/平"
位置好 美食街 离城市广场近···,桑树巷71号 -中心广场,3室2厅 | 74平米 | 东南 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,38,"5,136元/平"
恒阳骊都一期 3室2厅 东南,恒阳骊都一期 -罗浮广场,3室2厅 | 90平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 6天以前发布,64,"7,112元/平"
国际新城 3室1厅 东北,国际新城 -罗浮广场,3室1厅 | 134平米 | 东北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,65,"4,851元/平"
西外品质上叠别墅，电梯入户，坐北朝南，带三个露台用,天誉誉府 -莲花湖,5室2厅 | 160平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,11人关注 / 11个月以前发布,260,"16,250元/平"
天誉誉府 3室1厅 南,天誉誉府 -莲花湖,3室1厅 | 151平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,298,"19,736元/平"
南庭春天里 4室1厅 南,南庭春天里 -南客站,4室1厅 | 130平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 6天以前发布,78.8,"6,062元/平"
