标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
正弘，贾鲁河畔，边户，毛坯，总高11层，83%得房率,正弘澜庭叙A区 -北大学城,3室1厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,4人关注 / 2个月以前发布,215,"15,926元/平"
三环内精装双气大复式，顶楼带露台，采光充足视野开阔,思达大河春天B区 -绿茵广场,5室2厅 | 186.65平米 | 南 北 | 精装 | 6层  | 塔楼,32人关注 / 一年前发布,156,"8,358元/平"
大学路地铁口，万科精装修，品质小区,万科大都会天悦苑 -橄榄城,3室2厅 | 88.74平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,14人关注 / 3个月以前发布,98,"11,044元/平"
中方园西区  三环旁 大三房带露台 交通便利  配套齐全,中方园西区 -陈寨,3室2厅 | 122.33平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,114,"9,320元/平"
三环内，双气双卫  2006年 带大露  台 产权清晰，急卖,思达大河春天B区 -绿茵广场,3室2厅 | 120.02平米 | 南 | 简装 | 6层  | 板楼,12人关注 / 3个月以前发布,132,"10,999元/平"
三环内 低容率 双气人车分流 品质社区 环境好绿化高,中海锦苑 -省中医院,3室2厅 | 88.46平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 4个月以前发布,180,"20,349元/平"
永威品质，环境优美，户型合理，院内配有水系景观,永威枫香庭东院 -蓝钻商圈,3室1厅 | 87.49平米 | 南 西南 | 精装 | 低楼层(共31层)  | 板楼,2人关注 / 1个月以前发布,126,"14,402元/平"
万达旁三房  小高层中间楼层  采光充足  诚心出售,海悦华庭 -二七万达,3室2厅 | 89.17平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,17人关注 / 9个月以前发布,119,"13,346元/平"
2019年重新装修  双卫三房  户型方正  家具家电齐全,依云小镇 -邙山,3室2厅 | 129.84平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 4个月以前发布,110,"8,472元/平"
朝南全明户型，无抵押，次新小区，看房有钥匙,五建新街坊1号院 -热电厂,3室1厅 | 90.64平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,116.5,"12,854元/平"
双气精装 小三房，双名 e 都在，采光好， 通透,英地天骄华庭一期 -文博广场,3室2厅 | 88.58平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,16人关注 / 6个月以前发布,263,"29,691元/平"
地铁5号线 低总价 南北通户型，交通便利 配套齐全,二七区城建局家属院 -二七万达,3室2厅 | 97.46平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,65,"6,670元/平"
帝华上苑 南北通透格局 三室两厅 毛坯房 可随意装修,帝华上苑 -新郑城区,3室2厅 | 133.45平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 4个月以前发布,66.5,"4,984元/平"
立体世界 临河大四房 满五无贷 诚心出售,立体世界 -黄河南路,4室2厅 | 141.03平米 | 东 南 | 简装 | 高楼层(共17层)  | 塔楼,8人关注 / 一年前发布,318,"22,549元/平"
南北通透大三房，装修好，楼层适中,西雅图 -高新外国语,3室2厅 | 134.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,140,"10,404元/平"
精装修顶楼复式，南北通透，采光好,晖达新领地 -祭城,4室2厅 | 139.72平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,116人关注 / 一年前发布,215,"15,388元/平"
多层洋房一梯两户南北通透 房子精装修拎包入住,怡丰森林湖南区 -北大学城,4室2厅 | 153.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 6个月以前发布,172,"11,226元/平"
采光好精装双气，户型方正诚心出售有钥匙随时看房,祝福红城四期 -高新梧桐,3室2厅 | 123.14平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,138,"11,207元/平"
民航路地铁口 此房满五唯一 通透格局 视野开阔 采光足,名门世家 -燕庄,3室2厅 | 175.49平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,13人关注 / 一年前发布,275,"15,671元/平"
文博花园 中高楼层 满五不唯一 无抵押无贷款 产权干净,文博花园 -文博广场,3室2厅 | 113.8平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,29人关注 / 一年前发布,315,"27,681元/平"
单价8434 满五唯一 康桥品质洋房 全天采光好楼,康桥原溪里1号院 -南龙湖商圈,3室2厅 | 126.87平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 11个月以前发布,107,"8,434元/平"
房子装修整洁，南北通透采光好，中间楼层,东岸曦城 -白沙,3室2厅 | 108.22平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,73,"6,746元/平"
中间楼栋，中间楼层，精装双气 ，通透户型，诚信出售,中海锦苑 -省中医院,3室2厅 | 88.52平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,4人关注 / 4个月以前发布,180.5,"20,391元/平"
精装洋房 带阳光房 公摊小 得房率高,中森意墅蓝山 -荥阳城区,3室2厅 | 132.1平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,92,"6,965元/平"
亚星江南小镇一楼带院 户型方正全明户型 150平大院子,亚星江南小镇 -上街区,3室2厅 | 112.8平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,54人关注 / 5个月以前发布,55.8,"4,947元/平"
沙口路农业路，14年次新双气社区，温馨两居室，楼层佳,正商恒钻 -南阳路,3室1厅 | 88.45平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,31人关注 / 7个月以前发布,108,"12,211元/平"
小区环境优美，绿化好，业主诚心出售，交通便利，税费,绿地滨湖国际城七区 -万客来,3室2厅 | 86.35平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,28人关注 / 7个月以前发布,92,"10,655元/平"
关虎屯双气电梯大四房，交通便利，配套成熟，地段好,关虎屯小区 -花园路,4室2厅 | 160.63平米 | 南 | 简装 | 低楼层(共14层)  | 板塔结合,9人关注 / 4个月以前发布,130,"8,094元/平"
北三环 地铁口 精准双气 中间楼层 通透户型  诚心出售,天伦水晶城 -陈寨,2室2厅 | 92.77平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,97,"10,456元/平"
中州大道红专路 邻 CBD 中间楼层 南北通透 急售房源,金城西苑 -财富广场,3室2厅 | 104.71平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,104,"9,933元/平"
郑东新区七里河畔！一梯一户！四开间朝南！毛坯新房！,空管花园 -黄河南路,4室2厅 | 169.83平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 塔楼,5人关注 / 2个月以前发布,190,"11,188元/平"
工大家属院 满五唯一 南北通透 地铁口  急售,菁翠园 -高新梧桐,3室2厅 | 133.64平米 | 南 北 | 精装 | 5层  | 板楼,5人关注 / 7个月以前发布,169,"12,646元/平"
此房视觉广 格局好 通透户型 采光无遮挡 好楼层,绿都丹石街区 -南龙湖商圈,3室2厅 | 88.93平米 | 西南 | 精装 | 高楼层(共30层)  | 板楼,10人关注 / 8个月以前发布,61,"6,860元/平"
城东路陇海路。满五唯一，全款房，全明户型，拎包入住,杨庄街38号院 -凤凰路,3室2厅 | 109.24平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,24人关注 / 一年前发布,80,"7,324元/平"
东区 省府旁 黄河南路一号线地铁口一梯两户满五年,大地东方名都 -黄河南路,3室2厅 | 138.64平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,12人关注 / 5个月以前发布,249,"17,961元/平"
万达2梯2户大三房，2020年新装修拎包即住。,万达3号院 -二七万达,3室2厅 | 142.43平米 | 南 | 精装 | 33层  | 板塔结合,15人关注 / 5个月以前发布,245,"17,202元/平"
精装两房，郑西一中，地铁口，商隐公园,清华大溪地九号院 -荥阳城区,2室1厅 | 88.46平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,11人关注 / 4个月以前发布,53,"5,992元/平"
经典小三房，双气地暖业主诚心出售看房方便,建业运河上院 -邙山,3室2厅 | 86.9平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,89,"10,242元/平"
秦岭地铁口 双气3室精装未住 锦艺城商圈 采光足,金源第一城 -热电厂,3室1厅 | 100.02平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 2个月以前发布,130,"12,998元/平"
优质小三房，中间楼层，南边无遮挡，采光充足。,祝福红城一期 -高新梧桐,3室2厅 | 90.71平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,65人关注 / 5个月以前发布,89,"9,812元/平"
位置好，楼层好，采光无忧，业主诚心出售,东方港湾 -郑州东站,3室2厅 | 104.84平米 | 东 | 简装 | 高楼层(共26层)  | 板楼,10人关注 / 4个月以前发布,193,"18,410元/平"
正商公主湖洋房一楼带院带地下室,正商公主湖 -新郑城区,3室2厅 | 116.15平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,13人关注 / 6个月以前发布,111,"9,557元/平"
小高层社区，纯南向小三房，诚心出售，随时看房,荣邦城中区 -高新外国语,3室2厅 | 86.77平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,109,"12,562元/平"
新上建业金水花园， 好楼层， 业主诚心卖的，,金水花园东区 -未来大厦,4室2厅 | 178.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,20人关注 / 7个月以前发布,188,"10,521元/平"
朝南大三房，户型方正采光好，拎包入住房东心诚,恒大名都 -科技市场,3室2厅 | 140.1平米 | 南 | 精装 | 32层  | 板楼,2人关注 / 1个月以前发布,253,"18,059元/平"
房子户型好，楼层好，格局方正，诚心出售！,汇泉城一号院 -常西湖,3室2厅 | 88.4平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,12人关注 / 4个月以前发布,84,"9,503元/平"
普罗旺世罗曼维森东院 四室两厅厨两卫,普罗旺世罗曼维森东院 -普罗旺世,4室2厅 | 153.29平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,62人关注 / 8个月以前发布,255,"16,636元/平"
枫杨外国语旁   恒大品质  舒适3房  税费少,恒大翡翠华庭 -高新外国语,3室1厅 | 93.52平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 5个月以前发布,121,"12,939元/平"
南北通户型，全新毛坯，诚心出售，方便看房,汇泉城5号院 -常西湖,3室2厅 | 108.6平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,19人关注 / 7个月以前发布,100,"9,209元/平"
经二路丰产路 邮政单位家属院  中间楼层 带电梯,经二路北29号院 -财富广场,3室2厅 | 145.25平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,4人关注 / 3个月以前发布,158,"10,878元/平"
大学路地铁口，泰宏少有边户小三房，户型好视野好。,泰宏建业国际城11号院 -万客来,3室2厅 | 89.82平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,7人关注 / 3个月以前发布,106,"11,802元/平"
此房是电梯洋房，通透格局，有宽大的露台，采光充足。,正商公主湖 -新郑城区,5室2厅 | 179.73平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,100,"5,564元/平"
附9平卧室 南北通透 有地下室 双地铁 双气 视野好,美景鸿城二期 -阳光城,3室2厅 | 88.34平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 20天以前发布,128,"14,490元/平"
立体世界 满五年 楼层位置佳 随时看房 业主诚意出售,立体世界 -黄河南路,2室1厅 | 50.86平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 23天以前发布,110,"21,628元/平"
东户把边户，全新50万精装修未住过，地暖新风空调,龙之梦东苑 -北龙湖,3室2厅 | 119.98平米 | 南 北 | 精装 | 低楼层(共19层)  | 板塔结合,6人关注 / 23天以前发布,370,"30,839元/平"
金悦府 精装三房，满五年唯一，楼层好，业主诚意出售,华启金悦府 -郑州东站,3室2厅 | 133.81平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,320,"23,915元/平"
地铁口，下沉式花园，人车分流.内带运动场.品牌物业,正弘山 -通泰路,3室2厅 | 115.93平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 22天以前发布,187,"16,131元/平"
地铁4号线 丰庆路站 精装复式 南北通透 带露台,安泰文苑 -索凌路北段,4室2厅 | 180.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 24天以前发布,153,"8,461元/平"
20年新小区 加8平方 运河观景房 改善三米层高 中间层,亚星云水居 -万客来,3室2厅 | 102.16平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 31天以前发布,123,"12,040元/平"
地铁3号线旁 标准朝南三房 81%得房率 采光充足,升龙凤凰城D区 -东建材,3室2厅 | 94.02平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 16天以前发布,119,"12,657元/平"
"经三路方正通透四房,四阳台全明户型",绿洲银郡 -枣庄,4室2厅 | 170.87平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 16天以前发布,260,"15,217元/平"
中间楼层，视野开阔，小区绿化覆盖率高，居住舒适,橄榄城伍号院 -橄榄城,3室2厅 | 88.53平米 | 南 | 精装 | 26层  | 板塔结合,1人关注 / 18天以前发布,107.2,"12,109元/平"
康桥溪山御府，精装4房，经典户型双气诚售,康桥溪山御府 -电力新村,4室2厅 | 161.67平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,1人关注 / 26天以前发布,300,"18,557元/平"
市区小高层，一梯两户，舒适的居住体验,宝天花苑 -枣庄,3室2厅 | 149.34平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 24天以前发布,217,"14,531元/平"
聚源路86，地铁1-4号线，精装修一室，看房方便,鑫苑中央花园东区 -通泰路,1室0厅 | 49.32平米 | 北 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 17天以前发布,58,"11,760元/平"
金沙湖北区 前排湖景房 带入户花园 精装修 拎包入住,金沙湖高尔夫观邸二期 -金沙湖高尔夫观邸,2室1厅 | 89.23平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 10天以前发布,116,"13,001元/平"
河景房，金水区文化路主语城，有燃气，电梯一室随时看,安泰文苑 -索凌路北段,1室1厅 | 41.13平米 | 东南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 11天以前发布,33.5,"8,145元/平"
70年住宅 一梯一户 精装 农科路 客厅挑空6米 落地大窗,锦绣正弘国际公寓 -枣庄,5室3厅 | 283.4平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,90人关注 / 一年前发布,290,"10,233元/平"
航海路地铁口 复式精装修 带露台 满五唯一 诚心出售,格林度假山庄 -恒大绿洲,6室4厅 | 238.58平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,12人关注 / 4个月以前发布,221.5,"9,285元/平"
房子满五唯一，一楼复式带院子和车位,建业新天地桂园 -燕庄,6室3厅 | 425平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,32人关注 / 10个月以前发布,550,"12,942元/平"
金二环  公园旁    满五唯一,富田太阳城三期 -世纪欢乐园,1室0厅 | 41.2平米 | 西南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 9天以前发布,32.5,"7,889元/平"
精装大复式，280平方精装，有120平不在房本内,中央特区西苑 -郑州东站,5室3厅 | 172.06平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,645,"37,487元/平"
上街区亚星江南小镇三室二厅精装修电梯高层出售,亚星江南小镇 -上街区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,60,"5,715元/平"
小区环境好，配套齐全，户型好，交通便利,亚星江南小镇 -上街区,2室2厅 | 92.11平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 18天以前发布,36,"3,909元/平"
缔景天城精装修三房，户型 方正,缔景天城翠苑 -新郑城区,3室2厅 | 114.55平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 21天以前发布,72,"6,286元/平"
金水湾河景大三房，户型方正，诚心出售,锦艺金水湾观澜苑 -新北站,3室2厅 | 129.67平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 29天以前发布,180,"13,882元/平"
简单装修，价格实惠，采光好东边户，南北通风效果好房,领城公园1857 -南龙湖商圈,3室2厅 | 117.41平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 19天以前发布,83,"7,070元/平"
万科自住精装婚房 格局通透 业主转战它市 靠谱出售,万科城雅梅苑 -高新万科,3室1厅 | 89.01平米 | 西南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 15天以前发布,106,"11,909元/平"
和昌悦澜 3室2厅 南 东 北,和昌悦澜 -新北站,3室2厅 | 127.8平米 | 南 东 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 9天以前发布,206,"16,119元/平"
