标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
北启秀的好楼层，四室两厅，采光好，看的远,新城香溢紫郡 -唐闸,4室2厅 | 138.43平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,2人关注 / 6个月以前发布,190,"13,726元/平"
永旺旁 雅居乐四房 户型方正 产权车位 地铁口 诚心卖,南通雅居乐花园 -能达商务区,4室2厅 | 139.2平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,188,"13,506元/平"
诚心出售，楼栋位置佳，无大税，买入成本低,新城香溢紫郡 -唐闸,3室2厅 | 100.57平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,11人关注 / 4个月以前发布,145,"14,418元/平"
紧靠中创区，小三房  户型方正毛坯    随时看房,景瑞御府 -军山,3室1厅 | 92.91平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 7个月以前发布,153,"16,468元/平"
大四房，诚心出售价格公道中高层，满二过户随时看房！,中南熙悦(南通经济技术开发区) -能达商务区,4室2厅 | 133.79平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 5个月以前发布,210,"15,697元/平"
房东特诚心，三开间朝南，双阳台，满二,汇园 -能达商务区,3室2厅 | 111.15平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,13人关注 / 5个月以前发布,92,"8,278元/平"
招商央企，三开间朝南，两厅三房，双卫设计，地铁口,雍华府 -永兴,3室2厅 | 117.42平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,225,"19,162元/平"
竹韵花园 双阳台 标准3房 精装 拎包入住 满二无大税,竹韵花园 -能达商务区,3室2厅 | 128平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 2个月以前发布,123,"9,610元/平"
户型方正，小区配套成熟，出行方便，交通便利！,世茂新界 -能达商务区,3室2厅 | 125.47平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,178,"14,187元/平"
全新开发商精装修的房子，房东诚心出售,合景悦湖四季 -启东市,3室2厅 | 95平米 | 南 北 | 其他 | 18层  | 板塔结合,4人关注 / 8个月以前发布,178,"18,737元/平"
景瑞望府、满五唯一、精装大两房、采光刺眼,景瑞望府 -能达商务区,2室1厅 | 95.18平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,6人关注 / 3个月以前发布,137,"14,394元/平"
万科翡翠公园，精装洋房三房，采光好，户型好。,万科翡翠公园 -能达商务区,3室1厅 | 98.03平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,2人关注 / 1个月以前发布,195,"19,892元/平"
永旺东 富力半岛花园 精装三房 楼采光充足视野宽阔,富力半岛花园 -张芝山,3室2厅 | 109.97平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,111,"10,094元/平"
新装修，本来业主自住，现出售，看中价格好谈。,天熹苑 -金沙,3室1厅 | 77.56平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,2人关注 / 4个月以前发布,92.6,"11,940元/平"
南通雅居乐花园 3室1厅 南,南通雅居乐花园 -能达商务区,3室1厅 | 118.9平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,2人关注 / 1个月以前发布,159,"13,373元/平"
汇昌怡景湾 3室2厅 南,汇昌怡景湾 -海安县,3室2厅 | 136.13平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,179.9,"13,216元/平"
视野开阔采光好 配套齐全 格局方正,天香苑 -金沙,2室2厅 | 94.81平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,136,"14,345元/平"
华强城一期  满二  四房 有车位 房东诚心出售,华强城 -秦灶,4室2厅 | 156.87平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,285,"18,168元/平"
多层电梯房，孩子就读方便，低楼层采光无忧,铭鼎花苑 -启东市,2室1厅 | 85.16平米 | 南 | 精装 | 低楼层(共10层)  | 板塔结合,4人关注 / 9个月以前发布,162,"19,024元/平"
南山湖 万达旁 中间楼层 全天采光  看房方便,湖滨华庭 -金沙,3室2厅 | 91.04平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,1人关注 / 8个月以前发布,136.8,"15,027元/平"
此房在卖的，有需要的朋友多多推荐,恒大海上威尼斯 -启东市,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 2个月以前发布,80,"5,840元/平"
香溢紫郡，毛坯房，户型方正，业主诚意出售,新城香溢紫郡 -唐闸,3室2厅 | 98.61平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,4人关注 / 3个月以前发布,133,"13,488元/平"
此房老证，精装修，通透，格局好，视野开阔。采光好。,中洋现代城 -海安县,2室2厅 | 107.8平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,159.8,"14,824元/平"
精装！满2年！雅居乐花园99平，149.8万！,南通雅居乐花园 -能达商务区,3室2厅 | 99.47平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,11人关注 / 一年前发布,149.8,"15,060元/平"
业主诚心出售 好房子 好楼层  好房子不等人,苏建花园城 -城东,3室2厅 | 140.98平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 5个月以前发布,274,"19,436元/平"
房子楼层好，全新没住过，釆光充足视野开阔无遮挡,恒大海上威尼斯 -启东市,3室2厅 | 103.99平米 | 北 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 3个月以前发布,56.5,"5,434元/平"
紫琅胡旁中创里小三房精装修交付,中创大都会 -小海,3室1厅 | 98.77平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,170,"17,212元/平"
紧靠地铁口，永旺旁，大四房，楼层好，配套齐全。,南通雅居乐花园 -能达商务区,4室2厅 | 139.74平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 11个月以前发布,214,"15,315元/平"
壹号大院，前排有院子约40平。对/面是文峰广场,易家桥新村 -虹桥,2室1厅 | 88.6平米 | 东南 | 简装 | 5层  | 板楼,0人关注 / 2个月以前发布,148,"16,705元/平"
地铁口，公园旁精装修三房，带产权车位，诚心出售,翠园 -能达商务区,3室2厅 | 106.43平米 | 南 | 毛坯 | 29层  | 板塔结合,3人关注 / 3个月以前发布,173,"16,255元/平"
碧桂园天玺湾南区，通透格局，采光充足，视野开阔。,碧桂园天玺湾 -金沙,4室2厅 | 166.98平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 5个月以前发布,247,"14,793元/平"
户型方正精装修 看房随时诚意出售,佳期漫 -观音山,3室2厅 | 109.83平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,24人关注 / 一年前发布,229,"20,851元/平"
万科翡翠公园 满两年 带有地暖 不靠高架 中轴位置,万科翡翠公园 -能达商务区,4室1厅 | 136.07平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,4人关注 / 6个月以前发布,265,"19,476元/平"
地铁口，中海碧林湾，户型方正，开发商装修，有钥匙。,中海碧林湾 -唐闸,3室1厅 | 128.42平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 一年前发布,175,"13,628元/平"
中港城  精装修 有车位 诚心出售 随时看房  价格好谈,中港城 -永兴,3室2厅 | 88.92平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 4个月以前发布,155,"17,432元/平"
泰山公寓小区  4室2厅  小区环境 干净舒适  适合居住,泰山公寓 -金沙,4室2厅 | 145.04平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,106,"7,309元/平"
万科白鹭郡 大平层 万科物业 品质小区  加装地暖空调,万科白鹭郡 -唐闸,4室2厅 | 159.58平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,330,"20,680元/平"
户型方正，采光充足，交通便利，配套设施齐全,合景悦湖四季 -启东市,4室2厅 | 132.14平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 2个月以前发布,205.8,"15,575元/平"
房东诚心出售，中间楼层。户型好，采光无遮挡,万通城 -观音山,2室2厅 | 87.84平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,115,"13,092元/平"
金汇苑 中间楼层 朝阳车库20平 满五 业主诚心出售,金汇苑 -启东市,2室1厅 | 82.84平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9个月以前发布,114.8,"13,859元/平"
海景房，楼层好，视野宽阔，采光充足，配套设施齐全,恒大海上威尼斯 -启东市,2室1厅 | 88.57平米 | 北 | 精装 | 高楼层(共32层)  | 塔楼,4人关注 / 一年前发布,49,"5,533元/平"
海尚家园 精装修 110平 3阳台相连 诚心出售,海尚家园 -小海,3室2厅 | 109.68平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,128,"11,671元/平"
此房楼层好，视野宽阔，采光充足，出行方便 环境优美,水韵名居 -如东县,2室1厅 | 92.75平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,5人关注 / 5个月以前发布,103,"11,106元/平"
世伦名郡 前排独梯独户 包含品牌家具家电带空调新风,帝奥世伦名郡 -观音山,3室2厅 | 135.46平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,21人关注 / 4个月以前发布,265,"19,563元/平"
中港城满五唯一  楼层好 采光佳有一个车位 随时看房,中港城世家 -永兴,3室2厅 | 142.48平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,234,"16,424元/平"
金恒花苑电梯房出售，精装修设施齐全，可拎包入住,金恒花苑 -启东市,3室1厅 | 117.1平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,31人关注 / 6个月以前发布,129.8,"11,085元/平"
香溢紫郡*宽敞三房*采光视野好*房东诚心出售,新城香溢紫郡 -唐闸,3室2厅 | 116.57平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,160,"13,726元/平"
地铁口精装三房+中高楼层全天采光+视野好,新城香溢紫郡 -唐闸,3室1厅 | 88.99平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,146,"16,407元/平"
世濠花园 三房   房东诚心出售,世濠花园 -观音山,3室2厅 | 132.62平米 | 南 | 毛坯 | 11层  | 板楼,6人关注 / 1个月以前发布,153,"11,537元/平"
紫琅湖畔，品质小区，采光充足，精装交付，满2无大税,中创大都会 -小海,3室1厅 | 98.6平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,13人关注 / 一年前发布,160,"16,228元/平"
此房满二，南北通，精装修，交通便利，北大街地段。,万科公园里二期 -秦灶,3室2厅 | 119.95平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 一年前发布,238,"19,842元/平"
帝奥世伦名郡 大三房 好楼层看房随时,帝奥世伦名郡 -观音山,3室2厅 | 140.15平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,225,"16,055元/平"
中上楼层 两开间朝南 视野开阔,世茂公元 -能达商务区,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,5人关注 / 9个月以前发布,160.8,"13,744元/平"
全天采光，业主诚心出售，随时看房,华润悦锦湾 -秦灶,3室2厅 | 112.26平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,195,"17,371元/平"
此房满二唯一 毛坯房 中楼层 采光好 房东诚心出售,仁和景苑 -兴仁,3室1厅 | 113.78平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,130,"11,426元/平"
景瑞御府93平三房视野好低总价有车位诚心出售看房方便,景瑞御府 -军山,3室1厅 | 92.91平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,31人关注 / 一年前发布,139.8,"15,047元/平"
雍华府，中上楼层，开发商精装修，业主诚意出售,雍华府 -永兴,3室1厅 | 114.33平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 8个月以前发布,192.8,"16,864元/平"
地铁口，全天采光，精装修，随时可签,中港翡翠城 -能达商务区,3室1厅 | 90.11平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 1个月以前发布,150,"16,647元/平"
雅居乐大三房，127平，193万房东诚心出售，看房子钥匙,南通雅居乐花园 -能达商务区,3室2厅 | 127.11平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,7人关注 / 8个月以前发布,178,"14,004元/平"
四期的房子  三朝阳   采光充足   视野开阔,恒大海上威尼斯 -启东市,3室2厅 | 97.02平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,60,"6,185元/平"
香溢三房双卫好户型 视野好 满两年，精装修拎包入住,新城香溢紫郡 -唐闸,3室1厅 | 101.28平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,10人关注 / 一年前发布,143.8,"14,199元/平"
小区环境优雅，楼层好，婚房装修，配套齐全,城市花苑 -启东市,3室2厅 | 114.89平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 8个月以前发布,163,"14,188元/平"
中海碧林湾 3室2厅 南,中海碧林湾 -唐闸,3室2厅 | 108.35平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,4人关注 / 1个月以前发布,159,"14,675元/平"
中华园红房子，满二无大税，买一层加一层，精装修,中华园 -三厂,3室1厅 | 113.97平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,65,"5,704元/平"
佳期漫洋房  西边户 精装修 带地下室110平+花园70平,佳期漫 -观音山,3室2厅 | 220平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,76人关注 / 一年前发布,308,"14,000元/平"
紧靠永旺、地铁口，全天采光 阳光四溢,南通雅居乐花园 -能达商务区,3室2厅 | 98.73平米 | 东 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,147,"14,890元/平"
佳期漫 洋房 3室2厅2卫 精装修 诚心出售 满二年,佳期漫 -观音山,3室2厅 | 107.52平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,20人关注 / 一年前发布,249,"23,159元/平"
诚售 金郊好房 户型佳 采光好 楼层好 精装拎包即住,金桥花园 -金沙,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 2个月以前发布,115,"10,551元/平"
此房满二，采光刺眼，全新精装，家具家电全留,和融•优山美地名邸 -能达商务区,3室2厅 | 117.05平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 1个月以前发布,168,"14,353元/平"
滨江丽都桥语三房 总高11层洋房 带储藏室有车位,滨江丽都桥语 -苏通,3室2厅 | 102.33平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,4人关注 / 4个月以前发布,82,"8,014元/平"
业主急售，精装两房，海景房，适合养老婚房,恒大海上威尼斯 -启东市,2室2厅 | 61.11平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,15人关注 / 一年前发布,36,"5,892元/平"
东风新村  三室一厅  毛坯  位置佳,东风新村 -海门,3室1厅 | 72.58平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 7个月以前发布,129,"17,774元/平"
中港翡翠城精装修三房，满2年，看房方便,中港翡翠城 -能达商务区,3室1厅 | 89.88平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,7人关注 / 4个月以前发布,136,"15,132元/平"
景观房，长江 狼山尽收眼底，可满二,景瑞御府 -军山,3室2厅 | 92.91平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,15人关注 / 一年前发布,148,"15,930元/平"
永旺东精装三房 配套齐全 拎包入住,富力半岛花园 -张芝山,3室2厅 | 109.97平米 | 南 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,106,"9,639元/平"
精装修拎包入住，价格可以谈，有车位，,世茂新界 -能达商务区,3室2厅 | 87.15平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 6个月以前发布,150,"17,212元/平"
龙湖物业 精装修 1梯1户 业主诚心出 价格可谈,春风南岸西园 -能达商务区,3室2厅 | 123.64平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,7人关注 / 2个月以前发布,190,"15,368元/平"
南山湖畔，万达育才旁，精装修好房,碧桂园天玺湾 -金沙,3室2厅 | 135.85平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,7人关注 / 8个月以前发布,191,"14,060元/平"
花城三期 前排无遮挡视野开阔  房东诚心随时看房,中南世纪花城三期 -新城,3室2厅 | 99.87平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 5个月以前发布,209.8,"21,008元/平"
房东诚心出售，精装修的楼层适中，三房户型,新城香溢紫郡 -唐闸,3室2厅 | 96.98平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 1个月以前发布,140.65,"14,503元/平"
世濠花园4-2-1-2 132.60m² 218 万,世濠花园 -观音山,4室2厅 | 132.6平米 | 南 | 毛坯 | 11层  | 板楼,6人关注 / 8个月以前发布,159,"11,991元/平"
星湖天地113平3室毛坯湖景房老证带车位,星湖天地 -海安县,3室2厅 | 112.78平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,111.8,"9,914元/平"
