标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
远大二期紫金 1梯1户 阔气开间 前后大阳台 舒适安静,远大美域 -唐家湾镇,4室1厅 | 251.8平米 | 南 北 | 精装 | 7层  | 板塔结合,0人关注 / 4天以前发布,490,"19,460元/平"
平沙住宅 大四房 带单车房 有大平台,金龙花园 -平沙镇,4室2厅 | 121.05平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,1人关注 / 19天以前发布,87,"7,188元/平"
湖心路品质小区 业主诚心出售 精装大两房 双阳台,世荣名筑 -白藤头,2室2厅 | 82平米 | 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,110,"13,415元/平"
格局方正，满5年毛坯，双阳台，业主诚心出售,华发水岸二期 -南屏,3室2厅 | 116平米 | 南 | 毛坯 | 18层  | 塔楼,0人关注 / 16天以前发布,230,"19,828元/平"
近关口　首付低　精装一房　刚需必选 看房有钥匙,泰来花园 -拱北,1室0厅 | 35.53平米 | 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 22天以前发布,59,"16,606元/平"
近华发商都，1房装修漂亮，业主诚心出售,蓝溪枫景 -南屏,1室0厅 | 30.8平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,1人关注 / 30天以前发布,58,"18,832元/平"
红旗中 心位置 东方润园 精装修*屋定制家具,东方润园 -红旗镇,4室2厅 | 116.63平米 | 西北 | 精装 | 中楼层(共18层)  | 板楼,11人关注 / 一年前发布,159,"13,633元/平"
美湖湾 湖心路 新小区 实用三房 生活配套齐,美湖湾 -白藤头,4室2厅 | 99平米 | 西南 东北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,147,"14,849元/平"
江湾西一苑  实  中  有单车房  楼层好,江湾西一苑 -井岸镇,4室1厅 | 112.75平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,3人关注 / 24天以前发布,79,"7,007元/平"
海景看淇澳岛  实用大四房，南北对流  一梯两户,华发蔚蓝堡 -唐家湾镇,4室2厅 | 152.87平米 | 南 北 | 精装 | 18层  | 板楼,2人关注 / 22天以前发布,380,"24,858元/平"
海怡湾畔电梯房，单边位南北通格局，急售235万,海怡湾畔 -唐家湾镇,3室1厅 | 129.09平米 | 南 北 | 精装 | 9层  | 板塔结合,2人关注 / 29天以前发布,230,"17,818元/平"
世荣作品一号 精装朝南两房 采光通风好,世荣作品壹号 -井岸镇,2室2厅 | 78平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 30天以前发布,107,"13,718元/平"
三灶 电梯高层  东南朝向  交通方便  配套齐,华云大厦 -三灶镇,3室2厅 | 106.15平米 | 东南 | 简装 | 中楼层(共22层)  | 板塔结合,1人关注 / 23天以前发布,85,"8,008元/平"
华发商都3房 中高楼层，双阳台 价格便宜 业主诚心出售,华发新城一期 -南湾,3室2厅 | 127.07平米 | 北 南 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 30天以前发布,293,"23,059元/平"
华发世纪城 3房 中间楼层 视野开阔 无遮挡,华发世纪城四期 -南湾,3室2厅 | 89.07平米 | 北 | 精装 | 32层  | 板塔结合,1人关注 / 17天以前发布,255,"28,630元/平"
此房保养很好 看房方便 采光通透  按揭舒适 诚心出售,西海岸花园 -平沙镇,3室1厅 | 75平米 | 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,69,"9,200元/平"
前山 梅花豪庭 正规3房 朝南 装修好 业主稳定 满 5,梅花豪庭 -前山,3室2厅 | 94.63平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 16天以前发布,178,"18,811元/平"
兰埔夏逸庭院低总价两房诚意出售,夏逸庭院 -兰埔,2室2厅 | 71.28平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 8天以前发布,150,"21,044元/平"
此房满五年，格局方正，采光充足 户型不错的2房,金域廊院 -兰埔,2室2厅 | 79.31平米 | 北 东北 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 8天以前发布,208,"26,227元/平"
双凤凰格局方正，采光通风好，南向东边卫可看香山湖。,清能思源府 -新香洲,3室2厅 | 88.8平米 | 东南 | 精装 | 高楼层(共20层)  | 塔楼,3人关注 / 14天以前发布,375,"42,230元/平"
翠湖苑一期 精装带平台 满五广东省就一套 采光好,翠湖苑 -井岸镇,3室2厅 | 133.03平米 | 西 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 15天以前发布,150,"11,276元/平"
泰宝新村 南北向 双阳台 保养好 通风采光好 急售！,泰宝新村 -三灶镇,3室2厅 | 84平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,45.9,"5,465元/平"
小区大，晚上活动区域充足 2.格局方正 南北对流,富华广场北区 -新香洲,3室1厅 | 103.28平米 | 东 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 12天以前发布,210,"20,334元/平"
房子户型方正实用，楼层好一梯两户。,银晖新邨 -三灶镇,4室2厅 | 121.6平米 | 南 | 精装 | 低楼层(共8层)  | 平房,0人关注 / 28天以前发布,96,"7,895元/平"
怡景豪庭 新4房未住 quan屋定制衣柜 各付税 业主急卖,怡景豪庭 -航空新城,4室2厅 | 131.67平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 30天以前发布,245,"18,608元/平"
珠海大桥桥头堡小区 房子次新保养好 空置随时可看,世荣名筑 -白藤头,2室2厅 | 87.7平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 19天以前发布,110.7,"12,623元/平"
华发国际海岸·揽澳郡 3室2厅 南,华发国际海岸·揽澳郡 -湾仔,3室2厅 | 98.97平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,326,"32,940元/平"
房子新精装修 楼层好 格局方正，面积实用，采光好,百合花园 -夏湾,3室2厅 | 86.71平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 4个月以前发布,206,"23,758元/平"
红旗，精装两房可直接入住，低总价,金银花园 -红旗镇,2室1厅 | 63.17平米 | 西南 | 精装 | 高楼层(共7层)  | 暂无数据,16人关注 / 8个月以前发布,44.5,"7,045元/平"
丽景湾花园住宅，高楼层复式，多一层。,丽景湾花园 -老香洲,4室2厅 | 117.8平米 | 东南 西北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 5个月以前发布,183,"15,535元/平"
此房格局方正，楼层高，通风采光不错，景观也不错,华发国际海岸·新澳郡 -湾仔,3室2厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,15人关注 / 10个月以前发布,272,"30,562元/平"
金海桥头堡 天庆晋海岸 佳兴大厦 高层 实用三房急卖,佳兴大厦 -三灶镇,3室2厅 | 109.4平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,6人关注 / 一年前发布,94,"8,593元/平"
金湾区 航空新城 高档小区 南 北 视野好,金地格林春晓二三期 -航空新城,4室2厅 | 126.67平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,190,"15,000元/平"
宁海世纪城1期3-1-1-2 105.10m² 118 万,宁海世纪城1期 -白蕉镇,3室1厅 | 105.1平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,7人关注 / 10个月以前发布,83,"7,898元/平"
家和成二期精装三房159万 电梯高层 景观优美。,家和城二期 -白藤头,3室2厅 | 97.93平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,159,"16,237元/平"
业主诚心出售 中低楼层 南北通 三房 有带独立单车房,香宁一街 -柠溪,3室2厅 | 69.8平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,120,"17,192元/平"
富红苑3房2厅2卫2阳台，，新装修未住过，,富红苑 -红旗镇,3室2厅 | 103.91平米 | 西南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,98,"9,432元/平"
此房是商品房 地理位置好 房子空间大 舒适,恒裕尚都 -老香洲,3室2厅 | 119.56平米 | 东 | 精装 | 低楼层(共28层)  | 板塔结合,4人关注 / 3个月以前发布,275,"23,002元/平"
楼层好，生活配套成熟好，采光好,富红苑 -红旗镇,3室2厅 | 102.22平米 | 北 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,88,"8,609元/平"
岭秀城园林小区靓装舒适三房有钥匙，急卖,正邦岭秀城 -拱北,3室2厅 | 121.64平米 | 西北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,312,"25,650元/平"
湖心路段 诚丰新园 房子保养好 中间楼层 看房方便,诚丰新园 -白藤头,3室2厅 | 97.97平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,126,"12,862元/平"
华发蔚蓝堡 南北对流 视野开阔,华发蔚蓝堡 -唐家湾镇,4室1厅 | 152.87平米 | 南 北 | 精装 | 18层  | 板楼,2人关注 / 4个月以前发布,360,"23,550元/平"
格局方正，精装两房保养很好   看房方便,时代香海彼岸 -白藤头,2室1厅 | 74.72平米 | 东 | 精装 | 低楼层(共25层)  | 板塔结合,2人关注 / 1个月以前发布,106,"14,187元/平"
房子是东南户型的两居室，格局方正采光好，配套完善,富豪花园(金湾区) -红旗镇,2室2厅 | 75.04平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 3个月以前发布,70,"9,329元/平"
白藤头，步梯中层3房，格局方正，价格低，看房方便,富豪花园(金湾区) -红旗镇,3室2厅 | 91.22平米 | 东南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,79,"8,661元/平"
龙洲湾花园 中间楼层 满五年 看海景,龙洲湾花园 -吉大,3室1厅 | 141.96平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 31天以前发布,355,"25,008元/平"
业主诚心出售，户型方正，采光好，小区配套完善,保利海上五月花2期 -唐家湾镇,3室2厅 | 130.54平米 | 南 | 精装 | 29层  | 板塔结合,251人关注 / 一年前发布,390,"29,876元/平"
又一城二期 高层毛坯三房 坐北朝南,华发又一城二期 -井岸镇,3室2厅 | 99.15平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,25人关注 / 一年前发布,119,"12,003元/平"
2014次新格力广场三期南北通大三房 180高.级装修 满五,格力广场三期 -吉大,3室2厅 | 162.9平米 | 南 | 精装 | 中楼层(共37层)  | 板楼,0人关注 / 1个月以前发布,520,"31,922元/平"
湖心大型小区精装修4房双阳台南北通新房没住过随时看,时代香海彼岸 -白藤头,4室2厅 | 122.4平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,5人关注 / 7个月以前发布,176,"14,380元/平"
井岸老城区，满五少税， 有阳台， 带天台,江湾西一苑 -井岸镇,2室2厅 | 87.17平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,51,"5,851元/平"
格局方正，楼层高，视野好，*,华发峰尚 -白蕉镇,2室2厅 | 60.2平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,35人关注 / 一年前发布,67.8,"11,263元/平"
金海大桥横琴后花园，德威日光海岸花园，精装次新房,德威海湾御园 -三灶镇,4室2厅 | 94.93平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,16人关注 / 一年前发布,136,"14,327元/平"
房子是标准大三房，采光明亮，通风透气,世荣碧水岸 -井岸镇,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,134,"11,167元/平"
标准四房 南北通透 诚意出售 未住,仁恒滨海半岛三期 -唐家湾镇,4室2厅 | 143.81平米 | 南 北 | 精装 | 34层  | 板塔结合,28人关注 / 一年前发布,450,"31,292元/平"
井岸老城区，毛山里，看尖峰山，南向三房,毛山里 -井岸镇,3室2厅 | 91.25平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,42,"4,603元/平"
品质小区，成熟配套，*新没住过，一线河景，视野无边,金地格林泊乐一期 -白蕉镇,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共34层)  | 板楼,130人关注 / 一年前发布,97,"10,899元/平"
格力海岸 一线*海景 *新4房未住过 钥匙在手 急售,格力海岸 -唐家湾镇,4室2厅 | 161.84平米 | 南 | 精装 | 32层  | 板塔结合,33人关注 / 一年前发布,488,"30,154元/平"
吉大中电巴士站 近吉莲市场 住家装修,东方顺景 -吉大,1室1厅 | 49.47平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 18天以前发布,90,"18,193元/平"
华发新城精致小两房  南向出阳台  诚心出售  笋,华发新城一期 -南湾,2室2厅 | 74.65平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 14天以前发布,180,"24,113元/平"
华发水岸一期  精装修两房 保养好  看房方便,华发水岸一期 -南屏,2室1厅 | 74.4平米 | 东南 南 | 精装 | 18层  | 板楼,0人关注 / 11天以前发布,150,"20,162元/平"
户型方正，使用率高，楼层好，业主诚心出售。,万科城市中心 -上冲,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,246,"27,641元/平"
柠溪文化广场 精装南向3房 不靠马路 客厅出阳台笋盘,翠竹新村 -柠溪,3室2厅 | 81.5平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 2天以前发布,153,"18,774元/平"
斗门区 湖心路 世荣名筑精装三房 拎 包 入 住,世荣名筑 -白藤头,3室2厅 | 100.02平米 | 西南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 3天以前发布,125,"12,498元/平"
和华国际公寓 1室0厅 南,和华国际公寓 -拱北,1室0厅 | 44平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 8天以前发布,90,"20,455元/平"
三灶繁华地段 简单装修 朝南大三房 业主诚心出售,映月路 -三灶镇,3室2厅 | 98.37平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,73,"7,421元/平"
京华假日湾B区实用三房 钥匙在手 随时看房,京华假日湾B区 -平沙镇,3室2厅 | 88.78平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,92,"10,363元/平"
招商花园城二期高层3房2卫，朝南采光通风好.,招商花园城二期 -前山,3室2厅 | 86.38平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,7人关注 / 6个月以前发布,295,"34,152元/平"
五洲康城 南向3房 中间楼层 不靠马路,五洲康城 -上冲,3室2厅 | 84.84平米 | 东 南 | 简装 | 中楼层(共11层)  | 板塔结合,21人关注 / 4个月以前发布,235,"27,700元/平"
翠湖香山玉兰苑  精装三房  景观好 业主诚心出售,翠湖香山玉兰苑 -唐家湾镇,3室2厅 | 90.29平米 | 东南 南 | 精装 | 32层  | 板塔结合,7人关注 / 一年前发布,255,"28,243元/平"
华发峰景湾精装电梯3房2厅2卫 对澳门看濠江 看房方便,华发峰景湾 -湾仔,3室2厅 | 100.39平米 | 东南 | 精装 | 低楼层(共38层)  | 塔楼,1人关注 / 7个月以前发布,319,"31,777元/平"
朝南户型，视野开阔，采光充足，交通便利,鸿雅花园 -三灶镇,3室2厅 | 111.42平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,108,"9,694元/平"
方正户型  通风采光好 景观好,康和花园 -南湾,3室2厅 | 91.14平米 | 南 | 精装 | 11层  | 板塔结合,0人关注 / 1个月以前发布,239,"26,224元/平"
唐家湾高尔夫景翠湖香山玉兰苑急 售268万带家私满五,翠湖香山玉兰苑 -唐家湾镇,3室1厅 | 101平米 | 东南 | 精装 | 32层  | 板塔结合,28人关注 / 6个月以前发布,268,"26,535元/平"
湾仔口岸 作物路30号 小区安静 3房2厅2卫,作物路30号 -湾仔,3室2厅 | 97.83平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,158,"16,151元/平"
前山河景的大3房，格局方正保养好，基本随时入住。,荣泰河庭C区 -前山,3室2厅 | 104.92平米 | 西北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,266,"25,353元/平"
房屋周正，宜居小区，交通便利，宜居人群广。,连湾花园 -南水镇,3室2厅 | 88.49平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,8人关注 / 7个月以前发布,55,"6,216元/平"
大三房  南北通透  楼层高 采光通风  视野开阔,世荣碧水岸 -井岸镇,3室2厅 | 124.94平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,4人关注 / 5个月以前发布,130,"10,405元/平"
新上美丽湾 单价不到2万 海景无遮挡 带保姆房 满五年,美丽湾 -唐家湾镇,4室2厅 | 177.14平米 | 东南 | 简装 | 16层  | 塔楼,4人关注 / 2个月以前发布,285,"16,089元/平"
241万，业主急售，南向小区中间，随时可看房。,万科城市中心 -上冲,3室2厅 | 89.33平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,241,"26,979元/平"
一楼花园房，诚心出售，纵享生活,珠海新世界海滨花园 -三灶镇,2室2厅 | 82.54平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,4人关注 / 3个月以前发布,82,"9,935元/平"
此房满二 中楼层  业主诚心出售,华发城建未来荟 -上冲,2室2厅 | 64.28平米 | 东北 | 精装 | 低楼层(共37层)  | 板塔结合,18人关注 / 一年前发布,148,"23,025元/平"
房子户型方正，看房方便，采光通风好，业主诚心出售。,棕榈四季 -上冲,3室1厅 | 92.83平米 | 东 东南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,242,"26,070元/平"
