标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
清水三房出售，诚心卖随时可以看房，户型方正,翰城1981二期 -姚桥,3室2厅 | 94平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,65,"6,915元/平"
正黄六起满2清水房出售，随时看房,翡翠云庭 -姚桥,4室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 6天以前发布,110,"8,594元/平"
精装修套三双卫，位置好采光视野好，拎包入住,拓海第一江岸1期 -姚桥,3室2厅 | 108.53平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 8天以前发布,110,"10,136元/平"
大兴品质楼盘清水三房诚售，随时看房无抵押,西网江湾城 -大兴,3室2厅 | 107.88平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2天以前发布,73,"6,767元/平"
太雅坊 3室2厅 南,太雅坊 -康藏路区域,3室2厅 | 95.5平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 4天以前发布,57,"5,969元/平"
江岸精装修，正对中庭，小区环境好,拓海第一江岸1期 -姚桥,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,108,"9,231元/平"
大套三带空调，拎包入住户型方正采光好,拓海第一江岸1期 -姚桥,3室2厅 | 116平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 1天以前发布,96,"8,276元/平"
此房楼层好，视野宽阔，采光充足，房东带车位,金科天宸雅郡 -大兴,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 1天以前发布,78,"7,429元/平"
花香里大套四，带车位一个，楼层好视野开阔,众成花香里 -名山区,4室2厅 | 136平米 | 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4天以前发布,90,"6,618元/平"
金科天宸雅郡套三双卫，精装修，拎包入住,金科天宸雅郡 -大兴,3室1厅 | 97平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 1天以前发布,75,"7,732元/平"
四季名城 3室2厅 东南,四季名城 -名山区,3室2厅 | 115平米 | 东南 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 4天以前发布,70,"6,087元/平"
青衣雅苑套二采光好，户型方正，房间大,青衣雅苑 -姚桥,2室2厅 | 94平米 | 东南 | 简装 | 中楼层(共27层)  | 塔楼,0人关注 / 9天以前发布,59,"6,277元/平"
领地一期 小高层 三室两厅  读书方便,领地.凯旋帝景1期B1 -姚桥,3室2厅 | 83平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,57,"6,868元/平"
姚桥 新装修 3室2厅 98平 恒信上海城 居家自住,恒信上海城 -姚桥,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,85,"8,674元/平"
雅东丽都 精装套三 业主诚心出售,雅东丽都一期 -姚桥,3室2厅 | 90.96平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,50,"5,497元/平"
新城区 带大花园 交通便利 看房方便,七彩雅安 -名山区,3室2厅 | 110平米 | 东 | 毛坯 | 低楼层(共5层)  | 暂无数据,0人关注 / 16天以前发布,55,"5,000元/平"
金科天宸雅郡.套3双卫.配套成熟,金科天宸雅郡 -大兴,3室2厅 | 96平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 19天以前发布,62,"6,459元/平"
四季名城俩室俩厅交通便利 小区环境干净舒适 适合居住,四季名城 -名山区,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,0人关注 / 1个月以前发布,85,"7,392元/平"
太雅芳经典套三，楼顶有额外搭 建十多个平方,太雅坊 -康藏路区域,3室1厅 | 85.67平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 15天以前发布,55,"6,420元/平"
十里原湾2期 产权108平 套三双卫 满2年,十里原湾 -上坝区域,3室2厅 | 108平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,88.88,"8,230元/平"
雅东丽都1期，套4双卫，简装、120平,雅东丽都一期 -姚桥,4室2厅 | 119.82平米 | 东南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,68,"5,676元/平"
金科一期 套三双卫大阳台 带车位出售,金科天宸雅苑 -大兴,3室2厅 | 97.54平米 | 西北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 11天以前发布,103,"10,560元/平"
伯爵公馆 精装套三 满二无高税 房东诚心出售,伯爵公馆 -名山区,3室2厅 | 82.32平米 | 东 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,62,"7,532元/平"
户型方正，居住方便舒适2公里内 生活配套齐全,翡翠云庭 -姚桥,3室2厅 | 111平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 8个月以前发布,78,"7,028元/平"
彩虹名居套三双卫带车位出售，出行方便！,彩虹名居 -名山区,3室2厅 | 110.2平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,71.6,"6,498元/平"
业主费心精装9.9成准新房一梯两户拎包入住带车位满二,凯悦天地 -大兴,3室2厅 | 137.39平米 | 西北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 11天以前发布,160,"11,646元/平"
东安明珠 朝南户型 视野巴适 价格巴适,东安明珠A区 -三雅园,3室2厅 | 130.85平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,2人关注 / 5个月以前发布,72,"5,503元/平"
先锋小区套二，带屋顶花园，免费停车。,先锋小区 -姚桥,2室1厅 | 91平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,45,"4,946元/平"
伯爵公馆精装套三 城 中 心位置 环境好 楼龄新,伯爵公馆 -名山区,3室2厅 | 85.53平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,64,"7,483元/平"
房子 地段好，楼层也巴适   位于大兴雅中门口,花间集 -大兴,2室1厅 | 78平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 29天以前发布,52,"6,667元/平"
满五精装房源 户型方正 采光好 配套完善 交通便利,幸福家园 -上坝区域,3室2厅 | 127平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,55.88,"4,400元/平"
正黄五期房清水套三双卫急售，前后通透，房东出售,正黄金域名座 -姚桥,3室2厅 | 97.69平米 | 东南 | 毛坯 | 高楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,65,"6,654元/平"
老城区市医院旁边电梯房套三双尾,领地天澜 -城后区域,3室2厅 | 126平米 | 南 西北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,74.6,"5,921元/平"
套四户型，四小旁读书方便，此价带电梯口车位出售,翰城1981二期 -姚桥,4室4厅 | 122.17平米 | 东北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,91,"7,449元/平"
交通便利、小区环境干净舒适、视野宽阔,西网江湾城 -大兴,3室2厅 | 98平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,654元/平"
大兴现房 高品质楼盘 精装空房 业主诚心出售,蘭台府一期 -大兴,2室2厅 | 113平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 28天以前发布,84.6,"7,487元/平"
房东装修基本没住过，可以直接拎包入住，采光，视野好,金科天宸雅郡 -大兴,3室2厅 | 97平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 19天以前发布,79.9,"8,238元/平"
正黄金域华府 3室2厅 交通便利 小区环境干净舒适,正黄金域华府 -大兴,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 19天以前发布,75,"8,721元/平"
东科原山墅 下叠别墅 房东诚心出售,东科原山墅 -名山区,4室2厅 | 178平米 | 南 | 毛坯 | 低楼层(共4层)  | 板楼,0人关注 / 31天以前发布,90,"5,057元/平"
观江府一梯两户洋房带500平私家平台 随时看,观江府 -大兴,3室2厅 | 101.79平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 25天以前发布,125,"12,281元/平"
大兴桥头，一梯两户洋房，品质大盘，可以实地看房,西网江湾城 -大兴,4室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 19天以前发布,124,"8,494元/平"
精装修套三双卫，配套齐全，带车位，拎包入住,四季名城 -名山区,3室2厅 | 120平米 | 东南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 18天以前发布,83.8,"6,984元/平"
电梯直接入户，总高8层小洋房，得房率高,观江府 -大兴,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 19天以前发布,80,"7,921元/平"
江岸三期，套三双卫，清水可自己随心装修,拓海第一江岸3期 -姚桥,3室2厅 | 102平米 | 东 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 19天以前发布,74.5,"7,304元/平"
118平一梯两户洋房95万   带车位,蘭台府3期 -大兴,4室2厅 | 118.29平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,95,"8,032元/平"
品质洋房一梯两户，交通便捷，户型通透,蘭台府3期 -大兴,4室2厅 | 118.29平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,102,"8,623元/平"
视野开阔，中高楼层，视野采光好，,观江府 -大兴,3室2厅 | 88平米 | 东南 | 毛坯 | 高楼层(共15层)  | 塔楼,0人关注 / 18天以前发布,62,"7,046元/平"
万达附 近精装套二凤凰楼层 自住出住  巴适的选择,先锋小区 -姚桥,2室2厅 | 85.08平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,46,"5,407元/平"
金科二期    套三单卫    楼层好  采光充足,金科天宸雅郡 -大兴,3室2厅 | 88平米 | 东南 | 毛坯 | 低楼层(共21层)  | 板塔结合,1人关注 / 4个月以前发布,58,"6,591元/平"
姚桥精装小套三 房东急售 装修九九新,锦城时代小区 -三雅园,3室1厅 | 96.5平米 | 西南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 27天以前发布,65,"6,736元/平"
润联美家居 凤凰层 俯视整个草坝  房东血亏10W急售,润联美家居小区 -草坝,3室2厅 | 110.63平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,159元/平"
拎包入住，随时可住，下班随时可看.......,假日广场 -东城区域,3室2厅 | 173平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,118,"6,821元/平"
套三双卫保养好拎包入住视野巴适,正黄金域首府二期 -姚桥,3室2厅 | 105平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,107,"10,191元/平"
火车站旁，翡翠云庭套三双卫，户型方正，视野开阔，采,翡翠云庭 -姚桥,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 28天以前发布,95,"8,716元/平"
套四户型，房间大，得房率高，正对小区中庭安静舒适,金樾澜岸 -大兴,4室2厅 | 115.98平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,64.5,"5,562元/平"
花香首府俩室俩厅交通便利小区环境干净舒适 适合居住,花香首府 -名山区,2室2厅 | 77平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,65,"8,442元/平"
房屋精装修带车位全屋带空调带地暖,御景雅苑 -三雅园,4室2厅 | 121.8平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,95,"7,800元/平"
装修套三双卫诚心卖，随时可看房，满五年,恒信上海城 -姚桥,3室2厅 | 100.56平米 | 东南 | 精装 | 低楼层(共33层)  | 平房,0人关注 / 22天以前发布,76.8,"7,638元/平"
恒信上海城 2室2厅 南,恒信上海城 -姚桥,2室2厅 | 91平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 29天以前发布,83,"9,121元/平"
第 江岸套三双卫 中间楼层 精装9成新  看房方便,拓海第一江岸1期 -姚桥,3室2厅 | 103平米 | 东 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 19天以前发布,89.9,"8,729元/平"
四季名城精装大套四，房东诚心出售,四季名城 -名山区,4室2厅 | 140平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 18天以前发布,110,"7,858元/平"
业主诚心出售凯悦准新房小区小区环境干净舒适,凯悦天地 -大兴,4室2厅 | 125平米 | 西北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,90,"7,200元/平"
房东急售 翡翠云庭 3-2-1-2 95.00m² 60 万,翡翠云庭 -姚桥,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 18天以前发布,60,"6,316元/平"
恒信精装套三，楼层好，保养新~,恒信上海城 -姚桥,3室2厅 | 100.56平米 | 东 | 精装 | 低楼层(共33层)  | 平房,0人关注 / 25天以前发布,90,"8,950元/平"
正黄江景房 套四双卫 户型方正 满二年 税费低,正黄金域首府二期 -姚桥,4室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,106,"8,480元/平"
清水套三 东南朝向  视野开阔 户型方正 巴适,拓海第一江岸1期 -姚桥,3室2厅 | 108平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 21天以前发布,80,"7,408元/平"
姚桥片区高档小区.套三双卫.房东诚心出售.,恒信上海城 -姚桥,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,65,"7,304元/平"
春天小区100平大套二，精装修拎包入住,名城御景 -名山区,3室2厅 | 129.4平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,73,"5,642元/平"
十里原湾房东自住精心装修带车位，现诚心出售拎包入住,十里原湾 -上坝区域,3室2厅 | 116平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 30天以前发布,145,"12,500元/平"
老城中   心，118平套三39.8W，生活方便,南大街36号 -名山区,3室1厅 | 118平米 | 东 | 简装 | 低楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,41.8,"3,543元/平"
江岸一期，五室两厅双卫，小区环境优美，,拓海第一江岸1期 -姚桥,5室2厅 | 77平米 | 南 | 简装 | 高楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,115,"14,936元/平"
老城区he心地段 产权136平无公摊面积 南北朝向保养好,下溪沟巷6号 -东城区域,3室2厅 | 136.28平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,036元/平"
凯悦天地.套三单卫.诚心出售.价格可议,凯悦天地 -大兴,3室2厅 | 91平米 | 东南 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 19天以前发布,65,"7,143元/平"
大兴核.心地段 户型方正无浪费，采光通透视野开阔,金科天宸雅郡 -大兴,3室3厅 | 96.94平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,70,"7,221元/平"
诚心出售洋房套四出行方便，户型方正，居住方便舒适,金科天宸雅郡 -大兴,4室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 19天以前发布,115,"9,275元/平"
姚桥核 心地段大套二出售，直接拎包入住,恒信上海城 -姚桥,2室2厅 | 86平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,74.5,"8,663元/平"
金科天宸雅郡 3室2厅 东南,金科天宸雅郡 -大兴,3室2厅 | 91.58平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,77.8,"8,496元/平"
金科天宸雅郡.洋房.套4双卫.看房方便,金科天宸雅郡 -大兴,4室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 19天以前发布,105,"8,400元/平"
此房满五唯一，离菜市近，地段好，,新东街302号 -名山区,3室1厅 | 83平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,30,"3,615元/平"
地理位置好，繁华地段，精装套三，拎包入住,经典阳光家园 -姚桥,3室1厅 | 93.5平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 19天以前发布,65,"6,952元/平"
凯悦精装套四，高楼层视野采光通风效果好，拎包入住,凯悦天地 -大兴,4室2厅 | 125平米 | 西南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,120,"9,600元/平"
新桥旁，临河大套三，带家具家电 拎包入住,名邸 -名山区,3室2厅 | 132平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 21天以前发布,82,"6,213元/平"
翰城1981一期 3室2厅 小区环境干净舒适 适合居住,翰城1981一期 -姚桥,3室2厅 | 97.93平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 19天以前发布,70,"7,148元/平"
大兴核.心地段 户型方正无浪费，采光通透，楼层好,正黄金域华府 -大兴,3室2厅 | 95.54平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 19天以前发布,63,"6,595元/平"
6层高小洋楼，此房位于5层，全款无抵押，满五唯一,滨江奥斯卡 -草坝,3室1厅 | 110平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,50,"4,546元/平"
太雅坊 3室2厅 南,太雅坊 -康藏路区域,3室2厅 | 95.8平米 | 南 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 15天以前发布,57,"5,950元/平"
金科天宸雅郡 3室2厅 交通便利 小区环境干净舒适,金科天宸雅郡 -大兴,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 19天以前发布,65,"6,702元/平"
