标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
阳光水岸，全新精装3房，好楼层，采光很好，诚心出,阳光水岸花园 -富康路商圈,3室2厅 | 138.48平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,154,"11,121元/平"
现代化装修风格，好楼层，有车库,盐南三区A -永基广场商圈,3室2厅 | 81.23平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 15天以前发布,78,"9,603元/平"
此房源朝南户型，视野宽阔，采光充足，配套实施完善,恒大名都 -麦德龙商圈,2室1厅 | 96平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 8天以前发布,99,"10,313元/平"
诚心出售  伯乐嘉园东区 精装 中上楼层  采光好,伯乐嘉园东区 -富康路商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 16天以前发布,148,"12,334元/平"
港湾明珠南苑  精装修小三室 价格美丽  诚心出售,港湾明珠 -张庄商圈,3室2厅 | 95.02平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,94.8,"9,977元/平"
城南 中午万锦公馆 精装三房 看房方便,中海万锦公馆 -中南商圈,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 12天以前发布,140,"12,728元/平"
总价低 精装小三房 满五唯一 拎包即住 有车库,领秀嘉园 -中南商圈,3室2厅 | 98.99平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,1人关注 / 1个月以前发布,129.8,"13,113元/平"
中南瑞城 满五唯一，精装二房，采光好，诚心出售,中南世纪城瑞城 -中南商圈,2室2厅 | 87.87平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 5个月以前发布,119.8,"13,634元/平"
聚龙湖畔 凤凰汇熙园 精装 三房 阳光无遮挡,凤凰汇熙园 -聚龙湖商圈,3室2厅 | 113.92平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,22人关注 / 7个月以前发布,186,"16,328元/平"
房东置换，诚心出售，看房很方便，装修清爽。,领秀嘉园 -中南商圈,3室1厅 | 98.87平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,118,"11,935元/平"
城南聚龙湖商圈恒荣世家顶楼复式5房精装，拎包入住,恒荣世家 -聚龙湖商圈,4室2厅 | 193.94平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,6人关注 / 1个月以前发布,199,"10,261元/平"
农贸小区3-2-1-1 126.52m² 135万、楼层好、采光好,农贸小区 -聚龙湖商圈,3室2厅 | 126.52平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,132,"10,434元/平"
高铁站，高成金水湾  106平 精装修 94.8万,高成金水湾 -五星车站商圈,3室2厅 | 106.42平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,92.8,"8,721元/平"
环境好，采光充足，配套设施完善，交通便利,奥莱福邸 -白马商圈,3室2厅 | 99.8平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 15天以前发布,105,"10,522元/平"
帝逸国际3房精装修，拎包入住省时省心，诚心出售,帝逸国际(东台市) -东台市,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 13天以前发布,129.8,"9,985元/平"
房满两年 业主自主装修 精装 诚心出售 看房方便,中环紫郡 -聚龙湖商圈,3室2厅 | 130.05平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,3人关注 / 7个月以前发布,199.8,"15,364元/平"
南苑小区南排采光好满五唯一急售,南苑小区(亭湖区) -缤纷亚洲商圈,3室2厅 | 94.26平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,162,"17,187元/平"
依云香溪精装三房楼层好采光好总价低,依云香溪 -麦德龙商圈,3室1厅 | 92.49平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,1人关注 / 2个月以前发布,91,"9,839元/平"
恒大名都公寓民水民电新楼栋边户朝东一室一厅,恒大名都 -麦德龙商圈,1室1厅 | 33.16平米 | 东 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 2个月以前发布,25,"7,540元/平"
香城世家洋房带车库车位小区环境舒适，,香城世家 -麦德龙商圈,3室2厅 | 122.39平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,199.9,"16,334元/平"
碧桂园  好楼层  精装修  房东诚信出售,东台碧桂园 -东台市,3室2厅 | 97.28平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,16人关注 / 一年前发布,85.8,"8,820元/平"
香城世家品质小高层 三房 房东诚心出售 看房方便,香城世家 -麦德龙商圈,3室2厅 | 112.7平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,144,"12,778元/平"
香城世家，洋房洋房洋房.品质小区.,香城世家 -麦德龙商圈,4室2厅 | 135.5平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,8人关注 / 6个月以前发布,209,"15,425元/平"
精选好房，三室两厅，采光也是很不错的,创元金域花苑 -麦德龙商圈,3室2厅 | 137.49平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,7人关注 / 一年前发布,185,"13,456元/平"
城南 品质小区 香苑东园 诚心出售,香苑东园 -中南商圈,3室2厅 | 140.8平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板塔结合,4人关注 / 2个月以前发布,186.8,"13,268元/平"
小区比较楼栋比较少居住安静 业主诚心卖,金色蓝庭 -聚龙湖商圈,2室2厅 | 90.94平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,106,"11,657元/平"
城西南吾悦和府润园毛坯125平，采光好，诚心出售,吾悦和府润园 -崇礼路商圈,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,140,"11,200元/平"
碧桂园二期，精装大四房，楼层佳，房东诚心出售,碧桂园二期 -麦德龙商圈,4室2厅 | 142.72平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,178,"12,472元/平"
万泰时代城华府3-2-1-1 123.47m²仅售 149.8万,万泰时代城华府 -招商场商圈,3室2厅 | 123.47平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,138.5,"11,218元/平"
香城世家三房 ，品质小区，中上楼层，采光好.,香城世家 -麦德龙商圈,3室2厅 | 96.34平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,123.6,"12,830元/平"
清华学仕园精装3室 103平 105 万 拎包即住 包含车库,清华学仕园 -麦德龙商圈,3室1厅 | 103.02平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,20人关注 / 5个月以前发布,104,"10,096元/平"
恒大帝景叠墅 带花园 二次精装 可直接入住,恒大帝景 -聚龙湖商圈,5室2厅 | 232.09平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,335,"14,435元/平"
此房源业主诚心出售 看房方便 随时恭候您的来访,神州河畔景苑 -麦德龙商圈,2室2厅 | 98.82平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,110,"11,132元/平"
此房户型好，四开间朝南，采光好，开发商装修,碧桂园天玺 -富康路商圈,4室2厅 | 135平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,2人关注 / 2个月以前发布,198,"14,667元/平"
水街串场河旁 碧桂园天境 房东急售,碧桂园天境 -五星车站商圈,4室2厅 | 197.61平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,6人关注 / 一年前发布,353,"17,864元/平"
此房户型方正采光通风好视野开阔配套设施齐全交通便利,华建雅园 -亭湖高中商圈,3室1厅 | 99.17平米 | 北 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,118,"11,899元/平"
"港湾明珠北苑3-2-1-1,三开间朝南,户型楼层都好.",港湾明珠北苑 -张庄商圈,3室2厅 | 107.18平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,4人关注 / 4个月以前发布,103,"9,611元/平"
房东急售   中南城   精装修   楼层好户型好  视野好,中南世纪城景城二区 -中南商圈,3室1厅 | 90.68平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,4人关注 / 一年前发布,133,"14,667元/平"
城东  高教公寓  毛坯三房  交通便利   随时看房,高教公寓 -盐城会展中心商圈,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,118,"8,252元/平"
新弄里旁 四季金辉 飞机户 电梯入户 业主诚心出售,四季金辉 -中南商圈,3室2厅 | 116.37平米 | 南 | 毛坯 | 低楼层(共9层)  | 塔楼,4人关注 / 一年前发布,175,"15,039元/平"
燕铭华庄 全新装修 采光刺眼 高楼层,燕铭华庄 -崇礼路商圈,3室1厅 | 105.6平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,115,"10,891元/平"
中海万锦南园 精装修 拎包即住 楼层佳 采光好,中海万锦南园 -中南商圈,3室2厅 | 118.47平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2人关注 / 8个月以前发布,178.8,"15,093元/平"
解放南路旁 靠南金鹰 小区前排 精装三房 看房方便,凤凰汇熙园 -聚龙湖商圈,3室2厅 | 94.09平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,4人关注 / 4个月以前发布,169.8,"18,047元/平"
配套设施齐全 采光充足 户型方正，分布合理，交通方便,碧桂园天玺 -富康路商圈,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,220,"15,385元/平"
吾悦三室二卫 高楼层阳光无限 房东诚心卖,吾悦和府北区 -东台市,3室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,3人关注 / 9个月以前发布,135,"11,250元/平"
中海万锦南园，开发商精装，动静分离大三房，采光好,中海万锦南园 -中南商圈,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,174,"14,381元/平"
城南 中南世纪城康城 满五 楼层好 采光刺眼 有钥匙,中南世纪城康城三期 -中南商圈,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,199.8,"15,023元/平"
城东高架旁，户型方正，采光很好，小区环境好,德惠尚书房西区 -亭湖高中商圈,3室1厅 | 88平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,1人关注 / 2个月以前发布,99.8,"11,341元/平"
万科翡翠书院有钥匙随时看  景山   解放路,万科悦达翡翠书院 -亭湖高中商圈,3室1厅 | 96.25平米 | 南 北 | 精装 | 中楼层(共14层)  | 暂无数据,3人关注 / 4个月以前发布,135,"14,026元/平"
德惠尚书房西区 三室 装修 出售,德惠尚书房西区 -亭湖高中商圈,3室2厅 | 102.76平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,0人关注 / 一年前发布,135,"13,138元/平"
金辉优步水岸 毛坯 双阳台 三间朝南 电梯房 采光好,金辉优步水岸 -中南商圈,4室2厅 | 115.61平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,3人关注 / 7个月以前发布,150,"12,975元/平"
城南 中南四期 全新精装 3开间朝南 采光好 随时看房,中南世纪城景城一期 -中南商圈,3室2厅 | 83.44平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,124,"14,861元/平"
天樾府精装4室，南北通透，好楼层。。。,天樾府 -东台市,4室2厅 | 143.53平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,139.8,"9,741元/平"
锦盛豪庭北苑 精装三房 满两年 拎包入住,锦盛豪庭·北苑 -中南商圈,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,22人关注 / 一年前发布,130,"11,927元/平"
中南城旁，中南8期，小高层产品，精装修好楼层满两年,中南景城南区 -中南商圈,3室1厅 | 103.71平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 29天以前发布,149,"14,367元/平"
人一辈子总要住一次万科，翡翠云台，满两年精装大三房,万科悦达翡翠云台 -中南商圈,3室1厅 | 130平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,1人关注 / 20天以前发布,169.8,"13,062元/平"
西环路 旁 衡泰冠城 精装 三房诚心出售,衡泰·冠城 -聚龙湖商圈,3室2厅 | 124.71平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 22天以前发布,137,"10,986元/平"
四季新城 南新洋 嘉业上郡洋房 大飞机户型。。。,嘉业上郡 -白马商圈,3室1厅 | 137平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,142.8,"10,424元/平"
城东 宝龙 凤依湖 馥桂名居 毛坯三房 随时看房,馥桂名居 -亭湖商圈,3室1厅 | 102.14平米 | 南 | 毛坯 | 低楼层(共15层)  | 平房,1人关注 / 22天以前发布,89.8,"8,792元/平"
绿适居 多层三楼  精装 带车库 得房率高,绿适居 -永基广场商圈,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,118,"10,728元/平"
学林雅苑 3室1厅 南,学林雅苑 -聚龙湖商圈,3室1厅 | 120平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 27天以前发布,135,"11,250元/平"
神州豪苑 4室2厅 南,神州豪苑 -麦德龙商圈,4室2厅 | 154平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 18天以前发布,170,"11,039元/平"
众想新苑 多层三楼 带车库 业主诚心出售,众想新苑 -永基广场商圈,3室1厅 | 87平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 18天以前发布,86.8,"9,978元/平"
中南5期 精装大四房 挥泪卖 远眺新弄里,中南世纪城五期 -中南商圈,4室2厅 | 139.54平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 21天以前发布,220,"15,767元/平"
记者家园 四开间朝南户型 采光佳 看房方便,记者家园 -聚龙湖商圈,4室2厅 | 162.29平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 24天以前发布,178,"10,969元/平"
碧水绿都 精装3房 诚心出售 带车库,碧水绿都 -滨海体育中心商圈,3室2厅 | 111平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,83.8,"7,550元/平"
金色华庭西区 4室2厅2卫 楼层好 交通便捷,金色华庭西区 -双元西路商圈,4室2厅 | 138.55平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 30天以前发布,155,"11,188元/平"
金鹰御龙湾 3室2厅1卫 户型方正,金鹰御珑湾 -东台市,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 28天以前发布,152.8,"14,553元/平"
中南世纪城六期 精装三房 业主诚心出售,中南世纪城6期悦城 -中南商圈,3室2厅 | 94.5平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 16天以前发布,155,"16,403元/平"
此房采光很好 视野开阔，房子精装修，位置很好,正方上林苑 -东台市,3室2厅 | 112.58平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 28天以前发布,140,"12,436元/平"
精装，中间楼层，精致户型，视野宽阔，采光充足。,万科悦达翡翠国际 -富康路商圈,3室1厅 | 122平米 | 南 北 | 精装 | 中楼层(共14层)  | 平房,0人关注 / 21天以前发布,208,"17,050元/平"
香苑西园 采光不受影响 精装拎包即住,香苑西园 -中南商圈,3室2厅 | 140.19平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 20天以前发布,255,"18,190元/平"
金都华府 3室2厅 南,金都华府 -麦德龙商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 29天以前发布,135,"11,740元/平"
城东 力拓悦城 精装三房 好楼层 悦达889 解放路景山,力拓悦城 -富康路商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 29天以前发布,123,"12,180元/平"
此房为70年产权 商品房满两年 税少,西城逸品 -潘黄商圈,4室2厅 | 130平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 25天以前发布,147,"11,308元/平"
小区前排一楼采光好，精装修，拎包即住,中庚.香城云开 -招商场商圈,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 16天以前发布,115,"10,953元/平"
恒大名都    单价便宜    随时过户交房,恒大名都 -麦德龙商圈,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,3人关注 / 23天以前发布,125,"9,766元/平"
城东金鹰旁 城东一号 精装两居 拎包住 满2年,城东一号 -盐城会展中心商圈,2室2厅 | 86平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 13天以前发布,94,"10,931元/平"
东湖公园旁两室，好楼层，精装修，随时拎包入住,东城名苑(东进大道) -东台市,2室1厅 | 80.92平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 10天以前发布,66.8,"8,256元/平"
业主诚售  房价含两个车位及车库  看房方便,港湾明珠 -张庄商圈,3室2厅 | 106.51平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 11个月以前发布,118,"11,079元/平"
城西南麦德龙商圈恒大名都朝南阳台精装2房，拎包入住,恒大名都 -麦德龙商圈,2室2厅 | 90.57平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,104,"11,483元/平"
月湖花城 精装修  诚心出售  价格可谈,月湖花城 -缤纷亚洲商圈,2室1厅 | 52.36平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,9人关注 / 一年前发布,115,"21,964元/平"
