标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
滨河东路 汾河观景电梯房 大红本南北朝向 可分期,龙湾国际 -胜利桥东,3室2厅 | 127.89平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,16人关注 / 9个月以前发布,109,"8,523元/平"
新兰兴安厂宿舍 南北三居 拎包入住 中间楼层,兴安厂宿舍 -太钢商圈,3室1厅 | 77.3平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,2人关注 / 1个月以前发布,32.8,"4,244元/平"
长治路南内环单位宿舍费用低交通便利生活方便,南内环小区 -亲贤商圈,2室2厅 | 74.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,72,"9,626元/平"
南内环东岗路自行车厂中正锦城机床厂阳光小区鼎太风华,自行车厂宿舍 -建南汽车站商圈,3室1厅 | 99.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,49人关注 / 6个月以前发布,72,"7,247元/平"
公元时代城 龙腾小区 三居 大红本 中间楼层 带地下室,龙腾小区 -下元商圈,3室2厅 | 100.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,90,"8,949元/平"
半坡东街单位宿舍大红本1层南北通透,半坡东街 -半坡商圈,3室1厅 | 78.4平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,7人关注 / 4个月以前发布,60,"7,654元/平"
长风西准新房方便看房着急出售精装舒适四居,兰亭熙园 -义井商圈,4室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,5人关注 / 5个月以前发布,127,"9,271元/平"
东临汾河公园西临晋阳湖 观景效果好,绿地塞纳公馆 -晋阳湖商圈,4室2厅 | 185.38平米 | 东南 北 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,246,"13,271元/平"
北中环 富力天禧城 精装三居 大红本现房 低价出售,富力天禧城 -兴华,3室2厅 | 126.75平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,110,"8,679元/平"
胜利街 解放路 富力华庭旁 306平楼中楼,太矿西苑小区北区 -矿机商圈,6室2厅 | 306平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,4人关注 / 2个月以前发布,199,"6,504元/平"
万达，解放路，龙潭公园，居住舒适,银河苑小区 -龙潭公园,3室2厅 | 170.54平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,13人关注 / 5个月以前发布,112,"6,568元/平"
出售 北大街 解放路 地铁口 三居室 有钥匙 看房方便,都市悦憬 -龙潭公园,3室2厅 | 123.4平米 | 南 北 | 简装 | 高楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,122,"9,887元/平"
万达商圈精装三居南北通透诚心出售,万达公馆 -龙潭公园,3室2厅 | 248.75平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,345,"13,870元/平"
千峰北路漪汾华苑下跃式楼中楼大红本住房诚心出售,漪汾华苑南区 -千峰北路商圈,4室2厅 | 203.58平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,158,"7,762元/平"
平阳路西一巷园林小区交通便利生活方便,育翠苑 -亲贤商圈,4室2厅 | 187.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,18人关注 / 6个月以前发布,122,"6,499元/平"
坡子街12号院高层电梯房南北通透落地飘窗大红本,坡子街12号院 -龙潭公园,2室2厅 | 130.96平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 3个月以前发布,164.8,"12,584元/平"
龙潭公园 旁  北城好房 配套设施齐全 公园独栋好房,万达公馆 -龙潭公园,4室1厅 | 304.57平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,436,"14,316元/平"
恒大华府旁，单价7000出头的毛坯三居室,龙海方舟 -晋阳街商圈,3室1厅 | 165.52平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,129,"7,794元/平"
小洋楼，中楼层，本满两年，南北通透小三居，环境好，,富力城F区 -富力城商圈,3室1厅 | 127平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 11天以前发布,105,"8,268元/平"
同苑小区 2室2厅 南 北,同苑小区 -亲贤商圈,2室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,69,"9,858元/平"
南内化西街国企宿舍，中电科二所,中电科二所家属院 -下元商圈,3室1厅 | 74.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,59.5,"7,954元/平"
四建宿舍 3室1厅 南 北,四建宿舍 -亲贤商圈,3室1厅 | 101.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,90,"8,845元/平"
恒大绿洲小区 中间楼层 本满二 东把边户 看房方便,恒大绿洲西西区 -经济开发区商圈,3室2厅 | 98.38平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,116,"11,792元/平"
南内环长治路 南北小两居室 出门di 铁,南内环小区 -亲贤商圈,2室1厅 | 49.99平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,47,"9,402元/平"
长风西街西中环 市妇幼 和平公园 花园洋房,公园美地 -大井峪商圈,3室2厅 | 128.54平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,16人关注 / 6个月以前发布,134.9,"10,495元/平"
十二院城 小高层南北两居室 诚心出售随时看房,十二院城 -和平南路商圈,2室1厅 | 97.36平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,98,"10,066元/平"
此房南北通透，格局好，采光好，视野开阔，可贷款。。,富力城A区 -富力城商圈,3室2厅 | 144.54平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,118,"8,164元/平"
西中环 央企 保利百合 毛坯三居 户型方正 中间楼层,保利百合 -千峰北路商圈,3室1厅 | 103.27平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,93,"9,006元/平"
长风街富力现代广场好房业主诚心出售,富力现代广场 -和平南路商圈,2室2厅 | 89.27平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,87,"9,746元/平"
长风街9000精装修，拎包入住，东景苑大红本满二方便看,东景苑 -建南汽车站商圈,3室2厅 | 138.03平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,54人关注 / 9个月以前发布,119,"8,622元/平"
楼层好，采光好，位置好，出行方便，价格低,清华苑 -赛马场商圈,3室2厅 | 106.46平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,9人关注 / 3个月以前发布,82,"7,703元/平"
鸿峰花园西区 标准的三室两厅的南北户型 大红本满五,鸿峰花园西区 -理工大商圈,3室1厅 | 96.32平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,79,"8,202元/平"
地铁三号线漪汾街口 单价七千出头 拎包入住 南北通透,大唐世家惠泽苑 -千峰北路商圈,2室1厅 | 86.24平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,65,"7,538元/平"
光信帝景崋府 160平米4室2厅2卫，光信开发，品质小区,光信·帝景華府 -学府商圈,4室2厅 | 160.38平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,173,"10,787元/平"
亲贤商圈 地段好 走路到汾河公园 小区停车方便,电建四公司宿舍 -亲贤商圈,2室2厅 | 73.53平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,55,"7,480元/平"
香檀一号 三居 精装 带家具家电 诚心出欢迎来到你的家,香檀一号 -龙城商圈,3室1厅 | 123.29平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,11人关注 / 6个月以前发布,160,"12,978元/平"
五一广场桥东街 两居大红本房 南北房 顶层,新生里小区 -桥东街,2室1厅 | 54.99平米 | 南 东 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,28,"5,092元/平"
新联巷 3室1厅 南 北,新联巷 -经济开发区商圈,3室1厅 | 105.88平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,1人关注 / 2个月以前发布,94,"8,878元/平"
此房满五唯一 单位宿舍 中间楼层 南北户型 采光足,肿瘤医院宿舍 -肿瘤医院商圈,2室1厅 | 81.42平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,54,"6,633元/平"
急售 八一  亲贤街体育路， 电梯房， 位置优，配套全,世纪家园 -亲贤商圈,2室2厅 | 105.88平米 | 南 西 北 | 精装 | 中楼层(共31层)  | 板楼,11人关注 / 7个月以前发布,109,"10,295元/平"
富力桃园 南北通透三居 全新家 满五唯一 价格合适,富力桃园 -富力城商圈,3室2厅 | 100.61平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,61人关注 / 一年前发布,59.9,"5,954元/平"
大红本满五唯一无公摊，户型方正刚需必看,财政局宿舍 -经济开发区商圈,3室2厅 | 116.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,74,"6,355元/平"
星河湾4号园134平米二次装修高楼层，自住家里保养好,星河湾4号园 -龙城商圈,3室2厅 | 134.17平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,235,"17,516元/平"
视野宽阔，采光好，摄乐桥旁，楼层好,辰兴·优山美郡 -三给,2室2厅 | 105.49平米 | 东南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 8个月以前发布,82,"7,774元/平"
省人民医院 大红本房子 中间楼层 房东诚心出售,东港嘉园 -人民医院,3室2厅 | 185平米 | 南 北 | 其他 | 高楼层(共13层)  | 板楼,7人关注 / 5个月以前发布,139,"7,514元/平"
亲贤街建设路 2014年房龄新高层 三居 带车位,中正花园二期 -建南汽车站商圈,3室1厅 | 95.42平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 2个月以前发布,110,"11,528元/平"
婚房 西中环 科大旁 双阳台 精装修 带家具 领包入住,保利百合 -千峰北路商圈,2室2厅 | 88.76平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,8人关注 / 2个月以前发布,74,"8,338元/平"
和平公园旁  干净整洁    成熟地段 交通方便,省三建小区 -理工大商圈,2室1厅 | 55.35平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 10个月以前发布,37.8,"6,830元/平"
业主诚心出售，大红本可贷款，对口双西,迎泽苑小区 -山西医科大商圈,3室1厅 | 94.77平米 | 南 北 | 简装 | 高楼层(共16层)  | 塔楼,17人关注 / 一年前发布,98,"10,341元/平"
五一路工商银行宿舍，三室两厅 南北通透看房方便！,五一路工商银行宿舍 -三墙路,3室2厅 | 109.77平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,15人关注 / 一年前发布,95.3,"8,682元/平"
和平公园旁 南北通透大三居，业主诚心出售,十二院城 -和平南路商圈,3室2厅 | 161.97平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,5人关注 / 4个月以前发布,155,"9,570元/平"
房东急售精装修南北大通透采光好,御龙庭 -晋阳街商圈,3室2厅 | 121.92平米 | 南 北 | 简装 | 低楼层(共23层)  | 板塔结合,1人关注 / 7个月以前发布,147,"12,058元/平"
省人民医院 跟前  大红本 高层电梯房,郦苑国际小区 -人民医院,3室2厅 | 138.97平米 | 南 北 | 简装 | 高楼层(共22层)  | 板楼,2人关注 / 3个月以前发布,155,"11,154元/平"
滨东花园汾河观景 单价8000 适合办公+娱乐室,滨东花园 -学府商圈,3室2厅 | 155.22平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,4人关注 / 6个月以前发布,120,"7,731元/平"
此房为万科蓝山二期经典139平米两居南户型,万科蓝山二期 -和平南路商圈,3室2厅 | 138.12平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,166,"12,019元/平"
长风街 朝南两居动静分离家里 原始装修拎包入住保养好,富力现代广场 -和平南路商圈,2室2厅 | 90.59平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,86,"9,494元/平"
房东急售精装修南北大通透采光好,御龙庭 -晋阳街商圈,3室2厅 | 121.92平米 | 南 北 | 简装 | 低楼层(共23层)  | 板塔结合,1人关注 / 7个月以前发布,147,"12,058元/平"
此房满五年，楼层好，落地窗视野宽阔,槐桐别苑 -南站机场商圈,3室2厅 | 124.63平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,5人关注 / 3个月以前发布,104,"8,345元/平"
长风商务区经典小三居，低公摊步梯房,锅炉厂宿舍 -千峰南路商圈,3室1厅 | 74.21平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 7个月以前发布,55,"7,412元/平"
7层花园式洋房，大红本满两年，看房方便,富力熙悦居 -晋祠商圈,3室2厅 | 94.27平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 9个月以前发布,87,"9,229元/平"
亲贤街上，停车方便，采光好，老生活片区,山西交通职业技术学院家属楼 -亲贤商圈,3室1厅 | 78.85平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,10人关注 / 9个月以前发布,67,"8,498元/平"
业主诚意出售 满二 龙城商圈 首开国风上观  百米楼距,首开·国风上观 -龙城商圈,3室2厅 | 124.05平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,13人关注 / 6个月以前发布,157,"12,657元/平"
西中环 迎泽大街 科大 保利百合 毛坯 好楼层,保利百合 -千峰北路商圈,2室1厅 | 87.67平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,16人关注 / 一年前发布,79,"9,012元/平"
晋阳湖现房，配套齐全。出行方便,兰亭·御湖城东区 -义井商圈,2室1厅 | 85.59平米 | 西 | 简装 | 高楼层(共25层)  | 板塔结合,8人关注 / 8个月以前发布,75,"8,763元/平"
长风街平阳路 文华苑 育杰 太师 三 带地下室,文华苑D区 -学府商圈,3室2厅 | 100.75平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,29人关注 / 一年前发布,116,"11,514元/平"
亲贤街，万科旁，全天采光，视野好，方便看红本可贷款,宏盛花园 -建南汽车站商圈,2室2厅 | 95.09平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,2人关注 / 8个月以前发布,87,"9,150元/平"
龙城大街 地铁2号线 龙城公园 南北通透 满二诚意出售,首开·国风上观 -龙城商圈,3室2厅 | 142.67平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,7人关注 / 6个月以前发布,195,"13,668元/平"
府东街 大红本 电梯房 绿化好  停车方便  钥匙在手,山西电力杏花岭小区 -文庙商圈,3室2厅 | 143.18平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,141,"9,848元/平"
并州南路繁华地段电梯房精装两居诚心出售,万厦枫景 -亲贤商圈,2室2厅 | 81.75平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,3人关注 / 2个月以前发布,77.5,"9,481元/平"
恒大绿洲  大三居  精装修  拎包入住 诚心出售,太原恒大绿洲 -经济开发区商圈,3室2厅 | 137.17平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,169,"12,321元/平"
奥林匹克花园，大红本精装可按揭采光好，欧式建筑,太原奥林匹克花园南区 -西客站商圈,2室1厅 | 74平米 | 西 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,62,"8,379元/平"
长风街和平路口 富力现代广场 大红本可贷款,富力现代广场 -和平南路商圈,2室2厅 | 88.92平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,37人关注 / 8个月以前发布,80,"8,997元/平"
此房为满五唯一       精装二居室,辰兴·优山美郡 -三给,2室2厅 | 104.54平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,5人关注 / 3个月以前发布,74,"7,079元/平"
兴隆街 宽荧幕 电梯房 朝南三居室 交通便利 采光好,兴隆街5号 -水西门商圈,3室1厅 | 95.52平米 | 南 | 其他 | 高楼层(共15层)  | 板楼,15人关注 / 一年前发布,60,"6,282元/平"
南站旁飞机场交通方便。南站旁飞机场交通方便,太原万科城 -南站机场商圈,3室2厅 | 108.28平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,134,"12,376元/平"
长风街和平路万科蓝山 精装两居 本满2 诚心出售,万科蓝山二期 -和平南路商圈,2室1厅 | 91.49平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 2个月以前发布,99.9,"10,920元/平"
小户型，楼层低，房龄新，适合刚需安家。,海边街23号交通局宿舍 -水西门商圈,2室1厅 | 47.17平米 | 西北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,29.5,"6,254元/平"
长风东街高速口 大红本 新小区,东景苑 -建南汽车站商圈,3室2厅 | 159.35平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,7人关注 / 一年前发布,125,"7,845元/平"
富力城七期 全屋定制家具 拎包入住 可按揭 可议价,富力城F区 -富力城商圈,3室2厅 | 95.16平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,76人关注 / 一年前发布,84,"8,828元/平"
对太师 师专宿舍 三室一厅 南北通透，全明户型浇筑房,师专宿舍 -文庙商圈,3室1厅 | 73.17平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,107,"14,624元/平"
