标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
：南北通透格局，，，前排无遮挡，，，，，，，，，,松北家园 -松山区,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,74,"6,167元/平"
盛世嘉园A区 新挂的大白 过户小税 钥匙看房,盛世嘉园A区 -红山区,2室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,5人关注 / 一年前发布,69.5,"6,044元/平"
步梯2楼  两室格局方正 眼缘好 看房方便,园林小区 -红山区,2室2厅 | 84.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,55.5,"6,589元/平"
此房满五唯一 区设施设备完善 人文素质高 适合居住,药厂家属楼 -红山区,2室1厅 | 51.17平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,20,"3,909元/平"
博联家园  精装婚房   拎包入住 无捆绑  视野开阔,博联家园 -松山区,2室2厅 | 92.44平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,2人关注 / 一年前发布,59.5,"6,437元/平"
新城区 河畔骏景 精装两室 电梯13楼 无捆绑 小税,河畔骏景 -新城区,2室2厅 | 106.55平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,85,"7,978元/平"
很少出的小户型，全天采光好，小税06年房，,金和家园（四道街） -红山区,2室1厅 | 72.48平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,48.5,"6,692元/平"
房子精装修，拎包入住，南北通透,双桥小区西区 -红山区,2室1厅 | 58.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,41,"7,049元/平"
松州园小区，电梯洋房，边户三室，随时看房！！,松州园 -红山区,3室2厅 | 110.43平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,61,"5,524元/平"
福园  明厅格局 落地窗 小税 有钥匙,水榭花都C公馆 -新城区,2室2厅 | 104.19平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,80.8,"7,756元/平"
房源南北通透，光线好格局合理，适合各类人群,松州园 -红山区,2室2厅 | 87.48平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,62,"7,088元/平"
6200/平  明室明厅  独立两室  首付一,阳光希望家园三期 -桥北新区,2室1厅 | 78.19平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,51,"6,523元/平"
昭乌达小区，19  小  ，精装独立两室，小面积。,昭乌达梅园 -红山区,2室1厅 | 57.08平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,25.6,"4,485元/平"
步梯三楼 双阳卧室 明厨明卫 格局很方正 首富低,宏兴小区 -红山区,2室1厅 | 62.06平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,35,"5,640元/平"
四中小区 南北通透 户型好 位置好 看房方便,药厂家属院胡同 -红山区,2室1厅 | 62.38平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,32,"5,130元/平"
龙熙园 精装明厅大两室 宽敞明亮 无捆绑 电梯15层,龙熙园(新城区) -新城区,2室2厅 | 129.02平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 1个月以前发布,91.5,"7,092元/平"
兴隆小区（红山区) 2室1厅 南,兴隆小区（红山区) -红山区,2室1厅 | 47.58平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,26,"5,465元/平"
康居家园，步梯2楼，双阳格局，南北通透,康居家园 -松山区,2室2厅 | 73.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,53,"7,183元/平"
阳光小区 单价6300 成熟社区 业主诚心出售,阳光小区 -新城区,2室2厅 | 61.31平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,38,"6,199元/平"
金百合南区，2室一厅，南北通透，采光充足，，，，。,金百合南区 -红山区,2室2厅 | 78.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,56.5,"7,234元/平"
银河花园二期 步梯中层 三室格局 南北通透,银河花园二期 -松山区,3室2厅 | 83.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,68,"8,144元/平"
百合花园 2室1厅 南 北,百合花园 -红山区,2室1厅 | 88.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,65,"7,373元/平"
航安 金和枫景 南北通透向 视野级好 建议实地看房,航安金和枫景 -新城区,2室2厅 | 106.09平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 4天以前发布,93,"8,767元/平"
6400/平 三室格局  中等装修  全明户型,阳光希望家园三期 -桥北新区,3室1厅 | 100.03平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 8天以前发布,65,"6,499元/平"
锦绣花园  大阳台室明厅 落地窗 独立衣帽间 带大阳台,锦绣花园（新城区） -新城区,2室1厅 | 111.71平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,78.5,"7,028元/平"
航安金和枫景，精装修，三室两厅两卫，中税，车位11万,航安金和枫景 -新城区,3室1厅 | 124.41平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,116,"9,325元/平"
房主诚心卖，价位能商量，协议过户，看房子提前约,山水城 -红山区,3室2厅 | 106.77平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 19天以前发布,74,"6,931元/平"
高品质社区 现房  三室 动静分离格局,宇恒·玖玺台 -松山区,3室2厅 | 129.64平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 27天以前发布,84.3,"6,503元/平"
锦绣花园，南北通透 明厅 大三阳格局 过户小税 无捆绑,锦绣花园（新城区） -新城区,3室2厅 | 130.51平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,94,"7,203元/平"
2000年步梯一楼  已改独立下水  前排无楼  采光好,气象小区 -红山区,3室2厅 | 80平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 21天以前发布,50,"6,250元/平"
松州明珠 3室2厅 南 北,松州明珠 -松山区,3室2厅 | 107.41平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,88,"8,193元/平"
前排小高层 采光好 30万精装没怎么住 看房方便,百合田园 -喀喇沁旗,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 23天以前发布,129.5,"8,994元/平"
友谊家园 2室2厅 南 北,友谊家园 -松山区,2室2厅 | 76.89平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,52,"6,763元/平"
富河国际A区  老三室格局 室内干净整洁 眼缘好,富河国际A区 -新城区,3室2厅 | 109平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,0人关注 / 23天以前发布,85,"7,799元/平"
金和枫景，洋房6+7，精装修，中税,航安金和枫景 -新城区,4室2厅 | 107.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 19天以前发布,165,"15,284元/平"
三道街 2006年 中间楼层 八中东800米 精装三室,普瑞房产 -红山区,3室2厅 | 86.15平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 24天以前发布,62,"7,197元/平"
房主诚心出售价钱能谈建议实地看房小税无捆绑，，，，,西屯小区 -红山区,3室2厅 | 135.7平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,80,"5,896元/平"
过户小税 双阳卧 南北通透 无捆绑 钻石楼层,银河花园一期 -松山区,3室1厅 | 82.11平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,58,"7,064元/平"
航安金和城 3室2厅 南 北,航安金和城 -松山区,3室2厅 | 102平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,81.8,"8,020元/平"
松州小区 步梯3楼 明室明厅 小税,松州小区 -红山区,3室2厅 | 148.36平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,112,"7,550元/平"
景泰苑 精装三室 南北通透 视野开阔采光充足 小税,景泰苑 -新城区,3室2厅 | 95.4平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,66,"6,919元/平"
临河小区   2006年房   中间层   大落地窗  眼缘好,临河商贸综合楼 -松山区,3室2厅 | 124.45平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,74,"5,947元/平"
此房房主诚心出售步梯4楼南北通透采光好，，，，，,松州小区 -红山区,3室2厅 | 109.03平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,77,"7,063元/平"
水榭花都C公馆电梯洋房明室明厅两室看房随时,水榭花都C公馆 -新城区,2室2厅 | 92.33平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,89,"9,640元/平"
虹桥丽景国际城 2室2厅 南 北,虹桥丽景国际城 -松山区,2室2厅 | 89.56平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,71,"7,928元/平"
步梯三楼  看房随时  价格可小刀,新华小区西区 -红山区,2室1厅 | 59.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,27,"4,547元/平"
松山政府集资楼精装拎包入住首付1万随时看房,松山政府集资楼 -红山区,2室1厅 | 54.91平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,29.3,"5,337元/平"
步梯3楼，2室户型。采光好，出行购物方便。,友谊家园 -松山区,2室2厅 | 66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,47.5,"7,197元/平"
锡箔河小区，步梯2楼，南北通透，简单装修,锡伯河小区 -松山区,2室2厅 | 72.16平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 24天以前发布,47.5,"6,583元/平"
步梯2楼，楼层好，总价低，房子南北通透有眼缘。,康居小区 -红山区,2室2厅 | 64.57平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,33.5,"5,189元/平"
落地窗   两室   4楼   无遮挡,水榭花都B区 -新城区,2室2厅 | 97.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,69.9,"7,151元/平"
电梯5楼 中等装修 空置没住 适合结婚入住,时代天骄 -红山区,2室2厅 | 86.23平米 | 南 北 | 其他 | 中楼层(共13层)  | 板楼,5人关注 / 3个月以前发布,61,"7,075元/平"
钓鱼台B区 3室1厅 南 北,钓鱼台B区 -桥北新区,3室1厅 | 115.03平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,65,"5,651元/平"
精装婚房  三室东边户  采光 视野好   中税,恒盛馨苑 -松山区,3室2厅 | 108.97平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,80,"7,342元/平"
中天悦府知园精装修四室两厅2卫无捆绑看房随时有钥匙,中天·悦府二期知园 -新城区,4室2厅 | 127.07平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,8人关注 / 7个月以前发布,190,"14,953元/平"
玖玺台 松山区芳草路西临潢大街南，平双公路东,宇恒·玖玺台 -松山区,3室2厅 | 145.94平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板塔结合,2人关注 / 7个月以前发布,101.4,"6,949元/平"
中天悦府空中别墅大三阳格局精装未住看房随时,中天悦府二期福园 -新城区,7室3厅 | 137.51平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 11个月以前发布,255,"18,545元/平"
王 府二期 步梯6楼 111.84平 西边户三室 过户小税,王府花园二期 -新城区,4室2厅 | 111.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,79,"7,064元/平"
世纪嘉园 步梯四楼  捆绑车库，车库10万,世纪嘉园(红山区) -红山区,4室2厅 | 218.4平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,7人关注 / 一年前发布,110,"5,037元/平"
急售 百合田园A区 电梯8楼 毛坯随意装修,百合田园 -喀喇沁旗,3室2厅 | 124.5平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,1人关注 / 3个月以前发布,94,"7,551元/平"
玺园  电梯洋房 6楼 精装  带露台,水榭花都C公馆 -新城区,3室2厅 | 146.32平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 9个月以前发布,140,"9,569元/平"
中天悦府知园，精装修，三室两厅2卫，无捆绑,中天·悦府二期知园 -新城区,3室2厅 | 111.09平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 4个月以前发布,154,"13,863元/平"
中天悦府二期 精装 南北通透 精装修交工 明室明厅,中天·悦府二期知园 -新城区,3室2厅 | 110.87平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 3个月以前发布,156,"14,071元/平"
西城小区 3室2厅 南 北,西城小区 -红山区,3室2厅 | 102.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,58,"5,674元/平"
百合田园 精装修三室户型  大三阳格局 江南装修风格,百合田园 -喀喇沁旗,3室2厅 | 117平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,4人关注 / 5个月以前发布,98.7,"8,436元/平"
天一府               可贷款,春城天一府 -新城区,3室2厅 | 128.54平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,10人关注 / 一年前发布,128.5,"9,997元/平"
中天·悦府二期如园 3室2厅 南 北,中天·悦府二期如园 -新城区,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,5人关注 / 7个月以前发布,140,"12,613元/平"
百合田园，景观房，大三阳格局，采光好，视野开阔！,百合田园B区 -喀喇沁旗,3室2厅 | 112平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,6人关注 / 10个月以前发布,75,"6,697元/平"
艾美国际 单价6300 边户 四室双卫格局  看房随时,艾美国际 -红山区,3室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,91,"6,364元/平"
房子南北通透明室明厅独立三室 新装修未入住 看中可讲,帝景华苑 -松山区,3室1厅 | 122.4平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,83,"6,782元/平"
中天·悦府二期如园 5室3厅 南 北,中天·悦府二期如园 -新城区,5室3厅 | 128平米 | 南 北 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,225,"17,579元/平"
松山万达旁 虹桥丽景国际城 毛坯随意装修 协议过户,虹桥丽景国际城 -松山区,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,19人关注 / 一年前发布,81,"6,983元/平"
大三阳格局  双卫   房主急售,金顶国际 -新城区,3室2厅 | 138.34平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,63,"4,554元/平"
05年 鑫盛家园 步梯2楼 三室 小税 十 七 小,鑫盛家园 -红山区,3室2厅 | 99.18平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,63,"6,353元/平"
富兴嘉城东区  边户三室 随意装修  过户小税 看房随时,富兴嘉城A区 -新城区,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,0人关注 / 4个月以前发布,95,"7,481元/平"
长安小区 步梯中层 小税 边户 采光好,长安小区 -新城区,3室1厅 | 102.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85,"8,294元/平"
此房南北通透，视野采光好，装修保养用心，,航安金和城 -松山区,3室1厅 | 102.15平米 | 南 北 | 简装 | 高楼层(共31层)  | 板楼,2人关注 / 3个月以前发布,76,"7,441元/平"
红山郡三期，精装修，无捆绑，西边户，有钥匙。,首地·红山郡 -新城区,3室2厅 | 122.03平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,10人关注 / 7个月以前发布,105,"8,605元/平"
利丰花园 单价6400 电梯中层 大三阳飞机户型,利丰花园 -桥北新区,3室2厅 | 132.8平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,85,"6,401元/平"
朗园 幸福里 房子无网签。  ，可贷款 随时看房,朗园·幸福里 -新城区,3室2厅 | 141.22平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,3人关注 / 10个月以前发布,95,"6,728元/平"
水榭花都B区 小阁楼， 落地窗，外挎阳台,水榭花都B区 -新城区,3室2厅 | 90.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,48,"5,299元/平"
南北通透，户型方正， 西边户 精装修，拎包入住,万合福邸 -松山区,3室1厅 | 108.36平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,92,"8,491元/平"
明厅独立3室双卫，步梯3楼，2017年房，5100一平,坤睿·富华天地 -红山区,3室2厅 | 135.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,69,"5,101元/平"
万达广场甲B写字楼，可以分割，随时看,万达广场甲级写字楼 -新城区,1室1厅 | 1663.5平米 | 东 南 西 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,1050,"6,312元/平"
