标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
此房楼层好，二室朝南，阳光无遮挡。,永泰家园南区 -雨山,2室1厅 | 66.95平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,9人关注 / 5个月以前发布,37,"5,527元/平"
精装好房急售，采光无遮挡，南北通透户型,天泽水岸 -佳山,2室2厅 | 91.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,17人关注 / 8个月以前发布,86.8,"9,485元/平"
绿地三期 毛坯三房 好楼层，采光不档,新里西斯莱公馆 -霍里,3室2厅 | 104.16平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,118,"11,329元/平"
此房双阳台，采光充分精装九成新 楼栋位置好,恒大御景湾 -霍里,3室2厅 | 124.85平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,127,"10,173元/平"
大北庄 2室1厅 南 北,大北庄 -桃园,2室1厅 | 60.04平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,49,"8,162元/平"
信达城三期的精典大三房，适合刚需改善的客户。,秀山信达城三区 -霍里,3室1厅 | 118.01平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,12人关注 / 5个月以前发布,118.8,"10,067元/平"
绿地一期精装修三房，南北朝向，看房有钥匙，房东急售,绿地臻城一期 -霍里,3室2厅 | 115.08平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,128,"11,123元/平"
房子满五唯一，婚装没怎么住过，中间楼层,信达城 -霍里,3室2厅 | 100.91平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,123,"12,190元/平"
满五唯一。业主诚心出售。欢迎各位老板来看房！,深业华府春天里 -安民,3室2厅 | 96.7平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,119.8,"12,389元/平"
中岗三村 居中三楼 采光好  生活便利,中岗三村 -桃园,2室1厅 | 62.83平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,42,"6,685元/平"
精装房，户型方正，楼层非 常好，前面没有任何遮挡！,圳秀国际•金湖湾 -霍里,3室2厅 | 108.58平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,115,"10,592元/平"
恒大绿洲 精装经典洋房  户型方正 楼层采光好.,恒大绿洲 -霍里,3室2厅 | 115.63平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,169,"14,616元/平"
绿地三期  中间楼层  精装三房 采光好,新里西斯莱公馆 -霍里,3室2厅 | 104.68平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,122,"11,655元/平"
微山花园 1室1厅 南 北,微山花园 -佳山,1室1厅 | 52.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 5天以前发布,42,"8,043元/平"
店长推荐，采光户型好，诚心出售。,雨东村 -雨山,2室1厅 | 65.02平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 3个月以前发布,36,"5,537元/平"
花和两室，满二年，楼层凤凰层！,花和佳苑东区 -霍里,2室2厅 | 82.33平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 6天以前发布,58,"7,045元/平"
市政府旁精装修两房，楼层好，满二年,翡翠城市花园 -安民,2室1厅 | 75.21平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,16人关注 / 4个月以前发布,70,"9,308元/平"
颐园世家，中上楼层，采光好，视野佳，拎包入住好房！,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,5人关注 / 3个月以前发布,105,"11,184元/平"
中岗三村满三房飞机户型视野好采光明亮,中岗三村 -桃园,3室1厅 | 80.34平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,35.2,"4,382元/平"
总高11层中间楼层，南北通户型，精装修全配，满两年,东方城 -霍里,3室2厅 | 122.55平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,150,"12,240元/平"
汇成上东，经典小三房，多层2楼，位置佳，随时看房,汇成上东 -解放路,3室1厅 | 89.2平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 3个月以前发布,120,"13,453元/平"
金翠园 精装三房 拎包入住！采光好！,金翠园 -安民,3室2厅 | 96.33平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,80,"8,305元/平"
好房诚心出售，三室两厅楼层好，两房朝南采光好,鸳鸯二村 -安民,3室1厅 | 71.89平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,46.8,"6,510元/平"
珍珠西园 楼层好 带平台 通透户型 采光足,珍珠西园 -雨山,2室2厅 | 112.47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,98.6,"8,767元/平"
雨顺佳园三居室，精装修，中间楼层，南北通透，满两年,雨顺佳园 -佳山,3室2厅 | 99.18平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,16人关注 / 一年前发布,89,"8,974元/平"
珍珠园七村 3室1厅 南,珍珠园七村 -雨山,3室1厅 | 93.11平米 | 南 | 其他 | 低楼层(共3层)  | 板塔结合,17人关注 / 一年前发布,85,"9,129元/平"
此房满五不唯一，两南户型，楼层好，采光好，无遮挡,海外海名仕苑 -解放路,3室2厅 | 129.05平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,158.8,"12,306元/平"
小区中间位置，小区内有八幼、山南、花园初中等,钢城花园二村 -安民,3室1厅 | 119.58平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,125,"10,454元/平"
雨韵阁 婚房装修 基本未主 全新家具家电 拎包入住,雨韵阁 -佳山,3室2厅 | 98.58平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 3个月以前发布,113,"11,463元/平"
精装小三房   中上楼层  采光视野好  拎包入住,雨韵阁 -佳山,3室1厅 | 97.4平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,104,"10,678元/平"
东方城九珑湾 边户 精装自住三室满五唯一家具家电都丢,东方天骏九珑湾 -佳山,3室2厅 | 118.38平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,138.7,"11,717元/平"
绿地三期中高楼层诚意出售，看房方便,新里西斯莱公馆 -霍里,2室2厅 | 85.16平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 9个月以前发布,99,"11,626元/平"
南北通风，明厨明卫，采光充足，诚心出售，拎包入住,紫竹园 -解放路,2室1厅 | 61.92平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,41,"6,622元/平"
急售 恒生秀山郡 三房双阳台毛坯房 采光刺眼,恒生秀山郡 -霍里,3室2厅 | 95.38平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,4人关注 / 3个月以前发布,92,"9,646元/平"
王家山 满五唯一    大润发商圈  诚心出售,王家山 -解放路,2室1厅 | 66.51平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,41.5,"6,240元/平"
绿地二期 精装两房 得房率高 全天采光,新里·维多利亚公馆 -霍里,2室1厅 | 76.8平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,6人关注 / 5个月以前发布,79.8,"10,391元/平"
信达城一期。中上楼层满五唯一，精装拎包入住。有车位,信达城 -霍里,2室2厅 | 94.33平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,116,"12,298元/平"
玉兰园 中间楼层，采光好。华润苏果旁。生活便利,玉蘭园 -桃园,2室1厅 | 55.38平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 6个月以前发布,35,"6,320元/平"
年中满五唯一，全新未入住，相当于新房！,恒大绿洲 -霍里,3室1厅 | 90.92平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,12人关注 / 9个月以前发布,109,"11,989元/平"
秀山湖壹号 婚房装修，拎包住，生活配套齐全,秀山湖壹號 -霍里,2室2厅 | 84.6平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,98,"11,584元/平"
鸳鸯小区 二村 零几年简单装修满五年 采光好,鸳鸯二村 -安民,2室1厅 | 57.94平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,33,"5,696元/平"
此房满两年 毛坯三房 中楼层 采光不挡 诚心出售,朝辉东方城三区 -霍里,3室2厅 | 120.97平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,10人关注 / 一年前发布,139,"11,491元/平"
此房装修不错，保养很好，两室朝南，小伙伴们可以推下,天泽水岸 -佳山,2室1厅 | 90.27平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,82.5,"9,140元/平"
信达城二期景观楼层非顶楼中间户新空毛坯业主诚心出售,秀山信达城二期 -霍里,3室2厅 | 91.04平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,12人关注 / 一年前发布,100,"10,985元/平"
绿地一期 中间楼层  精装2房 全天采光 拎包入住,绿地臻城一期 -霍里,2室1厅 | 80.91平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,6人关注 / 5个月以前发布,82,"10,135元/平"
该房源中间楼层 采光视野佳 房东诚心出售 看房方便,新城璟玥 -佳山,3室2厅 | 102.71平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,6人关注 / 9个月以前发布,117,"11,392元/平"
房东外地发展急售，楼层好，满两年包车位！,新里西斯莱公馆 -霍里,3室2厅 | 107.99平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,125,"11,576元/平"
东湖碧水湾 多层 低楼层 可拎包,东湖碧水湾 -佳山,2室2厅 | 88.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,19人关注 / 9个月以前发布,79,"8,976元/平"
此房业主诚意出售 可拎包入住 采光 视野都很好,花和佳苑东区 -霍里,2室2厅 | 82.33平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,55,"6,681元/平"
三开间朝南，双阳台，中上楼层，三房…………………,达观天下学府里 -佳山,3室2厅 | 96.96平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 7个月以前发布,79.8,"8,231元/平"
绿地三期 新空 毛坯 中间楼层 满二 有钥匙 88平视野好,新里西斯莱公馆 -霍里,2室2厅 | 88.03平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,11人关注 / 9个月以前发布,93,"10,565元/平"
绿地三期.满2年.采光不遮挡，拎包入住.看房方便.,新里西斯莱公馆 -霍里,3室2厅 | 107.07平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 一年前发布,127,"11,862元/平"
达观学府里 电梯高层 南北通透  业主在外地忍痛割爱,达观天下学府里 -佳山,3室2厅 | 114.29平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,3人关注 / 7个月以前发布,85,"7,438元/平"
三开间朝南，双阳台，中上楼层，三房…………………,达观天下学府里 -佳山,3室2厅 | 96.96平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 7个月以前发布,79.8,"8,231元/平"
此房业主诚意出售 可拎包入住 采光 视野都很好,花和佳苑东区 -霍里,2室2厅 | 82.33平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,55,"6,681元/平"
星悦广场商圈，金湖湾八楼精装温馨两房，满五唯一,圳秀国际•金湖湾 -霍里,2室2厅 | 78.64平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,84,"10,682元/平"
轻轨旁汇成上东多层精装好房诚意出售,汇成上东 -解放路,2室1厅 | 90.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,99.9,"11,096元/平"
铁城村次顶楼，满五唯一，全明户型，73平23W,铁城村 -未知商圈,2室1厅 | 73.07平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,24,"3,285元/平"
全天采光不受遮挡 ，房屋简装修 。,新里西斯莱公馆 -霍里,3室2厅 | 113.02平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,132,"11,680元/平"
八一大院精装修三房，房屋保养好，满五唯一,八一大院 -安民,3室1厅 | 89.92平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,75,"8,341元/平"
此房满五不唯一，低楼层，但采光不受影响！,八一大院 -安民,2室1厅 | 55.2平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,5人关注 / 8个月以前发布,41.8,"7,573元/平"
丰收佳苑 中间楼层 户型方正，看房提前约,丰收佳苑 -霍里,3室2厅 | 124.13平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,88,"7,090元/平"
八一大院 ，采光好 看房方便 位置好 适合生活,八一大院 -安民,2室2厅 | 89.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,83.8,"9,415元/平"
鑫福家园毛坯三房 满五唯一 诚心出售 价格可谈,鑫福家园 -佳山,3室2厅 | 99.99平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,72.8,"7,281元/平"
阳湖花园，满二年，装修保养好，楼层好，采光好。,阳湖花园 -佳山,2室1厅 | 76.51平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,62,"8,104元/平"
映翠景苑  中上楼层 户型好 采光优 拎包入住,映翠景苑 -安民,3室2厅 | 106.98平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,10人关注 / 一年前发布,77,"7,198元/平"
钢城花园一村，一楼带院子，房东有点急卖，诚心出售,钢城花园一村 -安民,2室2厅 | 93.97平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,17人关注 / 7个月以前发布,89,"9,472元/平"
此房通透户型格局好，楼层好，采光充足，环境优美,恒大御景湾 -霍里,3室2厅 | 114.12平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,2人关注 / 3个月以前发布,124,"10,866元/平"
深业华府小高层飞机户，双阳台，15楼婚房精装修,深业华府 -安民,3室2厅 | 130.56平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,178,"13,634元/平"
东方城一期 楼栋位置好 精装修拎包入住,东方城 -霍里,3室2厅 | 127.48平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 5个月以前发布,149.8,"11,751元/平"
伟星蓝山南区 顶楼 采光刺眼 满二 看房方便,伟星蓝山雅筑南区 -佳山,3室2厅 | 95.41平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 25天以前发布,77,"8,071元/平"
诚心出售，户型好采光好，楼层佳看房方便,钟鼎悦城 -安民,2室1厅 | 74平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 19天以前发布,91.5,"12,365元/平"
此房一楼带院子30平左右 雨山湖畔 精装二房 拎包入住,雨山二村 -平湖,2室1厅 | 52.25平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 19天以前发布,53,"10,144元/平"
鸳鸯一村   三层   位置好   诚心出售,鸳鸯小区一村 -安民,2室1厅 | 53.35平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,36,"6,748元/平"
雨韵阁婚装，保养好，楼层好，生活很方便！,雨韵阁 -佳山,3室2厅 | 116.7平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,125,"10,712元/平"
采光充足，房屋品质好，热门商圈，生活配套齐全,深业华府春天里 -安民,3室2厅 | 98.1平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,110,"11,214元/平"
此房不满两年，小区环境优美，儿童游玩区就有两个,伟星天玺 -佳山,3室2厅 | 128.43平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,195,"15,184元/平"
金星08年的房子  四房大户型 房龄新 格局好 拎包入住,金星新村 -解放路,4室2厅 | 138.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,143,"10,325元/平"
此房诚心出售，满五不唯一，户型方正 拎包入住,鸳鸯二村 -安民,3室1厅 | 73.7平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,30,"4,071元/平"
钟鼎悦城137平小高层，凤凰层，精装修，仅售184万,钟鼎悦城 -安民,3室2厅 | 137.04平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 2个月以前发布,181,"13,208元/平"
此房格局好，楼层好，视野宽阔，窗户大采光充,亚东·印山府 -佳山,3室2厅 | 98.91平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,5人关注 / 3个月以前发布,135,"13,649元/平"
大四室，房龄新，小高层，楼层佳，采光好，总价厚道,深业华府春天里 -安民,4室2厅 | 124.67平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,11人关注 / 4个月以前发布,147,"11,792元/平"
拉菲公馆，精装修，三房两卫，房东诚售，看房方便,拉菲公馆 -桃园,3室2厅 | 142.24平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,208,"14,624元/平"
本房屋位于深业华府新春天里很好的位置，全天阳光充足,深业华府春天里 -安民,4室2厅 | 122.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,15人关注 / 一年前发布,155,"12,603元/平"
