标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
万兴家园 4室1厅 南,万兴家园 -黄河东路,4室1厅 | 177平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,123,"6,950元/平"
人民路牡丹公馆精装老证带储藏室,牡丹公馆 -牡丹园,3室2厅 | 127.32平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,2人关注 / 10个月以前发布,83,"6,520元/平"
好户型 好的居住环境好的人文社区体验,名门世家 -人民南路,2室2厅 | 95.97平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,71.7,"7,472元/平"
此房精装修，好户型，采光充足，出行方便,交通未来城 -惠慈医院,3室2厅 | 118.19平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,1人关注 / 10个月以前发布,92.6,"7,835元/平"
新奥家园 三居室，老证可贷款，有储藏室,新奥嘉园 -步行街,3室1厅 | 81平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,4人关注 / 一年前发布,53.5,"6,605元/平"
万达旁  简装两室 老证  可贷款,中达尚城 -和平南路,2室2厅 | 92.26平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,70.3,"7,620元/平"
国贸两室，有证可贷款，诚心出售，看房方便,国贸中心B区 -银座,2室2厅 | 94.83平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 7个月以前发布,72,"7,593元/平"
天宏嘉苑对外出售，繁华地段。适合居住，配套成熟,天宏嘉苑 -立交桥,3室2厅 | 149平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,96,"6,443元/平"
和平小区地处长江路多层采光好使用面积大,和平小区南区 -银座,3室2厅 | 92.31平米 | 南 | 其他 | 高楼层(共5层)  | 塔楼,0人关注 / 一年前发布,77,"8,342元/平"
人民路旁老证好楼层精装修带储带全部家具家电出售,天阔逸城 -立交桥,3室2厅 | 139.69平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,88,"6,300元/平"
天宏嘉园精装修 三室两厅一厨一卫 带家具家电 带车位,天宏嘉苑 -立交桥,3室2厅 | 138.71平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,85,"6,128元/平"
此房中等装修 上下两层复式 房东诚心卖，看房方便,帝都花园 -立交桥,5室2厅 | 353平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,248,"7,026元/平"
老证 带车位储藏室可按揭 简装三室 看房提前联系,中华世纪城 -火车站,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,6人关注 / 一年前发布,67.2,"7,467元/平"
菏泽市第二建筑公司家属院在卖75万,菏泽市第二建筑工程公司家属院 -香格里拉,3室2厅 | 104.37平米 | 北 | 其他 | 中楼层(共6层)  | 塔楼,4人关注 / 一年前发布,54.5,"5,222元/平"
国贸中心B区 2室1厅 北 南,国贸中心B区 -银座,2室1厅 | 96.5平米 | 北 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 8天以前发布,83,"8,602元/平"
老证方便过户，有装修，可以拎包入住。,怡海花园 -三院,3室2厅 | 126.16平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,80.6,"6,389元/平"
两室朝阳 一楼带入户花园 带储藏室和车位！,紫玉家园 -丹阳桥,3室2厅 | 129.01平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,123,"9,535元/平"
三室两厅一卫交通便利。视野宽阔，采光充足,惠泽花园 -岳程办事处,3室2厅 | 123平米 | 北 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,77,"6,261元/平"
此房老证，名下没有小孩上学.格局好，采光充足,华平小区 -万达广场,2室1厅 | 81.22平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,61,"7,511元/平"
新洲欧洲城   三室两厅  带车位储藏室,新洲欧洲城 -万达广场,3室2厅 | 116.64平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,111,"9,517元/平"
人民路 花园小区 多层复式，大四居 户型方正 采光充足,帝都花园 -立交桥,4室2厅 | 240.37平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,10人关注 / 11个月以前发布,110,"4,577元/平"
花都小商品城 诚心出售三居室老证可按揭看房方便,天华花都小商品城 -西客站,4室1厅 | 123.03平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,68.7,"5,585元/平"
此房位置好，业主自住保养好，老证，中上楼层,牡丹新城南区 -牡丹园,3室2厅 | 94.16平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,50,"5,311元/平"
房子是三室，边户，楼层好，全天没遮挡,天阔逸城 -立交桥,3室2厅 | 147平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,6人关注 / 一年前发布,68,"4,626元/平"
有车位和储藏室，带南北露台，多层公摊小,天华·领秀城 -广州路,2室2厅 | 96.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,68,"7,023元/平"
多层公摊小带车库.临火车站随时看房,馨润嘉园(牡丹区) -惠慈医院,4室2厅 | 173.17平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,122.99,"7,103元/平"
二二中邻多层2楼东边户大三居、南北通透、地上停,邮政局家属院(双河路) -二十二中,3室1厅 | 94.55平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,67.5,"7,140元/平"
颐馨苑户型是三室两厅两卫，南北通透，诚心出售,颐馨苑(牡丹区) -和平南路,3室2厅 | 133.64平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,102,"7,633元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,牡丹新城南区 -牡丹园,3室2厅 | 136.77平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,84.9,"6,208元/平"
赵王河畔，鲁商凤凰城，经典三室，鲁商置业,鲁商凤凰城 -牡丹园,3室2厅 | 128.5平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,84.5,"6,576元/平"
中南世纪锦城小区环境优美，绿化好 空气清新,中南世纪锦城 -牡丹园,3室2厅 | 102.18平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,3人关注 / 一年前发布,73,"7,145元/平"
赵王河畔 城建观澜小区 三室大面积看房子方便,城建华府观澜小区 -牡丹园,3室2厅 | 150.92平米 | 南 北 | 其他 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,95,"6,295元/平"
房子是优质新楼盘，繁华地带可按揭，配套齐全,中华世纪城 -火车站,3室2厅 | 101.36平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,1人关注 / 一年前发布,72,"7,104元/平"
靖乐园大三居室诚心急售老证可贷款,靖乐园小区 -黄河东路,3室2厅 | 151平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,61,"4,040元/平"
精装大三室，设计合理，户型方正。,牡丹新城南区 -牡丹园,3室2厅 | 141平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 11个月以前发布,72,"5,107元/平"
人民路赵王河 精装三室 小高层采光合适 老证可按揭,龙燕阳光城 -火车站,3室1厅 | 141.57平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,99,"6,994元/平"
明珠花园  中间楼层三居室  老证可按揭  房东诚心出售,明珠花园 -西客站,3室2厅 | 143平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,92.9,"6,497元/平"
一梯两户 南北通透 近万达 靠大市实验,奥林花园 -和平南路,3室1厅 | 104.68平米 | 南 北 | 其他 | 低楼层(共10层)  | 板楼,6人关注 / 一年前发布,82.5,"7,882元/平"
大三室，采光好，老证能按揭贷款，交通购物便利,中信广场一期 -香格里拉,3室2厅 | 112.14平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,67,"5,975元/平"
中南世纪锦城双阳台，老证有车位,中南世纪锦城 -牡丹园,3室2厅 | 128.88平米 | 南 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,81.5,"6,324元/平"
赵王河畔金域蓝湾三室带储藏室有证可以贷款,金域澜湾 -牡丹园,3室2厅 | 135.25平米 | 北 南 | 其他 | 中楼层(共33层)  | 暂无数据,2人关注 / 11个月以前发布,90.5,"6,692元/平"
一建小区东区 出行方便 购物便捷,一建小区（东区） -香格里拉,2室1厅 | 67.34平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,35.9,"5,332元/平"
房子在中华路   位置好   交通方便,锦绣中华小区 -银座,3室2厅 | 109平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,83,"7,615元/平"
赵王河畔，双子塔旁，三居室，有证可按揭贷款,御河丹城 -牡丹园,3室2厅 | 118.94平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,70,"5,886元/平"
天华领秀城多层五楼东边户，精装修，拎包入住老证,天华·领秀城 -广州路,4室2厅 | 148平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,82,"5,541元/平"
金盾花园，满五唯一，三室朝阳，带车库。,金盾花园 -西客站,3室2厅 | 112.24平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,83.3,"7,422元/平"
房子是满五年 户型方正 南北通风 居住舒适,天华花都小商品城 -西客站,3室2厅 | 124.16平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,74.5,"6,001元/平"
地理位置好，环境优越，配套设施全出行方便,皇家学府 -汽配城,3室2厅 | 101.35平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 10个月以前发布,66.5,"6,562元/平"
西关好房带车库储藏室价格很合适,明珠花园 -西客站,3室2厅 | 122.93平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,86,"6,996元/平"
人民路 赵王河畔 精装边户大三房观景房可拎包入住,鲁商凤凰城 -牡丹园,3室2厅 | 143平米 | 西 | 其他 | 中楼层(共34层)  | 板楼,4人关注 / 一年前发布,98,"6,854元/平"
牡丹嘉园 带阳面车库 三室两厅一厨两卫,牡丹嘉园 -图书馆,3室2厅 | 124.29平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,94,"7,563元/平"
此房是交通家园，户型方正的，精装修,天华交通家园 -广州路,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,80,"6,250元/平"
水岸嘉园，精致三室眼睛房，满二老证，简单装修,水岸嘉苑 -立交桥,3室2厅 | 134.65平米 | 北 | 其他 | 低楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,82.5,"6,127元/平"
房子三室两厅两卫稀有多层带储藏室 宽敞明亮诚心出售,中富奥斯卡春城 -区委,3室2厅 | 133.25平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,82.5,"6,192元/平"
时代奥城简单装修三居室，2楼看房方便，老证可按揭,亿联时代奥城 -二十一中,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,79,"8,978元/平"
时代奥城，温馨小三室，户型方正无浪费空间，带储藏室,亿联时代奥城 -二十一中,3室2厅 | 88.72平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,14人关注 / 一年前发布,74,"8,341元/平"
火车站旁！带装修三室！有储藏室！随时联系看房！,中华世纪城 -火车站,3室1厅 | 103平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,3人关注 / 一年前发布,66.9,"6,496元/平"
两室户型方正.采光好   视野开阔..,和平人家 -和平南路,2室2厅 | 89.44平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"9,839元/平"
蓝水湾三期南 经典三室 西边户 洋房 可按揭 有地暖,文亭蓝水湾Ⅲ期南 -成武县,3室2厅 | 126.2平米 | 南 | 其他 | 中楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,62,"4,913元/平"
时代奥城精装修三居室，拎包入住有钥匙，诚心出售老证,亿联时代奥城 -二十一中,3室2厅 | 135.23平米 | 南 | 其他 | 低楼层(共20层)  | 板塔结合,32人关注 / 一年前发布,108,"7,987元/平"
视野宽阔、采光充足、配套设施齐全、交通便利,中南世纪锦城 -牡丹园,4室2厅 | 143.75平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,84,"5,844元/平"
金桂花园眼睛户型带车位储藏室，邻银座和谐,金桂花园 -牡丹园,3室2厅 | 134.5平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,82,"6,097元/平"
一楼带院，小高层舒适度高；简装修,剑桥公馆 -一佳,2室1厅 | 78平米 | 南 北 | 简装 | 低楼层(共17层)  | 塔楼,5人关注 / 一年前发布,56,"7,180元/平"
香格里拉国际广场三居室南北通透,香格里拉国际广场 -香格里拉,3室2厅 | 105.71平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,70.3,"6,651元/平"
老证方便过户，主城区，配套齐全。,吉祥商城 -一中,3室2厅 | 79.98平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"8,503元/平"
22中，老证随时过户，小高层，经典小三室，精装修,金都华府 -东关小学,3室2厅 | 111.11平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,4人关注 / 一年前发布,74,"6,661元/平"
二十二中锦绣花城多层三居室老证可按揭,锦绣花城 -二十二中,3室2厅 | 112.28平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,71.5,"6,369元/平"
火车站馨润家园 地上车库 4居室  采光充足  公摊小,馨润嘉园(牡丹区) -惠慈医院,4室2厅 | 171平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,135,"7,895元/平"
馨润嘉园多层5楼精装修，带阁楼、车库，诚心出售,馨润嘉园(牡丹区) -惠慈医院,3室1厅 | 173平米 | 南 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,130,"7,515元/平"
怡海花园 中装三室 老证可按揭 有储藏室,怡海花园 -三院,3室2厅 | 127平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,88,"6,930元/平"
交通便利，出行方便，户型合理，通透明亮,舜馨苑东区 -南外环,4室2厅 | 231.13平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 一年前发布,169,"7,312元/平"
盛世豪庭，复式，大通阳台，满二老证，带储藏室,天宏嘉苑 -立交桥,5室3厅 | 239平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,120,"5,021元/平"
顶层复式，有车位，储藏室，，，，,紫阳小区 -二十一中南校区,4室2厅 | 183平米 | 东 东南 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,110,"6,011元/平"
华侨城二期，精装三室，复式结构，带车位和储藏室,华侨城二期 -万达广场,3室2厅 | 158平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 10个月以前发布,200,"12,659元/平"
南华康城，5室3厅上下复式，老证可以按揭，精装修,南华康城 -立交桥,5室3厅 | 260平米 | 北 南 | 精装 | 高楼层(共11层)  | 板楼,11人关注 / 一年前发布,234.2,"9,008元/平"
和平南路万达旁多层高档小区新闻家园房东诚心出售,新闻家园 -和平南路,3室2厅 | 149.56平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,105,"7,021元/平"
精装 别墅 四层 带院   闲置出售,中富奥斯卡春城 -区委,6室2厅 | 332.28平米 | 南 | 精装 | 4层  | 板楼 | 联排别墅 ,5人关注 / 一年前发布,305,"9,180元/平"
奥斯卡春城多层二楼的东边户 带储藏室车库 简单装修,中富奥斯卡春城 -区委,3室2厅 | 139.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,102,"7,312元/平"
精装 别墅 四层 带院   闲置出售,中富奥斯卡春城 -区委,6室2厅 | 332.28平米 | 南 | 精装 | 4层  | 板楼 | 联排别墅 ,5人关注 / 一年前发布,305,"9,180元/平"
急售 金盾花园 四室 多层三楼 带车库 诚心出售,金盾花园 -西客站,4室2厅 | 153平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,123,"8,040元/平"
时代奥城  可按揭贷款  精装修，即买即入住,亿联时代奥城 -二十一中,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,115,"9,127元/平"
柏青花园小区洋房，大四室，朝阳通透，带电梯,柏青花园小区 -图书大厦,4室2厅 | 163平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,99.5,"6,105元/平"
