标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
看房方便的，楼层好，位置也不错。,芝麻园里小区 -轮渡路,2室1厅 | 68平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,108,"15,883元/平"
华景名苑  92平 三朝南 包储藏室关门卖,华景名苑 -东平路,2室2厅 | 92.32平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,6人关注 / 一年前发布,206,"22,314元/平"
小户型 价格便宜  房东诚心出售,万科城东苑 -洪家,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,3人关注 / 10个月以前发布,158,"17,753元/平"
路桥博物馆旁阳光城璞悦府四室好楼层精装修视线开阔,阳光城中梁·璞悦 -路北,4室2厅 | 126.22平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,207.8,"16,464元/平"
开元小区 3室2厅 南,开元小区 -机场北路,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,148,"14,510元/平"
三居室 离近飞龙湖 出行方便  视野好,乐湖雅苑 -桐屿,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 4个月以前发布,138.8,"10,844元/平"
新楼盘 中间楼层 户型实用 精装修 入住成本低省时省力,祥生国宾府 -路北,4室2厅 | 121平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 9个月以前发布,213,"17,604元/平"
精装修拎包入住独立小院50平方,望洋新村 -老城区,3室1厅 | 63平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 1个月以前发布,80.8,"12,826元/平"
110楼层好、户型好、小区环境好、配套齐全、大小区,云樾观岭 -温岭市,3室2厅 | 110平米 | 东南 | 毛坯 | 低楼层(共27层)  | 暂无数据,4人关注 / 6个月以前发布,231,"21,000元/平"
精装 采光透亮，出行方便，视野无  敌  房东诚心出售,万科城东苑 -洪家,3室2厅 | 89.72平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,1人关注 / 1个月以前发布,152,"16,942元/平"
高桥章嘉苑，飞龙湖板块，轻轨站点，路桥万象城在建,高桥章嘉苑 -桐屿,3室2厅 | 123.5平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 31天以前发布,110,"8,907元/平"
全新精装修没有入住过刚需两室  好楼层 拎包入住,飞龙湖畔 -桐屿,2室1厅 | 63平米 | 南 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 23天以前发布,96,"15,239元/平"
轻轨口，交通方便，小平房，低总价，好户型,恒大城市天地 -洪家,1室1厅 | 62.5平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,4人关注 / 24天以前发布,90.8,"14,528元/平"
白云山壹号 两室一厅 精装修 拎包入住,白云山壹号 -市府,2室1厅 | 59.3平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 19天以前发布,135.8,"22,901元/平"
江南墅洋房143m²，如果爱我，就漂洋过海来看我,朗成江南墅 -市府,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,360,"25,175元/平"
棕榈阳光豪.华装修 满两年白云双校区地段优越看房方便,棕榈阳光 -市府,3室2厅 | 93.82平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,208,"22,171元/平"
繁荣家园 刚需2室 高层 自住装修,繁荣家园 -东平路,2室1厅 | 80平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,20人关注 / 9个月以前发布,140,"17,500元/平"
华馨佳苑3室2庭房，经济实用，适宜居住！,华馨佳苑 -温岭市,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,11人关注 / 一年前发布,86,"6,826元/平"
香榭水岸  阳光充足  房东诚心出售,香榭水岸 -机场北路,3室2厅 | 112平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,4人关注 / 9个月以前发布,185,"16,518元/平"
湖馨佳苑 3室两厅  100平 楼层好,湖馨佳苑 -温岭市,3室2厅 | 100平米 | 西南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,141.5,"14,150元/平"
广厦新村精装三室，空置中，保养好，看房有钥匙,广厦新村 -机场北路,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,138,"12,000元/平"
新小区，采光好，价格适中，入住率高。,川安华庭 -温岭市,3室2厅 | 123.06平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,7人关注 / 10个月以前发布,128,"10,402元/平"
椒江香格里拉花园中层自住精装 产权车位1只 诚意出售,台州▪香格里拉花园 -市府,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,8人关注 / 4个月以前发布,233,"17,924元/平"
云顶佳苑 诚心出售 自住装修 采光无遮挡 带车位,云顶佳苑 -市府,3室2厅 | 148平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,7人关注 / 一年前发布,252.8,"17,082元/平"
光充足，楼层好，视野开阔，户型方正 配套成熟,方远·天辰誉府 -机场北路,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 6个月以前发布,202,"20,200元/平"
泽国品质小区凤凰城，好层，精装修,凤凰城 -温岭市,3室2厅 | 142.5平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,200,"14,036元/平"
70年产权，刚交付的小区，万达商圈近,汀兰雅苑 -市府,3室2厅 | 85平米 | 南 | 其他 | 中楼层(共18层)  | 平房,11人关注 / 10个月以前发布,168,"19,765元/平"
天悦华庭114平方3室2厅2卫1厨230万,中梁天悦华庭 -温岭市,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,2人关注 / 11个月以前发布,230,"20,176元/平"
渝汇蓝湾国际 3室2厅 南,渝汇蓝湾国际 -坎门,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,148,"10,423元/平"
开元小区  2017年新装修  领包入住  近书生,开元小区 -机场北路,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 25天以前发布,149.9,"14,697元/平"
三区融合，洪家大三室，高层，精装,开元·银河名苑 -洪家,3室2厅 | 153平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 30天以前发布,241,"15,752元/平"
香榭水岸 新小区 边套采光好 绿城物业 房东诚心出售,香榭水岸 -机场北路,3室1厅 | 123平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,172,"13,984元/平"
万达商圈，门口就是商场和文渊，中层，包车位,万达广场 -市府,3室2厅 | 109平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 27天以前发布,225,"20,643元/平"
房东诚心出售当角新村 自住装修93.5平方带车库,当角新村 -机场北路,3室2厅 | 93.47平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 30天以前发布,117,"12,518元/平"
阳光新景，两室，70年产权楼梯房,阳光新景小区 -市府,2室1厅 | 49.6平米 | 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,66,"13,307元/平"
海尚望府 好楼层，看房方便  有车位,海尚望府 -洪家,3室1厅 | 101平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,190,"18,812元/平"
荷花路21号 3室2厅 南,荷花路21号 -老城区,3室2厅 | 71平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 18天以前发布,89.8,"12,648元/平"
城西新小区安静适合居住宝龙银泰商圈绿化好,柏澳文和佳园 -温岭市,2室1厅 | 81.43平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 26天以前发布,102.8,"12,625元/平"
阳光新景小区 1室1厅 南,阳光新景小区 -市府,1室1厅 | 27.41平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,43.8,"15,980元/平"
太平洋大厦 精装修朝东 两室 看房方便满两年,太平洋大厦 -市府,2室1厅 | 37.72平米 | 东 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 12天以前发布,59.8,"15,854元/平"
大家云悦钰府两室小户型，双白云，新小区，环境好。,大家金钰府 -市府,2室2厅 | 75平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,11人关注 / 7个月以前发布,168,"22,400元/平"
横峰新小区，环境优美，小区人车分流，出行方便,湖悦华庭 -温岭市,3室1厅 | 122平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,170.8,"14,000元/平"
城市之光小两室电梯中层朝西新装修满两年看房有钥匙,城市之光小区 -机场北路,2室1厅 | 36平米 | 西 | 其他 | 中楼层(共23层)  | 板塔结合,1人关注 / 2个月以前发布,60.8,"16,889元/平"
此房满两年，南北通风，楼层好，视野宽阔，采光充足,华鸿中央首府 -玉环城区,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,3人关注 / 8个月以前发布,310,"22,963元/平"
东诚心出售 采光无遮挡配套设施齐全 交通便利教育培训,海棠新村 -黄岩区,3室2厅 | 86.13平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,118,"13,701元/平"
白云山壹号高楼层，视野开阔采光好，精装修。,白云山壹号 -市府,2室2厅 | 80.97平米 | 东 | 精装 | 高楼层(共17层)  | 板楼,9人关注 / 4个月以前发布,168,"20,749元/平"
博雅苑，户型方正，采光好，适合居住。,博雅苑 -温岭市,3室2厅 | 102.58平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,5人关注 / 5个月以前发布,192,"18,718元/平"
海悦公寓，小区配套成熟市-府大道上交通便利生活设施,海悦公寓 -机场北路,1室1厅 | 45平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,85.8,"19,067元/平"
白云山壹号高楼层，视野开阔采光好，精装修。,白云山壹号 -市府,2室2厅 | 80.97平米 | 东 | 精装 | 高楼层(共17层)  | 板楼,9人关注 / 4个月以前发布,168,"20,749元/平"
博雅苑，户型方正，采光好，适合居住。,博雅苑 -温岭市,3室2厅 | 102.58平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,5人关注 / 5个月以前发布,192,"18,718元/平"
海悦公寓，小区配套成熟市-府大道上交通便利生活设施,海悦公寓 -机场北路,1室1厅 | 45平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,85.8,"19,067元/平"
海悦公寓  两室一厅一厨一卫 楼层高  电梯房,海悦公寓 -机场北路,2室1厅 | 56平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,103.8,"18,536元/平"
优质单身公寓 小区环境优雅 交通便利 路泽太高架,云岭苑 -温岭市,3室1厅 | 93平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,107,"11,506元/平"
椒江嘉和名苑  采光无遮挡   居住安静,嘉和名苑 -机场北路,3室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 7个月以前发布,189.8,"14,600元/平"
横峰新小区，环境优美，小区人车分流，出行方便,湖悦华庭 -温岭市,3室2厅 | 122.34平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,146.8,"12,000元/平"
和平家园电梯中层，精装修三室两厅两卫，看房方便,和平家园 -市府,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,188,"13,334元/平"
旁边是宝龙广场，精装诚售，多个公园步行可及,阳光国际公寓一期 -轮渡路,2室1厅 | 52.5平米 | 东北 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 6个月以前发布,89.8,"17,105元/平"
新都会诚售！户型方正，通透采光好！,台州中梁阳光城台州一号 -市府,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,350,"24,476元/平"
"面积适中,价格低,采光好,房型正,南北通风格局",嘉盛苑南区 -黄岩区,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,26人关注 / 8个月以前发布,75,"8,334元/平"
富康小区 3室2厅 南 北,富康小区 -靖江,3室2厅 | 101.69平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,118.8,"11,683元/平"
好楼层 采光好  单价低 房东诚心出售,星辰嘉苑 -洪家,3室2厅 | 98平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼,11人关注 / 11个月以前发布,115,"11,735元/平"
碧桂园玖樟台197平，四朝南被动式住宅业主诚心出售,碧桂园·保利玖樟台 -体育场,4室2厅 | 197平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,529.8,"26,894元/平"
海天苑两室精装修，电梯房，采光好，看房有密码,中海▪海天苑 -市府,2室1厅 | 75平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,41人关注 / 6个月以前发布,142,"18,934元/平"
出售都市丽景车房上一层，三朝南,都市丽景 -轮渡路,3室2厅 | 124.84平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,158,"12,657元/平"
此房满二，楼层好，视野开阔，采光足，配套齐全,城市港湾B区 -洪家,3室2厅 | 139平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,1人关注 / 8个月以前发布,129,"9,281元/平"
横峰新小区，环境优美，小区人车分流，出行方便,湖悦华庭 -温岭市,3室2厅 | 143.27平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,167.63,"11,701元/平"
文鼎苑125平毛坯，新小区，好位置好楼层,文鼎苑 -东平路,3室2厅 | 124.61平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,272,"21,829元/平"
枫南小区三室二厅二卫，精装修，南北通,枫南小区 -机场北路,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 31天以前发布,138,"10,782元/平"
采光透亮，出行方便，银泰商圈购物方便,万科城南苑 -洪家,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,1人关注 / 2个月以前发布,188,"14,921元/平"
罕见南北通户型，西灿，高层三房，纯毛坯视野好,东方太阳城 -东平路,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,1人关注 / 3个月以前发布,138.8,"13,347元/平"
出售  桔园小区  底楼层 位置好,桔园小区 -轮渡路,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,116,"13,182元/平"
香榭水岸诚售！户型方正通透，采光好！,香榭水岸 -机场北路,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 2个月以前发布,163,"13,253元/平"
海悦公寓电梯高层东灿全新装修正两室拎包入住满二年,海悦公寓 -机场北路,2室1厅 | 69.3平米 | 东南 北 | 其他 | 高楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,130.8,"18,875元/平"
方远天辰誉府好楼层房东诚心出售视线无遮挡,方远·天辰誉府 -机场北路,3室2厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,4人关注 / 6个月以前发布,198,"19,800元/平"
采光充足，配套齐，交通方便，环境优美，视野开阔,银桂苑 -体育场,2室2厅 | 90.67平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,148,"16,323元/平"
香榭水岸 新小区 采光好 绿城物业 房东诚心出售,香榭水岸 -机场北路,3室2厅 | 123.86平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,178,"14,372元/平"
精装房，可以直接拎包入住，高铁口，轻轨边,东方太阳城 -东平路,2室1厅 | 74.9平米 | 东北 | 其他 | 低楼层(共24层)  | 板楼,10人关注 / 6个月以前发布,100,"13,352元/平"
港湾花园2室 42.25m² 双白云 看房有钥匙 诚心卖,港湾花园 -市府,2室1厅 | 42.25平米 | 东北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,81,"19,172元/平"
水塔巷 2室1厅 南,水塔巷 -老城区,2室1厅 | 54.96平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,2人关注 / 1个月以前发布,79.8,"14,520元/平"
大洋西路 3室2厅 南,大洋西路 -靖江,3室2厅 | 99.66平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,165.8,"16,637元/平"
九龙园，全新装修，价格便宜180万拎包入住,西溪山庄九龙园 -温岭市,2室2厅 | 89平米 | 南 东南 | 其他 | 中楼层(共32层)  | 板塔结合,3人关注 / 9个月以前发布,180,"20,225元/平"
川安华庭143面积3室2卫，业主诚意出售。,川安华庭 -温岭市,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,2人关注 / 7个月以前发布,164.45,"11,500元/平"
海湾浪琴花园，三室两厅，房东诚心出售,海湾浪琴花园 -市府,3室1厅 | 125平米 | 东 西 | 精装 | 中楼层(共5层)  | 板楼,9人关注 / 4个月以前发布,160,"12,800元/平"
业主诚心出售，户型方正，采光充足,都市壹号名苑 -温岭市,3室2厅 | 131.1平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,1人关注 / 11个月以前发布,139.5,"10,641元/平"
