标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
双气，双卫，老证，中间楼层，全天采光,恒基名都 -驿城区,3室2厅 | 126.16平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,83.6,"6,627元/平"
新加坡花园 精装3房 户型方正 楼层好 采光好,东方花都 -驿城区,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 一年前发布,85.9,"6,872元/平"
同信世博院3-2-1-1 103.60m²,同信世博院 -驿城区,3室2厅 | 102.66平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,57.5,"5,602元/平"
西班牙小镇二期3-1-1-1 114.00m² 69.8 万,西班牙小镇二期 -驿城区,3室1厅 | 114平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 5个月以前发布,69.8,"6,123元/平"
建业十八城四期 3室2厅 南,建业十八城四期 -驿城区,3室2厅 | 143.5平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 30天以前发布,105,"7,318元/平"
蓝天环球港旁玖号院毛坯三房有证可按揭,蓝天玖号院 -驿城区,3室1厅 | 132.47平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 25天以前发布,82,"6,191元/平"
惠邦联盟新城 装修基本完成 通透 市政双气,惠邦联盟新城 -驿城区,3室2厅 | 123平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 22天以前发布,83,"6,748元/平"
天地惠城，环境优美，出行便利，购物方便，,天地惠城西区 -驿城区,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 17天以前发布,63,"4,599元/平"
美域美家 4室2厅 南,美域美家 -驿城区,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 18天以前发布,112,"7,833元/平"
香水湾，精装小户型，老证无纠纷，看房方便,香水湾 -驿城区,1室0厅 | 46平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,31.5,"6,848元/平"
此房是电梯房，小区位置好，户型方正。,天腾盛世 -驿城区,1室1厅 | 37.93平米 | 西北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 16天以前发布,16.5,"4,351元/平"
此房格局好楼层好，视野宽阔采光充足，配套设施齐全,建业十八城四期 -驿城区,2室2厅 | 92.08平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,65,"7,060元/平"
区财政局家属院 3室1厅 南,区财政局家属院 -驿城区,3室1厅 | 128平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 1个月以前发布,70,"5,469元/平"
此房户型好楼层佳，带家具家电老证可按揭,民生天都星城北区 -驿城区,2室2厅 | 92.8平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,53.8,"5,798元/平"
凤凰城两室两厅精装修没咋住、满五过户费用低,东申凤凰城 -驿城区,2室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 24天以前发布,86,"7,167元/平"
解放路西段  二楼老证过户便宜,西园城市信用社封闭式家属院 -驿城区,3室2厅 | 135.45平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,14人关注 / 一年前发布,46.5,"3,434元/平"
小区已改造，环境好位置佳，院内停车方便 ，居住舒适,纱厂社区 -驿城区,2室1厅 | 60平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 17天以前发布,15,"2,500元/平"
一楼带大院子，毛坯，随心装修，老证。。,木材公司家属院 -驿城区,3室1厅 | 114.34平米 | 南 | 毛坯 | 6层  | 板楼,3人关注 / 5个月以前发布,52,"4,548元/平"
此房户型方正，采光充足，小区干净卫生,建业十八城 -驿城区,3室2厅 | 139.77平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,95,"6,797元/平"
此房楼层较好，采光好，全明户型，旁边配套齐全，,驿城新村 -驿城区,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 14天以前发布,28.8,"5,237元/平"
大地丽都三期 3室1厅 南,大地丽都三期 -驿城区,3室1厅 | 128.2平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 9天以前发布,80,"6,241元/平"
鹏宇天下城精装修，带家具家电，老证,鹏宇天下城 -驿城区,3室2厅 | 118.85平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,73,"6,143元/平"
精装修，硅藻泥，交通便利，户型方正，环境优美,民生 · 天都星城南区 -驿城区,4室2厅 | 123.36平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,89.8,"7,280元/平"
老证，过户费低，落地大阳台，体育场旁边,天中上境I期 -驿城区,3室1厅 | 124平米 | 南 | 精装 | 34层  | 塔楼,2人关注 / 2个月以前发布,89.8,"7,242元/平"
十八城西院 三房两卫 好楼层 老证 随时看房,建业十八城四期 -驿城区,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,107,"7,811元/平"
精装修，有证可按揭，边户，观景效果好，中间楼层,锦桂苑 -驿城区,3室1厅 | 127.81平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,79.8,"6,244元/平"
金水湾精装大三房户型方正布局合理看房方便诚心出售,金水湾 -驿城区,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共14层)  | 塔楼,0人关注 / 2个月以前发布,89.8,"7,422元/平"
房源新装修未入住 诚心卖房 带着家具，楼层佳采光好,上海滩花园 -驿城区,4室1厅 | 115平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,79.6,"6,922元/平"
同信世博院大三房精装未入住看房方便有钥匙诚心出售,同信世博院 -驿城区,3室1厅 | 127平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 3个月以前发布,88,"6,930元/平"
无遮挡采光视野好，精装修看房方便,时代春天 -驿城区,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,3人关注 / 4个月以前发布,71.9,"6,478元/平"
文化路 双xue校 老证带装修 电梯房 随时看,民生天都星城北区 -驿城区,2室2厅 | 88.36平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,49,"5,546元/平"
乐山路中段步梯三楼带配房客厅朝阳三叶草户型,木材公司家属院 -驿城区,3室1厅 | 100平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 4个月以前发布,35,"3,500元/平"
文明路南段 同信世博苑 高层电梯新装修,同信世博院 -驿城区,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,79.8,"6,821元/平"
美域美家四室两厅两卫多层电梯洋房全新毛坯有证可按揭,美域美家 -驿城区,4室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,95,"6,935元/平"
文明路南段 同信世博苑院 精装修,同信世博院 -驿城区,3室2厅 | 126.27平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,79,"6,257元/平"
上海滩花园 3室1厅 南,上海滩花园 -驿城区,3室1厅 | 114平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,79.8,"7,000元/平"
同信滨江1号 3室2厅 南,同信滨江1号 -驿城区,3室2厅 | 104.9平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,69.5,"6,626元/平"
文明路，富华花园，精装修，3房，老证,富華名门小区 -驿城区,3室2厅 | 142平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 31天以前发布,82,"5,775元/平"
碧桂园清月湾 高档小区 双气 精装修未入住 有证可按揭,碧桂园清月湾 -驿城区,3室2厅 | 115.26平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,6人关注 / 5个月以前发布,85,"7,375元/平"
精装未住过大三房   中泓上林居 有证可按揭....,中泓上林居 -驿城区,3室2厅 | 124.73平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,83.8,"6,719元/平"
房东急卖 急卖 精装修  可以随时过户  入住,同信滨江贰号 -驿城区,3室2厅 | 128.43平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,86.8,"6,759元/平"
沪强风光城  电梯3房 采光好 看房方便,沪强风光城 -驿城区,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,4人关注 / 一年前发布,71,"5,967元/平"
青少年科技馆旁，距离玖隆茂商场，19中28小近在咫尺,天地惠城西区 -驿城区,3室2厅 | 135平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,3人关注 / 4个月以前发布,68,"5,038元/平"
文明路南段 上海滩花园 精装修 有证,上海滩花园 -驿城区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,65,"6,702元/平"
锦桂苑 3室2厅 南,锦桂苑 -驿城区,3室2厅 | 105.5平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,75,"7,110元/平"
房源新装修未入住 诚心卖房 带着家具家电 老证采光好,万博林地海湾 -驿城区,3室1厅 | 138平米 | 南 | 精装 | 32层  | 板楼,0人关注 / 2个月以前发布,89.8,"6,508元/平"
西班牙小镇XveQv精装修三房，带家具家电老证可按,西班牙小镇二期 -驿城区,3室1厅 | 92平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,66.8,"7,261元/平"
户型方正合理一梯两户 楼层佳，朝向南 北,宏达化工小区 -驿城区,2室2厅 | 78.41平米 | 东 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,29,"3,699元/平"
中央城邦，两梯三户小套住宅，地暖双气精装老证可按揭,中央城邦 -驿城区,1室1厅 | 53.98平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,9人关注 / 8个月以前发布,38,"7,040元/平"
理想城住宅小区2-2-1-2 94.00m² 66 万,理想城住宅小区 -驿城区,2室2厅 | 94.12平米 | 南 北 | 简装 | 高楼层(共25层)  | 板塔结合,1人关注 / 6个月以前发布,60.5,"6,428元/平"
天都星城，一室一厅，通透户型，拎包入住,民生天都星城北区 -驿城区,1室1厅 | 53平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,31.5,"5,944元/平"
驻马店市温馨大三房126平直接看房,西班牙小镇二期 -驿城区,3室2厅 | 123.21平米 | 南 | 毛坯 | 33层  | 塔楼,19人关注 / 6个月以前发布,69,"5,601元/平"
西班牙二期，3室，精装修朝阳，带家具未入住，有证,西班牙小镇二期 -驿城区,3室1厅 | 91.2平米 | 东 | 精装 | 33层  | 塔楼,7人关注 / 6个月以前发布,65,"7,128元/平"
低于市场价 房东急售 天平花苑3室毛坯房,天平花苑 -驿城区,3室2厅 | 113.84平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 6个月以前发布,67,"5,886元/平"
户型方正，采光通风效果好，实用，户型方正，设计合理,一纸厂家属院 -驿城区,3室1厅 | 87平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 6个月以前发布,24.5,"2,817元/平"
建业十八城老证138平3室2厅2卫简装南北通透105万,建业十八城 -驿城区,3室2厅 | 138.45平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,3人关注 / 9个月以前发布,104.5,"7,548元/平"
电梯洋房1梯2户，毛坯，采光好位置佳,置地友谊花园 -驿城区,3室2厅 | 126.96平米 | 南 | 毛坯 | 8层  | 板塔结合,2人关注 / 一年前发布,79,"6,223元/平"
北实小隔壁，富华花园大三房，毛坯 有证,富華名门小区 -驿城区,3室2厅 | 141.02平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 6个月以前发布,72,"5,106元/平"
福苑广场 3室2厅 西南,福苑广场 -驿城区,3室2厅 | 138.2平米 | 西南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,87,"6,296元/平"
老市委 位置好 交通便利 带两间配房,老市委家属院 -驿城区,3室1厅 | 74.7平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,6人关注 / 一年前发布,39,"5,221元/平"
正乐街纪委家属院 4室2厅 南,正乐街纪委家属院 -驿城区,4室2厅 | 171平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,93.7,"5,480元/平"
明珠港湾，中间楼层温馨两室，可按揭，随时看房,明珠港湾 -驿城区,2室2厅 | 96.68平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 4个月以前发布,62.5,"6,465元/平"
高铁新城三居室  前排视野开阔采光充足,高铁新城 -驿城区,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,5人关注 / 7个月以前发布,70,"6,195元/平"
置地弘润山，边户通透三房，16楼好楼层，价可谈,置地弘润山 -驿城区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,75.8,"6,113元/平"
温馨三房.小区环境好.价格便宜.,蓝天尚品 -驿城区,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,45,"4,500元/平"
锦桂苑，全天采光通透，停车方便，可按揭,锦桂苑 -驿城区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 7个月以前发布,65,"5,159元/平"
人车分流 适合刚结婚的年轻人  还适合老年人居住.,锦桂苑 -驿城区,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,53,"5,000元/平"
高铁新城 3室1厅 南,高铁新城 -驿城区,3室1厅 | 106平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 11个月以前发布,72,"6,793元/平"
驿丰园社区环境优美，交通方便，物业服务好,驿丰园社区 -驿城区,3室1厅 | 140平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,60.8,"4,343元/平"
碧桂园清月湾 3室2厅 南 北,碧桂园清月湾 -驿城区,3室2厅 | 115.26平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,86,"7,462元/平"
天地惠城西区，精装大三房，双气小区好楼层，全明户型,天地惠城西区 -驿城区,3室2厅 | 137.97平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,77,"5,581元/平"
双气社区，惠邦联盟新城，精装大三室，老证,惠邦联盟新城 -驿城区,3室2厅 | 120.1平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,87.8,"7,311元/平"
恒大名都精装双气2房，未入住，有钥匙看房方便,驻马店恒大名都 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 6个月以前发布,92,"6,815元/平"
楼层佳 光线好  位置佳 老证可按揭,同信缤纷之窗 -驿城区,3室2厅 | 94.98平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,67.9,"7,149元/平"
步梯二楼，公摊小，采光充足，适应居住,天水雅居 -驿城区,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,50.8,"4,619元/平"
建业十八城4楼3室2厅1卫120平米老证,建业十八城 -驿城区,3室2厅 | 120.06平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,96,"7,997元/平"
环球港旁蓝天玖号院双气精装三房老证可按揭,蓝天玖号院 -驿城区,3室2厅 | 109平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,78,"7,156元/平"
天中国际 3室2厅 南 北,天中国际 -驿城区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,75,"6,522元/平"
此房楼层好，格局好，视野开阔，采光充足，配套设..,驻马店建业森林半岛 -驿城区,5室2厅 | 188.54平米 | 西 | 精装 | 高楼层(共11层)  | 板楼,10人关注 / 一年前发布,140,"7,426元/平"
小区环境好。 居住舒适，配套成熟，交通便利。,一高分校家属院 -驿城区,3室2厅 | 119.81平米 | 南 | 精装 | 6层  | 板楼,6人关注 / 4个月以前发布,56,"4,675元/平"
民生天都星城北区 1室1厅 南,民生天都星城北区 -驿城区,1室1厅 | 49.71平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,33,"6,639元/平"
天地惠城小区，市政供暖，随心装修。,天地惠城西区 -驿城区,3室2厅 | 139.54平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 17天以前发布,61,"4,372元/平"
西湖庄园 3室2厅 南,西湖庄园 -驿城区,3室2厅 | 137平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 30天以前发布,72.8,"5,314元/平"
：适宜大众人群，喜迎门购物方便，,置地第一大街 -驿城区,2室1厅 | 81平米 | 西南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 17天以前发布,51.8,"6,396元/平"
置地公园旁  同 信 滨 江 一 号,同信滨江1号 -驿城区,3室2厅 | 115.53平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,67,"5,800元/平"
4A级景区  洋房社区  户型方正 看房方便,皇家驿站 -驿城区,4室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共13层)  | 板楼,5人关注 / 6个月以前发布,65,"4,962元/平"
房东诚心出售房源钥匙在我店随时可以看房,高铁新城 -驿城区,3室1厅 | 115平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,76,"6,609元/平"
驿城大道与雪松大道交叉口西北角。。。。。。。。,天中红园 -驿城区,4室2厅 | 137.21平米 | 西 | 精装 | 高楼层(共11层)  | 塔楼,1人关注 / 11个月以前发布,100,"7,289元/平"
