标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
冶都森林公园，小区环境优美，小区安防到位,冶都森林公园 -清丰县,3室2厅 | 129平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,66,"5,117元/平"
房子是普通装修 交通便利 小区环境干净舒适,添运小区(南海路) -华龙区,3室1厅 | 51平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 5个月以前发布,56,"10,981元/平"
此房属于精装修，可以包更名，可以支持贷款看房有钥匙,物华国际城二期 -华龙区,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,12人关注 / 一年前发布,89.6,"7,792元/平"
茗雅苑小区 3室2厅交通便利 小区环境干净舒适,茗雅苑 -濮阳县,3室2厅 | 125平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,73,"5,840元/平"
明日星城高干三楼装修干净三室朝阳大阳台,明日星城 -华龙区,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42,"3,560元/平"
市区农行家属院三室一厅一厨一卫南北通透户型方正,市区农行生活区 -华龙区,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,68,"6,733元/平"
绿景小区   二楼  位置好  不临街  采光充足,绿景小区 -华龙区,2室1厅 | 57.87平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,69.9,"12,079元/平"
电梯两居，精装修，无抵押无贷款产权清晰，两梯三户,建业桂园 -华龙区,2室2厅 | 85.14平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,4人关注 / 9个月以前发布,65.8,"7,729元/平"
支重办家属院，三室两厅，交通便利,支重办家属院 -华龙区,3室2厅 | 130.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,68,"5,203元/平"
天成美景，三室两厅，125.19平方米，位置好。,天成美景 -清丰县,3室2厅 | 125.19平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,65,"5,193元/平"
满五唯一 家具家电齐全，拎包入住，不用重新装修,庆建南区 -华龙区,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,73.5,"6,870元/平"
九天城精装修复式层，产权清晰，有钥匙随时看房,九天城 -华龙区,4室2厅 | 194平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 9个月以前发布,178,"9,176元/平"
现房毛坯湖景房，南北双阳台，待车位,怡海龙湖壹号 -华龙区,4室1厅 | 170平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,1人关注 / 3个月以前发布,163,"9,589元/平"
幸福里电梯三室，毛坯房可自由装修,温馨花园幸福里小区 -濮阳县,3室2厅 | 110.39平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 5个月以前发布,46,"4,168元/平"
越绣桂园  上下复式  毛坯现房  采光好,越绣桂园 -濮阳县,4室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 4个月以前发布,85,"6,072元/平"
碧水云天 非顶楼 两室满五唯一南北通透的户型,碧水云天 -华龙区,2室1厅 | 67.74平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,53,"7,825元/平"
业主诚心出售 采光好 户型方正 舒适大两房,粮食局家属院 -华龙区,2室2厅 | 68.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,58,"8,443元/平"
新华社区3室2厅交通便利小区环境干净,新华新民社区 -濮阳县,3室2厅 | 130平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,48,"3,693元/平"
龙卧居三室两厅两卫，家电齐全拎包入住,盛世经典 -南乐县,3室2厅 | 127.8平米 | 南 | 精装 | 低楼层(共9层)  | 暂无数据,2人关注 / 4个月以前发布,92,"7,199元/平"
胜东花园 交通便利 小区环境干净舒适 适合居住,汇丰胜东花园 -华龙区,3室2厅 | 110平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,87,"7,910元/平"
龙都花园，统一空调，24温泉热水,龙都花园 -濮阳县,3室2厅 | 123.4平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,62.8,"5,090元/平"
越绣学府 3室2厅 西,越绣学府 -华龙区,3室2厅 | 121平米 | 西 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,98,"8,100元/平"
建业城小区三室两厅两卫  环境干净整洁 交通便利,建业城1期 -濮阳县,3室2厅 | 130平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,71,"5,462元/平"
急售香榭里 2室 精装修 有家具家电 有地下室,香榭里 -华龙区,2室1厅 | 59.08平米 | 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 6个月以前发布,73,"12,357元/平"
书香名门 3室2厅 东,书香名门 -南乐县,3室2厅 | 133平米 | 东 | 其他 | 中楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,70,"5,264元/平"
龙城花园小区3室2厅  交通便利 小区环境干净舒适,龙城花园南区 -濮阳县,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,43,"3,982元/平"
丁香园小区 二楼 2室2厅 业主包差价,阳光丁香园 -华龙区,2室2厅 | 72平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,63,"8,750元/平"
绿城花园四室两厅两卫，采光充足视野开阔,绿城花园 -华龙区,4室1厅 | 143平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,135,"9,441元/平"
龙都花园三室两天交通方便小区环境干净舒适,龙都花园 -濮阳县,3室2厅 | 100平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,51,"5,100元/平"
金庆小区两室两厅小区交通便利，环境干净舒适，适合居,金庆小区 -华龙区,2室2厅 | 96平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,53,"5,521元/平"
此房子是次顶层，毛坯房，业主原价转让，看房有钥匙，,冶都森林里 -清丰县,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,75,"6,000元/平"
红旗小区 交通便利 小区环境干净舒适 适合居住,红旗小区 -濮阳县,3室2厅 | 103平米 | 西 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9个月以前发布,45,"4,369元/平"
荣域瓏府三室两厅交通便利，小区环境方面确实适合居,荣域·瓏府 -濮阳县,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 10个月以前发布,68,"5,355元/平"
城上城小区电梯房三室两厅一厨一卫,城上城 -华龙区,3室2厅 | 111.04平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 塔楼,3人关注 / 一年前发布,98,"8,826元/平"
未来城毛坯西边户好楼层支持低首付,众鑫未来城二期 -濮阳县,3室1厅 | 114.28平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,58.5,"5,120元/平"
交通便利 小区环境干净舒适，适合居住，看房方便,众鑫未来城二期 -濮阳县,3室2厅 | 97平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,48,"4,949元/平"
建业城小区 3室2厅交通便利 小区环境干净舒适,建业城1期 -濮阳县,3室2厅 | 135.8平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,55,"4,051元/平"
此房是桃李春风小区，此小区是新小区交通便利适合居住,汇丰桃李春风 -华龙区,3室2厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,76,"6,847元/平"
南乐温莎尚郡四室两厅两卫，户型格局方正 适合居住,温莎尚郡 -南乐县,4室2厅 | 150.63平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,3人关注 / 4个月以前发布,70,"4,648元/平"
绿景花园 3室2厅 南 北,绿景花园 -华龙区,3室2厅 | 106平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,66.6,"6,284元/平"
中梁壹号院三室两厅，看房方便，有钥匙,中梁壹号院 -华龙区,3室2厅 | 116.15平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,80,"6,888元/平"
三室两厅房子户型好，出行方便户型好,上景湾 -濮阳县,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,62,"5,255元/平"
非凡景致电梯房，户型方正，南北通透,非凡景致小区 -华龙区,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 10个月以前发布,86,"7,890元/平"
濮水桃花源，三室两厅两卫，交通便利，小区环境干净舒,濮水桃花源 -濮阳县,3室2厅 | 116.19平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,54.9,"4,726元/平"
泰和兴龙湾毛坯房随意装修中间楼层业主包税,兴龙湾三期 -华龙区,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,9人关注 / 一年前发布,66,"5,117元/平"
三室两厅两卫户型好出行方便居住舒适,荣域·瓏府 -濮阳县,3室2厅 | 116.28平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,2人关注 / 3个月以前发布,57,"4,902元/平"
未来城二期，三室两厅一厨一卫。交通便利小区环境干净,众鑫未来城二期 -濮阳县,3室2厅 | 97.88平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,9人关注 / 一年前发布,47,"4,802元/平"
龙都名城3室，业主诚心出售，随时可以看房,龙都名城 -濮阳县,3室2厅 | 122.2平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,54,"4,419元/平"
龙湖澜岸小区 三室两厅 交通便利 小区环境好,龙湖澜岸 -华龙区,3室2厅 | 136.2平米 | 西 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,90,"6,608元/平"
龙都花园小区，三室两厅小区环境干净舒适适合居住。,龙都花园 -濮阳县,3室2厅 | 100.2平米 | 西南 | 精装 | 高楼层(共26层)  | 暂无数据,2人关注 / 10个月以前发布,51.6,"5,150元/平"
精装修三室两厅，带屋内家具家电，一梯两户的多层洋房,格瑞斯小镇 -濮阳县,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,62,"5,300元/平"
龙城花园精装修三室两厅一卫，中楼层,龙城花园南区 -濮阳县,3室2厅 | 107.89平米 | 西 | 简装 | 高楼层(共18层)  | 板塔结合,6人关注 / 10个月以前发布,50,"4,635元/平"
龙湖澜岸小区 三室两厅 交通便利 小区环境好,龙湖澜岸 -华龙区,3室2厅 | 136.2平米 | 西 | 简装 | 高楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,90,"6,608元/平"
格瑞斯小镇三室一厅，户型方正，采光好,格瑞斯小镇 -濮阳县,3室1厅 | 95平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,50,"5,264元/平"
心怡花园三室交通便利，小区环境干净舒适适合居住,心怡花园 -濮阳县,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,54,"4,500元/平"
建 行家属院  交通便利 小区环境干净舒适 适合居住,建行家属院(大庆中路) -华龙区,3室1厅 | 80.91平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9个月以前发布,52,"6,427元/平"
龙之光一期 精装三室 采光好 业主包税拎包入住,龙之光 -华龙区,3室2厅 | 139平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,118,"8,490元/平"
建业景园三室两厅两卫小区环境好,建业璟园 -濮阳县,3室2厅 | 135平米 | 西 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,80,"5,926元/平"
越绣樟园，新小区刚交房，人车分流，户型方正，交通方,华信越绣樟园 -华龙区,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,56,"5,334元/平"
交通便利小区环境干净舒适适合居住,广润新城 -濮阳县,3室2厅 | 102平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,48,"4,706元/平"
东湖湾小区 三室两厅 交通便利 小区环境干净舒适 适,汇丰东湖湾 -华龙区,3室2厅 | 115.15平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,2人关注 / 2个月以前发布,70,"6,080元/平"
本小区方正户型，空间感好，通透性好，居住舒适,荣域·瓏府 -濮阳县,3室2厅 | 124.08平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,2人关注 / 9个月以前发布,64,"5,158元/平"
丁香园两室两厅中装小区适合居住，一楼，,阳光丁香园 -华龙区,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共11层)  | 暂无数据,5人关注 / 一年前发布,58,"7,250元/平"
新上急售房源安厦小区步梯房低楼层出行方便配套齐全,安厦小区 -华龙区,2室1厅 | 68.81平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,50,"7,267元/平"
此房是步梯四楼，两室朝阳，精装婚房，看房有钥匙，,玉苑金鼎小区 -华龙区,3室2厅 | 103.3平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,76,"7,358元/平"
众悦鑫城 交通便利 小区环境干净舒适 适合居住,众悦鑫城 -濮阳县,4室2厅 | 150.64平米 | 东 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 6个月以前发布,88,"5,842元/平"
龙溪地高性价洋房，采光好，户型好,龙溪地 -濮阳县,2室2厅 | 88平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,43,"4,887元/平"
中堂府邸小区三室两厅交通便利小区环境干净适合居住,中堂府邸 -濮阳县,3室2厅 | 139平米 | 西 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,69.9,"5,029元/平"
三室两厅一厨两卫，公摊小，居住舒适,龙升佳苑 -濮阳县,3室2厅 | 116.58平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,46,"3,946元/平"
建业桂园小区 精装修两室 环境优美 采光充足,建业桂园 -华龙区,2室2厅 | 87平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,5人关注 / 6个月以前发布,63,"7,242元/平"
交通便利 小区环境干净舒适 适合居住,华信越绣华府 -濮阳县,3室2厅 | 105.6平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,2人关注 / 5个月以前发布,56,"5,304元/平"
优质好房推荐丽景上品三室两厅两卫户型方正看房方便,丽景上品上品坊 -华龙区,3室2厅 | 133.75平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 11个月以前发布,88,"6,580元/平"
房子三室两厅是毛坯房，户型方正无拆改，采光无遮挡，,公园一品 -濮阳县,3室2厅 | 117平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,57,"4,872元/平"
兴龙湾三室两厅一厨两卫交通便利小区干净舒适适合居住,兴龙湾三期 -华龙区,3室2厅 | 129.73平米 | 南 北 | 其他 | 高楼层(共30层)  | 塔楼,6人关注 / 8个月以前发布,66,"5,088元/平"
建业城三室两厅一卫南北通透户型方正业主诚心出售,建业城1期 -濮阳县,3室2厅 | 118.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"4,469元/平"
龙城花园温馨三室  精装修 中间楼层户型通风,龙城花园南区 -濮阳县,3室2厅 | 100.35平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,4人关注 / 7个月以前发布,47,"4,684元/平"
公园一品小区三室两厅一卫交通便利，小区干净舒适,公园一品 -濮阳县,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,53.5,"4,653元/平"
龙溪地三室二厅二卫环境优美交通便利适合居住,龙溪地 -濮阳县,3室2厅 | 131平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,54,"4,123元/平"
恒大珺睿府新小区，品牌小区，小区环境干净舒适优美，,恒大·珺睿府 -濮阳县,3室2厅 | 117.87平米 | 西 | 毛坯 | 中楼层(共15层)  | 暂无数据,1人关注 / 5个月以前发布,69,"5,854元/平"
精装婚房，多层洋房，有阁楼、有地下室，满五唯一出售,格瑞斯小镇 -濮阳县,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,59.8,"5,538元/平"
濮水桃花源小区，交通方便，小区环境干净舒适，,濮水桃花源 -濮阳县,4室2厅 | 127.09平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,90,"7,082元/平"
恒大珺睿府新小区，品牌小区，小区环境干净舒适优美，,恒大·珺睿府 -濮阳县,3室2厅 | 117.87平米 | 西 | 毛坯 | 中楼层(共15层)  | 暂无数据,1人关注 / 5个月以前发布,69,"5,854元/平"
