标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
凤林保利名著可看海毛坯三室好楼层,财信保利名著 -凤林&宋家洼,3室2厅 | 92.97平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 3个月以前发布,99.5,"10,703元/平"
长峰山花泰和府精装两室带大露台几乎未住  通透有车位,山花泰和府 -长峰,2室1厅 | 97平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,118,"12,165元/平"
竹岛大润发 低楼层 三室向阳 精装修 车位充足,梦海苑 -竹岛,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,109.8,"11,091元/平"
头排全海景房360度看海排全明户型拎包入住,海韵阳光花园 -银滩旅游度假区,2室1厅 | 80.26平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 1个月以前发布,27.2,"3,389元/平"
海景房  中式装修带露台看全海景 两个卫生间 购物便捷,正华水岸新城小区 -银滩旅游度假区,2室1厅 | 83平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,21人关注 / 3个月以前发布,28.8,"3,470元/平"
汽车站韩乐坊乐天世纪城70年产权，民水民电,乐天世纪城 -皇冠,1室1厅 | 49.4平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,62,"12,551元/平"
长峰馨安苑精装修双卧向阳好户型中间楼层急售,长峰馨安苑小区 -长峰,2室2厅 | 91.41平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,85.8,"9,387元/平"
维利亚花园  三室两厅 东边户  市政供暖   全明户型,维利亚花园 -银滩旅游度假区,3室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,35.6,"3,424元/平"
市里统一路杏花街精装修2楼边户三室全明户型免费停车,杏花村居民小区 -环翠楼,3室2厅 | 72.7平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,71人关注 / 9个月以前发布,57,"7,841元/平"
万福好位置无坡上一段台阶好格局边户全明户型,万福山庄 -市政府,2室1厅 | 63.77平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,10人关注 / 4个月以前发布,52.8,"8,280元/平"
银滩水岸新城，两居室南北卧南厅，带大阳台,正华水岸新城小区 -银滩旅游度假区,2室2厅 | 75平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,67人关注 / 4个月以前发布,7,934元/平
房户型是南北朝向 视野无遮挡 采光以及通风好,古寨社区 -寨子,2室1厅 | 67平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 8个月以前发布,53.8,"8,030元/平"
万象城四期 三室二卫带车位储藏室 精装修有钥匙随时看,蓝星万象城 -皇冠,3室1厅 | 130平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,6人关注 / 8个月以前发布,169,"13,000元/平"
万科翡翠公园 精装带车位  电梯房六楼  三室两厅两卫,万科威高翡翠公园 -蒿泊,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 一年前发布,175,"14,584元/平"
华夏玉兰花园电梯洋房8楼精装修3室带储藏室可拎包入住,玉兰花园 -华夏,3室2厅 | 89.7平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 1个月以前发布,77,"8,585元/平"
恒大海上帝景三室精装电梯，南客厅，南向两个卧室。,威海恒大海上帝景 -望岛,3室2厅 | 107平米 | 北 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,149,"13,926元/平"
市中小别墅 相邻振华奥特莱斯 城中小院静享庭院时光,文峰一街 -环翠楼,4室2厅 | 55平米 | 南 北 | 精装 | 2层  | 板楼 | 独栋别墅 ,3人关注 / 2个月以前发布,79.8,"14,510元/平"
恒大万达商圈望岛连海华庭精装未住可看海 带家具家电,望岛连海华庭 -望岛,3室2厅 | 135平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,229,"16,963元/平"
皇冠森威花园三室精装边户带车位,森威花园 -皇冠,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,126.8,"12,939元/平"
华润威海湾九里一期精装修三室两卫126平,华润威海湾九里 -竹岛,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,190,"15,080元/平"
小区中间位置 花园洋房中间楼层 房东精装30万,万科威高翡翠公园 -蒿泊,4室2厅 | 136.58平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 2个月以前发布,239.8,"17,558元/平"
滨海龙城精装修好楼层 三室两厅一厨一卫,滨海龙城 -蒿泊,3室2厅 | 91.65平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 21天以前发布,105.6,"11,523元/平"
恒大海上帝景  精装两室向阳 采光好 单价一万两千多,威海恒大海上帝景 -望岛,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 29天以前发布,129.8,"12,131元/平"
经区文平和谐家园三室两厅带储藏室全明好房出售,文平和谐家园 -戚家庄,3室2厅 | 130.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,169,"12,923元/平"
万象城上下两层，带花园，南北通透，可落hu,蓝星万象城 -皇冠,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,18人关注 / 一年前发布,135,"10,385元/平"
九龙湾商圈，多层住宅，南北通透,老集九龙明珠 -九龙湾,2室2厅 | 75.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,75,"9,921元/平"
框架房南山泰苑 住人2楼 南北通透精装修,南山泰苑 -环翠楼,2室1厅 | 66平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,55.8,"8,455元/平"
维利亚花园  两室一厅电梯楼  视野开阔  市政供暖小区,维利亚花园 -银滩旅游度假区,2室1厅 | 75.26平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,4人关注 / 4个月以前发布,25.8,"3,429元/平"
急售！文平和谐家园 多层 两室朝阳 南北通透 带储藏室,文平和谐家园 -戚家庄,2室2厅 | 63平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,52.6,"8,350元/平"
南北通透 楼层好 框架房 交通便利 精装修未住,新都花园一区 -凤林&宋家洼,3室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,88,"11,000元/平"
览山亲水居  两室一厅  2楼  精装修,览山亲水居 -银滩旅游度假区,2室1厅 | 76平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,20.8,"2,737元/平"
青岛路华新家园，楼层好，视野宽阔,华新家园 -凤林&宋家洼,1室1厅 | 61.57平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,44.8,"7,277元/平"
凤林小区标准三居室，多层好楼层，带储藏室，南北通透,凤林小区 -凤林&宋家洼,3室2厅 | 73平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,56,"7,672元/平"
汽车站高铁站旁时代嘉园四室三卫红木装修带家具家电,时代嘉园 -蒿泊,4室3厅 | 173.63平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,169.8,"9,780元/平"
此房满.无抵押带储藏室.精装修带家具家电.拎包入住,陶家夼社区 -竹岛,3室1厅 | 78.5平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,65.5,"8,344元/平"
新都花园二区 民水民电小户型  可念新都,尚河苑 -凤林&宋家洼,1室1厅 | 51.6平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,39.8,"7,714元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,海韵华府A区 -戚家庄,2室1厅 | 66.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,29人关注 / 一年前发布,52.8,"7,893元/平"
长峰锦绣北山 封闭小区 电梯东边户精装 带储藏室,锦绣北山 -长峰,3室2厅 | 114.5平米 | 东 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,113.8,"9,939元/平"
九龙湾商圈，南北通透，精装修，好楼层，配套齐全,皇冠九龙湾花园 -皇冠,3室2厅 | 111平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,"10,811元/平"
一线海景 大公海岸 住人二层 附带30平车库 生活方便,颐和大公海岸 -银滩旅游度假区,2室2厅 | 94.79平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,7人关注 / 3个月以前发布,22.6,"2,385元/平"
长峰馨安苑 装修比较好的房子   电梯15楼,长峰馨安苑小区 -长峰,2室2厅 | 82平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,86.8,"10,586元/平"
业主诚心出售 蓝星万象城 精装两室 南向 带储藏室,蓝星万象城 -皇冠,2室1厅 | 75平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,3人关注 / 5个月以前发布,86,"11,467元/平"
蓝星万象城 楼层好位置好采光没有问题 精装带车储,蓝星万象城 -皇冠,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,126,"13,847元/平"
大世界 长征社区 少年路 两室向阳 全明户型 精装修,长征社区 -市政府,3室2厅 | 68平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,43.8,"6,442元/平"
万象城3期   精装修 交通便利 生活购物方便  房东急售,蓝星万象城 -皇冠,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,5人关注 / 一年前发布,109.8,"12,918元/平"
皇冠九龙城两室 全明通透 带储藏室 多层2楼,海源府第 -九龙湾,2室1厅 | 91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,"13,187元/平"
新都金域仕家南排好楼层 南北通透 两室带地下车位,信泰金域仕家 -蒿泊,2室2厅 | 84平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,92.8,"11,048元/平"
馨安苑三室边户 好楼层带储藏室,长峰馨安苑小区 -长峰,3室2厅 | 89.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,92.8,"10,415元/平"
皇冠花园南区91平3居室 和皇冠中 小 学1墙之隔,皇冠花园南区 -皇冠,3室2厅 | 90.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,115,"12,671元/平"
青岛路山花泰和府封闭小区人车分流,山花泰和府 -长峰,2室2厅 | 86.8平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,23人关注 / 一年前发布,110,"12,673元/平"
皇冠花园南区，三室两厅一卫，多层4楼南北通透,皇冠花园南区 -皇冠,3室2厅 | 84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,107,"12,739元/平"
南北通透，通风好，电梯房，精装修，采光好,国信·壹品南山 -张村,3室1厅 | 102平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,99.8,"9,785元/平"
青岛路长峰怡安苑多层78平精装2居室带储藏室 无大税,长峰怡安苑小区 -长峰,2室1厅 | 77.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,83.8,"10,839元/平"
华夏百合世家小高层五楼精装修，拎包入住带储藏室,百合世家 -华夏,2室1厅 | 69.6平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,59.8,"8,592元/平"
长峰馨安苑精装三室两卫 电梯房无附属 南北通透采光好,长峰馨安苑小区 -长峰,3室2厅 | 111.24平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,6人关注 / 10个月以前发布,116,"10,428元/平"
三楼两室一厅精装修可以拎包入住,富海家园 -九龙湾,2室1厅 | 80.9平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,4人关注 / 4个月以前发布,64.8,"8,010元/平"
竹岛精装两室，拎包入住 西边户，双南卧，采光好，,水岸明居 -竹岛,2室2厅 | 104平米 | 南 西 | 精装 | 中楼层(共17层)  | 塔楼,7人关注 / 6个月以前发布,120,"11,539元/平"
住宅小面积，比公寓好，通透，总价低，精装修保养好。,五洲太阳城天琴园 -九龙湾,1室1厅 | 52.32平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 21天以前发布,49.8,"9,519元/平"
明珠海苑住人3层，正对大花瓶地段，随时看房,明珠海苑 -银滩旅游度假区,2室1厅 | 79.5平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,8人关注 / 2个月以前发布,20.8,"2,617元/平"
美临花园 两居室 南北通透 采光充足，人车分流，,美临花园 -九龙湾,2室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 7个月以前发布,168,"17,500元/平"
山海郡电梯东边户精装婚房后幼儿园城铁北站汇峰物流,山海郡幸福里 -昌鸿,2室1厅 | 63平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,54.7,"8,683元/平"
环翠区 青岛南路南  温泉明珠  精装修 两室 客厅朝南,温泉明珠 -温泉,2室2厅 | 85.58平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,22人关注 / 一年前发布,58,"6,778元/平"
高区西涝台御鑫佳园80公馆 南北通透精装带租赁车位,御鑫佳园 -涝台社区,2室2厅 | 75.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,73,"9,655元/平"
凤林顶加阁电梯房上下136平带储藏室毛坯证满两年,凤林小区 -凤林&宋家洼,4室2厅 | 87.56平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,79.8,"9,114元/平"
华发九龙湾片区 毛坯2室少有，看海效果很好,华发九龙湾一期 -九龙湾,2室2厅 | 85平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,11人关注 / 4个月以前发布,106,"12,471元/平"
市里寨子奈古山路丽都华府北古寨中小精装地暖两室出售,奈古山路 -寨子,2室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,56.8,"9,467元/平"
华新家园 三室两厅 南北通透 精装 多层二楼,华新家园 -凤林&宋家洼,3室2厅 | 91.33平米 | 北 南 | 精装 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,78,"8,541元/平"
环翠区  华夏城 玫瑰花园 交通便利,玫瑰花园 -华夏,5室2厅 | 125平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,60,"4,800元/平"
九龙明珠小高层三室全明带储藏室，精装修格局好,九龙明珠花园 -九龙湾,3室2厅 | 125.57平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,132.8,"10,576元/平"
兰溪堡E区，户型好，采光好，通风好。,翡翠城E区 -天东&南曲阜,2室1厅 | 82.92平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,64,"7,719元/平"
市里寨子大润发南大岚寺两室带储藏室出售,大岚寺生活小区 -寨子,2室2厅 | 63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,49.8,"7,905元/平"
金猴绿色花园 三室低楼层  看房方便,金猴绿色花园 -昌鸿,3室2厅 | 83平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 3个月以前发布,73.8,"8,892元/平"
店长推荐：有储藏室，个税，住人一楼，通透三居室,长峰怡安苑小区 -长峰,3室1厅 | 77.67平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,89.8,"11,562元/平"
滨海龙城，好位置，生活出行方便，成熟社区，南北通透,滨海龙城 -蒿泊,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,144.5,"11,290元/平"
五楼 二室 精装修 带储藏室 看房提前联系,瀚城阳光邑上一区 -九龙湾,2室1厅 | 85平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 1个月以前发布,58,"6,824元/平"
望岛名郡小高层好楼层.带shu藏室精装修.公摊少,望岛名郡 -望岛,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,10人关注 / 一年前发布,185,"14,123元/平"
世昌大道  翠竹园 小高层 封闭管理,翠竹园 -寨子,2室2厅 | 88.05平米 | 南 西 北 | 简装 | 高楼层(共12层)  | 板楼,4人关注 / 3个月以前发布,79.8,"9,064元/平"
大岚寺社区  低楼层    寨子大润发  世昌大道急售,大岚寺生活小区 -寨子,3室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,52.8,"7,543元/平"
南北通透 交通便利 配套成熟 海景房 看房方便,明珠花园 -皇冠,2室2厅 | 95.93平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,105,"10,946元/平"
威海高区世昌大道欧乐坊田村A区东区三室一厅精装修,田村A区东区 -田村（田和）,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,49.8,"6,640元/平"
精装修，好格局，采光好封闭小区,贵和花园南区 -卧龙山,2室2厅 | 79平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,82.8,"10,482元/平"
威海高区金海滩浴场昌鸿K区电梯一楼带园精装修,昌鸿K区 -昌鸿,2室1厅 | 82.5平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,116,"14,061元/平"
富城茗居 精装修 视野好 带车位看房方便,富城茗居 -蒿泊,2室1厅 | 86.33平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 4个月以前发布,78,"9,036元/平"
