标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
现代花园，顶楼复式，172平带车库，实际使用230多平。,现代花园 -北苑,3室2厅 | 172平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 7个月以前发布,449,"26,105元/平"
毛坯房，楼层好，带车位，满2年，绿化好,香溪裕园 -义乌市,2室1厅 | 141平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,260,"18,440元/平"
中间楼层 小区环境优美 生活方便 房子无遮挡,城北商业中心 -后宅,3室1厅 | 90平米 | 东南 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,0人关注 / 3个月以前发布,232,"25,778元/平"
和聚园不能错过的一套房子房东诚心无比,和聚园 -北苑,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共15层)  | 平房,0人关注 / 1个月以前发布,389,"27,786元/平"
稠江龙回九号，124平大三房，精装全配，不占户口。,龙回九号 -稠江,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,260,"20,968元/平"
卖点：房子原始户型，简单装修，将军楼层采光视野好。,和聚园 -北苑,3室2厅 | 105平米 | 南 | 简装 | 低楼层(共15层)  | 暂无数据,0人关注 / 2个月以前发布,299,"28,477元/平"
卿悦府东区，大面积房子，喜欢的来约,建投文华府 -北苑,4室2厅 | 166平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,619,"37,290元/平"
诚心出售，带车位，看房方便，毛坯，,云溪桃源 -城西,2室2厅 | 99平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,170,"17,172元/平"
真实房源，真实在售，精装修房源。,万达写字楼 -稠江,1室1厅 | 214平米 | 南 北 | 精装 | 中楼层(共36层)  | 暂无数据,0人关注 / 一年前发布,324.99,"15,187元/平"
万达商圈 高档小区 装修150万 满二 江景房,万厦欧景爵园 -稠江,4室2厅 | 266平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,730,"27,444元/平"
面积166平 使用面积大 楼层好,宾王广场 -江东,4室2厅 | 166.6平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,320,"19,208元/平"
老城区的高品质地排，买一层得2层，物业费只收一层的,滨江锦绣之城 -稠城,3室1厅 | 112平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,669,"59,733元/平"
精装 带车位 有证 看房提前联系 价格可谈,朝阳门一区 -稠城,3室2厅 | 148平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 一年前发布,800,"54,055元/平"
别墅  地下室两层，有车库直接通的,欧景花园玺园 -稠江,5室3厅 | 728平米 | 南 北 | 精装 | 低楼层(共1层)  | 暂无数据,3人关注 / 11个月以前发布,2700,"37,088元/平"
廿三里 金桥人家精装修带储藏室,金桥人家 -廿三里,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,268,"19,421元/平"
苏溪印象 123 带车位 东边套 正方形 户型,商城•苏溪印象 -苏溪,3室2厅 | 123平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,225,"18,293元/平"
绿城玫瑰园，高楼层，江景房，带车位，小区中间位置,浙铁绿城玫瑰园 -稠江,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,530,"36,806元/平"
一线江景房 价格优美 精装修未入住 带双车位,浙铁绿城玫瑰园 -稠江,3室1厅 | 165平米 | 东南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,640,"38,788元/平"
机场路 1室1厅 南,机场路 -北苑,1室1厅 | 51.7平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,192,"37,138元/平"
稠江万达旁，小面积精装房，家居都留下，拎包入住。,龙回九号 -稠江,1室1厅 | 39.4平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,118,"29,950元/平"
精装修，未入住，带车位，位置好，前后视野开阔急卖,滨江锦绣之城 -稠城,3室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,400,"41,667元/平"
房东诚心卖可谈。户型方正....,江东中路 -江东,3室2厅 | 86平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,212,"24,652元/平"
江东大平层，自住精装保养好，总高7层带电梯。,经发大道 -江东,4室2厅 | 185平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,517,"27,946元/平"
万家风华，双车位，高楼层采光好,滨江金地·万家风华 -稠城,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,359,"36,263元/平"
商苑88平带12平储藏间！性 价 比高！房东诚心,商苑 -江东,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,245,"27,841元/平"
万家风华高品质小区，物业好，环境好,滨江金地·万家风华 -稠城,2室1厅 | 78平米 | 南 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,268,"34,359元/平"
户型方正 通风采光都很好 配套齐全,众安.蒲荷花苑 -城西,3室2厅 | 89平米 | 东南 | 其他 | 低楼层(共13层)  | 暂无数据,0人关注 / 4个月以前发布,213,"23,933元/平"
精装修 平层 带车位 高楼层视野好 看房随时的,久府江山悦 -江东,3室2厅 | 149平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 7个月以前发布,430,"28,860元/平"
有天有地垂直楼        位置停车方便 配套设施齐全,山口小区 -江东,8室8厅 | 400平米 | 北 西北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,720,"18,000元/平"
上溪月湖公园边月湖公寓电梯房精装3居室,月湖公寓 -城西,3室2厅 | 133.66平米 | 南 北 | 其他 | 低楼层(共13层)  | 暂无数据,0人关注 / 2个月以前发布,190,"14,216元/平"
壹号院庆云一区高楼层俯瞰整个义乌,义乌壹号院庆云一区 -稠城,3室1厅 | 102平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,504.8,"49,491元/平"
：此房满两年，可以按揭，房子新，高档小区,新城吾悦广场 -江东,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共38层)  | 板楼,0人关注 / 8个月以前发布,388,"34,643元/平"
户型方正 通风采光都很好 配套齐全,北苑商贸区东区 -北苑,3室2厅 | 178平米 | 西 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,397,"22,304元/平"
城西 万商华府 精装修 108平  看房方便,万商华府 -城西,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 6个月以前发布,195,"18,056元/平"
佛堂划算的房子你不能错过...带车位的,朝阳湖畔 -佛堂,4室2厅 | 124.5平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,191,"15,342元/平"
东边套采光好 房间多又亮 高品质小区只等有缘人,绿城桃花源 -江东,4室2厅 | 208平米 | 东 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,899,"43,222元/平"
义乌之心 富加人的象征  装修好 带车库车位,中央公馆 -稠城,3室2厅 | 155平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,899,"58,000元/平"
江东 商苑精装拎包入住，中低楼层,商苑 -江东,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,238,"26,742元/平"
外贸大厦出租中，交通方便，小面积，配套齐全,外贸大厦 -稠城,1室1厅 | 38.3平米 | 南 | 其他 | 低楼层(共7层)  | 平房,0人关注 / 一年前发布,133,"34,726元/平"
户型方正 通风采光都很好 配套齐全,皇冠长岛国际 -廿三里,2室1厅 | 87平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,190,"21,840元/平"
户型好 楼层好  采光无遮挡  适合少人口居住,金碧神话 -稠城,1室1厅 | 48平米 | 南 | 其他 | 中楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,182,"37,917元/平"
户型方正 通风采光都很好 配套齐全,江东新村 -江东,4室2厅 | 165平米 | 东南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,390,"23,637元/平"
户型方正 通风采光都很好 配套齐全,塘桥雅苑 -城西,3室2厅 | 141平米 | 西南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,196,"13,901元/平"
户型方正 通风采光都很好 配套齐全,福田金茂府 -福田,3室2厅 | 117平米 | 东南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,370,"31,624元/平"
户型方正 通风采光都很好 配套齐全,众安.蒲荷花苑 -城西,4室2厅 | 117平米 | 东南 | 其他 | 高楼层(共14层)  | 暂无数据,1人关注 / 3个月以前发布,260,"22,223元/平"
户型方正 通风采光都很好 配套齐全,皇冠长岛国际 -廿三里,3室1厅 | 86平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,191,"22,210元/平"
房子环境好  地段好 四通八达的 出入方便,滨江金地·万家风华 -稠城,3室1厅 | 99平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,350,"35,354元/平"
朝南精装修首付低满两年值得拥有,久府江山悦 -江东,2室2厅 | 79平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,231,"29,241元/平"
望江府毛坯大面积4房的房诚心出售,建投望江府 -稠城,4室2厅 | 165平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,800,"48,485元/平"
通惠门，市区旁，大面积，全新装修,通惠门小区南区 -稠城,3室1厅 | 144平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 7个月以前发布,600,"41,667元/平"
此房满两年，可以按揭，房子新，高档小区,新城吾悦广场 -江东,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共39层)  | 板楼,0人关注 / 7个月以前发布,450,"33,334元/平"
江东中路，地段好，交通便利。。。,江东中路 -江东,2室1厅 | 50平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,115,"23,000元/平"
高楼层 小区环境优美 生活方便 房子旁边无遮挡,越阳二区 -江东,5室3厅 | 187平米 | 东南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,466,"24,920元/平"
交付的新小区，园林设计 ，户型方正，客餐厅通阳台,建投文华府 -北苑,3室1厅 | 108平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,450,"41,667元/平"
边套采光好 小区环境优美 生活方便,嘉和公寓(义乌市) -北苑,3室1厅 | 96.44平米 | 东南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,302,"31,315元/平"
嘉美广场，小面积精装修，低楼层朝南，雪峰公园、、,商城嘉美广场 -北苑,1室1厅 | 45.51平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 8个月以前发布,223,"49,001元/平"
绿城玫瑰园珍贵户型140平精装修带车位,浙铁绿城玫瑰园 -稠江,4室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,590,"42,143元/平"
江东 伊美望族 150平 精装修 好楼层 带车位,伊美望族 -江东,3室2厅 | 150平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,455,"30,334元/平"
高楼层 精装修 ，房东诚心，看房提前联系,商城嘉美广场 -北苑,2室2厅 | 66平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,252,"38,182元/平"
户型方正 通风采光都很好 配套齐全,兰园兰馨苑 -北苑,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,539,"45,678元/平"
北苑丹溪三区丹桂苑有物业可拎包入住精装房,丹溪三区丹桂苑 -北苑,3室2厅 | 198平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,499,"25,203元/平"
有健身器材 小型的篮球场 停车位充足 环境好 配套齐全,桥东二区 -江东,3室2厅 | 111平米 | 东南 | 其他 | 低楼层(共2层)  | 暂无数据,2人关注 / 一年前发布,300,"27,028元/平"
秦塘小区，楼中楼，使用280平，带车库,秦塘小区 -稠城,3室2厅 | 121.24平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,396,"32,663元/平"
高层采光，大户型，义乌之心，城南，稠城,卿悦府东区 -稠城,4室2厅 | 180平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,3人关注 / 7个月以前发布,798,"44,334元/平"
江东，和欣花园，位置好，交通便利,和欣花园 -江东,3室1厅 | 88.75平米 | 东 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,208,"23,437元/平"
边套大阳台3房，带车位，中间楼层，小区位置好,华丰府 -稠城,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,0人关注 / 7个月以前发布,477.8,"37,921元/平"
文澜府39.3平 精装修 带阳台 房东诚心出售,绣湖文澜府 -北苑,1室1厅 | 39.3平米 | 南 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,328,"83,461元/平"
户型方正 通风采光都很好 配套齐全,兰园兰馨苑 -北苑,3室2厅 | 139平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,570,"41,008元/平"
环境优美   位置好  户型方正     采光充足,现代城市花园四季五区 -北苑,2室1厅 | 58平米 | 东南 | 其他 | 高楼层(共14层)  | 板楼,0人关注 / 8个月以前发布,162,"27,932元/平"
香樟苑 两室一厅  诚心出售  房东置换新房,丹溪三区香樟苑 -北苑,2室1厅 | 102.08平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,340,"33,308元/平"
绿城桃花源，洋房与叠墅合院为一体的小区，绿化好,绿城桃花源 -江东,4室2厅 | 148平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,500,"33,784元/平"
北苑小面积步梯房，高楼层，装修好,丹溪三区丹桂苑 -北苑,2室1厅 | 58平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,165,"28,449元/平"
上溪品质小区云栖雅苑高层边套 3室全明户型,云溪桃源 -城西,3室2厅 | 119.69平米 | 东 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,196,"16,376元/平"
绣川府，带露台，位置好，采光无遮挡，房东诚心出售,建投•绣川府 -稠城,4室2厅 | 145平米 | 南 北 | 其他 | 低楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,640,"44,138元/平"
户型方正 通风采光都很好 配套齐全,黄杨梅商住楼 -北苑,2室1厅 | 85平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,276.8,"32,565元/平"
户型方正 通风采光都很好 配套齐全,和聚园 -北苑,3室2厅 | 105平米 | 东南 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,319,"30,381元/平"
双绣湖，全明三房，户型方正，采光好,兰园兰轩苑 -北苑,3室2厅 | 96平米 | 南 | 其他 | 低楼层(共21层)  | 暂无数据,0人关注 / 7个月以前发布,450,"46,875元/平"
绿城兰园，南北大三居，带车位，证件齐全,兰园兰轩苑 -北苑,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共17层)  | 平房,0人关注 / 6个月以前发布,500,"42,373元/平"
边套· 采光好 楼层好 在出租中 房东诚,嘉和公寓(义乌市) -北苑,2室1厅 | 98平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,387,"39,490元/平"
小区环境优美 户型方正 看房预约,香溪裕园 -义乌市,2室1厅 | 105平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 2个月以前发布,205,"19,524元/平"
此房是苏溪的新建高档小区，137平方，4房两卫两厅,商城•苏溪印象 -苏溪,4室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,287,"20,949元/平"
边套· 采光好 楼层好 在出租中 房东诚,嘉和公寓(义乌市) -北苑,2室1厅 | 98平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,387,"39,490元/平"
北苑城市花园，楼层好，精装修，采光好,现代城市花园四季五区 -北苑,3室1厅 | 113平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 6个月以前发布,265,"23,452元/平"
上溪品质小区云栖雅苑高层边套 3室全明户型,云溪桃源 -城西,3室2厅 | 119.69平米 | 东 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,196,"16,376元/平"
绣川府，带露台，位置好，采光无遮挡，房东诚心出售,建投•绣川府 -稠城,4室2厅 | 145平米 | 南 北 | 其他 | 低楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,640,"44,138元/平"
户型方正，交通方便，采光无限好,金碧神话 -稠城,1室1厅 | 40平米 | 南 北 | 其他 | 低楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,185,"46,250元/平"
小区带物业 环境好 品质好 采光好 使用面积大,大都国际名苑 -稠城,4室2厅 | 145平米 | 南 东 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,458,"31,587元/平"
安福家园，大面积。毛坯，高楼层，诚心出售,安福家园 -苏溪,3室2厅 | 107平米 | 南 | 简装 | 低楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,189.8,"17,739元/平"
稠城 和安公寓 稠三小旁 大面积 高楼层 精装修房子,和安公寓 -稠城,4室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,380,"26,761元/平"
：南北对通 户型方正 格局好 小区绿化面积大,文昌里 -佛堂,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 8个月以前发布,174,"16,894元/平"
上溪月湖公寓清爽装修三房拎包入住套间,月湖公寓 -城西,3室2厅 | 115.48平米 | 南 北 | 其他 | 中楼层(共13层)  | 暂无数据,0人关注 / 1个月以前发布,160,"13,856元/平"
小区环境优美  户型方正  交通便利,世贸中心 -福田,2室1厅 | 141平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,466,"33,050元/平"
户型方正 通风采光都很好 配套齐全,南洲花园紫藤苑 -义乌市,3室2厅 | 135平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,318,"23,556元/平"
福田宾王曲苑小区新装修拎包入住,曲苑小区 -稠城,3室2厅 | 131.62平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,430,"32,670元/平"
此房满二，户型房正，南北通明，简单装修,朝晖小区 -江东,2室2厅 | 104平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,285,"27,404元/平"
户型方正 通风采光都很好 配套齐全,城北商业中心 -后宅,3室1厅 | 90平米 | 东南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,232,"25,778元/平"
户型方正  交通便利  采光好 方正的三房,万厦欧景爵园 -稠江,3室2厅 | 178平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,460,"25,843元/平"
户型方正 通风采光都很好 配套齐全,万厦欧景爵园 -稠江,3室2厅 | 178平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,439,"24,663元/平"
户型通透    采光很好    交通便利,金城高尔夫二区 -后宅,3室2厅 | 129.5平米 | 南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,284.5,"21,970元/平"
九州百合126平简单装修 房东急售,九洲百合 -义乌市,3室2厅 | 128.6平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,240,"18,663元/平"
业主自住精装 家具家电全宋 小区价位全义乌醉低,水岸家园 -义乌市,3室2厅 | 122.78平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,140,"11,403元/平"
万达公寓，周。边配套齐全，可租可售,万达SOHO公寓 -稠江,1室1厅 | 41平米 | 北 | 其他 | 高楼层(共33层)  | 平房,0人关注 / 6个月以前发布,67.9,"16,561元/平"
城西 香溪裕园 大面积 140平 小区环境好 房子新,香溪裕园 -义乌市,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,260,"18,572元/平"
户型方正，通风采光好，配套齐全,香溪裕园 -义乌市,2室1厅 | 106平米 | 东南 | 精装 | 高楼层(共10层)  | 暂无数据,1人关注 / 一年前发布,230,"21,699元/平"
大水畈，位置好，交通便利，。。。。,大水畈2区 -稠江,9室9厅 | 603平米 | 南 北 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 2个月以前发布,700,"11,609元/平"
稠江花园小区高层西江悦府高楼层带车位精致3房格局,中梁金地西江悦府 -稠江,3室2厅 | 99.99平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,1人关注 / 7个月以前发布,275,"27,503元/平"
有田 有地的垂直楼 租金好 位置好 交通方便,江南三区 -江东,4室4厅 | 327.86平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,730,"22,266元/平"
户型好.环境优美.交通便利.您值得拥有,大都国际名苑 -稠城,3室2厅 | 145平米 | 南 | 其他 | 低楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,420,"28,966元/平"
大面积城西高档小区房，绿城物业，,西景悦府 -义乌市,4室2厅 | 151平米 | 南 北 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,304.8,"20,186元/平"
荷塘月色不能错过的一套房子，看了你会喜欢,荷塘月色 -义乌市,4室2厅 | 175平米 | 东南 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,500,"28,572元/平"
福田宾王曲苑小区新装修拎包入住,曲苑小区 -稠城,3室2厅 | 131.62平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,430,"32,670元/平"
此房满二，户型房正，南北通明，简单装修,朝晖小区 -江东,2室2厅 | 104平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,285,"27,404元/平"
户型方正 通风采光都很好 配套齐全,城北商业中心 -后宅,3室1厅 | 90平米 | 东南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,232,"25,778元/平"
户型方正 通风采光都很好 配套齐全,万厦欧景爵园 -稠江,3室2厅 | 178平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,439,"24,663元/平"
户型方正  交通便利  采光好 方正的三房,万厦欧景爵园 -稠江,3室2厅 | 178平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,460,"25,843元/平"
户型方正 通风采光都很好 配套齐全,南洲花园紫藤苑 -义乌市,3室2厅 | 135平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,318,"23,556元/平"
城北商业中心精装修4房拎包入住大阳台,城北商业中心 -后宅,4室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 4个月以前发布,309,"23,234元/平"
高档小区，环境优美，交通便利， 。。。。,万厦欧景爵园 -稠江,5室2厅 | 356平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,960,"26,967元/平"
和聚苑，高层，边套，房东诚心出售,和聚园 -北苑,3室1厅 | 140平米 | 南 | 精装 | 高楼层(共15层)  | 平房,0人关注 / 一年前发布,380,"27,143元/平"
北苑位置，交通便利，环境好。。。。。。。,丹溪三区丹桂苑 -北苑,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,260,"24,300元/平"
北苑嘉禾公寓，位置好，配套齐全，低楼层,嘉和公寓(义乌市) -北苑,3室1厅 | 87平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,196,"22,529元/平"
后宅皇冠长岛国际，高楼层，景观好，带装修,皇冠长岛国际 -廿三里,2室1厅 | 87平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,210,"24,138元/平"
大面积城西高档小区房，绿城物业，,西景悦府 -义乌市,4室2厅 | 151平米 | 南 北 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,304.8,"20,186元/平"
房子已满两年，楼层好 适合老人小孩居住 ，看房方便！,香溪裕园 -义乌市,3室2厅 | 108平米 | 西南 | 精装 | 低楼层(共11层)  | 暂无数据,2人关注 / 8个月以前发布,209,"19,352元/平"
万家风华滨江物业，封闭管理，绿化大游乐设施多,滨江金地·万家风华 -稠城,4室2厅 | 129平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,460,"35,659元/平"
中间楼层 小区环境优美 生活方便 房子无遮挡,金麟花园 -廿三里,3室2厅 | 107平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,228,"21,309元/平"
九联小面积房子，简单装修，出租收佣好房,九联公寓 -义乌市,1室0厅 | 30平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,108,"36,000元/平"
佛堂双林颐园凤凰名城高层电梯房,凤凰名城双林颐园 -佛堂,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,1人关注 / 7个月以前发布,238,"17,630元/平"
佛堂划算的房子你不能错过...带车位的,飞凤花园 -佛堂,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 4个月以前发布,198,"15,840元/平"
产权清晰，过户成本低，业主换房急售.,云璟府 -江东,3室2厅 | 98.8平米 | 东南 | 其他 | 低楼层(共21层)  | 暂无数据,0人关注 / 6个月以前发布,240,"24,292元/平"
房东诚心出售，户型方正，布局合理,云璟府 -江东,3室2厅 | 91平米 | 东 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,225,"24,726元/平"
户型方正 通风采光都很好 配套齐全,阳光都市 -稠江,2室1厅 | 78平米 | 东 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 5个月以前发布,185,"23,718元/平"
北苑 东方国际村 153平3房2卫 东边套 带车库,东方国际村 -北苑,3室2厅 | 153.38平米 | 东南 南 | 其他 | 中楼层(共8层)  | 暂无数据,3人关注 / 8个月以前发布,312,"20,342元/平"
前成公寓小面积总价低房东诚心看房随时,前成公寓 -江东,1室1厅 | 41平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,140,"34,147元/平"
