标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
万达商圈 碧湖公园 万达中 央华城 精装修 房东诚,万达中央华城 -碧湖万达,2室2厅 | 89.87平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,130,"14,466元/平"
沃尔玛天虹广场旁丽园君悦两房出售,丽园君悦 -沃尔玛,2室2厅 | 83.74平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,131,"15,644元/平"
新华都夜市边 延安广场2期 楼梯三楼 小2房,延安广场二期 -女排大润发,2室1厅 | 60.85平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 2个月以前发布,73,"11,997元/平"
沃尔玛旁单身公寓 满五唯一楼梯低层 拎包入住,清华园 -沃尔玛,1室1厅 | 43.88平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,52.7,"12,011元/平"
中海·上湾 3室2厅 南,中海·上湾 -闽南水乡,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,178.6,"16,386元/平"
中山公园旁 新华西南 自住装修 楼层佳 采光通风好.,新华西南 -中山公园,2室2厅 | 76.19平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 3个月以前发布,92,"12,076元/平"
原价高 可做到无个税 自住精装修 南北通透,建发碧湖双玺 -碧湖万达,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,247,"19,297元/平"
刚出了套 鑫荣花苑高档自住3房2厅，电梯，好楼层,鑫荣花苑西区 -市政府,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,215,"18,860元/平"
房东急售 电梯中高层 满五唯一南北通透,新城花园 -沃尔玛,3室2厅 | 127.67平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,156.5,"12,259元/平"
售惠民花园三房自住装修高层视野宽阔拎包入住,惠民花园一期 -金峰,3室2厅 | 88.14平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 5个月以前发布,85,"9,644元/平"
红星美凯龙，中闽百汇，永鸿国际处三房两厅,永鸿国际城 -金峰,3室2厅 | 89.4平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,102,"11,410元/平"
全新轻奢装修高档品牌家具家电香格里拉电梯三房两厅,香格里拉观园 -沃尔玛,3室2厅 | 140.53平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,191.1,"13,599元/平"
丹霞园好楼层，自住装修，南北通透,丹霞园 -沃尔玛,3室2厅 | 125.54平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,120,"9,559元/平"
闽南水乡明发广场3房高层自住精装修,明发商业广场 -闽南水乡,3室2厅 | 118.33平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,134,"11,325元/平"
小区环境良好，适合买来出租办公或者养老用,丹霞名城 -一七五,2室1厅 | 63.84平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,80,"12,532元/平"
群裕小区 2室2厅 南 北,群裕小区 -一七五,2室2厅 | 81.52平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 22天以前发布,78,"9,569元/平"
东南商贸城，楼梯中楼层，户型方正，,东南商贸城 -沃尔玛,2室1厅 | 79.98平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,71.2,"8,903元/平"
三房少有的新装修房子，朝南通透户型,中骏雍景府 -市政府,3室2厅 | 89.93平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,139.9,"15,557元/平"
此房朝南户型，可自住可出租，有20平左右露台,福隆城南区 -福隆城商圈,4室1厅 | 116.95平米 | 西南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,135,"11,544元/平"
有20平方露台 毛坯 公摊小 业主诚意出售,甘棠宫小区 -女排大润发,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 板楼,0人关注 / 24天以前发布,137,"10,539元/平"
漳州港，阳光城丽景湾，产权在手，交易方便，四房,阳光城·丽景湾 -南滨大道,4室2厅 | 119.95平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,125,"10,422元/平"
宝龙广场 自住精装四房 看中庭不沿街 看房方便,翼特丽景城 -蓝田宝龙商圈,4室2厅 | 118.08平米 | 西 | 精装 | 低楼层(共28层)  | 板楼,12人关注 / 5个月以前发布,128.7,"10,900元/平"
港城御龙湾117平三房两卫 户型方正 全明格局,港城•御龙湾 -人民广场,3室2厅 | 112平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板楼,3人关注 / 一年前发布,124,"11,072元/平"
阳光丽景城 边套四房 三代同堂,阳光城·丽景湾 -南滨大道,4室2厅 | 119平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,127,"10,673元/平"
位置，景观，户型，朝向，配套全占的小区，业主诚售,太武湾 -南滨大道,3室2厅 | 121.48平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,94,"7,738元/平"
翼特丽景城 自住装修大2房 诚意出售,翼特丽景城 -蓝田宝龙商圈,2室2厅 | 75.33平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 28天以前发布,82.86,"11,000元/平"
家乡0596 小区中庭 高层视野开阔 证在手 随时过户。,家芗0596 -中医院,2室2厅 | 69.79平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,12人关注 / 一年前发布,90,"12,896元/平"
毛坯 空置 两房 格局方正 交通便利,联发欣悦华庭 -龙池开发区,2室1厅 | 78.19平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,0人关注 / 一年前发布,88,"11,255元/平"
离高速路口近，小区环境自带安静,静海湾 -南滨大道,1室1厅 | 52.64平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,8人关注 / 一年前发布,31.8,"6,042元/平"
满五唯一、中楼层、经典二房、看三湘江,夏商书香名苑 -金峰,2室1厅 | 85.07平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,5人关注 / 4个月以前发布,99.99,"11,754元/平"
高楼层视野开阔，可看湖看江，视野好,建发玺院 -碧湖万达,4室2厅 | 141.91平米 | 东 南 西 | 毛坯 | 中楼层(共39层)  | 板楼,3人关注 / 6个月以前发布,350.5,"24,699元/平"
东盛外滩明珠，公园旁，3个阳台，全景看江,东盛外滩明珠 -江滨,2室2厅 | 97.39平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 8个月以前发布,165,"16,943元/平"
红旗厂宿舍 胜利西路 东铺头 满五唯一,红旗厂宿舍 -市政府,1室1厅 | 50.89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,42.8,"8,411元/平"
金峰片区   惠民花园2房精装修出售,惠民花园二期 -金峰,2室1厅 | 65.31平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,16人关注 / 8个月以前发布,57.47,"8,800元/平"
满五唯一，优质的两房，自住精装修，通风采光好,夏商书香名苑 -金峰,2室2厅 | 83.88平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,3人关注 / 6个月以前发布,102,"12,161元/平"
碧湖万达天利小三房·视野采光佳，居住舒适,天利仁和 -碧湖万达,3室2厅 | 107.05平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 24天以前发布,187,"17,469元/平"
宝龙商圈未来城旁 翼特丽景城，全新精装修未入住两房,翼特丽景城 -蓝田宝龙商圈,3室1厅 | 78.96平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,99,"12,538元/平"
复式楼中楼 精装自住装修 位置好,新城国际 -江滨,4室2厅 | 107.18平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 29天以前发布,181.9,"16,972元/平"
福隆城南区3室2厅2卫精装修拎包入住看房提前约,福隆城南区 -福隆城商圈,3室2厅 | 117.4平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,128,"10,903元/平"
满五唯一，自住精装修，南北通透，拎包入住,融都新界 -碧湖万达,3室2厅 | 123.05平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,176,"14,304元/平"
新城佳园 自住精装修 两房出售,新城佳园 -一七五,2室1厅 | 67.13平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,83.9,"12,499元/平"
满五的、满五不唯一、小俩房、有阳台的,龙江明珠北区 -江滨,2室1厅 | 52.16平米 | 东南 南 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 6个月以前发布,78,"14,954元/平"
精装楼中楼！拓展面积20平使用面积多,万益广场 -角美台商投资区,3室2厅 | 70.83平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 8个月以前发布,88,"12,425元/平"
江滨片区，上江名都，看江还可看古城,上江名都 -江滨,3室2厅 | 141.91平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,11人关注 / 一年前发布,320,"22,550元/平"
八中旁北区  东岳新村 东边套 精装三房 自住,东岳新村 -一七五,3室2厅 | 86.31平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,69.8,"8,088元/平"
中骏精装三房 拎包入住  全景落地窗 免双税,中骏四季阳光三期 -角美台商投资区,3室2厅 | 99.08平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,123人关注 / 一年前发布,156,"15,745元/平"
九龙新村 丽园君悦旁 沃尔玛商圈 小户型低楼层,九龙新村 -沃尔玛,2室1厅 | 63.59平米 | 南 北 | 简装 | 低楼层(共8层)  | 塔楼,41人关注 / 一年前发布,50,"7,863元/平"
大露台，设计师精装石斋大三房诚意出售！,石斋花园 -府前,3室1厅 | 126.71平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,87,"6,867元/平"
香榭花都   正规2房3房都可以  户型漂亮,夏商香榭花都 -一七五,3室2厅 | 102平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,11人关注 / 6个月以前发布,107,"10,491元/平"
精装修 买到可拎包入住，也可出租，小区环境好,兰溪湾 -石码镇,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,2人关注 / 一年前发布,60,"5,358元/平"
高层视野无遮挡，业主自住装修，含入户花园,漳州国贸润园 -闽南水乡,3室2厅 | 118.31平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,182,"15,384元/平"
绿洲富城 28.5平单身公寓  好楼层  采光充足,绿洲富城 -北斗工业区,1室0厅 | 28.5平米 | 东 | 简装 | 高楼层(共15层)  | 板楼,6人关注 / 一年前发布,28,"9,825元/平"
海沧过来2公里。建发圣1地-亚哥。大阳台，看中庭。,圣地亚哥 -龙池开发区,1室1厅 | 32.26平米 | 北 | 精装 | 24层  | 塔楼,1人关注 / 1个月以前发布,35.5,"11,005元/平"
阳光城  89平高层毛坯，看中庭  急售 可谈价,阳光城凡尔赛宫一期 -角美台商投资区,3室2厅 | 89.19平米 | 南 北 | 毛坯 | 33层  | 板塔结合,14人关注 / 一年前发布,108,"12,109元/平"
沃尔玛旁.电梯房.采光好...,航毅广场 -沃尔玛,1室0厅 | 36.83平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,6人关注 / 一年前发布,50.5,"13,712元/平"
沃尔玛丽园君悦边 悦华城市广场 朝南 1房1厅,悦华城市广场 -沃尔玛,1室1厅 | 50.91平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,66,"12,965元/平"
万达沃尔玛边 华府 新装修，朝南带阳台 有多4平方，,華府 -沃尔玛,1室0厅 | 49.25平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,61,"12,386元/平"
香格里拉观园 1室0厅 南 北,香格里拉观园 -沃尔玛,1室0厅 | 41平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 7天以前发布,53.3,"13,000元/平"
沃尔玛旁 电梯房首付15万大阳台 朝东南采光好,梦想家 -沃尔玛,1室1厅 | 45平米 | 东南 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 7天以前发布,54,"12,000元/平"
万达商圈 金茂广场 朝南 带厨房 阳台 可直接收租,金茂广场 -沃尔玛,1室0厅 | 38.83平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 4天以前发布,52.6,"13,547元/平"
漳糖新村2楼60平方2方出售35万,漳糖新村 -一七五,2室1厅 | 58.83平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 14天以前发布,36.8,"6,256元/平"
家芗0596旁 框架 大两房 低楼层 房龄新,瑞景苑 -中医院,2室2厅 | 89.67平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,87.9,"9,803元/平"
满五唯一 精致小两房 带阳台 户型方正,丹霞華庭 -一七五,2室1厅 | 49.9平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,69,"13,828元/平"
延安广场，大唐天街旁，业主自住精装两房，闹中取静！,一职校宿舍 -市政府,2室2厅 | 85.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,7人关注 / 9个月以前发布,77,"8,963元/平"
永鸿国际城 满五唯一 精装高层小三房 南北朝向,永鸿国际城 -金峰,3室2厅 | 90.43平米 | 北 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,110,"12,165元/平"
三中、二实*小，沃尔玛旁电梯精装两房,華府 -沃尔玛,2室2厅 | 80.09平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,103,"12,861元/平"
卡达精装房，拎包入住，可租可住。,招商卡达凯斯 -南滨大道,1室1厅 | 74.3平米 | 南 | 精装 | 6层  | 板塔结合,0人关注 / 2个月以前发布,65,"8,749元/平"
家芗0596.高楼层两房.采光佳.自住精装.看房随时,家芗0596 -中医院,1室1厅 | 58.13平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,103,"17,719元/平"
鑫荣小区东区 楼梯中层公摊小 刚需居家房 采光好,鑫荣小区东区 -女排大润发,2室1厅 | 77.9平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,21人关注 / 7个月以前发布,85.7,"11,002元/平"
电梯采光佳、南北、价优、两证在手、诚意出售,惠民花园二期 -金峰,2室1厅 | 67.45平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,55.2,"8,184元/平"
福晟钱隆樽品2期 3室1厅 南,福晟钱隆樽品2期 -福隆城商圈,3室1厅 | 85.46平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,111.09,"13,000元/平"
万科里旁下碑新村沿江好视野小三房出售,下碑新村 -金峰,3室1厅 | 86平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,16人关注 / 一年前发布,93,"10,814元/平"
漳州港 融信半山云顶 正规两房 楼层好 户型好 视野好,融信半山云顶 -招商大道,2室2厅 | 78平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,76,"9,744元/平"
东岳新村边腾龙楼两房一梯两户出售,腾龙楼 -一七五,2室2厅 | 76.6平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 3个月以前发布,58.2,"7,598元/平"
出售宝龙旁翼特丽景城2室1厅，带露台,翼特丽景城 -蓝田宝龙商圈,2室1厅 | 65.6平米 | 西 | 简装 | 低楼层(共18层)  | 塔楼,8人关注 / 6个月以前发布,61,"9,299元/平"
锦绣碧湖157平  经典大四房 南北通透 精装修  边套,特房锦绣碧湖 -碧湖万达,4室2厅 | 157.77平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,336,"21,297元/平"
厦门海沧首站，带院子，可停3台车。南北朝向。,华坤花园一期 -龙池开发区,3室2厅 | 85.85平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,127.8,"14,887元/平"
碧湖公园   万达    华城小区业主诚意出售,万达中央华城 -碧湖万达,3室2厅 | 96.85平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,43人关注 / 一年前发布,136.5,"14,094元/平"
融信半山云顶 3室2厅 南 北,融信半山云顶 -招商大道,3室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 8个月以前发布,90,"9,678元/平"
视野宽阔，采光充足 沃尔玛旁 明欣福园 大三房,明欣福园 -沃尔玛,3室2厅 | 144.88平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,105,"7,248元/平"
精装小三房 高层无遮挡采光充足 拎包入住,长福裕景 -人民广场,3室2厅 | 101.04平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 6个月以前发布,130,"12,867元/平"
楼层看中庭视野，户型方正，格局通透采光好,阳光城凡尔赛宫二期 -角美台商投资区,4室2厅 | 114.79平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,141,"12,284元/平"
夏商新境界 3室2厅 南 北,夏商新境界 -一七五,3室2厅 | 109.45平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,124.7,"11,394元/平"
商圈永鸿旁高层无遮挡、户型方正采光通风佳、业主诚售,大唐西院里 -金峰,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,100.8,"8,400元/平"
