标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
信江府 一线江景房 大三房 中间楼层 边套,博能信江府 -七六路商圈,3室2厅 | 123.29平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,99,"8,030元/平"
市政府大平层大5房无抵押满2年,汇成观邸 -行政中心商圈,4室2厅 | 164.55平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,15人关注 / 一年前发布,152,"9,238元/平"
前后无遮挡可看龙潭湖全景， 市政板块高档小区精装房,御景天下 -行政中心商圈,4室2厅 | 143.87平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,22人关注 / 一年前发布,162,"11,261元/平"
小户型大风景，俯瞰小区美景，温馨小三房,汇成观邸 -行政中心商圈,3室2厅 | 90.63平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,87,"9,600元/平"
满五唯一。楼层好，三面采光，价格可以谈,明阳大学公馆 -大市场商圈,3室2厅 | 105平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,76,"7,239元/平"
车位+钥匙+中楼层+电梯+诚心售+无抵押,晶科滨江1号 -上饶高铁站商圈,3室2厅 | 104.5平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,88,"8,422元/平"
新上笋盘 熙龙湾 毛坯东边套大四房 一线河景 中间楼层,翼天·熙龙湾 -旭日商圈,4室2厅 | 129.5平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,143.8,"11,105元/平"
国际公馆 电梯复式 五室二厅 毛坯房 可按揭,国际公馆 -紫阳商圈,5室2厅 | 192.36平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,29人关注 / 一年前发布,133,"6,915元/平"
复式楼，别墅区，精装修。大四房。,颐景园 -大市场商圈,4室3厅 | 152.66平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,12人关注 / 一年前发布,75,"4,913元/平"
大润发旁三房业主急售，高楼层视野好，满二省税。,龙华世纪城 -行政中心商圈,3室2厅 | 107.55平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,85,"7,904元/平"
户型通透，采光好，大阳台 ，中楼层,瀚林印象 -大市场商圈,3室2厅 | 147.66平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 一年前发布,96,"6,502元/平"
五三大道  繁 华地段  配套设施完善  看房方便,五三大道7号 -亿升商圈,3室2厅 | 166.05平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,94.6,"5,698元/平"
友邦壹号院中楼层四房两厅两卫，视野开阔,友邦壹号院 -行政中心商圈,4室2厅 | 132平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,135,"10,228元/平"
小户型毛坯房 格局好 视野宽阔 采光充足 江景房,永利滨江御景二期 -行政中心商圈,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,90,"8,182元/平"
晶科滨江1号，好环境，好楼层，一线江景房，一梯一户,晶科滨江1号 -上饶高铁站商圈,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,103,"9,364元/平"
一线江景房，大三房，适合一家人居住。。,滨江首座 -大市场商圈,3室2厅 | 122.98平米 | 北 | 简装 | 中楼层(共18层)  | 平房,5人关注 / 一年前发布,86,"6,994元/平"
惟义路63号 3室2厅 东南,惟义路63号 -七六路商圈,3室2厅 | 98平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,50,"5,103元/平"
满两年诚意出售   看房方便有钥匙,龙华世纪城 -行政中心商圈,3室2厅 | 94.99平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,80,"8,422元/平"
凡尔赛景观小三房 不沿马路 中低楼层,汇成观邸 -行政中心商圈,3室2厅 | 92.54平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,7人关注 / 一年前发布,89,"9,618元/平"
位置好，交通便利，购物方便，适宜居住。,公园道1号 -行政中心商圈,3室2厅 | 137平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,44人关注 / 一年前发布,120,"8,760元/平"
新上房源  三房户型方正 生活便利 配套齐全,东门路26号 -亿升商圈,3室1厅 | 98.38平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,67,"6,811元/平"
碧桂园洋房 君宸府 三房 毛坯，,德信碧桂园君宸府 -七六路商圈,3室2厅 | 95.46平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,82,"8,590元/平"
联排别墅，小区环境好，带2个车位,清水湾 -经开区商圈,5室2厅 | 147平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,157,"10,681元/平"
小区于市政府中芯板块地理位置优精装修无抵押拎包入住,友邦玫瑰公馆 -行政中心商圈,3室2厅 | 114.66平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,108,"9,420元/平"
米兰春天 1室1厅  新装修  诚心出售 满两年,永隆米兰春天 -商贸城商圈,1室1厅 | 34.59平米 | 南 | 简装 | 低楼层(共22层)  | 板楼,6人关注 / 7个月以前发布,36,"10,408元/平"
吉阳学笑旁精装小洋房 楼间距大 户型方正,和锦園 -行政中心商圈,4室2厅 | 116平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,115,"9,914元/平"
广信区政府旁 绿野幸福里 精装三房  业主急售,绿野幸福里 -经开区商圈,3室2厅 | 110.47平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,72,"6,518元/平"
现代城，楼梯房三楼，业主自住精装修，可按揭,现代城 -万力商圈,3室2厅 | 134平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,102,"7,612元/平"
新小区友邦公馆，楼间距宽出行方便。,友邦公馆 -七六路商圈,3室2厅 | 99.92平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 22天以前发布,90,"9,008元/平"
房子户型方正，南北朝向，业主诚心卖,汇仁阳光花园 -经开区商圈,3室2厅 | 120.2平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,72,"5,991元/平"
电梯房，好楼层采光充足，总价低,美地印象 -经开区商圈,2室2厅 | 80.23平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,51.5,"6,420元/平"
边套步梯3楼，阳光充足，双阳台,江南人家 -十一小商圈,3室2厅 | 137.6平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 7个月以前发布,92,"6,687元/平"
上饶广信区 晶华美郡 向阳的两房 中楼层,晶华美郡 -经开区商圈,2室2厅 | 89.75平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,57,"6,351元/平"
"急售,急售,看中价格可谈,楼层好,采光足",东投长安府 -行政中心商圈,3室2厅 | 116.7平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,105,"8,998元/平"
前后无遮挡，楼层好，视野开阔，设施配套齐全。,中房青蓝国际 -行政中心商圈,3室2厅 | 131.28平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,4人关注 / 10个月以前发布,77.5,"5,904元/平"
房东诚心出售，户型方正、采光好,信州壹号 -行政中心商圈,4室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,93.5,"6,776元/平"
房东急售 龙潭湖边，精装修，大4房，拎包入住，,公园道1号尊品 -行政中心商圈,4室2厅 | 116.21平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,125.9,"10,834元/平"
凤凰大大道主干道上楼 王位置 通透大四房带三个大阳台,融晖城 -商贸城商圈,4室2厅 | 143.7平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,2人关注 / 4个月以前发布,149,"10,369元/平"
急售嘉怡华府毛胚三房南北通透可按揭随时可看,嘉怡华府 -万达商圈,3室2厅 | 131平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,111,"8,474元/平"
房子是别墅房东诚心出售有单独院子,永利滨江御景二期 -行政中心商圈,6室2厅 | 208.43平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,15人关注 / 11个月以前发布,300,"14,394元/平"
读书近，全明户型，步梯优质楼层，生活便利,五三小区 -亿升商圈,3室1厅 | 70平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,59,"8,429元/平"
房东急售年底必出 ，产证满两年，四房纯西边套。,友邦壹号公馆 -十一小商圈,4室2厅 | 122.77平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,116,"9,449元/平"
城东板块，高品质社区，小区环境优美，人车分流,建亨上东城 -商贸城商圈,3室2厅 | 136.72平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,89,"6,510元/平"
龙潭湖公园 龙湖一品 毛坯三居 电梯楼层好,龙湖一品 -行政中心商圈,3室2厅 | 98.25平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,97,"9,873元/平"
米兰春天 精装通透4+1户型 品牌家具家电,永隆米兰春天 -商贸城商圈,4室2厅 | 143.89平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,23人关注 / 一年前发布,121,"8,410元/平"
市政府凡尔赛中6楼三开间朝南户型满两年生活方便,汇成观邸 -行政中心商圈,2室2厅 | 87.59平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,90,"10,276元/平"
楼层好，采光好，交通便利，位置好，得房率大。,怡和楼 -十一小商圈,2室2厅 | 102.78平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,6人关注 / 一年前发布,51,"4,963元/平"
香榭丽舍房子五三大道配套齐全的,香榭里舍 -紫阳商圈,2室2厅 | 138.54平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,93,"6,713元/平"
融辉城房子出售位置好，小区环境好，配套好，商场近，,融晖城 -商贸城商圈,3室2厅 | 135平米 | 南 | 简装 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,138.8,"10,282元/平"
业主精装修 没住过 因外地置业出售此房 价格可谈,友邦壹号公馆 -十一小商圈,4室2厅 | 123.77平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,37人关注 / 一年前发布,163,"13,170元/平"
房子空置 步梯2楼 看房方便 诚心出售 交通生活,金龙岗26号 -亿升商圈,3室2厅 | 85.94平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 4个月以前发布,67,"7,797元/平"
江景大平层配套齐全，交通发达，生活便利,万力时代东区 -万力商圈,5室2厅 | 290.74平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,5人关注 / 5个月以前发布,386,"13,277元/平"
香榭丽舍房子五三大道配套齐全的,香榭里舍 -紫阳商圈,2室2厅 | 138.54平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,93,"6,713元/平"
江景大平层配套齐全，交通发达，生活便利,万力时代东区 -万力商圈,5室2厅 | 290.74平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,5人关注 / 5个月以前发布,386,"13,277元/平"
房子空置 步梯2楼 看房方便 诚心出售 交通生活,金龙岗26号 -亿升商圈,3室2厅 | 85.94平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 4个月以前发布,67,"7,797元/平"
业主精装修 没住过 因外地置业出售此房 价格可谈,友邦壹号公馆 -十一小商圈,4室2厅 | 123.77平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,37人关注 / 一年前发布,163,"13,170元/平"
电梯洋房，采光好，小区环境优美，适合居住,博能瀚林院 -大市场商圈,3室2厅 | 137.8平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,86,"6,241元/平"
房产证还没有满2年，房子是没有抵押 楼层好 采光佳,三清国际花园 -行政中心商圈,2室2厅 | 90.19平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,55,"6,099元/平"
江光小区 2室1厅 南,江光小区 -十一小商圈,2室1厅 | 52.13平米 | 南 | 简装 | 低楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,51.8,"9,937元/平"
该房无抵押，满2年，房东诚心出售，横厅设计,汇成观邸 -行政中心商圈,3室2厅 | 119平米 | 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,106,"8,908元/平"
市政板块中房青蓝国际毛坯三房房东诚心卖可按揭,中房青蓝国际 -行政中心商圈,3室1厅 | 106.23平米 | 南 | 其他 | 低楼层(共21层)  | 板楼,1人关注 / 4个月以前发布,65,"6,119元/平"
新上房源，毛坯大四房，113平户型的价格买139平户型,碧桂园天樾 -商贸城商圈,4室2厅 | 139.51平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,3人关注 / 1个月以前发布,92,"6,595元/平"
凡尔赛B区好房 位置好，楼层佳，看房方便,汇成观邸 -行政中心商圈,3室2厅 | 119.59平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,3人关注 / 8个月以前发布,106,"8,864元/平"
螺丝山路 2室2厅 南,螺丝山路 -十一小商圈,2室2厅 | 53.3平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42.8,"8,031元/平"
美地印象 3室2厅 南,美地印象 -经开区商圈,3室2厅 | 89平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,55,"6,180元/平"
满二年  拎包入住 出行购物方便,阳光花园北区 -旭日商圈,3室2厅 | 125.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,70,"5,577元/平"
此房满二年，精装修，出行方便，生活配套齐全,紫景園 -紫阳商圈,3室2厅 | 143.86平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 3个月以前发布,128,"8,898元/平"
翼天城，电梯洋房，房东急售，单价7字开头,翼天城 -十一小商圈,3室2厅 | 126.88平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,54人关注 / 一年前发布,95,"7,488元/平"
业主诚心出售，公摊小，很适合老人小孩居住。,月泉花城 -十一小商圈,3室2厅 | 130平米 | 东南 南 | 精装 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,108,"8,308元/平"
龙潭湖旁小区环境好，此房视野开阔，采光充足中间楼层,御景天下 -行政中心商圈,3室2厅 | 131.4平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,29人关注 / 一年前发布,129,"9,818元/平"
急卖 急卖  小洋房 视野好，公摊低,和锦園 -行政中心商圈,3室2厅 | 103.52平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,23人关注 / 7个月以前发布,102,"9,854元/平"
户型方正，格局分布合理，采光很好，通透性强,凤凰家园 -商贸城商圈,4室2厅 | 143.9平米 | 东南 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,92,"6,394元/平"
满五唯一，商贸城商圈、价格实惠,紫阳名邸 -商贸城商圈,2室2厅 | 94.3平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,68,"7,212元/平"
恒大名都东端户精装修 上学方便 全新未入住 物业好,恒大名都 -万达商圈,3室2厅 | 120.46平米 | 南 北 | 精装 | 低楼层(共24层)  | 暂无数据,18人关注 / 一年前发布,140,"11,623元/平"
急售龙华世纪城 中间楼层3房 百米楼间距,龙华世纪城 -行政中心商圈,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,31人关注 / 9个月以前发布,96,"7,680元/平"
市政府北，靠龙潭湖空气好，小区人车分行。。。。。,友邦玫瑰公馆 -行政中心商圈,3室3厅 | 101.23平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,77人关注 / 一年前发布,67,"6,619元/平"
此房户型端正，采光好业主诚心出售,明阳大学公馆 -大市场商圈,2室2厅 | 93.02平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,66,"7,096元/平"
此房满五唯一，税费低，房东急售，步梯3楼,江光小区 -十一小商圈,2室1厅 | 52.15平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 1个月以前发布,37.5,"7,191元/平"
满五唯一税费低 精装  楼层采光好  南北通,永隆米兰春天 -商贸城商圈,3室2厅 | 126.27平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,5人关注 / 5个月以前发布,139,"11,009元/平"
毛坯房随意装修，成熟小区适合居住,天一尊邸 -经开区商圈,3室2厅 | 111.08平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,71,"6,392元/平"
房东急卖 信江府大平层精装修带车位 拎包入住,博能信江府 -七六路商圈,4室2厅 | 295.41平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,12人关注 / 一年前发布,200,"6,771元/平"
友邦一号公馆边 嘉怡华府，商场近 公园近。,嘉怡华府 -万达商圈,2室2厅 | 84.02平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,33人关注 / 一年前发布,78,"9,284元/平"
龙湖一品 精装小两房  直接拎包入住 户型端正,龙湖一品 -行政中心商圈,2室2厅 | 58.62平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,21人关注 / 一年前发布,73,"12,454元/平"
