标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
小区环境好，适合居住，交通方便,新力合园 -红谷滩,3室2厅 | 118.29平米 | 西 | 毛坯 | 高楼层(共34层)  | 暂无数据,2人关注 / 6个月以前发布,132,"11,160元/平"
三房自住精装修，全明户型方形板正，户型通透,小金台 -八一公园,3室2厅 | 142.76平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,132,"9,247元/平"
四号线地铁口   近洪城百亿商圈   好楼层,银亿上尚城北区 -象湖,3室2厅 | 122平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,103,"8,443元/平"
湿地公园旁南师二十八温莎城堡端户，楼层采光视野好,绿都·温莎城堡 -艾溪湖东,3室1厅 | 92.35平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 11天以前发布,140,"15,160元/平"
八一馆站 中山路百盛天虹旁 南昌三中邮小旁边,繁荣巷 -八一公园,3室2厅 | 89.27平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 4个月以前发布,108,"12,099元/平"
绿都温莎城堡三房 楼层好。物业好。房东诚心卖。,绿都·温莎城堡 -艾溪湖东,3室2厅 | 93.24平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,55人关注 / 一年前发布,125,"13,407元/平"
视野宽阔，采光充足，设施齐全...............,博泰魏玛峰尚二期 -洪都航空工业园,3室2厅 | 80.91平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,78,"9,641元/平"
双地铁口 出行方便 前面视野开阔 房东诚意卖,世纪中央城一期 -秋水广场,3室2厅 | 99.88平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 9个月以前发布,195,"19,524元/平"
万科小洋房 中间楼层 视野无档 精装拎包入住,万科金域传奇 -红湾大道以北,3室2厅 | 85.96平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,86,"10,005元/平"
正荣大湖长岛全明户型，视野开阔，居住舒服，户型方正,正荣大湖之都 -昌南,3室2厅 | 89.89平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,8人关注 / 4个月以前发布,73,"8,122元/平"
房东急售。三房户型，小区环境优雅,恒锦花苑一区 -九龙湖,3室2厅 | 99.35平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,143,"14,394元/平"
联泰香域滨江 4室2厅 南,联泰香域滨江 -学府大道,4室2厅 | 146.23平米 | 南 | 简装 | 低楼层(共10层)  | 板塔结合,0人关注 / 5个月以前发布,245,"16,755元/平"
环境地理位置好 ，小区环境优美 人车分流，3房2卫.,南天金源 -紫荆路,3室2厅 | 89.36平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,3人关注 / 3个月以前发布,129.9,"14,537元/平"
万科品牌 小三房精装 价格实惠 拎包入住,万科城一二期 -青山湖区,3室2厅 | 89.34平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,115,"12,873元/平"
前后无挡，楼层好，采光佳，湖景房看湖视野好,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 90.76平米 | 南 | 毛坯 | 30层  | 塔楼,1人关注 / 1个月以前发布,142,"15,646元/平"
瑶湖北 航空城 保利瑶湖郡 毛坯三房 业主诚售,保利瑶湖郡 -高新区,3室2厅 | 110.93平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,69,"6,221元/平"
买一层的两层，实际面积120平，三号地铁口,碧海云天 -塘山广场,2室1厅 | 48.88平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,42人关注 / 一年前发布,95,"19,436元/平"
A7地块看中价格好谈带车位的价格,通源新建城A7 -红谷滩,4室2厅 | 144平米 | 东南 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 10天以前发布,102,"7,084元/平"
万科金域国际精装三房 旭辉商场旁 生活购物便利,万科金域国际 -紫荆路,3室2厅 | 88.68平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 10天以前发布,102.9,"11,604元/平"
春晓苑二区 南北通透带一个大院子 小区配套设施齐全,银河城春晓苑 -银三角,3室2厅 | 95.52平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,65,"6,805元/平"
经开区旭辉广场旁南天金源住宅2房精装低总价诚心出售,南天金源 -紫荆路,2室2厅 | 54.64平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 3个月以前发布,82.8,"15,154元/平"
蓝光林肯公园洋房复式带70平米花园  上下三层,蓝光林肯公园8号 -瑶湖东,4室2厅 | 119.81平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,143,"11,936元/平"
精装象湖圆 带家具家电 业主急售 采光视野好,象湖园社区 -江铃,2室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,14人关注 / 一年前发布,86,"8,687元/平"
户型方正，小区停车方便，近地铁四号线,江纺住宅一区 -江坊,2室2厅 | 69.67平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 9天以前发布,39,"5,598元/平"
汇仁花园小区三室二厅诚心出售。。。。。。。。。。。,汇仁阳光花园 -莲塘,3室2厅 | 89.81平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 9天以前发布,82,"9,131元/平"
西站瑞都通透端户3房，全新自住装修，采光视野好,西站瑞都 -红谷滩,3室2厅 | 115.78平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,129,"11,142元/平"
小区配套成熟 楼层好 一梯两户 居住舒适,恋恋象湖 -江铃,3室2厅 | 99.7平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,89,"8,927元/平"
天使水榭尚都 南北对流毛坯房公园 生活便利,天使水榭尚都 -青山湖区,3室2厅 | 130.63平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,13人关注 / 一年前发布,132,"10,105元/平"
保利心语花园 3室1厅 南 北,保利心语花园 -青山湖区,3室1厅 | 108.86平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,100,"9,187元/平"
万达文化旅游城L区三房楼层好价格低户型方正,万达文化旅游城万达首府L1区 -九龙湖,3室2厅 | 119.16平米 | 南 | 毛坯 | 33层  | 塔楼,1人关注 / 3个月以前发布,105,"8,812元/平"
万达文化旅游城N3区 3室1厅 南,万达文化旅游城N3区 -九龙湖,3室1厅 | 131.08平米 | 南 | 简装 | 33层  | 塔楼,0人关注 / 9天以前发布,105,"8,011元/平"
房东诚心出售，交通便利，环境优雅,滨江壹号 -朝阳洲,4室2厅 | 151.28平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,272,"17,980元/平"
近地铁....医疗完善，八月湖主干道,金涛御景花园 -象湖,3室2厅 | 103.46平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,85,"8,216元/平"
房东诚售看房方便目前是实惠的一套,体育馆社区 -莲塘,2室2厅 | 74.35平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,42,"5,649元/平"
二楼全天太阳 精装修 正规三房 出入干净 可以停车,箭道巷 -墩子塘,3室2厅 | 87.81平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,89,"10,136元/平"
通透格局，采光很好，视野开阔，户型很好。出入方便。,保利蓝海嘉居 -红谷滩,3室2厅 | 89.71平米 | 南 | 毛坯 | 低楼层(共31层)  | 平房,0人关注 / 一年前发布,65,"7,246元/平"
天香园景点旁，电梯洋房，好房实惠,天香雅居 -塘山广场,3室2厅 | 88.1平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,103,"11,692元/平"
象湖威尼斯 3室2厅 南,象湖威尼斯 -江铃,3室2厅 | 129.48平米 | 南 | 简装 | 低楼层(共23层)  | 板楼,5人关注 / 9个月以前发布,107.8,"8,326元/平"
精装修通透2房，配套成熟，业主诚心出售,正荣大湖之都 -昌南,2室2厅 | 87.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,58,"6,656元/平"
保利和光 4室1厅 南 北,保利和光 -洪都,4室1厅 | 123.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 9天以前发布,170,"13,814元/平"
房东自己弄了一下装修，有家具家电拎包入住，不靠高铁,伟象碧桂园 -象湖,3室2厅 | 87.2平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 8天以前发布,95,"10,895元/平"
实用面积大 户型方正光线好 楼层佳。,怡兰苑 -高新区,3室2厅 | 124.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,108,"8,698元/平"
一线江景房，楼层高度好，风景优美，价格便宜,博泰江滨 -秋水广场,3室2厅 | 129.11平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,215,"16,653元/平"
成熟配u套，房东自住装修，诚心出售,居住主题公园-桂芳景绣多层公寓 -象湖,3室2厅 | 90.76平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,72,"7,934元/平"
北湖路3房 户型方正 2房朝南 阳台看北湖全景 视野开阔,北湖路 -墩子塘,3室1厅 | 104.27平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,123.8,"11,874元/平"
诚意出售，满五年好楼层带车位，诚意购买价格可以商量,银亿上尚城北区 -象湖,3室2厅 | 121.52平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,109,"8,970元/平"
艾溪湖湖景大平层，独有户型，就此一套，错过再无,溪湖春天 -青山湖区,4室2厅 | 188.84平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,13人关注 / 7个月以前发布,228,"12,074元/平"
房子房东诚心出售，楼层好，精装全带，采光和视线好,红谷·新城 -红湾大道以南,3室1厅 | 85.26平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,116,"13,606元/平"
象湖滨江毛坯现房电梯高层江景房2梯2户*高得房率99%,龙安花园 -象湖,4室2厅 | 143.34平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,118,"8,233元/平"
瑶湖公园毛坯三房，低楼层，户型通透，业主诚售,瑶湖豪宅 -瑶湖东,3室2厅 | 101.58平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板塔结合,1人关注 / 7个月以前发布,85,"8,368元/平"
经开公园 旁 正荣府洋房4室2厅，房东诚心出售。,经开正荣府 -紫荆路,4室2厅 | 118.08平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 10天以前发布,153,"12,958元/平"
万科金域传奇洋房+楼层好户型方正+业主诚心出售,万科金域传奇 -红湾大道以北,3室2厅 | 85.96平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,88,"10,238元/平"
绿都温莎城堡小三房 毛坯可按自己想法装修 房东急售,绿都·温莎城堡 -艾溪湖东,3室2厅 | 92.35平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,4人关注 / 4个月以前发布,135,"14,619元/平"
红谷世纪花园 户型好 采光充足 业主诚心急售,红谷世纪花园D区 -红谷滩万达,3室2厅 | 133.02平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,265,"19,922元/平"
房东诚意出售  看房有钥匙  价格美丽,万达星城西区 -翠苑路,3室2厅 | 123.67平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,16人关注 / 一年前发布,179.8,"14,539元/平"
近地铁，楼下有大型商*，采光充足,地中海阳光 -岭口路,3室2厅 | 89.72平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,9人关注 / 一年前发布,165,"18,391元/平"
小区位置好 大型商场 一线江景房 生活便利,保利东湾国际 -新城吾悦,3室2厅 | 88.64平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,125,"14,102元/平"
红谷世纪花园 户型好 采光充足 业主诚心急售,红谷世纪花园D区 -红谷滩万达,3室2厅 | 133.02平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,265,"19,922元/平"
新力愉景湾  通透户型  中间楼层  看湖景,新力愉景湾 -象湖,3室2厅 | 92.69平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,108,"11,652元/平"
户型方正  环境优美  四号地铁口 房东急售,桃苑心雨花园 -朝阳洲,2室2厅 | 107.22平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,115,"10,726元/平"
艾溪湖东 保利香槟国际 端户通透三房 视野开阔 环境好,保利香槟国际（艾溪湖二路66号） -艾溪湖东,3室2厅 | 90.96平米 | 南 | 毛坯 | 32层  | 板塔结合,0人关注 / 2个月以前发布,138,"15,172元/平"
通透格局，采光很好，视野开阔，户型很好。出入方便。,保利蓝海嘉居 -红谷滩,3室2厅 | 89.71平米 | 南 | 毛坯 | 低楼层(共31层)  | 平房,0人关注 / 一年前发布,65,"7,246元/平"
一线江景房，楼层高度好，风景优美，价格便宜,博泰江滨 -秋水广场,3室2厅 | 129.11平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,215,"16,653元/平"
文卫路小区此房无公摊，视野好，采光充足，生活便利。,文卫路 -莲塘,3室2厅 | 72.62平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,62,"8,538元/平"
大四房，南北通透，带车位景观房急 桥头堡面积多,银城江畔 -象湖,4室2厅 | 141.09平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,116.5,"8,258元/平"
恒大翡翠珑庭·珺庭 4室2厅 南,恒大翡翠珑庭·珺庭 -莲塘,4室2厅 | 140平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 31天以前发布,150,"10,715元/平"
户型方正，格局好，精装全天采光，设计合理，得房率高,莱蒙都会北区 -红谷滩万达,3室2厅 | 101.75平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,285,"28,010元/平"
地铁三号线口 精装带车位  拎包入住 房东诚心出售,汇仁阳光花园 -莲塘,3室2厅 | 89.21平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 12天以前发布,98,"10,986元/平"
成熟小区，配套齐全，生活方便高档社区，物业管理好,九仰梧桐公寓 -高新管委会,1室1厅 | 45.11平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 4天以前发布,70,"15,518元/平"
铁路九村近几年精装修 带家电家具 刚需好房 有钥匙,铁路九村 -塘山广场,2室1厅 | 66.71平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,53,"7,945元/平"
户型端正，小面积向南，全大士院急低价。,半步街 -大士院,2室1厅 | 43.89平米 | 南 | 简装 | 高楼层(共8层)  | 平房,9人关注 / 8个月以前发布,20,"4,557元/平"
精装修通透户型，楼层采光好，房东急售，可随时看房,朗贤·奥特莱斯小镇 -瑶湖东,2室2厅 | 77.5平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 2个月以前发布,63,"8,130元/平"
成熟小区，配套设施齐全，生活便利,九仰梧桐公寓 -高新管委会,2室1厅 | 60.99平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,87,"14,265元/平"
东方巴黎 3室1厅 南,东方巴黎 -朝阳洲,3室1厅 | 62.32平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,69,"11,072元/平"
恒大精装修两房 房龄新 房东急卖,南昌恒大城 -象湖,2室1厅 | 88.56平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,11人关注 / 9个月以前发布,68.8,"7,769元/平"
格局好，精装，采光好，一个电话随时看房。,胜利路 -八一公园,2室2厅 | 75.88平米 | 西 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,62,"8,171元/平"
朝阳新城 西湖万达旁 中大云锦苑 精装小3房可拎包入住,中大云锦苑 -朝阳新城,3室1厅 | 93.71平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,173.8,"18,547元/平"
硕丰西湖里   精装修   房东诚心出售,硕丰西湖里 -象湖,2室2厅 | 60.02平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,62,"10,330元/平"
出门地铁口与万寿宫文化街、可做店面可住家，交通方便,广润门三区 -船山路,2室1厅 | 50.47平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,53.8,"10,660元/平"
南北通透，双阳台，婚房，全新装修未入住,新力愉景湾 -象湖,3室2厅 | 93.27平米 | 南 北 | 精装 | 低楼层(共29层)  | 塔楼,6人关注 / 5个月以前发布,117,"12,545元/平"
九仰梧桐 全新简约风格三房 可拎包入住,九仰梧桐公寓 -高新管委会,3室2厅 | 98.71平米 | 东南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 15天以前发布,137,"13,880元/平"
万科公园里 精装修 带车位 大四房,万科公园里（月坊金色小区） -青山湖区,4室2厅 | 156.19平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,256,"16,391元/平"
华润凯旋门 实用四房 户型方正 视野开阔 出入方便,华润凯旋门 -九龙湖,4室2厅 | 111.44平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 2个月以前发布,185,"16,601元/平"
