标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
花生唐 大四房 视野开阔  户型方正 小区环境好 带车位,兴汇城 -临桂区,4室2厅 | 142.23平米 | 北 | 毛坯 | 低楼层(共30层)  | 板楼,4人关注 / 一年前发布,58,"4,078元/平"
房子无抵押，楼间距宽，环境优美，视野开阔,里约湖岸 -临桂区,2室2厅 | 92.78平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,39,"4,204元/平"
两个大阳台，南北通，透，大三房，环境美丽，管理严格,彰泰城市一号 -临桂区,3室2厅 | 109平米 | 北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,55,"5,046元/平"
临桂新区 吾悦广场旁 汇荣桂林4房带车位 视野开阔,汇荣•桂林桂林 -临桂区,4室2厅 | 124平米 | 北 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,7人关注 / 4个月以前发布,66,"5,323元/平"
龙光普罗旺斯电梯9楼大三房出售,龙光•普罗旺斯 -象山区,3室2厅 | 108.75平米 | 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,55,"5,058元/平"
万达广场 吾悦广场汇荣桂林 大四房 视野开阔 急售,汇荣•桂林桂林 -临桂区,4室2厅 | 132.18平米 | 东北 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,66,"4,994元/平"
七星万达 融创万达 大4房 2梯2户中间楼栋 急售,栖霞府北苑 -七星区,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,5人关注 / 6个月以前发布,118.8,"9,355元/平"
栖霞府北苑精装三房，视野开阔，业主诚意出售,栖霞府北苑 -七星区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,17人关注 / 一年前发布,99,"8,609元/平"
奥林匹克花园精装3房，中间楼层，通风采光好，总价低,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 107平米 | 南 东 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,50.5,"4,720元/平"
育才一楼带花园院子122㎡大三房精装99万,学府世家 -七星区,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,97.8,"8,017元/平"
精装没有住过  带两个露台 带车位 随时可以看房,桂医熙境 -临桂区,3室2厅 | 115平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,2人关注 / 1个月以前发布,60,"5,218元/平"
彰泰滟澜山，大4房，4米大开间客厅，好楼层采光明亮,彰泰滟澜山 -临桂区,4室2厅 | 108.66平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,2人关注 / 7个月以前发布,48,"4,418元/平"
崇信路16号  小三房  中医院旁  步梯一楼 带杂物间,崇信路16号 -象山区,3室1厅 | 60.5平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,7人关注 / 7个月以前发布,32,"5,290元/平"
吾悦广场，户型方正，动静分离，视野开阔三房45万,汇荣•桂林桂林 -临桂区,3室2厅 | 106.76平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,28人关注 / 4个月以前发布,45,"4,216元/平"
虞山公园旁 虞山路3号 2房1厅 带15平杂物间 39万,虞山路3号 -叠彩区,2室1厅 | 67平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 22天以前发布,39,"5,821元/平"
兴 荣 郡 精 装 修 两 房 出 售,兴荣郡 -临桂区,2室1厅 | 88平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 29天以前发布,40.9,"4,648元/平"
象山区 彰泰悠山郡 清水两房 户型实用 看房方便,悠山郡 -象山区,2室2厅 | 85.04平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,2人关注 / 25天以前发布,56.8,"6,680元/平"
一线水系263平大平层精装5房，拎包入住，还带个车位,桂林碧桂园 -临桂区,5室2厅 | 263.22平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,11人关注 / 10个月以前发布,237,"9,004元/平"
山水凤凰城美宅别墅200平花园有院子有车库,山水凤凰城 -临桂区,5室2厅 | 283平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,4人关注 / 3个月以前发布,139,"4,912元/平"
一梯两户，户型实用没有浪费空间 简装修，南北对流,虎山路朝阳巷14号 -临桂区,3室2厅 | 116平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 9个月以前发布,34,"2,932元/平"
同心园 三房两厅 交通便利 无遮挡,同心园小区 -象山区,3室1厅 | 100平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 18天以前发布,45,"4,500元/平"
临江苑精装大四房 140平米 子母车位，红木家具,临江苑 -七星区,4室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 23天以前发布,120,"8,572元/平"
澳洲花园小区中位置，低楼层，大三房，户型好用,澳洲花园 -七星区,3室2厅 | 126.86平米 | 南 北 | 精装 | 低楼层(共8层)  | 塔楼,0人关注 / 28天以前发布,83,"6,543元/平"
花样年花样城三期 2室1厅 南,花样年花样城三期 -临桂区,2室1厅 | 83.39平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 29天以前发布,43,"5,157元/平"
七星路二巷 2室1厅 南 北,七星路二巷 -七星区,2室1厅 | 67平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 17天以前发布,32,"4,777元/平"
西山 二楼 户型方正 采光好 业主急售,桃花新村 -秀峰区,3室1厅 | 76.05平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,34.5,"4,537元/平"
高新万达商圈栖霞府北苑电梯清水高层3房,栖霞府北苑 -七星区,3室2厅 | 89平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,74,"8,315元/平"
市政府旁，客厅挑高4.7米，精装大三房，拎包入住,精通伊顿国际 -临桂区,3室2厅 | 122.39平米 | 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,62,"5,066元/平"
繁华地段.小河旁.龙隐房.边户三面采光.带杂物间,龙隐山庄 -七星区,3室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 6个月以前发布,70.3,"6,510元/平"
68.5万急售 水晶郦城 115平 3房2厅2卫 有装修,冠泰水晶郦城 -七星区,3室2厅 | 115.1平米 | 南 | 简装 | 低楼层(共14层)  | 塔楼,8人关注 / 6个月以前发布,68.6,"5,961元/平"
此房满五不唯一，带杂物间，南北通透,铁道疗养院小区 -象山区,3室2厅 | 76平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,3人关注 / 3个月以前发布,30,"3,948元/平"
彰泰金桥水岸 位于水系旁 小高三房,彰泰金桥水岸 -临桂区,3室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共35层)  | 板塔结合,0人关注 / 3个月以前发布,40,"4,348元/平"
精通伊顿国际精装三房！地段好配套齐全！,精通伊顿国际 -临桂区,3室2厅 | 108.56平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,55,"5,067元/平"
天隆居 电梯房 3房2厅2卫 136平 80,聖隆·天龍居 -叠彩区,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共12层)  | 暂无数据,1人关注 / 1个月以前发布,75,"5,515元/平"
象山区 龙船坪 三房户型 实用实惠,龙船坪路3号 -象山区,3室2厅 | 99.03平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,3人关注 / 5个月以前发布,48,"4,848元/平"
麓湖国际  湖景房 采光明亮 视野宽阔,花样年•麓湖国际 -临桂区,4室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,65,"4,780元/平"
南溪花园  电梯三房  出售  采光好带装修,南溪花园 -象山区,3室2厅 | 121平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,3人关注 / 9个月以前发布,73,"6,034元/平"
吾悦万达旁一梯两户小高层洋房！房东急售！,山水凤凰城 -临桂区,3室1厅 | 101.01平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,48.6,"4,812元/平"
鑫灿花苑大三房急售65万，看中可谈！采光良好！,鑫灿花园 -叠彩区,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 1个月以前发布,64.8,"5,400元/平"
彰泰城市一号精装3房带车位.....,彰泰城市一号 -临桂区,3室2厅 | 89.36平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,58,"6,491元/平"
吾悦广场旁，交通方便房子户型方正采光视野好,汇荣•桂林桂林 -临桂区,3室2厅 | 100.31平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,54.5,"5,434元/平"
一院两馆旁水系房，满五唯一带负一楼电梯口车位,彰泰城市一号 -临桂区,4室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,5人关注 / 7个月以前发布,76,"6,080元/平"
碧园印象桂林精装3房41万拎包入住,碧园•印象桂林 -临桂区,3室2厅 | 96.59平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,3人关注 / 1个月以前发布,39,"4,038元/平"
麓湖国际 100平朝南 一线湖景3房 采光很好,花样年•麓湖国际 -临桂区,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 10个月以前发布,42,"4,200元/平"
房子户型方正，采光好，板楼结购，边户,花样年•麓湖国际 -临桂区,4室2厅 | 135.9平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,61.8,"4,548元/平"
精装修，可拎包入住，独立产权，中间楼层，采光充足。,金龙•五品花园 -临桂区,3室2厅 | 89.33平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,49,"5,486元/平"
： 户型方正，采光好，交通方便，配套好,桂林电子商城 -临桂区,2室1厅 | 69.34平米 | 南 | 毛坯 | 中楼层(共16层)  | 塔楼,1人关注 / 2个月以前发布,21,"3,029元/平"
芦笛路单位宿舍养生二楼两房，新装修，生活方便。,清秀路1号 -叠彩区,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,27.8,"4,878元/平"
七星区三里店益华城旁实用2房带杂物间，2楼,无线电三厂宿舍 -七星区,2室2厅 | 71.03平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,5人关注 / 1个月以前发布,26,"3,661元/平"
一梯两户纯板楼，电梯洋房，户型好，视野开阔，采光好,新城吾悦华府 -临桂区,4室2厅 | 132.87平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,19人关注 / 7个月以前发布,56.8,"4,275元/平"
安厦漓江大美 2室1厅 南 北,安厦漓江大美 -象山区,2室1厅 | 67.7平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,42,"6,204元/平"
朝南 经典大二房 家具家电齐全,碧园华骊茗城 -临桂区,2室2厅 | 90平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,35,"3,889元/平"
四建三分大院 瓦窑平山 热闹地段,三分大院小区 -象山区,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,24.5,"4,455元/平"
万达广场旁 棠棣之华单配 精装单间 原价出售可打折,信昌•棠棣之华 -七星区,1室1厅 | 23.66平米 | 东南 | 简装 | 中楼层(共16层)  | 暂无数据,3人关注 / 2个月以前发布,18.5,"7,820元/平"
精装修 直接拎包入住电梯房 朝南采光好  近三里店一中,鸿瑞·香格里拉花园 -七星区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,2人关注 / 4个月以前发布,72.5,"8,147元/平"
吾悦商圈 中间楼层 视野采光好 户型方正,汇荣•桂林桂林 -临桂区,2室2厅 | 71.63平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 9个月以前发布,36.5,"5,096元/平"
万达广场旁 棠棣之华单配 精装单间 原价出售可打折,信昌•棠棣之华 -七星区,1室1厅 | 23.66平米 | 东南 | 简装 | 中楼层(共16层)  | 暂无数据,3人关注 / 2个月以前发布,18.5,"7,820元/平"
悠山郡，彰泰物业，电梯精装朝南大二房，拎包入住。,悠山郡 -象山区,2室2厅 | 85.42平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,6人关注 / 6个月以前发布,67.8,"7,938元/平"
急售山水凤凰城带车位价格的大三房，证件齐全随时看房,山水凤凰城 -临桂区,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,2人关注 / 6个月以前发布,48.6,"4,190元/平"
公务员国奥小区 复式楼 5房 户型方正 采光通风好,新城国奥小区 -临桂区,5室2厅 | 286平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,8人关注 / 一年前发布,132,"4,616元/平"
兴荣郡 1室1厅 南,兴荣郡 -临桂区,1室1厅 | 48平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 一年前发布,24.8,"5,167元/平"
漓江明珠 简装方正两房 产权 61.90m²,漓江明珠 -灵川,2室1厅 | 61.9平米 | 北 | 精装 | 中楼层(共16层)  | 板塔结合,4人关注 / 5个月以前发布,26.8,"4,330元/平"
[远辰实验]国际西苑精装小高层、双阳台25.6万,国际西苑 -临桂区,1室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,25.6,"4,267元/平"
象山区万福商圈养生楼层精装2房储运公司生活小区,桂林储运公司生活小区 -象山区,2室1厅 | 77.68平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,43,"5,536元/平"
"华润隔壁秀峰区2房,214年小区,71平龙光翠竹苑",龙光翠竹苑 -秀峰区,2室2厅 | 71.56平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,12人关注 / 4个月以前发布,51.5,"7,197元/平"
步梯3层，小区环境花园社区，住家安静,广源·国际社区 -秀峰区,2室2厅 | 76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,63.8,"8,395元/平"
山水凤凰城属鱼组团中装修两房一卫,山水凤凰城 -临桂区,2室2厅 | 83.47平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,35,"4,194元/平"
新城吾悦华府洋房一梯一户总高11层,新城吾悦华府 -临桂区,4室2厅 | 132.87平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,6人关注 / 7个月以前发布,56.5,"4,253元/平"
奥林匹克花园雅典阳光房东急售！,奥林匹克花园雅典阳光 -临桂区,1室1厅 | 65平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 4个月以前发布,22.8,"3,508元/平"
吾悦广场旁成熟小区兴荣郡简装大两房,兴荣郡 -临桂区,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,1人关注 / 6个月以前发布,36.5,"4,563元/平"
成熟社区   山景3房  老少皆宜,彰泰滟澜山 -临桂区,3室2厅 | 78.71平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,34,"4,320元/平"
麓湖国际，全新没住过，三房看湖,花样年•麓湖国际 -临桂区,3室2厅 | 95平米 | 南 西北 | 精装 | 高楼层(共34层)  | 暂无数据,3人关注 / 6个月以前发布,51.2,"5,390元/平"
三房两厅一卫户型方正通风好采光好.....,花样年•麓湖国际 -临桂区,3室2厅 | 88.58平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,10人关注 / 8个月以前发布,36,"4,065元/平"
碧桂园剑桥郡三房，中层，视野开阔,碧桂园剑桥郡 -临桂区,3室2厅 | 102.4平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 2个月以前发布,53.5,"5,225元/平"
临桂彰泰滟澜山精装两出售业主无抵押；看方便,彰泰滟澜山 -临桂区,2室2厅 | 63.3平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,37,"5,846元/平"
环境优美，采光通透，交通便利有大型商场,彰泰兰乔圣菲 -七星区,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,4人关注 / 7个月以前发布,89,"9,176元/平"
临桂老城区 金山广场旁 香樟林精装大三房 拧包入住,碧园香樟林 -临桂区,3室2厅 | 118平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,53,"4,492元/平"
凤凰城天屿 车位 露台 入户花园  精装修好房销售,山水凤凰城 -临桂区,3室2厅 | 124.17平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,30人关注 / 7个月以前发布,62,"4,994元/平"
东晖国际3房电梯2楼产权135平精装带露台仅售92万,东晖国际公馆 -七星区,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,6人关注 / 4个月以前发布,89,"6,593元/平"
高新万达商圈栖霞府北苑三房精装修业主急售,栖霞府北苑 -七星区,3室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,13人关注 / 一年前发布,75,"8,334元/平"
奥林匹克精装3房2卫双阳台 53万,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 122.8平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,9人关注 / 4个月以前发布,53,"4,316元/平"
奥林匹克巴塞心情精装修大三房带20平米的花园,奥林匹克花园巴塞心晴 -临桂区,3室2厅 | 131.5平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,72人关注 / 一年前发布,44.5,"3,385元/平"
装修保养不错 可拎包入住 房东诚心置换,安厦世纪城安景园 -象山区,3室2厅 | 114.45平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,25人关注 / 一年前发布,82,"7,165元/平"
七星优质房源 育才，一室一厅总价低。,长城花园 -七星区,1室1厅 | 49.5平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 26天以前发布,64,"12,930元/平"
万象城近旁 一房一厅（电梯高层）带家具家电,彰泰鸣翠新城 -象山区,1室1厅 | 55.05平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 28天以前发布,50,"9,083元/平"
