标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
华硕天韵 3室1厅 南,华硕天韵 -济北区,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,4人关注 / 4个月以前发布,141,"13,056元/平"
满五唯一，中间楼层，急售位置佳。,太白小区 -南池区,3室1厅 | 73.09平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,12人关注 / 8个月以前发布,70,"9,578元/平"
颂运水庭B区简单装修，3室2厅2卫,颂运水庭B区 -北湖区,3室2厅 | 124.07平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,79,"6,368元/平"
中海城观园 4室2厅 南 北,中海城观园 -西城区,4室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,152,"11,177元/平"
急售华润万象府3室2厅毛坯房.有车位,华润置地万象府 -兖州区,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,113,"8,829元/平"
洸河新苑好楼层，采光好，南北通透,洸河新苑 -济北区,3室1厅 | 87平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,15人关注 / 8个月以前发布,65,"7,472元/平"
小高层！两梯三户！中间楼层！产权清晰！有钥匙！,永泰 · 新景湾 -西城区,3室2厅 | 128.4平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,113,"8,801元/平"
御景花园 3室1厅 南,御景花园 -北湖区,3室1厅 | 127平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,105,"8,268元/平"
华硕天韵 3室2厅 南 北,华硕天韵 -济北区,3室2厅 | 119.74平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,9人关注 / 5个月以前发布,148,"12,361元/平"
精装婚房拎包入住 证满5年 好楼层前无遮挡采光视线好,华都·金色兰庭 -济北区,3室2厅 | 98平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,3人关注 / 3个月以前发布,88,"8,980元/平"
恒大名都 精装修 家具家电齐全 看房方便 价格可议,济宁恒大名都 -北湖区,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 10个月以前发布,145,"10,903元/平"
急售  急售  汇翠园A区5室2厅3卫大平层,汇翠园A区 -济北区,5室2厅 | 200平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,12人关注 / 4个月以前发布,215,"10,750元/平"
101.6平80万，楼层佳，户型好，两室朝阳，客厅,瑞和春天小区 -西城区,2室1厅 | 101.6平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,15人关注 / 一年前发布,78,"7,678元/平"
诚心出售刚需小三室，有钥匙，有证可贷款,洸河新苑 -济北区,3室2厅 | 87平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,69,"7,932元/平"
6层 电梯洋房 一梯两户 三室两厅 证满两年 可贷款,金塔花园 -西城区,3室2厅 | 97.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,93,"9,539元/平"
领秀庄园二期 水冷空调 精装未住 看房有钥匙,领秀庄园 -济北区,2室2厅 | 99.89平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 4个月以前发布,129.5,"12,965元/平"
锦绣花园 儿童公园旁 诚心出售,锦绣花园 -万达区,3室1厅 | 110.83平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,11人关注 / 10个月以前发布,85,"7,670元/平"
金色兰庭香堤，115平好楼层三室95万急售，单价仅8260,金色兰庭香堤 -济北区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,95,"8,261元/平"
欧隆盛源经典小3室有钥匙业主诚售,欧隆盛源 -济北区,3室1厅 | 96.15平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,10人关注 / 7个月以前发布,69,"7,177元/平"
采光好，刚需房，精装修，价格可以谈。,金宇大厦 -济北区,2室2厅 | 103平米 | 北 | 精装 | 中楼层(共26层)  | 塔楼,5人关注 / 一年前发布,82,"7,962元/平"
俯览整个新世纪广场的全景，视线无遮挡，采光没问题,置城中央公园 -济北区,3室2厅 | 141平米 | 东南 | 简装 | 中楼层(共24层)  | 板塔结合,3人关注 / 一年前发布,117,"8,298元/平"
龙翔御苑三室朝阳户型证满两年，房东急售代储有钥匙,龙翔御苑 -济北区,3室2厅 | 133平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 5个月以前发布,80,"6,016元/平"
京杭佳苑A区 3室2厅 南 北,京杭佳苑A区 -北湖区,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,75,"6,579元/平"
急售  此房源成交快，欢迎大家来带看。,欧隆盛源 -济北区,3室1厅 | 96.39平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,73,"7,574元/平"
杨柳a区 精装三室 诚心出售 领包入住,杨柳国际新城B区 -济北区,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 9个月以前发布,90,"6,522元/平"
杨柳国际新城▪丽宫 3室2厅 南,杨柳国际新城▪丽宫 -济北区,3室2厅 | 119.06平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,4人关注 / 5个月以前发布,75,"6,300元/平"
精装三楼三室 看房有钥匙 标准户型 外开门储藏室,开泰花园 -西城区,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,77,"7,700元/平"
此房楼层好配套全，小高层公摊少，南北通透,九巨龙红玺台 -万达区,3室1厅 | 90.64平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,92,"10,151元/平"
一楼带院棉麻公司家属院两室带个小院有证可贷款,棉麻公司家属院 -邹城市,2室1厅 | 61平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,4人关注 / 7个月以前发布,47,"7,705元/平"
环城西路附院单位宿舍三室一厅通阳台霍家街,复兴街2号 -西城区,3室1厅 | 94.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 10个月以前发布,79,"8,336元/平"
有证可贷款 正规三室 全明户型 采光好,金屯小区 -高新区,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,62,"6,327元/平"
颂运水庭A区，三室两厅一厨一卫，南北通透房。,颂运水庭A区 -北湖区,3室2厅 | 127.32平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,31人关注 / 7个月以前发布,83,"6,520元/平"
阳光城市花园 单位宿舍 客厅卧室朝阳 钥匙随时看房,阳光城市花园B区 -济北区,3室2厅 | 160平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,18人关注 / 7个月以前发布,145,"9,063元/平"
太白路上市运公司宿舍刚需三室精装拎包入住,市运公司宿舍 -南池区,3室1厅 | 75平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,67,"8,934元/平"
蝴蝶户型，漂亮三居室。济宁相当早的一批电梯洋房,新世纪花园  -济北区,3室2厅 | 134平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,15人关注 / 一年前发布,140,"10,448元/平"
新出，华硕天韵，中高楼层，小三居，有车位 储藏室！,华硕天韵 -济北区,3室1厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,19人关注 / 10个月以前发布,128,"11,852元/平"
太白湖新区冠鲁明德花园毛坯三室房源有钥匙,冠鲁明德花园 -北湖区,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,106,"8,413元/平"
电梯房，客厅卧室都朝阳，格局好，采光充足..,中海城 -西城区,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,110,"10,000元/平"
房东急售 左岸丽都 双卫户型 含车位 方便看房,左岸丽都 -高新区,3室1厅 | 170平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,149,"8,765元/平"
青年城三期华锦苑  洋房  三室一厅朝阳带车位+储藏室,青年城三期华锦苑 -南池区,4室2厅 | 152平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,13人关注 / 一年前发布,196,"12,895元/平"
任城土管局宿舍 三室两厅 满五唯一,任城区土管局宿舍 -万达区,3室1厅 | 102.21平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,97,"9,491元/平"
总高11层小高，津多里商圈，双实验环境好,绿地公馆二期 -万达区,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,19人关注 / 一年前发布,146,"12,167元/平"
杨柳国际新城▪丽宫 3室2厅 南 北,杨柳国际新城▪丽宫 -济北区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,9人关注 / 一年前发布,92,"7,667元/平"
房子 户型好，楼层好，价格不高，,鸿顺温泉小镇 -北湖区,3室2厅 | 125平米 | 东 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 10个月以前发布,100,"8,000元/平"
急售  急售  瑞马名门3室2厅 120平方边户,瑞马名门 -济北区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,25人关注 / 一年前发布,143,"11,917元/平"
北湖经典户型中南洋房 房东诚心出售，带车位价格可议,中南·珑悦 -北湖区,4室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,158,"11,450元/平"
环城西路附院单位宿舍三室一厅通阳台霍家街,复兴街2号 -西城区,3室1厅 | 94.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 10个月以前发布,79,"8,336元/平"
泉兴家园前排观景房  精装修拎包入住配套齐全,泉兴家园 -邹城市,3室2厅 | 153.47平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,180,"11,729元/平"
青年城三期华锦苑  洋房  三室一厅朝阳带车位+储藏室,青年城三期华锦苑 -南池区,4室2厅 | 152平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,13人关注 / 一年前发布,196,"12,895元/平"
急售  急售  瑞马名门3室2厅 120平方边户,瑞马名门 -济北区,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,25人关注 / 一年前发布,143,"11,917元/平"
三室两厅一卫！霍家街！十五！南北通透！无遮挡！,融创滨江壹号 -西城区,3室2厅 | 122.09平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,98,"8,027元/平"
吾悦首府   三室两厅卫 新小区，位置好,吾悦首府 -北湖区,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 10个月以前发布,106,"9,299元/平"
阳光花园多层 公摊少，价格可议,阳光花园(任城区) -西城区,5室1厅 | 100.56平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,75,"7,459元/平"
房东诚意出售 燕京复式 带阁楼精装修  看房方便,燕京花园东区 -邹城市,4室2厅 | 180平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 4个月以前发布,85,"4,723元/平"
新世纪广场旁单位房好楼层可贷款附带大车库 13中,邮电新苑绿景园小区 -济北区,3室2厅 | 171.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,176,"10,276元/平"
瑞和春天128平 精装修3室2厅 户型采光通风好 随时看房,瑞和春天小区 -西城区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 5个月以前发布,106,"8,282元/平"
电梯洋房！四室两厅！带地上储藏室！急售！可贷款！,阳光花园(任城区) -西城区,4室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 2个月以前发布,135,"9,441元/平"
商品房，楼龄较新，一梯两户，全明户型..。。,大地•都市春天 -济北区,3室2厅 | 133.5平米 | 南 | 简装 | 低楼层(共12层)  | 暂无数据,20人关注 / 11个月以前发布,168,"12,585元/平"
市中 心 电梯6层洋房  精装六室三卫,济宁市第一干休所家属院 -西城区,6室2厅 | 300平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,265,"8,834元/平"
卫生局宿舍 一楼带院 户型合理 实际面积大,卫生局宿舍 -万达区,3室2厅 | 75.81平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,1人关注 / 4个月以前发布,118,"15,566元/平"
鳳凰城C区 3室2厅 南 北,鳳凰城C区 -南池区,3室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 26天以前发布,95,"7,540元/平"
瑞马意墅，精装修未住，带储藏室，拎包入住,瑞马意墅 -济北区,3室2厅 | 97平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 31天以前发布,136,"14,021元/平"
玖玺天鹅堡 3室1厅 东南,玖玺天鹅堡 -高新区,3室1厅 | 89.16平米 | 东南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 18天以前发布,82,"9,197元/平"
绿地11层小高 好楼层 精装品牌全新家具 拎包入住 满二,绿地公馆二期 -万达区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 22天以前发布,162,"13,500元/平"
瑞马意墅 精装未住 工作调动 带储藏室 价格可谈,瑞马意墅 -济北区,3室2厅 | 130.68平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,1人关注 / 29天以前发布,200,"15,305元/平"
玖玺天鹅堡 3室1厅 北 南,玖玺天鹅堡 -高新区,3室1厅 | 89.88平米 | 北 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 19天以前发布,86,"9,569元/平"
书香名邸 3室2厅 南,书香名邸 -北湖区,3室2厅 | 141.6平米 | 南 | 其他 | 低楼层(共19层)  | 板塔结合,0人关注 / 20天以前发布,155,"10,947元/平"
诚心出售，精装修，带车位储藏室，好楼层,颂运水庭A区 -北湖区,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 19天以前发布,88,"7,040元/平"
博古庄小区 3室1厅 南,博古庄小区 -南池区,3室1厅 | 95平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 23天以前发布,89,"9,369元/平"
长泰百合花园 3室2厅 南,长泰百合花园 -西城区,3室2厅 | 116.26平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 28天以前发布,128,"11,010元/平"
金街雅居 2室1厅 南,金街雅居 -西城区,2室1厅 | 86平米 | 南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 31天以前发布,100,"11,628元/平"
房东诚心出售，精装修 楼层好 视野宽阔 ，产权清晰,冠鲁明德花园 -北湖区,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 28天以前发布,120,"9,023元/平"
金色兰庭香堤 3室2厅 南,金色兰庭香堤 -济北区,3室2厅 | 137平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 25天以前发布,118,"8,614元/平"
佳合世纪阳光三室两厅精装未住带车位,佳合世纪阳光 -邹城市,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 21天以前发布,125,"10,246元/平"
急售仙北 三室 好楼层 证满五年 带储藏室 位置好,仙北小区 -济北区,3室1厅 | 71.91平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,83,"11,543元/平"
西岸华府 3室2厅 南 北,西岸华府 -西城区,3室2厅 | 123平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 27天以前发布,93,"7,561元/平"
杨柳国际新城G区 2室2厅 南,杨柳国际新城G区 -济北区,2室2厅 | 81.61平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,63,"7,720元/平"
南池春晓 3室2厅 南,南池春晓 -南池区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 23天以前发布,108,"10,694元/平"
开泰花园 3室2厅 南 北,开泰花园 -西城区,3室2厅 | 94.36平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,78,"8,267元/平"
精致二室时尚的装修风格婚房优选,九巨龙·华欣苑 -南池区,2室2厅 | 86平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,79,"9,187元/平"
中垠悦城 2室1厅 南,中垠悦城 -高新区,2室1厅 | 99.62平米 | 南 | 毛坯 | 高楼层(共21层)  | 平房,0人关注 / 27天以前发布,75,"7,529元/平"
城投锦园 2室2厅 南,城投锦园 -高新区,2室2厅 | 115平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 27天以前发布,100,"8,696元/平"
诚售 荷花佳苑 电梯房 精装修 诚心出售 看房方便,荷花佳苑(任城区) -南池区,2室2厅 | 92.22平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 24天以前发布,78,"8,459元/平"
满二唯一   配套齐全    交通便利    诚意出售,如意樱花苑 -万达区,2室1厅 | 47.57平米 | 南 | 简装 | 5层  | 板楼,1人关注 / 5个月以前发布,40,"8,409元/平"
颂运水庭A区 1室1厅 南 北,颂运水庭A区 -北湖区,1室1厅 | 73.41平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 11天以前发布,49,"6,675元/平"
鴻顺·運河新城 3室1厅 南,鴻顺·運河新城 -西城区,3室1厅 | 100平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 9天以前发布,82,"8,200元/平"
孝养城 中国院子 带车位 随时看房 东门十五中,济宁孝养城 -南池区,3室2厅 | 103.2平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,95,"9,206元/平"
三室朝阳的经典户型，没有公摊，实际面积大,财政局宿舍 -济北区,3室2厅 | 100平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,20人关注 / 一年前发布,120,"12,000元/平"
