标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
火车站 汽修二厂 2室一厅 朝南 明厨明卫 采光好,晟地嘉苑小区 -火车站,2室1厅 | 59平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,7人关注 / 4个月以前发布,50.3,"8,526元/平"
框架结构的房子 南北通透 正规的两室两厅 采光好,兰宁小区 -兰大盘旋路,2室2厅 | 112.48平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 7个月以前发布,145,"12,892元/平"
七里河 建工局  83平米 2室2厅 南北通透 78万出售,梁家庄 -建工局,2室1厅 | 83.08平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,8人关注 / 6个月以前发布,72,"8,667元/平"
市政工程管理处 框架 两室 朝南  采光好,兰州市政工程管理处家属院(南昌路) -兰大盘旋路,2室2厅 | 53.52平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,97.5,"18,218元/平"
房子是2室看房方便在2楼户型挺好的位置也好,南河新村小区 -兰大盘旋路,2室1厅 | 47.85平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,48,"10,032元/平"
南北通透 大阳台 采光好 视野开阔 小区环境优美,二热家园（一区） -二热,2室1厅 | 46.02平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,49.8,"10,822元/平"
福缘雅苑（五福巷） 2室1厅 南 北,福缘雅苑（五福巷） -西关南关,2室1厅 | 52平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,11人关注 / 一年前发布,72,"13,847元/平"
火车站 框架3楼 精装修  停车免费,红山根东路车辆家属院 -火车站,2室1厅 | 50平米 | 南 西 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,68,"13,600元/平"
海亮精美两室  楼层好 河景房 精装修,濱河壹号 -莫高大道,2室2厅 | 81.36平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 4个月以前发布,99.9,"12,279元/平"
铁路局达祥小区 结婚精装2室1厅 带家具家电诚售可按揭,达祥苑小区 -火车站,2室1厅 | 61.81平米 | 东 西 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,62,"10,031元/平"
南河道 新科时代，两室电梯房 朝南 产权清晰 急售,新科时代 -雁滩高新区,2室2厅 | 95.12平米 | 南 西 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,103.7,"10,903元/平"
中间楼层，有院子可停车，生活就医交通方便，产权房,甘肃省中医学院附属医院家属院 -东部,2室1厅 | 55.08平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 10个月以前发布,53,"9,623元/平"
省政府酒泉路 金塔巷 19 框架小区环境好闹中取静,二中家属院 -西关南关,2室1厅 | 56.3平米 | 西 | 精装 | 高楼层(共10层)  | 板塔结合,3人关注 / 7个月以前发布,63.5,"11,279元/平"
地铁口 西关十字 清真寺旁 小户型 电梯房中层,中广都市丽景 -西关南关,1室1厅 | 46.87平米 | 北 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,69.5,"14,829元/平"
西站 西客站旁 明珠家园 东南户型 采光无遮挡 可按揭,明珠家园 -仁恒美林郡,2室1厅 | 93.71平米 | 东南 | 简装 | 中楼层(共26层)  | 板楼,5人关注 / 5个月以前发布,125,"13,340元/平"
定西路，优质小区，两室电梯小高层，环境优美,八冶家园北区 -兰大盘旋路,2室1厅 | 57.55平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,10人关注 / 6个月以前发布,74,"12,859元/平"
南北通透中间楼层 框架房 有钥匙随时看,甘肃省农业大厦家属院 -东部,2室1厅 | 71.32平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,82,"11,498元/平"
地铁口  经典全朝南两室，采光充足  低单价,中集幸福里 -莫高大道,2室2厅 | 96.52平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,99,"10,257元/平"
交通便利，一室一厅，采光比较好,林业厅家属院（甘南路） -东方红广场,1室1厅 | 38.55平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,53,"13,749元/平"
城关区段家滩路 欣欣茗园 一室一厅 电梯小高层 公摊小,欣欣茗园 -段家滩,1室1厅 | 53.4平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,17人关注 / 6个月以前发布,73,"13,671元/平"
房子交通便利，户型方正采光无遮挡南北朝向,开发小区（天水南路） -火车站,2室1厅 | 44平米 | 南 西 北 | 精装 | 中楼层(共5层)  | 板塔结合,5人关注 / 3个月以前发布,49,"11,137元/平"
黄河丽景苑好房出售，价格便宜看房方便,黄河丽景苑一期 -黄河北,2室2厅 | 66.38平米 | 北 | 简装 | 低楼层(共6层)  | 暂无数据,35人关注 / 10个月以前发布,50,"7,533元/平"
莱茵小镇 一室一厅 朝南户型 采光挺好的,天庆莱茵小镇 -北面滩,1室1厅 | 62.95平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,1人关注 / 2个月以前发布,78,"12,391元/平"
紧凑小户型  中上装修  拎包入住  价格可谈,佳裕小区西区 -东部,2室1厅 | 61.77平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,56,"9,066元/平"
东部二热十字省邮政家属院绿化好两室看房方便,甘肃省邮政局家属院 -二热,2室1厅 | 79平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,62,"7,849元/平"
地铁口，金水湾2室2厅113平，*大客厅毛坯房出售。,众邦金水湾1号院 -海关,2室2厅 | 111.79平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,17人关注 / 一年前发布,106,"9,483元/平"
盘旋路兰海商贸城隔壁 电梯小高层配套成熟 产权清晰,兰州市三十三中家属楼 -兰大盘旋路,2室1厅 | 71平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,176,"24,789元/平"
机车厂四区 产权房 可按揭 看房方便 急售,机车厂四区 -晏家坪,2室1厅 | 43.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,46.5,"10,767元/平"
大润发2室 2楼 小户型 80万 可按揭 有钥匙,宁安小区 -万达大润发,2室1厅 | 70.84平米 | 东 西 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,67,"9,458元/平"
卫生厅中间楼层二室一厅南北通透,卫生厅（南/北） -西关南关,2室1厅 | 51平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,115,"22,550元/平"
好房急售，金港城金宝花园正规两室一厅,金港城（金宝花园） -金港城,2室1厅 | 59.07平米 | 南 北 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,62,"10,497元/平"
雁滩  基业豪庭  小高层  小户型房源,基业豪庭 -雁滩高新区,2室2厅 | 85.39平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,10人关注 / 一年前发布,95,"11,126元/平"
此房满五唯一   南北通透  中间楼层  小区环境好,省水电勘测设计院家属院 -东部,2室1厅 | 56.96平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 10个月以前发布,47,"8,252元/平"
满五唯一  中间楼层  精装修 业主诚心出售,万国港 -东部,2室2厅 | 91.94平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,4人关注 / 5个月以前发布,115,"12,509元/平"
二热 康复中心家属院 两室一厅 南北通透 框架 可按揭,康复中心家属院 -东部,2室1厅 | 63平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,65,"10,318元/平"
安乐村小学家属院 2室2厅 东 西,安乐村小学家属院 -大沙坪,2室2厅 | 71.4平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"7,003元/平"
万达旁 恒大名都 两室 精装 交通便利,恒大名都 -秀川,2室2厅 | 98.67平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 10个月以前发布,109,"11,047元/平"
正规南北通透户型 配套齐全采光很好,惠苑小区（西津西路） -郑家庄,2室2厅 | 75.54平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,64,"8,473元/平"
雁滩金雁花园 两室两厅H户型 通透格局有小区可停车,金雁花园 -万达大润发,2室1厅 | 98.58平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 8个月以前发布,87.8,"8,907元/平"
业主急售，户型正规无浪费，小区院子大，停车方便。,煤炭局家属院 -兰大盘旋路,2室1厅 | 60.91平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,92,"15,105元/平"
大润发 正规两房 户型方正 产权清晰 可按揭,宁安小区 -万达大润发,2室2厅 | 93.22平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,11人关注 / 一年前发布,75,"8,046元/平"
医院近  商圈配套齐全  低楼层,兰州财经大学家属院东区 -段家滩,2室1厅 | 52.92平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,53,"10,016元/平"
可以停车的小区 框架楼 南北朝向 可按揭,新乐住宅小区 -火车站,2室2厅 | 53平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,83,"15,661元/平"
盘旋路 省图书馆 南河科中 产权清晰可按揭,省图书馆家属院（读者大道） -兰大盘旋路,2室1厅 | 50.7平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,7人关注 / 一年前发布,52,"10,257元/平"
正规两室一厅公摊 小 房子采光好单价低 随时看房,金港城（金海花园） -金港城,2室1厅 | 73.09平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,64,"8,757元/平"
七里河地铁口单位缩水房 地铁口  交通便利,西北中学家属院 -建工局,2室1厅 | 78.65平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 8个月以前发布,88,"11,189元/平"
新港城A区南北通透中间楼层看房有钥匙,新港城 -北面滩,2室2厅 | 91.89平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,126,"13,713元/平"
新港城A区三楼 94平米 137万价格低于市场  可按揭,新港城 -北面滩,2室2厅 | 93.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,103,"10,968元/平"
张掖路菜市场  静宁路 雅顺小区  两室一厅 产权按揭,雅顺小区（静宁路） -西关南关,2室1厅 | 69.7平米 | 东 西 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 6个月以前发布,83,"11,909元/平"
地铁二号线 框架房 装修好 南北通透 4楼带家具出售,晟地嘉苑小区 -火车站,2室1厅 | 79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 9个月以前发布,66,"8,355元/平"
新上房源！南北通透精装两室，落地窗，采光无遮挡,中海凯旋门 -海关,2室2厅 | 90.94平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,128,"14,076元/平"
东方红广场  电梯新房   全朝南 停车方便 中盐大厦,中盐大厦 -东方红广场,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,6人关注 / 9个月以前发布,220,"24,445元/平"
看房方便，广场楼梯房，配套齐全，简单装修,耿家庄社区 -东方红广场,2室1厅 | 68.62平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,13人关注 / 一年前发布,81,"11,805元/平"
优质好房出售、楼层适中、装修好、业主诚心出售、,蘭駝小區 -晏家坪,2室1厅 | 89.2平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 5个月以前发布,73,"8,184元/平"
兴隆滨河苑两室朝南精装修可拎包入住视野开阔,兴隆滨河苑 -北面滩,2室2厅 | 89.46平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,9人关注 / 一年前发布,117,"13,079元/平"
金川聚金雅苑房子户型方正.楼层高.视野好,金川•聚金雅园 -北面滩,2室2厅 | 95.33平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,10人关注 / 5个月以前发布,106.5,"11,172元/平"
可以停车的小区 框架楼 南北朝向 可按揭,新乐住宅小区 -火车站,2室2厅 | 53平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,83,"15,661元/平"
张掖路菜市场  静宁路 雅顺小区  两室一厅 产权按揭,雅顺小区（静宁路） -西关南关,2室1厅 | 69.7平米 | 东 西 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 6个月以前发布,83,"11,909元/平"
新港城A区三楼 94平米 137万价格低于市场  可按揭,新港城 -北面滩,2室2厅 | 93.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,103,"10,968元/平"
盘旋路 省图书馆 南河科中 产权清晰可按揭,省图书馆家属院（读者大道） -兰大盘旋路,2室1厅 | 50.7平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,7人关注 / 一年前发布,52,"10,257元/平"
新港城A区南北通透中间楼层看房有钥匙,新港城 -北面滩,2室2厅 | 91.89平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,126,"13,713元/平"
正规两室一厅公摊 小 房子采光好单价低 随时看房,金港城（金海花园） -金港城,2室1厅 | 73.09平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,64,"8,757元/平"
新上房源！南北通透精装两室，落地窗，采光无遮挡,中海凯旋门 -海关,2室2厅 | 90.94平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,128,"14,076元/平"
七里河地铁口单位缩水房 地铁口  交通便利,西北中学家属院 -建工局,2室1厅 | 78.65平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 8个月以前发布,88,"11,189元/平"
万达大润发商圈，纯朝南，采光好，户型方正，,省政协家属院（雁南路） -万达大润发,2室1厅 | 63.83平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,70,"10,967元/平"
：位于大学城南边位置，旁边有多所大学,文曲湖景园住宅小区 -兰州新区,3室2厅 | 103平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 22天以前发布,50.5,"4,903元/平"
中集前排河景，高楼层，精装修，视野开阔,中集幸福里 -莫高大道,3室2厅 | 147.78平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,8人关注 / 11个月以前发布,178,"12,045元/平"
房子楼层好，看房方便 位于海关地铁口,中海凯旋门 -海关,2室2厅 | 93.5平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,112,"11,979元/平"
户型方正  南北通透  精装修,滨河花园 -吴家园,2室2厅 | 104.1平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,111,"10,663元/平"
盘旋路 中科院地质局 南北通透 3室,中科院地质局家属院 -兰大盘旋路,3室2厅 | 101.54平米 | 北 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,168,"16,546元/平"
万达      大润发 商圈  品质居住生活,欣月湖 -万达大润发,3室1厅 | 143.43平米 | 东 北 | 简装 | 高楼层(共18层)  | 板楼,7人关注 / 5个月以前发布,198,"13,805元/平"
万达大润发商圈，正规三室，采光好,金雁花园 -万达大润发,3室2厅 | 125.54平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,19人关注 / 5个月以前发布,117,"9,320元/平"
雁滩 大润发 户型方正 采光好,金雁花园 -万达大润发,2室2厅 | 98.58平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,11人关注 / 10个月以前发布,97,"9,840元/平"
河山郡前排河景房  精美小三室 楼层好 采光无任何遮挡,中海·河山郡 -莫高大道,3室2厅 | 94.59平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,110,"11,630元/平"
交大 学府美院  三室一厅 产权明晰  可按揭,学府美苑 -费家营,3室1厅 | 88.42平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,117,"13,233元/平"
大润发科技小区  正规三室  采光好  视野开阔,科技小区 -万达大润发,3室2厅 | 135.13平米 | 东 西 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,110,"8,141元/平"
辰北花园 三室两厅 南北通透  精装修 采光好,辰北花园 -北面滩,3室2厅 | 136.46平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,160,"11,726元/平"
广电小区三室两厅电梯高层，南北方向,甘肃省广电局家属院 -兰大盘旋路,3室2厅 | 96.73平米 | 南 北 | 简装 | 高楼层(共16层)  | 塔楼,8人关注 / 一年前发布,186,"19,229元/平"
盘旋路 渭源路 南北通透  框架 三居 户型好 可贷款,中科院兰州分院科苑三区 -兰大盘旋路,3室2厅 | 111.66平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,3人关注 / 10个月以前发布,216,"19,345元/平"
凯旋门 海关地铁口 精装三室 中高楼层 看房方便,中海凯旋门 -海关,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,12人关注 / 8个月以前发布,140,"14,000元/平"
