标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
泰丰悦熙台 三室两卫 毛坯现房 可贷款,泰丰·悦熙台 -经济技术开发区,3室1厅 | 134平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,2人关注 / 3个月以前发布,110,"8,209元/平"
（学府家园(科尔沁区)3-1-1-1 125.00m² 65 万）,学府家园(科尔沁区) -经济技术开发区,3室1厅 | 125平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,65,"5,200元/平"
西湖名都3-2-1-2 141.00m² 85 万）,西湖名都 -经济技术开发区,3室2厅 | 141平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,82,"5,816元/平"
中国铁建别墅183.09平加20平面积带20平院子可贷款,中国铁建·国际城 -经济技术开发区,4室2厅 | 203.99平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,6人关注 / 7个月以前发布,128.5,"6,300元/平"
电梯4楼 新装修 3室2卫 格局 价格优美,军分区小区 -老城区,3室2厅 | 157平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,79.5,"5,064元/平"
房间宽敞明亮，，环境好，配套设施齐全，生活便利,嘉和汇景湾A区 -河西,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,10人关注 / 一年前发布,81,"6,137元/平"
楼层好，采光充足，配套设施齐全，视野宽阔，出行方便,碧桂园·御珑湾南区 -经济技术开发区,3室2厅 | 170平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,100,"5,883元/平"
业主诚心出售，小区环境好，位置好，视野开阔,五中嘉园 -老城区,3室1厅 | 116.79平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73,"6,251元/平"
碧桂园洋房  中层  大平层 好户型,通辽碧桂园 -经济技术开发区,4室2厅 | 199平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,120,"6,031元/平"
碧桂园别墅 院子大 格局好 可贷款,通辽碧桂园 -经济技术开发区,4室3厅 | 253平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,226,"8,933元/平"
水域蓝湾步梯3楼3室2厅2卫带仓房带车诚心出售,水域蓝湾A区B区 -经济技术开发区,3室2厅 | 141.24平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,100,"7,081元/平"
中信亚龙湾电梯16楼三室一卫蒙幼看房方便,中信亚龙湾 -经济技术开发区,3室1厅 | 118.33平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,3人关注 / 10个月以前发布,83,"7,015元/平"
视野开阔 ，交通便利，出行方便，全天采光,凯旋城 -经济技术开发区,3室1厅 | 170平米 | 南 | 其他 | 低楼层(共14层)  | 暂无数据,2人关注 / 一年前发布,128,"7,530元/平"
碧桂园别墅 院子大 格局好 可贷款,通辽碧桂园 -经济技术开发区,6室2厅 | 350平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 一年前发布,290,"8,286元/平"
电梯6楼 电梯3室2卫 简单装修房房证满2年,万华上都 -铁南,3室1厅 | 132.38平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,81,"6,119元/平"
河畔花园D区 4室3厅 南 北,河畔花园D区 -经济技术开发区,4室3厅 | 200平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,2人关注 / 5个月以前发布,120,"6,000元/平"
通辽碧桂园 3室1厅 南,通辽碧桂园 -经济技术开发区,3室1厅 | 136平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,91,"6,692元/平"
市交通局家属楼3-2-1-2 114.70m² 57 万,市交通局家属楼 -老城区,3室2厅 | 114.7平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58,"5,057元/平"
中国铁建·国际城 3室2厅 南,中国铁建·国际城 -经济技术开发区,3室2厅 | 124.11平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,9人关注 / 一年前发布,68,"5,480元/平"
民大住宅园区 小三居室 不把山不临街 房证满二,民大住宅园区 -老城区,2室1厅 | 87平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,53,"6,092元/平"
红星新城   步梯楼    公摊下    房证过二,泽信·红星新城 -老城区,2室2厅 | 102.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,57,"5,544元/平"
宏源家园 全新小区 毛坯现房 三室两卫 格局方正,宏源家园 -经济技术开发区,3室1厅 | 145平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,95,"6,552元/平"
配套设施齐全，视野开阔交通便利，出行方便,富景华城 -铁南,3室1厅 | 56.66平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 8个月以前发布,65,"11,472元/平"
成熟小区  交通便利  出行方便,碧桂园·上河郡 -经济技术开发区,4室1厅 | 147.96平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,90,"6,083元/平"
成熟小区  交通便利  出行方便,中国铁建·国际城 -经济技术开发区,3室1厅 | 136平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,83,"6,103元/平"
德润园 红军肆中旁 四室两卫 带车位,德润园 -经济技术开发区,4室2厅 | 170平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,125,"7,353元/平"
龙兴世纪城三居室精装修正南正北,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,92.8,"6,490元/平"
碧桂园空中别墅 使用面积大 南北通透 房证过五,通辽碧桂园 -经济技术开发区,4室2厅 | 186平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,70,"3,764元/平"
河畔花园B区阁楼，实用面积大，看房方便，南北通透,河畔花园B区 -经济技术开发区,3室1厅 | 71平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,45,"6,339元/平"
楼层好，采光充足，适合小两口居住和出租.,璟苑B区 -经济技术开发区,3室1厅 | 105平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,59.5,"5,667元/平"
水域蓝湾b区6拖7楼房证153平66万出售,水域蓝湾A区B区 -经济技术开发区,4室2厅 | 153平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,66,"4,314元/平"
德润园 大平层 四室两卫加保姆间  带车位,德润园 -经济技术开发区,5室2厅 | 226平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,175,"7,744元/平"
德润园 红军肆中旁 大平层 三室两卫 带车位,德润园 -经济技术开发区,3室1厅 | 153.18平米 | 南 | 其他 | 高楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,95,"6,202元/平"
沈铁 步梯底层 飞机三居室 拎包入住 看房方便,河畔花园D区 -经济技术开发区,3室2厅 | 118.51平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,76,"6,413元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,泽信·旭园 -经济技术开发区,3室2厅 | 143平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,82,"5,735元/平"
京汉天玺 3室1厅 南,京汉天玺 -经济技术开发区,3室1厅 | 145平米 | 南 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 4个月以前发布,87.5,"6,035元/平"
德润园 大平层 三室两卫 毛坯 带车位,德润园 -经济技术开发区,3室2厅 | 153平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 3个月以前发布,116,"7,582元/平"
碧桂园钻石郡别墅 尊贵的象征 高档的享受,通辽碧桂园 -经济技术开发区,5室3厅 | 529平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,600,"11,343元/平"
凯旋城洋房 高举架 看房有钥匙,凯旋城 -经济技术开发区,3室1厅 | 136平米 | 南 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,106,"7,795元/平"
盛世银座2楼南北通透  飞机户型拎包入住,盛世银座 -老城区,3室1厅 | 124平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 一年前发布,85,"6,855元/平"
皇苑水乡 5室2厅 南,皇苑水乡 -经济技术开发区,5室2厅 | 300平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 6个月以前发布,390,"13,000元/平"
富田花园 复式格局  南北通透 三室两卫户型 看房随时,闫家村富田花园 -经济技术开发区,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,69.5,"4,728元/平"
富田花园 电梯洋房 视野开阔   毛坯随意装修,闫家村富田花园 -经济技术开发区,3室1厅 | 121平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,71,"5,868元/平"
碧桂园 上河郡 4室2卫 户型合理 采光充足,碧桂园·上河郡 -经济技术开发区,4室2厅 | 148平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,86,"5,811元/平"
东方小区3楼145平85万简单装修三室,东方小区 -老城区,3室2厅 | 145平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,85,"5,863元/平"
平安南区高层 好楼层   飞机户型  6400每平,南区高层 -老城区,3室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,86,"6,014元/平"
业主诚心出售小区环境好位置好视野开阔业主诚心出售,天赐良园 -老城区,3室1厅 | 124.85平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,83,"6,648元/平"
步梯3楼 楼层好 价格合理 看房有钥匙,天福家园北区 -老城区,2室1厅 | 74.8平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,56,"7,487元/平"
东方小区.2楼 82平 诚心出售,东方小区 -老城区,3室1厅 | 82.21平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,54,"6,569元/平"
德润园 153平户型 三室两卫 楼层好视野好 采光充足,德润园 -经济技术开发区,3室1厅 | 153平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,99,"6,471元/平"
辽河一号院 三室两卫 首付10万左右 房证两年,辽河一号院 -经济技术开发区,3室1厅 | 123平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,58.5,"4,757元/平"
5000多一平方，就是便宜，交齐首付立刻拿钥匙,学府家园(科尔沁区) -经济技术开发区,3室2厅 | 114平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,58,"5,088元/平"
诚心出售 格局方正 户型合理 阳光充足,合硕悦府 -老城区,3室1厅 | 125平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,66,"5,280元/平"
德润园 153平户型 三室两卫 楼层好视野好 采光充足,德润园 -经济技术开发区,3室1厅 | 153平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,99,"6,471元/平"
5000多一平方，就是便宜，交齐首付立刻拿钥匙,学府家园(科尔沁区) -经济技术开发区,3室2厅 | 114平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,58,"5,088元/平"
东方世纪城电梯房，毛坯随意装修，看房子有钥匙。,东方世纪城 -老城区,3室1厅 | 123平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,76,"6,179元/平"
京汉六期电梯7楼147.34平 84万 看房随时,京汉叫来河畔 -经济技术开发区,3室2厅 | 147.34平米 | 南 | 其他 | 低楼层(共23层)  | 暂无数据,3人关注 / 6个月以前发布,84,"5,702元/平"
诚达物业 高档小区 大平层  毛坯  诚心出售,诚达龙庭国际B区 -老城区,4室2厅 | 275平米 | 南 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,180,"6,546元/平"
新校区  电梯  飞机户型  采光好 视野好,碧桂园·上河郡 -经济技术开发区,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,77,"6,063元/平"
诚达·龙庭国际 5室2厅 南,诚达·龙庭国际 -老城区,5室2厅 | 154平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,268,"17,403元/平"
中信亚龙湾 3室1厅 南 北,中信亚龙湾 -经济技术开发区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,82,"6,308元/平"
三室两厅两卫，婚房装修，可随时入住,璟苑B区 -经济技术开发区,3室2厅 | 124.6平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,73.8,"5,923元/平"
京汉8期.电梯9楼.三室两卫户型.毛坯...,京汉馨家 -经济技术开发区,3室1厅 | 141平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,105,"7,447元/平"
成熟小区  交通便利  出行方便,京汉叫来河畔 -经济技术开发区,3室1厅 | 140平米 | 南 北 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,85,"6,072元/平"
碧桂园5楼 三室两卫 简单装修 拎包入住  可贷款,通辽碧桂园 -经济技术开发区,3室1厅 | 128平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,73,"5,704元/平"
此房为毛坯房 有房证可贷款 业主诚心出售,通辽碧桂园 -经济技术开发区,3室1厅 | 115平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼,0人关注 / 3个月以前发布,88,"7,653元/平"
凯旋城196.00m² 125 万可贷款.,凯旋城 -经济技术开发区,3室2厅 | 196平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,10人关注 / 一年前发布,116,"5,919元/平"
东顺小区院里，2008年建房3室，带仓房出售,环保局家属楼 -老城区,3室1厅 | 106.27平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,63,"5,929元/平"
西拉木伦旁边 步梯楼 三居通透格局 中等装修拎包入住,明珠花园 -老城区,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,57,"5,090元/平"
电梯10楼 170平 3室格局 支持贷款 看房有钥匙,东方盛世 -老城区,4室1厅 | 170平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,108,"6,353元/平"
楼层好，采光充足，配套设施齐全，视野宽阔 看房提前,中信亚龙湾 -经济技术开发区,3室1厅 | 130平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,85,"6,539元/平"
河畔花园B区 3室2厅 南,河畔花园B区 -经济技术开发区,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,75,"6,000元/平"
桥北一.流的存在，花园洋房，高举架，尊享奢华,泰丰·悦熙台 -经济技术开发区,3室1厅 | 135平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,107,"7,926元/平"
小区环境不错，视野开阔，成熟社区，交通便利，,长鸿楼 -老城区,3室1厅 | 76.91平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,35,"4,551元/平"
五七中北侧 南北通透 地热 使用面积足 首付低 格局好,馨园小区 -老城区,2室1厅 | 73平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,28,"3,836元/平"
金地新郦城 两室一厅 步梯四楼 有房证 可贷款,金地新郦城 -经济技术开发区,2室1厅 | 86.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,54,"6,250元/平"
万达华府 电梯25楼 精装修 南北通透两室,万达华府 -老城区,2室1厅 | 89平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 27天以前发布,61,"6,854元/平"
视野开阔交通便利出行方便 房证满五 可贷款,泽信·百花新城牡丹园 -老城区,3室2厅 | 103.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,69,"6,690元/平"
配套设施齐，视野开阔交通便利，出行方便 满五 唯一,平安家园 -老城区,2室1厅 | 66平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,41,"6,213元/平"
两室  一厅  一厨  一卫 南北通透,状元府 -经济技术开发区,2室1厅 | 92.37平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53,"5,738元/平"
飞机户型 3室2卫 拎包入住 楼层好,泽信梓园 -经济技术开发区,3室1厅 | 125.92平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,164,"13,025元/平"
