标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
印象。中心城 3室2厅 南 北,印象。中心城 -桥东区,3室2厅 | 103.78平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 塔楼,1人关注 / 2个月以前发布,80,"7,709元/平"
房主急售，精装标准大两居，社区环境好，人车风流，,丰泰风光苑 -桥东区,2室2厅 | 118.98平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,88,"7,397元/平"
经开区金鹰花园 两居电梯好楼层 有18平米地下室纬一路,金鹰花园(胜利中路) -桥东区,2室1厅 | 87.22平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,75,"8,599元/平"
桥东区工业街金穗家园精装两居出售,金穗家园 -桥东区,2室2厅 | 93.55平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"7,269元/平"
视野开阔，采光充足，公摊小，短进深大面宽,上东红郡 -桥东区,2室1厅 | 113平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 板楼,1人关注 / 1个月以前发布,83,"7,346元/平"
南北通透，楼层好，采光充足，适合老人居住,枫墅小镇 -桥西区,2室2厅 | 82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,70,"8,537元/平"
业主诚心出售，满五唯一，过户费用低，小区环境优美。,京润现代城6号院 -桥东区,2室2厅 | 94.1平米 | 南 | 简装 | 高楼层(共22层)  | 板楼,1人关注 / 2个月以前发布,73,"7,758元/平"
京都花园小区，房本满五，边户毛坯房。,京都花园 -桥东区,2室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,3人关注 / 8个月以前发布,62,"6,392元/平"
天河桐盛电梯好楼层 毛坯随意装修,天河桐盛 -桥西区,2室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共15层)  | 塔楼,0人关注 / 9个月以前发布,69,"6,161元/平"
枫墅小镇，高薪区有本可贷款，客卧朝阳格局好，,枫墅小镇 -桥西区,2室2厅 | 92.07平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,70,"7,603元/平"
房本在手  随时过户 客卧朝阳 满五唯一,悦澜湾 -桥东区,3室2厅 | 128平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,119,"9,297元/平"
好小区，好位置，好楼层，环境好,金鹰花园(胜利中路) -桥东区,3室2厅 | 119.63平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 8个月以前发布,108,"9,028元/平"
岸尚清城北区，板楼低楼层，房本满五，诚心出售,岸尚清城北区 -桥西区,2室2厅 | 105.3平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,75,"7,123元/平"
纬三路凤凰城南北向精装修三居客卧朝阳有本可贷款过户,凤凰城 -桥东区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,26人关注 / 5个月以前发布,87,"8,131元/平"
楼层采光好，交通便利，户型设计合理，,盛华家园小区 -桥东区,2室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,11人关注 / 一年前发布,65,"6,250元/平"
钟楼大街19号院 2室2厅 南 北,钟楼大街19号院 -宣化区,2室2厅 | 64.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,33.4,"5,191元/平"
板楼好楼层户型方正，业主自住诚意出售看房方便,宏昌馨园小区 -桥东区,3室1厅 | 93平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,66,"7,097元/平"
红旗楼商圈位置优越 精装修 采光好 一楼带花园,新東亚·城市花园 -桥东区,2室2厅 | 90.48平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 28天以前发布,65,"7,184元/平"
楼层好，户型好，采光好，户型方正,陵园路东街社区 -桥东区,2室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,42,"4,200元/平"
朝南 ，楼间距宽，无遮挡视野好,鑫鼎银河湾 -桥西区,2室1厅 | 88.95平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,67.5,"7,589元/平"
天保新城，两室一厅，毛坯房，，，，，，，，，，,天保新城东区 -张北县,2室1厅 | 87平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,45,"5,173元/平"
...............,北京新城 -张北县,2室1厅 | 72平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 23天以前发布,36,"5,000元/平"
房东急售三室两厅两卫明厅明卧南北通透 单价7000左右,前屯新天地小区 -桥东区,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共15层)  | 板楼,0人关注 / 20天以前发布,96,"7,385元/平"
房子户型方正，充分利用空间，采光充盈.公摊小,土尔沟小区 -桥东区,2室1厅 | 54平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,32,"5,926元/平"
玉都苑四大块户型两居室，户型好，朝向好,玉都苑 -沙城,2室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,60,"5,715元/平"
经开区，上市房企，户型方正，看房方便,京北融创城 -桥东区,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,89,"7,120元/平"
瑞麟轩 单价8800 精装修 随时可签,瑞麟轩 -桥东区,3室2厅 | 124.69平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,30人关注 / 一年前发布,91,"7,299元/平"
楼层好，三向阳户型，精装修，拎包入住。,瑞麟轩 -桥东区,3室2厅 | 137平米 | 北 南 | 其他 | 中楼层(共7层)  | 板塔结合,5人关注 / 10个月以前发布,108,"7,884元/平"
北新村 南北通透 3居室 河景房 精装,嘉苑郦景 -桥西区,3室2厅 | 135.16平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,2人关注 / 2个月以前发布,88,"6,511元/平"
缙骅苑，低楼层房本满五，双阳卧，蒙古营,缙骅苑 -桥西区,3室2厅 | 110平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,100,"9,091元/平"
缙骅苑 3室2厅 南 北,缙骅苑 -桥西区,3室2厅 | 122平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,15人关注 / 8个月以前发布,95,"7,787元/平"
此房楼层好，三向阳户型，视野宽阔，不挡光,二五一医院北院家属区 -桥东区,3室1厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 暂无数据,25人关注 / 5个月以前发布,76,"6,032元/平"
京润现代城 3室2厅 南 北,京润现代城 -桥东区,3室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 3个月以前发布,75,"7,979元/平"
时代广场东区地理位置优越，采光充足，出行方便,时代广场东区 -桥东区,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,93,"6,889元/平"
维多利亚洋房 公摊小 毛坯房随意装修大三居 全款改名,新五一广场2区 -桥东区,3室2厅 | 138.22平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,105,"7,597元/平"
此房楼层好 采光无遮挡 商圈成熟 交通出行方便,九鼎京华苑 -桥东区,3室2厅 | 122.63平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,85,"6,932元/平"
此房客卧朝阳南北通透，八带九复式楼，采光充足视线好,御景天下 -张北县,3室1厅 | 115.2平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,59.5,"5,165元/平"
精装3居全新装修没有住过南北通透位置好门口有公交站,悦澜湾 -桥东区,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,2人关注 / 11个月以前发布,120,"9,757元/平"
佳境天城 2室1厅 南,佳境天城 -桥东区,2室1厅 | 93平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,61.5,"6,613元/平"
缙骅苑 3室2厅 南 北,缙骅苑 -桥西区,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,14人关注 / 7个月以前发布,82,"8,368元/平"
地理位置好，楼层好，视野宽阔，采光充足，户型合理,天缘小区 -桥西区,3室2厅 | 108.5平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,83,"7,650元/平"
此房明厅明卧，采光好，户型方正，业主诚意出售,京北融创城 -桥东区,3室1厅 | 126平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,0人关注 / 10个月以前发布,95,"7,540元/平"
市民广场旁136平米南北通透带平台精装修100万,前屯新天地小区 -桥东区,2室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,6人关注 / 3个月以前发布,99,"7,280元/平"
红旗楼商圈，4居精装修，好楼层，小区好位置,张垣新城 -桥东区,4室2厅 | 170平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,7人关注 / 7个月以前发布,142.8,"8,400元/平"
纬二路世纪豪园三向阳南北通透  产权清晰,世纪豪园 -桥东区,3室2厅 | 115平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,87,"7,566元/平"
此房满五 楼层采光好 利用面积大 双卧向阳 出入方便,缙骅苑 -桥西区,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,110,"9,167元/平"
瑞麟轩客卧向阳户型，南北通透，出行方便,瑞麟轩 -桥东区,2室2厅 | 108.1平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,6人关注 / 一年前发布,75,"6,939元/平"
此房格局好，楼层好，布局合理，,奥林星城五期 -桥东区,3室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,77,"8,192元/平"
南北通透三向阳户型，大客厅朝南大卧室朝南,岭秀城（嶺秀城） -桥西区,4室2厅 | 189平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,150,"7,937元/平"
东麓苑 3室2厅 北 南,东麓苑 -桥东区,3室2厅 | 114平米 | 北 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,51,"4,474元/平"
明厅明卧三居室 小区交通便利 房东诚心出售,盛华家园小区 -桥东区,3室2厅 | 154平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 暂无数据,7人关注 / 11个月以前发布,99,"6,429元/平"
建院附-近  文华苑 人车分流小区 精装修3居室 可贷款,文华苑 -桥东区,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,105,"8,400元/平"
纬一路 市政府三居 视野宽广 地段优质 双阳卧,创业街3号院 -桥东区,3室1厅 | 100.79平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,57,"5,656元/平"
鵬跃龍城 3室2厅 南 北,鵬跃龍城 -桥东区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,108,"8,438元/平"
市政府三阳开泰 南北通透户型 简单装修 看房方便,燎原一品 -桥东区,3室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共12层)  | 板塔结合,11人关注 / 4个月以前发布,102,"7,339元/平"
此房满五唯一，全款贷款均可，户型为一梯两户,时代广场东区 -桥东区,3室2厅 | 123.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,93,"7,519元/平"
：此房位于高新区 生活配套成熟 交通便利,钻石花园 -桥东区,2室1厅 | 115平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 7个月以前发布,78,"6,783元/平"
盛和日月华庭 2室1厅 南,盛和日月华庭 -桥西区,2室1厅 | 90.12平米 | 南 | 其他 | 高楼层(共19层)  | 板楼,8人关注 / 5个月以前发布,58,"6,436元/平"
龙山水郡 精装修三居 电梯好楼层带全屋家俱家电,龙山水郡 -桥东区,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,12人关注 / 一年前发布,105,"7,609元/平"
桥东区维多利亚B区毛坯好房有房本采光好无遮挡,新五一广场2区 -桥东区,2室2厅 | 106.42平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,86,"8,082元/平"
永昌维多利亚C区 电梯好楼层 采光好客卧向阳中户,永昌维多利亚广场C区 -桥东区,2室1厅 | 106.44平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,81,"7,610元/平"
桥东帝广旁边正一楼拎包入住单价看房方便,德胜北街二条 -桥东区,2室1厅 | 52平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,23人关注 / 一年前发布,26,"5,000元/平"
金华怡园，看房方便，好楼层，清河路,金华怡园 -桥西区,2室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,70,"6,543元/平"
境门华府 2室2厅 南 北,境门华府 -桥西区,2室2厅 | 100平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,5人关注 / 4个月以前发布,66,"6,600元/平"
毛坯房 有房本电梯好楼层 全天不挡光  采光好 视野好,新五一广场2区 -桥东区,2室2厅 | 106.55平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,82,"7,696元/平"
满五年，房子户型方正，充分利用空间，格局整洁。,金凤家园 -桥东区,2室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,65,"6,436元/平"
纬一路，东环旁，温馨家园有好房！户型不赖楼层也好！,温馨家园(盛华东大街) -桥东区,2室2厅 | 107.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,68,"6,304元/平"
房子户型方正，充分利用空间，格局整洁，采光充足,锦绣花园东区 -桥东区,2室1厅 | 105.52平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,75,"7,108元/平"
小区 配套齐全，交通便利，人车分流绿化高,枫墅小镇 -桥西区,2室1厅 | 105平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,82,"7,810元/平"
秀水苑小区，板楼一楼，有本，随时看房！,秀水苑小区 -桥东区,2室1厅 | 74.4平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,45,"6,049元/平"
南北通透好户型，楼层好，视野开阔 ，好住 冬暖夏凉,鵬跃龍城 -桥东区,2室2厅 | 91.8平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,2人关注 / 4个月以前发布,76.9,"8,377元/平"
前屯新天地小区 2室2厅 南 北,前屯新天地小区 -桥东区,2室2厅 | 123.6平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 7个月以前发布,88,"7,120元/平"
龙山水郡，好户型，价格便宜，交通方便,龙山水郡 -桥东区,2室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 一年前发布,79,"7,315元/平"
南北通透，中间楼层，采光好，出入方便。,岭秀城（嶺秀城） -桥西区,2室2厅 | 103平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,5人关注 / 5个月以前发布,78,"7,573元/平"
精装修  对口新华街  采光优秀  契税满五,华新园三期 -桥西区,2室1厅 | 70.56平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,55,"7,795元/平"
好楼层河景房房东急售，不容错过！！,丰泰亲河苑 -桥东区,2室1厅 | 105.35平米 | 南 西 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,75,"7,120元/平"
有房本大三居 新装修一天没住过 采光好出行方便,南铁苑小区东区 -桥东区,2室2厅 | 115平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,59,"5,131元/平"
纬一路新上一套好房，业主诚心出售，采光好，视野好,龙山水郡 -桥东区,3室2厅 | 134.89平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 塔楼,8人关注 / 一年前发布,103,"7,636元/平"
房子户型方正，充分利用空间，采光充盈.公摊小,福景苑小区 -桥东区,2室2厅 | 80平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,55,"6,875元/平"
京润现代城，精装修，布局合理好住,京润现代城 -桥东区,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,70,"8,140元/平"
有房本大三居 新装修一天没住过 采光好出行方便,南铁苑小区东区 -桥东区,2室2厅 | 115平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,59,"5,131元/平"
c21推进好楼层 精装修 有本 可贷款急售看房方便,天河桐盛 -桥西区,3室1厅 | 84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 3个月以前发布,56,"6,667元/平"
户型方正，采光充盈，出行便利。,新五一广场2区 -桥东区,2室2厅 | 106.42平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,89,"8,364元/平"
此房南北通透 有房本明厅明卧H户型 毛坯房能贷款,君悦东山 -桥东区,2室2厅 | 91平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 塔楼,2人关注 / 4个月以前发布,65,"7,143元/平"
交通便利，毛坯房，生活配套齐全，小区环境优美。,龙山水郡 -桥东区,2室2厅 | 164.2平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,70,"4,264元/平"
经典小两居，房况好，好位置，楼层好不挡光,胜利北路花园小区 -桥东区,2室2厅 | 58平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,39,"6,725元/平"
