标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
房子好。品牌好，物业百强，，，，，,碧桂园城市之光 -川汇区政府商圈,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,125,"8,929元/平"
颍滨上城河景房精装大3居，楼层好采光好，可直接过户,颍滨上城 -沈丘县,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 10个月以前发布,68,"5,313元/平"
采光充足，视野开阔，70年大产权，配套齐全，出行方便,金色家园美域 -商水县,3室2厅 | 120.4平米 | 东南 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,68,"5,648元/平"
好房推荐，商水荣盛家园精装三房,荣盛家园 -商水县,3室2厅 | 120.74平米 | 南 | 其他 | 高楼层(共9层)  | 板塔结合,2人关注 / 1个月以前发布,60,"4,970元/平"
此房是全南户型，视野开阔 位置好 全天采光看房方便,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 107.68平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,52人关注 / 一年前发布,65,"6,037元/平"
金色东方佳苑精装3室 带家具家电，随时看房,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 107.78平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,35人关注 / 一年前发布,58,"5,382元/平"
此房有证满二，可以分期，全款精装修未入住,龙润·康城 -南广场万达商圈,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 4个月以前发布,70,"5,073元/平"
金泰王朝小区 1室1厅 北,金泰王朝小区 -中心医院商圈,1室1厅 | 30平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 8个月以前发布,20,"6,667元/平"
和谐花园   成熟小区 精装大三房,和谐花园 -文昌大道佳丽商圈,3室2厅 | 117.66平米 | 北 南 | 精装 | 高楼层(共18层)  | 板楼,57人关注 / 一年前发布,40,"3,400元/平"
择邻名苑小高层给10平左右入户花园，,择邻名苑 -川汇区政府商圈,3室2厅 | 129.36平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,8人关注 / 一年前发布,63,"4,871元/平"
精装修一居室  高档小区配套齐全,滨江国际星城 -五一广场商圈,1室1厅 | 47.74平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,21,"4,399元/平"
此房优质地段 房屋方正格局 视野宽阔  配套设施..,海燕鑫聚 -五一广场商圈,1室0厅 | 30平米 | 西 | 精装 | 低楼层(共26层)  | 板塔结合,15人关注 / 一年前发布,13,"4,334元/平"
滨江国际小公寓拎包入住有证可按揭业主急售,滨江国际星城 -五一广场商圈,1室1厅 | 45平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,17,"3,778元/平"
诚德华府，电梯精装大三室，拎包入住，有证可按揭，,诚德华府 -兰亭山水商圈,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,2人关注 / 一年前发布,80,"5,926元/平"
泰地现代城环保材料装修带地暖精装大三房出售,泰地现代城 -现代城商圈,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,123,"9,462元/平"
现代城二期 电梯三楼 3室2厅2卫 精装修  格局合理,现代城世锦园 -现代城商圈,3室2厅 | 138平米 | 西 | 精装 | 低楼层(共24层)  | 板楼,19人关注 / 一年前发布,85,"6,160元/平"
万达熙龙湾 精装大三房。采光好，诚心出售,万达熙龙湾 -泰和城商圈,3室2厅 | 127平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,81人关注 / 一年前发布,69,"5,434元/平"
嘉林花园，电梯大两室，通透，视野好，有证可按揭,嘉林花园 -兰亭山水商圈,2室2厅 | 112.74平米 | 南 | 精装 | 中楼层(共19层)  | 暂无数据,8人关注 / 一年前发布,52.5,"4,657元/平"
精装修，家具家电全带，有证可按揭,欧景国际 -沈丘县,4室2厅 | 155平米 | 南 | 精装 | 低楼层(共20层)  | 塔楼,3人关注 / 5个月以前发布,98,"6,323元/平"
大三房，格局好，采光好，小区环境优美，出行方便,周口职业技术学院教师公寓楼 -南广场万达商圈,3室1厅 | 137.6平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,45,"3,271元/平"
契税满二，一楼带院，精装修，有证可按揭,阳光·半岛城邦 -川汇区政府商圈,3室2厅 | 134.8平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,120,"8,903元/平"
文昌大道佳利德苑两房   位置好配套完善,佳利 · 德苑 -文昌大道佳丽商圈,2室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,22人关注 / 一年前发布,28,"2,917元/平"
金色东方佳苑，3室2庭1卫，毛坯房，看房方便,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 107.72平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,56人关注 / 一年前发布,48,"4,456元/平"
泰园 2室2厅 西,泰园 -沈丘县,2室2厅 | 84.71平米 | 西 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,59,"6,965元/平"
精装修公寓住房，川汇区政府旁，看房方便,文化广场 -川汇区政府商圈,1室1厅 | 51平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,37人关注 / 一年前发布,19,"3,726元/平"
建业未来城次顶层，有证可按揭，,建业未来城 -川汇区政府商圈,2室1厅 | 91.8平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,15人关注 / 一年前发布,47,"5,120元/平"
急售：南户朝阳好户型，有证可过户,碧桂园城市之光 -川汇区政府商圈,1室1厅 | 47平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,19,"4,043元/平"
小区位于八一路文昌路交叉口处，小区里有停车的位置,和谐花园 -文昌大道佳丽商圈,1室1厅 | 62.2平米 | 北 | 精装 | 高楼层(共18层)  | 暂无数据,20人关注 / 一年前发布,24,"3,859元/平"
佳利金色东方佳苑 2室1厅 南,佳利金色东方佳苑 -文昌大道佳丽商圈,2室1厅 | 82.27平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2人关注 / 5个月以前发布,47,"5,713元/平"
雨欣花园，两室    通  透，需全款购买,雨欣花园 -现代城商圈,2室1厅 | 102平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,42人关注 / 一年前发布,27,"2,648元/平"
位置好，紧 邻主干道，地理位置优越，停车方便。。。,陈州清真寺 -五一广场商圈,1室0厅 | 50平米 | 北 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 一年前发布,70,"14,000元/平"
百硕园小区虽是两房但户型方正采光好,百碩园小区 -五一广场商圈,2室2厅 | 86平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,24人关注 / 一年前发布,46,"5,349元/平"
两间挨着的南户朝阳出售，有证可过户,碧桂园城市之光 -川汇区政府商圈,2室2厅 | 47平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,19,"4,043元/平"
海燕鑫聚 电梯 公寓   配套齐全 需要全款 看房方便,海燕鑫聚 -五一广场商圈,1室1厅 | 67平米 | 西 | 毛坯 | 中楼层(共27层)  | 板楼,7人关注 / 一年前发布,24,"3,583元/平"
汇林凤凰城，2室2厅 业主诚心卖房，看房方便。,汇林凤凰城 -兰亭山水商圈,2室2厅 | 103平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,43人关注 / 一年前发布,45,"4,369元/平"
易天国际 精装房 看房方便 有证,易天国际广场 -五一广场商圈,1室1厅 | 41平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,9人关注 / 一年前发布,26,"6,342元/平"
000000000000000000000000000000000000000000000000,滨江国际星城 -五一广场商圈,1室0厅 | 91平米 | 北 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,60,"6,594元/平"
馥泽园北区，精装房，单身公寓。,馥澤園北区 -万基城商圈,1室1厅 | 34.06平米 | 东 | 精装 | 中楼层(共13层)  | 板楼,7人关注 / 一年前发布,25,"7,340元/平"
幸福花开文苑  精装大两房  有证税满可正常按揭,幸福花开文苑 -川汇区政府商圈,2室2厅 | 84.37平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,42.5,"5,038元/平"
滨河公园 观景房，精装婚房，急售,滨江国际星城 -五一广场商圈,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,46,"4,843元/平"
尚书壹号院 3室2厅 南,尚书壹号院 -沈丘县,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 16天以前发布,79,"6,992元/平"
君邻府 3室2厅 南,君邻府 -沈丘县,3室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,80,"5,715元/平"
"建业城大3居，产权证在手，随时过户,诚心出售",沈丘建业城二期 -沈丘县,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板塔结合,2人关注 / 8个月以前发布,76.5,"5,840元/平"
君临府户型方正产权清晰，阳光充足。,君邻府 -沈丘县,3室2厅 | 144平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 4个月以前发布,82,"5,695元/平"
槐府六号，简单装修好，物业好，出行便利,槐府六号 -沈丘县,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,52,"4,602元/平"
万达熙龙湾精装修2房，拎包入住，契税满2年，随时过户,万达熙龙湾 -泰和城商圈,2室2厅 | 83平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1天以前发布,51,"6,145元/平"
庆丰街 建业森林半岛精装三房，位置在小区北门,建业森林半岛 -周师商圈,3室2厅 | 120.25平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 5天以前发布,83,"6,903元/平"
建业三期，大三居，南排，中间楼层，采光刺眼,君邻府 -沈丘县,3室2厅 | 141.98平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,90,"6,339元/平"
颍滨上城 3室2厅 东 东南 南,颍滨上城 -沈丘县,3室2厅 | 132.08平米 | 东 东南 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,80,"6,057元/平"
房子南北通透，采光好，步梯5楼,博鑫缘 -国贸商圈,3室2厅 | 125.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,38,"3,033元/平"
三卧朝南，业主诚心卖房，公摊很小，配套成熟此房楼.,五交化建行家属院 -邦杰集团商圈,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,29,"2,417元/平"
急售，小高层，税满可按揭，可随时看房,佳利金色东方佳苑 -文昌大道佳丽商圈,3室2厅 | 122.97平米 | 西南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,59,"4,798元/平"
上城公馆三室两厅一厨一卫业主诚心出售看房方便,上城公馆 -兰亭山水商圈,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 8天以前发布,41.5,"4,369元/平"
御景湾，电梯洋房9楼东户，满五唯一,御景湾 -项城市,3室2厅 | 139平米 | 南 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,76,"5,468元/平"
现房，户型方正，采光佳南北通风，格局合理,君邻府 -沈丘县,3室2厅 | 141平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,83.5,"5,922元/平"
此房双阳台，电梯洋房，楼层好，采光好 楼间距宽,君邻府 -沈丘县,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 2个月以前发布,86,"6,100元/平"
有证可以按揭，业主诚心出售，户型通透,君邻府 -沈丘县,3室2厅 | 135.11平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,79,"5,848元/平"
郡邻府，四室两厅，南北通透，诚心出售,君邻府 -沈丘县,3室2厅 | 141.44平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,2人关注 / 4个月以前发布,87,"6,152元/平"
建业君邻府，好楼层，电梯洋房，采光充足，有证可按揭,君邻府 -沈丘县,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,2人关注 / 5个月以前发布,86,"6,100元/平"
金宇龙城 地暖小区，有证可按揭 随时看房,金宇龙城 -沈丘县,3室2厅 | 126.4平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,69.5,"5,499元/平"
槐府六号，槐园高速路口旁，环境好交通便利,槐府六号 -沈丘县,3室2厅 | 113.24平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,564元/平"
君邻府新小区 东边户 大三居室 即买即装修,君邻府 -沈丘县,3室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 塔楼,0人关注 / 3个月以前发布,83,"5,887元/平"
建业三期君邻府，小区位置好，宽庭设计,君邻府 -沈丘县,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共9层)  | 塔楼,0人关注 / 3个月以前发布,86,"6,100元/平"
建业二期东边就是人民大道，北是大型商场，生活便利,沈丘建业城二期 -沈丘县,3室1厅 | 131平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,1人关注 / 3个月以前发布,78,"5,955元/平"
建业二期 三室两卫 楼层好 户型好 采光很好 看房方便,沈丘建业城二期 -沈丘县,3室2厅 | 131.23平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,1人关注 / 4个月以前发布,79,"6,020元/平"
建业二期 电梯房135中间楼层  已装修家电家具齐全,沈丘建业城二期 -沈丘县,3室2厅 | 135平米 | 南 | 简装 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,79,"5,852元/平"
天明城一期人和苑 小高层 好楼层 视野好 温馨三居税满,天明城·人和苑 -东新区商圈,3室2厅 | 85.72平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,49.5,"5,775元/平"
前后无遮挡，视野开阔中间楼层包含车位,周口碧桂园 -东新区商圈,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,80,"6,667元/平"
泊龙湾 三室两厅一厨两卫 楼层好,泊龙湾 -沈丘县,3室2厅 | 136.42平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,65,"4,765元/平"
交通方便格局 楼层位置好，便利,新地世纪城 -西华县,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,41.5,"3,459元/平"
此小区交通便利，购物方面，，，，，，，，,沈丘建业城二期 -沈丘县,3室2厅 | 131.23平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,79,"6,020元/平"
亿豪花园，三室两厅两卫，可以装成自己喜欢的风格,亿豪花园 -沈丘县,3室2厅 | 132平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,52,"3,940元/平"
颖河嘉园二期B 组合，精装大三室，有证可按揭，有钥匙,颍河嘉园 -沈丘县,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,48,"3,357元/平"
融辉城二期  精装修大三房  拎包入住  看房方便,融辉城二期 -商水县,3室2厅 | 110.24平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 5天以前发布,55,"4,990元/平"
万达广场三房视野好采光好小区环境好配套成熟,周口开元万达广场 -南广场万达商圈,3室2厅 | 138.27平米 | 南 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 5天以前发布,70,"5,063元/平"
翰林公馆地理位置好，出行方便，环境不错,翰林公馆 -沈丘县,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 9天以前发布,50,"5,556元/平"
众盛花园 上学方便  成熟社区 配套齐全,众盛花园 -沈丘县,3室2厅 | 134.9平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,39,"2,892元/平"
安置房，南北格局，通风好，高楼层，毛坯房，随意装,贾鲁嘉苑B区 -川汇区政府商圈,3室2厅 | 126.9平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,31,"2,443元/平"
此房户型通透户型 ，楼层好，视野宽阔，采光充足,天龙郡帝湖 -沈丘县,4室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,111,"8,103元/平"
景秀北城 步梯二楼 精装修大三房  采光很好,景秀北城 -川汇区政府商圈,3室2厅 | 119平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,50,"4,202元/平"
周口碧桂园 3室2厅 南,周口碧桂园 -东新区商圈,3室2厅 | 120.71平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,62,"5,137元/平"
