标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
急售和润新城畅园精装南向两居室全天采光不遮挡,和润新城畅园 -开发区商圈,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,78,"8,765元/平"
中兴路小区平地不上坡交通便利 出行方便,中兴路小区 -市区商圈,1室1厅 | 49平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,54,"11,021元/平"
小北沟工行家属楼 采光好可贷款 正房通透户型,小北沟工行家属楼 -市区商圈,3室1厅 | 87.78平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,69,"7,861元/平"
急售大石庙乾正家园经典两居室，100平毛坯现房。,乾正家园 -开发区商圈,2室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,70,"7,000元/平"
此房电梯西边户，三居室，总价不高适合居住。,林馨家园 -平泉市,3室1厅 | 103.11平米 | 南 北 | 简装 | 高楼层(共24层)  | 暂无数据,2人关注 / 2个月以前发布,47,"4,559元/平"
头牌楼  千斤顶家属楼  交通便利,头牌楼千斤顶家属楼 -市区商圈,3室0厅 | 69.9平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,42,"6,009元/平"
布局合理实用视野开阔大角度观景阳台心境清澄自若,凤凰御苑 -开发区商圈,2室2厅 | 93.15平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,1人关注 / 8个月以前发布,88,"9,448元/平"
御龙湾，远离市里喧哗闹市，走进了室外桃园。,御龙湾小区 -开发区商圈,2室2厅 | 92.58平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,73,"7,886元/平"
兴隆隆湾帝园两居室，纯南户型，电梯房,隆湾帝园A区 -兴隆县,2室1厅 | 76平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,47,"6,185元/平"
中泰自然城通透H户型  小区口位置不上坡,中泰·自然城 -市区商圈,2室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,96,"10,323元/平"
嘉和广场，精装两居，电梯中层，采光不错。,嘉和广场 -市区商圈,2室2厅 | 87平米 | 南 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,88,"10,115元/平"
此房是海棠苑纯南户型 次顶楼层 观景房,阳光四季城海棠苑 -开发区商圈,2室2厅 | 89平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,73,"8,203元/平"
粮食局家属楼 不上大坡 通透户型,粮食局家属楼 -市区商圈,2室1厅 | 54.21平米 | 东 西 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,47,"8,670元/平"
前排 有着无限美景的视野 相当开阔,凤凰御苑 -开发区商圈,2室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,3人关注 / 一年前发布,77,"8,021元/平"
此房是乾正家园 中间楼层 采光不挡 有本可贷款,乾正家园 -开发区商圈,2室2厅 | 110.25平米 | 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,93,"8,436元/平"
出售精装修44平37万小户型的房源,小溪沟小区南区 -市区商圈,1室1厅 | 44平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,37,"8,410元/平"
临街 平地不上坡 业主刚刚精装修 看房方便 采光好,双柳小区 -市区商圈,2室1厅 | 55平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,62,"11,273元/平"
万华小区B区 中间楼层 户型方正 贷款方式不限,万华小区B区 -市区商圈,3室2厅 | 83平米 | 西南 西 东北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,83,"10,000元/平"
此房我了解 经济适用两居室    出行便利,于家沟小区 -市区商圈,2室1厅 | 60.5平米 | 东 西 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,50,"8,265元/平"
世纪城三区 南向两居室 电梯中层 采光充足,世纪城三区 -市区商圈,2室2厅 | 96平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,130,"13,542元/平"
陕西营小区.看房方便.采光好.无遮挡.视野好！,陕西营小区 -市区商圈,1室1厅 | 48平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,47,"9,792元/平"
房子看房方便，无后期费用，小区出行便利,青年家园小区 -市区商圈,2室2厅 | 85平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 3天以前发布,72,"8,471元/平"
有本可贷款，业主诚意出售 小区出行便利,德生大厦 -市区商圈,1室1厅 | 63.45平米 | 东 南 | 简装 | 低楼层(共25层)  | 暂无数据,0人关注 / 4天以前发布,51,"8,038元/平"
中泰·自然城 2室1厅 南 北,中泰·自然城 -市区商圈,2室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 2天以前发布,65,"7,927元/平"
福的华园精装小两居 业主诚售 可随时看房,福地华园 -市区商圈,2室1厅 | 56平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,60,"10,715元/平"
世纪城二区 精装两居 电梯低层  户型方 没有浪费面积,世纪城二区 -市区商圈,2室2厅 | 89.96平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,120,"13,340元/平"
兴隆天瑞城合理一居室，好楼层，合适价就卖,天瑞城 -兴隆县,1室1厅 | 47.98平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,37,"7,712元/平"
阳光四季城海棠苑 1室1厅 南,阳光四季城海棠苑 -开发区商圈,1室1厅 | 61平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,50,"8,197元/平"
繁华地势3楼好楼层，户型方正，南北通透，带地下室。,金世纪嘉园A区 -平泉市,2室2厅 | 72.94平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,50,"6,855元/平"
514队家属楼 2室1厅 南 北,514队家属楼 -市区商圈,2室1厅 | 68.48平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,66,"9,638元/平"
阳光四季城，两居室，户型设计合理，采光效果好。,阳光四季城桃李苑 -开发区商圈,2室1厅 | 98.66平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,0人关注 / 7天以前发布,75,"7,602元/平"
兴隆县城，隆湾帝园小区，一居好房，业主诚心出售。,隆湾帝园A区 -兴隆县,1室1厅 | 55平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,40,"7,273元/平"
紧挨步行街南北通透三居，平地无坡去哪都方便,陕西营小区 -市区商圈,3室1厅 | 73平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 6天以前发布,78,"10,685元/平"
椿林苑 2室2厅 南 北,椿林苑 -开发区商圈,2室2厅 | 103.33平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 6天以前发布,79,"7,646元/平"
荣信盛和园 1室1厅 东南,荣信盛和园 -市区商圈,1室1厅 | 56平米 | 东南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 8天以前发布,58,"10,358元/平"
绿园小区 3室2厅 南 北,绿园小区 -市区商圈,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 8天以前发布,120,"9,023元/平"
和润新城 2室2厅 南,和润新城 -开发区商圈,2室2厅 | 98平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 7天以前发布,72,"7,347元/平"
万华小区A区 3室1厅 南 北,万华小区A区 -市区商圈,3室1厅 | 83平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,90,"10,844元/平"
福的华园小区精装三居室 中高层采光视野好 业主诚售,福地华园 -市区商圈,3室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,95,"10,675元/平"
荣盛江南水镇 3室1厅 北 南,荣盛江南水镇 -兴隆县,3室1厅 | 100平米 | 北 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,60,"6,000元/平"
兴隆县城三室好房，业主诚心出售。。。。,兴隆御景 -兴隆县,3室1厅 | 144平米 | 南 | 其他 | 低楼层(共14层)  | 暂无数据,0人关注 / 7天以前发布,75,"5,209元/平"
此房户型经典   采光好    房主诚心出售,二牌楼小区 -市区商圈,2室1厅 | 60.8平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,55,"9,047元/平"
盛景华庭南北通透两居室带露台，简装修拎包入住,盛景华庭 -开发区商圈,2室1厅 | 86平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 4天以前发布,75,"8,721元/平"
冀东花园 前排中间楼层 毛坯随意装修 可贷款,冀东花园 -市区商圈,2室2厅 | 90平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,73,"8,112元/平"
世纪城一期紧挨着迎宾路，出门就是公交站点,福地华园 -市区商圈,3室1厅 | 88.16平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 7天以前发布,90.88,"10,309元/平"
御龙瀚府南向两居室，全天采光无遮挡。有本可贷款。,御龍瀚府 -开发区商圈,2室2厅 | 84平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 4天以前发布,80,"9,524元/平"
世纪城二区 2室2厅 南,世纪城二区 -市区商圈,2室2厅 | 96.17平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 4天以前发布,153,"15,910元/平"
世纪城金隅 3室2厅 南 北,世纪城金隅 -市区商圈,3室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 5天以前发布,163,"11,399元/平"
业主诚意出售德生两室 看房方便,德生大厦 -市区商圈,2室2厅 | 85平米 | 南 | 简装 | 低楼层(共25层)  | 暂无数据,0人关注 / 4天以前发布,68,"8,000元/平"
兴隆林业家园 3室1厅 南,兴隆林业家园 -兴隆县,3室1厅 | 92平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 4天以前发布,50,"5,435元/平"
房子通透 户型方正 双阳面卧室,金三角小区 -市区商圈,2室2厅 | 80.37平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 4天以前发布,62,"7,715元/平"
兴隆县城.时代家园三居好房出售,阳光家园 -兴隆县,3室1厅 | 113.74平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,70,"6,155元/平"
南北通透，采光好，格局设计合理，出行方便,森源·保利城 -平泉市,2室2厅 | 90.79平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 7天以前发布,49,"5,398元/平"
御龙湾小区 3室2厅 南 北,御龙湾小区 -开发区商圈,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,95,"7,422元/平"
石洞子沟 富华商贸城 平面不上坡 看房联系,工具厂家属楼 -市区商圈,2室1厅 | 76.63平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 3天以前发布,75,"9,788元/平"
港湾 3室3厅 南 北,港湾 -市区商圈,3室3厅 | 140平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,110,"7,858元/平"
简单装修 门口位置 户型方正 格局合理 公摊小,御龍瀚府 -开发区商圈,1室1厅 | 75平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 3天以前发布,73,"9,734元/平"
御龙湾南北通透，大三居。房本满二年过户费用低。,御龙湾小区 -开发区商圈,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,95,"7,422元/平"
祥业小区二期 3室2厅 东 西,祥业小区二期 -市区商圈,3室2厅 | 117平米 | 东 西 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 3天以前发布,155,"13,248元/平"
平地无坡，日照充足，房本满五，采光充足，没有遮挡,凤凰御庭 -开发区商圈,2室2厅 | 93平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,85.9,"9,237元/平"
隆城国际 3室1厅 南,隆城国际 -兴隆县,3室1厅 | 80平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,46,"5,750元/平"
和润新城 2室2厅 南,和润新城 -开发区商圈,2室2厅 | 100平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 2天以前发布,100,"10,000元/平"
农行家属楼 2室1厅 南,农行家属楼 -市区商圈,2室1厅 | 40平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 2天以前发布,45,"11,250元/平"
富华新天地 3室1厅 南,富华新天地 -市区商圈,3室1厅 | 98平米 | 南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 2天以前发布,118,"12,041元/平"
兴隆隆湾帝园小区三居双卫全明户型。格局方正。,隆湾帝园B区 -兴隆县,3室1厅 | 131.5平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 2天以前发布,80,"6,084元/平"
富丽花园 3室2厅 南 北,富丽花园 -市区商圈,3室2厅 | 119平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,107,"8,992元/平"
融创小区环境优美，设施完善，物业服务好,兴隆融创城朗园 -兴隆县,3室1厅 | 105.93平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,60,"5,665元/平"
不上坡 67平小两居 简装房本满二年 可以贷款,露露花园 -市区商圈,2室1厅 | 67平米 | 东北 | 简装 | 低楼层(共24层)  | 板楼,5人关注 / 一年前发布,85,"12,687元/平"
锦绣城一区 2室1厅 南 北,锦绣城一区 -双滦区,2室1厅 | 101.34平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,60,"5,921元/平"
港湾花园.南北通透.毛坯房随意装修,港湾 -市区商圈,2室1厅 | 82平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,55,"6,708元/平"
碧峰二区 三室南北通透 好楼层 老本可贷款,碧峰家园二区 -市区商圈,3室1厅 | 83平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,83,"10,000元/平"
头牌楼双兴家园小区  电梯低层 采光可以,双兴家园小区 -市区商圈,2室1厅 | 64平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 12天以前发布,72,"11,250元/平"
世纪城五区 前排位置 南北通透 诚意出售 相中可谈..,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 8天以前发布,190,"14,961元/平"
前排无遮挡，采光好，物业管理完善，居住安静舒适,梨花江苑 -开发区商圈,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,88,"6,617元/平"
钓鱼台 位于世纪城边上 平地无坡户型好老本能贷款,钓鱼台赏枫庭 -市区商圈,2室2厅 | 100.3平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 10天以前发布,80,"7,977元/平"
紧挨大佟沟南北通透 二楼，采光好 精装修户型方正,大佟沟小区北区 -市区商圈,2室1厅 | 65平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,65,"10,000元/平"
华富苑小区简装两室 低楼层 可贷款,华富苑小区 -市区商圈,2室1厅 | 90平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 17天以前发布,45,"5,000元/平"
出售清樾华庭朝南1室精装修拎包入住交通方便,清樾華庭 -市区商圈,1室1厅 | 50平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 17天以前发布,60,"12,000元/平"
和润新城南北通透2居 中间楼层 毛坯新房,和润新城 -开发区商圈,2室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 16天以前发布,80,"8,164元/平"
位置好 楼层合适  采光好 一梯两户 南北通透户型,枫林绿洲 -双滦区,2室2厅 | 91.51平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,60,"6,557元/平"
冀东花园平地没坡交通方便出门公交站采光好,冀东花园 -市区商圈,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,88,"9,362元/平"
中兴路小区 中间3楼 采光好 通透户型,中兴路小区 -市区商圈,2室1厅 | 58.8平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,62,"10,545元/平"
兴隆县城俩室好房，业主诚心出售。。,集荣丽景 -兴隆县,2室1厅 | 89平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,60,"6,742元/平"
世纪城五区 通透三居室  电梯低层  精装修 户型方正,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 5个月以前发布,163,"12,835元/平"
江南福郡独栋别墅只有一套，独门独院看房方便,画园 -未知商圈,4室2厅 | 217平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 1个月以前发布,438,"20,185元/平"
