标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
新都市区位置好，价格便宜，毛坯房带车库。,春阳小区 -万郡,3室2厅 | 166.8平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,95,"5,696元/平"
包百商圈，青17街坊，五楼中户，两室一厅，看房方便,宁馨佳苑 -恰特,2室1厅 | 72.17平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,38.5,"5,335元/平"
出售 三江尊园  精装  126万 144平,三江尊园 -中建御澜世家,3室2厅 | 143.82平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,17人关注 / 一年前发布,126,"8,761元/平"
不吃差价，不收反费，房主诚心出售,民馨家园三区 -民馨家园,2室1厅 | 68.78平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,30.5,"4,435元/平"
不吃差价，不收返费，丽景名邸， 实用130平83万可议,丽晶名邸小区 -中建御澜世家,3室2厅 | 124.6平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 22天以前发布,83,"6,662元/平"
不吃差价 不收返费 友谊十三小区 好房推介,包钢友谊十三小区 -106小商品城,2室1厅 | 59.89平米 | 东 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 24天以前发布,57,"9,518元/平"
东方嘉苑 三楼 房龄新 户型好 看房方便,东方嘉苑 -娜琳,2室2厅 | 100.78平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,87,"8,633元/平"
滨江国际 经典四室 双阳夹厅 无大税 洋房 采光好,滨江国际一期 -包钢设计院,4室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,0人关注 / 22天以前发布,92,"7,797元/平"
免费卖房不用返费，透明买房不吃差价,新星水岸花园 -二旅社,3室2厅 | 157.27平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,130,"8,267元/平"
急售 植物园 龙溪盛景 精装修3室,龙熙盛景 -阿尔丁植物园,3室2厅 | 141平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,162,"11,490元/平"
华丽家族 5室2厅 南 北,华丽家族 -友谊广场,5室2厅 | 220平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,190,"8,637元/平"
日月华庭 电梯 洋房 带40平米阁楼 再带40平晒台,日月华庭A区 -一号公馆,3室2厅 | 119.78平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,103,"8,600元/平"
丰盈小区 侧护 步梯四楼 装修 好 采光好,丰盈小区 -包头乐园,2室1厅 | 68.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,40.5,"5,946元/平"
不吃差价，不收反费一化小区，一楼，南北通透，价位低,友谊22街坊一化小区 -包头乐园,2室1厅 | 61平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 21天以前发布,51,"8,361元/平"
阳光尚品南区9楼 2室1厅  南北通透  采光好,阳光尚品南区 -和平村,2室1厅 | 87平米 | 南 北 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 28天以前发布,62,"7,127元/平"
昆区友谊大街 华联友谊20简装两室三楼二手房,友谊20号街坊育华小区 -昆区华联,2室1厅 | 66.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,46,"6,928元/平"
紫金华府精装两居室101平  21楼采光好,紫金华府 -东亚,2室1厅 | 101平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 23天以前发布,80,"7,921元/平"
不吃差价不收返费 保利拉菲中间楼层南北通透标椎格局,保利拉菲公馆 -东亚,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 26天以前发布,82,"9,214元/平"
新上房源 业主急售 价格好商量随时看房,六合新城二区 -保利,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,71,"7,635元/平"
新上万郡24楼精装修婚房 拎包入住 价格可议,万郡大都城 -万郡,2室2厅 | 93.88平米 | 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,73,"7,776元/平"
四季花城精装修一楼标砖户型带储藏室有地上免费停车位,四季花城 -南开小学,2室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 27天以前发布,88,"8,000元/平"
保利三期新上五楼 精装修 位置好 随时看房,保利沁心园 -保利,2室2厅 | 95.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 26天以前发布,85,"8,920元/平"
东亚香堤丽舍 2室1厅 南,东亚香堤丽舍 -广汇,2室1厅 | 76平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 15天以前发布,61,"8,027元/平"
友谊大街18号街坊 2室0厅 南,友谊大街18号街坊 -包头乐园,2室0厅 | 45平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,33,"7,334元/平"
东方花园  交通方便  精装修  中街楼层,东方花园 -包百,2室1厅 | 75平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 13天以前发布,60,"8,000元/平"
不吃差价 不收返费格局通透，视野采光好，停车免费,胜利佳苑 -二旅社,3室2厅 | 131.78平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 10个月以前发布,83,"6,299元/平"
中间楼层，毛坯好房，结构好。小三室,加州郡府 -中建御澜世家,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,74,"6,608元/平"
二层 南北两居 位置安静 不临街 价可谈,友谊南街坊 -友谊广场,2室1厅 | 68平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,74,"10,883元/平"
精装好房 价格还能议 配套设施齐全,京奥港花园 -东亚,3室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 8个月以前发布,97,"8,152元/平"
不吃差价，不收返利，户型南北通透,美室层双 -民馨家园,3室2厅 | 150平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,5人关注 / 3个月以前发布,68,"4,534元/平"
昆区 包头乐园  阿北小区 步梯四楼  有钥匙，随时看,阿尔丁小区 -包头乐园,2室2厅 | 68.31平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,66,"9,662元/平"
业主诚意出售，小区绿化好，停车方便，看房方便,龙苑小区 -龙苑,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,69,"5,434元/平"
有本无大税  小区治安严谨 出入刷卡 人车分流,和谐康庄源和佳苑 -保利,3室2厅 | 136.7平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,6人关注 / 3个月以前发布,106,"7,755元/平"
东亚世纪城 文馨苑 精装修 南北通透 随时看房,东亚世纪城文馨苑 -东亚,3室1厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,6人关注 / 6个月以前发布,116,"8,227元/平"
保利二期 步梯二楼 绿化好  费用低 精装修,保利花园溪水园 -保利,3室2厅 | 142.22平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,125,"8,790元/平"
万科中央公园 带车位 电梯洋房 出门就是公园 随时签约,万科中央公园 -青山区,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,139,"11,120元/平"
金茂豪庭 3室2厅 南 北,金茂豪庭 -友谊广场,3室2厅 | 171.28平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,158,"9,225元/平"
日月豪庭步梯三楼，两居室南北通透，自住一手房。,日月豪庭 -鹿港小镇,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,78,"8,042元/平"
包钢技校家属楼 科大北门 拎包入住 出行方便,包钢技校家属楼 -东亚,2室1厅 | 56.31平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 6个月以前发布,39,"6,926元/平"
不吃差价不收返费 万达广场 精装 楼层好 视野佳,万达广场 -万达,3室2厅 | 154.12平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,13人关注 / 一年前发布,137,"8,890元/平"
总高11层精装洋房新都市区少有好户型,富力城 -九原区,3室2厅 | 138.4平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,2人关注 / 2个月以前发布,106.8,"7,717元/平"
友谊19街坊  四区  南北通透  交通方便,友谊19号街坊二区 -包头乐园,2室2厅 | 73.04平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,49.8,"6,819元/平"
鹿景苑  二楼   有本配贷   诚心出售,鹿景苑 -九星,2室1厅 | 70.15平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,28人关注 / 一年前发布,52,"7,413元/平"
急售  万达 毛坯3居室  满五 可贷款 看房方便,万达广场 -万达,3室2厅 | 144.67平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,113,"7,811元/平"
不吃差价  不收返费   和家里的水电价格一样,总部经济园 -一号公馆,2室1厅 | 110平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 12天以前发布,57,"5,182元/平"
不吃差价 不收反费 价格可议看房方便,友谊19号街坊四区 -包头乐园,1室1厅 | 55平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,37,"6,728元/平"
自四街坊，步梯二楼，中户户型，阳光交易，不吃差价,自由路4号街坊 -民主路,2室1厅 | 63.18平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,9人关注 / 10个月以前发布,41,"6,490元/平"
三江尊园 精装好房 没税没贷 中间楼层 随时看房,三江尊园 -中建御澜世家,2室2厅 | 80.25平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,5人关注 / 一年前发布,72,"8,972元/平"
此房房龄新，有阳台，电梯房.三居室,翡丽湾 -万郡,3室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,13人关注 / 一年前发布,100,"7,093元/平"
友谊大街18号街坊 2室1厅 南,友谊大街18号街坊 -包头乐园,2室1厅 | 52.89平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,5人关注 / 5个月以前发布,32,"6,051元/平"
此房满五唯一，，出行方便，购物便利，全阳户型，，，,阿尔丁小区 -包头乐园,2室1厅 | 60.62平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,56,"9,238元/平"
精装婚房，家具家电齐全，万达旁，不临街，不把边。,富强路十九号 -万达,2室1厅 | 70平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,54,"7,715元/平"
房主急售    南北通透 户型   随时看房入住,通顺东二区 -通顺,2室1厅 | 75平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,30,"4,000元/平"
不吃差价，不收返费，精装修，有钥匙，看房方便。,友谊大街27号街坊 -广汇,2室2厅 | 53.82平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,42,"7,804元/平"
惠民小区 步梯三楼 坐北朝南 采光好 看房方便,惠民小区(昆都仑区) -包百,3室2厅 | 103.22平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,27人关注 / 一年前发布,78,"7,557元/平"
人民公园一楼  精装修 采光好 拎包入住,康乐小区(东河区) -西脑包,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,38,"5,847元/平"
华天云居 精装修 包百商圈 有本配贷,华天云居 -广汇,2室2厅 | 89.88平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,7人关注 / 7个月以前发布,64.8,"7,210元/平"
不吃差价，不收反费，东方花园 包百商圈 交通便利,东方花园 -包百,2室1厅 | 75平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,9人关注 / 10个月以前发布,56,"7,467元/平"
楼层好 地段好 户型好 采光充足,熙华公寓 -钢四小,2室1厅 | 73平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,99,"13,562元/平"
此房房本满两年，电梯高楼层采光视野好，业主诚心出售,中晟华悦 -鹿港小镇,2室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,90,"7,827元/平"
山水佳苑 步梯2楼有房本 中间位置 毛坯三居室 康复路,山水佳苑 -东大桥,3室2厅 | 130.6平米 | 北 南 | 毛坯 | 低楼层(共6层)  | 板楼,15人关注 / 一年前发布,65,"4,978元/平"
火车站 慧谷家园 边户 明卫 简装 有本满5年 带小院,慧谷佳园 -包头站,2室1厅 | 77平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,53,"6,884元/平"
昆区 乐园商圈 保利拉菲精装拎包入住,保利拉菲公馆 -东亚,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共14层)  | 塔楼,17人关注 / 一年前发布,104,"8,388元/平"
不吃差价 不收返费 房位于植物园和小公园旁,团结大街8号街坊 -阿尔丁植物园,2室1厅 | 68.54平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,48,"7,004元/平"
少先22  楼层好 位置佳 出行方便,少先路22号街坊 -106小商品城,2室1厅 | 62.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,70,"11,273元/平"
边防佳苑  毛坯 中间楼层  南北通透,边防佳苑 -保利,3室2厅 | 134.24平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,6人关注 / 3个月以前发布,87,"6,481元/平"
不吃差价不收返费青17街坊3楼精装60平诚心出售随时看,青年17 -恰特,2室1厅 | 59.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,44,"7,408元/平"
业主诚意出售，小区绿化好，停车方便，看房方便,北梁新区北八区 -北梁新区,1室1厅 | 51平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,15.5,"3,040元/平"
吾悦旁 新星美地 洋房 步梯3室双阳卧 拎包住,新星美地 -内蒙古科技大学,3室2厅 | 119.6平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,40人关注 / 一年前发布,95,"7,944元/平"
南北通透格局，采光好，视野开阔交通便利，精装修等。,鹿港小镇 -鹿港小镇,2室2厅 | 87.88平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,68,"7,738元/平"
阿北 四楼 随时看房 随时看房,阿尔丁小区 -包头乐园,2室2厅 | 82.33平米 | 南 西 北 | 精装 | 中楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,76,"9,232元/平"
不吃差价，不收返费，包百商圈 配套齐全 采光好,钢38街坊 -包钢设计院,2室0厅 | 46.18平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,33,"7,146元/平"
繁华地带，居住方便，8楼采光充足，无遮挡，2室,东方花园 -包百,2室1厅 | 75.18平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,53,"7,050元/平"
合志家园  8楼  毛坯房  全天采光 无遮挡,合志家园 -二机二中双学区,2室2厅 | 91.36平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,0人关注 / 4个月以前发布,98,"10,727元/平"
青松小区房主全新装修照片还未更新，,青松小区 -阿尔丁植物园,2室1厅 | 60平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,48.2,"8,034元/平"
不吃差价 不收返费 万达小区 二室 全明格局 中高楼层,万达广场 -万达,2室2厅 | 120.1平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,19人关注 / 一年前发布,108,"8,993元/平"
不吃差价，不收返费，民馨一区精装修四楼,民馨家园一区 -民馨家园,2室1厅 | 68平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,37,"5,442元/平"
青年路七号街坊房东急售格局采光好,青年路七号街坊 -包二十九中,2室1厅 | 55平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,5人关注 / 一年前发布,76,"13,819元/平"
中建御澜世家 中间楼层 采光好 视野好,中建御澜世家 -中建御澜世家,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,75,"8,334元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,中国铁建景晟开元 -九原区,3室2厅 | 152平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,10人关注 / 10个月以前发布,133.76,"8,800元/平"
精装修，电梯四楼，小区中间位置，采光无遮挡,鹿港小镇 -鹿港小镇,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 7个月以前发布,67,"7,883元/平"
万郡大都城 毛坯 三期 可办本,万郡大都城 -万郡,3室2厅 | 130.26平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,98,"7,524元/平"
人车分流， 有充足的车位， 停车方便，交通便,龙藏新城兴瑞苑 -乔家金街,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"5,667元/平"
高新区 鹿港小镇 出门就是锦绣公园 高新一中,鹿港小镇 -鹿港小镇,2室2厅 | 90平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,3人关注 / 10个月以前发布,66,"7,334元/平"
