标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
楼层好。视线佳，价格美丽，总价低,水岸莲华 -八里湖,2室2厅 | 99.37平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,68,"6,844元/平"
配套齐全，两大公园，品质住宅，匠心巨献，楼栋位置好,中奥天悦湾三期 -柴桑区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,52.5,"4,953元/平"
户型方正，楼层好，精装修拎包入住,联发碧桂园·天璞 -八里湖,3室2厅 | 116.63平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,128,"10,975元/平"
快乐城旁联泰万泰城毛坯大三房。,联泰万泰城二期 -快乐城,3室2厅 | 120平米 | 南 | 毛坯 | 32层  | 板塔结合,1人关注 / 6个月以前发布,105,"8,750元/平"
十一中旁 湖滨片区 装修保养好 三房 拎包入,都市桃源 -甘棠公园,3室2厅 | 100.5平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,129,"12,836元/平"
一中旁   庐山林语   房东诚心出售,保利庐山林语 -南山,3室2厅 | 105.55平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 27天以前发布,57,"5,401元/平"
贵和小区 3室2厅 南,贵和小区 -开发区,3室2厅 | 71平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 29天以前发布,44,"6,198元/平"
长虹大道 工商银行宿舍  单价5000多 带储藏室 低首付,工商银行宿舍（长虹大道） -万达,3室2厅 | 128.49平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,65,"5,059元/平"
此房满二，原房东精装修一线江景房 交通便利  繁华地,滨江现代城 -四码头,3室2厅 | 151平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 29天以前发布,145,"9,603元/平"
此房子通透房型 采光好 产权齐全,中航城 -八里湖,3室2厅 | 113.47平米 | 北 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,115,"10,135元/平"
出门就是甘棠湖 70年住宅 居家精装 好小区 拎包入住,东盟城中城 -湖滨,1室1厅 | 31.92平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,5人关注 / 5个月以前发布,20,"6,266元/平"
湖滨分校三中 交通方便 小区好停车 中间楼层,天福花园 -甘棠公园,3室2厅 | 107.35平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,74.5,"6,940元/平"
滨江凯旋城，房东成本价诚心出售，好房源好楼层好户型,滨江凯旋城 -开发区,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,89.9,"7,369元/平"
南山公园旁，小区环境好出门方便,怡嘉苑-南区 -南山,2室2厅 | 66平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,10人关注 / 3个月以前发布,32,"4,849元/平"
浔阳区 虹能小区中间楼层 正规三房 随时看房,虹能小区 -湖滨,3室1厅 | 61.84平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,87,"14,069元/平"
诚心出售，高楼层视野好。适合一家人居住,民生·瞰江郡 -开发区,3室2厅 | 108.69平米 | 南 | 简装 | 高楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,68,"6,257元/平"
业主诚意出售，满两年，俩房朝南，观澜盛世 北区,观澜盛世北区 -开发区,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 11个月以前发布,97,"7,186元/平"
交通便利高楼层视野采光好生活方便配套齐全,中辉学府 -万达,3室2厅 | 100.7平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板塔结合,1人关注 / 5个月以前发布,88,"8,739元/平"
带地下车位，三居室，采光好，带大露台。,九颂山河锦园 -柴桑区,3室2厅 | 89.14平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 平房,0人关注 / 一年前发布,41.8,"4,690元/平"
十里浔海花园，房东全新装修，中间楼层，带家具家电,浔海花园 -十里,3室2厅 | 108.56平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,68.6,"6,320元/平"
万达商圈，配套齐全，小区环境好，楼层好，纯毛坯,中茂铂宫 -万达,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,36人关注 / 一年前发布,82,"6,457元/平"
九方商圈  业主诚心出售 满两年  中间楼层  采光好,保利中航城三期 -八里湖,3室2厅 | 87.92平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 7个月以前发布,87,"9,896元/平"
"本房位置好，生活,工作,学习都很方便，",东方佳园 -湖滨,3室2厅 | 111.51平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 3个月以前发布,135,"12,107元/平"
"本房位置好，生活,工作,学习都很方便，",东方佳园 -湖滨,2室1厅 | 56平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,82,"14,643元/平"
万达旁，柏林印象花园洋房，通透户型，满2年,柏林印象 -万达,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 1个月以前发布,96,"8,422元/平"
瑞景、尚品苑电梯好楼层、原房东装修、住的很少,瑞景新城 -柴桑区,3室2厅 | 106.18平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,62,"5,840元/平"
快乐城商圈 房子采光好，装修好 随时可签。,民生·瞰江郡 -开发区,4室2厅 | 122.8平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,14人关注 / 一年前发布,83.6,"6,808元/平"
正规三房，朝南户型，楼层好，适合居住,湖滨小区东区 -湖滨,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,148,"13,215元/平"
联泰万泰城二期 南北通透 好楼层 税费低 价格可谈,联泰万泰城二期 -快乐城,3室2厅 | 126.06平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,105,"8,330元/平"
房东诚心出售 三房 商圈好 地段好 出行方便,中航城 -八里湖,3室2厅 | 111.32平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,96,"8,624元/平"
万达旁，柏林印象精装三房便宜卖，满两年,柏林印象 -万达,3室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,18人关注 / 7个月以前发布,60.8,"7,507元/平"
步行（三）中对（面），正规三房,钻石名苑 -甘棠公园,3室2厅 | 113.66平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,78,"6,863元/平"
九江学院教工宿舍房东诚心出售交通方便,九江学院教工一村 -万达,3室1厅 | 67.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,8人关注 / 一年前发布,43,"6,371元/平"
国豪景畔湾 满五唯一 诚意出售  随时看房 精装,国豪景畔湾 -开发区,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,103,"8,584元/平"
此房满五，地段好，楼层好，通透格局，环境优美,浔阳东路53号 -大中大,3室2厅 | 68.56平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,100,"14,586元/平"
融创政务壹号，车位，房东诚心急售,融创政务壹号 -八里湖,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,145,"12,609元/平"
八里湖市政府旁！3房！视野开阔！楼层好！房东急售,中梁首府 -八里湖,3室2厅 | 105.71平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,6人关注 / 11个月以前发布,108,"10,217元/平"
户型好，配套设施齐全，交通便利，人车分流,联泰万泰城二期 -快乐城,3室2厅 | 128平米 | 南 | 毛坯 | 33层  | 板楼,3人关注 / 4个月以前发布,105,"8,204元/平"
南山公园旁，读书就近，拎包入住，请联系维护人。,优品尚城 -万达,3室2厅 | 111.83平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,97,"8,674元/平"
八里湖政府旁边 碧桂园浔阳府三房 中间楼层,碧桂园联发浔阳府 -八里湖,3室2厅 | 116.61平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 8个月以前发布,101,"8,662元/平"
。没有占用，交通购物方便出行.湖边散步,湖滨路11号邮电宿舍 -湖滨,2室1厅 | 61平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,86,"14,099元/平"
万达旁，花园洋房，精装修带家具，中间楼层,阳光100小区 -万达,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,69,"6,700元/平"
八里湖商圈湖景正规小两房物业管理好,怡景苑小区 -八里湖,2室1厅 | 71平米 | 南 | 简装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,49,"6,902元/平"
浔阳江畔 江景房 楼层好大3房前后视野好,浔阳江畔 -白水湖,3室2厅 | 138.6平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,88,"6,350元/平"
房子真实在售 急急急 复式楼，看房提前联系。,华龙·莱茵美郡 -万达,3室1厅 | 65.29平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 1个月以前发布,49,"7,505元/平"
包含12万家具家电，真正拎包入住。,民生·瞰江郡 -开发区,3室2厅 | 96.7平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,69.8,"7,219元/平"
房子真实在售 户型方正 新 双峰 旁 看房随时。,极地·盛世名都 -南山,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,92,"8,519元/平"
双语 精装小三房 钥匙在手看房方便 满2年 诚意出售,九龙世纪城 -开发区,3室2厅 | 97.55平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,9人关注 / 一年前发布,70,"7,176元/平"
柴桑春天旁电梯中层德晟豪庭大通透两房,德晟豪庭 -快乐城,2室1厅 | 93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,66,"7,097元/平"
怡景苑标准二房采光好可看湖开发商精装修,怡景苑小区 -八里湖,2室2厅 | 63.7平米 | 北 | 简装 | 高楼层(共30层)  | 塔楼,3人关注 / 6个月以前发布,47.5,"7,457元/平"
盛世名都南北通透三房洋房 靠南山公园 毛坯可自主装修,极地·盛世名都 -南山,3室2厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 暂无数据,15人关注 / 一年前发布,98,"8,449元/平"
八里湖市政府旁，奥林匹克花园，精装修小三房，满二年,中体奥林匹克花园 -八里湖,3室2厅 | 88.84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,19人关注 / 10个月以前发布,85,"9,568元/平"
八里湖市政府旁，奥林匹克花园，精装修小三房，满二年,中体奥林匹克花园 -八里湖,3室2厅 | 88.84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,19人关注 / 10个月以前发布,85,"9,568元/平"
距三中300米距离 进出方便 阳光视野好 南北朝向大.,富华苑 -甘棠公园,2室2厅 | 84.3平米 | 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,60,"7,118元/平"
柴桑春天三区精装两房可拎包入住,新湖·柴桑春天三区 -快乐城,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,7人关注 / 5个月以前发布,87.5,"9,832元/平"
海杨新苑  欢乐城商圈满五不唯一,海扬新苑 -开发区,2室2厅 | 59.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,33.9,"5,660元/平"
南山公园  奥克斯 精装三房  户型好  诚心出售,奥克斯缔壹城 -南山,3室2厅 | 91平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,78,"8,572元/平"
急售好房！！！优品精装花园洋房 房东诚心出售。,优品尚城 -万达,3室2厅 | 104.31平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,88.8,"8,514元/平"
八里湖 绿地lcc 满2 精装 拎包入住,绿地ICC大都会 -八里湖,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,6人关注 / 8个月以前发布,78,"7,359元/平"
此房满五不唯一，税费低。地理位置好,光华小区 -大中大,2室2厅 | 71.03平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,30.5,"4,294元/平"
恒大全新小区精装三房中间楼层采光视野优良,恒大江湾珑庭 -开发区,3室2厅 | 94.26平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,76.5,"8,116元/平"
东区位置挺好的 ，户型好，采光好，,湖滨小区东区 -湖滨,3室2厅 | 103.13平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,148,"14,351元/平"
此房户型方正，正规三房，楼层好，适合三代居住,湖滨小区东区 -湖滨,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,148,"14,369元/平"
江州府房东诚心出售，价格可谈.,碧桂园江州府 -八里湖,3室2厅 | 120平米 | 北 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,125,"10,417元/平"
海扬新苑 兴中 六中 随时可看  小三房,海扬新苑 -开发区,3室1厅 | 71平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,53.8,"7,578元/平"
甘棠公园，沃尔玛，火车站，阳光国际,湖滨小区南区 -湖滨,4室2厅 | 101平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,150,"14,852元/平"
柴桑春天房东诚意出售户型好，鹤湖,柴桑春天二区 -快乐城,2室2厅 | 102平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,110,"10,785元/平"
九瑞大道，快乐城，购物方便，好楼层,大润发广场 -快乐城,3室2厅 | 122.3平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,91.5,"7,482元/平"
幸福里洋房带电梯 南北通透  另外由于车位5万,幸福里二期 -甘棠公园,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,2人关注 / 10个月以前发布,130,"12,622元/平"
南看一线湖景房北看江景楼层好采光好,观澜盛世 -开发区,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,15人关注 / 一年前发布,138.5,"10,573元/平"
快乐城商圈 海扬新苑 电梯房精装两房采光十足随时看房,海扬新苑 -开发区,2室2厅 | 77.15平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 2个月以前发布,55,"7,129元/平"
半山溪谷小高层，三房两厅两卫出售，,半山溪谷 -莲花,3室2厅 | 88.24平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,53,"6,007元/平"
位于恒大江湾陇庭，瞰江郡，精装三房，楼层采光好,望江天悦 -开发区,3室2厅 | 88.85平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,14人关注 / 一年前发布,63,"7,091元/平"
八里湖低密度高档小区全明大三房，户型通透，视野好,融创政务壹号 -八里湖,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,2人关注 / 11个月以前发布,142,"11,360元/平"
此房满五，户型方正，利用空间大。采光好,工商银行宿舍 -新桥头,2室1厅 | 54.84平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,29,"5,289元/平"
非顶楼！低首付急卖！三医院国棉四厂新装修带全屋家私,昌龙花园 -快乐城,3室2厅 | 85平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,6人关注 / 8个月以前发布,48,"5,648元/平"
中奥品质房源  三房毛坯 通风好 采光好,中奥天悦湾三期 -柴桑区,3室2厅 | 120.25平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,67,"5,572元/平"
谢家垅安置小区 3室2厅 南,谢家垅安置小区 -万达,3室2厅 | 92平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,59.8,"6,500元/平"
浔阳公馆 3室2厅 楼层好  户型方，配套齐全,九江富力浔阳公馆 -白水湖,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,92,"7,667元/平"
满五唯一，中装拎包入主，采光好正规三房,行署大院中区 -和中广场,3室2厅 | 99.01平米 | 北 南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,155,"15,655元/平"
户型方正 南北通 阳光充足 人车分流南山公园走路,奥克斯缔壹城 -南山,3室1厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,78,"7,290元/平"
房子满五唯一，原房东精装修，户型方正。,远洲·九悦廷 -万达,3室2厅 | 79.4平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 1个月以前发布,74.9,"9,434元/平"
八里湖精装修三房楼层好视野开阔精装修拎包入住,水岸莲华 -八里湖,3室2厅 | 99.18平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,80,"8,067元/平"
