标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
户型好 小区环境好 高铁站边 房东急售 看房方便,西湖绿洲城三期 -菱北,3室2厅 | 101.44平米 | 南 北 | 其他 | 低楼层(共13层)  | 板楼,10人关注 / 一年前发布,70,"6,901元/平"
西湖二期，三房两卫 ，全明户型，视野开阔，阳光充足,西湖绿洲城二期 -菱北,3室2厅 | 123.66平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,3人关注 / 一年前发布,80,"6,470元/平"
恒禾东尚/弘扬广场，七街成熟小区，三房，欢迎咨询,恒禾东尚 -大桥,3室2厅 | 116.74平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,92,"7,881元/平"
此房楼层适宜，格局好，每个功能间都有窗户···,恒禾东尚 -大桥,3室2厅 | 109.6平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,66.6,"6,077元/平"
逸龙新河湾 毛坯 大3房 阳光好 有钥匙,逸龙新河湾 -龙狮桥乡,3室2厅 | 127.23平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,1人关注 / 14天以前发布,128,"10,061元/平"
永安公馆 3室2厅 南,永安公馆 -大桥,3室2厅 | 125.1平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,105,"8,394元/平"
北部新城  成熟小区  新城名都,新城名都 -北部新城,3室2厅 | 122.69平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,73,"5,950元/平"
东部新城地段，生活便利环境优美,新城吾悦华府一期 -新河,3室2厅 | 110.74平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 6个月以前发布,94,"8,489元/平"
房龄新 电梯房税费低  采光好视野开阔,和谐佳苑 -菱北,3室1厅 | 109.5平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 板楼,0人关注 / 11天以前发布,55,"5,023元/平"
户 型 方 正，视野开阔，生活方便,棋盘山工具厂宿舍 -新河,2室2厅 | 84.69平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 4天以前发布,53,"6,259元/平"
房主忍痛出售，配套设施完善，交通便利。,西湖绿洲城三期 -菱北,3室2厅 | 129.49平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,4人关注 / 11个月以前发布,77,"5,947元/平"
此房满二年，中间楼层户型方正，小区环境优美。,书香一品南园 -大桥,4室2厅 | 149.23平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,103,"6,903元/平"
回祥西村 2室1厅 南,回祥西村 -菱北,2室1厅 | 61平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 5天以前发布,42.8,"7,017元/平"
户型方正，采光好，中间楼层.3室，两房朝南,墨子巷 -宜城路,3室1厅 | 72.41平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,70,"9,668元/平"
东方丽景，精装三房2卫，架空一楼，报价100万,东方丽景花园 -新河,3室1厅 | 118.15平米 | 南 | 简装 | 低楼层(共6层)  | 平房,9人关注 / 7个月以前发布,86,"7,279元/平"
此房地段好，户型优，中间楼层，生活出行方便,滨江苑社区 -玉琳路,3室1厅 | 81.1平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98.8,"12,183元/平"
新一中旁   大地凤凰城   成熟小区,大地凤凰城 -北部新城,3室2厅 | 114.8平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,45,"3,920元/平"
房东诚心出售，户型方正，满二税少,恒禾东尚 -大桥,3室2厅 | 108.29平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,2人关注 / 4个月以前发布,72,"6,649元/平"
电校南苑中间楼层  房主诚心出售 小区停车方便,热电路19号 -德宽路,2室1厅 | 73.02平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,39.8,"5,451元/平"
一线湖景，三房，视野好，全天采光,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 平房,0人关注 / 25天以前发布,75,"6,303元/平"
中间楼层，自己精装家具家电齐全，满5唯一，位置佳,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共28层)  | 平房,0人关注 / 19天以前发布,67,"6,908元/平"
江花小区 中间楼层 业主诚心出售 看房提前预约,江花小区 -人民路,3室2厅 | 98.41平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,78,"7,927元/平"
祥和南苑 3室1厅 南,祥和南苑 -大桥,3室1厅 | 89.8平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 7天以前发布,52,"5,791元/平"
碧桂园1号公园 业主加装大三房 采光很好 户型正,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.23平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 9个月以前发布,69,"6,204元/平"
山水云间精装三房 一楼带院子 花园面积240平 满五唯一,碧桂园山水云间 -龙狮桥乡,3室2厅 | 122.27平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 1个月以前发布,105,"8,588元/平"
新河景观带 铂金楼层  户型方正 阳光好 看房方便,雨润香水百合 -龙狮桥乡,2室2厅 | 92.27平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,92,"9,971元/平"
华棋小区    两室二厅  精装   繁华地段,华棋小区 -新河,2室2厅 | 86.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,59,"6,847元/平"
房东诚心出售，精装修，拎包入住，急售,恒大绿洲 -龙狮桥乡,2室2厅 | 85.69平米 | 南 北 | 精装 | 30层  | 板塔结合,0人关注 / 1个月以前发布,67.8,"7,913元/平"
北正街 厚味小厨楼上 带200平方的花园 八佰伴,北正街 -龙山路,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,100,"7,576元/平"
碧桂园1号公园  中间楼层  精装拎包入住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112.19平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,82,"7,310元/平"
绿地好房出售，交通便利，生活方便,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 93.5平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,62,"6,632元/平"
小二郎巷，架空一楼，建10平厨房，另有15平院子。,小二郎巷 -宜城路,2室1厅 | 65.64平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,52.3,"7,968元/平"
2楼楼层户型 采光好精装家具齐全  就学路近,建设路 -宜城路,2室1厅 | 60.81平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,47.8,"7,861元/平"
棋盘山与华中路交叉口处 三楼 户型规整,棋盘山路30号 -新河,2室1厅 | 71.38平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 12天以前发布,55.8,"7,818元/平"
别墅好房，户型端正，有大院子可养花,碧桂园山水云间 -龙狮桥乡,4室1厅 | 231平米 | 南 北 | 精装 | 4层  | 板楼 | 联排别墅 ,8人关注 / 7个月以前发布,259,"11,213元/平"
开发区菱建小区131平 单价4800 证满 诚意出售 菱北边,菱建小区 -菱北,3室2厅 | 130.92平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 8个月以前发布,65,"4,965元/平"
业主急售 证满五年 院zi大  xiao学人民路,锦江花园 -人民路,3室2厅 | 110.78平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,80.8,"7,294元/平"
集贤花苑小区5楼，非顶楼，证满空户，厅通阳台,集贤花苑 -菱湖,2室2厅 | 86.54平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,52,"6,009元/平"
滨江苑社区   2居室   可看江景  可拎包即住,滨江苑社区 -玉琳路,2室1厅 | 50.37平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,55,"10,920元/平"
龙山路蝴蝶酒店旁，南北通透格局，采光充足，房龄新,荣升街 -龙山路,2室1厅 | 58.28平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,40.8,"7,001元/平"
戏校南路1楼，有院好养花，户型南北通透,戏校南路 -菱湖,2室1厅 | 75.32平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,55,"7,303元/平"
配套齐全，人民路步行街，位置好,吕八街 -宜城路,2室1厅 | 61.97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,54,"8,714元/平"
小面积，二楼，两室或三室，西边有平台。,大南门街 -宜城路,2室1厅 | 50.38平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,46.5,"9,230元/平"
一楼两室一厅，带院子，南北通透,永胜小区 -华中路,2室1厅 | 63.94平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,49,"7,664元/平"
二楼，南边双阳台，北边一阳台，两室,滨江苑社区 -玉琳路,2室1厅 | 63.06平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,76.8,"12,179元/平"
高崎和四 中 的房子，学 籍 空，随时挂户，离校区近。,龙门小区 -玉琳路,1室1厅 | 31.85平米 | 北 | 简装 | 中楼层(共8层)  | 板楼,18人关注 / 一年前发布,45,"14,129元/平"
精装保养好，诚心出售，看房方便，房东自己住,御景国际 -华中路,3室2厅 | 123.04平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,130,"10,566元/平"
后围墙 龙山路 四楼  二室二厅改三房 也行,龙山路 -宜城路,3室1厅 | 67.82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,4人关注 / 10个月以前发布,55,"8,110元/平"
房子满五唯一的，电梯洋房中间楼层,嘉禾园 -大桥,3室1厅 | 121.63平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,92,"7,564元/平"
一楼带院子，全天采光，好停车。,新世纪花园 -新河,4室1厅 | 176.75平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,126.9,"7,180元/平"
七街商圈品质小区，采光刺眼，户型方正通透，带车位。,逸龙湾 -大桥,3室2厅 | 129.34平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,112,"8,660元/平"
采光好  二楼楼层 平台多一个房间,龙狮桥商贸城 -新河,3室2厅 | 77.56平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,49.8,"6,421元/平"
一中对门，上学方便，全明户型，房东诚意出售！,龙门口街 -玉琳路,3室2厅 | 91.57平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,5人关注 / 8个月以前发布,71,"7,754元/平"
近圣社区 2室1厅 南,近圣社区 -龙山路,2室1厅 | 56.61平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,83.8,"14,804元/平"
低市场价5万，中间好楼层，户型方正，业主诚心卖,大发宜景城四期 -龙狮桥乡,2室2厅 | 83.5平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,51,"6,108元/平"
康熙左岸优质房源........,置地康熙左岸 -龙狮桥乡,3室2厅 | 129.24平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,11人关注 / 10个月以前发布,128,"9,905元/平"
左岸洋房，看房方便，房东诚意出售。,置地康熙左岸 -龙狮桥乡,3室2厅 | 104.67平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,21人关注 / 一年前发布,111.8,"10,682元/平"
万达隔壁 余桥电梯两房 户型方正 交通便利 看房方便,余桥新村东区 -龙狮桥乡,2室2厅 | 93.5平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,11人关注 / 7个月以前发布,36.5,"3,904元/平"
滨江品质小区 毛坯四房 通透全明户型 不临街观江景,置地·皖江府 -龙狮桥乡,4室2厅 | 132.29平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 8个月以前发布,118.6,"8,966元/平"
碧桂园凤凰湾，南北通透，飞机户三房，满2年,碧桂园凤凰湾 -龙狮桥乡,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共18层)  | 平房,0人关注 / 2个月以前发布,96,"8,068元/平"
大发四期 毛坯三房 中间楼层双阳台 满二 有钥匙随时看,大发宜景城四期 -龙狮桥乡,3室2厅 | 111.12平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,63,"5,670元/平"
"楼栋位置佳，视野开阔，采光充足,中上楼层",碧桂园1号公园 -龙狮桥乡,3室1厅 | 110.78平米 | 南 | 简装 | 中楼层(共30层)  | 板楼,1人关注 / 3个月以前发布,66.8,"6,030元/平"
2019年新高档社区，逸龙新河湾，含车位，新河公园旁,逸龙新河湾 -龙狮桥乡,3室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,4人关注 / 6个月以前发布,113.6,"10,717元/平"
大发4期 全新装修 3房 拎包入住 钥匙在手随时看房,大发宜景城四期 -龙狮桥乡,3室1厅 | 110.97平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,88,"7,931元/平"
户型方正，房东自住装修，品牌家具家电，拎包即住,碧桂园1号公园 -龙狮桥乡,3室1厅 | 112平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,9人关注 / 6个月以前发布,72.6,"6,483元/平"
和平苑一期小高层，全天采光，视野开阔 户型方正,和平苑小区 -老峰镇,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,35,"3,724元/平"
一号公园，精装江景三房，全天采光，户型方正,碧桂园1号公园 -龙狮桥乡,3室2厅 | 87.17平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 7个月以前发布,55.6,"6,379元/平"
滨江CBD 飞机户  人车分流  中间楼层,置地皖江四季 -龙狮桥乡,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,115,"9,056元/平"
此房上下复式 采光好 户型方正 ，带平台,叶祠南苑 -大桥,4室2厅 | 128平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 5个月以前发布,45,"3,516元/平"
碧桂园一号公园 中间楼层 精装修 满二 高档小区 急售,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,9人关注 / 一年前发布,59.8,"6,165元/平"
万达旁，双公园，全新毛坯，含车位,天下名筑 -老峰镇,3室2厅 | 100.3平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,62.8,"6,262元/平"
绿地四期卢浮公馆 3室1厅 南,绿地四期卢浮公馆 -龙狮桥乡,3室1厅 | 121平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,104,"8,596元/平"
1号公园毛坯三房 全南向阳 满两年 中层 自由发挥装修,碧桂园1号公园 -龙狮桥乡,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,55,"5,671元/平"
毛坯三房，全新未入住，中间楼层，采光佳,碧桂园1号公园 -龙狮桥乡,3室2厅 | 96.11平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 6个月以前发布,55,"5,723元/平"
精装电梯房  税费低  采光好  视野开阔,九华小区 -菱北,3室2厅 | 105平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 29天以前发布,58,"5,524元/平"
新一中旁   北城秀里      成熟小区,北城秀里 -北部新城,4室2厅 | 127.73平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 24天以前发布,75,"5,872元/平"
房屋户型方正，布局合理采光好，日照时间长，视野好,大二郎巷 -宜城路,3室1厅 | 77.7平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 19天以前发布,81.7,"10,515元/平"
此房，南，北，通，透，户型端正，随时看房。,迎宾路西小区 -菱北,3室1厅 | 89平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,40,"4,495元/平"
同庆北苑小区位置好装修好交通便利,同庆小区北苑 -大桥,3室1厅 | 77.85平米 | 东南 | 精装 | 6层  | 板楼,0人关注 / 29天以前发布,57.8,"7,425元/平"
通和别院，电梯房，中间楼层采光视野无遮挡，房东急售,通和别院 -菱北,3室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 21天以前发布,76,"6,334元/平"
房子是精装2室2厅的，采光好，视野佳,朝阳小区 -大桥,2室2厅 | 73平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,45.8,"6,274元/平"
大润发边新精装房 绿地四期新上好房,绿地四期卢浮公馆 -龙狮桥乡,1室1厅 | 45平米 | 东南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 21天以前发布,16.5,"3,667元/平"
位置佳，前无遮挡，14中间楼层幼儿园边上,红旗小区 -新河,2室1厅 | 71.61平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 26天以前发布,58.8,"8,212元/平"
好房推荐 迎江府 通透小户型板楼低公摊电梯洋房,迎江府 -人民路,2室2厅 | 64.4平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 16天以前发布,59.9,"9,302元/平"
市区好房 电梯两室 坐北朝南 繁华地段,迎江府 -人民路,2室1厅 | 69.6平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 16天以前发布,69.5,"9,986元/平"
户型好 小区环境好 光彩商圈 房东急售 看房方便,西湖绿洲四期 -菱北,2室2厅 | 83.52平米 | 南 北 | 毛坯 | 低楼层(共14层)  | 板楼,5人关注 / 一年前发布,50,"5,987元/平"
户型方正 有一个很大的院子 满五唯一,花亭新村 -花亭,2室1厅 | 62.2平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 15天以前发布,46.5,"7,476元/平"
此房为东边大三房采光充足房东诚心卖保养好配套齐全,嘉禾至尊 -大桥,3室1厅 | 101.24平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 11个月以前发布,72,"7,112元/平"
