标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
宜化新天地 满五唯一 精装修 采光好,宜化新天地 -中南路,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,89,"7,740元/平"
可看江，配套齐全，小区环境好，房东诚心出售,城中半岛 -五一广场,3室2厅 | 90.17平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,66,"7,320元/平"
万豪公园里 毛坯三房 好楼层 业主急售,万豪公园里 -五一广场,3室1厅 | 102.36平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,63,"6,155元/平"
"户型方正,采光好。处于中间楼层,视野开阔一线正江景",中建宜昌之星东区 -五一广场,3室2厅 | 127.92平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,5人关注 / 8个月以前发布,115,"8,990元/平"
五一广场 江山多娇三期 边户三房 公摊低  户型方正,江山多娇三期 -五一广场,3室2厅 | 91.7平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,86,"9,379元/平"
五一广场旁，毛坯江景房，业主诚心出售,东辰心语 -中南路,3室2厅 | 92.14平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,68.8,"7,467元/平"
东站门户 碧桂园公园壹号精装3房,碧桂园公园壹号 -东站,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,72.5,"6,972元/平"
东站旁  带家具家电三房两卫 中间楼层 拎包入住,碧桂园公园壹号 -东站,3室2厅 | 102.81平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 1个月以前发布,93,"9,046元/平"
业主诚心出售，户型方正，中间好楼层，临江，正江景,中建宜昌之星C区 -五一广场,4室2厅 | 169.7平米 | 南 | 毛坯 | 低楼层(共43层)  | 板塔结合,6人关注 / 一年前发布,150,"8,840元/平"
江山多娇二期 3室2厅 南,江山多娇二期 -五一广场,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,86,"7,890元/平"
东站旁物流园品质小区精装三房两卫诚心出售,融创·宏泰·融公馆 -东站,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,75,"7,010元/平"
江山风华 江景顶楼复式 带大露台  有钥匙看房方便,江山风華 -中南路,3室3厅 | 200平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,56人关注 / 一年前发布,123,"6,150元/平"
东站旁 梧桐邑 满五唯一毛坯三房 看房有钥匙 急售,华鹏梧桐邑 -东站,3室2厅 | 125.92平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,71,"5,639元/平"
龙盘湖毛坯大三房，诚心出售，看房方便,中铁龙盘湖世纪山水 -东站,3室2厅 | 104.03平米 | 西南 | 毛坯 | 中楼层(共32层)  | 板楼,10人关注 / 一年前发布,58,"5,576元/平"
梧桐邑 此房满二 税费低，带入户花园 单价便宜证在手,华鹏梧桐邑 -东站,3室2厅 | 129.39平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,5人关注 / 4个月以前发布,69.8,"5,395元/平"
万科理想城 3室1厅 东南,万科理想城 -夷陵区,3室1厅 | 96平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 15天以前发布,65,"6,771元/平"
优质两居 价格美丽 户型方正 有钥匙  产权清晰,飞鹤花园 -体育场,2室2厅 | 91.3平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,82,"8,982元/平"
水悦城 北辰港湾 92平三房  仅售69万,北辰港湾B区 -未知商圈,2室2厅 | 92.25平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,69,"7,480元/平"
北辰明珠  毛坯三房房  高楼层  采光好 总价低,北辰明珠 -东山开发区,3室2厅 | 101.98平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,32人关注 / 一年前发布,63,"6,178元/平"
清江瑞景3室毛坯，江景房，户型方正。,清江瑞景 -长阳土家族自治县,3室2厅 | 105.5平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板楼,3人关注 / 一年前发布,57.8,"5,479元/平"
无石山庄六连体毛坯上下两层复式楼出售,无石山庄 -夷陵区,4室2厅 | 222.68平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,98,"4,401元/平"
上上城品质洋房 带下沉花园 改动性大 有钥匙 诚心出售,上上城三期 -中南路,4室2厅 | 222.91平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,25人关注 / 一年前发布,180,"8,076元/平"
单价只要三千七的广厦街141.64平  三室两厅两卫,广厦街2号 -夷陵区,3室2厅 | 141.64平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,49.8,"3,516元/平"
恒大绿洲122平  单价6230元/平 有钥匙,恒大绿洲 -夷陵区,3室2厅 | 121.9平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,75,"6,153元/平"
急售！万达后花园，维多利亚港湾毛坯三房，中层，可谈,维多利亚港湾 -点军区,3室2厅 | 129.14平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,14人关注 / 一年前发布,72,"5,576元/平"
夷陵万达广场旁别墅区房东诚信出售,国宾壹号观澜园 -夷陵区,4室2厅 | 113.44平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 2个月以前发布,60,"5,290元/平"
水悦城商圈 央企品牌保利时代 军工品质 精装两室,保利时代 -东山开发区,2室2厅 | 84.18平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,29人关注 / 8个月以前发布,81,"9,623元/平"
长江市场商圈精装大两房53.8万拧包入住,长河湾 -夷陵区,2室2厅 | 81.87平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,18人关注 / 7个月以前发布,52,"6,352元/平"
发展大道清江润城四期精装两房 全明户型 小区环境好,清江润城四期 -夷陵区,2室2厅 | 76.26平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,52,"6,819元/平"
好房等你来！CBD 长岛小镇旁山庄花苑三楼  诚心出售,山庄花苑 -体育场,3室1厅 | 91.56平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,77,"8,410元/平"
上西坝 中装三房 二楼 钥匙房源房东委托 欢迎咨询,西坝路20号 -西坝,3室2厅 | 71.3平米 | 北 南 | 简装 | 低楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,36,"5,050元/平"
本房源单价低，业主不在宜昌，处理多余房产,锦绣兰亭 -葛洲坝,3室2厅 | 171.45平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,15人关注 / 11个月以前发布,105,"6,125元/平"
精装拎包入住，看房随时可以看 马上满二,长楹观邸 -中南路,3室2厅 | 91.47平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 7个月以前发布,77,"8,419元/平"
CBD商圈葛洲坝精装电梯三房，南北双阳台,锦绣嘉苑 -葛洲坝,3室2厅 | 116.65平米 | 南 北 | 简装 | 中楼层(共26层)  | 塔楼,2人关注 / 10个月以前发布,104,"8,916元/平"
带车位  全明户型房子很新    带入户花园,香山总部鑫苑 -东山开发区,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,3人关注 / 1个月以前发布,93,"7,323元/平"
海声嘉和苑 2室2厅 南,海声嘉和苑 -东山开发区,2室2厅 | 69.56平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,50,"7,189元/平"
新上 清风花园两房 精装修 未住  汕头路区,清风華園 -东山开发区,2室2厅 | 82.61平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 一年前发布,62.3,"7,542元/平"
CBD商圈 高品质小区   楼层好 视野好 精装修 拎包入住,锦绣华俯 -葛洲坝,3室2厅 | 130.85平米 | 西 | 精装 | 中楼层(共29层)  | 板楼,1人关注 / 6个月以前发布,165,"12,610元/平"
香山总部鑫苑毛坯大三房 带车位急售,香山总部鑫苑 -东山开发区,3室2厅 | 127.4平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,2人关注 / 2个月以前发布,79.9,"6,272元/平"
精装修未入住 中等楼层诚心出售,七一五小区 -体育场,2室2厅 | 47.43平米 | 东南 | 精装 | 中楼层(共7层)  | 塔楼,15人关注 / 5个月以前发布,41,"8,645元/平"
胜利四路 正规三房 全明户 全房暖气 隆六书包,胜利四路24号 -解放路,3室1厅 | 94平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,69.5,"7,394元/平"
城东公园旁边简装修两房步梯二楼养老自住皆适宜,碧翠苑小区 -杨岔路,2室2厅 | 74.91平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,41,"5,474元/平"
金家台7号两室一厅出售   精装,金家台小区 -解放路,2室2厅 | 84.6平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,52.7,"6,230元/平"
开发区  央企品牌 ，军工品质，边户三室，满二,保利时代 -东山开发区,3室2厅 | 114.23平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,95.7,"8,378元/平"
西陵区唐家湾片区香山总部鑫苑毛坯大三房 带车位,香山总部鑫苑 -东山开发区,3室2厅 | 126.95平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,80,"6,302元/平"
满五唯一税费低  精装修大三房 房东诚心卖房,云杰阁 -夷陵区,3室2厅 | 131.79平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,60,"4,553元/平"
解放路步行街 紫薇阁 精装修三房 拎包入住,紫薇阁 -CBD,3室1厅 | 125.19平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,139,"11,104元/平"
半山云庭精装修西陵区水悦城 环境好,半山云庭 -东山开发区,3室1厅 | 110.5平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 15天以前发布,85,"7,693元/平"
东山 水悦城 精装两居室  电梯中高层,半山云庭 -东山开发区,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 10天以前发布,65,"7,387元/平"
户型方正，采光好，通风效果好，交通便利，生活便利。,香山·福久源西区 -东站,2室2厅 | 92平米 | 东南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 10天以前发布,65,"7,066元/平"
清风华园 西陵区 开发区 精装修,清风華園 -东山开发区,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 13天以前发布,88,"7,587元/平"
兴发广场 4室2厅 南,兴发广场 -中南路,4室2厅 | 138.02平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 11天以前发布,145,"10,506元/平"
满五唯一 江景视野好  电梯小高层是适度高 低公摊,欧洲城 -CBD,3室1厅 | 140.64平米 | 南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 3天以前发布,190,"13,510元/平"
恒大名都 3室2厅 南,恒大名都 -夷陵区,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3天以前发布,77,"6,526元/平"
东山 水悦城  精装三居室7700/平 电梯高层 拎包入住,恒信中央公园 -东山开发区,3室1厅 | 94.36平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 5个月以前发布,72,"7,631元/平"
长江市场精装修三室两厅的电梯房,骏达梅珑镇 -夷陵区,3室2厅 | 98.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,50.8,"5,138元/平"
伍家岗 中南路 兴发广场 两梯两户 满五唯一 诚心出售,上善谷南区 -中南路,3室2厅 | 135.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,132,"9,754元/平"
水悦城八中旁怡景华园，边户朝南三房，物美价廉诚意售,怡景华园 -东山开发区,3室2厅 | 97.94平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,76,"7,760元/平"
都市田园 步梯房公摊小 带20平花园 装修两房 诚意出售,都市田園 -东站,2室2厅 | 80.77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,56,"6,934元/平"
三小一中旁满五唯一147平四房两厅两卫72万,夷兴七巷12号 -夷陵区,4室2厅 | 147.92平米 | 东南 西南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,66,"4,462元/平"
世纪阳光 2室1厅 南 北,世纪阳光 -中南路,2室1厅 | 79.1平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,66,"8,344元/平"
此房满五唯一，业主诚心出售，看房方便，随时可以签约,夷兴大道219号 -夷陵区,3室2厅 | 121.45平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,47.5,"3,912元/平"
五一广场 山水华庭全新装修 中间楼层 业主急售,山水华庭 -东站,3室2厅 | 97.73平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,6人关注 / 9个月以前发布,92,"9,414元/平"
正江景江畔大地 精装修未住 满二税费低户型通透采光好,江畔大地 -中南路,3室2厅 | 96.93平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,121,"12,484元/平"
香山铭苑  电梯精装3房带露台 出售,香山铭苑 -万达,3室2厅 | 101.01平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 2个月以前发布,87,"8,614元/平"
保利林语溪 精装修 中间楼层 水悦城,保利林语溪 -东山开发区,3室2厅 | 117.16平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,127,"10,840元/平"
小溪塔夷陵医院旁大三房出售，房东诚心出售,繁荣世家 -夷陵区,3室2厅 | 104.58平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,88,"8,415元/平"
吾悦广场旁沙河湿地公园商圈成熟拉菲小镇,弘洋拉菲小镇 -东山开发区,3室1厅 | 88.16平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,7人关注 / 8个月以前发布,66.5,"7,544元/平"
房子满五唯一 户型好 ....,畔山林语 -东山开发区,4室2厅 | 161.28平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,8人关注 / 5个月以前发布,125,"7,751元/平"
好房急售，满五唯一过户费用低，交通方便，新装电梯哟,丁家坝花园 -夷陵区,4室2厅 | 169.55平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"4,601元/平"
国贸 CBD商圈，地段优越 BRT公交站 出行便利,云集路 -CBD,2室1厅 | 73.21平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,10人关注 / 8个月以前发布,43,"5,874元/平"
无石山庄 4室2厅 东南,无石山庄 -夷陵区,4室2厅 | 222.31平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,7人关注 / 4个月以前发布,145,"6,523元/平"
东站旁 梧桐邑 精致两房 楼层好 满五年 诚心出售,华鹏梧桐邑 -东站,2室2厅 | 71.9平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 8个月以前发布,50,"6,955元/平"
电梯中层 水悦城旁 小两房户型正,海声嘉和苑 -东山开发区,2室1厅 | 72平米 | 东南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,50,"6,945元/平"
合益路万科城市之光旁精装修三房 拎包入住,正泰玫瑰园 -中南路,3室2厅 | 90.78平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 1个月以前发布,85,"9,364元/平"
精装大三房，拎包入住，省心省力。,清江润城四期 -夷陵区,3室2厅 | 131.6平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 25天以前发布,106,"8,055元/平"
清风華園 3室2厅 南,清风華園 -东山开发区,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 19天以前发布,62,"6,967元/平"
吾悦广场旁水悦城商圈房东诚心出售,均瑶御景天地1期 -未知商圈,2室2厅 | 87.88平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,62,"7,056元/平"
碧桂园御园正规三房，满两年税费低，价格美丽。,碧桂园御园 -点军区,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 11个月以前发布,66,"6,347元/平"
城中半岛，楼层好，采光好，边户户型方正,城中半岛 -五一广场,3室2厅 | 114.9平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,90,"7,833元/平"
城中半岛，楼层好，采光好，边户户型方正,城中半岛 -五一广场,3室2厅 | 114.9平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,90,"7,833元/平"
推荐~东站万豪旁 精装4室100万 楼层好无遮挡 有钥匙,碧桂园公园壹号 -东站,4室2厅 | 129平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,5人关注 / 6个月以前发布,95,"7,365元/平"
大三房带装修，出行方便，阳台看园林。,江山多娇三期 -五一广场,3室2厅 | 132.13平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,114,"8,628元/平"
东站旁 九棠府 精装三房 拎包入住 随时看房,华鹏梧桐邑·九棠府 -东站,3室1厅 | 104平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 1个月以前发布,76,"7,308元/平"
钓鱼台2号.毛坯大三房.看房有钥匙,钓鱼台二号 -夷陵区,3室2厅 | 120.07平米 | 南 | 毛坯 | 高楼层(共27层)  | 平房,3人关注 / 一年前发布,68.7,"5,722元/平"
