标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
高铁东站 鸿坤理想湾北区 经典朝南小三居 69万可谈,鸿坤理想湾北区 -涿州,3室1厅 | 92平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,8人关注 / 7个月以前发布,69,"7,500元/平"
业主急售 狮子城满二三居 带车位 独立防火门 毛坯,K2狮子城南区 -涿州,3室2厅 | 94.47平米 | 南 北 | 毛坯 | 24层  | 板塔结合,1人关注 / 2个月以前发布,86,"9,104元/平"
物探70年商品房，改善社区，环境好，集中供暖，公摊小,平安D区 -涿州,3室1厅 | 110平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,7人关注 / 7个月以前发布,98,"8,910元/平"
满二税费低采光好，随意装修，配套齐全,联合七号院 -涿州,3室1厅 | 97.86平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,59,"6,030元/平"
市区独栋别墅 毛坯随意装修 出行方便 带院子 带地下室,和谐佳居 -涿州,4室3厅 | 212平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 板楼,5人关注 / 4个月以前发布,215,"10,142元/平"
朝阳路 平安D区 110平通透三居 集中供暖 急售,平安D区 -涿州,3室1厅 | 109.87平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,95,"8,647元/平"
天地新城  南北大三居  精装修  满二,天地新城 -涿州,3室1厅 | 134.84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,123,"9,122元/平"
南北双卫大三居  采光好  无遮挡,高铁新干线 -涿州,4室2厅 | 123.17平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,98,"7,957元/平"
鸿坤理想湾+中上楼层无遮挡+满二+首付20%+毛坯+有钥匙,鸿坤理想湾北区 -涿州,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,120,"9,678元/平"
此房南北通透，中高楼层，采光好中高楼层，采光好,香邑溪谷悦都小区 -涿州,3室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,8人关注 / 7个月以前发布,89,"8,990元/平"
理想湾F户型，没有任何遮挡，通透三居,鸿坤理想湾南区 -涿州,3室2厅 | 94.74平米 | 南 北 | 简装 | 低楼层(共22层)  | 板塔结合,2人关注 / 6个月以前发布,95,"10,028元/平"
装修好，复式，南北露台已封好，.....,鸿盛凯旋门 -涿州,4室2厅 | 169平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,17人关注 / 一年前发布,122,"7,219元/平"
冠云路精装下跃 带双车位 户型方正,鹏渤新加坡花园 -涿州,4室2厅 | 172平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,140,"8,140元/平"
南北通透大三居，精装修，拎包入住,技校家园 -涿州,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,99,"7,334元/平"
此房格局好，无遮挡，.环境优雅，南北通透,香邑溪谷玫瑰园 -涿州,3室2厅 | 133平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,8人关注 / 一年前发布,130,"9,775元/平"
三利中和城一期  南北通透   高楼层 采光无遮挡,三利中和城一期 -涿州,4室2厅 | 120.68平米 | 南 北 | 简装 | 中楼层(共27层)  | 塔楼,1人关注 / 4个月以前发布,90,"7,458元/平"
涿州市二康医院核 心版块，出门就是范阳路自住养老。,东方家园 -涿州,5室2厅 | 228平米 | 南 北 | 精装 | 7层  | 板楼,2人关注 / 8个月以前发布,169,"7,413元/平"
建设东路  诚信大厦东侧 金正小区  南北通透四居室,金正小区 -涿州,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,80,"5,634元/平"
人车分流 配套齐全，出行方便，就医也方便。,强舜铭城 -涿州,1室0厅 | 43.15平米 | 南 西 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 27天以前发布,35,"8,112元/平"
满两年，税少，精装修，拎包入住，业主诚意出售,惠友康庭二期 -涿州,2室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共14层)  | 板塔结合,0人关注 / 17天以前发布,81,"9,000元/平"
楼层好，视野宽阔，采光充足，精装修，配套设施齐全,香邑溪谷上园 -涿州,2室2厅 | 92平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 23天以前发布,67,"7,283元/平"
房子正规两居室，中间楼层，全天无遮挡,润卓天伦湾 -涿州,2室1厅 | 99平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 24天以前发布,76,"7,677元/平"
此房为70年大产  户型方正 集中供暖,同善园银座 -涿州,1室1厅 | 43平米 | 北 | 简装 | 20层  | 塔楼,1人关注 / 21天以前发布,22,"5,117元/平"
品质社区，好环境，好楼层，精装拎包住,润卓天伦湾 -涿州,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,100,"9,091元/平"
新一代C区 3室2厅 南,新一代C区 -莲池区,3室2厅 | 95.2平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,105人关注 / 一年前发布,110,"11,555元/平"
此房满二税费低，毛坯房随意装修 好楼层 采光视野好,香邑溪谷 -涿州,3室1厅 | 94平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,80,"8,511元/平"
此房南北通透 样板间格局 楼层中上 采光不错 诚意出售,润卓天伦湾 -涿州,3室2厅 | 110.76平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,90,"8,126元/平"
香邑溪谷南北通透，高楼层 采光视野好,香邑溪谷 -涿州,3室2厅 | 128.32平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,89,"6,936元/平"
涿州东站，全阳两居室，毛坯房可以随意装修，满二。,鸿坤理想湾北区 -涿州,3室2厅 | 87.56平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,4人关注 / 7个月以前发布,65,"7,424元/平"
无抵押  边户 高楼层  采光好  看房方便 诚意出售,鹏渤印象城牛津花园 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 3个月以前发布,75,"7,654元/平"
华融现代城南北通透三居室，边户明厨明卫，不挨高铁,华融现代城 -涿州,3室2厅 | 98平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,17人关注 / 6个月以前发布,80,"8,164元/平"
此房南北双通透格局 中高楼层 采光视野好 集中供暖,润卓天伦湾 -涿州,3室1厅 | 110.05平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,85,"7,724元/平"
房本满二，精装修， 小区集中供暖， 免费停车,军欣家园 -涿州,3室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 8个月以前发布,138,"10,000元/平"
鸿坤理想湾北区C3，装修20万，小书房没遮挡,鸿坤理想湾北区 -涿州,3室2厅 | 89.9平米 | 东南 | 精装 | 高楼层(共25层)  | 板楼,20人关注 / 一年前发布,87,"9,678元/平"
二康后门，业主靠谱出售，小区环境好,华阳温馨 -涿州,3室1厅 | 104平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,68,"6,539元/平"
石油报社家属院，无公摊面积，交通便利，满五唯一,中国石油报社家属院 -涿州,4室1厅 | 120平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,90,"7,500元/平"
房子跃层，自住标准装修，满二，好楼层,燕赵花园 -涿州,4室2厅 | 213平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,153,"7,184元/平"
绅士大厦 楼层好 视野开阔   采光充足,绅士大厦 -涿州,1室1厅 | 56.49平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,2人关注 / 10个月以前发布,22,"3,895元/平"
房源真实在售，环境好，高速口近,温莎假日二期高层公寓 -涿州,2室2厅 | 98.26平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,47,"4,784元/平"
松林店电梯2居室，婚房精装未住，满二年，诚心卖,大北京未来城 -涿州,2室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,3人关注 / 2个月以前发布,48,"5,334元/平"
水岸花城 南北通透户型 中高楼层,水岸花城 -涿州,2室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,18人关注 / 一年前发布,53,"5,699元/平"
名流美域，精装修，有本随时过户，朝南大开间,名流美域 -涿州,1室1厅 | 45.89平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,1人关注 / 3个月以前发布,32,"6,974元/平"
全南好楼层，采光充足，视野开阔，价格低,钻石广场 -涿州,2室1厅 | 95平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,75,"7,895元/平"
精装朝南两居，院里是青少年活动场所，小区环境良好,双馨佳园 -涿州,2室2厅 | 90.64平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,62,"6,841元/平"
房本满五唯一， 配套齐全， 交通便利。,翡翠城 -涿州,2室1厅 | 98平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,75,"7,654元/平"
华阳路旁 联合七号院  明厨明卫 精致两居急售,联合七号院 -涿州,2室2厅 | 89平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,66,"7,416元/平"
店长推荐 业主急售 狮子城全阳两居 满二 视野好,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,21人关注 / 一年前发布,55,"6,471元/平"
金品时代，高  端社区，南北通透两居，户型好,金品时代 -涿州,2室2厅 | 95.17平米 | 南 北 | 毛坯 | 17层  | 板塔结合,17人关注 / 6个月以前发布,96,"10,088元/平"
此房为70年大产权，即买即住，温馨一居，交通便利,同善园银座 -涿州,1室1厅 | 47平米 | 东 | 简装 | 20层  | 塔楼,1人关注 / 一年前发布,26,"5,532元/平"
金品时代，高  端社区，南北通透两居，户型好,金品时代 -涿州,2室2厅 | 95.17平米 | 南 北 | 毛坯 | 17层  | 板塔结合,17人关注 / 6个月以前发布,96,"10,088元/平"
店长推荐 业主急售 狮子城全阳两居 满二 视野好,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,21人关注 / 一年前发布,55,"6,471元/平"
南向两居，楼间距宽，视野无遮挡。,高铁新干线 -涿州,2室1厅 | 77.78平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,2人关注 / 一年前发布,58,"7,457元/平"
双语旁，此房格局好，满五唯一，毛坯，看房有钥匙,公园壹号 -涿州,2室1厅 | 89.55平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,58,"6,477元/平"
同善园银座 2室1厅 南,同善园银座 -涿州,2室1厅 | 105.76平米 | 南 | 精装 | 20层  | 塔楼,0人关注 / 3个月以前发布,60,"5,674元/平"
此房无贷款 直接过户 全南两居无遮挡 精装修,翡翠城 -涿州,2室1厅 | 92平米 | 南 | 简装 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,57,"6,196元/平"
高铁新干线，南向两居，中装有本，拎包入住,高铁新干线 -涿州,2室1厅 | 87平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,72,"8,276元/平"
紫竹园 2室1厅 南 北,紫竹园 -涿州,2室1厅 | 81.9平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 3个月以前发布,42,"5,129元/平"
小区位置好，配套齐全，板楼住宅,金属器件厂住宅小区 -涿州,2室1厅 | 46.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,35,"7,463元/平"
宜家旺旁范阳公寓两居出售，房本满五,范阳公寓 -涿州,2室1厅 | 91.62平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,1人关注 / 9个月以前发布,57,"6,222元/平"
涿州市桃园办事处老国税局小区 2室1厅 东,涿州市桃园办事处老国税局小区 -涿州,2室1厅 | 48.89平米 | 东 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,28,"5,728元/平"
正规一居室，高楼层，明厨明卫，全明格局,鹏渤新加坡花园 -涿州,1室1厅 | 51平米 | 南 东北 | 简装 | 高楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,39.5,"7,746元/平"
高铁  狮子城  双语 南向两居 房本满二 精装 可议,K2狮子城北区 -涿州,2室2厅 | 85.11平米 | 南 | 简装 | 24层  | 板塔结合,3人关注 / 2个月以前发布,65,"7,638元/平"
房子户方正 小区品质 高 业主诚心出售,金品时代 -涿州,2室2厅 | 95平米 | 南 北 | 毛坯 | 17层  | 板塔结合,3人关注 / 7个月以前发布,115,"12,106元/平"
范阳路 御景园 全南2居室 直接装修 看房随时,君临天下御景园 -涿州,2室1厅 | 83平米 | 南 | 毛坯 | 中楼层(共14层)  | 板塔结合,35人关注 / 一年前发布,67,"8,073元/平"
范阳路 三五四三南向两居室 中间层 满五唯一,三五四三社区居民委员会 -涿州,2室1厅 | 61平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,34,"5,574元/平"
精装修 三阳开泰大两居 房本满二好楼层视野好,翡翠城 -涿州,2室1厅 | 90.56平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,68,"7,509元/平"
南北通透，房本满二，税费低，拎包入住,翡翠城 -涿州,2室1厅 | 94.32平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,8人关注 / 5个月以前发布,59,"6,256元/平"
有本满二，无尾款，精装修，可以直接拎包入住,钻石广场 -涿州,2室2厅 | 95平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,83,"8,737元/平"
精装修 朝南2居 中楼层 本满二 02户 随时看,K2狮子城南区 -涿州,2室1厅 | 84.44平米 | 南 | 精装 | 24层  | 板塔结合,1人关注 / 2个月以前发布,65,"7,698元/平"
南向两居，实际使用面积比房本面积大，公摊小,金属器件厂住宅小区 -涿州,2室1厅 | 44平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,26.5,"6,023元/平"
工商局小区 南北通透两居 简单装修 房本满,工商局小区-冠云西路 -涿州,2室1厅 | 50.25平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,35,"6,966元/平"
高铁 狮子城  南向 精装两居 本满二 价格可议,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 精装 | 24层  | 板塔结合,2人关注 / 2个月以前发布,62,"7,381元/平"
钻石广场  南向两居  精装修  出售,钻石广场 -涿州,2室2厅 | 93.78平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,85,"9,064元/平"
坐落在牛津花园西边楼，中低层，朝南户型，中间户。,鹏渤印象城牛津花园 -涿州,2室2厅 | 75平米 | 南 | 毛坯 | 23层  | 板塔结合,2人关注 / 11个月以前发布,48,"6,400元/平"
业主 急售 毛坯  全天采光     房子方正,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 23层  | 板塔结合,1人关注 / 10个月以前发布,62,"7,295元/平"
天伦湾 精装两居 好楼层 采光好,润卓天伦湾 -涿州,2室1厅 | 77.29平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,7人关注 / 11个月以前发布,62,"8,022元/平"
南北通透两居室，采光好不遮挡，精装修,翡翠城 -涿州,2室1厅 | 99平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,66,"6,667元/平"
双塔社区 正规一室一厅，房本满二税费低,天保郦景 -涿州,1室1厅 | 52平米 | 东 | 简装 | 低楼层(共21层)  | 板塔结合,0人关注 / 3个月以前发布,36,"6,924元/平"
牛津花园  117万两居室  精装修,鹏渤印象城牛津花园 -涿州,2室2厅 | 75.63平米 | 南 | 精装 | 23层  | 板塔结合,0人关注 / 一年前发布,60.3,"7,974元/平"
自住装修，房屋闲置，拎包入住，契税满两年。,天保青花府 -涿州,2室1厅 | 85平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,81,"9,530元/平"
天地新城，南北通透三居室，采光好视野好，一梯两户,天地新城 -涿州,2室2厅 | 92.99平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,76,"8,173元/平"
小区环境好，位置好，配套设施齐全，绿化好,北京城建·德信御府 -涿州,2室2厅 | 86平米 | 南 | 毛坯 | 19层  | 板塔结合,0人关注 / 1个月以前发布,73,"8,489元/平"
涿州市区的两居室总价都能接受，拎包入住,造纸厂小区 -涿州,2室2厅 | 63平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,63人关注 / 一年前发布,26,"4,127元/平"
此房板楼，一梯两户的，小区地上免费停车位多,天筑逸城 -涿州,2室1厅 | 77.8平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板塔结合,25人关注 / 一年前发布,40,"5,142元/平"
精装修 一期大C2 满本 随时看 楼下水系 中层 出入方便,鸿坤理想湾南区 -涿州,2室2厅 | 89.51平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 2个月以前发布,75,"8,379元/平"
开发区优质现房  大阳台设计，全天无遮挡,香邑溪谷 -涿州,2室1厅 | 93.08平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,62,"6,661元/平"
