标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
金地时代广场 1室0厅 北,金地时代广场 -港口区,1室0厅 | 58.85平米 | 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 6天以前发布,20,"3,399元/平"
恒富商业广场 4室2厅 南,恒富商业广场 -防城区,4室2厅 | 158平米 | 南 | 简装 | 低楼层(共30层)  | 暂无数据,0人关注 / 2天以前发布,68,"4,304元/平"
荣和苑 2室2厅 南,荣和苑 -防城区,2室2厅 | 85平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,27,"3,177元/平"
龙光阳光海岸五期 3室2厅 南 北,龙光阳光海岸五期 -港口区,3室2厅 | 118.2平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 1天以前发布,70,"5,923元/平"
双子座商业广场 3室1厅 南,双子座商业广场 -港口区,3室1厅 | 146.33平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 1天以前发布,53,"3,622元/平"
碧桂园滨海城4房2厅2卫  楼层美丽,碧桂园滨海城 -港口区,4室2厅 | 127.75平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 8天以前发布,90.5,"7,085元/平"
此房满五 简单装家具家电齐全 ，户型方正， 采光充足,桂海东盟新城 -港口区,2室2厅 | 98.73平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 17天以前发布,46.8,"4,741元/平"
有证契税满二，中上楼层，空置中，家具家电齐全,博鑫双湾国际 -港口区,2室1厅 | 79.68平米 | 东 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 15天以前发布,31,"3,891元/平"
户型方正，通风采光好，出行方便,万基中央公館 -港口区,2室2厅 | 80.87平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,27.5,"3,401元/平"
港口区汽车站桃花湖西湾上城两房出售,西湾上城 -港口区,2室2厅 | 94平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 10天以前发布,32,"3,405元/平"
距离海边，红树林百米，海景小区，养老叔叔阿姨的喜爱,元一苑 -港口区,2室2厅 | 88.1平米 | 东 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 1个月以前发布,25,"2,838元/平"
高铁商圈大单间，交通方便，配套齐全,四通八达国际广场一期工程C地块 -防城区,1室1厅 | 53.79平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,12,"2,231元/平"
万基顶楼  带装修 六居室 明厨明卫,万基中央公館 -港口区,6室3厅 | 140.41平米 | 北 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,81.8,"5,826元/平"
阳光海岸三期一线海景大三房，采光充足户型方正中高层,龙光阳光海岸三期 -港口区,3室1厅 | 138.51平米 | 西南 | 简装 | 中楼层(共28层)  | 塔楼,1人关注 / 23天以前发布,78,"5,632元/平"
海湾1号4房2厅2卫2阳台，拎包入住,海湾1号 -港口区,4室2厅 | 126.49平米 | 西 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 20天以前发布,100,"7,906元/平"
凤景湾4房2厅2卫 视野空旷 无遮挡,防城港凤景湾 -港口区,4室1厅 | 147.33平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 17天以前发布,71.5,"4,854元/平"
三顺财富中心，精装高配，朝南大二房一卫，拎包入住,三顺财富中心 -港口区,2室2厅 | 92.97平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,42,"4,518元/平"
阳光海岸一期经典两房两厅一卫房主自住户型寻找有缘人,龙光·阳光海岸一期 -港口区,2室1厅 | 75.35平米 | 北 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 9天以前发布,45,"5,973元/平"
阳光海岸五期房子海边商场近位置好,龙光阳光海岸五期 -港口区,3室1厅 | 111.63平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1天以前发布,68,"6,092元/平"
一线全海景大住宅，5房2卫，东西通透，面向西湾海,龙光阳光海岸三期 -港口区,5室2厅 | 170.74平米 | 西南 东北 | 精装 | 中楼层(共23层)  | 板塔结合,12人关注 / 一年前发布,88,"5,155元/平"
养老度假，户型很好，仙人山下.,凯乐园小区 -港口区,5室2厅 | 165平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,11人关注 / 一年前发布,48.8,"2,958元/平"
买一层的一层的104现在做两层6房4卫 有院种花种草种菜,龙光·阳光海岸一期 -港口区,6室4厅 | 104.14平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,14人关注 / 8个月以前发布,73,"7,010元/平"
格局好，楼层好，户型方正，视野宽阔采光充足配套设施,永恒幸福梦居 -港口区,3室2厅 | 120.76平米 | 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,42.5,"3,520元/平"
阳光海岸三期精装公寓房，采光明亮，户型方正，一级好,龙光阳光海岸三期 -港口区,1室1厅 | 30.72平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 19天以前发布,18.8,"6,120元/平"
阳光海岸一期合院带空中花园、阁楼，实用2+1可租可售,龙光·阳光海岸一期 -港口区,3室2厅 | 77.42平米 | 东南 南 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 20天以前发布,45,"5,813元/平"
西湾恒信花园 少见户型 两房两厅两卫 上厕所不排队,西湾恒信花园 -港口区,2室2厅 | 89.19平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 18天以前发布,31.8,"3,566元/平"
恒大御景湾 通透两房 好楼层 好视野 能看海！,恒大御景湾 -港口区,2室2厅 | 92.55平米 | 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 13天以前发布,46,"4,971元/平"
锦绣苑 三房两卫 拎包入住 装修新 家具家电齐全,锦绣苑 -港口区,3室1厅 | 146.99平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 20天以前发布,70,"4,763元/平"
擎天悦海豪庭，大三房，带装修，拎包入住,擎天悦海豪庭 -港口区,3室2厅 | 101.71平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,0人关注 / 29天以前发布,62,"6,096元/平"
中装两房，朝南 ，中间楼层，拎包入住，产证满两年,天香国际 -港口区,2室2厅 | 98.49平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,43,"4,366元/平"
桂海·塞纳庄园 1室1厅 西南,桂海·塞纳庄园 -港口区,1室1厅 | 48.26平米 | 西南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 6天以前发布,18.8,"3,896元/平"
广西防城港市海湾1号海湾海滩海景房,海湾1号 -港口区,4室2厅 | 131.92平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,129.8,"9,840元/平"
恒大御景湾 3室1厅 北,恒大御景湾 -港口区,3室1厅 | 126.5平米 | 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,70,"5,534元/平"
满五唯一  户型方正 通风采光好 配套齐全 交通方便,三生云海观邸 -港口区,3室2厅 | 131.49平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,61,"4,640元/平"
商务区9号地块，简装5房，即买即住,碧玉园 -港口区,5室2厅 | 179.36平米 | 南 北 | 简装 | 低楼层(共31层)  | 板塔结合,8人关注 / 一年前发布,81,"4,517元/平"
防城港CBD钻石园复式楼出售，俯瞰城市繁华,钻石园 -港口区,4室2厅 | 167.83平米 | 南 | 毛坯 | 高楼层(共38层)  | 板塔结合,18人关注 / 一年前发布,79,"4,708元/平"
此房是洋房，一楼，有入户花园，采光好户型方正,中冶兴港华府 -港口区,4室2厅 | 140平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 15天以前发布,60,"4,286元/平"
晨华·红林海湾 3室2厅 南 北,晨华·红林海湾 -港口区,3室2厅 | 114.17平米 | 南 北 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 7天以前发布,68,"5,957元/平"
楼层好，视野开阔无遮挡，面向金花茶大道,三顺财富中心 -港口区,3室2厅 | 125.35平米 | 南 北 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 5天以前发布,44,"3,511元/平"
台湾城 中间楼层 三房两卫户型实用  可以看海,台湾城 -港口区,3室1厅 | 97.73平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 3天以前发布,42.8,"4,380元/平"
此房毛坯，视野宽阔，采光充足，配套设施齐全,碧玉园 -港口区,3室2厅 | 130.4平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 3天以前发布,68.5,"5,254元/平"
双湾国际朝南三房两卫双阳台带装修,博鑫双湾国际 -港口区,3室2厅 | 111.77平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 4天以前发布,43.8,"3,919元/平"
阳光海岸高层四期精装采光充足，户型方正二房,龙光阳光海岸四期 -港口区,2室1厅 | 63.81平米 | 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,38,"5,956元/平"
天宁海公馆两房，朝南，毛坯无抵押随时过户看房方便,碧园&天宁·海公馆 -港口区,2室2厅 | 74.17平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,43,"5,798元/平"
高铁2号 4室1厅 南 北,高铁2号 -港口区,4室1厅 | 132.64平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 16天以前发布,55,"4,147元/平"
配套设施齐全交通便利， 出门休闲散.,龙光阳光海岸五期 -港口区,4室2厅 | 116平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 16天以前发布,68,"5,863元/平"
阳光海岸四期！房东急售3房2卫，采光好！！！,龙光阳光海岸四期 -港口区,3室2厅 | 100.29平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 15天以前发布,50,"4,986元/平"
财苑小区单位房板楼，南 北通透，带两个车位一个车库,财苑 -港口区,3室2厅 | 186平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 15天以前发布,78.6,"4,226元/平"
此房契税已满2年，距离高铁500米，出行便利,泰城幸福里 -港口区,3室2厅 | 121.9平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 10天以前发布,54,"4,430元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸四期 -港口区,4室2厅 | 126.68平米 | 东北 东 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,79,"6,237元/平"
万基中央公馆 大四房 户型方正 无暗室,万基中央公館 -港口区,4室2厅 | 129.36平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 11天以前发布,61,"4,716元/平"
户型方正，采光很好，是理想的居住环境,德城.新世界 -港口区,3室2厅 | 109.9平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 15天以前发布,63,"5,733元/平"
CBD商务区，配套齐全，交通便利,钻石园 -港口区,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共38层)  | 塔楼,5人关注 / 一年前发布,59,"5,842元/平"
成熟地段出行方便，风光秀美空气清新，人财两旺之地,碧宸西海岸 -港口区,3室1厅 | 125.88平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,67,"5,323元/平"
阳光海岸四期高层视野好采光充足,龙光阳光海岸四期 -港口区,3室2厅 | 126.75平米 | 南 西 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,85,"6,707元/平"
业主急售精装修4房，无遮挡可公积金贷款，看园博园,中冶●金海都 -港口区,4室2厅 | 144.27平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,112,"7,764元/平"
翡翠园装修好的三房等着你来看。,翡翠园 -港口区,3室2厅 | 109.38平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,64,"5,852元/平"
恒大御景湾海景住宅体验身未动景入帘的感受,恒大御景湾 -港口区,3室2厅 | 111.53平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 一年前发布,72,"6,456元/平"
刚需房 看过来 四房有证税满支持公积金贷款,翡翠园 -港口区,4室2厅 | 138.82平米 | 北 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,82,"5,907元/平"
正茂顶秀港湾大房宽敞房屋  明亮通透,正茂·顶秀港湾 -港口区,3室2厅 | 161.16平米 | 南 西 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,115,"7,136元/平"
富森领峰公园一样的社区        遇到有缘人一切好谈,富森领峰 -港口区,4室2厅 | 203.64平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,1人关注 / 2个月以前发布,122,"5,991元/平"
恒大御景湾  大三房 南北通透,恒大御景湾 -港口区,3室2厅 | 127.15平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,103,"8,101元/平"
朝南户型好，中高楼层，间距宽，视野无遮挡，采光充足,龙光阳光海岸四期 -港口区,3室2厅 | 99.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,56,"5,604元/平"
三顺财富中心，三房二厅二卫，大阳台,三顺财富中心 -港口区,3室2厅 | 132.21平米 | 西 | 简装 | 中楼层(共31层)  | 塔楼,0人关注 / 7个月以前发布,63,"4,766元/平"
阳光海岸三期！3房50万一套！,龙光阳光海岸三期 -港口区,3室2厅 | 90.87平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,52.8,"5,811元/平"
：此房源满2唯一配套齐全·绿植多,中冶兴港华府 -港口区,3室2厅 | 111.11平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,74.8,"6,733元/平"
业主诚心出售桃花湾广场三房 无欠款支持按揭,碧海紫金城 -港口区,3室2厅 | 89.01平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,50,"5,618元/平"
三室两厅两卫朝向好采光好通透急售毛坯经典视野无遮挡,碧玉园 -港口区,3室2厅 | 130.37平米 | 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,80,"6,137元/平"
广西防城港龙广阳光海岸一期海景洋房.,龙光·阳光海岸一期 -港口区,5室2厅 | 204平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,29人关注 / 一年前发布,180,"8,824元/平"
"防城港市,视线宽阔,海湾海滩海景房",海湾1号 -港口区,3室2厅 | 88.17平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,67,"7,599元/平"
埠上桃源 3室2厅 南,埠上桃源 -港口区,3室2厅 | 97.23平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,6人关注 / 一年前发布,50.5,"5,194元/平"
交通生活配套设施齐全，园博园，满足您的居住生活,四通八达国际广场A区 -港口区,3室2厅 | 121.54平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,3人关注 / 一年前发布,53,"4,361元/平"
埠上桃源小三房，户型方正，朝南，居住安静,埠上桃源 -港口区,3室2厅 | 97.23平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,6人关注 / 一年前发布,55.5,"5,709元/平"
金花茶大道旁民乐街10号大三房,领袖壹方 -港口区,3室2厅 | 133.14平米 | 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,61.3,"4,605元/平"
龍正中央海洋公園 5室2厅 南,龍正中央海洋公園 -港口区,5室2厅 | 202平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,96.9,"4,798元/平"
碧桂园滨海城3房2厅2卫 顶楼层,碧桂园滨海城 -港口区,3室2厅 | 114.31平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 6个月以前发布,62,"5,424元/平"
税满两年，高楼层三房，视野开阔。,永恒幸福梦居 -港口区,3室2厅 | 120.64平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,47,"3,896元/平"
卖点：楼层好 视野开阔 采光充足 配套设施齐全,海湾公馆 -港口区,3室2厅 | 102.1平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,41.8,"4,095元/平"
广西防城港市海湾1号海湾海滩海景房,海湾1号 -港口区,3室2厅 | 88.61平米 | 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,56.8,"6,411元/平"
碧桂园滨海城  3室1厅 户型方正  采光好,碧桂园滨海城 -港口区,3室2厅 | 114.31平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 7个月以前发布,63.5,"5,556元/平"
晨华·红林海湾 3室2厅 南 北,晨华·红林海湾 -港口区,3室2厅 | 118.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,53.7,"4,518元/平"
广西防城港市海湾1号海湾海滩海景房,海湾1号 -港口区,3室2厅 | 88.61平米 | 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,56.8,"6,411元/平"
阳光海岸一线海景带装修三房5字头,龙光阳光海岸三期 -港口区,3室2厅 | 91.81平米 | 西 | 简装 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,52,"5,664元/平"
瑞海尚都 三房一卫 户型方正中间楼层,瑞海尚都 -港口区,3室2厅 | 100.37平米 | 北 | 简装 | 中楼层(共21层)  | 板塔结合,2人关注 / 6个月以前发布,48.9,"4,872元/平"
海边小区环境安静出门绿色塑胶小道,商发住宅小区 -港口区,3室2厅 | 132.17平米 | 北 | 毛坯 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,47,"3,557元/平"
