标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
蒸湘世纪城 精装3室2厅1卫 拎包入住 配套成熟,蒸湘世纪城 -蒸湘区,3室2厅 | 97.9平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,53.8,"5,496元/平"
紫金花园 精装两房两厅 带家具家电 拎包入住,天酬君雅紫金花园 -蒸湘区,2室2厅 | 88.17平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 16天以前发布,46.8,"5,308元/平"
星美外滩 一楼门面 房东精空装修 可做茶楼,星美新外滩 -蒸湘区,2室2厅 | 86.4平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 12天以前发布,56.8,"6,575元/平"
东方明居 三房精装 家具家电 带平台 房龄新,鑫瑞·東方明居 -蒸湘区,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 10天以前发布,59.8,"5,806元/平"
太平小区 精装三房 带全套家具 步梯中层 南北朝向,太平一社区 -蒸湘区,3室2厅 | 83.82平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,46.8,"5,584元/平"
老城区 地段繁华 电梯三室二卫 户型正气 价格实惠,中山南路 -雁峰区,3室2厅 | 130.95平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,9人关注 / 10个月以前发布,35,"2,673元/平"
愉景新城 4室2厅 南 北,愉景新城 -蒸湘区,4室2厅 | 144.21平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,2人关注 / 11个月以前发布,73.8,"5,118元/平"
晶珠广场旁 太平小区 2房2厅  学 区房 满五,太平二区 -蒸湘区,2室2厅 | 84平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,7人关注 / 一年前发布,27,"3,215元/平"
华新 西子莲花毛坯三房户型方正采光好,冠佳西子莲花 -蒸湘区,3室2厅 | 119.76平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 2个月以前发布,68.8,"5,745元/平"
太平小区实验小XUE200米  带院子环境好,红湘北路55号 -蒸湘区,2室2厅 | 79.3平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,34.8,"4,389元/平"
精装修 三室 楼梯中层 带露台花园 价格实惠,东风路49号 -珠晖区,3室2厅 | 92.61平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,33.8,"3,650元/平"
步行街静园小区四房 电梯中层 满五唯一  视野采光好,静园小区 -蒸湘区,4室2厅 | 143.45平米 | 东北 | 毛坯 | 中楼层(共27层)  | 塔楼,5人关注 / 10个月以前发布,63,"4,392元/平"
耀江文鼎苑，毛坯房，三房两厅两卫，采光好楼层好,耀江花园·文鼎苑 -石鼓区,3室2厅 | 130.65平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,64.8,"4,960元/平"
标准二室二厅 南北通透 光线明亮 价格美丽,黄茶路20号 -雁峰区,2室2厅 | 67.8平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,2人关注 / 一年前发布,20,"2,950元/平"
地段繁华 单位家属房 户型正气二室 楼梯中层,中山南路 -雁峰区,2室2厅 | 56.25平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,18,"3,200元/平"
中山南路 简装二室 楼梯中层 价格实惠,中山南路41号 -雁峰区,2室1厅 | 72.54平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,1人关注 / 6个月以前发布,21,"2,895元/平"
湘江南路 精装修 电梯三房 地段繁华 价格实惠,永富大厦 -雁峰区,3室2厅 | 124.5平米 | 东 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 5个月以前发布,55,"4,418元/平"
立新大道蒸江农贸市场四房两厅一厨两卫,蒸江农贸市场家属院 -蒸湘区,4室2厅 | 138.17平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,41.8,"3,026元/平"
火车站  两室两厅 4楼  带小区,向荣里 -珠晖区,2室2厅 | 66.27平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,23.5,"3,547元/平"
三泰市场附 近水口山家属楼步梯3房低层带院子可停车,水口山矿务局衡阳生活小区 -蒸湘区,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,37,"3,491元/平"
华新棕榈园四期步梯洋房中层南北通透,棕榈园•加州阳光 -蒸湘区,4室2厅 | 133平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,75.8,"5,700元/平"
光线好 楼层低 三室 江景房 价格实惠,湘江南路47号 -雁峰区,3室2厅 | 108.57平米 | 东 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,38,"3,501元/平"
建设新村 2室1厅 南 北,建设新村 -石鼓区,2室1厅 | 52.49平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼,0人关注 / 3天以前发布,21.8,"4,154元/平"
美的梧桐庄园 4室2厅 南,美的梧桐庄园 -珠晖区,4室2厅 | 126.43平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3天以前发布,65,"5,142元/平"
耀江花园 文鼎苑 精装3房2厅 75.8万元,耀江花园·文鼎苑 -石鼓区,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 31天以前发布,75.8,"5,787元/平"
房子诚心在卖.户型南北，带大双阳台，视野无遮挡,香榭丽舍 -蒸湘区,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共13层)  | 暂无数据,0人关注 / 23天以前发布,65,"5,604元/平"
美的梧桐庄园，大型园林小区，毛坯4+1装修任你发挥。,美的梧桐庄园 -珠晖区,5室2厅 | 191平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,188,"9,843元/平"
中山北路198号 4室2厅 东南,中山北路198号 -石鼓区,4室2厅 | 120平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,46.5,"3,875元/平"
房子房东诚心卖房，前后都没有遮挡，6成新,鸿雁阁小区 -蒸湘区,4室2厅 | 162.27平米 | 北 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 20天以前发布,81,"4,992元/平"
中间楼层，视野宽阔，采光充足，配套设施齐全交通便利,立新二社区 -蒸湘区,4室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,45,"3,238元/平"
金河湾大型园林一线临江小区，带幼儿园和商场,金河湾·1881 -蒸湘区,3室2厅 | 120.29平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 18天以前发布,75,"6,235元/平"
金钟时代城精装修3房9成新拎包入住全屋品牌家电家私,金钟时代城 -雁峰区,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,69.8,"7,123元/平"
珠江云锦 衡阳市八 中  船山   旁 交通方便  配套完善,珠江·云锦 -雁峰区,3室2厅 | 128.5平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 31天以前发布,65.8,"5,121元/平"
买房带车位 碧桂园十里江湾 精装三房 全套家具家电,华耀碧桂园十里江湾 -石鼓区,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 17天以前发布,80.8,"6,790元/平"
凯旋湖景水岸四房两厅一厨两卫.,凯旋湖景水岸 -石鼓区,4室2厅 | 125.15平米 | 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 27天以前发布,68.9,"5,506元/平"
石鼓区，毛坯房，三房两厅两卫，南北通透，格局好,鸿豪城享山 -石鼓区,3室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,64.8,"5,103元/平"
吉富花苑     精装  电梯   大三房,吉富花苑 -蒸湘区,3室2厅 | 175.85平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 7个月以前发布,85,"4,834元/平"
天酬尚都 小高层洋房 131平上下两层复式 带80平的院子,天酬 · 尚都 -蒸湘区,5室2厅 | 131.14平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,10人关注 / 7个月以前发布,105,"8,007元/平"
珠江愉景南苑 清水毛坯大四房 户型方正,珠江愉景南苑 -蒸湘区,5室2厅 | 141.24平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,86.8,"6,146元/平"
兰贵园  精装房  自住  发租  都OK,兰贵园 -蒸湘区,3室2厅 | 136.76平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 8个月以前发布,80,"5,850元/平"
金河湾全新毛坯 电梯中层 南北通透 四房两厅,金河湾·1881 -蒸湘区,4室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 16天以前发布,76.8,"6,048元/平"
衡府精装修三室，南北向，大阳台看房方便，有心卖,衡府 -蒸湘区,3室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 14天以前发布,83.8,"5,861元/平"
特变·水木融城 5室2厅 南 北,特变·水木融城 -蒸湘区,5室2厅 | 106.61平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 12天以前发布,66.8,"6,266元/平"
东方巴黎，毛坯三房，户型方正，价格好。,东方巴黎 -珠晖区,3室2厅 | 133.67平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,75,"5,611元/平"
香江水岸新城精装修三房，业主自住装修红本在手税少,香江水岸新城 -蒸湘区,3室2厅 | 142.19平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,108,"7,596元/平"
向群路 3室2厅 东南,向群路 -石鼓区,3室2厅 | 134.33平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,2人关注 / 一年前发布,39.8,"2,963元/平"
房子位于老城区繁华地段，三居室，交通出入方便,青山街 -石鼓区,3室2厅 | 93平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 11天以前发布,20,"2,151元/平"
江州花园 三室两厅  精装 保养好 九成,江洲花园 -雁峰区,3室2厅 | 144平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 5个月以前发布,79.8,"5,542元/平"
南北通透，拎包入住 视野好 小区配套完善，有读书馆,天嘉翰廷 -雁峰区,3室2厅 | 122.66平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,86,"7,012元/平"
万达旁锦绣雁城毛坯电梯中层大四房随意装修税费低,锦绣雁城 -蒸湘区,4室2厅 | 159.83平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 一年前发布,71.8,"4,493元/平"
此房已满2年，精装修带家具家电，可拎包入住,岳屏小区 -蒸湘区,3室2厅 | 134平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,60.8,"4,538元/平"
仙姬巷32号 3室2厅 东南,仙姬巷32号 -雁峰区,3室2厅 | 85平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,37.8,"4,448元/平"
潇湘街荷池路大四房两厅，单价2900，楼层较低,潇湘街 -石鼓区,4室2厅 | 131.5平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,37.8,"2,875元/平"
大平层还可看江，带大阳台，主人房带有大衣帽间。,珠江愉景南苑 -蒸湘区,4室2厅 | 175平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 12天以前发布,100,"5,715元/平"
彩霞满天 毛坯三房两厅两卫 带入户花园,彩霞满天 -蒸湘区,3室2厅 | 124.64平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 9天以前发布,61.8,"4,959元/平"
大平层还可看江，带大阳台，主人房带有大衣帽间。,珠江愉景南苑 -蒸湘区,4室2厅 | 175平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 12天以前发布,100,"5,715元/平"
彩霞满天 毛坯三房两厅两卫 带入户花园,彩霞满天 -蒸湘区,3室2厅 | 124.64平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 9天以前发布,61.8,"4,959元/平"
仙姬巷32号 3室2厅 东南,仙姬巷32号 -雁峰区,3室2厅 | 85平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,37.8,"4,448元/平"
英伦星海湾 3室2厅 东南,英伦星海湾 -蒸湘区,3室2厅 | 128.13平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,105,"8,195元/平"
和平小区2房1厅1卫，精装修，看房方便，诚意出售,和平小区 -珠晖区,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,18.8,"3,242元/平"
业主诚心出售，此房看房方便。配套成熟,融冠亲城 -蒸湘区,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 21天以前发布,61.8,"7,187元/平"
婚房！婚房！婚房！有了她就可以有老婆了！视野好,星悦湾 -蒸湘区,3室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 23天以前发布,82,"6,075元/平"
房东诚意出售，为人谦和实在好沟通，实地看房满意约谈,亚华名都 -雁峰区,3室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 26天以前发布,58.8,"4,422元/平"
小区具有物业管理化，小区园林绿化优美，适合老人散步,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 146.39平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,97.8,"6,681元/平"
愉景新城 3室2厅 南,愉景新城 -蒸湘区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,55,"6,180元/平"
此房楼龄新，小区地理位置好，不临街,福悦名居 -蒸湘区,3室2厅 | 137.17平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 24天以前发布,79.78,"5,817元/平"
人民路旁经济实惠大三房！！！！！！,中山北路 -石鼓区,3室2厅 | 126.72平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 17天以前发布,25.5,"2,013元/平"
卫校旁 船山西路24号 2房2厅80平18.8万,船山西路24号 -蒸湘区,2室2厅 | 80平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,10人关注 / 7个月以前发布,17.8,"2,225元/平"
华新高鑫市场旁 幸福家园 精装3室2厅2卫9成新步梯中层,幸福家园 -蒸湘区,车位 | 121.21平米 | 南 北  | 暂无数据,1人关注 / 一年前发布,59.8,"4,934元/平"
粤新小区 3室2厅 南,粤新小区 -珠晖区,3室2厅 | 119.92平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,42.8,"3,570元/平"
裕康巷6号 楼龄新 大四房 新装电梯到户 南北通透,裕康巷6号 -蒸湘区,车位 | 158平米 | 南 北  | 暂无数据,0人关注 / 20天以前发布,53.8,"3,406元/平"
华新 祝融小 学门口 锦绣贤苑 毛坯3室,锦绣贤苑 -蒸湘区,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 暂无数据,0人关注 / 16天以前发布,69.8,"6,777元/平"
向荣里 2室2厅 南,向荣里 -珠晖区,2室2厅 | 42平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,21.8,"5,191元/平"
生态丽景，视野开阔，采光充足户型好,生态丽景二期 -蒸湘区,3室2厅 | 117.33平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,55,"4,688元/平"
35.8万3房2厅 蒸湘万达商圈 四机家属房步梯中层带煤房,衡阳市衡祁路四机总厂家属区 -蒸湘区,3室2厅 | 96.66平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,35.8,"3,704元/平"
江景小区中凌景帝 三房两厅两卫成本价出售,中凌·景蒂名苑 -珠晖区,3室2厅 | 131.61平米 | 西南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,62.8,"4,772元/平"
禧诚·月畔湾 2室1厅 南,禧诚·月畔湾 -雁峰区,2室1厅 | 93.76平米 | 南 | 其他 | 低楼层(共23层)  | 暂无数据,1人关注 / 3个月以前发布,42,"4,480元/平"
珠江愉江南苑，陆家新区位置优越，品质小区。,珠江愉景南苑 -蒸湘区,4室2厅 | 176平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 9个月以前发布,101,"5,739元/平"
东江丽景园林小区 小三房户型方正原房东装修有家电,东江丽景 -珠晖区,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,42.8,"4,077元/平"
华新 愉景新城 电梯小高层 中层   满2 可按揭,愉景新城 -蒸湘区,3室2厅 | 121.78平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,70,"5,749元/平"
愉景南苑  三房两厅一卫  毛坯,珠江愉景南苑 -蒸湘区,3室2厅 | 90.51平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 3个月以前发布,59.5,"6,574元/平"
万达商圈旁配套齐全，精装带家具家电，可以拎包入住,合胜广场 -蒸湘区,3室2厅 | 87.9平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 14天以前发布,55.5,"6,314元/平"
电梯房，环城南路，房龄新，3房2厅2卫，48.8万。,辉吐巷23号 -雁峰区,3室2厅 | 130.53平米 | 南 北 | 精装 | 低楼层(共9层)  | 塔楼,2人关注 / 3个月以前发布,46.8,"3,586元/平"
爱上一个人恋上一座城，楼间距宽，人车分流配套齐全,融冠亲城 -蒸湘区,4室2厅 | 134.04平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,81.8,"6,103元/平"
碧桂园十里江湾3房2厅1厨2卫、房东诚心出售,华耀碧桂园十里江湾 -石鼓区,3室2厅 | 123.73平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 15天以前发布,66.79,"5,399元/平"
此房满5年精装修拎包入住楼层5楼，采光充足,公共交通集团家属院 -石鼓区,2室2厅 | 100.81平米 | 东南 南 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,34.8,"3,453元/平"
银泰红城2期，毛坯四房丽厅两卫，,银泰红城 -蒸湘区,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 12天以前发布,89.8,"6,415元/平"
雁南小区 毛坯3房2厅 49.8万,雁南小区南苑 -雁峰区,3室2厅 | 123.33平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,49.8,"4,038元/平"
