标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
此房产权满，采光好，看房方便，诚意出售,海丝景城 -泉州桥南,2室2厅 | 99.23平米 | 东南 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 27天以前发布,115,"11,590元/平"
瑞璟香榭花都，两房两厅，高楼层，采光通透,瑞璟香榭花都 -宝龙广场,2室1厅 | 123.04平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 22天以前发布,173,"14,061元/平"
嘉龙公寓 1室0厅 南 北,嘉龙公寓 -清濛开发区,1室0厅 | 37.99平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 31天以前发布,19,"5,002元/平"
阳光国际广场 2室1厅 南,阳光国际广场 -洛江区,2室1厅 | 78.23平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,0人关注 / 19天以前发布,133.5,"17,066元/平"
泉秀路丰盛假日城堡 繁华地段电梯高层正规一房一厅,丰盛假日城堡 -泉秀街,1室1厅 | 53.56平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 18天以前发布,99,"18,484元/平"
金沙城小区内两房房东诚意出售，钥匙在手，随时看房,金沙城小区咸德苑 -安海镇,2室1厅 | 78.52平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 29天以前发布,122,"15,538元/平"
闻馨一品  精品小区  拎包入住,闻馨一品 -城东,3室2厅 | 102.4平米 | 东南 | 精装 | 高楼层(共30层)  | 板塔结合,13人关注 / 一年前发布,232,"22,657元/平"
采光好 视野好 户型方正 东南朝向 证满带精装诚意出售,泰禾首府 -城东,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共38层)  | 板塔结合,10人关注 / 7个月以前发布,245,"22,898元/平"
华泰4期 与SM一路之隔，生活便利 一站式服务 吃喝玩乐,华泰国际新城 -SM广场,3室2厅 | 126.24平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,125,"9,902元/平"
生活便利，居住舒适，业主诚意出售，,群盛花苑 -东湖,4室2厅 | 193.19平米 | 西南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,285,"14,753元/平"
中骏蓝湾半岛，大平层 精装4房,中骏蓝湾半岛 -泉州桥南,4室2厅 | 208.34平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 17天以前发布,480,"23,040元/平"
证件齐全，有抵押，视野宽阔，座南朝北，采光充足好,永嘉天地尚学苑 -泉港区,4室2厅 | 142.68平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 17天以前发布,98.66,"6,915元/平"
绿洲公园，江滨公园，晋阳湖公园,湖景花园 -晋江万达,1室0厅 | 45平米 | 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 18天以前发布,33,"7,334元/平"
电梯高层，视野开阔，采光充足，交通便利，配套齐全,海城花苑 -城东,3室2厅 | 113.2平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 4个月以前发布,172,"15,195元/平"
小复式公寓户型，采光通风俱佳，上户小钢炮。,阿波罗公寓 -东湖,1室1厅 | 34.79平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 16天以前发布,50,"14,372元/平"
泉港区锦绣湖旁源昌锦绣城毛坯四房，看房有钥匙。,源昌锦绣壹号 -泉港区,4室2厅 | 143.9平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,115,"7,992元/平"
新加坡城东区 精装自住 全明格局,新加坡城东区 -泉州桥南,2室1厅 | 77.67平米 | 东南 东 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 11天以前发布,140,"18,025元/平"
钻石美尔奇 精装小三房 高层采光好 边套,钻石美尔奇 -洛江区,3室2厅 | 89.41平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,148,"16,553元/平"
万达旁单身公寓即买即收租，妥妥的稳当,宝龙金色家园 -晋江万达,1室0厅 | 42.07平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,0人关注 / 9天以前发布,25.5,"6,062元/平"
温馨小三房，户型方正，采光充足,捷龙盛世 -安海镇,3室2厅 | 98.5平米 | 东南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 20天以前发布,129,"13,097元/平"
溜园小区 简装3房出售 户型方正 采光好 交通方便,溜园小区 -泉州桥南,3室2厅 | 122平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,1人关注 / 25天以前发布,140,"11,476元/平"
高楼层，采光好，可直接入住，这栋已经是有电梯了,金石花园 -惠安县,3室2厅 | 113平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,108,"9,558元/平"
业主诚意急售，世茂御龙府高层三房，东边套正看绿洲公,世茂御龙府 -池店南,3室2厅 | 121.19平米 | 南 | 毛坯 | 高楼层(共47层)  | 板楼,0人关注 / 28天以前发布,145,"11,965元/平"
中骏璟峰三房两厅两卫，精装修，拎包入住,中骏·璟峰 -南安水头镇,3室2厅 | 89平米 | 南 | 简装 | 低楼层(共32层)  | 暂无数据,0人关注 / 28天以前发布,88,"9,888元/平"
福捷·上悦府，精品小区，生活配套完善。配套完善,福捷·上悦府 -池店南,3室2厅 | 98.03平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,162.5,"16,577元/平"
高层三居室 无遮挡全部采光观景房24小时管家式服务,福璟一期 -惠安县,3室2厅 | 116.04平米 | 东南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,98,"8,446元/平"
小沿塘居住区 3室2厅 东南,小沿塘居住区 -SM广场,3室2厅 | 108.89平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,106,"9,735元/平"
世茂璀璨天城 小区中间位置 楼层佳 4房2厅3卫3阳台,世茂璀璨天城 -洛江区,4室2厅 | 108.95平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,265,"24,324元/平"
明发，大型社区高层大3房，证满省税，诚意出售,明发商业城 -南安水头镇,3室2厅 | 122.33平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,53,"4,333元/平"
格局好楼层好视野宽阔采光充足配套设施齐全交通便利,梅龙小区 -晋江万达,4室1厅 | 163平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,257,"15,767元/平"
刺桐桥头，中骏品质小区，温馨三房，拎包入住！,中骏四季花城 -泉州桥南,3室2厅 | 104.26平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,177,"16,977元/平"
万达B区边套户型采光视野赞配套齐全交通便利万达广场,万达华府B区 -晋江万达,3室2厅 | 143.93平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,300,"20,844元/平"
电梯高层小三错，精装视野采光好，南北通透户型,中远名城 -泉秀街,3室2厅 | 148.43平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,320,"21,559元/平"
2000年红砖框架房，老城区，生活配套齐全。,新门街 -新门街,3室2厅 | 119.8平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,3人关注 / 4个月以前发布,190,"15,860元/平"
诚意急售南环路中骏四季康城二期全新精装修三房两厅,中骏四季康城2期 -南环路,3室2厅 | 87.47平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,93,"10,633元/平"
边套户型，看房方便，房屋装修保持完整。,工艺综合大厦 -石狮中心,3室2厅 | 120.19平米 | 南 北 | 精装 | 低楼层(共8层)  | 平房,33人关注 / 一年前发布,49,"4,077元/平"
云景台4房2卫 东边套 前后无遮挡房东诚意出售看房方便,中骏云景台 -宝龙广场,4室2厅 | 126.61平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,235,"18,561元/平"
万达旁正规2房，带一储藏间，证满省税,汀州新村 -泉秀街,2室2厅 | 69.55平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,87,"12,509元/平"
百信中庭位置高层纯毛坯钥匙在手房东已经买东海考虑出,百信御江帝景太阳城 -泉州桥南,4室2厅 | 122.67平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,3人关注 / 6个月以前发布,245,"19,973元/平"
鲤城区 茂诚皇江御景 4房 采光通风效果好诚意出售,茂诚皇江御景 -浮桥,4室2厅 | 125.08平米 | 东南 | 毛坯 | 低楼层(共37层)  | 板楼,0人关注 / 1个月以前发布,230,"18,389元/平"
五店市梅龙小区丨现代风精装三房丨带品牌家具家电,梅龙小区 -晋江万达,3室2厅 | 136.7平米 | 东南 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 一年前发布,235,"17,191元/平"
带入户花园平层三房两卫，格局方正,中航城天骏 -宝龙广场,3室2厅 | 112.99平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,181,"16,020元/平"
虽然是安置房，但小区环境好，人文环境也不错.,世纪雅苑 -SM广场,3室2厅 | 136.24平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,100,"7,340元/平"
中骏四季花城一期 电梯高层 居家装修 诚意出售,中骏四季花城 -泉州桥南,3室2厅 | 86平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,155,"18,024元/平"
桥南紫帽 电梯大三房 格局方正  视野开阔,金丘紫金城 -紫帽镇,3室2厅 | 131.1平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,100,"7,628元/平"
优质小区，一梯两户，带储藏间。储上一楼,东美花苑 -泉秀街,3室2厅 | 79平米 | 东南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,169,"21,393元/平"
海景房~海上海3房 中层朝南 价格美丽,海上海领海苑 -东海,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共40层)  | 板楼,0人关注 / 5个月以前发布,330,"25,782元/平"
兰峰城市花园   三房两厅  诚意出售,兰峰城市花园 -SM广场,3室2厅 | 156.64平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,165,"10,534元/平"
东湖公园旁，封闭式小区，停车方便，诚意出售,东湖新村少林社区 -东湖,3室2厅 | 90.23平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,10人关注 / 5个月以前发布,115,"12,746元/平"
中骏品质2017年准新房，电梯高层，视野好，看中庭,中骏四季花城2期 -泉州桥南,3室2厅 | 87平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 10个月以前发布,150,"17,242元/平"
中骏云景台 4室2厅 东南,中骏云景台 -宝龙广场,4室2厅 | 140.81平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,247,"17,542元/平"
房东急售世茂御龙府 绿洲公园 世纪大道交通方便,世茂御龙府 -池店南,4室2厅 | 114平米 | 东南 | 毛坯 | 低楼层(共51层)  | 板楼,0人关注 / 6个月以前发布,165.6,"14,527元/平"
海景房~海上海3房 中层朝南 价格美丽,海上海领海苑 -东海,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共40层)  | 板楼,0人关注 / 5个月以前发布,330,"25,782元/平"
优质小区，一梯两户，带储藏间。储上一楼,东美花苑 -泉秀街,3室2厅 | 79平米 | 东南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,169,"21,393元/平"
边套户型，看房方便，房屋装修保持完整。,工艺综合大厦 -石狮中心,3室2厅 | 120.19平米 | 南 北 | 精装 | 低楼层(共8层)  | 平房,33人关注 / 一年前发布,49,"4,077元/平"
五店市梅龙小区丨现代风精装三房丨带品牌家具家电,梅龙小区 -晋江万达,3室2厅 | 136.7平米 | 东南 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 一年前发布,235,"17,191元/平"
万达B区边套户型采光视野赞配套齐全交通便利万达广场,万达华府B区 -晋江万达,3室2厅 | 143.93平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,300,"20,844元/平"
百信中庭位置高层纯毛坯钥匙在手房东已经买东海考虑出,百信御江帝景太阳城 -泉州桥南,4室2厅 | 122.67平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,3人关注 / 6个月以前发布,245,"19,973元/平"
电梯高层小三错，精装视野采光好，南北通透户型,中远名城 -泉秀街,3室2厅 | 148.43平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 3个月以前发布,320,"21,559元/平"
106平毛坯三房，带大阳台，高层看中庭，诚意出售,建发珑玥湾二期 -站前大道,3室2厅 | 105.58平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 11天以前发布,210,"19,891元/平"
湖心街 卫检局宿舍 三房户型 精装修,卫检局宿舍 -东湖,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,149,"13,546元/平"
市区 精装小三房 总价低 采光好,中航城天悦 -宝龙广场,3室2厅 | 75.24平米 | 西南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,127,"16,880元/平"
户型方正，看房方便 朝南采光好 通风好,建发珑璟湾 -站前大道,3室1厅 | 86.55平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,5人关注 / 9个月以前发布,147,"16,985元/平"
百捷 少有 平 层 边 套 在 售。南北户型、稳定卖,百捷星光城 -泉州桥南,3室2厅 | 96.58平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,208,"21,537元/平"
宝龙城市广场旁高阳小区带装可拎包入住,高阳华庭 -宝龙广场,3室2厅 | 128.98平米 | 北 | 精装 | 高楼层(共20层)  | 板塔结合,2人关注 / 一年前发布,190,"14,731元/平"
中升雅园  正规三房 业主诚意出售,中升雅园 -万达,3室2厅 | 112.83平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,248,"21,980元/平"
满堂红 满二年 精装修3房 可看房,世茂御龙湾满堂红 -晋江万达,3室2厅 | 158.49平米 | 东南 | 精装 | 高楼层(共42层)  | 板楼,0人关注 / 5个月以前发布,245,"15,459元/平"
大铭新村3-2-1-1 97.46m² 127 万,大铭新村 -东湖,3室2厅 | 97.46平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 9个月以前发布,109,"11,185元/平"
东涂新村3-2-1-2 116.08平 190 万,东涂新村 -丰泽街,3室2厅 | 116.08平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,190,"16,369元/平"
宝龙世家 3室2厅 南,宝龙世家 -池店南,3室2厅 | 96.8平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 8天以前发布,135,"13,947元/平"
坐北朝南 户型很好 ， 实用面积大，证满省税。,御文阁二号 -东海,4室2厅 | 136.81平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,1人关注 / 11个月以前发布,376,"27,484元/平"
一级物业管理小区 边套采光好 明厨明卫 看房方便,万科城市之光一期 -东海,3室2厅 | 102.8平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,7人关注 / 5个月以前发布,285,"27,724元/平"
华府边套大四房自住装修，拎包入住,百捷中央公园华府 -泉州桥南,4室2厅 | 154平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,330,"21,429元/平"
房东诚意出售湖山苑 精装3房，双阳台,湖山苑 -晋江万达,3室2厅 | 131.19平米 | 东南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 13天以前发布,170,"12,959元/平"
鲤城 清濛锦绣江南精装大3房 电梯中层 看房有钥匙,锦绣江南 -清濛开发区,3室2厅 | 125.65平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,139.8,"11,127元/平"
四季康城二期精装三房，业主诚意出售,中骏四季康城2期 -南环路,3室2厅 | 89.17平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,100,"11,215元/平"
世茂御龙湾满堂红精装修小三房视野开阔,世茂御龙湾满堂红 -晋江万达,3室2厅 | 98.69平米 | 南 | 精装 | 低楼层(共42层)  | 板楼,0人关注 / 4个月以前发布,156,"15,808元/平"
房东诚意出售 泰禾德辉商圈精装3房,龙福小区C区 -石狮中心,3室2厅 | 135.5平米 | 东南 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,136,"10,037元/平"
泉秀路电梯经典大四房，带阳台！,金帝花园 -泉秀街,4室2厅 | 146.05平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,358,"24,513元/平"
晋江安海恒隆国际花园高层坐北朝南三房出售。,恒隆国际花园 -安海镇,3室2厅 | 112.43平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 8天以前发布,119,"10,585元/平"
新门街红砖框架精装3房，中间楼层，2567,新门街北区 -新门街,3室2厅 | 125.84平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,245,"19,470元/平"
桥南商圈 交通便捷 配套完善 拎包入住 海丝景城,海丝景城 -泉州桥南,3室2厅 | 131.78平米 | 东南 | 简装 | 低楼层(共17层)  | 板塔结合,0人关注 / 6个月以前发布,162.8,"12,354元/平"
