标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
经典户型，精装修，好楼层，采光好，看房方便,民泰龙凤苑 -张店区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,105,"10,825元/平"
世纪花园夏溪园 4室2厅 南 北,世纪花园夏溪园 -张店区,4室2厅 | 175平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,152,"8,686元/平"
沁园北区大三居 113平 65万 采光好 刚需看过来,沁园北区 -张店区,3室2厅 | 112.5平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,26人关注 / 一年前发布,59,"5,245元/平"
明博新城三室 功能齐全 全明户型,明博新城 -张店区,3室2厅 | 130.67平米 | 南 北 | 毛坯 | 中楼层(共39层)  | 板楼,4人关注 / 5个月以前发布,143,"10,944元/平"
鸿泰嘉园  客卧朝阳 满五带储,鸿泰嘉园 -张店区,3室2厅 | 117.68平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,110,"9,348元/平"
经开区临吾悦，6层电梯洋房中间楼层，元宝户三室两厅,嘉亿国际二期 -张店区,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,132,"10,000元/平"
带露台40平！江南豪庭精装修内复式126+60平带储,江南豪庭 -张店区,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,70人关注 / 一年前发布,95,"7,540元/平"
好楼层 无大税 看房方便 全家都说好得房 业主诚意出售,嘉亿国际 -张店区,3室2厅 | 115.41平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,95,"8,232元/平"
凯瑞.小高层中间楼层，配套齐全，采光不错。,凯瑞安园 -张店区,2室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,12人关注 / 一年前发布,82,"7,962元/平"
南区御园  环境好房龄新 元宝户型,黄金国际 -张店区,3室2厅 | 141.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 一年前发布,160,"11,317元/平"
碧玉华庭  方正三居室  南北通透,碧玉华庭 -张店区,3室2厅 | 131.68平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,6人关注 / 10个月以前发布,132,"10,025元/平"
多层电梯洋房采光优质经典三居室,美达华庭 -张店区,3室2厅 | 127.64平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 4个月以前发布,135,"10,577元/平"
华瑞园3楼 南北通透 三卧朝阳 随时看房,华瑞园南区 -张店区,3室2厅 | 81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,50.5,"6,235元/平"
百脑汇旁 柳泉路33号院 多层一楼带院子50平 仅售80万,柳泉路33号 -张店区,3室2厅 | 95.97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 31天以前发布,78,"8,128元/平"
多层二楼房管局领导的房子，精装修,齐泰花苑 -张店区,3室2厅 | 134.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 6个月以前发布,123,"9,145元/平"
鸿泰嘉园带阁楼上下两层能买一套顶两套,鸿泰嘉园 -张店区,2室2厅 | 90.95平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 5个月以前发布,75,"8,247元/平"
精装三室，经典户型，楼层好，视野开阔，近吾悦广场,天泰·嘉亿城 -张店区,3室2厅 | 104.5平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,96,"9,187元/平"
佳和园有车库 好楼层 上重庆路 房主便宜 看房方便,佳和园 -张店区,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,12人关注 / 6个月以前发布,119,"9,917元/平"
巴黎春天 144平 精装带储带车位 拎包入住出门莲池公园,巴黎春天 -张店区,3室2厅 | 143.81平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,148,"10,292元/平"
满两年通透格局， 中间楼层，采光好！ 带车位储藏室！,齐悦花园盛悦园 -张店区,3室2厅 | 165.45平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,10人关注 / 一年前发布,228,"13,781元/平"
书香景园 带大车库 楼层好停车方便,書香景園 -张店区,3室2厅 | 116.24平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,89,"7,657元/平"
华光路  南六巷 多层一楼带院子好房出售,华光路南六巷 -张店区,2室1厅 | 66.5平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 25天以前发布,50,"7,519元/平"
淄江花园精装复式 4居 带储 车位可选,淄江花园南五区 -临淄区,4室3厅 | 143.05平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,18人关注 / 10个月以前发布,95,"6,642元/平"
世纪花园秋悦园多层电梯洋房带大储，有车位,世纪花园秋悦园 -张店区,4室2厅 | 196平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 3个月以前发布,245,"12,500元/平"
（车库）此房3证满2，南边通透，视野开阔，看房方便,佳和园 -张店区,4室2厅 | 178平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,8人关注 / 3个月以前发布,172,"9,663元/平"
紫园 洋房 精装复式 带130平大露台 带地下车位,紫园 -张店区,5室2厅 | 202平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,62人关注 / 一年前发布,236,"11,684元/平"
民泰开发 电梯好楼层 看房方便 业主急售,民泰龙凤苑 -张店区,3室2厅 | 166.2平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,11人关注 / 7个月以前发布,179.9,"10,825元/平"
潘庄 3室2厅 南,潘庄 -张店区,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,43,"4,778元/平"
急售，，鲁能电梯洋房好楼层，3室2卫120万精装修带储,鲁能齐林家园 -张店区,3室2厅 | 162平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 25天以前发布,130,"8,025元/平"
民泰龙凤苑 3室2厅 南 北,民泰龙凤苑 -张店区,3室2厅 | 140.89平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 28天以前发布,150,"10,647元/平"
花漾城北区！好楼层 ！毛坯有车储  ！看房方便有钥匙,花漾城 -张店区,3室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 23天以前发布,121,"8,345元/平"
华润橡树湾精装短住，带储，楼层好，诚意出售！,华润橡树湾 -张店区,3室2厅 | 126.7平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 27天以前发布,170,"13,418元/平"
电梯小高层，全天采光，带储，公摊很小车位另算。,颐丰花园颐馨园 -张店区,3室2厅 | 169平米 | 南 北 | 其他 | 中楼层(共14层)  | 板塔结合,0人关注 / 17天以前发布,227,"13,432元/平"
绿溪园 电梯八楼 精装修 带车位储 小高层,颐丰花园绿溪园 -张店区,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 18天以前发布,189,"13,500元/平"
盛世康城二期 3室1厅 南,盛世康城二期 -张店区,3室1厅 | 122.01平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 29天以前发布,95.5,"7,828元/平"
单位房！实用面积要大！精装不用在装修了,凯瑞碧园 -张店区,3室2厅 | 123.8平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,105,"8,482元/平"
满五年省部分税费，精装修可拎包入住，可做婚房,金都花园(张店区) -张店区,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共20层)  | 板楼,0人关注 / 17天以前发布,72,"6,372元/平"
齐盛湖旁 龙凤苑 精装三室 带储 全明户型,华润橡树湾 -张店区,3室2厅 | 111.9平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,148,"13,227元/平"
黄JIN国际 三室136平方正户 带车储 看房方便诚意出售,黄金国际 -张店区,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,105,"7,721元/平"
带储藏室，世纪花园多层一楼，采光好,世纪花园夏溪园 -张店区,2室2厅 | 103平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 30天以前发布,114,"11,068元/平"
颐丰花园绿溪园三室，精装修，带车位储,颐丰花园绿溪园 -张店区,3室2厅 | 133.4平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 23天以前发布,185,"13,869元/平"
福园精装三居，诚信出售，看房方便,新东升福园 -张店区,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 27天以前发布,140,"12,963元/平"
齐悦三期，17楼全天采光，精装从未住过，带车储。。,齐悦国际花园三期 -张店区,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 25天以前发布,188,"15,040元/平"
阳光春城 客卧朝阳好楼层 精装很干净,阳光春城 -张店区,3室2厅 | 113.7平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,78,"6,861元/平"
颐丰花园颐馨园精装修在住，带车位储！,颐丰花园颐馨园 -张店区,3室2厅 | 146.05平米 | 南 北 | 精装 | 中楼层(共14层)  | 板塔结合,0人关注 / 18天以前发布,236,"16,159元/平"
颐和花园  精装好房 看房方便  采光好,颐和花园 -张店区,1室1厅 | 54.73平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 29天以前发布,36,"6,578元/平"
丽水景苑，人车分流，11年建成，有电梯,丽水景苑 -张店区,1室1厅 | 53.55平米 | 西北 北 | 精装 | 中楼层(共22层)  | 板楼,1人关注 / 16天以前发布,44,"8,217元/平"
精装修 自住 满二 无抵押  可拎包入住,嘉亿国际 -张店区,2室1厅 | 97.84平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,76,"7,768元/平"
龙御现代城大两室，好楼层，全天采光，房主诚意出售,龙御现代城 -张店区,2室2厅 | 108.15平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 4个月以前发布,89.8,"8,304元/平"
经开区电梯小高层 楼层好视野开阔过渡好房首付低,金城 · 春天里小区 -张店区,2室1厅 | 69.42平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,49,"7,059元/平"
王辛小区人民公园旁多层4楼急售,王辛小区 -张店区,2室1厅 | 70.35平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,6人关注 / 7个月以前发布,38,"5,402元/平"
蓝天广场旁，多层3楼，两室一厅，带地上储,西山小区 -张店区,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 8天以前发布,25,"4,386元/平"
山泉小区街西精装两室，多层二楼，业主急售！！！！,山泉小区街西 -张店区,2室1厅 | 70.06平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,32,"4,568元/平"
此房满五，房龄新 格局好、楼前多层，采光没问题,花好园小区 -张店区,3室2厅 | 105.1平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,7人关注 / 6个月以前发布,89.9,"8,554元/平"
福园精品三室，带储藏室，有车位，有钥匙看房方便,新东升福园 -张店区,3室2厅 | 125.74平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,170,"13,520元/平"
次楼顶采光视野好万科翡翠书院147平带车位储精装未住,万科·翡翠书院 -张店区,3室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,1人关注 / 1个月以前发布,255,"17,347元/平"
龙凤苑 小三室 祥瑞 龙凤  看房方便 有钥匙,民泰龙凤苑 -张店区,3室1厅 | 99.5平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,110,"11,056元/平"
龙泰苑 电梯次顶层 精装修 带储公摊小 另外有两个车位,民泰 · 龙泰苑A区 -张店区,3室2厅 | 129.01平米 | 北 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,157,"12,170元/平"
有车位，出门九中，电梯三室。花好园，业主诚意出售,花好园小区 -张店区,3室2厅 | 111.8平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,29人关注 / 一年前发布,99.9,"8,936元/平"
龙泰苑B区精装修，带储！满二，房主诚意出售！,民泰▪龙泰苑 -张店区,3室2厅 | 118.03平米 | 北 南 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 7个月以前发布,148,"12,540元/平"
精准婚房未住 带车位储 好楼层无遮挡 证满五唯一,齐悦国际花园一期 -张店区,3室2厅 | 140.51平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,4人关注 / 3个月以前发布,177,"12,597元/平"
金科学府电梯6楼元宝户精装带储带车位随时看房,金科学府 -张店区,3室2厅 | 126.95平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,105,"8,271元/平"
辉盛精装未住！电梯洋房！双实 验！有钥匙随时可看！,辉盛鑫苑学府 -张店区,3室2厅 | 103.96平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 4个月以前发布,115,"11,062元/平"
嘉亿国际 精装三居 南北通透 中间楼层,嘉亿国际 -张店区,3室2厅 | 104.9平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,93,"8,866元/平"
满两年 通透格局 中间楼层采光好带车位 车库储藏室！,齐悦国际花园一期 -张店区,3室2厅 | 176.96平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,230,"12,998元/平"
中央公园三居好户型  好楼层 急售~随时看~,中央公园 -张店区,3室2厅 | 140.2平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,128,"9,130元/平"
绿城元宝户型楼层好毛坯带储有车位可看齐盛湖,绿城紫薇园 -张店区,3室2厅 | 142.66平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,185,"12,968元/平"
龙泰苑B区精装修自住房，带储，房主诚意出售！,民泰▪龙泰苑 -张店区,3室2厅 | 125.04平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,6人关注 / 10个月以前发布,155,"12,397元/平"
汇美和平里  精装三室  中间楼层  带车位,汇美·和平里 -张店区,3室2厅 | 117.89平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,112,"9,501元/平"
龙凤苑A区，精装修，带车位储，满二！诚意出售!,民泰龙凤苑 -张店区,3室2厅 | 142平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,159,"11,198元/平"
南北通透3居室，精装，无遮挡，靠人民公园,天府明珠 -张店区,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,16人关注 / 8个月以前发布,89.9,"7,684元/平"
怡海世家 2室2厅 电梯中层 精装,怡海世家 -张店区,2室2厅 | 120.48平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,99,"8,218元/平"
此房证件齐全，满五年唯一精装有车位带储，价格可议,紫园 -张店区,3室2厅 | 124.1平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,155,"12,490元/平"
中南樾府好楼层大四室带车位储藏室诚心出售,中南樾府 -桓台县,4室2厅 | 147平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,115,"7,824元/平"
丽景翠苑 客卧朝阳 采光充足 视野开阔,丽景翠苑 -张店区,2室1厅 | 76.16平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,26,"3,414元/平"
莲池北美达花园 三楼有车库  全明户型 07年房 采光佳,美达花园 -张店区,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 8个月以前发布,90,"8,491元/平"
柳泉璞苑 3室2厅 南 北,柳泉璞苑 -张店区,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,57,"6,334元/平"
通透好户型 多层电梯洋房 有车位有大露台,东岳盛景澜庭 -张店区,3室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,14人关注 / 6个月以前发布,137,"9,134元/平"
龙御九级村三室 房主诚心出售 证满五年带储,龙御九级村 -张店区,3室2厅 | 100.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,76,"7,579元/平"
紫薇园 楼层好  观景美宅  远眺齐盛湖,绿城紫薇园 -张店区,3室2厅 | 142.6平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,179,"12,553元/平"
王舍铁路小区，温馨两室两厅，多层3楼。证件齐全,王舍铁路小区 -张店区,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,53,"6,625元/平"
柳泉璞苑 3室2厅 南 北,柳泉璞苑 -张店区,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,57,"6,334元/平"
通透好户型 多层电梯洋房 有车位有大露台,东岳盛景澜庭 -张店区,3室2厅 | 150平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,14人关注 / 6个月以前发布,137,"9,134元/平"
多层2楼 南北通透 全套家具家电，20多平储藏,丽景苑 -张店区,3室2厅 | 143.23平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,33人关注 / 一年前发布,122,"8,518元/平"
鸿泰嘉园  小两室便宜出售！！！,鸿泰嘉园 -张店区,2室2厅 | 93平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,86,"9,248元/平"
