标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
绿地海长流三期 2室2厅 北,绿地海长流三期 -远大,2室2厅 | 92.3平米 | 北 | 精装 | 22层  | 板塔结合,0人关注 / 24天以前发布,165,"17,877元/平"
龙昆南精装大两房着急出售，低于市场20万！急、急、急,宝驹花园 -金盘,2室2厅 | 90.07平米 | 南 北 | 简装 | 中楼层(共14层)  | 板塔结合,2人关注 / 20天以前发布,138,"15,322元/平"
儒俊雅苑 3室2厅 南,儒俊雅苑 -椰海大道,3室2厅 | 100.81平米 | 南 | 精装 | 9层  | 板楼,0人关注 / 26天以前发布,155,"15,376元/平"
海口湾泉海好家园精装两房 满五,泉海好家园 -海口湾,2室2厅 | 86.21平米 | 北 | 其他 | 15层  | 板塔结合,2人关注 / 30天以前发布,150,"17,400元/平"
视野开阔，使用率高，正规2房，配套完善，交通方便,绿地·海德公馆 -解放西,2室2厅 | 66.04平米 | 北 | 其他 | 33层  | 板塔结合,3人关注 / 30天以前发布,158,"23,925元/平"
此房产证满五唯一，板楼户型，通风好采光足。,钰翔花园 -国贸,3室2厅 | 87平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 17天以前发布,130,"14,943元/平"
亚洲豪苑南区 正规三房 装修好 户型好,亚洲豪苑南区 -金盘,3室2厅 | 112平米 | 南 | 精装 | 10层  | 板塔结合,1人关注 / 17天以前发布,185,"16,518元/平"
碧桂园精装2房 边户 满2年  中间楼层,碧桂园·中央首府 -椰海大道,2室2厅 | 64.75平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 23天以前发布,130,"20,078元/平"
康业西湖苑  蓝天路  满五电梯3房,康业西湖苑 -明珠,3室2厅 | 101平米 | 南 | 简装 | 12层  | 板塔结合,0人关注 / 19天以前发布,96,"9,505元/平"
时代城一期 毛 坯 正规三房  视野开阔无遮挡,时代城 -西海岸南片区,3室2厅 | 113.15平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 16天以前发布,152,"13,434元/平"
海甸二东路   海甸城旁  水岸星城A区 标准大三房,水岸星城A区 -海甸岛,3室2厅 | 104平米 | 北 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 27天以前发布,136,"13,077元/平"
五源河公寓二期 楼栋好 看小区园林 看房有钥匙,五源河公寓二期（D区） -远大,3室2厅 | 125平米 | 南 | 其他 | 23层  | 板塔结合,3人关注 / 2个月以前发布,190,"15,200元/平"
采光通风好，户型方正，交通生活方便。,光明阁B区 -海甸岛,2室2厅 | 113.05平米 | 东 北 | 简装 | 高楼层(共15层)  | 塔楼,9人关注 / 10个月以前发布,111,"9,819元/平"
解放西精装修户型，生活方便，居住舒适，过度很好,丽都花园 -解放西,1室0厅 | 47.35平米 | 南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 13天以前发布,77,"16,262元/平"
永南苑，满五唯一，总价低，龙昆南小户型！,永南苑 -龙昆南,1室1厅 | 48.97平米 | 南 | 其他 | 高楼层(共13层)  | 板塔结合,3人关注 / 12天以前发布,75,"15,316元/平"
美丽沙花园4房毛坯带2个地下车位私家大露台,美丽沙花园 -海甸岛,4室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,19人关注 / 4个月以前发布,228,"18,537元/平"
江东新区绿地城，美兰机场，毛坯3房 业主诚心出售,海南绿地城 -江东,3室2厅 | 106.85平米 | 南 北 | 毛坯 | 7层  | 板楼,94人关注 / 一年前发布,130,"12,167元/平"
刷卡带走0首辅急售，精装江景一房，收租利器，满二,倚能美林湾 -江东,1室1厅 | 52.42平米 | 西南 | 精装 | 11层  | 板塔结合,12人关注 / 8个月以前发布,69,"13,163元/平"
椰海大道，精装修两房，交通便利，业主急售,易瓒良庄 -椰海大道,2室2厅 | 92.23平米 | 南 | 简装 | 17层  | 板塔结合,0人关注 / 1个月以前发布,135,"14,638元/平"
国贸繁华地段 南北通透 步梯大三房 低总价,金融花园 -国贸,3室2厅 | 127.93平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,130人关注 / 一年前发布,80,"6,254元/平"
海口湾精装修大阳台两房，满五年唯一,瀛寰名仕苑 -海口湾,2室2厅 | 103.67平米 | 西北 | 精装 | 低楼层(共14层)  | 板塔结合,14人关注 / 8个月以前发布,188,"18,135元/平"
和贵公馆，高楼层，江景房，景色美丽,和贵公馆 -滨江,2室2厅 | 83.77平米 | 北 东 | 精装 | 20层  | 板楼,0人关注 / 1个月以前发布,149,"17,787元/平"
世贸成熟片区 交通方便  舒适二房 看房方便  随时可看,祥阁深蓝湾 -世贸,2室2厅 | 87.42平米 | 西南 | 简装 | 中楼层(共21层)  | 板塔结合,10人关注 / 4个月以前发布,125,"14,299元/平"
国贸 万象城 大润发 华润小区 两房两厅 精装修未住过,海口华润中心 -国贸,2室2厅 | 101.51平米 | 南 | 精装 | 中楼层(共35层)  | 板塔结合,9人关注 / 3个月以前发布,268,"26,402元/平"
钥匙房 文明东和平南 一房一厅首付9万 税费低电梯房,万银大厦 -和平南,1室1厅 | 28.17平米 | 南 | 简装 | 低楼层(共15层)  | 塔楼,6人关注 / 2个月以前发布,30,"10,650元/平"
万达商圈 白水塘大型绿化小区 南北通透3+1房 满五税低,锦地翰城 -万达,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,24人关注 / 5个月以前发布,190,"16,667元/平"
椰城花园精装大两房，采光好，看房方便。,椰城花园 -海口湾,2室2厅 | 80.92平米 | 北 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 2个月以前发布,118,"14,583元/平"
此房满五多套格局楼层采光佳，有阳台，小区有温泉泳池,怡心园 -海甸岛,1室1厅 | 48.67平米 | 南 | 其他 | 20层  | 塔楼,1人关注 / 1个月以前发布,80,"16,438元/平"
和贵公馆 2室1厅 东南,和贵公馆 -滨江,2室1厅 | 72平米 | 东南 | 其他 | 25层  | 板楼,0人关注 / 7天以前发布,123,"17,084元/平"
水岸兰亭 1室2厅 北,水岸兰亭 -海甸岛,1室2厅 | 57.62平米 | 北 | 其他 | 高楼层(共10层)  | 塔楼,8人关注 / 3个月以前发布,85,"14,752元/平"
碧桂园87平三房，满二，中间楼层，业主诚心出售,碧桂园·中央首府 -椰海大道,3室2厅 | 86.25平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 14天以前发布,164,"19,015元/平"
凤翔东路 五小旁 正规三房两厅两卫 中高楼层 车位充足,绿源雅都 -滨江,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 18天以前发布,158,"16,289元/平"
海航国兴城 日月广场国兴商圈 满五年高楼层,海航国兴城 -国兴,2室2厅 | 91.55平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,22人关注 / 8个月以前发布,220,"24,031元/平"
滨江路 滨江帝景二期 精装修 4房2厅2卫,广物滨江帝景Ⅱ期 -滨江,4室2厅 | 143.61平米 | 南 | 精装 | 17层  | 板塔结合,0人关注 / 1个月以前发布,280,"19,498元/平"
正规精装两房户型方正采光好，证在手满五，业主诚心卖,祥和家园 -紫园片区,2室2厅 | 93.31平米 | 南 | 精装 | 18层  | 板楼,14人关注 / 6个月以前发布,210,"22,506元/平"
凤翔西 高档小区龙昆花园94平三房两卫 美舍河边,乾坤湖龙昆花园 -凤翔,3室1厅 | 93.73平米 | 南 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 6天以前发布,160,"17,071元/平"
龙华区 龙昆南大型小区 出行交通便利,耀江花园 -龙昆南,2室2厅 | 93.47平米 | 北 | 精装 | 19层  | 板塔结合,20人关注 / 一年前发布,160,"17,118元/平"
府城 2017年小区 三房朝南带俩阳台 泳池加地下停车场,盛世一品 -府城,3室2厅 | 87.49平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,12人关注 / 5个月以前发布,158,"18,060元/平"
小区环境好，交通便利，生活配套齐全。户型号，楼层好,金隅大成西溪里 -海甸岛,2室2厅 | 88.39平米 | 南 北 | 其他 | 14层  | 板塔结合,0人关注 / 1个月以前发布,176,"19,912元/平"
满二无抵押，房子保养好，可拎包入住，,碧桂园·滨海国际 -新埠岛,2室1厅 | 61.6平米 | 南 | 简装 | 18层  | 板塔结合,0人关注 / 1个月以前发布,138,"22,403元/平"
楠滨华庭 2018年小区 满二精装修 3房2厅2卫 户型方正,楠滨华庭 -海垦,3室2厅 | 123.86平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,5人关注 / 2个月以前发布,235,"18,974元/平"
国兴商圈 户型通透 精装修 拎包入住,美苑小区 -国兴,3室2厅 | 109.28平米 | 东 | 精装 | 高楼层(共12层)  | 板塔结合,7人关注 / 6个月以前发布,200,"18,302元/平"
海甸 排水公寓 单位房 无公摊 实用面积大 满五唯一,排水公寓 -海甸岛,3室2厅 | 90.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,165,"18,285元/平"
急售！国兴片区 精装两房 英才分校旁边 好楼层税少,水滨花园1期 -国兴,2室2厅 | 63.39平米 | 东 | 精装 | 25层  | 板塔结合,5人关注 / 2个月以前发布,112,"17,669元/平"
此房满五唯一，配套设施齐全，交通便利,千家新村 -白龙,3室2厅 | 92.41平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,120,"12,986元/平"
铂仕苑 四房板楼 次新小区 国兴大道日月广场旁,国瑞城·铂仕苑 -国兴,4室2厅 | 201.22平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,520,"25,843元/平"
客官快来，这里有公摊小的房子，还满五唯一呢,锦地翰城 -万达,3室2厅 | 88.7平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,22人关注 / 1个月以前发布,130,"14,657元/平"
人民公园旁精装电梯3房总价低 楼层视野通透,华发大厦 -解放西,3室2厅 | 87.49平米 | 西南 | 精装 | 高楼层(共28层)  | 塔楼,9人关注 / 1个月以前发布,83,"9,487元/平"
城东市场旁 正规三房 公摊小 中间楼层 看房方便,开源水务有限公司宿舍 -滨江,3室2厅 | 84.4平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,5人关注 / 7个月以前发布,90,"10,664元/平"
国兴片区电梯四房，路段好，总价低，楼层适中,金桃苑 -国兴,4室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 11天以前发布,139,"11,780元/平"
急售3房2厅2卫 另有25平方可利用 光线好通风 配套齐全,衍宏·康馨花园 -龙昆南,3室2厅 | 109.85平米 | 西南 | 精装 | 22层  | 塔楼,3人关注 / 2个月以前发布,173,"15,749元/平"
次新的大型社区，交通便利，楼层好，采光充足,南海幸福城 -金盘,3室2厅 | 102.15平米 | 南 | 精装 | 28层  | 板塔结合,1人关注 / 1个月以前发布,196,"19,188元/平"
临江靠海坐邻公园中间楼层精装两房,海景花园 -海甸岛,2室2厅 | 68.09平米 | 北 | 简装 | 9层  | 板楼,1人关注 / 1个月以前发布,99,"14,540元/平"
江东新区 花园小高层 倚能美林湾 江景房 高楼层视野好,倚能美林湾 -江东,2室2厅 | 76.71平米 | 西南 | 精装 | 12层  | 板楼,11人关注 / 4个月以前发布,143,"18,642元/平"
国兴片区电梯四房，路段好，总价低，楼层适中,金桃苑 -国兴,4室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共20层)  | 板塔结合,0人关注 / 11天以前发布,139,"11,780元/平"
城东市场旁 正规三房 公摊小 中间楼层 看房方便,开源水务有限公司宿舍 -滨江,3室2厅 | 84.4平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,5人关注 / 7个月以前发布,90,"10,664元/平"
绿地文化城一期装修四房中楼层 满二有车位 业主急售,绿地文化城 -西海岸南片区,4室2厅 | 150.67平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 3个月以前发布,240,"15,929元/平"
精装小三房 满五唯一 看房方便 热门小区 价格可谈,碧桂园·滨海国际 -新埠岛,3室2厅 | 84平米 | 南 | 精装 | 18层  | 板塔结合,0人关注 / 1个月以前发布,200,"23,810元/平"
楼层好 视野好，户型方正，业主诚心出售。,星华海岸城 -远大,2室2厅 | 84.37平米 | 南 | 精装 | 26层  | 板塔结合,14人关注 / 11个月以前发布,160,"18,965元/平"
世贸片区 正规一房一厅 小区配套全 看房方便随时可签,世贸兰庭 -世贸,1室1厅 | 49.38平米 | 东北 | 简装 | 中楼层(共21层)  | 板塔结合,14人关注 / 4个月以前发布,92,"18,632元/平"
鲁能美高梅五源河品质小区热卖两房,鲁能·钓鱼台·美高梅 -远大,2室2厅 | 78.22平米 | 南 | 精装 | 18层  | 板塔结合,3人关注 / 一年前发布,165,"21,095元/平"
阳光三号苑 2室2厅 南,阳光三号苑 -龙昆南,2室2厅 | 74.23平米 | 南 | 简装 | 26层  | 板楼,0人关注 / 6天以前发布,152,"20,477元/平"
西海岸实用性强2改3房 绿地海长流中间层采光通风,绿地海长流 -远大,3室2厅 | 93.87平米 | 南 | 精装 | 23层  | 板塔结合,51人关注 / 一年前发布,175,"18,643元/平"
房子精装 带一个大露台   三房,广物滨江帝景1期 -滨江,3室2厅 | 110.15平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,5人关注 / 2个月以前发布,200,"18,158元/平"
海口湾南北通透大三居室 精装修拎包入住 满五税少,御景湾 -海口湾,3室2厅 | 149.39平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 2个月以前发布,318,"21,287元/平"
友谊华庭 1室1厅 南,友谊华庭 -海垦,1室1厅 | 38.8平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 22天以前发布,63,"16,238元/平"
万绿园 滨海公园 小户型 通风采光好 套内面积27.36平,林业大厦 -解放西,1室1厅 | 27.36平米 | 西 | 简装 | 中楼层(共14层)  | 暂无数据,3人关注 / 28天以前发布,35,"12,793元/平"
吾悦广场 精装修四房 高楼层南北通透户型方正彩光好,海口新城吾悦广场 -椰海大道,4室2厅 | 126.38平米 | 南 北 | 精装 | 25层  | 板楼,0人关注 / 5个月以前发布,240,"18,991元/平"
江东新区，绿地城毛坯房业主急售，,海南绿地城 -江东,2室2厅 | 67.78平米 | 西北 | 毛坯 | 15层  | 板塔结合,2人关注 / 3个月以前发布,96,"14,164元/平"
西海岸正规三房两厅一厨一卫。精装修。,鲁能·海蓝园筑 -远大,3室2厅 | 91平米 | 南 | 精装 | 18层  | 板楼,12人关注 / 11个月以前发布,175,"19,231元/平"
恒大美丽沙 天寰湾 一房一厅业主诚信出售  随时可看,海口恒大美丽沙 -海甸岛,1室2厅 | 71.68平米 | 西 | 精装 | 低楼层(共24层)  | 塔楼,56人关注 / 一年前发布,143,"19,950元/平"
海垦路 信力花苑 电梯板房 户型方正 正规3房,信力花苑 -海垦,3室2厅 | 128.8平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,76人关注 / 4个月以前发布,170,"13,199元/平"
万达商圈配套齐全，生活便利，出行便利，品质社区。,万达·骏豪仕家 -万达,2室1厅 | 88平米 | 南 | 精装 | 32层  | 板塔结合,12人关注 / 6个月以前发布,163,"18,523元/平"
房源点评亮点，以及房源系信息，房源介绍。,下贤教师村 -国兴,3室2厅 | 88.71平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,115,"12,964元/平"
滨海大道，精装四房，小区品质，都市精英居住地,海悦东方 -秀英,3室2厅 | 122.64平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,4人关注 / 1个月以前发布,210,"17,124元/平"
小三房，户型方正，楼层佳，总价低,时代城二期 -西海岸南片区,3室2厅 | 88.05平米 | 北 | 毛坯 | 31层  | 板塔结合,7人关注 / 1个月以前发布,110,"12,493元/平"
此房户型方正的格局。每个房间都带窗。无暗房，,翰林西苑 -万达,5室1厅 | 159平米 | 南 北 | 毛坯 | 11层  | 板楼,3人关注 / 2个月以前发布,222,"13,963元/平"
西海岸南片区精装两房中间楼层户型方正朝向好采光好,时代城 -西海岸南片区,2室2厅 | 86.88平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 1个月以前发布,118,"13,582元/平"
海岛阳光三期 3室1厅 南,海岛阳光三期 -秀英,3室1厅 | 133.87平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,188,"14,044元/平"
西海岸，五源河公寓，价格便宜，大三房。低价出售,五源河公寓A区 -远大,3室2厅 | 127平米 | 南 北 | 其他 | 32层  | 板楼,1人关注 / 19天以前发布,210,"16,536元/平"
兴发阁 3室2厅 东南,兴发阁 -海甸岛,3室2厅 | 98平米 | 东南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 17天以前发布,118,"12,041元/平"
长堤明珠 2室2厅 南 北,长堤明珠 -和平南,2室2厅 | 80.61平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,2人关注 / 28天以前发布,115,"14,267元/平"
蓝岛康城 2室1厅 南,蓝岛康城 -海甸岛,2室1厅 | 69平米 | 南 | 精装 | 25层  | 塔楼,0人关注 / 19天以前发布,110,"15,943元/平"
和平花苑  大四房  空间大 小区环境好 电梯房,和平花苑 -和平南,4室2厅 | 142.67平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,175,"12,267元/平"
海甸城旁小两房户型方正诚心出售,水岸星城B小区 -海甸岛,2室1厅 | 61.44平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 19天以前发布,95,"15,463元/平"
一线海景 南北通透两房 诚心出售,碧桂园·滨海国际 -新埠岛,2室2厅 | 77.69平米 | 南 北 | 精装 | 18层  | 板塔结合,2人关注 / 25天以前发布,160,"20,595元/平"
