标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
万达一期头排一天未住，采光好，好楼层，一眼看中,万达体育新城 -体育新城,3室2厅 | 91.22平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 4天以前发布,165.8,"18,176元/平"
琥珀城 医大三院门口 步梯上越 适合多人口家庭居住,琥珀城 -普兰店,4室2厅 | 91.71平米 | 南 北 | 精装 | 高楼层(共5层)  | 塔楼,55人关注 / 一年前发布,56,"6,107元/平"
国民院子近乐都汇商场，精装修三室，拎包入住诚心出售,国民院子 -辛寨子,3室2厅 | 107.01平米 | 南 西 北 | 精装 | 中楼层(共5层)  | 板楼,50人关注 / 8个月以前发布,205,"19,158元/平"
天赋山二期 精品三室 精装未住 诚心出售 有钥匙双知行,中海天赋山二期 -绿波,3室2厅 | 111.81平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,38人关注 / 5个月以前发布,202,"18,067元/平"
西山易和熙园 顶层跃层 众揽西山湖,易和熙园 -万科假日,2室2厅 | 76.13平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,3人关注 / 1个月以前发布,165,"21,674元/平"
三跃四楼大平层，使用空间大，60平半地下仓房,皇嘉花园 -红梅翠竹,4室3厅 | 243.13平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,48人关注 / 一年前发布,350,"14,396元/平"
高新后花园 品质物业 小高跃层产品,中海御湖熙谷 -溪之谷,6室2厅 | 109.99平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,30人关注 / 5个月以前发布,220,"20,002元/平"
《店长推荐》中间位置 采光视野好 定制衣帽间,万科魅力之城 -魅力之城,3室1厅 | 86.68平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,9人关注 / 9个月以前发布,131,"15,114元/平"
B区中间位置，楼间距大，实得面积大，精装修，诚心卖,三鼎春天B区 -第五郡,3室2厅 | 110.13平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,6人关注 / 2个月以前发布,298,"27,059元/平"
三鼎春天，南北三室，中间楼层视野采光好，,三鼎春天 -第五郡,3室1厅 | 97.65平米 | 西 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,252,"25,807元/平"
南北通透格局好，采光充足，近实验和育文。,第五郡一号地 -第五郡,3室2厅 | 115.8平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,39人关注 / 9个月以前发布,269,"23,230元/平"
967医院附 近 无明户型 无坡 两室两厅 中间楼层,东北路（石道街商圈） -石道街,2室2厅 | 64.57平米 | 东 南 北 | 其他 | 中楼层(共7层)  | 板楼,8人关注 / 30天以前发布,66,"10,222元/平"
芙蓉花园（金州） 3室1厅 南 北,芙蓉花园（金州） -连大,3室1厅 | 95.66平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,118,"12,336元/平"
精装修三室两厅 中间楼层 采光好 位置不错 拎包入住,青国青城 -金湾新城,3室2厅 | 77.97平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 26天以前发布,92,"11,800元/平"
三八广场 2楼 南北三室 采光充足,警后大院（三八广场） -三八北,3室1厅 | 105.66平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 31天以前发布,156,"14,765元/平"
精装修21年交房次顶楼，视野采光好。,万科樱花园三期 -龙王塘,3室1厅 | 91.05平米 | 西 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 18天以前发布,119,"13,070元/平"
此房精装修 位置好，商圈成熟 低楼层,新月街 -新起屯,2室1厅 | 51.3平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 26天以前发布,58,"11,307元/平"
万科品质三室前排视野采光好中间楼层交通方便诚心出售,万科樱花园 -龙王塘,3室2厅 | 100.94平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 20天以前发布,135,"13,375元/平"
新上东居里，精装两室，产版清晰，有钥匙,东居里 -东山,2室1厅 | 77.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 25天以前发布,67.6,"8,779元/平"
中山区 亿达云集 楼龄新 南北向 3室 高楼层 精装修,亿达云集 -青云街,3室1厅 | 98.98平米 | 南 北 | 精装 | 高楼层(共35层)  | 板楼,4人关注 / 16天以前发布,230,"23,238元/平"
东北名苑电梯房 前后不挡光手续清晰,东北名苑 -大纺,3室2厅 | 133.74平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 25天以前发布,218,"16,301元/平"
雍景台 劳动公园尽收眼底 近地铁近麦凯乐商场 有钥匙,雍景台 -南山,2室1厅 | 121.21平米 | 东 南 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 28天以前发布,214,"17,656元/平"
西沟小区，无坡，一楼南北通透，诚心出售,西沟小区 -孙家沟,2室1厅 | 54.64平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 21天以前发布,68,"12,446元/平"
春柳车站 两室精装 近市场 医院和车站 生活方便,李家街 -春柳,2室1厅 | 50.69平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 19天以前发布,58.8,"11,600元/平"
金海花园西园 2室2厅 南 北,金海花园西园 -香炉礁,2室2厅 | 90.14平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 20天以前发布,135,"14,977元/平"
金润  精装两小室  出行方便  位置好,金润小区B区 -金润,2室1厅 | 74.01平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 21天以前发布,72,"9,729元/平"
天河公寓70年住宅电梯房 20万精装修 诚心出售 ！,天河公寓 -西安路,2室1厅 | 98平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 26天以前发布,139,"14,184元/平"
东西向户型，户型规矩。三楼。地脚好。近车站,文体街 -甘井子,2室1厅 | 49.09平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,61.7,"12,569元/平"
东港印象 五明户型 南北通透 采光好,东港印象C区 -寺儿沟,2室2厅 | 87.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 25天以前发布,227.5,"26,003元/平"
泉水轻轨站  泉水河公园  精装修落地窗 看房方便,龙畔金泉五期K2区 -泉水龙畔金泉,2室1厅 | 89.57平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 24天以前发布,122,"13,621元/平"
港湾小，76，室内保持好 交通方便 近公交车站,椒房 -金三角,1室1厅 | 36.24平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 20天以前发布,37.5,"10,348元/平"
房子是半封闭小区 铁路段好房 小区从新绿化 地脚好,延安小区 -南山,2室1厅 | 68.93平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 24天以前发布,125,"18,135元/平"
装修保持好，拎包入住，近地铁 轻轨站,锦泉源D3区 -泉水锦泉源,1室1厅 | 50.58平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 30天以前发布,69.9,"13,820元/平"
汇邦中心 1室1厅 西北,汇邦中心 -中山友好,1室1厅 | 48.15平米 | 西北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 30天以前发布,219,"45,483元/平"
桃山小区  房主急售  采光充足  中等装修保持好,桃山小区 -南沙,2室1厅 | 73.6平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 1个月以前发布,63,"8,560元/平"
一楼带小院20多平以围院墙 自己精装修 带家具家电,糖果小区 -金润,2室1厅 | 69.14平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 30天以前发布,79.5,"11,499元/平"
近地铁！工小旁一室一厅，价格便宜，4楼，地脚好！,香炉礁 -香炉礁,1室0厅 | 30.1平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 28天以前发布,31.5,"10,466元/平"
金州金纺万科城二期两室一厅精装修万科物业,万科城 -金纺,2室1厅 | 72.85平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 24天以前发布,69.9,"9,596元/平"
70年产权 辽师 大华爱琴湾 南向小户型两居室 次新小区,大华爱琴湾 -庙岭,2室1厅 | 65.59平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,149,"22,717元/平"
此房南北通透，精装修，中间楼层，视野开阔，看房方便,大华锦绣华城八期 -庙岭,2室1厅 | 71.53平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 26天以前发布,165,"23,068元/平"
暖山洋房南北通厅户型 精装修 采光充足 楼层好,锦绣暖山 -叠翠,2室1厅 | 97.04平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 24天以前发布,157,"16,179元/平"
大纺八十 南北两室中间楼层交通便利,八十中东海街 -大纺,2室1厅 | 55.83平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 30天以前发布,79.5,"14,240元/平"
人民路上两室一厅精装修低楼层拎包住,职工街（三八广场） -三八北,2室1厅 | 47.96平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,80,"16,681元/平"
锦泉源 一室 交通便利   地铁  轻轨   南向,锦泉源D3区 -泉水锦泉源,1室1厅 | 40.13平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 30天以前发布,50.9,"12,684元/平"
新秀街，南北向小户型，随时看，缓坡,新秀街（新起屯商圈） -新起屯,1室1厅 | 41.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,48,"11,648元/平"
锦江园 南北向 两室一厅 精装修 户型好,锦江园 -锦绣,2室1厅 | 76.32平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 19天以前发布,61,"7,993元/平"
永平79 标准两室一厅 3楼 有钥匙看房方便,永平 -中山公园,2室1厅 | 55.83平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 16天以前发布,162,"29,017元/平"
无欠款，精装修，拎包入住，供暖好，诚心出售,裕民新苑 -东城,2室1厅 | 64.26平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 22天以前发布,56,"8,715元/平"
09年框架两居诚心卖 位置好双知行 适合各种客户群体,枫林绿洲 -绿波,2室1厅 | 77.95平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,99,"12,701元/平"
精装修一室南向户型，小区好，看好能谈，有钥匙！,华润海中国五期 -华润海中国,1室1厅 | 66.53平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 31天以前发布,99,"14,881元/平"
精装修的，南向的房子，户型方正，采光好，出行方便,金连佳地 -光明,2室1厅 | 70.32平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 17天以前发布,89,"12,657元/平"
新秀街，二楼南向，小户型随时看房,新秀街（新起屯商圈） -新起屯,1室1厅 | 39.74平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,43,"10,821元/平"
无欠款，精装修，拎包入住，供暖好，诚心出售,裕民新苑 -东城,2室1厅 | 64.26平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 22天以前发布,56,"8,715元/平"
三十九 70年住宅 精装一室 近儿童公园 三八广场家乐福,嘉和花样年华二期 -三八南,1室0厅 | 46.1平米 | 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 18天以前发布,70,"15,185元/平"
70年产权 辽师 大华爱琴湾 南向小户型两居室 次新小区,大华爱琴湾 -庙岭,2室1厅 | 65.59平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,149,"22,717元/平"
白云新村 一楼带院 无坡南向简单装修 可自主,山庄北三街 -莲花白云,1室1厅 | 33.03平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 22天以前发布,45,"13,624元/平"
五二三海边 适合老人养老楼层好2楼,五二三厂 -甘井子,1室1厅 | 35.64平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 21天以前发布,35.5,"9,961元/平"
09年知行 精装 两居室 南北通透 采光好视野好,枫林绿洲 -绿波,2室1厅 | 77平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 27天以前发布,106,"13,767元/平"
电梯入户洋房 好楼层 精装修没住 保持好 家具家电齐全,红星海时光的岸 -红星海,2室1厅 | 111平米 | 南 北 | 精装 | 9层  | 板楼,0人关注 / 16天以前发布,159,"14,325元/平"
锦泉源D区  一室  南向 交通便利  电梯  房主诚心 卖,锦泉源D2区 -泉水锦泉源,1室0厅 | 36.17平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,2人关注 / 29天以前发布,45.5,"12,580元/平"
湾里南 精装修 拎包入住 配套齐全,湾里南小区 -金湾新城,2室2厅 | 86.4平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 20天以前发布,82,"9,491元/平"
泉水 D1区 精装修 南北 户型好 装修保持好地铁一号线,锦泉源D1区 -泉水锦泉源,2室1厅 | 60.84平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 20天以前发布,94,"15,451元/平"
安盛万达商圈，地理位置好，交通便利，装修好,开发区万达广场 -开发区万达,2室1厅 | 68.51平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 24天以前发布,41,"5,985元/平"
34中纪念街交通便利户型方正保持干净,34中纪念街 -唐山街,2室1厅 | 57.74平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 29天以前发布,138,"23,901元/平"
亿锋广场南向大一室 前排楼层视野好诚心出售 随时签约,亿锋广场一期 -亿锋,1室1厅 | 56.09平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 29天以前发布,73.5,"13,104元/平"
银帆两室 房主诚心出售 看房方便,银帆国际 -亿锋,2室2厅 | 75.09平米 | 南 | 精装 | 中楼层(共35层)  | 塔楼,2人关注 / 24天以前发布,84.5,"11,254元/平"
2012年框架马栏广场辽师芙蓉园两室精装修业主诚心急售,芙蓉园小区 -辽师,2室1厅 | 50.06平米 | 东 南 | 精装 | 高楼层(共25层)  | 塔楼,2人关注 / 27天以前发布,87,"17,380元/平"
34水仙 中间楼层 南北通透 两室 无坡位置,34中胜利路 -唐山街,2室1厅 | 66.83平米 | 南 北 东 | 毛坯 | 低楼层(共14层)  | 板楼,1人关注 / 20天以前发布,142,"21,248元/平"
锦城西园 二楼+南北通厅+地铁汇文+采光好+老少皆宜,锦城西园 -机场,2室2厅 | 98.39平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 27天以前发布,185,"18,803元/平"
高新区精装修海景房，采光视野俱佳交通便利,柏悦国际公寓 -高新园区,2室1厅 | 57.38平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,4人关注 / 21天以前发布,109.5,"19,084元/平"
富国街地铁站旁 三楼 单价低 奢华丛中一片春,星海造船楼 -和平广场,1室1厅 | 55.84平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 28天以前发布,69,"12,357元/平"
南北通透，带飘窗的08年框架房，周二汇文,鼎新鼎云都 -促进路,2室1厅 | 82.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,7人关注 / 25天以前发布,162.8,"19,734元/平"
美树日记 两室 中间楼层 精装拎包住 育文 近地铁,美树日记 -第五郡,2室2厅 | 92.8平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 28天以前发布,210,"22,630元/平"
急售精装中山区低楼层 棒棰岛沿线 风景好,山峦北巷 -中南,1室1厅 | 39.2平米 | 南 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,39.9,"10,179元/平"
采光充足，楼层好，配套设施好；交通便利,金润小区A区 -金润,2室1厅 | 67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,61,"9,105元/平"
诺维溪谷52.17平南向一室电梯7楼精装修采光好前排,运达诺维溪谷二期 -生态新城,1室1厅 | 52.17平米 | 东南 南 | 精装 | 中楼层(共10层)  | 板楼,3人关注 / 13天以前发布,76.8,"14,722元/平"
金三七十六，中间楼层，两室，地角好，近车站,76中学桥南 -金三角,2室1厅 | 57.17平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,71,"12,420元/平"
金润小区B区 2室1厅 南 北,金润小区B区 -金润,2室1厅 | 80.7平米 | 南 北 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 12天以前发布,75,"9,294元/平"
锦华中园 2室1厅 南 北,锦华中园 -锦绣,2室1厅 | 59.94平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 10天以前发布,79.8,"13,314元/平"
框架南北通厅户型，一楼可开头拎包入住手续清晰,高祥里 -高城山,2室1厅 | 78.33平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 11天以前发布,65.8,"8,401元/平"
武昌街 南北两室 采光好 中坡,武昌街 -武昌街,2室1厅 | 59.98平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 13天以前发布,70,"11,671元/平"
凯悦南向大一室一厅楼层好采光足可看海装修保持很干净,凯伦凯悦 -红梅翠竹,1室1厅 | 86.99平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 8天以前发布,66,"7,588元/平"
凯悦南向大一室一厅楼层好采光足可看海装修保持很干净,凯伦凯悦 -红梅翠竹,1室1厅 | 86.99平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 8天以前发布,66,"7,588元/平"
松苑山庄 两室一厅 步梯2楼 精装修 南北朝向 采光号,松苑山庄 -杏花里,2室1厅 | 68.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,51,"7,394元/平"
