标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
美的林城北区 全屋地暖全新装修 楼下就是阳关地 铁站,美的林城时代北区 -会展城,3室2厅 | 127.02平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,21人关注 / 4个月以前发布,210,"16,533元/平"
金阳医院旁中铁逸都A区精装修4房 产权满两年 诚心卖,中铁逸都国际A区 -奥体中心,4室2厅 | 92.59平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,34人关注 / 9个月以前发布,110,"11,881元/平"
房子户型方正，业主做生意需钱周转，带车位一起出售,龙凯苑 -世纪城,3室2厅 | 134.5平米 | 东南 | 简装 | 中楼层(共30层)  | 板楼,16人关注 / 7个月以前发布,98,"7,287元/平"
上海之春--------四房户型在售。,上海之春 -保利温泉,4室2厅 | 104平米 | 东 | 精装 | 高楼层(共30层)  | 塔楼,4人关注 / 一年前发布,82,"7,885元/平"
蓝天白云顶楼复式，带屋顶花园，随时看房,蓝天白云 -白云公园,3室2厅 | 115.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 8个月以前发布,61.8,"5,341元/平"
网红打卡小区 复式花园洋房 全屋精装带地暖5房2卫,恒大中央公园A区 -会展城,5室2厅 | 149.62平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,2人关注 / 8个月以前发布,239,"15,974元/平"
本房小区环境好，人车分流，户型格局方正，视野开阔，,优品道·优品城邦 -南湖,4室2厅 | 109.76平米 | 东南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 2个月以前发布,81.8,"7,453元/平"
电梯小洋房  采光通透三房 产权满五 带车位,恒大绿洲 -南湖,3室1厅 | 95.17平米 | 西南 | 精装 | 高楼层(共11层)  | 塔楼,2人关注 / 25天以前发布,74,"7,776元/平"
创世纪新城北楼 4室1厅 东,创世纪新城北楼 -喷水池,4室1厅 | 155平米 | 东 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 24天以前发布,128,"8,259元/平"
中天托斯卡纳 24组团  6个房间 包增值税 双车位,中天 · 托斯卡纳24组团 -南湖,6室2厅 | 170平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,0人关注 / 24天以前发布,220,"12,942元/平"
优质好房 4楼  交通方便  产权齐全,省府西路26号 -喷水池,2室1厅 | 71.94平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 29天以前发布,63,"8,758元/平"
花果园S2区 2室1厅 南 北,花果园S2区 -花果园,2室1厅 | 73.87平米 | 南 北 | 精装 | 低楼层(共43层)  | 板塔结合,0人关注 / 19天以前发布,53,"7,175元/平"
山水黔城精装修2房，刚需必选，好房必看,山水黔城一组团 -小河山水黔城,2室2厅 | 93.76平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 18天以前发布,60.3,"6,432元/平"
群升大智慧E区 三室两厅两卫 诚心出售,群升大智汇思杨郡E组团 -花溪大学城,3室2厅 | 102.74平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,55,"5,354元/平"
三号地铁出口臣功新天地中装两室，产权满两年,臣功新天地 -振华广场,2室1厅 | 93.39平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 22天以前发布,64.8,"6,939元/平"
地铁口 万科大都会北区 精装修两房出售 满二无贷,万科大都会北区 -小河大都会,2室1厅 | 72.86平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 15天以前发布,69,"9,471元/平"
沙河花园三期精装修3室拎包入住,沙河花园三期西区 -市北,3室1厅 | 70.41平米 | 东 | 其他 | 中楼层(共8层)  | 板塔结合,0人关注 / 15天以前发布,53.6,"7,613元/平"
房东急卖，三桥电梯精装三房单价6千,天然居B区 -三桥,3室2厅 | 128.29平米 | 东南 | 精装 | 低楼层(共12层)  | 塔楼,1人关注 / 24天以前发布,73,"5,691元/平"
省医地铁交警宿舍正规三室产权清晰关门卖可贷款,交警宿舍 -蟠桃宫,3室2厅 | 135.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,95,"7,034元/平"
精装带地暖 干净清爽 主要的是业主诚心出售的,龙凯苑 -世纪城,3室2厅 | 107.81平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 28天以前发布,110,"10,204元/平"
世纪城龙昌苑 精装修一室改两室 户型方正,世纪城龙昌苑 -世纪城,2室1厅 | 63.82平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 22天以前发布,55,"8,618元/平"
万花城精装3房2卫关门卖满二 正南朝向 视野开阔采光好,贵阳宇虹万花城 -阅山湖,3室2厅 | 123.06平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,125,"10,158元/平"
山水黔城十一组团149平精装好房 满二无贷 关门卖,山水黔城十一组团 -小河山水黔城,3室2厅 | 148.65平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 19天以前发布,112.8,"7,589元/平"
美观苑 精装带地暖两居 ，产权满二 无抵押 关门卖,美的林城时代南区 -会展城,2室2厅 | 89.55平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 24天以前发布,110,"12,284元/平"
出售锦澳山庄4-2-1-2 137m²精装带三层花园的好房,锦澳山庄 -保利温泉,4室2厅 | 137.39平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,88,"6,406元/平"
急售世纪城3房2卫简单装修带车位中间好楼层，单价低，,龙凯苑 -世纪城,3室2厅 | 107.81平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 26天以前发布,83,"7,699元/平"
世纪金源旁  满五唯一少税费  楼层很好， 产权清晰,世纪城龙祥苑 -世纪城,3室2厅 | 110.35平米 | 东 南 | 简装 | 中楼层(共30层)  | 塔楼,1人关注 / 22天以前发布,88,"7,975元/平"
美的林城时代南区，经典2房朝小区，精装关门卖,美的林城时代南区 -会展城,2室1厅 | 88.63平米 | 东南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 9天以前发布,106,"11,960元/平"
金顶路6号 4室2厅 南,金顶路6号 -花果园,4室2厅 | 72平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 18天以前发布,49.8,"6,917元/平"
产权清晰，门口是写字楼，楼下就是3号线站口和公园,花果园E区 -花果园,3室1厅 | 86.83平米 | 西南 | 其他 | 高楼层(共46层)  | 塔楼,0人关注 / 8天以前发布,58,"6,680元/平"
业主诚心出售 纯毛坯房改造空间大 看房有钥匙,中天帝景传说B区 -奥体中心,3室2厅 | 115.34平米 | 东南 | 毛坯 | 中楼层(共7层)  | 塔楼,2人关注 / 1个月以前发布,88,"7,630元/平"
花果园U区3房2卫关门卖（看房来花果园u区7栋德祐店）,花果园U区 -花果园,3室2厅 | 100平米 | 东南 | 其他 | 高楼层(共46层)  | 塔楼,1人关注 / 7天以前发布,63,"6,300元/平"
优品城邦精装小三房，产权满二，看公园视野,优品道·优品城邦 -南湖,3室2厅 | 76.41平米 | 东南 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,63.6,"8,324元/平"
省医旁 蟠桃宫 2楼 正规3室1厅间间通风采光,教师新村 -蟠桃宫,3室1厅 | 97平米 | 东 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 2天以前发布,69,"7,114元/平"
优质好房 精致户型 舒适温馨 停车方便 环境优雅,恒大城 -南湖,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,70,"6,250元/平"
全款房，视野开阔，，交通便利商圈成熟,中铁逸都国际E区 -奥体中心,4室2厅 | 144.06平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,138,"9,580元/平"
乐湾国际湖语御景联排别墅精装修出售,乐湾国际.湖语御景 -乐湾国际,5室2厅 | 379平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,10人关注 / 一年前发布,280,"7,388元/平"
即将满二的大四房  楼层好25楼 一期是万科物业,广大城青山映水上城 -清镇,4室2厅 | 154.83平米 | 西南 | 毛坯 | 高楼层(共31层)  | 板塔结合,3人关注 / 6个月以前发布,75,"4,845元/平"
户型房子，间间通风采光，每一个窗户都是风景,首钢贵州之光光禧组团 -油榨街,3室2厅 | 148.84平米 | 东南 | 毛坯 | 中楼层(共41层)  | 板塔结合,0人关注 / 10天以前发布,150,"10,078元/平"
观山湖世纪城2室2厅精装修满五唯.一,龙耀苑 -世纪城,2室2厅 | 88.66平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 15天以前发布,75,"8,460元/平"
带露台，金融城大三房，坐南朝北，城市中芯,中天知秋轩 -会展城,3室2厅 | 128.99平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 16天以前发布,103,"7,986元/平"
带车位洋房价格美丽 懂得感觉入手,麓湖宫 -清镇,4室2厅 | 129.94平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 10天以前发布,58,"4,464元/平"
西湖花园 1室1厅 东南,西湖花园 -钻石广场,1室1厅 | 32.2平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,64,"19,876元/平"
业主诚心出售，精装自住三房双卫 带入户花园,碧潭园珑璟 -新世界,3室1厅 | 106.8平米 | 东 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 13天以前发布,112,"10,487元/平"
云岩区2号地铁口北京西路站，出行方便生活配套完善,水电九局内区宿舍 -高新区,2室1厅 | 55.52平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,41.8,"7,529元/平"
地铁口现房 原购价9300元/平 现价7000元,中国普天中央国际·书香里 -贵阳普天,3室2厅 | 118.96平米 | 东南 | 毛坯 | 高楼层(共48层)  | 塔楼,0人关注 / 9天以前发布,89,"7,482元/平"
优品道 现代城 产权在手 银行没有尾款  可用公积金,优品道.现代城 -南湖,2室2厅 | 77.98平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 16天以前发布,57.5,"7,374元/平"
观山湖区新世界精装修3房2厅  看房方便  支持贷款,碧潭园·珑玥 -新世界,3室2厅 | 91.59平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 11天以前发布,90,"9,827元/平"
中央国际智苑  3室2厅 东,中央国际智苑  -贵阳普天,3室2厅 | 85平米 | 东 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,69,"8,118元/平"
保利温泉新城三期游泳池边上三房,保利温泉新城三期 -保利温泉,3室2厅 | 127.7平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 8天以前发布,75,"5,874元/平"
恒大翡翠华庭房开精装，小区围合式园林景观风格,恒大翡翠华庭 -小河大都会,2室2厅 | 91平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,74,"8,132元/平"
贵阳北站恒大帝景精装4室2厅2卫看房提前联系,恒大帝景 -贵阳北站,4室1厅 | 163平米 | 东南 南 | 简装 | 低楼层(共43层)  | 暂无数据,0人关注 / 15天以前发布,118,"7,240元/平"
湿地公园口精装大三房急售，看房方便接受按揭产权满二,花果园S2区 -花果园,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共45层)  | 塔楼,0人关注 / 10天以前发布,85.8,"8,756元/平"
新世界精装三室  视野好 诚心出售,新世界御湖 -新世界,3室2厅 | 123.39平米 | 东南 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,128,"10,374元/平"
优品道 现代城 产权在手 银行没有尾款  可用公积金,优品道.现代城 -南湖,2室2厅 | 77.98平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 16天以前发布,57.5,"7,374元/平"
保利温泉新城三期游泳池边上三房,保利温泉新城三期 -保利温泉,3室2厅 | 127.7平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 8天以前发布,75,"5,874元/平"
南明区 五组团全新毛坯4房 环境好 满二 看房有钥匙,山水黔城五组团 -小河山水黔城,4室2厅 | 170.1平米 | 南 | 毛坯 | 低楼层(共14层)  | 板塔结合,0人关注 / 9天以前发布,118,"6,938元/平"
省医斜对 面，采光视野好，配套成熟，业主诚心出售,观府壹号三组团 -新世界,3室2厅 | 87平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,2人关注 / 11天以前发布,78,"8,966元/平"
二桥 地铁口 全新精装大两室关门卖 满二无贷 出行方便,五柳街29号 -花果园,2室1厅 | 79平米 | 东南 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,49,"6,203元/平"
毛坯四房 满二年 带车位 看房有钥匙,中天月华轩 -会展城,4室2厅 | 155平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 10天以前发布,125,"8,065元/平"
满五唯一，有钥匙，交通便利，低楼层，正规小三室,沙冲中路167号 -火车站,3室1厅 | 68.26平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,25人关注 / 7个月以前发布,45,"6,593元/平"
喷水池商圈小区环境优美地铁口出行方便，配套齐全，,四季家园 -喷水池,4室1厅 | 126.47平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,38人关注 / 一年前发布,82,"6,484元/平"
满五省税，中间楼层，采光视野都很好，看房有钥匙,世纪城龙泉苑东区 -世纪城,2室2厅 | 88.5平米 | 南 北 | 简装 | 中楼层(共27层)  | 塔楼,37人关注 / 10个月以前发布,61,"6,893元/平"
公园旁，地铁口，精装修，带车位，诚心出售,中天会展城A区 -会展城,4室2厅 | 151.26平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,30人关注 / 7个月以前发布,128,"8,463元/平"
有顶楼花园，露台实得面积大，将近300平米,吉林花园 -花溪公园,5室3厅 | 224.71平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,6人关注 / 3个月以前发布,86,"3,828元/平"
三室两厅，楼层很好，单价便宜房东急售,塞维利亚 -清镇,3室2厅 | 138.77平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,51,"3,676元/平"
此房户型方正，看双龙生态公园，视野采光很好。,首开紫郡 -龙洞堡机场,3室2厅 | 89.25平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,72,"8,068元/平"
房子到喷水池地铁口300米，户型好，采光好，接受按揭,瑞源星城 -喷水池,4室2厅 | 167.52平米 | 东 | 简装 | 高楼层(共32层)  | 塔楼,34人关注 / 一年前发布,122,"7,283元/平"
河景房 满五唯一简装2室1厅 步梯上5楼 可直接拎包入住,市西路96号 -大西门,2室1厅 | 55.62平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 4个月以前发布,35,"6,293元/平"
129万买使用200加的大房子，带露台，带车位，等有缘人,溪山御景 -花溪保利溪湖,4室2厅 | 196.83平米 | 西南 | 精装 | 高楼层(共11层)  | 塔楼,32人关注 / 10个月以前发布,122,"6,199元/平"
梦想典城 毛坯房 看房随时方便  接受贷款,梦想典城 -市北,4室1厅 | 130.24平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,178,"13,668元/平"
白 宫湿地公园附 近，精装三房，楼下就是学 校,花果园一期 -花果园,3室2厅 | 111.82平米 | 东南 | 精装 | 中楼层(共48层)  | 塔楼,1人关注 / 1个月以前发布,87,"7,781元/平"
地化所南明小泶和十八中，业主诚心出售,中国科学院地球化学研究所 -钻石广场,3室1厅 | 88.1平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,129.8,"14,734元/平"
花果园一期精装大三房出售 产证满二 高楼层 采光好,花果园一期 -花果园,3室2厅 | 121.42平米 | 东南 | 精装 | 高楼层(共48层)  | 塔楼,17人关注 / 6个月以前发布,73.2,"6,029元/平"
花果园一期 优质好房子 随时看房,花果园一期 -花果园,3室2厅 | 121.42平米 | 东南 | 简装 | 低楼层(共48层)  | 塔楼,0人关注 / 8个月以前发布,95,"7,825元/平"
群升D区洋房  毛坯大三房 低价出售,群升大智汇思杨郡D组团 -花溪大学城,3室2厅 | 121.82平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,79,"6,485元/平"
保养好可当四房用，楼顶搭了两个房间，带屋顶花园！,建安小区 -振华广场,2室2厅 | 64.58平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 7个月以前发布,39,"6,040元/平"
此房满五唯一，交通便利，采光充足，设施齐全。,未来方舟F4组团 -未来方舟,3室2厅 | 133.3平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,14人关注 / 一年前发布,117.2,"8,793元/平"
精装修，装修清爽，房子采光好，保养好，户型好用,山水黔城一组团 -小河山水黔城,3室2厅 | 130.58平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,91.8,"7,031元/平"
精装4房2厨 子母房 面积124平 带40平露台 产权满二,保利凤凰湾A区 -凤凰湾,4室2厅 | 123.81平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,140,"11,308元/平"
