标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
新世纪花园 距离市场近 小面积 低总价 诚心出售,新世纪花園 -柯东,1室1厅 | 26.52平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 29天以前发布,51,"19,231元/平"
品质小区，复式房型，动静分离，诚心出售,亚厦江与城 -城北新区,3室2厅 | 104.65平米 | 南 | 其他 | 高楼层(共29层)  | 塔楼,17人关注 / 4个月以前发布,313.8,"29,986元/平"
国际华城南区精装好房诚心出售！！,国际华城南区 -斗门,2室1厅 | 87.97平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,130,"14,778元/平"
两湖公园旁边小区，交通便利，购物方便,东江小区 -两湖,2室2厅 | 103平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 12天以前发布,118,"11,457元/平"
此房精装修，两套打通，诚心出售。,时代•香格里拉 -城北新区,2室2厅 | 88.82平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,8人关注 / 4个月以前发布,198,"22,293元/平"
锦江半岛物业好小区环境好，房东诚心出售,锦江半岛 -斗门,3室2厅 | 124.8平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,155,"12,420元/平"
满五唯一，西边边套，阳光充足，低总价。,鹤池苑二区 -城东,2室1厅 | 64.7平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,89,"13,756元/平"
双周小区，满两年税费低，边套采光好,双周小区 -柯西,2室1厅 | 74.16平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,120,"16,182元/平"
户型方正 一线江景 采光好 楼层好,新城香悦半岛 -嵊州城南,3室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 23天以前发布,135,"13,500元/平"
房子 采光好 户型方正 房东诚心出售 、、,祥生群贤府御园 -柯北,3室2厅 | 85.3平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,1人关注 / 24天以前发布,192,"22,509元/平"
金地芳草地 3室2厅 南,金地芳草地 -柯西,3室2厅 | 90.93平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 27天以前发布,198,"21,775元/平"
群贤府御园 视野开阔 凤凰楼层 看房有钥匙,祥生群贤府御园 -柯北,3室2厅 | 85.3平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 24天以前发布,193,"22,627元/平"
房东诚心出售，采光好，户型方正。,恒宇锦园 -柯西,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共21层)  | 板楼,0人关注 / 24天以前发布,230,"19,167元/平"
精装修，双阳台，楼幢位置好，采光没遮挡，总价低。,金地·格林自在城三期 -柯西,2室2厅 | 77.85平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 17天以前发布,157,"20,167元/平"
东边套 湖景房 全新毛坯 满两年 采光无忧,金地湖城大境 -柯西,4室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 27天以前发布,260,"20,473元/平"
金湖湾小区 2室1厅 南,金湖湾小区 -斗门,2室1厅 | 70平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 16天以前发布,43.5,"6,215元/平"
此房精装修出售，拎包入住，视线好，楼层佳,融信观河盛世府 -嵊州城南,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 14天以前发布,140,"13,334元/平"
翰林花苑，东边套，四房二厅，精装修，拎包入住。,翰林花苑 -上虞北其他,4室1厅 | 139.82平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,6人关注 / 5个月以前发布,195,"13,947元/平"
此房精装修出售 买来即可自住也可出租,融信观河盛世府 -嵊州城南,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共36层)  | 暂无数据,1人关注 / 16天以前发布,138,"13,143元/平"
此房楼幢位置好，楼间距较大，采光好，,阳光城君悦龙山 -上虞城南,3室1厅 | 126.6平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 14天以前发布,238,"18,800元/平"
亚厦江与城 1室1厅 南,亚厦江与城 -城北新区,1室1厅 | 51.37平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,2人关注 / 8个月以前发布,108,"21,024元/平"
此房满两年，税费少，房东诚心出售。,海棠府 -孙端,3室2厅 | 122.36平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,130,"10,625元/平"
此房出售 楼层好 视野好 采光好 前后无遮挡 价格实惠,雍锦世家 -嵊州城南,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 16天以前发布,115,"10,551元/平"
御和园此房楼幢位置好，难得好户型,御和园 -镜湖,3室2厅 | 91.75平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,7人关注 / 5个月以前发布,217,"23,652元/平"
房为电梯房，高楼层，采光此好，配套齐全，带车位,卧龙天香南园 -开发区,3室1厅 | 140.93平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,210,"14,902元/平"
舜杰花苑，开放式小区，停车方便,舜杰花苑 -开发区,3室2厅 | 90.52平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,13人关注 / 一年前发布,119,"13,147元/平"
嵊州恒大未来城 3室2厅 南,嵊州恒大未来城 -嵊州城南,3室2厅 | 119.8平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 14天以前发布,158,"13,189元/平"
朗诗恒温精装房  三房两厅二卫,朗诗绿色家园 -柯东,3室2厅 | 127.7平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 10天以前发布,288,"22,553元/平"
房东诚意出售，户型采光无遮挡，三开间朝南,学府新城春晓园 -杨汛桥,3室1厅 | 101.05平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,127,"12,569元/平"
此房金鱼湾新村，成熟小区，简单干净.。。,金渔湾花园 -老城区,3室1厅 | 89.99平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,9人关注 / 6个月以前发布,130,"14,447元/平"
中间楼层。无遮挡。 两个大阳台，绿化面积大,都市阳光花园 -柯西,3室2厅 | 123.82平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,9人关注 / 11个月以前发布,203,"16,395元/平"
萧山南现房，即买即住，边套采光好,学府新城·星云园 -杨汛桥,4室2厅 | 119.26平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,132,"11,069元/平"
边套户型 采光通风好  楼层佳 房东诚心出售,绍兴艺境 -斗门,3室1厅 | 87.8平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 8个月以前发布,128,"14,579元/平"
柯西恒宇锦园毛坯边套诚心出售看房方便有钥匙,恒宇锦园 -柯西,4室2厅 | 138.59平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,1人关注 / 一年前发布,295,"21,286元/平"
永利天桥府，楼层楼栋佳，视线开阔，户型好,永利天桥府 -杨汛桥,3室2厅 | 120.74平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,170,"14,080元/平"
亚厦江与城，精装修，户型方正三居室，可直接领包入住,亚厦江与城 -城北新区,3室2厅 | 89.12平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,11人关注 / 3个月以前发布,192.8,"21,634元/平"
海樾府东区，业主诚心出售，大间距，采光无遮挡,光明海樾府东区 -镜湖,4室2厅 | 142.47平米 | 南 | 毛坯 | 低楼层(共16层)  | 塔楼,1人关注 / 2个月以前发布,290,"20,356元/平"
舜湾花园中楼层   房东诚心出售,舜湾花苑 -上虞北其他,2室1厅 | 80.98平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,6人关注 / 5个月以前发布,82,"10,126元/平"
房东诚心出售，看房方便，全新毛坯，带车位和附房,新天龙·文惠苑 -开发区,3室2厅 | 132.57平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,255,"19,236元/平"
带30万精装修，拎包入住，房东诚意出售,未来郡 -上虞城西,3室2厅 | 86.94平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,4人关注 / 3个月以前发布,199,"22,890元/平"
此房采光好，通透格局，位于繁华地段，交通方便,上悦城 -嵊州城南,3室2厅 | 89平米 | 南 | 简装 | 高楼层(共30层)  | 暂无数据,0人关注 / 12天以前发布,96,"10,787元/平"
水木清华  地铁口， 精装两房  有车棚，随时看房,水木清华 -城北,2室1厅 | 68.61平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,138,"20,114元/平"
绍兴艺境 户型好楼层好 采光充足,绍兴艺境 -斗门,3室2厅 | 88.63平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,140,"15,797元/平"
海樾府东区头排，采光好，无遮挡，房东诚心出售,光明海樾府东区 -镜湖,3室2厅 | 125.69平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,14人关注 / 一年前发布,288,"22,914元/平"
中高楼层，，采光充足，视野宽阔，小区介绍：,宝兴花园 -柯桥滨海,3室2厅 | 103.56平米 | 南 西南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,113,"10,912元/平"
房子小区环境好，户型方正，小面积总价低,永利天桥府 -杨汛桥,3室2厅 | 86.48平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,130,"15,033元/平"
永成天御湾 看房方便房东诚心出售,永成天御湾 -两湖,3室2厅 | 89.24平米 | 南 | 简装 | 中楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,148.8,"16,675元/平"
全新装修 简约奢华 三房双卫三阳台 全天光照 诚意出售,金地·格林自在城三期 -柯西,3室1厅 | 100.7平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,208,"20,656元/平"
锦江丁香园127三房两卫精装东边套，诚意出售！,锦江丁香园 -城北新区,3室2厅 | 126.8平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,305,"24,054元/平"
此房新装修，有阁楼，诚心出售，价格可谈！,滨笕新村 -上虞区,3室2厅 | 90.91平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,63.6,"6,996元/平"
碧水苑西区满五唯一 楼层好 ，简装，交通便利 采光佳,碧水苑西区 -柯东,2室2厅 | 96平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,143.8,"14,980元/平"
交通便利，户型方正， 楼层好，采光佳,永利天桥府 -杨汛桥,3室2厅 | 82.65平米 | 北 南 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 6个月以前发布,145,"17,544元/平"
配套齐全，优质小区，看房方便!,世茂天樾 -迪荡,4室2厅 | 139.3平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,328,"23,547元/平"
浅水湾    中楼层    房东诚心出售,淺水灣 -上虞城北,3室2厅 | 131.21平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 31天以前发布,285,"21,721元/平"
佳源广场高楼层东边套，全新装修，未住过，欢迎询价,佳源广场 -镜湖,3室1厅 | 122.21平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 15天以前发布,300,"24,548元/平"
天香南园四房二卫，楼层好，房东诚心出售，看房方便,卧龙天香南园 -开发区,4室2厅 | 142.75平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,220,"15,412元/平"
全新毛坯洋房大四房，中上楼层采光足，得房率高,桃花源山庄 -越城,4室2厅 | 138.7平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,158,"11,392元/平"
全新毛坯洋房大四房，中上楼层采光足，得房率高,桃花源山庄 -越城,4室2厅 | 138.7平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,162,"11,680元/平"
佳源小面积楼层好 毛坯未出租过 车位另算,佳源广场 -镜湖,2室2厅 | 89.62平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,4人关注 / 4个月以前发布,199,"22,205元/平"
次新小区 树人大学旁 东边套 采光好 大3房 随时可看房,学府新城春晓园 -杨汛桥,3室2厅 | 117.56平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,142,"12,079元/平"
天御湾高楼层毛坯三房视野开阔值望迪荡,永成天御湾 -两湖,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,1人关注 / 3个月以前发布,135,"15,169元/平"
此房精装修 复式结构，双车位需另购，15万一个,祥生明玥府 -上虞城北,3室2厅 | 147平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,428,"29,116元/平"
现代精装，全新未入住，电梯房，即买即住,鸿通金都公寓 -两湖,4室2厅 | 138.26平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,139.8,"10,112元/平"
小区是前排，采光好，读书近，，，,绍兴艺境 -斗门,3室2厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,129,"14,495元/平"
柯东 新上满分好房，东边套带车位，精装修拎包入住,和谐家园 -柯东,4室2厅 | 142.96平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 4天以前发布,300,"20,985元/平"
相郡园 2室1厅 南,相郡园 -平水,2室1厅 | 77平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3天以前发布,100,"12,988元/平"
正大新世界 2室2厅 南,正大新世界 -嵊州城南,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 4天以前发布,118,"13,259元/平"
海伦堡双樾府 3室1厅 南,海伦堡双樾府 -诸暨城区（老）,3室1厅 | 96平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,0人关注 / 2天以前发布,136,"14,167元/平"
恒利新村西一区，三室精装修，空置，,恒利小区西四区 -老城区,3室2厅 | 134平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,216,"16,120元/平"
都市阳光花园102方180万 楼层好 采光棒 价格可议,都市阳光花园 -柯西,3室1厅 | 102.2平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,175,"17,124元/平"
楼层好， 采光充足，小面积总价低，适合年轻居住,御景华庭四期北区 -迪荡,2室2厅 | 88.11平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,192,"21,791元/平"
楼层好，结婚全新装修，没怎么住过，视线开阔，采光好,万达中央华府 -上虞万达,3室2厅 | 98.78平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,229.8,"23,264元/平"
香槟花园9楼毛坯房，房东诚心出售房子，价格好商量！,正元香檳花園 -开发区,2室1厅 | 62.1平米 | 东南 | 毛坯 | 中楼层(共15层)  | 板塔结合,33人关注 / 8个月以前发布,82,"13,205元/平"
杭州南现房，，教育文化一体，楼层居中，采光好,学府新城·星云园 -杨汛桥,3室2厅 | 87.89平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 10个月以前发布,110,"12,516元/平"
"江家溇公寓东区好楼层环境好,户型好,",江家溇公寓东区 -城南,2室1厅 | 64.73平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 6个月以前发布,125,"19,311元/平"
星宇新村精装修，全明户型，采光好，边套房,星宇新村 -上虞城北,1室1厅 | 42.23平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,72,"17,050元/平"
花园新村开放式老小区，出行方便,花园新村 -开发区,3室1厅 | 92.36平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,118.8,"12,863元/平"
楼层好，视野开阔，采光好。小区环境优美,天丰新城 -上虞城北,1室1厅 | 40平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,70,"17,500元/平"
涂山花园 车一楼东边套 户型好阳光好 精装随时看房,塗山花園 -城东,3室2厅 | 119.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,235,"19,587元/平"
四甲新家园精装修好房，低楼层，采光充足，满五唯一,四甲新家园 -城北新区,3室2厅 | 91平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,14人关注 / 9个月以前发布,168,"18,462元/平"
杭州南一桥之隔楼层好的边套，采光足4房户型,众安公寓 -杨汛桥,4室2厅 | 141.9平米 | 东 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,160,"11,276元/平"
香江名邸三房两卫精装修，房东诚心出售,香江名邸 -两湖,3室1厅 | 121.08平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,9人关注 / 9个月以前发布,182,"15,032元/平"
房东急售，精装修三开间朝南采光足，交通方便,海悦华庭 -杨汛桥,3室2厅 | 95.37平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 3个月以前发布,153,"16,043元/平"
