标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
闻书院电梯大三房户型好采光充足视野开阔,闻书苑 -团城山,3室2厅 | 137.48平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,63,"4,583元/平"
滨江公园边电梯房、采光充足、配套设施齐全、交通便利,山水佳缘 -上窑,2室1厅 | 75.57平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,44.9,"5,942元/平"
此房满五唯一，高层带露台，可种花养草。业主诚心出售,新建一村 -上窑,2室1厅 | 58.23平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,14人关注 / 7个月以前发布,10.3,"1,769元/平"
新公安局房园林小区，经典两房，证满房东诚心出售！,怡景花苑二期 -新城区,2室2厅 | 78平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,43,"5,513元/平"
王家湾月桂花苑电梯中层两房即买即收租,月桂花苑小区 -上窑,2室2厅 | 86.7平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,1人关注 / 2个月以前发布,40,"4,614元/平"
户型方正，采光好，交通便利，生活方便,黄石大道254号 -上窑,2室2厅 | 78.68平米 | 西南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,42,"5,339元/平"
此房满五唯一，朝南，可贷款，交通便利，生活配套齐全,京华路 -武商,2室1厅 | 61平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,36,"5,902元/平"
房子装修楼层很好。方便小孩读书。,城建湖景花园 -新城区,2室2厅 | 92.16平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,58,"6,294元/平"
磁湖南郡 2室2厅 南,磁湖南郡 -八卦嘴,2室2厅 | 84.57平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 16天以前发布,42,"4,967元/平"
绿城玉兰花园带入户花园，精装修毛坯价！全屋空调！,黄石绿城玉兰花园 -万达,3室1厅 | 134.34平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,110,"8,189元/平"
花园小区，封闭式小区，拎包入住。,花园小区 -八卦嘴,2室1厅 | 76.11平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 13天以前发布,28,"3,679元/平"
东方装饰城2-2-1-1 83.39平38 万满五带露台,东方装饰城 -万达,2室2厅 | 83.39平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1天以前发布,38,"4,557元/平"
户型方正，产证在手，电梯中层，采光好，看房方便,盛鑫花苑 -万达,3室2厅 | 115.04平米 | 西 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 26天以前发布,40,"3,478元/平"
此房在湖边，小区已改造好，环境优美，适合养老。,石料山社区 -八卦嘴,3室2厅 | 78.24平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,33,"4,218元/平"
华新路上：电梯高层南北通透，视野采光俱佳,华新集团楼上 -沈家营,2室1厅 | 90.21平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,65,"7,206元/平"
奥山星城 3室2厅 南,奥山星城 -黄金山,3室2厅 | 123.1平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,41,"3,331元/平"
白马山小区经典户型南北通透双阳台楼层好即将满五唯一,白马山小区 -团城山,3室2厅 | 144.53平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 4天以前发布,99.5,"6,885元/平"
白马山小旁复式楼，业主诚心出售，看房有钥匙,香竹苑 -团城山,5室1厅 | 196.86平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,127.6,"6,482元/平"
湖景花园《4房毛坯，南北通透，视野佳》,明盛湖景花园 -团城山,4室2厅 | 198平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,37人关注 / 一年前发布,120,"6,061元/平"
离十五中 一百米的距离 楼下是沿江大道 黄石大道,顺佳大厦 -市中心,8室1厅 | 1485.61平米 | 东南 西南 西北 东北 | 简装 | 低楼层(共33层)  | 板塔结合,2人关注 / 7个月以前发布,700,"4,712元/平"
闻书院电梯大三房户型好采光充足视野开阔,闻书苑 -团城山,2室2厅 | 99.23平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 13天以前发布,55,"5,543元/平"
市内中医院旁 南里巷 楼梯中层 温馨小户型。,南里巷 -武商,1室1厅 | 46.59平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 8天以前发布,30,"6,440元/平"
岭秀新城毛坯大三房，电梯中层，证件满五年，随时看房,岭秀新城 -团城山,4室2厅 | 143.67平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 10天以前发布,68,"4,734元/平"
宝石银都 3室1厅 南,宝石银都 -万达,3室1厅 | 117.99平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 6天以前发布,74.8,"6,340元/平"
黄石一中旁！奥山星城（单价3400！只要43万）前无遮挡,奥山星城 -黄金山,3室2厅 | 123.26平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,43,"3,489元/平"
满两年低税费的毛坯大三房 房东诚心出售 看中价格可谈,中卫水云馨苑 -楠竹林,3室2厅 | 127.96平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 一年前发布,84.9,"6,635元/平"
此房子自住，需要看房下午2点以后,城上城 -团城山,3室1厅 | 123.21平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 27天以前发布,80,"6,493元/平"
团城山桂林路扬子尚居精装大两房，湖景房，人民广场旁,扬子尚居 -团城山,2室2厅 | 113.06平米 | 东 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 23天以前发布,83,"7,342元/平"
新西南二期正规三居室 电梯高层 拎包即住 产证满两年,新西南国际花园 -团城山,3室2厅 | 115.59平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 28天以前发布,80,"6,922元/平"
团城山万达 墨斗山旁毛坯两居室，产证满二，税费低,江天凤凰山庄 -团城山,2室2厅 | 91.77平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 27天以前发布,45,"4,904元/平"
明秀山庄 复式楼 采光很好 带露台 养花养草种菜皆可,明秀山庄 -团城山,3室2厅 | 95.35平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 17天以前发布,59,"6,188元/平"
此房位置八卦嘴，小区安保好，房子户型通透。,金山花园 -八卦嘴,2室2厅 | 84.11平米 | 东北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 23天以前发布,53,"6,302元/平"
绿城单价不到七千，带入户花园带露台 满二 房东诚心卖,黄石绿城玉兰花园 -万达,4室2厅 | 148.9平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 21天以前发布,105,"7,052元/平"
高档小区黄石绿城玉兰花园3-2-1-2 130.26m²,黄石绿城玉兰花园 -万达,3室2厅 | 130.26平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,105,"8,061元/平"
就在马路旁边，卧室很安静，进出方便,三江共和城 -万达,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,83,"6,059元/平"
此房满二，税费低，坐北朝南，视野看阔，成熟小区。,天虹小区 -万达,3室2厅 | 124.31平米 | 南 | 精装 | 中楼层(共7层)  | 平房,2人关注 / 一年前发布,69.9,"5,624元/平"
满五唯一，毛坯，有钥匙，大入户花园！采光好！,怡康花园(下陆区) -团城山,3室2厅 | 139.18平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 7天以前发布,91.8,"6,596元/平"
二中旁精装三房 湖景房可拎包入住,锦苑 -团城山,3室2厅 | 140平米 | 东南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,76,"5,429元/平"
房子重新装修婚房，户型房正，阳台大,大冶大道25号 -老城区,3室1厅 | 105.67平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,35,"3,313元/平"
杭州西路，精装大三房，福利房公摊小，位置好,财苑小区 -团城山,3室2厅 | 135.61平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 9天以前发布,108,"7,965元/平"
黄石大道步梯中层，户型方正，家电齐全，采光好,黄石大道491号 -武商,3室1厅 | 110.04平米 | 东南 | 简装 | 中楼层(共10层)  | 板楼,0人关注 / 9天以前发布,59,"5,362元/平"
湖景花园 二中旁 楼梯二楼 适合养老陪读,明盛湖景花园 -团城山,2室2厅 | 90.21平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 4天以前发布,60,"6,652元/平"
嘉泰·银河湾 3室1厅 南,嘉泰·银河湾 -团城山,3室1厅 | 97.88平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 5天以前发布,64,"6,539元/平"
书香世家大三房 拎包入住 房东诚心出售 看房有钥匙,花山苑书香世家 -万达,3室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3天以前发布,48,"5,000元/平"
万达边 湿地公园旁 两个公园 人车分流,天新花园 -团城山,3室1厅 | 124.26平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,76,"6,117元/平"
紫金花城毛坯*大三房，房东诚心出售，价格可谈,紫金花城 -花湖,3室2厅 | 127.9平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,72,"5,630元/平"
嘉泰银河湾三期 4室2厅 南,嘉泰银河湾三期 -团城山,4室2厅 | 147.43平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 7天以前发布,117,"7,936元/平"
怡康花园，精装大四房，有入户花园，满二税费低。,怡康花园(下陆区) -团城山,4室1厅 | 141平米 | 南 | 简装 | 中楼层(共24层)  | 塔楼,0人关注 / 5天以前发布,104,"7,376元/平"
银河湾大三房 视野好 户型方正  房东诚心卖,嘉泰银河湾三期 -团城山,3室2厅 | 124平米 | 西北 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,89,"7,178元/平"
东贝佳苑毛坯三房，满两年，好户型好楼层房东诚心卖,东贝佳苑 -黄金山,3室2厅 | 136.71平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,61.6,"4,506元/平"
扬子玉龙湾 大三房......,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,8人关注 / 一年前发布,103,"7,711元/平"
此房满五，三开间朝南，无抵押，无户口，近校区，,石榴园 -团城山,3室2厅 | 127.92平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,64,"5,004元/平"
扬子玉龙湾电梯大三房小区环境优美单价便宜,扬子玉龙湾 -团城山,3室2厅 | 137.15平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,14人关注 / 10个月以前发布,83.5,"6,089元/平"
锦绣华庭电梯高层，三房毛坯随心装修，户型方正无遮,美鑫·锦绣华庭 -团城山,3室2厅 | 100.7平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,53,"5,264元/平"
三室两厅一厨两卫双阳台 南北通透户型方正 电梯高层,百事威·尊邸二期 -团城山,3室2厅 | 134.79平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,8人关注 / 8个月以前发布,81.8,"6,069元/平"
理工大学隔壁，低楼层，交通便利，毛坯可随意装修。,闻书苑 -团城山,3室2厅 | 131.74平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,8人关注 / 一年前发布,70,"5,314元/平"
白马山公园旁边大平层满2年税费低,金鼎世家 -团城山,5室2厅 | 192平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,13人关注 / 一年前发布,140,"7,292元/平"
江天凤凰山庄精装修两房出售，小区物业好，楼间距大,江天凤凰山庄 -团城山,2室2厅 | 94平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,11人关注 / 一年前发布,64,"6,809元/平"
此房为正规商品房，手续齐全，小区环境优美,杭州公馆 -团城山,2室2厅 | 90.37平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,69,"7,636元/平"
此房小区环境优美，物业治安管理好，出行方便。,宏维山水明城 -团城山,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,100,"7,937元/平"
团城山万达广场旁电梯中层大五房，前后无遮挡采光充足,安佳凤凰城 -团城山,5室2厅 | 166.65平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,1人关注 / 11个月以前发布,92,"5,521元/平"
嘉泰银河湾3室2厅1厨98平方米 采光好 视野开阔,嘉泰·银河湾 -团城山,3室2厅 | 96.55平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,68人关注 / 一年前发布,74.9,"7,758元/平"
好小区内好楼层的好户型，房东诚心卖，人民广场对过,扬子尚居 -团城山,2室2厅 | 105.06平米 | 东 | 毛坯 | 高楼层(共30层)  | 塔楼,16人关注 / 一年前发布,82,"7,806元/平"
满五唯一，税费低，交通方便， 生活便利,石榴园 -团城山,3室2厅 | 93.74平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,47,"5,014元/平"
威尼斯dm天然气小区 带入室花园 满五唯一 视野开阔,东方太阳城 -花湖,4室2厅 | 115.19平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,60,"5,209元/平"
满二美鑫三期 电梯高层全朝南三房毛坯 钥匙在手,美鑫·锦绣华庭 -团城山,3室2厅 | 97.11平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,14人关注 / 8个月以前发布,42,"4,325元/平"
电梯房低楼层三房两厅两卫双阳台大三房视野开阔！满二,美鑫·锦绣华庭 -团城山,4室2厅 | 123.74平米 | 西南 北 | 毛坯 | 低楼层(共22层)  | 板塔结合,6人关注 / 一年前发布,48.23,"3,898元/平"
杭州西路主干道电梯高层带*J大露台194平看湖景租售,团城山大厦 -团城山,4室2厅 | 194.17平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,15人关注 / 一年前发布,125,"6,438元/平"
为数不多的多层，楼层好还有大平台可直接拎包入住,金穗小区 -老城区,5室2厅 | 160.04平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,72,"4,499元/平"
三江共和城 4室2厅 南 北,三江共和城 -万达,4室2厅 | 183平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,5人关注 / 8个月以前发布,100,"5,465元/平"
沈家营中间楼层，无公摊两房35万,覆盆山社区 -沈家营,2室1厅 | 64平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,30,"4,688元/平"
产证满二税费低，三开间朝南，临黄石二中和实验中 学,明盛湖景花园 -团城山,3室2厅 | 141.86平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,77,"5,428元/平"
精装四房，证在手，满两年房东诚心卖,奥山星城 -黄金山,4室2厅 | 132.83平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,65,"4,894元/平"
新西南二期毛坯电梯高层南北通透四房钥匙在手满二,新西南国际花园 -团城山,4室2厅 | 137.24平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,13人关注 / 一年前发布,66,"4,810元/平"
便宜！现房出售 出门就是有轨电车车站 看中价格可以谈,美地金城阳光里 -黄金山,3室2厅 | 122.09平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,42,"3,441元/平"
磁湖湖景大四房户型方正税费低价格可谈,中冶黄石公园 -楠竹林,4室2厅 | 168.74平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,9人关注 / 一年前发布,138,"8,179元/平"
黄石大道代司里小区旁全明小户型，税费低,黄石大道 -沈家营,2室2厅 | 79.03平米 | 东 西 | 简装 | 高楼层(共10层)  | 暂无数据,0人关注 / 21天以前发布,45,"5,695元/平"
万达旁精装大两房带衣帽间，保养好拎包即住,博雅怡景花城 -万达,2室2厅 | 113.66平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 24天以前发布,62,"5,455元/平"
万达商圈，电梯三房，已装修，拎包即住。,阳光花城新领地 -万达,3室1厅 | 119.86平米 | 东南 | 简装 | 低楼层(共21层)  | 板楼,0人关注 / 28天以前发布,55,"4,589元/平"
此房武汉路繁华地段， 户型方正， 采光好，拎包入住,武汉路31号 -市中心,2室1厅 | 66.04平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,45,"6,815元/平"
《城上城 精装修 2房》高层 可观湖 视野好 产证满两年,城上城 -团城山,2室2厅 | 87.12平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,64,"7,347元/平"
煤炭局小区 4室2厅 南,煤炭局小区 -老城区,4室2厅 | 120.51平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,55,"4,564元/平"
