标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
中海紫御东郡 3室2厅 南 北,中海紫御东郡 -世纪广场,3室2厅 | 156平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,150,"9,616元/平"
中海铂悦公馆 电梯洋房 南北通透 现房 随意装修,中海铂悦公馆一期 -中海,4室2厅 | 142平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,9人关注 / 一年前发布,118,"8,310元/平"
封闭社区中海铂悦公馆一期 带露台 带子母车位 精装,中海铂悦公馆一期 -中海,4室2厅 | 154平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,182,"11,819元/平"
御苑小区 采光好 楼前有景观 3室2厅 精装修,御苑小区 -昌邑公安分局,3室2厅 | 133.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,109.8,"8,218元/平"
出行方便，户型方正，居住方便舒适,泽信吉府 -中海,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,1人关注 / 8个月以前发布,97.8,"8,289元/平"
南北通透大H 中间楼层 中间楼层 园区中间位置,荣邦新城 -丰满二实验,3室2厅 | 109.33平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 3个月以前发布,86,"7,867元/平"
电梯楼三室两卫精装可贷款南北通透,卓越方舟 -松花江中学,3室2厅 | 153平米 | 东 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,78,"5,099元/平"
小区地理位置优越，出行方便，物业好,荣邦新城 -丰满二实验,3室2厅 | 131.4平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,8人关注 / 5个月以前发布,101,"7,687元/平"
此 房为 房主装修 现在 空 置 有 钥匙 看 方便,鸿博御园二区 -长春路,2室1厅 | 62平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 24天以前发布,37,"5,968元/平"
万科城A区 电梯房 可望江 南北通透,万科城 -万科城,2室2厅 | 94.25平米 | 北 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 28天以前发布,63.9,"6,780元/平"
神华万利城两室两厅一卫精装修两个南向卧室，北客厅,神华·万利城 -大润发四店,2室2厅 | 99.54平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 30天以前发布,49.8,"5,004元/平"
小区优质房源，五年外，多层3楼，精装修 人车分流,东方伟业公园道一号 -雾凇中路,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,88,"7,273元/平"
此房楼层好，南北通透 ，，，精装修,金地红大蓝湾 -丰满二实验,2室1厅 | 78平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 21天以前发布,66.8,"8,565元/平"
伊利花園 2室2厅 南 北,伊利花園 -八一,2室2厅 | 98.02平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,46.8,"4,775元/平"
鸿博园  两室  两厅  一厨  一卫,鸿博园 -华南,2室2厅 | 102.19平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,59.3,"5,803元/平"
依山小筑 2室1厅 南,依山小筑 -西安路,2室1厅 | 43平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,21,"4,884元/平"
荣光花园一室一厅精装修拎包入住,荣光花园 -二手车市场,1室1厅 | 42平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,16.8,"4,000元/平"
北大二区 多层3楼 精装 可以 拎包入住 随时看房,北大二区 -华南,2室1厅 | 57平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,29.8,"5,229元/平"
此房采光好，交通便利，出行方便，配套成熟。,安顺小区 -北山,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,35.5,"6,121元/平"
面积大  价格合理  适合居住,西城首府西区 -西安路,2室1厅 | 91.69平米 | 南 西 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,43,"4,690元/平"
此房南北通透，格局方正，楼龄新，绿化好,泽信吉府 -中海,3室1厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,77,"7,065元/平"
电梯5楼，三室两厅两卫，万达商圈，不遮不挡。,中海悦江府 -万达广场,3室2厅 | 127.3平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,95,"7,463元/平"
多层4楼 85平 南北通透 精装修 可贷款,中东凯悦公馆 -中东,2室1厅 | 85平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 5个月以前发布,54,"6,353元/平"
两室两厅大H格局多层二楼万科旁,盈胜幸福里 -二手车市场,2室1厅 | 77.02平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,49.8,"6,466元/平"
西城.首.府 .一楼 两室 开门的  ·········,西城首府东区 -西安路,2室1厅 | 118平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,63,"5,339元/平"
金岸名苑2室南北通透采光好价格能研究，房主搬离吉林,金岸名苑 -东北电力,2室1厅 | 76平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,43.8,"5,764元/平"
通潭西区，店长推荐房源，房屋地处市区繁华地段,通潭西区 -解放北路,2室2厅 | 80平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,46.8,"5,850元/平"
剑桥郡 2室2厅 南 北,剑桥郡 -中海,2室2厅 | 90.67平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,67,"7,390元/平"
看房方便，诚心出售，价格可议。,锦东花园 -八家子早市,2室2厅 | 108.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,54,"4,964元/平"
多层3楼。成熟商圈，出行方便，产权清晰,依山小筑 -西安路,2室1厅 | 59.7平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,24.5,"4,104元/平"
此房 电梯 高层   精装修  两室一厅,隆泰碧水山城B区 -铁东,2室1厅 | 73平米 | 东 南 北 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,38.8,"5,316元/平"
锦东花园2楼3室2厅1卫南北通透可贷款,锦东花园 -八家子早市,3室2厅 | 134.55平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,60,"4,460元/平"
多层一楼带花园 精装修 嘎嘎亮堂 拎包入住,北极嘉园北区 -北极街,2室1厅 | 64平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,42.8,"6,688元/平"
此房户型好，格局棒，适合居住。,幸福茗苑二期 -十一中,2室2厅 | 91.8平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,46,"5,011元/平"
万达江畔华城A区  南北两居室 业主诚售,万达江畔华城A区 -万达广场,2室1厅 | 86.47平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,67.8,"7,841元/平"
个人家装修，采光充足 出行方便，户型方正，居住方,吉东·托斯卡纳 -吉林一中,2室1厅 | 93平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,35.3,"3,796元/平"
江湾路成熟商圈多层2楼，简单装修，温馨小两居。。。,永昌小区 -江湾路,2室2厅 | 86.4平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,43,"4,977元/平"
吉东托斯卡纳·两室家装·拎包入住,吉东·托斯卡纳 -吉林一中,2室1厅 | 70.03平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,7人关注 / 一年前发布,39.8,"5,684元/平"
紫光北郡诺丁山 2室1厅 南,紫光北郡诺丁山 -北山,2室1厅 | 56平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,25.5,"4,554元/平"
多层二楼 南北通透 现代精装修 房子保养好 随时看,中东凯悦公馆 -中东,2室2厅 | 91.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,56.8,"6,234元/平"
金域豪庭 精装修 南北通透 户型方正 诚心出售,金域豪庭 -松花江中学,2室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 11个月以前发布,62.5,"6,378元/平"
盈胜7080 多层2楼 南北通透 精装修两室,盈胜7080 -松花江中学,2室1厅 | 73平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,51,"6,987元/平"
柒中，楼层好，采光好.........,紫光北郡诺丁山 -北山,1室1厅 | 51.84平米 | 西南 | 简装 | 高楼层(共23层)  | 板塔结合,2人关注 / 4个月以前发布,19.8,"3,820元/平"
金汇嘉园两室两厅精装修带储物间,金汇嘉园 -八一,2室2厅 | 102.49平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 4个月以前发布,55.8,"5,445元/平"
房龄新环境好.南北通透大H加一户型.采光好,吉东·托斯卡纳 -吉林一中,3室1厅 | 151平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,89.8,"5,948元/平"
出行方便，户型方正，居住方便舒适,泽信吉府 -中海,3室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 11个月以前发布,140,"9,860元/平"
南北通透大H 户型，3室 居家精装修 可贷款 ，，，，,恒东花园 -八一,3室2厅 | 100.04平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,58,"5,798元/平"
南北通透大H 户型3室 居家精装修 可贷款,恒东花园 -八一,3室2厅 | 138.95平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,66.8,"4,808元/平"
中海国际社区 南北通透 大H加1 三室,中海国际社区 -中海,3室1厅 | 118平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,5人关注 / 4个月以前发布,96,"8,136元/平"
拎包入住  干净整洁  随时看房  小区环境好,恒东花园 -八一,3室1厅 | 132.79平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,35,"2,636元/平"
江南 封闭小区 电梯房 视线开阔 支持贷款 公积金贷款,锦绣江南 -松花江中学,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,66.6,"6,000元/平"
101平电梯精装三室两厅一卫采光视野俱佳,泽信吉府 -中海,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,80,"7,921元/平"
江南地段，中环滨江花园封闭小区，园区风景如画。,中环·滨江花园 -世纪广场,2室1厅 | 112平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,89,"7,947元/平"
多层2楼 三阳户型 简单装修 57平实际61平,铁东北区 -果窖,2室1厅 | 58平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,32.8,"5,656元/平"
此房满五，户型方正，采光充沛，居住方便舒适,松江苑 -昌邑区政府,2室1厅 | 55.47平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,16.8,"3,029元/平"
天街街，江华一区，2室南北小H户型，首付低,江华一区 -天津街,2室1厅 | 57平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,23,"4,036元/平"
小区环境优质，出行方便，交通便利。,松江小区 -松江,1室1厅 | 45平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,8人关注 / 9个月以前发布,16,"3,556元/平"
北宁里小区 二室 精装修 拎包入住,北宁里小区 -五中,2室1厅 | 58.54平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,29.8,"5,091元/平"
西山林语  精装两室两厅 南北通透 拎包即住 支持贷款,西山林语 -雾凇中路,2室2厅 | 93.02平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,4人关注 / 一年前发布,57.5,"6,182元/平"
新上房源一次没住产权过二精装修有钥匙随时看房,万达·江畔华城C区 -万达广场,2室1厅 | 88.85平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,3人关注 / 一年前发布,65,"7,316元/平"
精装修，拎包入住，交通便利，，,和平花园 -和平街,2室1厅 | 55平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,36.8,"6,691元/平"
上海路小区(武昌路) 1室1厅 东,上海路小区(武昌路) -财富广场,1室1厅 | 41.44平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,20,"4,827元/平"
铁安里小区 两室一厅 精装修 可贷款,铁安里小区 -新建北,2室1厅 | 54平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,26.8,"4,963元/平"
精装修婚房，房子不把街，不顶，,幸福二区 -十一中,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,35.8,"6,281元/平"
设施齐全  楼层好 视野好 采光好,帕萨迪纳 -中东,1室1厅 | 53.8平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,30.4,"5,651元/平"
龙城帝景 2室1厅 南,龙城帝景 -中海,2室1厅 | 89.75平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,6人关注 / 3个月以前发布,55,"6,129元/平"
西山香麓一期小户型个人精装东向采光好供热好,西山香麓 -中东,1室1厅 | 37.68平米 | 东 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,27.7,"7,352元/平"
筑石红 电梯 精装两室 南北通透拎包即住支持贷款,筑石紅 -和平街,2室1厅 | 66平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,51.8,"7,849元/平"
两年外 户型方正 物业环境好 随时看房 可贷款,卢瓦尔小镇 -雾凇中路,2室2厅 | 86.69平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,10人关注 / 6个月以前发布,53,"6,114元/平"
胜昌小区。三楼。配套设施齐全。,胜昌小区 -八家子早市,2室1厅 | 52平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,33.8,"6,500元/平"
小区环境好，邻里关系好，人文素养高。此房精装修无甲,乾丰园南区 -十一中,1室1厅 | 44平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,23,"5,228元/平"
小区买菜出行方便，地理位置优越，配套设施齐全,万达江畔华城D区 -万达广场,2室1厅 | 86.6平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,65.7,"7,587元/平"
交通相对便利一些，出行方便，道路宽敞，堵车情况较少,崇文小区 -松江,2室1厅 | 88平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,59.8,"6,796元/平"
小区位置优越 出行方便 小区绿化好,荣邦新城 -丰满二实验,2室2厅 | 87.25平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 4个月以前发布,55.8,"6,396元/平"
万科上东区 次新房三室 精装修楼层好 品质物业,万科上东区 -万科城,3室1厅 | 103平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,74,"7,185元/平"
万科上东区 南北通途 可望江 拎包入住,万科上东区 -万科城,2室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,56.5,"6,278元/平"
此房双阳户型 精装修 没怎么住三期房源,龙城帝景 -中海,2室1厅 | 78.21平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,58.8,"7,519元/平"
本房源为上东区南北居室，格局合理，适合改善客户,万科上东区 -万科城,2室1厅 | 91平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,58,"6,374元/平"
绿地国际花都 3室2厅  中东商圈 交通便利  配套齐全,绿地国际花都 -雾凇中路,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,79.8,"6,650元/平"
朝阳新苑 2室1厅 南,朝阳新苑 -中海,2室1厅 | 66.3平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 31天以前发布,39.7,"5,988元/平"
广泽紫晶城精装两室 好楼层 采光充足,广泽紫晶城二期 -吉林一中,2室1厅 | 81平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,57.8,"7,136元/平"
剑桥郡自家精装修南北通透H格局正常各种贷款、两年外,剑桥郡 -中海,2室2厅 | 105.49平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,76,"7,205元/平"
个人中等家装正房南北通透，下楼就是中东新生,厚德广厦 -大润发四店,2室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,49,"5,269元/平"
吉东托斯卡纳  2居室  户型方正  产权清晰,吉东·托斯卡纳 -吉林一中,2室1厅 | 86.66平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,45.8,"5,286元/平"
此房南北通透，满两年，不把山不临街,中海国际社区 -中海,3室2厅 | 115平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,90,"7,827元/平"
多层正四楼  精装修 婚房 大H户型 诚意出售,卢瓦尔小镇 -雾凇中路,2室2厅 | 83.3平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,59.5,"7,143元/平"
