标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
华晨·山水洲城 2室1厅 南,华晨·山水洲城 -株洲西站,2室1厅 | 93.65平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,46.8,"4,998元/平"
长株潭一体新区 一公里到万达广场 一公里到大丰站,磐龙世纪城海棠湾 -云龙示范区,3室2厅 | 126.88平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,49.8,"3,925元/平"
建宁，楼梯房2楼，适合老人家和刚需家庭，诚心出售,邮政新村 -神农城,2室2厅 | 81.8平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,37.8,"4,622元/平"
世贸广场精装两房中间楼层家电家具齐全拎包入住随时看,世贸广场翡丽郡 -大润发,2室2厅 | 90平米 | 东 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"6,534元/平"
毛坯价出售，房东急售，看房方便,融创提香蓝岸 -栗雨（美的城）,2室1厅 | 85平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,49.2,"5,789元/平"
9成新 精装大四房 江边成熟小区 电梯中层,湘银小区世纪花园 -滨江广场,4室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,85,"6,116元/平"
房子是经典小三房 户型很好 实用 装修好拎包入住、,创信中央皇庭 -向阳广场,3室2厅 | 104平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,68,"6,539元/平"
红旗·广场伟大国际·电梯·精装房 急卖,偉大國際 -大润发,3室2厅 | 137平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,3人关注 / 7个月以前发布,66.8,"4,876元/平"
房东成本价出售，电梯房中间楼层采光视野好看房便利,中天恒基莱茵小镇 -田心,3室2厅 | 117平米 | 西北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,46.8,"4,000元/平"
芦淞市场高档小区，精装大四房带车位一起出售,锦绣江山 -庆云山,4室2厅 | 160.78平米 | 东 西 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 8个月以前发布,93,"5,785元/平"
此房满两年，配套成熟，交通便利，拎包即可入住,嶺秀天下 -荷塘区,3室2厅 | 155平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,68,"4,388元/平"
新泰小区 2室1厅 南 北,新泰小区 -湖南工业大学,2室1厅 | 79.22平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,23.6,"2,980元/平"
百合嘉园  步梯中层大两房 单价低， 拎包入住，诚心卖,百合嘉园 -向阳广场,2室2厅 | 98.59平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,40.6,"4,119元/平"
此房满五唯一，南北通透格局，楼层低，配套实施齐全,株洲洗煤厂生活区 -贺嘉土,2室1厅 | 58.32平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,30,"5,145元/平"
首富3万，精装电梯小两房，正红旗广场拎包入住即可,东都大厦Ⅰ期住宅楼 -大润发,2室1厅 | 49.11平米 | 东 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 1个月以前发布,26.8,"5,458元/平"
车辆厂，八大，大两房，随时方便看房子,朝阳小区(荷塘区) -荷塘大道,2室2厅 | 54.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,12,"2,206元/平"
601社区居家2房，户型好，价格实惠,新月塘 -大润发,2室1厅 | 49平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,15,"3,062元/平"
丰园大厦精装2房 业主诚心出售,丰园大厦 -庆云山,2室2厅 | 72.8平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 3个月以前发布,32,"4,396元/平"
城市公馆 2室2厅 南,城市公馆 -大润发,2室2厅 | 92.8平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,43.8,"4,720元/平"
文化路居家精装2房，诚心出售，首付低,东环新城南区 -工学院,2室2厅 | 90平米 | 南 西南 西北 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 4个月以前发布,37,"4,112元/平"
430八达商圈精装步梯二楼两房，停车方便、诚心出售,大仙塘小区 -荷塘区,2室1厅 | 50平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 2个月以前发布,21.5,"4,300元/平"
田心公馆业主诚心出售。精装1室1厅拎包入住du九方,田心公馆 -田心,1室1厅 | 42.53平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,22.8,"5,361元/平"
万达广场旁 高档小区叠墅 人车分流 房东诚心卖,新城樾府 -向阳广场,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,95.8,"6,795元/平"
首付9万 荷塘大道 置信逸都花园,置信逸都花园 -荷塘大道,3室2厅 | 111平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 暂无数据,3人关注 / 6个月以前发布,35,"3,154元/平"
炎帝广场 华晨御园 精装两房 诚心出售,华晨御园 -奥园城市广场,2室2厅 | 75.45平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,58,"7,688元/平"
田心公馆  精装三房  带家电 拎包入住,田心公馆 -田心,3室2厅 | 110平米 | 东 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,66.5,"6,046元/平"
金源小区 一楼院子  精装修  ！！！！,金源小区 -响石广场,2室1厅 | 64平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,32.8,"5,125元/平"
精装修，首付低，拎包入住，业主诚心出售,天鹅花园 -天鹅湖公园,3室2厅 | 88.9平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,30.8,"3,465元/平"
新火车站  居家精装电梯三房，诚心出售。,五景花苑 -新华东路,3室2厅 | 129.45平米 | 东 | 精装 | 高楼层(共17层)  | 板塔结合,3人关注 / 4个月以前发布,64,"4,944元/平"
业主诚心出售 随时可签可看  田厂旁,泉塘花園 -田心,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,58,"4,567元/平"
慧谷阳光正规大五房，户型周正，采光好,高科慧谷阳光 -栗雨（美的城）,5室2厅 | 208平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,150,"7,212元/平"
城南好位置，出行便利，精装两房拎包入住,财富铭城 -醴陵市,2室2厅 | 78.97平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,2人关注 / 3个月以前发布,17.6,"2,229元/平"
此房满2年 中间楼层 家居装修,荷叶3村 -龙泉,2室1厅 | 37.09平米 | 西南 | 简装 | 低楼层(共4层)  | 暂无数据,20人关注 / 8个月以前发布,9.8,"2,643元/平"
湘水湾四期 157平大三房 自住装修 带家具电器,晋合湘水湾四期 -神农城,3室1厅 | 157平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,180,"11,465元/平"
诚心出售，价格实惠，拎包入住！,馨香小區 -向阳广场,2室2厅 | 86.61平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,38,"4,388元/平"
户型周正，交通便利，税费低，满五年，,大汉·希尔顿国际 -中心广场,2室2厅 | 80.78平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,61.8,"7,651元/平"
急急急 建设路电梯精装大两房 只要毛坯价格,圣华名城 -响石广场,2室2厅 | 104.13平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,49.8,"4,783元/平"
生活，交通便利，满两年 业主诚心出售,嘉盛华府 -大润发,2室2厅 | 88.13平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,42.8,"4,857元/平"
交通便利适合居住空气好 天然氧吧碧玉花园,碧玉花园 -庆云山,5室3厅 | 236.22平米 | 南 | 毛坯 | 下叠(共3层)  | 板楼 | 叠拼别墅 ,19人关注 / 一年前发布,102,"4,319元/平"
红旗广场大润发旁 正规大三房 单价4592 有钥匙,金洲东方铭苑 -大润发,3室2厅 | 106.27平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,43,"4,047元/平"
炎帝广场商圈  湘银星城 南北通透毛坯四房  随时看房,湘银星城（恒大华府） -湖南工业大学,4室2厅 | 126.54平米 | 东南 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,75,"5,927元/平"
白鹤菱溪校门口 全新毛坯房 户型周正 采光视野好,伟大泰山国际 -株洲西站,4室2厅 | 131平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,69.8,"5,329元/平"
华晨栗雨香堤 2室1厅 东南,华晨栗雨香堤 -栗雨（美的城）,2室1厅 | 88.82平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,53.5,"6,024元/平"
万达商圈现房业主诚心出售随时看房,磐龙世纪城丹桂里 -云龙示范区,4室2厅 | 136平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,55.6,"4,089元/平"
佳兆业全湖景两房 中间楼层 随时看房,佳兆业金域天下三期 -栗雨（美的城）,2室2厅 | 77平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,49,"6,364元/平"
中房天玺湾 4室2厅 南,中房天玺湾 -株洲西站,4室2厅 | 127平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 2天以前发布,85.8,"6,756元/平"
首付15万 买万达商圈电梯毛坯大四房 高层,新城樾府 -向阳广场,4室2厅 | 139.8平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 5天以前发布,72.8,"5,208元/平"
翠谷城 3室2厅 南,翠谷城 -栗雨（美的城）,3室2厅 | 129.56平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,68,"5,249元/平"
栗雨湖，美的蓝溪谷全湖景三房两卫,美的蓝溪谷 -栗雨（美的城）,3室2厅 | 109.16平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 30天以前发布,63.8,"5,845元/平"
歌雅郡 4室2厅 东南,歌雅郡 -向阳广场,4室2厅 | 136平米 | 东南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 4天以前发布,68,"5,000元/平"
工业板块 山水文园 精装大3房,湘银·山水文园 -湖南工业大学,3室2厅 | 139.16平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,80,"5,749元/平"
枫溪城小区 3室2厅 南 北,枫溪城小区 -枫溪街道,3室2厅 | 117.19平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,49.8,"4,250元/平"
田心东门恒丰小区精装三房两厅两卫出售,恒丰小区 -田心,3室2厅 | 128.6平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,52.8,"4,106元/平"
2018精装带暖气，装修保养很好，拎包入住，,华晨御园(别墅) -奥园城市广场,6室3厅 | 287.54平米 | 南 北 | 精装 | 3层  | 平房 | 联排别墅 ,1人关注 / 2个月以前发布,450,"15,650元/平"
源园小区 8室2厅 南,源园小区 -神农城,8室2厅 | 257.2平米 | 南 | 精装 | 3层  | 板楼 | 独栋别墅 ,1人关注 / 4个月以前发布,210,"8,165元/平"
标杆高档社区 湘水湾louwang 全新精装大三房,晋合湘水湾四期 -神农城,3室2厅 | 151.79平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 15天以前发布,213.8,"14,086元/平"
【三力小区】 满五  毛坯电梯大四房,三力小区 -醴陵市,4室2厅 | 191.14平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 14天以前发布,66.6,"3,485元/平"
35路公交站终点站，精装修大三房出售，可装电梯,田心怡园小区（曹家巷一村） -田心,3室2厅 | 125.46平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,55,"4,384元/平"
金色荷塘，大三房毛坯，业主诚心售卖，价格可谈,中房·金色荷塘 -大润发,2室1厅 | 112.67平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 29天以前发布,62,"5,503元/平"
红旗广场，整栋房屋上下三层整体出售，带院子,荷塘铺村郭家祠组散户 -红旗广场,5室2厅 | 332.9平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,142,"4,266元/平"
泰山 铁路小区 一桥四桥 精装三房带杂物间,铁路小区 -泰山广场,3室2厅 | 79.73平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,45,"5,645元/平"
沿江风光带尚格滨江花园9楼三房清水毛胚出售,尚格名城滨江花园 -株洲大道（体育馆）,3室2厅 | 110.58平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,72,"6,512元/平"
中天恒基莱茵小镇 3室2厅 东南,中天恒基莱茵小镇 -田心,3室2厅 | 125.79平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,59.8,"4,754元/平"
株洲恒大华府，精装四房诚心出售,株洲恒大华府 -湖南工业大学,4室2厅 | 119.52平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 31天以前发布,130,"10,877元/平"
美的城小三房带精装6字头中高层,美的城 -栗雨（美的城）,3室2厅 | 98.94平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,66.8,"6,752元/平"
东湖公园步梯中间楼层大四房两厅,晨光小区 -东湖,4室2厅 | 168.42平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,58,"3,444元/平"
田心立交旁，凯风珑城全新精装三房可以拎包入住,凯风龙城 -田心,3室1厅 | 107.5平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 26天以前发布,62,"5,768元/平"
沿河三村西院精装2房2厅一厨一卫好房出售,沿河三村西院 -三三一,2室2厅 | 79.49平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 29天以前发布,28,"3,523元/平"
白鹤菱溪 日盛桂花城 楼梯洋房 精装修,日盛·桂花城 -株洲西站,3室2厅 | 107.53平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,80.8,"7,515元/平"
白鹤菱溪校门口 带车位毛胚三房 户型周正 阳光充足,日盛·桂花城 -株洲西站,3室2厅 | 104.12平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 7天以前发布,68,"6,531元/平"
汽车城小区4-2-1-2 234.00m² 75,汽车城小区 -汽车城,4室2厅 | 234平米 | 东北 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,75,"3,206元/平"
红旗广场商圈 拎包入住 花园洋房 免费停车 诚心出售,大众家园 -红旗广场,3室2厅 | 121.1平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 9个月以前发布,58.8,"4,856元/平"
红旗商圈 业主诚心出售随时看房~~~,兴业荷塘香榭 -向阳广场,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,69.8,"5,454元/平"
人车分流 环境优美 楼层好 交通便利,天金山家园 -向阳广场,4室1厅 | 125.87平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,56.8,"4,513元/平"
汽车城200平复式楼 单价仅3784/平 还有40多平的大露台,汽车城小区 -汽车城,4室3厅 | 200.85平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,68,"3,386元/平"
同心村小区，楼梯复式楼，居家大四房精装修，5楼,株洲车辆厂同心村 -荷塘大道,4室2厅 | 177.82平米 | 东北 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,48,"2,700元/平"
神农城片区，恒大华府好小区，环境很好，享双阳台采光,株洲恒大华府 -湖南工业大学,4室1厅 | 139.26平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,99.5,"7,145元/平"
万达商圈 精装大三房 视野开阔,歌雅郡 -向阳广场,4室2厅 | 138.54平米 | 东南 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,83.8,"6,049元/平"
长江北路独栋别墅，全新装修，拎包入住,联谊新村 -滨江广场,5室2厅 | 339.81平米 | 南 | 精装 | 3层  | 板楼 | 独栋别墅 ,3人关注 / 一年前发布,258,"7,593元/平"
长江北路 联谊新村 电梯复工毛坯大五房 价格实惠,联谊新村 -滨江广场,7室3厅 | 225.9平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,10人关注 / 一年前发布,82,"3,630元/平"
红旗广场 大润发2个商场 精装4房,湘坤金岸华庭 -大润发,4室2厅 | 129.5平米 | 东南 | 精装 | 中楼层(共12层)  | 板塔结合,7人关注 / 一年前发布,69.6,"5,375元/平"
玫瑰名城花园式小区 步梯洋房中楼层,玫瑰名城紫荆苑 -大润发,3室2厅 | 131.18平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,72,"5,489元/平"
大江观邸人车分流小区 正规大四房 满五唯一 随时看房,大江观邸 -株洲大道（体育馆）,4室2厅 | 133.7平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 塔楼,10人关注 / 一年前发布,77.8,"5,819元/平"
