标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
楼梯房，好楼层，三房二厅一卫，生活交通方便,九安巷 -泰和县,3室2厅 | 88.98平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,56,"6,294元/平"
新力帝泊湾 精装修 末入住 中间楼层  大四房,新力帝泊湾 -吉州区,4室2厅 | 151.85平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,138,"9,088元/平"
此房产证满五年 业主诚心卖 小区入住率高，,汇鑫国际 -吉州区,3室2厅 | 124.5平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,110,"8,836元/平"
此房户型方正，南北双阳台，湖景精装小洋房,融创天成·融公馆 -吉州区,4室2厅 | 133.8平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 17天以前发布,137,"10,240元/平"
房东诚意出售，两房毛胚，空气对流，自由装修。,江报枫丹白露 -吉州区,2室1厅 | 85.46平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 11天以前发布,81.2,"9,502元/平"
市政府旁，满五唯一，过户费低，看房方便，面积多,凯旋金融中心 -吉州区,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,89,"9,176元/平"
此房是三房，朝南户型，楼层好，视野宽阔，采光充足,恒源泰·锦绣香江 -吉州区,3室2厅 | 101.98平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,14人关注 / 10个月以前发布,79,"7,747元/平"
市委旁 道署平 精装修 老白鹭洲,道署坪十字街 -吉州区,2室2厅 | 76.7平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,105,"13,690元/平"
公园里 户型方正好楼层 空气清新 居家安静,博胜苑 -泰和县,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,65,"6,133元/平"
城南 铜锣湾中 央 公园 满两年 有证在手 业主诚心卖,中央公园东区 -吉州区,3室2厅 | 119.75平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,12人关注 / 9个月以前发布,119,"9,938元/平"
天虹旁阳光家苑毛坯大四房 生活学习便利,阳光家苑 -吉州区,4室2厅 | 139.6平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,6人关注 / 8个月以前发布,130,"9,313元/平"
鸿翔江誉边户大三房，带大阳台，坐北朝南，户型方正,鸿翔江誉 -青原区,3室2厅 | 119.9平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,6人关注 / 6个月以前发布,85,"7,090元/平"
庐贤雅居，精装修，四房，拎包入住，,庐贤雅居 -吉安县,4室2厅 | 128平米 | 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,83,"6,485元/平"
此房地段好，配套丰富，户型好中间楼层,滨江首府 -青原区,3室2厅 | 119.92平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,3人关注 / 3个月以前发布,96,"8,006元/平"
户型端正，大三房首付低，居住环境优越,正丙角美景苑（东区） -吉州区,3室2厅 | 125.04平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 4个月以前发布,76,"6,079元/平"
康居外滩毛坯房出售，南北对流四居室,康居外滩 -青原区,4室2厅 | 137.33平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,6人关注 / 一年前发布,110,"8,010元/平"
尚峰山水涧毛胚3房，小区环境优美，户型通透,尚峰山水涧 -吉水县,3室2厅 | 97.52平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,55,"5,640元/平"
此房出证就满两年，新小区环境好采光充足。,龙飞众望府 -吉州区,3室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,125,"9,542元/平"
汇丰御园四房毛坯南北通透业主诚心出售,汇丰御园 -吉州区,4室2厅 | 147.72平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 3个月以前发布,87,"5,890元/平"
新华书店(泰和县) 3室2厅 南 北,新华书店(泰和县) -泰和县,3室2厅 | 96.85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,50.6,"5,225元/平"
滨江文苑一线江景三房两厅两卫，座北朝南采光好。,滨江文苑 -吉水县,3室2厅 | 93.85平米 | 南 | 毛坯 | 中楼层(共22层)  | 暂无数据,4人关注 / 一年前发布,68,"7,246元/平"
全新优质小区，精装修居住舒适度高，采光充足，绿化好,正荣阳光城文澜府 -吉州区,4室2厅 | 141.78平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,177,"12,485元/平"
城南七中旁澄碧花园精装修3房 房东诚心,澄碧花园 -吉州区,3室2厅 | 91.12平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,77.3,"8,484元/平"
位置好，配套完善，小区北是县医院，东是杨万里公园,东山中央城 -吉水县,3室2厅 | 107.03平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,87.6,"8,185元/平"
城南毛坯三房中间楼层，南北通风，价格低，满二诚心卖,凯旋世纪城 -吉州区,3室2厅 | 114.27平米 | 南 东南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,98,"8,577元/平"
满2年过户费低，新装修，楼层好采光好,水岸名都 -吉州区,3室2厅 | 132.99平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,114.9,"8,640元/平"
御品国际新小区，绿化好，海尔旁,御品国际 -吉安县,3室2厅 | 108.5平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,86,"7,927元/平"
滨江首府，毛坯三房，高档小区，户型方正楼层好,滨江首府 -青原区,3室2厅 | 119.92平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,84,"7,005元/平"
满两年，婚房装修，中间楼层。诚心出售,盛唐华都 -青原区,3室2厅 | 78.25平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,68,"8,691元/平"
户型方正，精装修采光好，整体布优，全屋墙面瓷砖,达观天下二期 -吉州区,3室2厅 | 116.77平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,96,"8,222元/平"
精装大3房，氛围好，环境优，风景宜人,宜家公园 -吉州区,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,102,"7,133元/平"
小区环境好物业管理到位保安有责任心买卖方便教育无忧,理想城南区 -青原区,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,85.8,"7,272元/平"
龙飞众望府 有电梯 小区好 新 今年交付 毛坯房,龙飞众望府 -吉州区,3室2厅 | 126.76平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,10人关注 / 一年前发布,112,"8,836元/平"
山水豪城3房2厅，满五唯一，房东急卖,山水豪城 -吉水县,3室2厅 | 113.42平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 9个月以前发布,78,"6,878元/平"
房子是全款的，卖了再买。。。。。。。。。,汇丰御园 -吉州区,3室2厅 | 103.05平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,61,"5,920元/平"
城南恒大御景半岛，小区环境好，小高层舒适度高。,恒大御景半岛 -吉州区,3室2厅 | 128.58平米 | 南 | 精装 | 高楼层(共13层)  | 暂无数据,3人关注 / 5个月以前发布,96,"7,467元/平"
采光充足，设施齐全，高档小区，绿化园林好,恒大御景半岛 -吉州区,3室2厅 | 108.78平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,2人关注 / 10个月以前发布,95,"8,734元/平"
城中芯，精装江景大平层，视野开阔，采光好。,六合盛世鹭洲观澜 -吉州区,4室2厅 | 206平米 | 北 南 | 简装 | 中楼层(共15层)  | 板楼,2人关注 / 5个月以前发布,190,"9,224元/平"
吉安大桥旁边滨江公园环境好配套成熟中间楼层  户型好,滨江首府 -青原区,3室2厅 | 132.55平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,3人关注 / 9个月以前发布,92,"6,941元/平"
产证在手，业主诚心卖，毛坯自由装修,庐贤雅居 -吉安县,3室2厅 | 103.58平米 | 东南 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,54.6,"5,272元/平"
碧桂园正荣庐陵府 精装大四房   适合大家族入住,碧桂园正荣庐陵府Ⅱ期 -吉州区,4室2厅 | 131平米 | 东南 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,141,"10,764元/平"
此房为毛坯房，可看江景，采光好，可自由装修,滨江首府 -青原区,3室2厅 | 127.6平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 31天以前发布,88,"6,897元/平"
碧桂园2期 正三房 开放商交付标准,碧桂园正荣庐陵府Ⅱ期 -吉州区,4室2厅 | 131平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,2人关注 / 9个月以前发布,145,"11,069元/平"
房子是国际都会边户，好楼层。户型方正,永丰国际都会 -永丰县,3室2厅 | 123.76平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 6个月以前发布,109,"8,808元/平"
吉州区汇丰御园电梯房，环境好出行方便。,汇丰御园 -吉州区,3室2厅 | 103.95平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,17人关注 / 一年前发布,58,"5,580元/平"
户型方正，格局好，视野好，配套好，小区环境好,上江界 -青原区,3室2厅 | 110.79平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,79.6,"7,185元/平"
水韵蓝湾：满二年品牌精装修新房，采光充足，视野好.,水韵蓝湾 -吉州区,1室1厅 | 48.35平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 12天以前发布,38.9,"8,046元/平"
城南精装一房一厅，可看湖景的景观房，产证满两年！,水韵蓝湾 -吉州区,1室1厅 | 46.1平米 | 北 西北 | 精装 | 高楼层(共28层)  | 板楼,6人关注 / 7个月以前发布,38,"8,243元/平"
房子在财富中央城，品牌装修，带车位,财富中央城 -永丰县,3室2厅 | 120.4平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,130,"10,798元/平"
面积小。税费低。房东诚意售，总价不高,庐纺小区 -吉州区,2室2厅 | 72.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,69.6,"9,594元/平"
楼层好，户型方正，采光通风，精装修。,环湖湾 -吉州区,2室2厅 | 80.24平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 16天以前发布,95,"11,840元/平"
户型方正，新小区环境好，出门就上学到校,龙飞众望府 -吉州区,2室2厅 | 70.65平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 9天以前发布,73,"10,333元/平"
水南背新村城南文化公园旁边中间好楼层带车库20平,水南背新村 -吉水县,3室2厅 | 111.48平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 2天以前发布,55,"4,934元/平"
城中电梯三房，好楼层，小区配套完善,宝华新城 -吉州区,3室2厅 | 82.69平米 | 西 | 简装 | 高楼层(共28层)  | 板楼,3人关注 / 5个月以前发布,78,"9,433元/平"
城南热门小区，横厅三房，好楼层，业主诚心出售。,恒大帝景 -吉州区,3室2厅 | 128.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,110,"8,547元/平"
浅水湾  大三房 136.8平米 精装修  通透户型,浅水湾小区 -泰和县,3室2厅 | 136.8平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,85,"6,214元/平"
康居外滩 紧凑四房，吉安大桥旁,康居外滩 -青原区,4室2厅 | 125.5平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,97,"7,730元/平"
市政府旁凯旋世纪城一楼边户带车位，价格美丽,凯旋世纪城 -吉州区,3室2厅 | 108.26平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,78,"7,205元/平"
急 卖 急 卖 户 型 方 正，,恒源泰·锦绣香江 -吉州区,4室2厅 | 173.17平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,14人关注 / 一年前发布,87,"5,024元/平"
满五唯一 税费低 大好江景房 楼层好  精装修 拎包入住,天龙花园 -吉州区,3室2厅 | 105.72平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,118,"11,162元/平"
此房江景房，全天日照，3间大房，中间楼层，新小区。,滨江文苑 -吉水县,3室2厅 | 133.23平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,86,"6,456元/平"
上江界精装修，三房两厅两卫，重未入住,上江界 -青原区,3室2厅 | 121.19平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,89.8,"7,410元/平"
小区环境好物业也挺好.精装修.楼层好.视野开阔,达观学府 -吉州区,2室2厅 | 86.07平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,88,"10,225元/平"
凯旋翰林府三房简装，业主诚心出售。,凯旋翰林府 -吉州区,3室2厅 | 111.86平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,7人关注 / 4个月以前发布,113,"10,102元/平"
城南南澳公馆三房两厅两卫毛坯，业主低价诚心出售。,南澳公馆 -吉州区,3室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,7人关注 / 一年前发布,86.8,"6,729元/平"
铜锣湾公园四房毛坯，业主诚心出售。,中央公园西区 -吉州区,4室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,144.8,"10,648元/平"
户型格局好，采光好，楼间距相当宽，滨江公园在旁边,吉安蓝光雍锦半岛 -青原区,3室2厅 | 115.6平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,93,"8,045元/平"
此房居住舒适好，楼层好，视野宽阔，采光充足，无遮挡,理想城南区 -青原区,3室2厅 | 137.21平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 6个月以前发布,75,"5,467元/平"
大三房 拎包入住 楼层好 看中价位可以谈业主诚意出售,高康花苑东区 -吉州区,3室2厅 | 141.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,73.8,"5,219元/平"
泽盛二期  三房两厅两卫  107平米85万,泽盛中心城二期A区 -泰和县,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,76,"7,103元/平"
铜锣湾公园，杜鹃路，毛坯三房，小区还带停车位。,中央公园西区 -吉州区,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,14人关注 / 7个月以前发布,119,"10,171元/平"
精装修满两年税费低楼梯房公摊低，业主好说话价格可谈,富临华府 -吉安县,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 25天以前发布,59,"6,705元/平"
恒大帝景精装两房价格实在.....,恒大帝景 -吉州区,2室2厅 | 94.96平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 29天以前发布,75,"7,899元/平"
此房满五年，可拎包入住，阳光充足，出行方便,城东农贸市场 -吉安县,2室2厅 | 84平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 14天以前发布,45,"5,358元/平"
满五唯一，有房改房，正三房，步行出行，配套完善。,道署坪十字街 -吉州区,3室2厅 | 78.18平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,105,"13,431元/平"
沿江路全江景满五唯一，精装修 拎包入住 有学堂读书近,沿江路 -吉州区,2室2厅 | 86平米 | 东 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 3个月以前发布,87,"10,117元/平"
西门口小区，南北中通风八层在七层三房，满五年。,西门口小区 -吉州区,3室2厅 | 106平米 | 南 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 5个月以前发布,103,"9,717元/平"
丹桂博园精装三房，好楼层，房东诚心出售,丹桂博园 -泰和县,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,62.8,"5,509元/平"
山水雅苑大三房，南北对流，户型方正，拎包入住。,山水雅苑 -吉州区,3室2厅 | 122.8平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,110,"8,958元/平"
达观学府精装修3房看，风景美丽,达观学府 -吉州区,3室2厅 | 85.33平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 5个月以前发布,76.5,"8,966元/平"
"房东诚心出售,3房2厅1厨2卫,好楼层,房型方正",浅水湾小区 -泰和县,3室2厅 | 119.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,86,"7,197元/平"
此房满五多套，，税费低，视野宽阔，采光充足,康居帝景湾二期、三期 -吉州区,4室2厅 | 158平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,126,"7,975元/平"
泽盛二期，新装修未入住过，带车位，诚心卖,泽盛中心城二期B区 -泰和县,3室2厅 | 85平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,76,"8,942元/平"
