标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
尚城公馆   秦皇路与玉泉路交汇口  配套齐全,尚城公馆 -秦都区,2室1厅 | 44.24平米 | 西 东 | 简装 | 中楼层(共20层)  | 板塔结合,1人关注 / 22天以前发布,59,"13,337元/平"
地段好，旁边就是渭城zh  xue。是小区z  x一栋楼。,纺器尚泰苑 -渭城区,2室2厅 | 95.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,70,"7,346元/平"
文林路 紫韵东城二期 两居室 户型方正,紫韵东城 -渭城区,2室2厅 | 80.61平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 27天以前发布,66,"8,188元/平"
林湖苑 一室一厅 户型方正 使用率高,林湖苑 -秦都区,1室1厅 | 55.16平米 | 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,63.8,"11,567元/平"
先河国际公馆 电梯 精装 两室 采光好,先河国际公馆 -渭城区,2室2厅 | 96.74平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,89.9,"9,293元/平"
日月星城两室精装婚房，拎包入住,日月星城 -渭城区,2室2厅 | 85.87平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,88,"10,249元/平"
全新精装修 采光好 中间楼层 业主诚心出售,先河国际西区 -秦都区,3室2厅 | 106.29平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 20天以前发布,110,"10,350元/平"
精装修，大型社区，配套设施齐全。,亿龙金河湾 -秦都区,2室2厅 | 94.81平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 21天以前发布,111,"11,708元/平"
又一程佳境 南向 高层 全明两室 视野宽阔 采光充足,鑫苑·又一程佳境 -秦都区,2室2厅 | 84.06平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,77,"9,161元/平"
业主诚心出售，楼位好，中间楼层，随时可签。,龙湖·彩虹郦城 -秦都区,3室2厅 | 103.03平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,119,"11,551元/平"
渭城区 滨河小区两居室，中间楼层 诚心出售,滨河小区(渭城区) -渭城区,2室2厅 | 75.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 9个月以前发布,49.5,"6,579元/平"
入户花园10多平，小高层奥园南北通透三室，全明户型，,奥林匹克花园三期北京奥运村 -秦都区,3室1厅 | 116.96平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,7人关注 / 4个月以前发布,141,"12,056元/平"
万科金域华府精装三室两卫大品牌 .......,万科·金域华府 -秦都区,3室2厅 | 113.05平米 | 东 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 16天以前发布,133,"11,765元/平"
：中间楼层，采光充足，无遮挡，毛坯,泰禾馨苑 -渭城区,3室2厅 | 138.37平米 | 南 北 | 其他 | 高楼层(共12层)  | 板楼,2人关注 / 4个月以前发布,88,"6,360元/平"
精装修，集中供热，临渭柳湿地公园，配套成熟,裕塬丽舍 -渭城区,3室2厅 | 99.27平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 13天以前发布,58,"5,843元/平"
韩非路地铁口河南街小区业主诚心出售,河南街小区 -秦都区,3室2厅 | 112.23平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,96,"8,554元/平"
沣东新城地铁口，业主诚心出售，高层精装修,白桦林印象 -秦都区,2室2厅 | 90.84平米 | 东南 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,129,"14,201元/平"
沣东新城双地铁口 白桦林印象精装两室91平128万 满二,白桦林印象 -秦都区,2室2厅 | 91.8平米 | 西南 | 简装 | 低楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,124,"13,508元/平"
经典3室通风良好，采光充足，配套齐全，交通便利,文彩舫 -秦都区,3室2厅 | 102.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,77.5,"7,563元/平"
世纪大道 先和国际东区 两室 业主诚心出售 看房方便,先河国际社区东区 -秦都区,2室2厅 | 85.55平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 2个月以前发布,84,"9,819元/平"
大三室，采光好，配套齐，交通便利,名仕雅居西区 -渭城区,3室2厅 | 143.2平米 | 北 南 | 精装 | 高楼层(共11层)  | 板楼,16人关注 / 9个月以前发布,89.9,"6,278元/平"
轻奢装修　经典两室　满二无大税,国润城 -秦都区,2室2厅 | 79.84平米 | 北 南 | 其他 | 中楼层(共34层)  | 板塔结合,17人关注 / 5个月以前发布,122,"15,281元/平"
房子带地下室，采光充足，楼层好。交通便利。,枫景苑 -秦都区,2室2厅 | 76.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,66,"8,594元/平"
上林路双地铁国润城东区精装两室,国润城 -秦都区,2室2厅 | 87.38平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,129,"14,764元/平"
70年产权，住宅性质loft民水民电有双气家具家电齐全,奥林匹克花园三期北京奥运村 -秦都区,2室1厅 | 47.28平米 | 南 北 | 其他 | 低楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,74,"15,652元/平"
成国右岸 两室精装家具家电全带 纯南全明户型 随时看,成国右岸 -渭城区,2室2厅 | 93.62平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,76,"8,118元/平"
诚心出售 精装纯南两室  自住 保持好,奥林匹克花园五期 -秦都区,2室2厅 | 75.94平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,110,"14,486元/平"
体育场十字 繁华地段供电局小区 南北通透三居室低楼层,供电局小区 -秦都区,3室2厅 | 96.77平米 | 南 北 | 简装 | 低楼层(共6层)  | 平房,1人关注 / 14天以前发布,62,"6,407元/平"
诚心出售，满五不唯一，适合老年人居住,金山佳苑 -秦都区,2室1厅 | 64.36平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 4个月以前发布,48,"7,459元/平"
坐拥沣西万千美景，俯瞰高校青春气息,金科世界城 -秦都区,3室2厅 | 113.18平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,124,"10,956元/平"
咸阳湖边   外滩一号   两室精装休出售,外滩一号 -秦都区,2室2厅 | 91.51平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,17人关注 / 一年前发布,127.6,"13,944元/平"
毕塬东路，七九五小区，成熟社区,七九五厂小区 -渭城区,2室1厅 | 45.6平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,20,"4,386元/平"
咸平路 次新大社区 电梯房 中间楼层,宝石佳苑 -秦都区,2室1厅 | 74.62平米 | 北 南 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,64.9,"8,698元/平"
地铁口 怡水花园 满二  大三室,怡水花园 -秦都区,3室2厅 | 135.58平米 | 北 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,159,"11,728元/平"
证在手，满两年，总价低。。。。,西北电力建设有限公司小区 -渭城区,2室1厅 | 55.26平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,27.9,"5,049元/平"
地铁口湖景四室  小区中间  精装南北通透,宇宏健康花城 -秦都区,4室2厅 | 143.55平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,175,"12,191元/平"
70年产权，住宅性质loft，民水民电，有双气,奥林匹克花园四期伦敦奥运村 -秦都区,2室1厅 | 40.11平米 | 南 | 其他 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,56,"13,962元/平"
恒大精装三室 产证清晰 业主诚心出售,恒大帝景 -秦都区,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,26人关注 / 5个月以前发布,103,"10,511元/平"
奥园五期 精装两室 户型好 保持好 楼龄新 业主诚心卖,奥林匹克花园五期 -秦都区,2室2厅 | 75.94平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,108,"14,222元/平"
城投时代，中间偏下楼层；中间位置,城投时代 -秦都区,3室1厅 | 104.21平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,2人关注 / 7个月以前发布,95,"9,117元/平"
住宅性质loft，民水民电，有双气,奥林匹克花园三期北京奥运村 -秦都区,2室2厅 | 47.23平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 3个月以前发布,76,"16,092元/平"
诚心出售，精装修，大阳台。经典三居，满二,阳光城西西里 -秦都区,3室2厅 | 99.99平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,15人关注 / 9个月以前发布,150,"15,002元/平"
房子有学     校    看房方便   停车便宜,康佳苑 -秦都区,2室2厅 | 83.04平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,46.8,"5,636元/平"
房子产权清晰，前后楼间距大，南北通,安谷苑小区 -秦都区,3室2厅 | 139.37平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,106,"7,606元/平"
此房满二，户型方正，采光充足，交通便利，配套齐全,博尚新都 -渭城区,3室2厅 | 106.63平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 8天以前发布,91,"8,535元/平"
精装三室，准地铁口，中间楼层，采光好，南北通透,枫景苑 -秦都区,3室1厅 | 107.98平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,23人关注 / 6个月以前发布,95.5,"8,845元/平"
万达商圈 珠泉新城 景观楼层 拎包入住 诚心出售,丽彩·珠泉新城 -秦都区,3室2厅 | 134.21平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,110,"8,197元/平"
德佑直选好房+电梯房+大社区。。。。,华泰玉景台 -秦都区,3室2厅 | 106.07平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,116,"10,937元/平"
工商局家属院 3室2厅 南 北,工商局家属院 -秦都区,3室2厅 | 104.03平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 6个月以前发布,52,"4,999元/平"
小区环境优雅，绿化面积大，每栋楼下都有绿化带。,长庆昌源小区 -渭城区,3室2厅 | 90.62平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,18人关注 / 4个月以前发布,63,"6,953元/平"
地铁口 临湖房 林凯城 毛坯 满二 随时看房,林凯城 -秦都区,2室2厅 | 78.23平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,92,"11,761元/平"
惠馨苑   中层   精装修    集中供暖地暖2007年的房子,惠馨苑 -秦都区,2室1厅 | 79.21平米 | 南 北 | 精装 | 中楼层(共6层)  | 平房,3人关注 / 2个月以前发布,55,"6,944元/平"
世纪大道地铁口  电梯入户 三居室 高私密性带入户花园,金泰丝路花城朗园 -秦都区,3室2厅 | 126平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,155,"12,302元/平"
世纪大道双地铁口品质小区精装三室全配户型,国润城 -秦都区,3室1厅 | 118.56平米 | 东 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,198,"16,701元/平"
地铁口，中间楼层    满二无大税，全明户型，采光好,滨湖花园 -秦都区,3室2厅 | 141.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,30人关注 / 7个月以前发布,94,"6,654元/平"
此房满二，户型方正，采光充足，交通便利，配套齐全,博尚新都 -渭城区,3室2厅 | 106.63平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 8天以前发布,91,"8,535元/平"
奥园四期经典两室 总价低 诚心出售,奥林匹克花园四期伦敦奥运村 -秦都区,2室1厅 | 74.99平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,92,"12,269元/平"
房子有学     校    看房方便   停车便宜,康佳苑 -秦都区,2室2厅 | 83.04平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,46.8,"5,636元/平"
恒大帝景精装三室小区园林景观......,恒大帝景 -秦都区,3室1厅 | 121.7平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,115,"9,450元/平"
沣东新城亿龙金河湾大社区稀有毛坯小三室,亿龙金河湾 -秦都区,3室2厅 | 99.61平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,120,"12,047元/平"
阳光城官邸 四居室  大横厅  南北通透  业主诚心出售,阳光城壹号官邸 -秦都区,4室2厅 | 139.81平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 3个月以前发布,228,"16,308元/平"
加州壹号 地铁口 精装大三室 诚心出售,加州壹号 -秦都区,3室2厅 | 123.89平米 | 南 北 | 简装 | 中楼层(共24层)  | 板塔结合,25人关注 / 11个月以前发布,129.8,"10,478元/平"
采光充足 小区安静 环境优雅 小区内整体素质高,华北局三普西生活区 -秦都区,3室1厅 | 62.75平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,33.5,"5,339元/平"
秦都区人民路七厂十字万达广场二厂 两室户型方正,西兰办家属楼 -秦都区,2室1厅 | 70平米 | 西南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 15天以前发布,40,"5,715元/平"
人民路 闹市区一室 诚心出售 看房有钥匙 房本在手,二印小区 -秦都区,1室1厅 | 25.3平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 4天以前发布,14,"5,534元/平"
纯南两室户型业主急售 电梯中间楼层。好地段配套成熟,先河国际公馆 -渭城区,2室2厅 | 86.11平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,4人关注 / 4个月以前发布,81,"9,407元/平"
诚心出售，两室户型，得房率高。,奥林匹克花园一期 -秦都区,2室1厅 | 82.15平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,100,"12,173元/平"
地铁口，南北户型，地铁口，精装两室,华府御园 -秦都区,2室2厅 | 89.87平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,32人关注 / 7个月以前发布,92,"10,238元/平"
小两室做成三室，成熟社区地铁口，业主诚心出售,枫景苑 -秦都区,2室1厅 | 47.21平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 6个月以前发布,30.98,"6,563元/平"
小区环境优美，人车分流，精装修,亨星锦绣城 -渭城区,2室2厅 | 82.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,81.5,"9,854元/平"
秦都高铁站旁，未来地铁口，交通便利 户型方正,旭光光明城 -秦都区,1室1厅 | 61.76平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,58,"9,392元/平"
项目南边就是两寺度公园，咸阳马尔代夫沙滩，,丽彩 · 溪悦城 -秦都区,2室1厅 | 70.05平米 | 北 | 简装 | 低楼层(共30层)  | 板楼,12人关注 / 9个月以前发布,60,"8,566元/平"
世纪大道 地铁口 两室 南北通透67万,安谷苑小区 -秦都区,2室1厅 | 78.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,66,"8,437元/平"
房子中间楼层，看房方便，业主诚心出售,晨光雅居 -秦都区,2室2厅 | 89.12平米 | 南 | 简装 | 低楼层(共19层)  | 暂无数据,4人关注 / 5个月以前发布,73,"8,192元/平"
"秦皇路中,时代王朝。交通便利。",双峰文苑大厦 -秦都区,2室1厅 | 88.28平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,16人关注 / 6个月以前发布,63.8,"7,228元/平"
南北，格局好，诚心出售，近地铁口,丽彩金寓良苑 -秦都区,1室1厅 | 52.46平米 | 东 北 | 简装 | 中楼层(共31层)  | 板塔结合,2人关注 / 1个月以前发布,43,"8,197元/平"
秦都高铁站旁，未来地铁口，交通便利 户型方正,旭光光明城 -秦都区,2室1厅 | 84.65平米 | 北 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 4个月以前发布,78,"9,215元/平"
世纪大道地铁口、公园边、靠市场、经典两室,先河国际社区东区 -秦都区,2室2厅 | 89.96平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板塔结合,47人关注 / 一年前发布,83.8,"9,316元/平"
先河东区地铁口 满二毛坯大两室 中间楼层 诚心出售,先河国际社区东区 -秦都区,2室1厅 | 90.66平米 | 南 | 毛坯 | 高楼层(共19层)  | 板楼,4人关注 / 7个月以前发布,85,"9,376元/平"
上林路双地铁口，配套齐全精装两室,国润城 -秦都区,2室1厅 | 68.07平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,111,"16,307元/平"
繁华地段，两室优质房源，看房随时,中央领域 -渭城区,2室1厅 | 85.55平米 | 西 北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 1个月以前发布,80,"9,352元/平"
东风路亨星锦绣城，大俩室，户型方正明亮，业主诚心卖,亨星锦绣城 -渭城区,2室2厅 | 102.5平米 | 东 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,96.8,"9,444元/平"
陈阳寨哋鉄口，毛坯电梯房两室，南高速，北哋鉄人工湖,海鋈皇嘉 -秦都区,2室2厅 | 98.11平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,24人关注 / 一年前发布,80,"8,155元/平"
世纪大道金泰大型成熟社区 满二无大税,金泰丝路花城荣庭 -秦都区,2室2厅 | 93.04平米 | 南 北 | 简装 | 高楼层(共25层)  | 板塔结合,22人关注 / 一年前发布,94,"10,104元/平"
