标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
万达商圈广东南路电梯朝南已装修3房,中南锦绣花园 -银海区,3室2厅 | 92.5平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 2个月以前发布,36.9,"3,990元/平"
中南明珠 3室2厅 南,中南明珠 -海城区,3室2厅 | 88.25平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,47,"5,326元/平"
舒适小四房，南北朝向采光好，配套设施齐全，交通方便,丽水南珠 -银海区,4室2厅 | 89平米 | 南 | 简装 | 高楼层(共19层)  | 板塔结合,7人关注 / 一年前发布,57.8,"6,495元/平"
楼层好，采光充足，交通便利。。。。,第九湾蓝山上湾 -银海区,1室2厅 | 67.9平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,30人关注 / 一年前发布,26.5,"3,903元/平"
海语城，三房二卫使用面积100平左右南北通透新装修,碧园海语城 -海城区,3室2厅 | 89.01平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,62,"6,966元/平"
海景现房，高楼层，视野好，通风好，房东好说话,德利海北海 -海城区,3室2厅 | 120.55平米 | 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,68,"5,641元/平"
乾坤国际3加1房无遮挡随时看房,银投乾坤国际城 -银海区,4室2厅 | 121平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,65,"5,372元/平"
恒大雅苑精装修未入住 双卫的三房南北通透 业主急售,恒大雅苑 -海城区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,62,"6,139元/平"
中港城浅水湾 3室2厅 南,中港城浅水湾 -海城区,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,61.5,"5,083元/平"
贵州路北岸晏城 电梯两房 精装修 南北通透,北岸晏城 -海城区,2室2厅 | 83.15平米 | 南 北 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,36,"4,330元/平"
满五唯一  高楼层  业主诚心出售,嘉盛名都 -银海区,3室2厅 | 89平米 | 北 南 | 简装 | 高楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,59.8,"6,720元/平"
万达吾悦广场双商圈的国企大盘经典的3+1户型,银投乾坤国际城 -银海区,4室2厅 | 121.01平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,70,"5,785元/平"
北部湾广场  新力商城 南北通透  步梯三房,海城区外贸小区 -海城区,3室2厅 | 86.12平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,27,"3,136元/平"
地段好，满五唯一，户型方正，光线好，,金癸领海郡 -银海区,3室2厅 | 86.27平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 4个月以前发布,47,"5,449元/平"
生活便利，交通方便，3房户型方正，通风采光好。,香槟郡 -海城区,3室2厅 | 95.71平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 5个月以前发布,49.8,"5,204元/平"
房子是南向的，阳台比较大，卧室和客厅朝南，全明户型,越亚天赐良园 -银海区,3室2厅 | 85平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,19人关注 / 一年前发布,61,"7,177元/平"
宁城城商圈 南北通透，双个阳台，证在手,华杰春秋源一期 -海城区,3室2厅 | 134平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,9人关注 / 一年前发布,73.8,"5,508元/平"
南洋国际金融公寓 2室2厅 南 北,南洋国际金融公寓 -海城区,2室2厅 | 90.63平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,38,"4,193元/平"
双阳台，南北通透，无遮挡，万达吾悦双商圈四房两卫,碧桂园北海印象 -银海区,4室2厅 | 128.34平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,10人关注 / 6个月以前发布,98.5,"7,675元/平"
户型方正，家电齐全，拎包入住。,桐洋新城 -海城区,3室1厅 | 89平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,39,"4,383元/平"
海尚巴黎酒店公寓 1室1厅 南,海尚巴黎酒店公寓 -海城区,1室1厅 | 61.61平米 | 南 | 简装 | 中楼层(共29层)  | 塔楼,0人关注 / 20天以前发布,16.9,"2,744元/平"
万达商圈 海岸华府精装三房两卫 视野宽阔采光充足,恒宇海岸华府一区 -银海区,3室2厅 | 89.44平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 1个月以前发布,83,"9,280元/平"
精装修，家具家电全齐全，定制衣柜，集成灶，拎包入住,振业小区 -海城区,3室2厅 | 123.44平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,45,"3,646元/平"
经典小2房 电梯小高层 户型方正，,阳光蓝洲花园 -银海区,2室1厅 | 67平米 | 北 | 简装 | 低楼层(共13层)  | 板塔结合,1人关注 / 1个月以前发布,24.9,"3,717元/平"
香槟郡 4室2厅 南 北,香槟郡 -海城区,4室2厅 | 174.73平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,17人关注 / 7个月以前发布,88,"5,037元/平"
四川路 九洲城 4房2厅 自住房子 保养好 拎包入住,九洲城 -海城区,4室2厅 | 103.26平米 | 南 西 | 精装 | 低楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,42.5,"4,116元/平"
业主急售，寻找这套房子的新主人。它一定是您的,银投乾坤国际城 -银海区,3室2厅 | 88平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,47,"5,341元/平"
此房满五唯一，中间楼层，视野宽阔，配套设施齐全。,世鑫大厦 -海城区,2室1厅 | 61.66平米 | 西 东 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 23天以前发布,21.88,"3,549元/平"
国际新城高铁站旁宁春城商圈朝南正规一房两厅拎包入住,国际新城 -海城区,1室1厅 | 62平米 | 南 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 23天以前发布,27,"4,355元/平"
东风锦绣城大两房户型方正干净装修,东峰锦绣城 -海城区,2室1厅 | 82.36平米 | 北 | 精装 | 中楼层(共23层)  | 板塔结合,42人关注 / 11个月以前发布,28,"3,400元/平"
广东路万达商圈，，金域华府小区,金域华府 -银海区,3室1厅 | 89.5平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 1个月以前发布,56.5,"6,313元/平"
房子是南珠商圈，生活交通一切很方便。,北海名座 -海城区,2室1厅 | 83.56平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,53,"6,343元/平"
园辉新都 2室2厅 南,园辉新都 -银海区,2室2厅 | 86.46平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 3个月以前发布,32.8,"3,794元/平"
万达商圈品质楼盘，视野开阔无遮挡，离海边近,越亚天赐良园 -银海区,3室2厅 | 95平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,28人关注 / 一年前发布,64,"6,737元/平"
"精装修，南北通透,莱茵名郡大4房出售",莱茵名郡 -银海区,4室2厅 | 124.26平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,29人关注 / 8个月以前发布,73,"5,875元/平"
银祥公寓，六中旁，步梯三房，户型方正,银祥公寓 -海城区,3室2厅 | 85平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,32.5,"3,824元/平"
三清园 3室2厅 南,三清园 -海城区,3室2厅 | 82.55平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,4人关注 / 6个月以前发布,39.8,"4,822元/平"
万达吾悦商圈，户型方正，中层简装，满五唯一，采光好,圣美阳光家园 -银海区,3室2厅 | 90.84平米 | 南 北 | 简装 | 中楼层(共12层)  | 板塔结合,5人关注 / 2个月以前发布,37.5,"4,129元/平"
此房为东边.出入方便，闹中取静，通风采光好。,东尚领域 -海城区,2室2厅 | 113.2平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,8人关注 / 一年前发布,38,"3,357元/平"
嘉盛名都大四房 电梯中层 万达商圈新大润发双商圈,嘉盛名都 -银海区,4室2厅 | 119平米 | 南 北 | 简装 | 中楼层(共25层)  | 板塔结合,3人关注 / 10个月以前发布,88,"7,395元/平"
嘉和冠山海 精装修 南北通透 视野无遮拦 采光充足,嘉和冠山海 -海城区,4室2厅 | 118.51平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,75,"6,329元/平"
万达商圈 万泉城二区 南北通透 两梯两户 三房三阳台,银滩万泉城2区 -银海区,3室1厅 | 120平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,18人关注 / 8个月以前发布,75,"6,250元/平"
此房户型格局好，正规三室两一卫，东边户型，中间楼层,金领阳光 -海城区,3室2厅 | 89.08平米 | 东 北 | 其他 | 中楼层(共29层)  | 板塔结合,13人关注 / 11个月以前发布,43,"4,828元/平"
世纪城毛坯三房电梯中层 采光充足配套齐全交通便利,镒建世纪城 -银海区,3室2厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,14人关注 / 7个月以前发布,53.8,"6,045元/平"
：小区环境优美，出行方便，离海边近..,越亚天赐锦园 -银海区,4室2厅 | 118.57平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,6人关注 / 一年前发布,98,"8,266元/平"
近侨港  朝南大两房 毛坯中高层  视野无遮挡 能看海,安建假日海岸 -银海区,2室2厅 | 90.37平米 | 南 | 毛坯 | 高楼层(共12层)  | 板塔结合,6人关注 / 一年前发布,34,"3,763元/平"
景区房 金滩 海滨公园就在家门口,正虹海景湾 -海城区,1室1厅 | 72平米 | 东 | 简装 | 中楼层(共19层)  | 板塔结合,3人关注 / 一年前发布,23,"3,195元/平"
低价出售  北京路大润发旁嘉福文华苑 一房一厅,嘉福文华苑 -海城区,1室1厅 | 45.64平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,19.8,"4,339元/平"
"小区社区内有泳池,篮球场,800米内有幼儿园,逸夫小 学",银湾花园羊湖苑 -海城区,1室1厅 | 42.82平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,15.3,"3,574元/平"
急售：冠岭山庄 第九湾 满五  毛坯,第九湾蓝山上湾 -银海区,2室1厅 | 71.01平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,21人关注 / 一年前发布,28,"3,944元/平"
这方真的没有什么优势 但是很多人想买 这是为什么呢,天健绿园 -银海区,2室1厅 | 79平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 8个月以前发布,31,"3,925元/平"
银滩上万达旁 南北通透 大阳台 可看海 交通购物便利,枫林蓝湾小区 -银海区,2室1厅 | 92.5平米 | 南 北 | 简装 | 19层  | 板塔结合,19人关注 / 6个月以前发布,39.5,"4,271元/平"
银海区 上海路 恒大名都 大一室 精装修 吉售,恒大名都 -银海区,1室0厅 | 53.76平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 7个月以前发布,29,"5,395元/平"
高铁站旁宁春城商圈正规一房精装修可拎包入住,国际新城 -海城区,1室2厅 | 63平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,31,"4,921元/平"
环境优美.购物方面.可观海.可观江.,大唐听海居 -银海区,2室2厅 | 66.71平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 5个月以前发布,45,"6,746元/平"
采光好 视野无遮挡 环境好  交通便捷 配套设施齐全,和安商都小区 -海城区,2室1厅 | 69平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,18人关注 / 一年前发布,27.7,"4,015元/平"
户型方正，满五唯一。家电齐全，拎包入住。,金湾花园 -海城区,2室2厅 | 84.07平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,36.66,"4,361元/平"
沃尔玛边上业主急售户型方正出行方便,银晖公寓 -海城区,1室1厅 | 37.34平米 | 南 | 简装 | 低楼层(共20层)  | 塔楼,1人关注 / 2个月以前发布,11.8,"3,161元/平"
这套房子位于北海冯家江湿地公园旁,皇家海湾公馆 -银海区,2室2厅 | 82.1平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,62,"7,552元/平"
新力海景花园 2室2厅 南,新力海景花园 -海城区,2室2厅 | 88.9平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,1人关注 / 10个月以前发布,31.8,"3,578元/平"
振星大厦 1室1厅 南,振星大厦 -海城区,1室1厅 | 43.67平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,12,"2,748元/平"
双国企 看海 两房    拎包入住,万泉城一区 -银海区,2室2厅 | 86.97平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,44,"5,060元/平"
侨港、新大润发华一红树林正规两房 可任意装修,华一·红树林 -银海区,2室2厅 | 85.73平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,36.8,"4,293元/平"
第九湾2房 满五唯一 总价低 户型方正 采光好,第九湾蓝山上湾 -银海区,2室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,20人关注 / 一年前发布,36,"4,045元/平"
怡康花园  大阳台 干净整洁 拎包入住 配套齐全,怡康花园 -海城区,1室0厅 | 39.3平米 | 北 | 简装 | 中楼层(共11层)  | 板塔结合,6人关注 / 8个月以前发布,11,"2,799元/平"
侨港银滩四川路新大润发华一红树林朝南2室带装修40万,华一·红树林 -银海区,2室2厅 | 87.5平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,2人关注 / 1个月以前发布,38.8,"4,435元/平"
此房格局方正 精装修 南北通透 采光好 小高层,桐洋新城 -海城区,3室2厅 | 87.79平米 | 南 北 | 精装 | 高楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,35.1,"3,999元/平"
走路去银滩2000米 精装大两房 拎包入住 业主诚心出售,昊海梧桐 -银海区,2室2厅 | 84.13平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 7个月以前发布,40,"4,755元/平"
银滩西区冠山海经济实用小户型价格有优势,嘉和冠山海 -海城区,1室0厅 | 50.32平米 | 西北 | 精装 | 高楼层(共32层)  | 板塔结合,4人关注 / 2个月以前发布,26,"5,167元/平"
碧桂园北纬21°2房2厅1厨1卫79.19平,碧桂园北纬21° -银海区,2室2厅 | 79.19平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,15人关注 / 5个月以前发布,46,"5,809元/平"
银滩片区正规朝南大两房看房方便,银州花园 -银海区,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,12人关注 / 一年前发布,33.3,"3,873元/平"
此房高楼层，精装修，视野开阔，采光充足，配套齐全,北部湾壹号 -海城区,1室0厅 | 37.4平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 8个月以前发布,25.8,"6,899元/平"
正规的两房，小高层，南北通透，视线好，前无遮挡,银滩万泉城2区 -银海区,2室2厅 | 74.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43,"5,770元/平"
银滩西区第九湾蓝山上湾高层三房清水,第九湾蓝山上湾 -银海区,3室2厅 | 89.9平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,4人关注 / 3个月以前发布,39,"4,339元/平"
侨港银滩 贵阳市场 穗丰金湾朝南2居室 海景视野无遮挡,穗丰金湾 -银海区,2室2厅 | 75.4平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,4人关注 / 6个月以前发布,38,"5,040元/平"
小区位于云南南路距市花公园邻居的,天宇公寓 -海城区,2室2厅 | 96.67平米 | 南 北 | 简装 | 中楼层(共8层)  | 平房,2人关注 / 一年前发布,31,"3,207元/平"
小区位于西南大道与宜秀路交汇海城区政务大厅对个,桐洋新城 -海城区,2室2厅 | 88.48平米 | 南 东 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,6人关注 / 11个月以前发布,32.5,"3,674元/平"
北海银滩片区，小区配套齐全，视野开阔，大露台。,皇家海湾公馆 -银海区,3室2厅 | 87.76平米 | 南 北 | 精装 | 高楼层(共13层)  | 板塔结合,11人关注 / 11个月以前发布,260,"29,627元/平"
采光好楼层好高品质小区一线海景,北海恒大海上帝景 -海城区,4室1厅 | 136.13平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,13人关注 / 7个月以前发布,82,"6,024元/平"
新世纪大道与西藏路交汇处满五唯一正规三房出售,一品湾 -银海区,3室2厅 | 91.53平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,38,"4,152元/平"
天赐良园3房 满五唯一 户型方正 精装修 南北 通透,越亚天赐良园 -银海区,3室2厅 | 93.36平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,70,"7,498元/平"
北海银滩片区，小区配套齐全，视野开阔，大露台。,皇家海湾公馆 -银海区,3室2厅 | 87.76平米 | 南 北 | 精装 | 高楼层(共13层)  | 板塔结合,11人关注 / 11个月以前发布,260,"29,627元/平"
采光好楼层好高品质小区一线海景,北海恒大海上帝景 -海城区,4室1厅 | 136.13平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,13人关注 / 7个月以前发布,82,"6,024元/平"
满五唯一，三房一卫，户型方正，采光好,九州家园南区 -银海区,3室2厅 | 78平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,33.5,"4,295元/平"
