标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
绿地二期南苑好楼层 精装两房全明户型采光佳诚意出售,绿地世纪城国际花都南苑 -生态新城,2室2厅 | 95平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,165,"17,369元/平"
房东诚心出售！看房方便！欢迎咨询！,健康新村西区 -万达,2室2厅 | 76.37平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 8个月以前发布,67,"8,774元/平"
房子是精装修，户型好，采光佳，房东诚心出售！,香格里拉C区 -水渡口大道,2室2厅 | 89.45平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,1人关注 / 8个月以前发布,104.8,"11,717元/平"
七星水岸。。。。。。。。。。。。。。。。。。,七星水岸 -水渡口大道,3室1厅 | 116平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,115,"9,914元/平"
翔宇大道旁精装两房总价地交通便利房东急售随时看房,翔宇壹号 -翔宇大道,2室1厅 | 104.23平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 13天以前发布,90,"8,635元/平"
红豆美墅公园里  4房2卫 诚心出售,红豆美墅公园里 -迎宾大道,4室2厅 | 146平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,155,"10,617元/平"
南馨豪庭 3室2厅 南 北,南馨豪庭 -深圳路,3室2厅 | 100.48平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,80,"7,962元/平"
温馨精装三房 拎包入住。。。。。。？,恒大名都二期 -恒大名都,3室1厅 | 130.18平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,113,"8,681元/平"
此房楼层好，格局好，楼层好，视野宽阔，,北京新村 -外国语,2室1厅 | 61.94平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,56.6,"9,138元/平"
中南洋房·急卖/3房2厅/带储藏室,中南世纪城三期玺园 -中南商圈,3室2厅 | 105.22平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,20人关注 / 一年前发布,132,"12,546元/平"
淮海南路全新小区悦荣府满两年现房随时看房,瑞鑫悦荣府 -恒大名都,3室2厅 | 106.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,4人关注 / 一年前发布,88,"8,295元/平"
小高层5楼，精装两房，紧靠翔宇大道，业主诚心出售。,河畔花城 -翔宇大道,2室1厅 | 97.03平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,98,"10,100元/平"
房子户型方正，带有25平方左右电瓶车库,富豪花园北区 -北京西路,3室2厅 | 103.78平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,95.8,"9,232元/平"
房子是精装修，大落地窗，满两年，采光很好,融侨观邸 -水渡口大道,3室2厅 | 111.04平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,132,"11,888元/平"
淮海路主干道旁小区位置佳，出行方便，配套齐全,永业梦乐城 -恒大名都,3室2厅 | 105.9平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 10天以前发布,86,"8,121元/平"
急售！万达公寓精装房，房东诚心出售 朝南 随时看,万达公寓 -万达,1室1厅 | 75.29平米 | 西南 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,59,"7,837元/平"
满五唯一 精装修 拎包入住 采光通透,鸿基雅园 -上海西路,3室2厅 | 96.57平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,80,"8,285元/平"
房东急卖   淮海南路旁  毛坯三室  红星国际广场,红星国际广场 -清晏园,3室1厅 | 101.22平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,6人关注 / 一年前发布,90.8,"8,971元/平"
钱隆御景三房，户型方正，采光好，交通便利,钱隆御景 -恒大名都,4室2厅 | 129.85平米 | 南 | 其他 | 高楼层(共29层)  | 塔楼,5人关注 / 一年前发布,89,"6,855元/平"
此房精装修，满两年  楼层采光好 户型方正 ，看房方便,云梦清河二期 -水渡口大道,3室2厅 | 124.77平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,138,"11,061元/平"
此房户三室两厅，户型方正，视野开阔，采光充足，毛坯,永业梦乐城 -恒大名都,3室2厅 | 105.9平米 | 南 北 | 简装 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,88,"8,310元/平"
璟和名城 四室 西边户  楼层好  满二年,璟和名城 -水渡口大道,4室2厅 | 145.25平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,190,"13,081元/平"
淮海南路旁华德力运河城大三室 户型方正 楼层好采光佳,华德力运河城 -恒大名都,3室2厅 | 128.26平米 | 南 北 | 简装 | 低楼层(共11层)  | 塔楼,4人关注 / 4个月以前发布,118,"9,201元/平"
香格里拉85.5平2室2厅1厨1卫,香格里拉D区 -水渡口大道,2室2厅 | 85.86平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 6个月以前发布,103,"11,997元/平"
此房源，采光好，配套齐全，小区环境优美，居住舒服,欧洲城(清江浦区) -延安东路,3室2厅 | 107.27平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,84,"7,831元/平"
四季金辉二期毛坯三开间朝南 楼层好采光佳看房方便,四季金辉观岚 -恒大名都,3室2厅 | 97.75平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 8个月以前发布,88,"9,003元/平"
华德力多层三楼 三房两卫 户型正 三开朝南 急售,华德力运河城 -恒大名都,3室2厅 | 119.81平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 16天以前发布,120,"10,016元/平"
急卖蓝庭印象精装修 小区好位置  好楼层 采光刺眼,蓝庭印象花园 -长征小学,3室2厅 | 101.68平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 22天以前发布,112,"11,015元/平"
恒大名都一期大四房155平方115万，单价低诚意出售,淮安恒大名都 -恒大名都,4室2厅 | 156平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 22天以前发布,108,"6,924元/平"
此房宰相楼层 户型好 彩光刺眼  拎包入住 看房方便,山阳湾花园 -生态新城,2室1厅 | 89.36平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,127,"14,213元/平"
精装修 三室 配套设施齐全 交通便利,香溢茗园东区 -白鹭湖,3室2厅 | 111.95平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 18天以前发布,108,"9,648元/平"
幸福城3房，满2年业主诚心出售，看房方便,幸福城 -淮阴区大润发,3室1厅 | 88.66平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 7天以前发布,100,"11,280元/平"
房东急售  淮海南路旁  精装三室金满华府   随时看房,金满華府 -清晏园,3室2厅 | 104.4平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,95,"9,100元/平"
小区前排，阳光耀眼，南北通透，有大露台。,亿力未来城 -翔宇大道,3室2厅 | 128.31平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,9人关注 / 8个月以前发布,156,"12,159元/平"
绿地世纪城一期 4室2厅 南,绿地世纪城一期 -生态新城,4室2厅 | 126平米 | 南 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 10天以前发布,230,"18,254元/平"
中天精装修四房 拎包入住 老证户型好采光不影响,中天翡丽湾 -生态新城,4室2厅 | 126.23平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,10人关注 / 4个月以前发布,138,"10,933元/平"
金辉城清江府 3室1厅 南 北,金辉城清江府 -白鹭湖,3室1厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 13天以前发布,85,"8,855元/平"
位置佳 出行方便  生活方便  方便锻炼,万达广场一期住宅 -万达,3室2厅 | 133.02平米 | 南 北 | 毛坯 | 高楼层(共39层)  | 板楼,7人关注 / 11个月以前发布,131,"9,849元/平"
香格里拉，诚心卖房 位置好，楼层好 看房提前联系,香格里拉B区 -水渡口大道,4室2厅 | 134.06平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 7个月以前发布,155,"11,562元/平"
宝龙世家三房两卫房东急卖。。。,宝龙世家 -白鹭湖,3室1厅 | 102平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 9天以前发布,102,"10,000元/平"
中天翡丽湾精装修三房双卫 边户 好楼层,中天翡丽湾 -生态新城,3室2厅 | 117.6平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 13天以前发布,146,"12,415元/平"
祥和至尊家园 2室2厅 南 北,祥和至尊家园 -上海西路,2室2厅 | 94.5平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 13天以前发布,78,"8,254元/平"
英祥承德公馆 2室2厅 南,英祥承德公馆 -火车北站,2室2厅 | 86.54平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 6天以前发布,77,"8,898元/平"
海润枫景 毛坯三室 楼层好采光佳 看房方便,海润枫景佳苑 -清晏园,3室2厅 | 121.16平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,88,"7,264元/平"
新城悦隽 3室1厅 南,新城悦隽 -火车北站,3室1厅 | 120平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,105,"8,750元/平"
房子还是精装的！户型也是不错的，采光也很好,蓝庭印象花园 -长征小学,3室2厅 | 100.3平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,108,"10,768元/平"
淮安恒大名都 2室1厅 南 北,淮安恒大名都 -恒大名都,2室1厅 | 92.03平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,79.9,"8,682元/平"
北京新村 精装2房 楼层好 采光好 无遮挡 看房随时联系,北京新村 -外国语,2室2厅 | 52.83平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,47,"8,897元/平"
翔宇大道旁大润发万达商圈翔宇壹号  精装2房 户型方正,翔宇壹号 -翔宇大道,2室2厅 | 101平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,3人关注 / 10个月以前发布,93,"9,208元/平"
翰城广场美食一条街大两房精装修    家电齐全,翰林花园 -大学城商圈,2室1厅 | 80平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,68,"8,500元/平"
二室朝阳，位置很好，楼层好，采光很好，价格面议,北京新村 -外国语,2室1厅 | 55.71平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,51.8,"9,299元/平"
水渡口大道 电梯房 精装两房 看房方便,洪福小区馨雅园 -水渡口大道,2室1厅 | 82.86平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,77.8,"9,390元/平"
益兴名流三期 小高层电梯洋房  业主住保养好 120万,益兴名流花苑三期 -外国语,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,2人关注 / 4个月以前发布,120,"10,910元/平"
建业小区2室1厅61平方，精装。实施齐全。,建业小区 -外国语,2室1厅 | 60.27平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,139,"23,063元/平"
房子精装三室设施齐全拎包入住看房提前约,兰亭绿城 -漕运西路,3室2厅 | 114.72平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,9人关注 / 4个月以前发布,101,"8,805元/平"
格局好，6层2楼，产权清晰，方便交易，提包入住，满五,淮阴工学院主校区南园教工宿舍区 -外国语,2室1厅 | 62.37平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,61.6,"9,877元/平"
楼层好，采光充足，环境优美，配套齐全，交通便利,梧桐公馆二期 -生态新城,2室2厅 | 85.92平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 一年前发布,168,"19,554元/平"
东 大 院 精  装  3 室 楼 层 佳,东大院三区 -东大院,3室1厅 | 78.48平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 7个月以前发布,178,"22,681元/平"
颐和花园两室，主家精心装修，好楼层,颐和花园 -长征小学,2室2厅 | 98.29平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,98,"9,971元/平"
建业大厦5楼电梯房，满5唯一，采光好，位置佳 ，,建业大厦 -外国语,3室2厅 | 121.93平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 3个月以前发布,175,"14,353元/平"
学府名门洋房三房精装修带储藏室  采光无遮挡,学府名门 -大学城商圈,3室2厅 | 106.89平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 6个月以前发布,114,"10,666元/平"
位置好，楼层中，带入户，带暖气，精装修，诚心卖,水韵天成玉兰苑 -翔宇大道,3室2厅 | 131.26平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,16人关注 / 8个月以前发布,213,"16,228元/平"
上海新城装修三房看房提前联系房东诚心出售,上海新城 -翔宇大道,3室2厅 | 128.77平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,109,"8,465元/平"
幸福城南区自住精装修3房，家具家电齐全。拎包入住,幸福城 -淮阴区大润发,3室2厅 | 101.53平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,2人关注 / 5个月以前发布,108,"10,638元/平"
城中花园电梯房中间楼层，户型方正。采光充足,城中花园 -北京西路,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,87,"9,887元/平"
房子精装！户型也是不错的，采光也还可以。看房方便,大湖城邦 -深圳路,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,89,"8,241元/平"
业主诚心出售 一楼带院子 满五年 户型好 采光无遮挡！,翰林花园 -大学城商圈,4室2厅 | 112平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 9个月以前发布,103,"9,197元/平"
兰亭绿城3-2-1-1 114.70m²精装修拎包入住,兰亭绿城 -漕运西路,3室2厅 | 114.45平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,102.8,"8,983元/平"
低楼层，边户户型，三开间朝南，户型方正，采光好,吾悦首府 -生态新城,3室2厅 | 140平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,228,"16,286元/平"
水韵天成洋房精装修拎包入住诚心出售,水韵天成金桂苑 -翔宇大道,4室1厅 | 162.33平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,3人关注 / 1个月以前发布,288,"17,742元/平"
金陵名府 婚装三房 满五唯一没 有 税 加大车库,金陵名府 -金地商业广场,3室2厅 | 120.6平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,99.8,"8,276元/平"
此房户型方正，精装三房，明厨明卫，采光刺眼,玖珑湾城果 -生态新城,3室1厅 | 109平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,119,"10,918元/平"
新城悦隽满两年，好楼层，采光佳,新城悦隽 -火车北站,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,105,"8,400元/平"
：品质小区，采光视野好，业主十万火急,文景君庭 -深圳路,3室2厅 | 120.23平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,9人关注 / 9个月以前发布,93,"7,736元/平"
颐和花园 毛坯现房 满2年 税少 房东诚售 看房方便,颐和花园 -长征小学,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共32层)  | 塔楼,4人关注 / 4个月以前发布,113.8,"8,622元/平"
此房采光充足，视野开阔，配套设施齐全，交通便利,上海国际花园 -火车北站,3室2厅 | 128.7平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,103,"8,004元/平"
水渡口大道香格里拉一期西边户大三房两卫 诚心出售,香格里拉A区 -水渡口大道,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,129,"10,158元/平"
新城悦隽 三房两厅两卫  开发商精装 中间楼层采光好,新城悦隽 -火车北站,3室2厅 | 121.82平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 8个月以前发布,106,"8,702元/平"
此房满两年南北户型采光好户型好适宜任何人群居住,旺江壹品 -大学城商圈,3室2厅 | 146平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,9人关注 / 一年前发布,118,"8,083元/平"
星雨华府(配套齐全，双阳台 采光视野好,星雨华府(淮安区) -生态新城,3室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 9个月以前发布,159.8,"11,665元/平"
户型方正，采光无遮挡，小区环境优美。,和达雅苑A区 -水渡口大道,3室1厅 | 94.5平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,1人关注 / 6个月以前发布,81,"8,572元/平"
金辉城悦府全新小区，故淮河生态公园，清河开明。,金辉城悦府 -白鹭湖,3室2厅 | 94.68平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,99,"10,457元/平"
乐园步行街，乐园街电梯上到三楼，再上一层就到,乐园步行街 -外国语,3室2厅 | 114.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,143,"12,444元/平"
