标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
精装修大三房，房东诚心出售。。。。。,塞纳国际三期 -新村,3室2厅 | 96.38平米 | 南 东南 | 其他 | 低楼层(共30层)  | 暂无数据,3人关注 / 10个月以前发布,78,"8,093元/平"
东区万达广场旁 美好和居标准两室,正和美好和居 -南岸东区,2室2厅 | 87平米 | 西北 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,88,"10,115元/平"
翡翠城清水3房2卫，交通方便，入手即可装修,白沙翡翠城 -临港,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,85.8,"9,641元/平"
翡翠城103户型大三房 看房方便 视野好,白沙翡翠城 -临港,3室2厅 | 103平米 | 东南 | 其他 | 高楼层(共31层)  | 塔楼,1人关注 / 一年前发布,85,"8,253元/平"
江语城精装小三房两厅两卫，看中庭看江。,浩誉江语城 -中坝,3室2厅 | 98.5平米 | 东南 | 其他 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,117,"11,879元/平"
邦泰北区小洋房三室2厅带车位品质高,邦泰国际社区北区 -临港,3室2厅 | 91平米 | 南 | 其他 | 低楼层(共7层)  | 塔楼,6人关注 / 一年前发布,95,"10,440元/平"
精装修三房，房东自住房，拎包入住。,塞纳国际三期 -新村,3室2厅 | 78.25平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,5人关注 / 11个月以前发布,66.6,"8,512元/平"
南岸东区 莱茵河畔 视野开阔，客厅 主卧 次卧都看江,莱茵河畔-月光半岛 -南岸东区,3室2厅 | 132平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,5人关注 / 一年前发布,135,"10,228元/平"
邦泰天誉二期一楼中间位置，环境很舒服。,邦泰天誉二期 -南岸西区,3室2厅 | 113.61平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,124.3,"10,941元/平"
塞纳国际三期，高楼层，看江。。,塞纳国际三期 -新村,3室2厅 | 96平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,2人关注 / 11个月以前发布,68,"7,084元/平"
大地坡小三房 楼层好，采光好，视野开阔，诚心出售,邦泰天誉二期 -南岸西区,3室2厅 | 92平米 | 东北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,112,"12,174元/平"
邦泰天誉二期大三房房间大小与139户型一样,邦泰天誉二期 -南岸西区,3室1厅 | 119平米 | 东南 | 其他 | 低楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,112,"9,412元/平"
视野开阔无遮挡  高楼层一览众山小,东方名苑 -南岸东区,3室2厅 | 92平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,89.8,"9,761元/平"
鑫菁英 3室2厅 交通便利 小区环境干净舒适 适合居住,鲁能鑫菁英 -南岸西区,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共22层)  | 塔楼,2人关注 / 一年前发布,122,"10,893元/平"
房东急售 鑫空间 精装 大两室 正看中庭,鑫空间 -南岸西区,2室2厅 | 87.8平米 | 西南 | 其他 | 中楼层(共25层)  | 塔楼,7人关注 / 一年前发布,75.8,"8,634元/平"
临港中 心地段标准4房 户型方正 实得面积大,临港中央 -临港,4室2厅 | 110平米 | 东南 | 其他 | 中楼层(共29层)  | 暂无数据,10人关注 / 一年前发布,90,"8,182元/平"
南岸西区大地坡新小区，自持物业，水景观绿化！,邦泰天誉一期 -南岸西区,3室2厅 | 126平米 | 西 | 其他 | 低楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,114,"9,048元/平"
金帝庄园50平大阳台 看江 诚心出售,正和金帝庄园B区 -中坝,3室1厅 | 136.7平米 | 东南 | 其他 | 高楼层(共27层)  | 暂无数据,4人关注 / 7个月以前发布,132,"9,657元/平"
房子带车位，房东无贷款成本价出售,邦泰天誉二期 -南岸西区,4室2厅 | 139平米 | 东南 | 其他 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,160,"11,511元/平"
紫金广场精装两室带家具家电，9成新房,成中紫金城 -临港,2室1厅 | 55.3平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,13人关注 / 8个月以前发布,49.8,"9,006元/平"
南岸西区邦泰天誉3楼毛坯成本价出售,邦泰天誉二期 -南岸西区,3室2厅 | 92平米 | 西南 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,96.8,"10,522元/平"
梦想和居80平 房东诚心出售！！,梦想和居 -南岸东区,2室2厅 | 80平米 | 东 | 其他 | 低楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,67,"8,375元/平"
清水大三房  房东急卖，户型方正，配套完善,远达鹭湖宫二期 -城北新区,3室2厅 | 82平米 | 西南 | 其他 | 中楼层(共33层)  | 暂无数据,8人关注 / 一年前发布,56,"6,830元/平"
从房是满五唯一的，楼层好，视野开阔,莱茵河畔-丽江湾 -南岸东区,3室2厅 | 116平米 | 南 | 其他 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,130,"11,207元/平"
公园房，三房大户型，适合一家人居住。,邦泰天誉二期 -南岸西区,3室2厅 | 113.68平米 | 西南 | 其他 | 低楼层(共19层)  | 暂无数据,1人关注 / 一年前发布,118,"10,381元/平"
邦泰天誉二期三房双卫，正看中庭，急售,邦泰天誉二期 -南岸西区,3室1厅 | 113.61平米 | 西南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,110,"9,683元/平"
邦泰天誉二期，标准大3房 清水房，,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,1人关注 / 一年前发布,128,"10,492元/平"
邦泰大三房带双阳台楼层好房东诚心出售,邦泰天誉二期 -南岸西区,3室1厅 | 114.86平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,118,"10,274元/平"
山水原著三期原香领 带车位 3室2厅2卫 112万,山水原著三期原香岭 -南岸西区,3室2厅 | 103平米 | 南 | 其他 | 33层  | 塔楼,4人关注 / 一年前发布,112,"10,874元/平"
大地坡龙源fu邸，全中庭标准四房诚心出售,龙源府邸 -南岸西区,4室2厅 | 125平米 | 东南 | 其他 | 低楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,130,"10,400元/平"
出门即东辰，步行到就是大地坡公园一公里内,邦泰天誉二期 -南岸西区,3室2厅 | 113.86平米 | 西南 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,122.8,"10,786元/平"
盛世华庭正三房 视野开阔 采光充足 户型方正,正和盛世华庭 -南岸西区,3室2厅 | 134.63平米 | 东南 | 其他 | 高楼层(共17层)  | 板塔结合,18人关注 / 一年前发布,98.5,"7,317元/平"
"一线江景邦泰天玺131户型，带车位，已接房,房东急售",邦泰天玺 -南岸东区,3室2厅 | 131平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,10人关注 / 一年前发布,155,"11,833元/平"
天誉二期，经典三房，户型通透！,邦泰天誉二期 -南岸西区,3室2厅 | 121.16平米 | 东 | 其他 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,121,"9,987元/平"
鑫领寓精装修三房 全中庭位置 视野开阔,鑫领寓 -南岸西区,3室2厅 | 117.83平米 | 东 | 其他 | 高楼层(共32层)  | 板塔结合,17人关注 / 一年前发布,98,"8,318元/平"
3房2卫，景观楼层，单价划算。,白沙翡翠城 -临港,3室2厅 | 103平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,6人关注 / 一年前发布,82.8,"8,039元/平"
电力局准电梯小3房75平52万,电力局南区 -南岸东区,3室1厅 | 75平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,46.8,"6,240元/平"
格局好，采光好，楼层佳。。。。。。,江源半岛 -南岸东区,3室2厅 | 99.64平米 | 东南 | 其他 | 中楼层(共25层)  | 暂无数据,8人关注 / 一年前发布,78,"7,829元/平"
碧竹山庄 四室两厅两卫 低楼层 拎包入住,碧竹山庄 -南岸西区,4室2厅 | 162平米 | 东南 | 其他 | 低楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,105,"6,482元/平"
"西区大3房,房东北京外派出差，诚心出售",吉祥名都 -南岸西区,3室2厅 | 121.07平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,6人关注 / 一年前发布,79.8,"6,592元/平"
叙州区城北新区培根小镇舒适大三房带三个大阳台,城中央-培根小镇 -城北新区,3室2厅 | 117平米 | 西南 | 其他 | 中楼层(共32层)  | 暂无数据,5人关注 / 11个月以前发布,81,"6,924元/平"
叙州区城北新区鹭湖宫顶跃............,远达鹭湖宫二期 -城北新区,4室2厅 | 116平米 | 西北 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,94.8,"8,173元/平"
塞纳国际三期 清水三房 交通便利 出入方便,塞纳国际三期 -新村,3室2厅 | 97.79平米 | 西南 | 其他 | 低楼层(共31层)  | 塔楼,3人关注 / 11个月以前发布,52,"5,318元/平"
"南岸西区,山水原著原香岭,中间楼层带车位",山水原著三期原香岭 -南岸西区,4室2厅 | 131平米 | 南 北 | 其他 | 33层  | 塔楼,1人关注 / 6个月以前发布,128,"9,771元/平"
南岸东区 四 居 室 诚 意 出 售,绿洲家园一期 -南岸东区,4室2厅 | 155.6平米 | 东北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,88,"5,656元/平"
龙源府     邸精装三室 户型方正  直接拎包入住,龙源府邸 -南岸西区,3室2厅 | 98.5平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,108,"10,965元/平"
邦泰天誉二期清水三房双卫诚心出售,邦泰天誉二期 -南岸西区,3室2厅 | 119.8平米 | 东南 | 其他 | 低楼层(共17层)  | 塔楼,4人关注 / 一年前发布,99.8,"8,331元/平"
叙州区毕加索庄园清水大三房房东诚意出售,城中央-毕加索庄园 -城北新区,3室2厅 | 113.18平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,82,"7,246元/平"
急 售 精装修带车位  已下房产证 可直接过户 成熟地段,白沙翡翠城 -临港,3室2厅 | 89.93平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,4人关注 / 一年前发布,90,"10,008元/平"
喜报 首付15买大地坡带车位的房子,邦泰天誉二期 -南岸西区,3室2厅 | 119平米 | 东北 | 其他 | 低楼层(共17层)  | 塔楼,13人关注 / 一年前发布,105,"8,824元/平"
帮泰天誉，清水房。价格合理，采光好,邦泰天誉二期 -南岸西区,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,11人关注 / 一年前发布,105,"8,975元/平"
天誉清水，采光好，带车位，入手可装修,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,130,"10,656元/平"
山水原著三期原香岭大四房，采光好，视野开阔！,山水原著三期原香岭 -南岸西区,4室2厅 | 131平米 | 西 | 其他 | 33层  | 塔楼,3人关注 / 一年前发布,124.5,"9,504元/平"
帮泰天誉，清水房。价格合理，采光好,邦泰天誉二期 -南岸西区,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,11人关注 / 一年前发布,105,"8,975元/平"
房东诚心出售。看房提前联系。。。。,山水原著二期缇香湾 -南岸西区,3室2厅 | 89.5平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,96.8,"10,816元/平"
j精装三房  单卫双阳台 楼层巴士。。。,城中央-毕加索庄园 -城北新区,3室2厅 | 100平米 | 西南 | 其他 | 低楼层(共29层)  | 塔楼,1人关注 / 一年前发布,66.8,"6,680元/平"
3房双卫 精装修 户型方正采光好 家具家电齐全 拎..,城中央-培根小镇 -城北新区,3室2厅 | 106平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,5人关注 / 一年前发布,88.8,"8,378元/平"
公园九里25楼看中庭背靠挂弓山面朝竹文化公园诚心出售,华润公园九里 -临港,4室2厅 | 129平米 | 西南 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,3人关注 / 10个月以前发布,113.6,"8,807元/平"
华彩城三室两厅一厨两卫 带露台,华泓华彩城 -上江北,3室2厅 | 92平米 | 西北 | 其他 | 低楼层(共13层)  | 塔楼,2人关注 / 一年前发布,91.8,"9,979元/平"
三江新区华润公园九里清水大3房+车位出售看房方便,华润公园九里 -临港,3室2厅 | 113平米 | 东南 | 其他 | 中楼层(共31层)  | 暂无数据,2人关注 / 10个月以前发布,105,"9,293元/平"
金帝庄园精装三房两厅两卫，带200多平米花园露台。,正和金帝庄园A区 -中坝,3室2厅 | 122平米 | 东南 | 其他 | 低楼层(共28层)  | 暂无数据,6人关注 / 一年前发布,160,"13,115元/平"
翡翠城房东急卖标准3房2卫全中庭89平米,白沙翡翠城 -临港,3室2厅 | 89平米 | 东南 | 其他 | 高楼层(共17层)  | 暂无数据,30人关注 / 11个月以前发布,72.8,"8,180元/平"
临港翡翠城清水三房双卫带车位，小区中庭,白沙翡翠城 -临港,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,1人关注 / 一年前发布,81.8,"9,192元/平"
房东诚心出售南岸西区-邦泰天誉二期清水大三房带露台,邦泰天誉二期 -南岸西区,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,12人关注 / 一年前发布,115,"9,427元/平"
邦泰天誉二期  3室2厅1卫，92平方，115万，清水房,邦泰天誉二期 -南岸西区,3室2厅 | 92平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,93,"10,109元/平"
南岸东区 正面看江 视野效果好  跃层 实得面积大,邦泰天玺 -南岸东区,4室2厅 | 132.31平米 | 北 | 其他 | 高楼层(共29层)  | 暂无数据,4人关注 / 一年前发布,238,"17,989元/平"
简装三房，附*近生活方便，出行方便,尚城领域 -柏溪镇,3室2厅 | 123平米 | 东 东北 | 简装 | 高楼层(共17层)  | 暂无数据,10人关注 / 一年前发布,60,"4,879元/平"
江景房，户型方正，看江，带产权车位。,阳光碧水长滩 -新村,3室2厅 | 82.5平米 | 西南 | 其他 | 高楼层(共25层)  | 暂无数据,1人关注 / 11个月以前发布,64,"7,758元/平"
拉菲好望山，稀有清水三房，装修随心变,拉菲-好望山 -城北新区,3室2厅 | 99.77平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 9个月以前发布,72.8,"7,297元/平"
塞纳国际，采光充足，户型方正。。,塞纳国际三期 -新村,3室2厅 | 85平米 | 西南 | 其他 | 高楼层(共31层)  | 暂无数据,6人关注 / 一年前发布,54.8,"6,448元/平"
远离都市喧嚣，回归自然本色，享尊雅生活。,水映金沙 -柏溪镇,3室2厅 | 75.54平米 | 东南 | 其他 | 低楼层(共25层)  | 塔楼,5人关注 / 一年前发布,62.8,"8,314元/平"
清水三房 随着你的想法来装修  房东急售  可冲！！,经典北新公馆 -城北新区,3室2厅 | 90.94平米 | 东北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,61.8,"6,796元/平"
户型方正4房2厅双卫采光好视野好  带车位出售,邦泰天誉二期 -南岸西区,4室2厅 | 139平米 | 东南 | 其他 | 中楼层(共17层)  | 塔楼,3人关注 / 一年前发布,160,"11,511元/平"
鑫领寓 3室2厅 南 北,鑫领寓 -南岸西区,3室2厅 | 133.89平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,118,"8,814元/平"
南岸西区核 心地段 鑫悦湾精装4房,鑫悦湾 -南岸西区,4室2厅 | 139.8平米 | 南 | 其他 | 高楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,138,"9,872元/平"
南岸万达旁 美好和居四房 不靠七星路 楼层好 视野开阔,正和美好和居 -南岸东区,4室2厅 | 132平米 | 北 | 其他 | 高楼层(共26层)  | 塔楼,2人关注 / 一年前发布,121.6,"9,213元/平"
莱茵河畔全看中庭，三室两厅房东急售,莱茵河畔-丽江湾 -南岸东区,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共22层)  | 板塔结合,5人关注 / 一年前发布,126.8,"10,746元/平"
房子装修漂亮。出行方便。。。。。。,正和美好和居 -南岸东区,4室2厅 | 128平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,8人关注 / 一年前发布,168,"13,125元/平"
龙凤苑6跃7带露台花园3房2卫不临街103平79.8万,龙凤苑小区 -南岸东区,3室2厅 | 102.46平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,15人关注 / 一年前发布,76.8,"7,496元/平"
顶楼跃层，带车位，带两个花园。,鼎业江北兴城A区 -上江北,4室3厅 | 146.5平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,12人关注 / 一年前发布,91.8,"6,267元/平"
天池雅苑  顶楼带露台大四房精装修,银龙天池雅苑 -新村,4室2厅 | 140.22平米 | 东南 南 | 其他 | 高楼层(共6层)  | 暂无数据,8人关注 / 9个月以前发布,78,"5,563元/平"
鑫悦湾精装4房，家具家电齐全，拎包入住,鑫悦湾 -南岸西区,4室2厅 | 139平米 | 东 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,169,"12,159元/平"
鑫悦湾精装4房，家具家电齐全，拎包入住,鑫悦湾 -南岸西区,4室2厅 | 139平米 | 东 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,169,"12,159元/平"
珑山悦103户型楼层好，精装3房,阳光城珑山悦 -南岸西区,3室2厅 | 103平米 | 西南 东南 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,140.5,"13,641元/平"
