标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
此房满五唯一简单装修，价格实惠，,江华小区 -襄城区,2室1厅 | 54.61平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,33.6,"6,153元/平"
户型明亮 采光好。江景房。高楼层,民发世纪新城 -樊城东区,3室2厅 | 150.26平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,20人关注 / 一年前发布,130,"8,652元/平"
时代天街旁 纯毛坯 中间楼层两室 视野开阔 日照时间长,东方新城 -襄州区,2室2厅 | 86.94平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,5人关注 / 3个月以前发布,50.5,"5,809元/平"
长虹路边万达吾悦双商圈精装修带地暖小区环境好,碧桂园星荟 -樊城西区,3室1厅 | 117.06平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,2人关注 / 7个月以前发布,125,"10,679元/平"
国色天襄  大平层  精装修  南排,国色天襄C区 -樊城西区,4室2厅 | 179.86平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,15人关注 / 4个月以前发布,130,"7,228元/平"
恒大万达沃尔玛乔营小区大三房小区停车方便,乔营小区 -樊城西区,3室2厅 | 140.6平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 7个月以前发布,87,"6,188元/平"
绿地吾悦两大商圈  襄轴家园 边户 小三房 仅需77万,襄轴家园 -樊城西区,3室2厅 | 94.11平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,30人关注 / 4个月以前发布,76,"8,076元/平"
急售红光路 605家属院 精装两室 好楼层 小区停车方便,六〇五小区 -樊城东区,2室2厅 | 66.7平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,7人关注 / 3个月以前发布,56,"8,396元/平"
西边户 采光好 特.别是下午 满五年 原始毛坯 我有钥匙,香榭里 -樊城东区,3室2厅 | 108.86平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,10人关注 / 11个月以前发布,97,"8,911元/平"
复式双层LOFT 边户采光通透 楼层好,恒大翡翠华庭 -樊城西区,3室2厅 | 79.28平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,17人关注 / 6个月以前发布,90,"11,353元/平"
此房园林路上，离襄州八中就200米，证件齐全,东港绿洲 -襄州区,3室1厅 | 89.33平米 | 南 西 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,60.5,"6,773元/平"
荆州街中段 单位家属院 停车方便 小户型,襄阳市科学技术局家属院 -襄城区,3室2厅 | 77.93平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,97,"12,448元/平"
火车站旁公园小区毛坯带空调看房方便,宏泰中央公园 -樊城东区,3室1厅 | 125.22平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,116,"9,264元/平"
二汽连山湖公园 海上保利五月花精装三室,保利海上五月花 -高新区,3室2厅 | 126.73平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,88,"6,944元/平"
楼层佳，视野开阔，户型方正，南北通风，采光好,南街102医院家属院 -襄城区,3室2厅 | 84.55平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,33人关注 / 一年前发布,92,"10,882元/平"
建昌大院，院内停车方便，户型方正采光充足,建昌社区 -樊城西区,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,48.5,"6,929元/平"
清河庄园近小清河中间楼层采光好毛坯随意装修,清河庄园 -樊城东区,2室2厅 | 89平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,2人关注 / 1个月以前发布,65,"7,304元/平"
东津世纪城88平精装两房 小区门口楼层好房本满二急售,东津世纪城15区上和院 -东津区,2室2厅 | 88.22平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,7人关注 / 3个月以前发布,72,"8,162元/平"
火车站单位家属院精装三房，二楼户型方正，停车免费。,麻茶烟草家属院 -樊城东区,3室2厅 | 80.65平米 | 南 | 精装 | 低楼层(共2层)  | 板楼,0人关注 / 1个月以前发布,56,"6,944元/平"
小清河边，风景优美电梯房，满二年。,清河庄园 -樊城东区,2室2厅 | 89.6平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,13人关注 / 9个月以前发布,71,"7,925元/平"
汉水小 学旁边 二居室 毛坯 南排 小区门口位置,东津世纪城20区兰亭苑 -东津区,2室2厅 | 85.41平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,66,"7,728元/平"
和信北郡精装大两室满二满二满二,和信北郡 -高新区,2室2厅 | 89.7平米 | 南 北 | 精装 | 6层  | 板楼,6人关注 / 5个月以前发布,45,"5,017元/平"
恒大名都精装两室  满2 品牌家具家电拎包入住,恒大名都二期 -襄城区,2室2厅 | 72.4平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2人关注 / 2个月以前发布,82,"11,326元/平"
朝南户型方正通透，楼层很好，环境好配套很齐全,山水家园 -襄城区,2室2厅 | 84.57平米 | 东南 | 精装 | 中楼层(共25层)  | 板塔结合,4人关注 / 4个月以前发布,107,"12,653元/平"
经典两室 全屋朝南 去年刚买的新房 全新装修 诚心出售,红星国际 -樊城东区,2室2厅 | 72.04平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,87人关注 / 10个月以前发布,40,"5,553元/平"
吾悦商圈 樊魏路 精装三房诚意出售 满五。42重,香榭里 -樊城东区,3室1厅 | 108.43平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,105,"9,684元/平"
此房满五，采光充足，户型通透，精致装修,万众太阳城 -襄州区,3室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,14人关注 / 一年前发布,65,"6,843元/平"
人民广场 长征路建行家属院 中间楼层 带暖气 好停车,长征路建行家属院 -樊城东区,2室1厅 | 73.08平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,65,"8,895元/平"
檀溪主路山水家园方正三室满五唯一税费少,山水家园 -襄城区,3室2厅 | 109平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,13人关注 / 6个月以前发布,128,"11,744元/平"
襄遇一室一厅精装拎包入住，诚心出售,城馨嘉园·襄遇 -樊城东区,1室1厅 | 42.64平米 | 西北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,49,"11,492元/平"
均价9千多买民发商圈精装两房，业主诚心出售,汇景园 -襄州区,2室1厅 | 88.12平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,8人关注 / 10个月以前发布,77,"8,739元/平"
出小区就是荟园，环境优美.交通方便，停车方便,三利达家属院南院 -襄城区,3室2厅 | 101.78平米 | 南 北 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,80,"7,861元/平"
人民路 小两室，交通便利，看房方便,林产工业公司家属院 -樊城东区,2室1厅 | 67.06平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,39,"5,816元/平"
恒大名都小户型，一室一厅，毛坯房，阳台朝南。,恒大名都二期 -襄城区,1室1厅 | 46.53平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 塔楼,40人关注 / 一年前发布,44,"9,457元/平"
房本满二 一线江景 小户型毛坯两室 税费少 看房方便,东津世纪城8区新外滩 -东津区,2室2厅 | 79.87平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,30人关注 / 6个月以前发布,51,"6,386元/平"
华洋堂 叁十器 停车方便 楼层好 看房方便,长征路副食品家属院 -樊城东区,3室2厅 | 110平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 18天以前发布,58,"5,273元/平"
麻雀虽小五脏俱全，三面采光，边户，,君临山 -襄城区,2室2厅 | 81.87平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,17人关注 / 5个月以前发布,56,"6,841元/平"
长虹路万达商圈 富人 区豪 装大四房 随时看房,民发盛特公园 -樊城西区,4室2厅 | 224.39平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,380,"16,935元/平"
航瑞大厦 2室2厅 东南,航瑞大厦 -樊城东区,2室2厅 | 102.89平米 | 东南 | 简装 | 低楼层(共10层)  | 平房,0人关注 / 17天以前发布,104,"10,108元/平"
人民广场 出门大庆路小雪 单价低 楼层好 停车方便,商务局家属院 -樊城东区,3室2厅 | 168.68平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,95,"5,632元/平"
急售万达诸葛亮旁大平层南北通透有钥匙,民发盛特公园 -樊城西区,5室2厅 | 224.39平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,5人关注 / 8个月以前发布,315,"14,039元/平"
风锦园 复式  精装房  房东诚意售,风锦园 -襄州区,6室2厅 | 136.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,97,"7,095元/平"
新上三房 学府佳园满五唯一 精装修 拎包入住,学府佳园 -樊城西区,3室2厅 | 112.35平米 | 西 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,100,"8,901元/平"
襄阳轴承厂五街坊 1室1厅 南 北,襄阳轴承厂五街坊 -襄城区,1室1厅 | 38.9平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,22,"5,656元/平"
此房保养比较好， 精心装修 ，楼层佳， 拎包可住,富康园 -襄州区,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 15天以前发布,75,"6,098元/平"
高楼层毛坯小三房  出行方便  随意装修 视野采光好,东津世纪城10区御华苑 -东津区,3室2厅 | 102.04平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,69,"6,763元/平"
沃尔玛商圈 精装三室 视线好 满二年,汉水嘉苑 -樊城西区,3室2厅 | 129.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 13天以前发布,165,"12,726元/平"
中高层视野开阔满2年税费少看房有钥匙换房急售,东津世纪城16区天境台 -东津区,3室2厅 | 116.86平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 14天以前发布,83,"7,103元/平"
人民广场商圈，单位家属院满五唯一,长征路襄江商场家属院 -樊城东区,2室1厅 | 56.36平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 15天以前发布,39.5,"7,009元/平"
步梯好楼层，南北通风，采光充足。,汉丹厂家属院 -襄城区,2室2厅 | 68.76平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 12天以前发布,32,"4,654元/平"
东津世纪城16区天境台 3室2厅 南,东津世纪城16区天境台 -东津区,3室2厅 | 123.09平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,87.8,"7,133元/平"
南街工商局家属院 3室0厅 南 北,南街工商局家属院 -襄城区,3室0厅 | 133.85平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,143,"10,684元/平"
小区前排   视野非. 常好  业主诚心出售,东津世纪城16区天境台 -东津区,3室1厅 | 116.25平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,90,"7,742元/平"
满五唯一，税费低，单位小区。房东急卖房。,水利水电工程团南院 -樊城东区,2室1厅 | 101.72平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 11天以前发布,69,"6,784元/平"
春园路 妇幼 477医院 中药材单位家属院 三室停车方便,春园路中药材家属院 -樊城东区,3室2厅 | 124.24平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,65,"5,232元/平"
大平层真正的精装修转角大阳台 满五年看房有钥匙,民发天地 -樊城东区,4室2厅 | 162.33平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,170,"10,473元/平"
经典大平层，两梯两户出行方便。楼栋位置好，视野佳.,东津世纪城15区上和院 -东津区,5室2厅 | 177.43平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 29天以前发布,122,"6,876元/平"
满五唯一，精装修拎包入住，大面积复式楼,东湖国际花园 -襄州区,3室3厅 | 190平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,98,"5,158元/平"
精装未住，买了新房可直接住，看房方便,天润坐标城 -襄州区,3室2厅 | 89.75平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,49,"5,460元/平"
此房满五年配套设施齐全公园江边步行可到达,北门公寓 -襄城区,3室2厅 | 119.29平米 | 北 南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,143,"11,988元/平"
民发天地花园小区稀有毛坯房出售,民发天地 -樊城东区,4室2厅 | 161.4平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 25天以前发布,140,"8,675元/平"
精装婚房 全新未入住 大门口位置 满二,东津世纪城12区花漫里 -东津区,3室1厅 | 116.17平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,97,"8,350元/平"
顶楼真复式   毛坯  任意装修  看房方便,东津世纪城13区瀚林院 -东津区,5室3厅 | 216.33平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,145,"6,703元/平"
满二年楼层佳采光好交通便利出行方便,民发·都会山世界城三期 -襄州区,3室2厅 | 127.39平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,115,"9,028元/平"
航空路 襄洲一号 电梯三室 满两年 看房方便,襄洲一号 -襄州区,3室2厅 | 88.97平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 20天以前发布,73,"8,206元/平"
满五唯一税少，精装好房，拎包入住,绿地中央广场香缇公馆 -樊城西区,3室2厅 | 122.67平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,134.5,"10,965元/平"
襄城区东门口，满五唯一无抵押无纠纷,原第二制线厂家属院 -襄城区,2室1厅 | 52.55平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 23天以前发布,35,"6,661元/平"
满二，户型方正双阳台，H1户型，随意装修,东津世纪城10区御华苑 -东津区,3室2厅 | 99.18平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,75,"7,563元/平"
人民广场江滩公园凤雏大桥精装大两室江景房采光通风好,拉美江景豪庭 -樊城东区,2室1厅 | 108.12平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 23天以前发布,103,"9,527元/平"
松鹤路和32，小区停车方便，万达和南国两大商圈,松鹤路建设银行家属院 -樊城东区,2室2厅 | 87.44平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,77,"8,807元/平"
业主诚意出售 江景房 品质三房 户型方正,汉江明珠城 -樊城东区,3室2厅 | 105.35平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 17天以前发布,110,"10,442元/平"
襄城北街汽车运输三公司家属院 2室2厅 南 北,襄城北街汽车运输三公司家属院 -襄城区,2室2厅 | 71.06平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 19天以前发布,77,"10,836元/平"
纯毛坯大面积边户，楼层好，视野佳，出行方便,东津世纪城13区瀚林院 -东津区,3室2厅 | 136.44平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,109,"7,989元/平"
胜利街 静雅苑 精装3室 有钥匙看房方便,静雅苑 -襄城区,3室1厅 | 112.67平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,135,"11,982元/平"
檀溪中路好邻居旁边中装三房，拎包入住，业主急售,溪苑小区 -襄城区,3室2厅 | 96.97平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 22天以前发布,80.98,"8,352元/平"
恒大名都二期中间位置一楼附带一个阳光房精装三室出售,恒大名都二期 -襄城区,3室2厅 | 118.34平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 26天以前发布,150,"12,676元/平"
南街 主干道 财政局家属院 单位家属院 采光好,襄阳市财政局南街生活区 -襄城区,3室2厅 | 127.94平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 26天以前发布,115,"8,989元/平"
小区前排无遮挡业主诚售家电家具全留可大刀,东津世纪城16区天境台 -东津区,4室2厅 | 139.85平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,119,"8,510元/平"
民法世界城商圈 汇景园大四房 楼层好 拎包入住 装修新,汇景园 -襄州区,4室1厅 | 151.46平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 22天以前发布,133,"8,782元/平"
