标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
农大南校教职工住宅楼 三室两厅两卫 138平,山农大新校区教职工住宅楼 -南关,3室2厅 | 135平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,119,"8,815元/平"
农大南门东，二轻局宿舍，1楼，四居室，集中供暖,二轻局宿舍 -火车站,4室1厅 | 130平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,155,"11,924元/平"
龙潭路 泰山区精装两室 好楼层 泰安老街,新华城南郡 -徐家楼,2室2厅 | 82平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,65,"7,927元/平"
云水谣一期免大税  泮河公园 爱琴海 老街,绿地云水谣 -高铁新区,4室2厅 | 152平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,161,"10,593元/平"
精装修 大五室 三阳台 双厨房 大平层 碧桂园急售,碧桂园·黄金时代 -高铁新区,4室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,128.9,"8,952元/平"
杆石桥西区 两室 泰师东岳 楼下停车方便 东岳大街以北,杆石桥小区 -岱庙,2室1厅 | 63平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,85,"13,493元/平"
此房是毛坯房，楼层好，房主好说话，相中房子价格可议,书香世家 -南开发区,3室2厅 | 112.76平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,84,"7,450元/平"
急售  ！龙潭路精装三室中南佳期漫 新房未住,中南佳期漫 -南开发区,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,75,"8,242元/平"
高铁站 云水谣 英雄山 市立医院 泮河公园,绿地云水谣三期 -高铁新区,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,100,"7,752元/平"
时代佳苑 精装四室 现浇房 采光好 随时看房,时代佳苑 -国际会展中心,4室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,138,"11,130元/平"
长城路 名仕尚座 中楼层 精装修,名仕尚座 -体育中心,2室1厅 | 72.63平米 | 北 | 精装 | 中楼层(共29层)  | 板楼,13人关注 / 一年前发布,54,"7,435元/平"
南湖大街旁，2楼，总价低正规三室，满五年,东岳小区(徂徕路) -东湖公园,3室1厅 | 90.98平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,69,"7,585元/平"
市区好位置 好楼层 证满五年 价格可议,铁路新村小区 -火车站,2室2厅 | 60.8平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 8个月以前发布,46,"7,566元/平"
安居金域缇香    储藏室  满2年  19楼精装3室 配套全,安居·金域缇香 -东湖公园,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,4人关注 / 5个月以前发布,96,"9,505元/平"
泰山区 金峪小区 小两室 南北通透 公摊低,金峪小区 -高铁新区,2室2厅 | 78平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 5个月以前发布,49.5,"6,347元/平"
开元盛世硕园     复式结构   毛坯空置,开元盛世硕园 -泮河景区,4室2厅 | 154平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 7个月以前发布,107,"6,949元/平"
房主诚心出售！新华城南郡！精装三室两厅带储藏室,新华城南郡 -徐家楼,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,88,"8,381元/平"
爱琴海 泮河大街  英雄山 高铁 万达,绿地云水谣二期 -高铁新区,3室2厅 | 114.89平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,94.6,"8,234元/平"
性J比G 开元盛世和园 B区 老街旁 满二 4室2厅1厨2卫,开元盛世和园B区 -泮河景区,4室2厅 | 121平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,17人关注 / 5个月以前发布,90,"7,439元/平"
天房美郡（望岳山居） 六层电梯洋房 院子 精装带车位,天房美郡国际城 -高铁新区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,123,"9,840元/平"
鲁商中心 户型方正 南北通透 交通方便,鲁商中心 -泮河景区,3室2厅 | 136.8平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,148,"10,819元/平"
升平小区 金质2楼 2室 朝阳 看房方便,升平小区 -南湖公园,2室1厅 | 55.57平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,"21,595元/平"
傲徕峰路天外村医学院宿舍，3楼，两室朝阳，客厅有窗,西村宿舍楼 -天外村,2室2厅 | 62平米 | 东南 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,160,"25,807元/平"
云水谣   13楼  三室  三个露台  带储藏室,绿地云水谣三期 -高铁新区,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,2人关注 / 3个月以前发布,83,"7,546元/平"
泺亨国际 精装两室 好楼层 交通便利 有储藏室,泺亨国际 -南开发区,2室2厅 | 74平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,2人关注 / 8个月以前发布,51.8,"7,000元/平"
急售 下调10W 华新家园 带配房 御蓝山 精装,华新家园 -宝龙城,3室2厅 | 95平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,115,"12,106元/平"
精装修，通透性好，户型好，采光充足，配套齐全,绿地公馆雅园 -高铁新区,3室2厅 | 112.95平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,5人关注 / 4个月以前发布,78,"6,906元/平"
长城路北段 大展新城国际 岳峰旁 纯南向 免大税,大展新城国际 -体育中心,2室2厅 | 92.6平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,75,"8,100元/平"
凤凰城 大三室，小高层电梯房 ，凤凰河湿地公园.,海普凤凰城 -南开发区,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,118.8,"8,367元/平"
北实   夜市，卫生局 岱宗大街 农大,市卫生局宿舍 -岱庙,2室1厅 | 59平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 1个月以前发布,124.8,"21,153元/平"
开元盛世硕园 3室2厅 南,开元盛世硕园 -泮河景区,3室2厅 | 117.8平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,121,"10,272元/平"
体育场 岳峰 苹果园小区 精装修带车位 储藏室好楼层,苹果园小区 -体育中心,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,3人关注 / 6个月以前发布,82,"8,368元/平"
万达旁 东七佳苑 电梯小高 三室 南北通透 满二 带配房,东七佳苑 -万达广场,3室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,107,"10,491元/平"
岳玺台    精装修   储藏室    长城路   万达广场,汇富岳玺台 -泮河景区,4室2厅 | 135平米 | 北 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,121,"8,963元/平"
华新小区、满五唯一、三室朝阳户型、停车方便,华新社区 -宝龙城,3室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,119,"11,783元/平"
三室两厅一卫，南北通透，采光好，毛坯任意装饰,书香世家 -南开发区,3室2厅 | 109.38平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 8个月以前发布,75,"6,857元/平"
2000年新交电梯房 火车站200米  集中供暖 迎胜,财源居 -火车站,2室2厅 | 82平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,93,"11,342元/平"
春天里 精装  市立医院 交通便利 采光好 车位 车库,立丰·春天里 -高铁新区,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,68,"6,416元/平"
伟业苑 3室2厅 南,伟业苑 -火车站,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,7人关注 / 3个月以前发布,90,"8,182元/平"
三友旁 花园社区 正规3室 南北通透 停车方便,岱庙街道花园社区 -东湖公园,3室2厅 | 73平米 | 北 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,94.8,"12,987元/平"
装修高档位置优越小区环境优美紧挨着教育机构,绿地公馆雅园 -高铁新区,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,85,"6,693元/平"
绿地云水谣 3室2厅 南,绿地云水谣 -高铁新区,3室2厅 | 104.69平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 4个月以前发布,88,"8,406元/平"
开元盛世和园B区 证满两年 房主急售,开元盛世和园B区 -泮河景区,3室2厅 | 98.39平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,8人关注 / 4个月以前发布,80,"8,131元/平"
海普凤凰城 大三室 南北阳台 储藏室 精装修 诚心出售,海普凤凰城 -南开发区,3室2厅 | 144平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 6个月以前发布,118,"8,195元/平"
恒大城5楼的房子 两室两厅 泰山区 万官路 老街,恒大城 -高铁新区,2室2厅 | 83.7平米 | 东南 | 精装 | 低楼层(共26层)  | 暂无数据,5人关注 / 3个月以前发布,59.9,"7,157元/平"
鲁商国际社区，两室两厅一厨一卫，带车位和配房,鲁商国际社区 -方特大区,2室2厅 | 88.89平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,1人关注 / 一年前发布,83,"9,338元/平"
海普凤凰城 精装两室 中间楼层 随时看房,海普凤凰城 -南开发区,2室2厅 | 91.8平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,66,"7,190元/平"
此房楼层好，户型方正，价格美丽，房主好沟通,泺亨国际 -南开发区,2室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,70,"7,778元/平"
宝盛 万达商圈 满两年 有车位 储藏室 三室,弘泽花园 -万达广场,3室1厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,6人关注 / 一年前发布,105,"9,723元/平"
火车站 老银座  财源居 两室两厅 大润发 中百商场,财源居 -火车站,2室2厅 | 93平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,99.8,"10,732元/平"
爱琴海老街旁集体供暖多层 楼间距大 居住环境舒适,堰岭社区 -高铁新区,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,45.5,"7,584元/平"
急售 精装两室 好楼层 价格可谈 大厨房 看房方便,东岳鑫城 -高铁新区,2室2厅 | 89.51平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 3个月以前发布,64,"7,151元/平"
长城一品    三室两厅   楼层好   采光佳    满两年,长城一品 -泮河景区,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,118,"10,631元/平"
长城路北段 泰山区 商品房可贷款 采光好 中间楼层,圣地公寓 -国际会展中心,2室1厅 | 107平米 | 东 | 简装 | 中楼层(共22层)  | 塔楼,2人关注 / 4个月以前发布,48,"4,486元/平"
泰山大街光彩 岱岳花园 交通生活便利 好停车,岱岳花园 -岱岳区区委,2室2厅 | 72平米 | 西 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,51.5,"7,153元/平"
华裔青年城 免大税，带车位 南向 北面附属医院 急售,华易青年城 -万达广场,2室1厅 | 80.46平米 | 南 北 | 其他 | 低楼层(共20层)  | 塔楼,0人关注 / 10个月以前发布,60,"7,458元/平"
奥源时代 精装修 南北通透两室 好楼层 带配房,奥源时代C区 -南开发区,2室1厅 | 85平米 | 南 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,69,"8,118元/平"
恒大城   三室两厅两卫   公摊小  采光好,恒大城 -高铁新区,3室2厅 | 116平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,5人关注 / 4个月以前发布,86,"7,414元/平"
西湖和平，出门崇智岳峰，两室两厅，一梯两户，小高！,和平社区 -岱岳区,2室2厅 | 75平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,44.5,"5,934元/平"
天平湖景区南，和平社区96平急售65万,和平社区 -岱岳区,3室2厅 | 96平米 | 南 北 | 简装 | 中楼层(共17层)  | 暂无数据,1人关注 / 8个月以前发布,61,"6,355元/平"
恒大城   精装修   公摊小    采光好,恒大城 -高铁新区,2室1厅 | 83平米 | 西南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,60,"7,229元/平"
万达  附属医院 长城东区 精装修 带储藏室 价格可议,长城东区 -万达广场,2室2厅 | 84平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,79.9,"9,512元/平"
高铁西 精装两室 配套齐全 有配房 环境优美  业主急售,鑫源花园 -高铁新区,2室2厅 | 80平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,40,"5,000元/平"
开元盛世和园 三室 交通方便  集中供暖,开元盛世和园B区 -泮河景区,4室2厅 | 135.21平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,4人关注 / 一年前发布,98,"7,248元/平"
书香世家 3室2厅 南,书香世家 -南开发区,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,69,"6,331元/平"
急售 高铁站 小高层 一梯两户 价格低 三室 智园南侧,曹家村社区 -泮河景区,3室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 7天以前发布,57,"6,130元/平"
11层电梯洋房 海普凤凰城 7楼 满五唯一有储藏室 华新,海普凤凰城 -南开发区,2室2厅 | 88.2平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 4天以前发布,62.5,"7,087元/平"
岱岳花园 公摊小 +大储藏室 万达附属医院,岱岳花园 -岱岳区区委,2室1厅 | 88.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,62,"7,006元/平"
悦蓝山 望岳广场 高铁 西湖 泮河公园,悦蓝山 -高铁新区,2室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,70,"7,217元/平"
金域缇香 经典户型 好楼层 满两年 精装 配房,安居·金域缇香 -东湖公园,2室2厅 | 84平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 2个月以前发布,89,"10,596元/平"
急售 望岳园 低于售楼处15万 有储藏室 价格可谈,开元盛世望岳园 -岱岳区区委,3室2厅 | 100.1平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,92,"9,191元/平"
容郡国际，毛坯房 带阁楼.露台，有车位，配房,容郡国际 -体育中心,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,5人关注 / 11个月以前发布,179,"15,841元/平"
容郡国际 电梯洋房 顶层复式 环山路旁,容郡国际 -体育中心,3室2厅 | 149平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,360,"24,162元/平"
嘉和新城二期洋房一楼带院  四室 户型方正 南北通透,嘉和新城二期 -南开发区,4室2厅 | 156平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 暂无数据,2人关注 / 7个月以前发布,185,"11,859元/平"
泰山景区南，容郡国际电梯洋房带车库，阁楼急售,容郡国际 -体育中心,3室2厅 | 141.87平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,290,"20,442元/平"
泰山院子 4室2厅 南 北,泰山院子 -泮河景区,4室2厅 | 170.55平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 2个月以前发布,486,"28,497元/平"
天平湖壹号泰山西湖景区 急售可拎包入住 带大露台,天平湖壹号 -岱岳区区委,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,89.9,"10,102元/平"
70年产权协助贷款  四室两厅 观山观景房 上学方便,开元盛世和园B区 -泮河景区,4室2厅 | 135平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,1人关注 / 7个月以前发布,132,"9,778元/平"
独栋别墅 阳光合墅价格可议 80多平院子 带车库,阳光和墅 -岱岳区,7室3厅 | 253平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 5个月以前发布,490,"19,368元/平"
环山路 容郡国际 带阁楼80平 露台70平 车位配房,容郡国际 -体育中心,3室2厅 | 118.99平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,217,"18,237元/平"
长城路上下两层！精装！6层4室，满5年有钥匙随时看房,皇冠河滨园 -南开发区,4室3厅 | 214.38平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,109.9,"5,127元/平"
联排别墅 带车库 毛坯 带阁楼 带露台 龙湾别墅 高铁,龙湾别墅 -高铁新区,4室2厅 | 209.23平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 4个月以前发布,280,"13,383元/平"
天地家园，顶楼复式电梯洋房，7楼和8楼，毛坯，有露台,天地家园 -天外村,4室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,700,"50,000元/平"
