标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
青年路 电梯三室 日光小区   交通便利   生活便利,日光小区 -青年路,3室2厅 | 135.11平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 4个月以前发布,120,"8,882元/平"
广晟园 3室2厅 南,广晟园 -仓房沟,3室2厅 | 102平米 | 南 | 简装 | 7层  | 板塔结合,0人关注 / 1个月以前发布,49,"4,804元/平"
水磨沟区 水磨河旁 天泉嘉苑 精装 好房出售,天泉嘉苑 -水磨沟公园,2室1厅 | 69.23平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,56.5,"8,162元/平"
南湖广场旁南湖二期76平方3楼南北通透,南湖二期旭东小区 -王家梁,2室2厅 | 75.63平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,63.5,"8,397元/平"
此房精装修 业主自住 看房方便 户型好 格局方正,新秀小区 -珠江路,3室2厅 | 125.58平米 | 南 北 | 简装 | 6层  | 板塔结合,0人关注 / 10个月以前发布,104,"8,282元/平"
通汇市场旁边，凯旋名苑，精装三室拎包入住，南北通透,飞晟凯旋名苑 -天汇汽车城,3室2厅 | 101.54平米 | 南 北 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 一年前发布,71,"6,993元/平"
南北中装地暖青年路日月星光旁优诗美地二期真实在售,优诗美地二期 -青年路,2室2厅 | 81.37平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,73,"8,972元/平"
西北路47号 2室1厅 东 西,西北路47号 -油运司,2室1厅 | 62.72平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,36,"5,740元/平"
西虹东路南十巷公交车站旁单位家属院可直接拎包入住,军事部家属院 -南湖广场,2室1厅 | 59.8平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 4个月以前发布,45,"7,526元/平"
天山区五星南路392号自治区党校住宅两室一厅,五星南路392号自治区党校住宅 -北门,2室1厅 | 62.88平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,140,"22,265元/平"
米东新城三期 3室2厅 南 北,米东新城三期 -天汇汽车城,3室2厅 | 98.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,59.8,"6,047元/平"
南湖二期急售，两室，高楼层，价格可谈,南湖二期旭东小区 -王家梁,2室1厅 | 75.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,48.5,"6,413元/平"
米东新城三期 精装复式楼 带100平晒台,米东新城三期 -天汇汽车城,3室2厅 | 138.35平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,89,"6,433元/平"
小西沟地铁口 均价低于6000的房子 户型合理 居住舒适,康普百信钻石苑 -小西沟,3室2厅 | 127平米 | 北 南 | 简装 | 高楼层(共8层)  | 板楼,8人关注 / 一年前发布,75,"5,906元/平"
房子视线开阔，离 兵二东门近.........,新宝小区 -碱泉街,3室1厅 | 92.58平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,115,"12,422元/平"
新市区 天津路和河北路交汇近铁路局,紫金长安 -长春路,3室1厅 | 128.16平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,14人关注 / 一年前发布,89,"6,945元/平"
44xiao百信康城 电梯复式带晒台 单价5900 南北朝向,百信康城 -植物园,4室3厅 | 234平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板塔结合,6人关注 / 6个月以前发布,140,"5,983元/平"
急售！嘉华园3室2厅 一楼带花园 精装修 南北通透,嘉华园 -长春路,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,103,"10,000元/平"
创新广场 鲤鱼山北路 紫煜臻城 单价7999 精装修 婚房,紫煜臻城煜园 -创新广场,3室2厅 | 140.4平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 4个月以前发布,112,"7,978元/平"
马德里春天四室两厅两卫毛坯视野好采光好,马德里春天小区 -木材厂,4室2厅 | 183平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,151.9,"8,301元/平"
养护处家属院 三室两厅好户型 诚意出售,养护处家属院 -友好,3室2厅 | 109平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,69.8,"6,404元/平"
通透户型163平四室 纯毛坯 随心装 楼栋位置好,特变水木尚城 -天汇汽车城,4室2厅 | 163.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,108,"6,615元/平"
新市区 澳龙广场 领秀新城  四室带晒台双卫生间,领秀新城 -长春路,4室1厅 | 157平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 2个月以前发布,93,"5,924元/平"
价格便宜 格林威治城 便宜   看房有钥匙,格林威治城 -经开万达,2室1厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 6个月以前发布,57,"6,064元/平"
大寨沟好家乡地铁口大两室低楼层拎包入住采光好停车方,裕欣苑 -小西沟,2室2厅 | 82.91平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,66.5,"8,021元/平"
珠江路五桥电梯房地暖房3室2厅2卫产权清晰双证可按揭,珠江涵碧景苑 -珠江路,3室2厅 | 144平米 | 东 西 | 精装 | 32层  | 塔楼,3人关注 / 一年前发布,112,"7,778元/平"
打着灯笼都难找的好复式！管道外墙全换了+露台+精装,裕欣苑 -小西沟,4室2厅 | 150.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,97,"6,433元/平"
金坤中环花苑溢景轩B区 3室2厅 东 西,金坤中环花苑溢景轩B区 -大湾,3室2厅 | 125.64平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,76,"6,050元/平"
华润万家爱家奥龙广场旁百信康城1-2复式一楼带花园,百信康城 -植物园,4室2厅 | 211.24平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,129,"6,107元/平"
准新房  经开万达  德港万达  大小绿谷,秦基壹号院 -乌北站,4室2厅 | 156平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,100人关注 / 5个月以前发布,156,"10,000元/平"
会展片区 公园七号  毛坯现房 三室 随时看房,公园七号 -红光山,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,99,"8,250元/平"
蓝调电梯房，房主和善，房子干净整洁，可拎包入住,蓝调晶典 -美居,3室2厅 | 60.24平米 | 东 西 | 精装 | 低楼层(共18层)  | 塔楼,14人关注 / 6个月以前发布,58,"9,629元/平"
万达华府二期好房出售，户型方正，随时可看,万达华府二期 -经开万达,3室2厅 | 138平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,10人关注 / 一年前发布,153,"11,087元/平"
嘉和二期05年小区 业主诚意出售 低楼层户型好,嘉和园小区二期 -油运司,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,80,"7,767元/平"
创新广场旁 交通便利，优质好房。,北平祥园 -创新广场,3室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,31人关注 / 一年前发布,85,"8,096元/平"
德港万达，迎宾路，中亚北路，喀什西路，迎宾丽舍,迎宾丽舍 -德港万达,2室1厅 | 63.93平米 | 北 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,51,"7,978元/平"
双宇博格达城三室，简装，南北通透，卫生间带窗户,双宇博格达城 -天汇汽车城,3室2厅 | 94.83平米 | 南 北 | 简装 | 低楼层(共10层)  | 塔楼,5人关注 / 一年前发布,54,"5,695元/平"
经济开发区凤凰城小区三室好房出售,凤凰城小区 -德港万达,3室1厅 | 97平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,91,"9,382元/平"
急售 急售 锦华苑中间楼层 两室  产权清晰,锦华苑小区 -友好,2室2厅 | 89.3平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,88,"9,855元/平"
南北标户 精装修拎包住 诚心出售 随时看房,丰好尊品 -秦郡,3室2厅 | 112平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,95,"8,483元/平"
友好  南湖广场 顺和大厦小区 精装带车位拎包入住,顺城大厦 -南湖广场,3室2厅 | 162平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,6人关注 / 8个月以前发布,139,"8,581元/平"
大小西门 时代广场  南北通透  满五唯一,十一中家属院 -大小西门,3室2厅 | 82.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,85,"10,256元/平"
高铁片区/经开万达坤和园两室房屋出售,坤和园 -经开万达,2室2厅 | 103.82平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,136,"13,100元/平"
口罩影响 诚售距离小西沟地铁口150米地暖3室2卫,康普百信钻石苑 -小西沟,3室2厅 | 127.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,38人关注 / 一年前发布,83,"6,508元/平"
人大家属院 2室1厅 南 北,人大家属院 -新市区,2室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 8个月以前发布,56,"7,000元/平"
经开万达广场  德港万达  友好时尚购物城  西环路,昊元上品 -卫星路,4室2厅 | 244.37平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 4个月以前发布,170,"6,957元/平"
家住全明精装修两室室 拎包住 产权清晰 随时看..。。,时代橙堡 -乌北站,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,88,"9,073元/平"
新市区 西外环 马德里春天 精装大三室 看方便,马德里春天小区 -木材厂,3室2厅 | 143.84平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 6个月以前发布,129,"8,969元/平"
东后街北一巷 高层 视野开阔  单价便宜,东后街北一巷18号院 -碱泉街,2室2厅 | 91.7平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,56,"6,107元/平"
好房出售   不要考虑  快快下手,麒马山庄 -西山,5室2厅 | 218平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,12人关注 / 一年前发布,73,"3,349元/平"
马德里春天三室两厅拎包入住采光好视野好西外环带车位,马德里春天小区 -木材厂,3室2厅 | 125.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,110,"8,763元/平"
马德里春天116平大三室空房出售有钥匙随时看房,马德里春天小区 -木材厂,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,98,"8,449元/平"
新市区澳龙新世界洋房南北通透拎包入住带地下室有钥匙,华春苏杭明珠花园小区 -长春路,4室2厅 | 184平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,5人关注 / 6个月以前发布,130,"7,066元/平"
口罩影响 诚售距离小西沟地铁口150米地暖3室2卫,康普百信钻石苑 -小西沟,3室2厅 | 127.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,38人关注 / 一年前发布,83,"6,508元/平"
家住全明精装修两室室 拎包住 产权清晰 随时看..。。,时代橙堡 -乌北站,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,88,"9,073元/平"
瑞祥苑 3室1厅 南 北,瑞祥苑 -南湖广场,3室1厅 | 98.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 5个月以前发布,68.8,"6,970元/平"
海棠铭居 3室2厅 西北 北,海棠铭居 -德港万达,3室2厅 | 107.48平米 | 西北 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,102,"9,491元/平"
经开区万达广场洞庭路石油新村3室,石油新村小区 -石油新村,3室2厅 | 84.98平米 | 南 北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 5个月以前发布,51,"6,002元/平"
万达旁御园印象 。精装修两室，拎包住。户型挺好,御园印象 -高新万达,2室2厅 | 82平米 | 南 | 简装 | 低楼层(共19层)  | 板楼,7人关注 / 一年前发布,60,"7,318元/平"
102平中装三室，多层二楼南北通透,米东新城三期 -天汇汽车城,3室2厅 | 102.3平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,68,"6,648元/平"
好房出售   不要考虑  快快下手,麒马山庄 -西山,5室2厅 | 218平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,12人关注 / 一年前发布,73,"3,349元/平"
人大家属院 2室1厅 南 北,人大家属院 -新市区,2室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,7人关注 / 8个月以前发布,56,"7,000元/平"
新市区 铁路局 七街小区 视野好 采光充足 近地铁,铁路局七街B区 -铁路局,2室1厅 | 53平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,69,"13,019元/平"
铁路局92.52平 低楼层 带晒台 标准户型 诚心出售,锦盛苑 -铁路局,2室2厅 | 92.52平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,85,"9,188元/平"
和田花苑 2室1厅 东 西,和田花苑 -友好,2室1厅 | 81.88平米 | 东 西 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,64,"7,817元/平"
汇芙园 1室1厅 北,汇芙园 -油运司,1室1厅 | 44.17平米 | 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 12天以前发布,38.8,"8,785元/平"
万科品质 精装两室 单面朝南  随时看房,万科四季花城 -喀什东路,2室1厅 | 72平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 7天以前发布,62,"8,612元/平"
新疆教育学院家属院 1室1厅 南,新疆教育学院家属院 -北门,1室1厅 | 50.08平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 6天以前发布,230,"45,927元/平"
蓝天森林花苑 3室1厅 东南 西南,蓝天森林花苑 -仓房沟,3室1厅 | 98平米 | 东南 西南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,74,"7,552元/平"
卧龙山庄 精装修三室 看房方便 随时约,卧龙山庄 -西山,3室2厅 | 101.53平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 5个月以前发布,71.5,"7,043元/平"
世界冠郡少有户型，楼层佳，视野开阔，业主诚心出售,世界冠郡二期 -天山区,3室2厅 | 96.63平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,84,"8,693元/平"
十月小区 2室2厅 南 北,十月小区 -文化宫,2室2厅 | 72.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 5个月以前发布,63,"8,679元/平"
盈科棕榈园 3室2厅 南 北,盈科棕榈园 -美居,3室2厅 | 102平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,28人关注 / 一年前发布,77.8,"7,628元/平"
奥特莱斯旁 公务员小区A区，幼儿元到初中一次解决。,二号台地公务员小区A区 -西站,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,2人关注 / 6个月以前发布,60,"5,455元/平"
楼层好，视野好，米东好房出售。,荷兰小镇二期 -天汇汽车城,2室1厅 | 78.45平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,36.5,"4,653元/平"
诚盛花园 2室2厅 南,诚盛花园 -碱泉街,2室2厅 | 70.41平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,44,"6,250元/平"
汇轩园小区  锦州东路 一室一厅,汇轩园 -植物园,1室1厅 | 43.53平米 | 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,32,"7,352元/平"
碱泉街房源上新标准户型南北通透两室一厅房龄新可停车,翰林尚苑 -碱泉街,2室2厅 | 89.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,88,"9,830元/平"
特变水木尚城小区高层2楼130平米3室,特变水木尚城 -天汇汽车城,3室2厅 | 130.67平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,3人关注 / 9个月以前发布,86,"6,582元/平"
米东三期三楼精装随时看房诚心出售,米东新城三期 -天汇汽车城,2室2厅 | 74平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,45,"6,082元/平"
急售！农大后门老满城街盛世嘉苑中间楼层,盛世嘉园 -友好,1室1厅 | 45.8平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,40,"8,734元/平"
急售！农大后门老满城街盛世嘉苑中间楼层,盛世嘉园 -友好,1室1厅 | 45.8平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,40,"8,734元/平"
幸福花园六期精装修  拎包入住,幸福花园六期 -天山区,2室2厅 | 92.46平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,73,"7,896元/平"
青年路低层，好楼层，房子视野开阔，离兵二东门近,新宝小区 -碱泉街,2室1厅 | 69.61平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,100,"14,366元/平"
