标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
碧桂园仙林东郡两房开发商装修诚意出售,碧桂园仙林东郡 -宝华商圈,2室1厅 | 84.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,65,"7,713元/平"
碧桂园凤凰城芷兰湾精装3室 房源,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 126.08平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,75,"5,949元/平"
：楼层较好，交通方便，楼层光线较好,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.26平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,21人关注 / 一年前发布,66,"5,629元/平"
格局好，楼间距大，视野好，采光好,云玺苑 -碧桂园凤凰城,4室2厅 | 193.12平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,3人关注 / 2个月以前发布,140,"7,250元/平"
京东紫晶 2室2厅 西北,京东紫晶 -宝华商圈,2室2厅 | 56平米 | 西北 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 1个月以前发布,35,"6,250元/平"
紫竹苑115平 三室两厅两卫 精装出售,紫竹苑小区 -大港新区,3室1厅 | 115.48平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,53.5,"4,633元/平"
聚旺城市花园4房2厨2卫地暖新风空调一楼带花园,聚旺城市花园 -区政府商圈,4室2厅 | 118.93平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,7人关注 / 一年前发布,110,"9,250元/平"
仙林万达茂 四季金辉毛坯三房  山景住宅,四季金辉 -宝华商圈,3室2厅 | 88.75平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 塔楼,102人关注 / 一年前发布,73,"8,226元/平"
此房满两年，格局视野开阔，一梯一户，出行方便。宽敞,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 179平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,13人关注 / 一年前发布,107,"5,978元/平"
"柏丽湾湖景房，大平层阳台大,楼间距大光好",碧桂园凤凰城柏丽湾 -碧桂园凤凰城,5室2厅 | 273.78平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,25人关注 / 11个月以前发布,157,"5,735元/平"
碧桂园临湖苑户型方正南北通 价格低 位置好,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室2厅 | 142.25平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,7人关注 / 3个月以前发布,98,"6,890元/平"
格局好，楼层好，采光足，视野开阔，朝南,恒大雅苑 -宝华商圈,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 4个月以前发布,67,"7,363元/平"
距离黄梅站300米左右，南北通透，视野开阔采光无遮挡,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 96.46平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,21人关注 / 6个月以前发布,62.9,"6,521元/平"
新城区多层zho那个楼层。20万1居室适合买小面积居住。,新茂苑 -京口,1室1厅 | 50平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,17人关注 / 一年前发布,15,"3,000元/平"
宝华新街口 成熟配套小区  户型方正,恒大雅苑 -宝华商圈,2室2厅 | 90.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,80,"8,803元/平"
柏丽湾大平层，户型好，楼层好，满两年,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室1厅 | 179.55平米 | 东南 西北 | 精装 | 高楼层(共31层)  | 塔楼,8人关注 / 6个月以前发布,102,"5,681元/平"
高瞻远瞩奈斯房，视野一点不遮挡，自带露台三变两满二,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 120.19平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,17人关注 / 5个月以前发布,105,"8,737元/平"
格局好楼层好采光足 视野开阔，户型方正,四季金辉 -宝华商圈,3室2厅 | 85.67平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,70,"8,171元/平"
地铁口现房！边户大三房两卫采光好！满二,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 133.91平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,83,"6,199元/平"
芷兰湾三房两卫 双阳台 业主诚心卖,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 133.55平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,12人关注 / 9个月以前发布,75,"5,616元/平"
公园道 3室2厅 南,公园道 -句容市区,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 8天以前发布,122.8,"10,965元/平"
碧桂园凤凰城芷兰湾 4室2厅 南,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 175.95平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,128,"7,275元/平"
吾悦 旁精装修  房东诚心出售 楼层好,尚东国际 -丁卯商圈,3室2厅 | 110平米 | 东南 | 精装 | 低楼层(共21层)  | 板楼,5人关注 / 11个月以前发布,80,"7,273元/平"
此房适合一家三口居住，生活便利，交通便捷，,香江花城香梅苑 -红豆购物广场商圈,3室2厅 | 124.62平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,93,"7,463元/平"
港中4区 低价出售 房东急售 户型方正,港中新村四区 -大港新区,2室2厅 | 73.9平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,2人关注 / 7个月以前发布,23,"3,113元/平"
此房户型方正两卧朝南，小区生活交通便利,领东天第 -丁卯商圈,3室2厅 | 130平米 | 南 西 北 | 毛坯 | 中楼层(共16层)  | 板楼,2人关注 / 10个月以前发布,90,"6,924元/平"
房东诚心出售，房子位置佳采光优。,中南公园物语 -红豆购物广场商圈,4室2厅 | 144平米 | 东 | 精装 | 低楼层(共25层)  | 板楼,13人关注 / 8个月以前发布,131,"9,098元/平"
风景城邦，矛以升，南站，有库，精装修拎包入住,官庄新村 -风景城邦商圈,3室2厅 | 103.39平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 11个月以前发布,48,"4,643元/平"
一中旁精装修3房，有院子30平，有车库。,学林雅郡 -学府路商圈,3室2厅 | 104.18平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,13人关注 / 一年前发布,100,"9,599元/平"
低密度花园洋房 楼层位置好 满二 近地铁口,仙林悦城新街坊 -宝华商圈,3室2厅 | 124.78平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,36人关注 / 8个月以前发布,110,"8,816元/平"
江山明洲  精装3室2卫户型好采光无挡 随时看房 看中议,江山名洲 -红豆购物广场商圈,3室2厅 | 124.94平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 22天以前发布,130,"10,405元/平"
此房，精装三房，拎包入住前排无遮挡.,象山花园四期 -红豆购物广场商圈,3室1厅 | 102平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,77,"7,550元/平"
路劲大四房，全屋美式装修，南北通透，价格美丽,路劲·横山郡 -丁卯商圈,4室2厅 | 123.59平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,99,"8,011元/平"
此房满二，精装修，三开间朝南，户型方正，南北采光佳,新城吾悦广场一期 -丁卯商圈,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,110.8,"11,664元/平"
品牌房企，配套齐全，交通便利，居住选择。,远洋香奈城三期 -官塘商圈,4室2厅 | 138.5平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 21天以前发布,129,"9,315元/平"
红豆旁精装三房，户型通透看房方便！,中南公园物语 -红豆购物广场商圈,3室2厅 | 92平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 16天以前发布,94,"10,218元/平"
新交付小区，精装三房两厅拎包入住，前排无遮挡,象山花园四期 -红豆购物广场商圈,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共19层)  | 暂无数据,0人关注 / 20天以前发布,95,"7,540元/平"
优山美地南区 电梯复式 南北大露台 采光好 欧式装修,优山美地花园南区 -象山街办,4室2厅 | 180平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,29人关注 / 8个月以前发布,220,"12,223元/平"
户型方正，实用空间大，小区密度低环境好，人文素质高,孔雀苑 -学府路商圈,4室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 1个月以前发布,120,"10,085元/平"
交通便利，有吾悦广场，大润发，吉麦隆，好地段房,孔雀苑 -学府路商圈,4室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,4人关注 / 10个月以前发布,100,"8,621元/平"
碧桂园品质小区精装大四房，140平168万各付,碧水湾玉园玖悦苑 -学府路商圈,4室2厅 | 138.5平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,158,"11,408元/平"
采光充足 配套设施齐全 交通便利 成熟小区,御带河花园 -学府路商圈,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,37,"6,492元/平"
满二，高楼层，采光很好，精装修,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.41平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,59.8,"6,615元/平"
湖景房，环境好 ，安静，满两年,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室1厅 | 105平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 22天以前发布,64.5,"6,143元/平"
京江花苑 3室2厅 南,京江花苑 -区政府商圈,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 21天以前发布,50,"5,435元/平"
118W万科翡翠112户型朝南大阳台楼层采光视野好,万科翡翠公园 -市政府商圈,3室2厅 | 112.17平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 26天以前发布,118,"10,520元/平"
云玺苑 3室1厅 南,云玺苑 -碧桂园凤凰城,3室1厅 | 107.91平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 20天以前发布,70,"6,487元/平"
"此房中楼层,视野宽阔，采光充足，配套设施齐全",碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 16天以前发布,58,"5,162元/平"
嘉荟新城 小高层洋房 精装3房 拎包入住 楼栋位置好,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 92.9平米 | 南 | 精装 | 高楼层(共18层)  | 平房,0人关注 / 24天以前发布,66.8,"7,191元/平"
新小区，精装修，小面积三房，楼层好，采光好,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室1厅 | 86.97平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,57.8,"6,646元/平"
碧桂园凤凰城翰林湾，精装修三房。,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 96.62平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 17天以前发布,59,"6,107元/平"
宝龙商圈 走着去宜城 孩子多睡一刻钟 还有车库,宜东铭苑 -宝龙商圈,2室2厅 | 88.4平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 22天以前发布,66,"7,467元/平"
地铁口 四房 采光好 中间楼层,碧桂园凤凰城星悦湾 -碧桂园凤凰城,4室1厅 | 121.97平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,4人关注 / 24天以前发布,65.3,"5,354元/平"
临湖苑 三房朝南 好楼层 好视野 好采光,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.84平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,66,"6,611元/平"
碧桂园凤凰城·凤仪苑 4室1厅 南,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,4室1厅 | 166.36平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 28天以前发布,94,"5,651元/平"
双地铁 山景洋房带电梯 房东诚心出售 可刀,香山壹境 -宝华商圈,3室2厅 | 76.86平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 16天以前发布,49,"6,376元/平"
前无遮挡 ，采光充足，交通便利,万科沁园二期 -南徐商圈,3室2厅 | 118.81平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,15人关注 / 9个月以前发布,110,"9,259元/平"
楼层好，采光充足，配套设施完整，交通便利,仙林悦城 -宝华商圈,2室1厅 | 64.75平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,52,"8,031元/平"
路劲城，品质洋房小区，业主诚售，价格可谈,路劲城 -大港新区,4室2厅 | 136.84平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,87,"6,358元/平"
金泉花园三区 2室1厅 南 北,金泉花园三区 -金山商圈,2室1厅 | 83.5平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,57,"6,827元/平"
美的城3区 毛坯小高层  双阳台,美的城三区 -市政府商圈,3室2厅 | 114.43平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,108,"9,439元/平"
碧桂园凤凰城7期翰林湾小三房，三房朝南，视野开阔,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 91.99平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,18人关注 / 一年前发布,56,"6,088元/平"
地铁口大三房，采光无遮挡，二次装修拎包入住,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 1个月以前发布,89,"6,648元/平"
你想要的江山  她与你风雨兼程,碧桂园世纪城邦 -句容,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,50,"5,051元/平"
新房交付新房 位置好 户型方正 交通便利 业主诚心出售,碧桂园凤凰城 -碧桂园凤凰城,4室2厅 | 122平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,89,"7,296元/平"
招商国际E城 3室1厅 南,招商国际E城 -宝华商圈,3室1厅 | 95平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,120,"12,632元/平"
南京东 双地铁 靠南京万达茂z近 房东急售！,和昌仙林国际 -宝华商圈,3室2厅 | 103.06平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,2人关注 / 15天以前发布,80,"7,763元/平"
新小区 远洋三期 户型方正 楼层好，采光佳，看房方便,远洋香奈城三期 -官塘商圈,3室2厅 | 115.53平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,2人关注 / 6个月以前发布,81,"7,012元/平"
2房朝南 前后双阳台 南北通透 采光好 有车位,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126.13平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,10人关注 / 一年前发布,73,"5,788元/平"
孟诚尚美苑70平米，精装二房，中楼层,孟诚尚美苑 -学府路商圈,2室1厅 | 70平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 10天以前发布,47.5,"6,786元/平"
恒大旁，配套全，实用两房，满两年，看房有钥匙,天正理想城 -宝华商圈,2室2厅 | 74.28平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,8人关注 / 10个月以前发布,52,"7,001元/平"
楼层好，购物方便，值得购买，户型通透。,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 4个月以前发布,60,"5,340元/平"
全南户型，双阳台，交通方便，大飘窗，采光好,仙林悦城 -宝华商圈,2室2厅 | 67.37平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,53,"7,868元/平"
此房精装修，拎包入住，3房两厅一卫,旭辉东壹区 -丁卯商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 20天以前发布,84.15,"8,858元/平"
花园洋房，得房率很高，三房两厅一卫，,科苑華庭 -区政府商圈,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 20天以前发布,80,"7,767元/平"
优山美地 边户精装修 设施齐全 阳光好,优山美地花园北区 -象山街办,3室2厅 | 133平米 | 南 | 精装 | 32层  | 板塔结合,6人关注 / 11个月以前发布,105,"7,895元/平"
楼层好，采光好，保养好，配套齐全生活便捷,花山湾新村六区 -梦溪商圈,2室2厅 | 85.59平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,70,"8,179元/平"
中  南  世  纪  城  三  区  三  室  精  装  江  景,中南世纪城三区 -红豆购物广场商圈,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,140,"11,865元/平"
万达茂旁  中间楼层 二次精装 拎包入住,仙林悦城 -宝华商圈,2室1厅 | 63.84平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 5个月以前发布,50,"7,833元/平"
清华园！三室一厅一厨一卫！119.47平！朝向好！,清华园 -青年广场商圈,3室1厅 | 119.47平米 | 南 | 精装 | 低楼层(共10层)  | 板塔结合,0人关注 / 3天以前发布,77.2,"6,462元/平"
碧桂园凤凰城柏丽湾 3室1厅 南,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 92平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,58,"6,305元/平"
花山湾新村三区 2室1厅 南,花山湾新村三区 -梦溪商圈,2室1厅 | 54.46平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,65,"11,936元/平"
首创悦府 ，精装修，采光好，配套设施齐全，交通便利,首创·悦府 -丁卯商圈,2室1厅 | 89.68平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,9人关注 / 一年前发布,60,"6,691元/平"
此房格局好，采光足，视野开阔，朝南，户型方正。,花山人家 -宝华商圈,3室1厅 | 128平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 12天以前发布,63,"4,922元/平"
