标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
鲁能公馆双地铁 高楼层 通透小三房 急售,鲁能公馆 -奥南,3室1厅 | 88.98平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,10人关注 / 23天以前发布,430,"48,326元/平"
大桥南路 福建路 镇江路 一楼带大院子 精装拎包入住,镇江路 -挹江门,3室1厅 | 63.6平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,5人关注 / 30天以前发布,238,"37,422元/平"
此房户型方正 居家装修 拎包入住 采光无遮挡 满五唯一,海润枫景家园 -泰山街道,3室2厅 | 96.58平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,6人关注 / 28天以前发布,140,"14,496元/平"
瑞金新村 3室1厅 南 北,瑞金新村 -瑞金路,3室1厅 | 64.99平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 29天以前发布,290,"44,623元/平"
万科品牌 精装复式 采光充足 封闭式管理 人车分流,万科金色里程 -铁心桥,2室1厅 | 70.89平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 26天以前发布,220,"31,034元/平"
花园洋房 三开间朝南 多层带电梯 大光路 毛坯房急售,香格里拉东苑 -大光路,3室2厅 | 137.98平米 | 南 北 西 | 毛坯 | 低楼层(共6层)  | 板楼,3人关注 / 22天以前发布,718,"52,037元/平"
园林式品质小区 楼间距大 采光不挡 视野很好，洋房,奥体新城青桐园 -奥体,3室2厅 | 139.12平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 24天以前发布,860,"61,818元/平"
瑞金路 不占用 有钥匙 看房方便,公园路44号 -大光路,2室1厅 | 43.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,175,"40,203元/平"
总监推荐！都市小高层，80万硬派装修，户型方正。,云锦美地聚锦苑 -南湖,4室2厅 | 133.36平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,9人关注 / 19天以前发布,650,"48,741元/平"
紫金山脚下，地铁口，低楼层，适合老人孩子居住。,钟山山庄 -樱驼花园,3室1厅 | 74.41平米 | 西南 | 其他 | 低楼层(共7层)  | 板塔结合,1人关注 / 30天以前发布,230,"30,910元/平"
小桃园旁 南北通透 位置好 业主诚售,桃花源居 -热河南路,3室2厅 | 94.71平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 26天以前发布,455,"48,042元/平"
中楼层 卧室双南 边户 采光视野好,华隆新寓一村 -应天西路,3室1厅 | 83.72平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 21天以前发布,285,"34,043元/平"
禄口永欣海棠简装三室一厅满两年,永欣新寓海棠苑 -禄口,3室1厅 | 111.3平米 | 东南 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 31天以前发布,90,"8,087元/平"
楼层好 采光无遮挡 电梯房 配套成熟 户型好 满二诚售,翠岭银河 -铁心桥,2室1厅 | 78.16平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,2人关注 / 17天以前发布,170,"21,751元/平"
空港新城 S1地铁口 精装3房 楼层好 视野开阔 业主诚售,新城保利天地 -禄口,3室2厅 | 82.45平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,6人关注 / 18天以前发布,133,"16,131元/平"
边户大院子 !!!!!!毛坯改造空间大近徐庄地铁口,紫金东郡 -仙鹤门,4室2厅 | 233.78平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 23天以前发布,630,"26,949元/平"
出新小区 三楼 全明户型 精装修 七号线地铁口业主诚售,话园 -南苑,2室1厅 | 62.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 25天以前发布,202,"32,492元/平"
银城街 中间楼层 采光好 不临街 南北通透 不占用,银城街 -龙江,2室1厅 | 55.24平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 24天以前发布,288,"52,137元/平"
永欣新寓紫荆苑 3室1厅 南 北,永欣新寓紫荆苑 -禄口,3室1厅 | 103.01平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 22天以前发布,95,"9,223元/平"
三开间朝南 中间楼层 全天采光 诚心出售,天华硅谷庄园 -泰山街道,3室2厅 | 115.34平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,2人关注 / 25天以前发布,199,"17,254元/平"
小高层 楼间距大 中间楼层 采光不挡 房主诚心出售,中南山锦花城 -江宁其它,3室1厅 | 79.11平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 18天以前发布,225,"28,442元/平"
江北新区 弘阳爱上城城三区 星岛园 精装修 三房,旭日爱上城第三区 -桥北,3室2厅 | 93.13平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 20天以前发布,232,"24,912元/平"
满二 通透性好 配套成熟 小区新,绿地理想名苑 -正方新城,3室2厅 | 100.82平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 29天以前发布,218,"21,623元/平"
朗诗三恒科技住宅 单价低 满两年 楼层好 诚心出售,金象朗诗红树林 -桥北,4室2厅 | 125.54平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,390,"31,066元/平"
（店长推荐） 满二 楼层佳 视野好 地铁口 精装修,新城保利天地 -禄口,3室2厅 | 77.7平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,131,"16,860元/平"
钟英  简装  三房 采光充足   张府园地铁 洪武路,洪武路 -新街口,3室1厅 | 63.96平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,4人关注 / 18天以前发布,310,"48,468元/平"
都市丽景 新上精装三房 满两年 有钥匙看房 诚心出售,都市丽景 -东山镇,3室2厅 | 111.72平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 30天以前发布,358,"32,045元/平"
中间楼层 不临街  适宜居住 低总价,定淮门 -挹江门,3室2厅 | 91.63平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 27天以前发布,260,"28,375元/平"
五楼，采光绝，位置安静不临铁路，钥匙房随时看,仙鹤茗苑 -仙鹤门,2室1厅 | 56.19平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 17天以前发布,142,"25,272元/平"
此房满5年 楼层好 出行方便，配套齐全，有车位,外港新村 -东山镇,3室1厅 | 75.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 17天以前发布,190,"25,100元/平"
卫岗 南农大 一楼 有花园 全明户型 边户 采光好,南农大小区 -卫岗,3室1厅 | 87.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,9人关注 / 17天以前发布,380,"43,227元/平"
新上房源，楼层好，采光佳，业主诚售,高教新村 -草场门大街,3室1厅 | 98.42平米 | 北 | 简装 | 高楼层(共28层)  | 塔楼,3人关注 / 18天以前发布,325,"33,022元/平"
新上 平层4房 毛坯房 业主诚意出售,南航揽翠苑 -将军大道,4室2厅 | 161.51平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,4人关注 / 29天以前发布,392,"24,271元/平"
小区中间位置，不临高架，高楼层 有电梯 满五无抵押,今日家园丹桂居 -万达广场,3室2厅 | 94.69平米 | 南 | 其他 | 中楼层(共10层)  | 板塔结合,1人关注 / 23天以前发布,390,"41,188元/平"
张府园 地铁口 有小区物业 一楼 采光好 交通便利,绒庄新村 -升州路,2室1厅 | 61.88平米 | 东 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 22天以前发布,185,"29,897元/平"
武定门北巷 河景房 老门东景区  武定门地铁 看房方便,武定门北巷 -夫子庙,2室1厅 | 51.78平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,212,"40,943元/平"
精装修 中间楼层 业主诚心出售,明门公寓 -安德门,2室1厅 | 54.82平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 23天以前发布,205,"37,396元/平"
东山2小旁 芙阁新村3房带院子  采光无遮挡 诚售,芙阁新村 -东山镇,3室1厅 | 65平米 | 南 | 简装 | 低楼层(共4层)  | 板塔结合,1人关注 / 29天以前发布,185,"28,462元/平"
2楼双南户型 明厨明卫得房率高 满五年不唯一,杏林新村 -凤凰西街,2室1厅 | 59.92平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 21天以前发布,235,"39,219元/平"
新街口 丰富路61号 双南一北 三房 全明户型 钥匙急售,丰富路 -新街口,3室1厅 | 70.22平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,3人关注 / 17天以前发布,237,"33,752元/平"
新玄武  满二年小洋房  三开间朝南飞机户未入住,中海玄武公馆 -红山,3室2厅 | 128.09平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,2人关注 / 20天以前发布,700,"54,650元/平"
20号大院 大三房 南北通透户型 门口地铁在建 诚心出售,古平岗小区 -龙江,3室1厅 | 82.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 16天以前发布,225,"27,379元/平"
新空未住 东边户 工业大学地铁站 虹悦城 中高楼有钥匙,中建国熙台一期 -江浦街道,4室2厅 | 127.46平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,420,"32,952元/平"
此房业主诚心出售  有钥匙随时看房  价格较低,双和园 -奥体,3室2厅 | 115.72平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,4人关注 / 20天以前发布,395,"34,135元/平"
楼层好  采光好  看房子有钥匙 随时,定林苑 -麒麟镇,3室1厅 | 88.88平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,12人关注 / 28天以前发布,106,"11,927元/平"
禄口 百丽明珠  中间层  边户  总价低  看房方便,百丽明珠花园 -禄口,4室1厅 | 123.38平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 26天以前发布,113,"9,159元/平"
S6 旁，出行方便，带大露台，居住舒适。,东郊小镇第二街区 -麒麟镇,3室2厅 | 110.69平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 27天以前发布,159,"14,365元/平"
满两年 无户口实验   中间楼层 南北通透 换房诚售,安德新寓 -能仁里,3室1厅 | 68.1平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 22天以前发布,245,"35,977元/平"
双卧朝南 采光好 电梯房 钟英 交通便利 生活配套完善,西一新村 -升州路,2室1厅 | 57.29平米 | 南 | 其他 | 高楼层(共30层)  | 塔楼,1人关注 / 28天以前发布,280,"48,875元/平"
三开间正朝南，户型方正，简洁装修，近地铁,香格里拉花园 -大光路,3室2厅 | 132.29平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,6人关注 / 18天以前发布,635,"48,001元/平"
绿地海珀滨江一期 四房两卫大阳台 新空未住 视野好,绿地华侨城海珀滨江 -奥南,4室2厅 | 145.97平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,10人关注 / 30天以前发布,849,"58,163元/平"
夫子庙低楼层南北户型 小区中间 采光充足 配套完善,致和新村 -建康路,3室1厅 | 73.9平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,6人关注 / 27天以前发布,225,"30,447元/平"
五矿崇文金城 三房两卫边户 保养好 满两年 采光好,五矿崇文金城 -奥南,3室2厅 | 118.19平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,13人关注 / 17天以前发布,585,"49,497元/平"
花神湖畔四期房龄新楼层好电梯两房,康盛花园 -宁南,2室2厅 | 99.09平米 | 南 北 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 28天以前发布,430,"43,395元/平"
集中供暖 大开间 带露台 户型方正 随时看房 视野好,科嘉花园 -将军大道,7室1厅 | 271.05平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,358,"13,208元/平"
胜太路地铁口百家湖边房满五唯一正规6室南边大院子,宁湖园岚岛别墅 -百家湖,6室2厅 | 200.86平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,166人关注 / 一年前发布,580,"28,876元/平"
复式跃层 阳光房 可直视紫金山 改善大户型,北苑之星花园 -月苑,5室2厅 | 187.55平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,102人关注 / 一年前发布,498,"26,553元/平"
有阁楼 得房率高  视野好  能看紫金山,紫金城西区 -月牙湖,4室2厅 | 200.89平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,17人关注 / 5个月以前发布,540,"26,881元/平"
世茂外滩新城 大平层 毛坯 视野很好,世茂外滩新城 -热河南路,4室2厅 | 269.43平米 | 南 北 | 毛坯 | 中楼层(共52层)  | 板塔结合,44人关注 / 一年前发布,998,"37,042元/平"
此房户型方正，采光无遮挡，配套设施齐全，交通便利,经纬城市花园小区 -岔路口,2室2厅 | 85.64平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 21天以前发布,202,"23,588元/平"
江北CBD 华润国际社区 南北通透A户型 满五唯一,华润国际社区 -顶山街道,3室2厅 | 88.39平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,8人关注 / 30天以前发布,319,"36,091元/平"
仙林湖高科 满五唯一 高楼层 边户 有钥匙 诚心出售,高科荣境二期 -仙林,3室1厅 | 116.82平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,4人关注 / 29天以前发布,562,"48,109元/平"
三号线 交通便利 刚需上车的好房子 急售 急售,创业新村 -高新区,2室1厅 | 71.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 18天以前发布,108,"15,065元/平"
新城花漾紫郡   龙王山旁  地铁口  立体空调,新城花漾紫郡 -高新区,3室2厅 | 80平米 | 东南 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 25天以前发布,172,"21,500元/平"
6号线长途东站 ， 南林大旁 ，电梯房，视野好 采光好,花园路 -锁金村,2室1厅 | 68.72平米 | 东北 | 简装 | 中楼层(共20层)  | 板塔结合,1人关注 / 24天以前发布,129.5,"18,845元/平"
精装修 高楼层 江景房 随时可看,保利西江月 -顶山街道,3室2厅 | 86.61平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 21天以前发布,270,"31,175元/平"
诚售中建国熙台改善精装大四房中建间景观视野好随时看,中建国熙台一期 -江浦街道,4室2厅 | 125.7平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 20天以前发布,407,"32,379元/平"
生活便利 地铁在建 电梯房 双南户型,银龙鑫苑 -月牙湖,2室1厅 | 55.37平米 | 南 北 | 其他 | 低楼层(共14层)  | 板塔结合,0人关注 / 26天以前发布,118,"21,312元/平"
恒盛金陵湾 江景房 南京城尽收眼底 满两年,恒盛金陵湾 -定淮门大街,2室1厅 | 103.37平米 | 南 | 简装 | 高楼层(共54层)  | 板塔结合,4人关注 / 27天以前发布,580,"56,110元/平"
满五年 户型方正   带露台  交通便利,天润城第七街区 -桥北,2室2厅 | 96.56平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 25天以前发布,147,"15,224元/平"
紫金华府 3室2厅 南 北,紫金华府 -孝陵卫,3室2厅 | 107.78平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 23天以前发布,500,"46,391元/平"
两室两厅，房子满五，业主精装，大露台 业主诚心卖,挪威森林 -将军大道,2室2厅 | 101.26平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,41人关注 / 16天以前发布,265,"26,171元/平"
独立大院 小区已出新 地铁口 三房 楼层好,杨公井 -新街口,3室1厅 | 65.07平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,268,"41,187元/平"
两房朝南，楼层好，前无遮挡，视线广阔，随时入住,晨光苑 -麒麟镇,2室1厅 | 64.33平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,2人关注 / 15天以前发布,98,"15,234元/平"
朝天宫  汉中门  五台山  上海路,柏果树新寓 -朝天宫,2室1厅 | 48.06平米 | 西南 东北 | 其他 | 高楼层(共7层)  | 板塔结合,25人关注 / 11天以前发布,149,"31,003元/平"
翠屏城 禄口商圈 毛坯房 配套齐全,翠屏城 -禄口,3室2厅 | 85平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,83,"9,765元/平"
业主诚心出售 新模范马路地铁口旁 许府巷 二室，,许府巷 -许府巷,2室2厅 | 77.87平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 9天以前发布,270,"34,674元/平"
新街口常府街 满五唯一 明厨明卫 带阁楼,棉鞋营 -常府街,2室1厅 | 48.61平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 7天以前发布,135,"27,773元/平"
拎包入住 房主急售 楼层好 采光足,弘阳旭日上城三区 -桥北,2室1厅 | 87.07平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,3人关注 / 11天以前发布,178,"20,444元/平"
低总价 好楼层 纯毛坯 交通便利,卫岗西1号 -月牙湖,2室1厅 | 44.84平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,3人关注 / 13天以前发布,138,"30,777元/平"
滨江馨苑 五桥旁 交通方便 配套齐全 诚心出售,滨江馨园 -江浦街道,2室2厅 | 85.81平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 11天以前发布,137.5,"16,024元/平"
保利西江月 3室2厅 南,保利西江月 -顶山街道,3室2厅 | 87.37平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 10天以前发布,265,"30,331元/平"
安乐村中间楼层业主诚心出售，有小区 环境,安乐村 -建宁路,2室1厅 | 46.77平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,1人关注 / 9天以前发布,112,"23,947元/平"
