标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
开元香舍里精装未住 证过二 楼层好 户型方正,开元香舍里 -北城-实验中学,3室2厅 | 134.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,263,"19,586元/平"
恒通佳园精装3室 小高中间层 证过2 有储藏室 已改地暖,恒通佳园 -北城-北城人民医院,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,1人关注 / 4个月以前发布,115,"10,455元/平"
江泉城旁 双月湖畔 证过五省高税 双气地暖,韵皓 · 宝翠园 -双月湖公园,2室1厅 | 82.79平米 | 北 南 | 简装 | 高楼层(共7层)  | 板塔结合,5人关注 / 10个月以前发布,38,"4,590元/平"
粮食局家属院  证过二 急售 有配房位于前排无遮挡,临沂市粮食局家属院 -人民广场,3室1厅 | 83平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 4个月以前发布,76,"9,157元/平"
此房证过2年 客厅通阳台 观河景 精装修,蓝湾国际A区 -隆达客运站,2室2厅 | 118平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,92,"7,797元/平"
舒格兰二期 精装小三室 带产权车位 证过二 随时看房,舒格兰二期 -北城-鲁商中心,3室1厅 | 108.77平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,145,"13,331元/平"
急售！电梯洋房！刚需三居室，楼层很好，证过二,中暨沂河英里 -东夷文化园,3室2厅 | 115.69平米 | 南 | 简装 | 中楼层(共10层)  | 板楼,9人关注 / 5个月以前发布,97,"8,385元/平"
爱琴海电梯洋房 证过二 有储藏室 经典三居室 户型好,爱琴海(兰山区) -北城-沂龙湾大桥,3室2厅 | 108.19平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,35人关注 / 一年前发布,145,"13,403元/平"
沿河大三室，观景效果好，诚心出售毛坯，全天采光,皇山华府 -沂河实验小学,3室2厅 | 127.25平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 塔楼,7人关注 / 一年前发布,85,"6,680元/平"
沂水大队执法监督中队家属院小区环境优美契税满二,沂水大队执法监督中队家属院 -沂水县,3室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,68,"6,869元/平"
贵和美景华庭电梯洋房精装修婚房带储藏室车辆识别,贵和美景华庭 -盛能游乐园,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,84,"7,180元/平"
户型方正    3室     采光好,东岳花园小区 -王羲之故居,3室2厅 | 145.84平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 5个月以前发布,133,"9,120元/平"
兰山小区好房急售，户型好楼层好。,兰山小区 -曹王庄,3室1厅 | 93.14平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,72,"7,731元/平"
证过二省税 精装修 全天采光 看房方便户型好 南北通风,银泰景苑 -火车站,3室2厅 | 112.71平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 2个月以前发布,104,"9,228元/平"
北城二期 品质小区 保利堂悦 过二 好位置 精装未住,保利堂悦 -北城-长沙路西片区,3室2厅 | 142.31平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 3个月以前发布,172,"12,087元/平"
沂蒙路与南京路，蓝钻庄园，法式花园式社区,蓝钻庄园 -北城-汽车北站,3室2厅 | 130.6平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,145,"11,103元/平"
胜利，临沂六，好房源，户型方正，好楼层,旷园小区 -和谐广场,3室2厅 | 117.2平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,98,"8,362元/平"
电梯洋房 一楼带院 带负一 两室朝阳 证过二,海博长安府 -沂河实验小学,3室1厅 | 211.81平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,137,"6,469元/平"
证过两年，简单装修  ，户型方正，位置好,开元香舍里 -北城-实验中学,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,20人关注 / 11个月以前发布,248,"17,715元/平"
兰山城芯涑河旁好楼层，便利出行，出门即上学,临沂市园林局家属院 -隆达客运站,3室2厅 | 95.97平米 | 南 | 简装 | 低楼层(共5层)  | 塔楼,4人关注 / 7个月以前发布,76,"7,920元/平"
金阳花园 简装2居 急售  楼层好,金阳花园 -十五中,2室1厅 | 75.78平米 | 东南 | 简装 | 中楼层(共23层)  | 塔楼,12人关注 / 一年前发布,48,"6,335元/平"
精装修 证过2年 带储藏室，证过二可贷款,华润佳园东区 -双月湖公园,2室1厅 | 88平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,1人关注 / 4个月以前发布,69,"7,841元/平"
宝丽悦府 精装电梯房证过两年省高税高楼层采光好,宝丽悦府 -罗庄医院,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,88,"7,214元/平"
通透格局，楼层好，视野宽阔，采光充足，配套设施齐全,东旭第一城 -河东汽车站,3室2厅 | 120.23平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,18人关注 / 9个月以前发布,85,"7,070元/平"
理想家 毛坯三室   证过二 带车库   一楼带负一,理想家 -北城-鲁商中心,3室2厅 | 160平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,225,"14,063元/平"
户型好，三室朝阳，此户型小区总价低，业主急卖,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 150平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,54人关注 / 5个月以前发布,180,"12,000元/平"
证过二好楼层。出门是涑河 三 xiao50米。浇筑楼质量好,临沂市园林局家属院 -隆达客运站,4室1厅 | 155.81平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,2人关注 / 5个月以前发布,107,"6,868元/平"
证过二，精装修，户型好，诚心出售,青啤早安时区 -青啤广场,3室2厅 | 106.38平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,75,"7,051元/平"
金阳花园 南向70年产权  民水民电双气  看房方便,金阳花园 -十五中,1室1厅 | 51.71平米 | 南 | 简装 | 中楼层(共23层)  | 塔楼,1人关注 / 2个月以前发布,35,"6,769元/平"
此房急售 ！全明方正户型证过二，精装修带车位储藏室,荣盛塞纳荣府 -锦绣外滩,2室1厅 | 88.62平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,17人关注 / 8个月以前发布,79,"8,915元/平"
天泰华府  可观河 172平毛坯 带车位储藏室 有钥匙看房,天泰华府 -北城-临沂第三十五中,3室2厅 | 172.18平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,11人关注 / 8个月以前发布,430,"24,974元/平"
纯洋房社区，好楼层，证过二，全天采光,御山河 -东夷文化园,3室2厅 | 116.52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,31人关注 / 6个月以前发布,97,"8,325元/平"
过二精装东边户 品牌家具家电全部带着 房子诚心卖房,皇山华府 -沂河实验小学,3室2厅 | 127.25平米 | 东南 | 精装 | 中楼层(共17层)  | 塔楼,5人关注 / 一年前发布,104,"8,173元/平"
百联华府 证过五唯一 精装带车位 可观河景 户型方正,百联华府 -北城-澜泊湾,3室2厅 | 153.74平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,4人关注 / 一年前发布,260,"16,912元/平"
龙城雅苑 证过五 带车库 采光好 停车方便 低物业费,龙城雅苑 -平安路,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 8个月以前发布,92,"7,077元/平"
银苑小区  两层独院 证过二  诚心出售,银苑小区 -人民广场,3室2厅 | 114.49平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,1人关注 / 1个月以前发布,145,"12,665元/平"
德馨苑 五室两厅 精装修 证过二 带车位储藏室 急售,德馨苑 -大学城,5室2厅 | 199平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,198,"9,950元/平"
华前新出  精装未住小三居  全装全配 拎包入住 看河景,华前城市广场富华小区C区 -隆达客运站,3室1厅 | 70.12平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,71,"10,126元/平"
证过二，楼层好，户型好，免费车位,金昌白鹭金岸普罗旺斯 -青啤广场,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,110,"9,323元/平"
环球掌舵西区前排河景房景观房全天无遮挡4室带车位,环球掌舵 -北城-长沙路东区,4室1厅 | 156.43平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 11天以前发布,200,"12,786元/平"
孟园馨苑 5楼 108平 45万 带储藏室 包土地出让金,孟园馨苑 -沂河路,3室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 14天以前发布,36,"3,334元/平"
全天采光，领包入住，房东诚心出售,开元 · 阳光水岸 -二十四中,3室1厅 | 125平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 9天以前发布,105,"8,400元/平"
房子收拾很干净，两室朝阳，证过两年,宝丽·盛世华庭 -宝泉寺,3室2厅 | 119平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,54.5,"4,580元/平"
龙泽国际好楼层三室南北双阳台 带南向大车库 证过二,龙泽国际 -双月湖公园,3室2厅 | 109.84平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,65,"5,918元/平"
此房证过两年，格局，高楼层视野开阔，采光充足,金桂园(罗六路) -双月湖公园,3室2厅 | 133.53平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,81,"6,067元/平"
急售 冠亚三期 南北通透 采光好,冠亚星城三期 -国际会展中心,3室2厅 | 127.21平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,95,"7,468元/平"
证过二 书香尚城精装修 不挡不冲好楼层 元宝户型，,书香尚城 -工业园,3室2厅 | 126.11平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,132,"10,468元/平"
开元美郡电梯洋房四室两厅两卫南北两阳台精装，南北,开元美郡 -双月湖公园,4室2厅 | 151.82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,112,"7,378元/平"
涑河城邦 140平满五唯一 精装修南北通楼层好采光充足,涑河城邦 -曹王庄,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,115,"8,215元/平"
宏宸欧缘 证过两年15平南向车库 精装 诚心出售好楼层,宏宸欧缘 -动植物园,3室3厅 | 137.73平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,62,"4,502元/平"
幸福小镇 电梯洋房 精装三居 带30平车库 证过二,农房·幸福小镇 -东方城,3室2厅 | 94.96平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"7,688元/平"
此房证过二全明户型，楼层好。户型方正双气免费停车,鲁建小區 -和谐广场,3室2厅 | 126.42平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,69,"5,458元/平"
汇通天下精装复式 诚心出售！4室2厅124平证过二省税,汇通天下 -东方不夜城,4室2厅 | 124.07平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,36人关注 / 一年前发布,126,"10,156元/平"
天顺家园 客厅通阳台 带大车库,天顺家园 -双月湖公园,3室2厅 | 134.24平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,63,"4,694元/平"
泉府公馆精装三室，证过二元宝户型，全天采光,泉府公馆 -北城-鲁商中心,3室1厅 | 106.28平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,8人关注 / 5个月以前发布,103,"9,692元/平"
两室改三室的精装洋房 沂河高架旁 刚需随时看,都市阳光 -沂河实验小学,3室1厅 | 84.56平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,58,"6,860元/平"
幸福小镇 电梯洋房 精装三居 带30平车库 证过二,农房·幸福小镇 -东方城,3室2厅 | 94.96平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"7,688元/平"
泉府公馆精装三室，证过二元宝户型，全天采光,泉府公馆 -北城-鲁商中心,3室1厅 | 106.28平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,8人关注 / 5个月以前发布,103,"9,692元/平"
康桥民居，大产权，精装修，电梯小高。,康桥名居 -傅庄街道,3室2厅 | 99.98平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,40,"4,001元/平"
阳光水岸滨河旁 3期 精装修 大四室 证过二,开元 · 阳光水岸 -二十四中,4室2厅 | 143.65平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 2个月以前发布,130,"9,050元/平"
位置出行方便，主房106平，带储藏室18，精装修,康桥丽都 -罗庄医院,3室2厅 | 125.39平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 4个月以前发布,79,"6,301元/平"
（河东区）建设局家属院 三居室 证过二 带车库 洋房,建设局家属院 -二十四中,3室2厅 | 140.22平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,93,"6,633元/平"
此房二楼 精装修 楼层好 带车库 免费停车,孟园馨苑 -沂河路,3室2厅 | 118.33平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,50,"4,226元/平"
金阳花园 中等装修 带储藏室 客厅通阳台 证过两年,金阳花园 -十五中,2室2厅 | 84.17平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,6人关注 / 一年前发布,57.3,"6,808元/平"
省级物业！ 证过二舒格兰带15万精装婚房 位置好诚心卖,舒格兰一期 -北城-鲁商中心,3室2厅 | 120.13平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,8人关注 / 4个月以前发布,157,"13,070元/平"
宝丽一号电梯洋房4楼125平+35平南向车库,宝丽一号 -双月湖公园,3室2厅 | 160.39平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,108,"6,734元/平"
金泰华府证过二，带储藏室，带车位!,金泰華府南区 -新闻大厦,3室2厅 | 141.05平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 17天以前发布,255,"18,079元/平"
沂河明珠   精装四室  带车库   多层洋房,沂河明珠 -沂水县,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,119.8,"8,875元/平"
宝丽未来城   火车站片区  好房一套,宝丽未来城 -火车站,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 16天以前发布,85,"6,297元/平"
浮来春公馆四室好房，带地下车位装修未住，诚心出售,浮来春公馆 -北城-五洲湖,4室2厅 | 158.41平米 | 南 北 | 精装 | 30层  | 板楼,1人关注 / 17天以前发布,238,"15,025元/平"
中元御桂园、三室户型、双阳台、好楼层 好装修,中元御桂园 -北城-北城人民医院,3室2厅 | 100.14平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 19天以前发布,106,"10,586元/平"
天鹅湖证过二带储藏室好楼层出行便利,怡景天鹅湖 -双月湖公园,3室1厅 | 135.7平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,75.8,"5,586元/平"
荣盛沂河郡府 1室1厅 西,荣盛沂河郡府 -锦绣外滩,1室1厅 | 47平米 | 西 | 精装 | 中楼层(共15层)  | 板塔结合,0人关注 / 6天以前发布,25,"5,320元/平"
永丰花苑小区，138平，110万，户型通透明亮,永丰花苑 -沂水县,3室2厅 | 133.83平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,82,"6,128元/平"
满二 山水文园 精装三室两厅 带内置楼梯阁楼,山水文园 -沂水县,3室2厅 | 110.62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,75,"6,780元/平"
颐高上海街二期，复式楼层，看房方便，房主诚心卖,颐高上海街二期 -北城-实验中学,3室2厅 | 80平米 | 东 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,96,"12,000元/平"
满五唯一，低楼层，户型不错，价格低,金源路兰陵宿舍 -新闻大厦,3室2厅 | 94.57平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,75,"7,931元/平"
精装六层小洋房，证过二，户型好，采光好,中暨沂河英里 -东夷文化园,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,83,"7,981元/平"
诚心出售 翰林华府三期 复式多层 南北通透 满二 车库,翰林华府西区 -沂水县,3室2厅 | 134.2平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,89.3,"6,655元/平"
中南鲁商樾府  4室2厅2卫  精装修未住  诚心出售,中南|鲁商•樾府 -北城-长沙路东区,4室2厅 | 150平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 12天以前发布,185,"12,334元/平"
翰林华府多层精装137平带车库储藏室满五,翰林华府东区 -沂水县,4室2厅 | 131.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,127,"9,679元/平"
