标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
本房满二年，一梯两户，户型方正，有房本，可按揭。,新起点家园A区 -高新区,3室1厅 | 108.67平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,4人关注 / 8个月以前发布,55,"5,062元/平"
房子户型方正，南北通透，看房方便,东岭新时代(金台区) -陈仓园,2室2厅 | 108.2平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,49.9,"4,612元/平"
新福路电梯2室  精装修  房本满二  好房出售,轩苑盛世 -新福路,2室2厅 | 109.14平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,57.5,"5,269元/平"
业主急售中山路上精装修两室住宅楼一套,中山西路98号 -西关,2室1厅 | 49.04平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,13.9,"2,835元/平"
银泰城旁东风路东段三室精装电梯房南北通透带露台,中粮国际 -上马营,3室2厅 | 127.58平米 | 北 南 | 精装 | 30层  | 板塔结合,3人关注 / 7个月以前发布,62,"4,860元/平"
业主急售经二路精装大三室住宅楼一套,宝隆御邸 -火车站,3室2厅 | 136.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,79.9,"5,839元/平"
产权清晰，精装修大三居，房本满两年,九悦香都 -卧龙寺,3室2厅 | 114平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,62.5,"5,483元/平"
新建路 精装两室 中间楼层 户型方正 拎包入住,滨河花园(渭滨区) -火车站,2室1厅 | 80.2平米 | 东 北 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,37,"4,614元/平"
精装修，家具家电全带，业主急售,联盟花园南区 -上马营,3室2厅 | 117.04平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,28人关注 / 11个月以前发布,49,"4,187元/平"
房子位于高新16路，三居室，南北通透，采光好。,聚丰香树湾 -高新区,3室2厅 | 127.49平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,2人关注 / 4个月以前发布,68,"5,334元/平"
臻和天下 精装两室 采光好 出行便利 业主急售,臻和天下 -高新区,2室2厅 | 92.74平米 | 南 东 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,63.9,"6,891元/平"
宏文路新秦花园2室可按揭业主急售低楼层,新秦花园住宅小区 -大庆路,2室2厅 | 94.79平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 20天以前发布,40,"4,220元/平"
桥南电梯2室，房龄新，简装好楼层，业主诚心出售,城南人家 -桥南,2室2厅 | 96.71平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 17天以前发布,45,"4,654元/平"
天玺台毛坯大三室带诚心出售。看房方便,石鼓天玺台 -石坝河,3室2厅 | 143.54平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 4个月以前发布,90,"6,271元/平"
，视野宽阔，采光充足，配套完善,百翠园 -新福路,2室2厅 | 91.34平米 | 东北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,49.8,"5,453元/平"
桥南广园路两室2楼急售  急售  急售,广元路18号院 -火车站,2室2厅 | 80.75平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 31天以前发布,28.8,"3,567元/平"
壹号大院中间楼层户型方正结构合理采光充足视野宽阔,壹号大院 -火车站,3室2厅 | 134.92平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,85,"6,301元/平"
新建路转盘小区中间楼层两室南北通透首付10万即可安家,宝鸡市城区生产资料有限公司 -火车站,2室2厅 | 86.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,26.5,"3,072元/平"
此房满五年，纯南采光充足，人民公园电梯房,凌云·锦绣 -桥南,2室1厅 | 103.37平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,45,"4,354元/平"
大庆路电梯 中间楼层2室2厅 97平价位可谈,团结花园D区 -大庆路,2室2厅 | 96.9平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,50,"5,160元/平"
高新宝一中隔壁阳光上东朝南2室精装东西全带35万可谈,阳光上东 -高新区,2室2厅 | 47.64平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,33.5,"7,032元/平"
房子全明户型，卫生间干湿分离。视野宽阔中间楼层！,曙光新村 -火车站,2室1厅 | 65.33平米 | 北 | 简装 | 7层  | 板塔结合,3人关注 / 4个月以前发布,18,"2,756元/平"
东高新 左岸新城2室1厅2卫中间楼层 南北通透 精装修,左岸新城 -高新区,2室2厅 | 99.55平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,50,"5,023元/平"
人民公园旁 电梯两室 中楼层 南北朝向  精装,仁和公园华府 -桥南,2室2厅 | 102.77平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,54,"5,255元/平"
吾悦广场旁 高新佳园三期 精装两室 低楼层 房子干净,高新佳园三期 -高新区,2室1厅 | 83.26平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,40,"4,805元/平"
南北通透，全明户型，小高层，中间楼层,金水湾 -新福路,2室2厅 | 93.91平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 一年前发布,46,"4,899元/平"
房本满二无大税 低楼层、交通便利,豪城C天下 -新福路,2室2厅 | 73.22平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,36,"4,917元/平"
三室的房子，电梯中间楼层新小区环境好，人车分流,东岭新时代二期 -陈仓园,3室2厅 | 97.43平米 | 西 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,57.5,"5,902元/平"
电梯俩室，全明户型，保持干净，中间楼层，拎包入住,华夏盛世佳园 -桥南,2室1厅 | 93.06平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,1人关注 / 5个月以前发布,52.5,"5,642元/平"
2015年房，电梯大两室，户型方正，环境优美，出行方便,城南人家 -桥南,2室2厅 | 110.96平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,2人关注 / 5个月以前发布,49,"4,417元/平"
新福路轩苑电梯装修房 有本可按揭,轩苑臻品 -新福路,2室2厅 | 105.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 8个月以前发布,54.9,"5,213元/平"
此房满二，全明户型，楼层好，采光充足，配套设施齐全,万祥尚锦 -大庆路,2室2厅 | 94.99平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,48,"5,054元/平"
一楼小面积，双气齐全，总价低产权明析,石油东山社区 -上马营,1室1厅 | 41.14平米 | 南 北 | 毛坯 | 6层  | 板塔结合,2人关注 / 3个月以前发布,7.8,"1,896元/平"
银泰城旁东风路 大三室 电梯房 简装修 房东诚心出售,中粮国际 -上马营,3室2厅 | 121.93平米 | 西南 | 其他 | 30层  | 板楼,0人关注 / 3个月以前发布,49,"4,019元/平"
桥南大型社区，两居室一楼带地下室 ，生活配套齐全,绿城·逸水院 -桥南,2室2厅 | 96.43平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,41,"4,252元/平"
户型方正，南北通透，采光充足，设施齐全，交通便利。,水韵新苑 -新福路,2室2厅 | 99.35平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,49.5,"4,983元/平"
桥南大两室低楼层，出行方便，户型方正。,姜河花园 -清姜,2室1厅 | 77.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,29.8,"3,854元/平"
水木清华 精装2室 采光好 全明户型 满五唯一,水木清華 -高新区,2室2厅 | 93.31平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"6,302元/平"
宝光路 铁五处 多层3楼 看房方便,铁五处小区 -石坝河,2室1厅 | 65.46平米 | 西南 | 精装 | 7层  | 板楼,1人关注 / 2个月以前发布,25,"3,820元/平"
阳光上东两居室，南北通透，光线好，通风好,阳光上东 -高新区,2室1厅 | 45.8平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 5个月以前发布,26.9,"5,874元/平"
东高新二路 城市枫景 两室精装修 家具家电齐全,城市枫景 -高新区,2室2厅 | 93.27平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,59.5,"6,380元/平"
两室  简装  低楼层 满二随时看房,兰宝小区 -三迪,2室2厅 | 103.75平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,45.8,"4,415元/平"
电梯房，楼龄新，户型方正，环境好。,翡翠城 -桥南,2室1厅 | 83.34平米 | 南 北 | 其他 | 低楼层(共30层)  | 板塔结合,5人关注 / 5个月以前发布,44,"5,280元/平"
烽火新村精装未入住两室有钥匙随时可看,烽火新村 -桥南,2室2厅 | 68.36平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,29.8,"4,360元/平"
高新二路  电梯房 小区紧挨高新大道 满五唯一,山水文苑 -高新区,2室2厅 | 96.86平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,50,"5,163元/平"
房子可以全款和按揭  中间楼层 户型方正 大型社区,陈仓园 -陈仓园,2室2厅 | 91.94平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 23天以前发布,29,"3,155元/平"
金水湾 2室1厅 南,金水湾 -新福路,2室1厅 | 91.02平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,52,"5,714元/平"
轩苑尚城  精装三室  家具齐全前后无遮挡 视野宽阔,轩苑尚城 -清姜,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 18天以前发布,58.7,"5,195元/平"
高新一路，水木清华小3室，电梯房，直接入住！,水木清華 -高新区,3室1厅 | 96.4平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,54,"5,602元/平"
水木清华 精装三室 房本满二 可按揭,水木清華 -高新区,3室2厅 | 142.99平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,89.8,"6,281元/平"
精装修  户型好  可领包入住  交通生活便利,三迪加州阳光小区 -三迪,4室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 6个月以前发布,89.8,"6,508元/平"
低楼层两室   出行方便  户型格局好,兰宝小区 -三迪,2室2厅 | 100.5平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,50,"4,976元/平"
桥南翡翠城精装修电梯房，看房方便,翡翠城 -桥南,3室2厅 | 138平米 | 南 北 | 其他 | 低楼层(共22层)  | 板塔结合,1人关注 / 一年前发布,67,"4,856元/平"
楼龄新，精装电梯房，小三室，领包入住，产权清晰,仁和公园华府 -桥南,3室2厅 | 116.68平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,21人关注 / 一年前发布,58,"4,971元/平"
点进来看看 带地下车位 电梯精装3室 南北通透看房方便,南洋国际花园 -桥南,3室2厅 | 125.11平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,79,"6,315元/平"
同盟路 盟泰园 三室 看房方便,盟泰园 -上马营,3室2厅 | 124.41平米 | 东 南 | 简装 | 17层  | 板塔结合,0人关注 / 4个月以前发布,52,"4,180元/平"
高新一路步行街旁，电梯房，精装修,水木清華 -高新区,3室2厅 | 132.93平米 | 北 南 | 精装 | 低楼层(共24层)  | 板塔结合,5人关注 / 4个月以前发布,76,"5,718元/平"
业主急售.房子满五.电梯房.南北通透.高等精装修.,陈仓园二区 -陈仓园,3室2厅 | 146.97平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,2人关注 / 5个月以前发布,69.8,"4,750元/平"
姜谭路 宝管三区 中间楼层 手续齐全,BSG宝鸡钢管宝管三区 -姜谭路,3室1厅 | 89.3平米 | 西北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,23,"2,576元/平"
大庆路泰森广场旁、电梯2室改3室 支持按揭,通天河小区 -大庆路,3室1厅 | 101.32平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,51,"5,034元/平"
房子所处地段比较好，生活各方面都比较便捷！,派出所家属院 -桥南,3室2厅 | 109.16平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,12人关注 / 一年前发布,37,"3,390元/平"
电梯房，南北通透，户型方正，精装修，费用低。,龙禧花园 -桥南,3室2厅 | 129.38平米 | 南 北 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 4个月以前发布,68,"5,256元/平"
宏文路第三人民医院旁两室中间楼层 看房有钥匙,新秦花园住宅小区 -大庆路,2室1厅 | 86.16平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,31.8,"3,691元/平"
此房满五，布局合理，位于火车站繁华地段，交通便利,天利大厦 -火车站,2室2厅 | 106.13平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,39,"3,675元/平"
此房位于上马营，地段好，电梯房。,佳景园 -上马营,3室1厅 | 107.62平米 | 东南 | 精装 | 18层  | 板楼,11人关注 / 一年前发布,47,"4,368元/平"
姜谭路 东方御景 精装修 全明户型 价位可谈 看房方便,东方御景 -姜谭路,3室2厅 | 127.31平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,65,"5,106元/平"
电梯洋房，一梯两户，看房有钥匙.,聚丰一城江山I期 -石坝河,3室2厅 | 125.65平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,2人关注 / 8个月以前发布,76,"6,049元/平"
银泰城旁 低楼层 地处繁华地段,宝鸡机床集团公司住宅二区 -上马营,2室2厅 | 79.87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,31.5,"3,944元/平"
桥南大三室，户型方正，小区环境优美，出行方便。,绿舟小区 -桥南,2室2厅 | 92.13平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,42,"4,559元/平"
东风路、银泰城、大庆路、东岭新天地,中粮国际 -上马营,2室2厅 | 98.64平米 | 南 北 | 精装 | 30层  | 板楼,1人关注 / 1个月以前发布,51,"5,171元/平"
出售凌云现代城 精装修两室 中间楼层 房本满两年,凌云·现代城 -高新区,2室2厅 | 98.18平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,65,"6,621元/平"
高新四路 电梯两室 小高层 地理位置好,高新永泰茗苑东区 -高新区,2室2厅 | 88.57平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,52,"5,872元/平"
金台大道银泰旁一楼精装两室南北通透，诚心出售。,东风路31号住宅小区 -上马营,2室1厅 | 66.76平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,5人关注 / 4个月以前发布,19.9,"2,981元/平"
急售大庆路 电梯2室46.5万,西建领秀 -大庆路,2室2厅 | 89.55平米 | 东 | 简装 | 中楼层(共26层)  | 板楼,19人关注 / 一年前发布,43.6,"4,869元/平"
南北通透格局、楼层好、视野宽阔、采光充足、配套齐,绿城·逸水院 -桥南,2室2厅 | 93.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,42,"4,491元/平"
水木清华三期，精装电梯小三室，拎包即刻入住,水木清華 -高新区,3室1厅 | 80.55平米 | 西 北 | 精装 | 低楼层(共24层)  | 板楼,14人关注 / 6个月以前发布,51.8,"6,431元/平"
大庆路  精装房    面积大    价位便宜,宝鸡供电局东区家属院 -大庆路,2室2厅 | 90.09平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,33,"3,664元/平"
桥南 清姜 宝成社区 三室南北向 厨卫全明 采光好,宝成社区西苑小区 -清姜,3室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,35.8,"3,315元/平"
位置优越各教育机构均在百米距离生活配套设施齐全。,百翠园C区 -新福路,2室1厅 | 90.76平米 | 南 | 精装 | 高楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,49,"5,399元/平"
一梯2户，南北通透，生活便利，配套设施齐全。,百翠园C区 -新福路,2室1厅 | 86.1平米 | 南 北 | 简装 | 低楼层(共15层)  | 塔楼,0人关注 / 2个月以前发布,40.8,"4,739元/平"
三迪金域*一期现房出售，业主急售。,三迪金域蓝湾 -三迪,3室2厅 | 118.92平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,5人关注 / 11个月以前发布,76,"6,391元/平"
出售兰亭雅居 毛坯三室 房本满两年 随时可看房,蘭亭雅居 -高新区,3室2厅 | 127.64平米 | 东南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,54,"4,231元/平"
出售香树湾 小三室 中间楼层 有房本可按揭,聚丰香树湾 -高新区,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,56,"5,138元/平"
