标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
万达广场E区地理位置繁华，出行方便,万达广场E区 -路南区,2室1厅 | 60.39平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,62,"10,267元/平"
这个房子是老本的，采光好户型好，诚心卖，,鹭港小区 -路北区,2室2厅 | 99.96平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,4人关注 / 5个月以前发布,131,"13,106元/平"
南北通透，精装修，公摊小，房主诚心出售，,河头里 -丰南区,2室2厅 | 86.01平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,65,"7,558元/平"
房子老本满五唯一，税费低，格局好，采光通风好。,星河湾 -丰南区,2室1厅 | 76.29平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,4人关注 / 4个月以前发布,52,"6,817元/平"
满五唯一，精装修保养好，业主诚心出售，价格能谈！,华润▪橡树湾 -路北区,2室1厅 | 88.73平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,10人关注 / 4个月以前发布,160,"18,033元/平"
两年前精装，祥和里精装两室，诚意出售,祥和里 -路北区,2室1厅 | 58平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,68,"11,725元/平"
此房老本，精装修，南北通的两室！,凤城·天鹅湖 -路南区,2室2厅 | 93.17平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,6人关注 / 4个月以前发布,152,"16,315元/平"
万达小两室南北通，精装未住，老本,万达广场E区 -路南区,2室1厅 | 69.47平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 4个月以前发布,81,"11,660元/平"
此房满五唯一 楼层好 视野开阔 拎包入住 随时看房,电建地产首郡 -路北区,2室2厅 | 86.45平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,142,"16,426元/平"
天源骏景 1室1厅 南,天源骏景 -路北区,1室1厅 | 39.94平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,14人关注 / 9个月以前发布,45,"11,267元/平"
急售德源里老本南北通两居室，小区C位,德源里 -路北区,2室1厅 | 58.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"9,418元/平"
房子价位低 户型好 通风性好 楼间距大 采光好,钓鱼台南楼 -路北区,2室1厅 | 58平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,10人关注 / 一年前发布,40,"6,897元/平"
诚心出售凤南小区，楼层适中，通风采光不受限,凤南 -路北区,2室1厅 | 56.97平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,2人关注 / 8个月以前发布,67,"11,761元/平"
龙庭时代；房主诚心卖，随时可以看房精装修位置便利,龙庭时代 -路北区,2室1厅 | 91平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,6人关注 / 一年前发布,90,"9,891元/平"
此房子是93年的房子，老本，接受贷款，适宜居住,祥和里 -路北区,2室1厅 | 57.96平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,45,"7,764元/平"
老本唯一，精装修，成熟配套，玖中,世博广场 -路南区,2室1厅 | 78.7平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,28人关注 / 4个月以前发布,88,"11,182元/平"
小区地理位置好，配套齐全，可公积金贷款。,德源里 -路北区,2室1厅 | 57.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 4个月以前发布,79,"13,645元/平"
仁泰里 两室 中间楼层 楼间距大 南北通透 价格可议,仁泰里 -路北区,2室1厅 | 85.05平米 | 北 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,70,"8,231元/平"
双湖三期、H户型、精装婚房、拎包入住,双湖锦苑三期 -丰南区,2室1厅 | 84.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,75,"8,839元/平"
一层院子20平米，精装修路北实骁，老本可贷款 诚心卖,华岩东里铁路楼 -路北区,2室1厅 | 52.89平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,1人关注 / 1个月以前发布,52,"9,832元/平"
美域十九区 中高楼层 两室南北通 不挨铁路,新天地美域十九区 -路北区,2室1厅 | 91.18平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 4个月以前发布,101,"11,077元/平"
此房老本，南北通透格局，中间层，视野开阔，采光充足,德源里 -路北区,2室1厅 | 58.61平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,66,"11,261元/平"
此房真正的南北通格局，房主好说话，楼层适中,湖岸新城 -丰南区,3室2厅 | 121平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,67,"5,538元/平"
，阳光幼儿园，大拇指幼儿园。。,龙泉北里新景楼 -高新区,3室2厅 | 86.31平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,6人关注 / 一年前发布,130,"15,062元/平"
嘉诚华庭 3室2厅 南 北,嘉诚华庭 -丰南区,3室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,108,"8,438元/平"
此房楼层好，全天采光，户型方正,容和住宅小区 -丰南区,3室1厅 | 138.5平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,117,"8,448元/平"
老本税费低 中间层 不临街 随时看房，业主诚心出售,天元花园 -路北区,3室2厅 | 108.32平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,67人关注 / 8个月以前发布,156,"14,402元/平"
恒大学庭一期，远洋城吾悦广场双商圈，精装修未住。,恒大学庭 -高新区,3室2厅 | 122.62平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,4人关注 / 2个月以前发布,188,"15,332元/平"
万达商品大两室 老本省税 户型方正明厨明卫 全天采光,万达广场D区 -路南区,2室2厅 | 88.96平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,18人关注 / 10个月以前发布,94,"10,567元/平"
南北通透格局 交通便利 配套齐全 有本可贷款 有钥匙,富丽国际花园 -路北区,3室2厅 | 141.53平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,34人关注 / 10个月以前发布,132,"9,327元/平"
格局好通风效果好 采光好出行方便房主诚心出售,白石家园 -丰南区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,5人关注 / 4个月以前发布,60,"6,000元/平"
11层洋房，视野无遮挡，全天采光，双明卫，餐客通透,新城澜樾府 -路北区,3室2厅 | 141.31平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,16人关注 / 7个月以前发布,188,"13,305元/平"
唐山碧桂园凤凰首府 3室2厅 南 北,唐山碧桂园凤凰首府 -丰润区,3室2厅 | 105.74平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,95,"8,985元/平"
万科精装三室南北通精装新房出售,万科金域缇香 -路北区,3室1厅 | 116平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,17人关注 / 一年前发布,255,"21,983元/平"
锦绣花苑二期，楼龄新，环境好，交通便利,荣盛锦绣花苑二期 -丰南区,3室2厅 | 122.9平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,27人关注 / 一年前发布,102,"8,300元/平"
君熙太和 有本 全天采光无遮挡 钥匙房,君熙太和 -丰南区,3室2厅 | 118.16平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,113,"9,564元/平"
房子是商品房  全款买的 有房本 户型好,世纪瑞庭东区 -高新区,3室1厅 | 116.81平米 | 北 南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,128,"10,958元/平"
南北通透 毛坯房 任意装修 仅临惠丰湖,君熙太和 -丰南区,3室2厅 | 164.15平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,8人关注 / 6个月以前发布,145,"8,834元/平"
和泰里小三居，带装修 老本可贷款，随时看房,和泰里小区 -路南区,3室1厅 | 102平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,95,"9,314元/平"
世纪瑞庭 有本 三室 价位好商量,世纪瑞庭东区 -高新区,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,10人关注 / 5个月以前发布,125,"11,468元/平"
房子有本可贷款，楼层好全天采光，随时看房,银丰小区 -丰南区,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,62,"5,795元/平"
丰南商厦北面晨龙家园三室南北通，有本可贷款,荣盛·晨龙家园 -丰南区,3室2厅 | 118.74平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,11人关注 / 9个月以前发布,72,"6,064元/平"
锦绣天城 直通唐山市 设施齐全 交通便利 环境采光好,荣盛锦绣天城 -丰南区,3室2厅 | 117.44平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,9人关注 / 一年前发布,96,"8,175元/平"
锦绣天地，好房源，赶快下手抢购吧。。。,锦绣天地 -丰南区,3室1厅 | 93.4平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,67,"7,174元/平"
凤兴园大三室 带装修可贷款 市区好位置 随时看房,凤兴园 -路北区,3室2厅 | 173.31平米 | 北 南 | 简装 | 低楼层(共22层)  | 板楼,5人关注 / 3个月以前发布,205,"11,829元/平"
业主外地置业，小高层，117㎡，三居，*低价出售,尚品名都二期 -路北区,3室2厅 | 117.14平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,22人关注 / 一年前发布,159,"13,574元/平"
龙云楼精品大两室，南北通。户型方正,龙云楼 -路北区,2室2厅 | 95.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,117,"12,213元/平"
此房可贷款，本小区经典南北通 ，业主诚心出售,中建二局四公司家属楼 -路北区,3室2厅 | 122.92平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,107,"8,705元/平"
南北通透，户型方正，明厨明卫，全天采光,吾悦和府 -路北区,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,2人关注 / 9个月以前发布,160,"13,009元/平"
南北通透 三室南客厅房子   商品房,世纪瑞庭东区 -高新区,3室2厅 | 106.9平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,7人关注 / 9个月以前发布,119,"11,132元/平"
三个阳台 全明三居室 老本 一梯两户 小高层 全天采光,新华联国花园 -路南区,3室1厅 | 124.92平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 3个月以前发布,180,"14,410元/平"
碧桂园天悦湾 中间位置 中间楼层 全天采光 拎包入住,碧桂园天悦湾一期 -丰南区,4室2厅 | 143.5平米 | 北 南 | 精装 | 高楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,145,"10,105元/平"
荣盛锦绣天城 3室2厅 南,荣盛锦绣天城 -丰南区,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,112,"9,656元/平"
此房房龄较新，南北通透大三室，房子有地下室16平米。,运河·地质人家小区 -丰南区,3室2厅 | 127.88平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,71,"5,553元/平"
新城澜樾府 3室2厅 南 北,新城澜樾府 -路北区,3室2厅 | 131.25平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,10人关注 / 8个月以前发布,155,"11,810元/平"
一层带花园带地下室带两个车位。,天元花园 -路北区,3室2厅 | 145.08平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,16人关注 / 4个月以前发布,268,"18,473元/平"
万科物业，恒泰悦季，洋房出售，可随意装修,龙成里恒泰悦季 -路北区,3室2厅 | 124.5平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,24人关注 / 4个月以前发布,139.5,"11,205元/平"
有钥匙！近期必卖！三阳开泰三居室，诚心出售,橡树湾·贰号院 -高新区,3室2厅 | 127.96平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,7人关注 / 4个月以前发布,172,"13,442元/平"
21小区 2室1厅 南 北,21小区 -丰润区,2室1厅 | 77.59平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 27天以前发布,69.8,"8,997元/平"
团结小区 2室1厅 南 北,团结小区 -丰润区,2室1厅 | 63平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 23天以前发布,49.8,"7,905元/平"
精装两室，楼层好采光好，家具家电齐全，,荣盛锦绣天城 -丰南区,2室1厅 | 89.5平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 16天以前发布,89,"9,945元/平"
安联优悦城2居 95平米南北通透 全天采光 毛坯房新本,安联优悦城 -路北区,2室2厅 | 95.01平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 30天以前发布,87,"9,157元/平"
富星园精装修两居室业主诚心出售,富星园 -丰润区,2室2厅 | 88.74平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 23天以前发布,31,"3,494元/平"
金色家园 南北通透 老本可贷款 拎包入住,金色家园 -路北区,3室1厅 | 137平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,190,"13,869元/平"
诚意出售，好地段，中间楼栋，中间楼层。,吾悦和府 -路北区,3室1厅 | 115.95平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 17天以前发布,159,"13,713元/平"
南北通透 老本唯一 可贷款 首批电梯房 拎包入住,金色家园 -路北区,3室2厅 | 146.73平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 28天以前发布,180,"12,268元/平"
红堡四期 着急卖 随时看房 价位可议 付款方式灵活,红堡天熙 -路南区,2室1厅 | 99平米 | 南 | 简装 | 高楼层(共20层)  | 暂无数据,1人关注 / 25天以前发布,115,"11,617元/平"
荣盛·晨龙家园 2室2厅 南,荣盛·晨龙家园 -丰南区,2室2厅 | 73.28平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,58,"7,915元/平"
星河湾 2室1厅 南 北,星河湾 -丰南区,2室1厅 | 90平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 18天以前发布,57,"6,334元/平"
双湖锦苑二期 2室1厅 南 北,双湖锦苑二期 -丰南区,2室1厅 | 109.01平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 26天以前发布,78,"7,156元/平"
此房老本，税点低， 采光好，户型好 楼层好,光明西里丙区 -路北区,2室1厅 | 54.56平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,79,"14,480元/平"
双湖三期的小两室，精装，带小院，双证老本，适合养老,双湖锦苑三期 -丰南区,2室1厅 | 62.5平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,13人关注 / 10个月以前发布,59.8,"9,568元/平"
楼龄新带电梯，小区环境好，配套齐全，出行方便,新华联广场 -路南区,2室1厅 | 65.4平米 | 南 | 简装 | 高楼层(共30层)  | 板楼,2人关注 / 2个月以前发布,47,"7,187元/平"
远洋城商圈 精装修  楼层好 交通便利 配套设施齐全,恒大华府 -路北区,2室1厅 | 97.84平米 | 西 | 其他 | 高楼层(共20层)  | 板楼,26人关注 / 4个月以前发布,57.8,"5,908元/平"
永乐园 两室南北通 中间楼层 老本过户费低,永乐园西区 -路南区,2室2厅 | 98.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,109,"11,074元/平"
草场街  全阳两室 坡下的  不临街不把边 老本 诚心卖,草场社区 -路北区,2室1厅 | 49.86平米 | 南 | 简装 | 高楼层(共4层)  | 板楼,2人关注 / 5个月以前发布,34,"6,820元/平"
格局好，楼层好，视野宽阔，采光充足,万达广场F区 -路南区,2室2厅 | 87.09平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,4人关注 / 一年前发布,98,"11,253元/平"
龙泉北楼 1室1厅 南,龙泉北楼 -高新区,1室1厅 | 36.16平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 6个月以前发布,43,"11,892元/平"
老本，南北通透，两居室，好楼层，采光充足，交通便利,金色和园 -路南区,2室2厅 | 89.22平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,115,"12,890元/平"
光明南里精装修干净三层，房主诚心出售,光明南里 -路北区,1室1厅 | 36平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,26人关注 / 9个月以前发布,35,"9,723元/平"
纺织小区 1室1厅 南,纺织小区 -丰润区,1室1厅 | 32.19平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 11天以前发布,29.5,"9,165元/平"
亨润世家 2室2厅 南 北,亨润世家 -丰润区,2室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,70,"7,866元/平"
户型好，楼层好，视野开豁，采光足，业主诚心卖,鹭港小区 -路北区,2室2厅 | 98.57平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,138,"14,001元/平"
房主诚心出售，有本可贷款采光好 ，交通便利,正泰里惠民园 -路北区,2室1厅 | 68.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,47,"6,908元/平"
高各庄，老本，业主诚心出售手。,高各庄社区 -路北区,2室1厅 | 50.14平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 8个月以前发布,32,"6,383元/平"
