标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
此房源装修保养好，成交快，欢迎大家来带看。,州委机关宿舍 -三岔口片区,4室2厅 | 128.68平米 | 南 | 其他 | 中楼层(共4层)  | 平房,12人关注 / 8个月以前发布,106,"8,238元/平"
优质清水房  带母子车位   房东比较诚心出售,地税家园 -老城片区,3室2厅 | 143.03平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 19天以前发布,130,"9,090元/平"
风情园，海河旁，精装套四，诚心出售。,花园路2号 -城南片区,4室2厅 | 145.16平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,119.8,"8,253元/平"
中意广场旁精装套三双卫家具家电齐全拎包入住,西昌•中迪国际 -城南片区,3室1厅 | 82.76平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,118,"14,259元/平"
长安片区航天阳光精装三室诚心出售,航天阳光 -长安片区,3室2厅 | 128.87平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,148,"11,485元/平"
此房标准套三，户型方正，采光充足。,马水河经信局 -市中心片区,3室2厅 | 81.73平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,2人关注 / 10个月以前发布,83.8,"10,254元/平"
此房全新精装修套二，南北朝向采光好，拎包r..,金地丽都 -三岔口片区,2室1厅 | 83平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 4天以前发布,98,"11,808元/平"
万达旁精装套三家具家电齐全房东诚心出售,春天阳光 -三岔口片区,4室1厅 | 115.48平米 | 西南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 3天以前发布,150,"12,990元/平"
小区环境优美，风景与安静收纳一体，全龄段人群居住.,金色夏威夷 -三岔口片区,4室2厅 | 100.44平米 | 东 东南 南 | 精装 | 高楼层(共9层)  | 板塔结合,3人关注 / 11个月以前发布,198,"19,714元/平"
风情园海河旁 海河帝景 电梯套四 家具家电齐全,海河帝景B区 -城南片区,4室2厅 | 167.88平米 | 西南 | 精装 | 中楼层(共12层)  | 塔楼,1人关注 / 1个月以前发布,162,"9,650元/平"
长安片区高档小区电梯公寓  有钥匙方便看房,中信国际花城 -长安片区,2室1厅 | 83.68平米 | 东 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,65,"7,768元/平"
月亮湖外滩套二精装朝东，拎包入住。,外滩16区 -城南片区,2室1厅 | 53.91平米 | 东 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 1个月以前发布,65,"12,058元/平"
万达广场湿地公园精装修套二低价出售,鑫海国际 -三岔口片区,2室1厅 | 55.54平米 | 东 | 精装 | 中楼层(共18层)  | 塔楼,7人关注 / 一年前发布,69.5,"12,514元/平"
高档住宅小区，朝东南户型，采光不错,鑫海国际 -三岔口片区,1室1厅 | 48平米 | 北 | 精装 | 低楼层(共18层)  | 塔楼,3人关注 / 一年前发布,63,"13,125元/平"
灵龙尚居 2室2厅 南,灵龙尚居 -城南片区,2室2厅 | 72.8平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 17天以前发布,95,"13,050元/平"
西部新城 阳光城文澜府 精装洋房 套四双卫 带车位出售,阳光城文澜府 -西部新城片区,4室2厅 | 116平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,135,"11,638元/平"
西客站旁，中信国际花园。环境舒适，交通便利停车方便,中信国际花城 -长安片区,3室2厅 | 126.56平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,109,"8,613元/平"
长安片区，套三好房房东诚心出售,宁昌小区 -长安片区,3室2厅 | 124.4平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,92,"7,396元/平"
此房满二， 采光好， 交通便利，房龄新，户型方正,航天道1号 -长安片区,2室2厅 | 74.48平米 | 北 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,79,"10,607元/平"
南坛菜市旁精装大三室 装修保养好 拎包入住,南坛小区C区 -三岔口片区,3室2厅 | 131.59平米 | 南 | 精装 | 6层  | 暂无数据,2人关注 / 9个月以前发布,126.6,"9,621元/平"
房子朝东 采光好 日照充足 精装修  房东维护较好,彩云府 -三岔口片区,4室2厅 | 132.05平米 | 东 | 精装 | 中楼层(共19层)  | 塔楼,2人关注 / 一年前发布,190,"14,389元/平"
西客站旁 交通方便 配套齐全 标准套三,月城丽景 -长安片区,3室2厅 | 112.17平米 | 东北 | 简装 | 高楼层(共13层)  | 板楼,3人关注 / 7个月以前发布,94.6,"8,434元/平"
业主诚心出售   精装套三  装修8成新,西昌市第六中学校教师保障性住房 -三岔口片区,3室2厅 | 99.57平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 2个月以前发布,97.5,"9,793元/平"
此房满五唯一，精装修，明厨明卫，剪力墙，户型方正,阳光大厦 -市中心片区,2室2厅 | 81.51平米 | 东 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,60,"7,362元/平"
三岔口片区带车位精装修好房低价出售了。,康铜小区 -三岔口片区,3室1厅 | 118.83平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,97,"8,163元/平"
此房满五，阳光学，楼层好，朝向好，配套设施齐全,交通局第二宿舍 -三岔口片区,4室2厅 | 107.29平米 | 西南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,105.4,"9,824元/平"
长安菜市旁，标准精装套三，配套齐全，出行方便,轧钢厂 -长安片区,3室2厅 | 85.1平米 | 东南 | 精装 | 低楼层(共4层)  | 平房,0人关注 / 1个月以前发布,79.8,"9,378元/平"
时代广场精装修无甲醛，适合有老人和小孩的家庭居住,时代广场 -市中心片区,2室1厅 | 90.77平米 | 南 北 | 精装 | 13层  | 板塔结合,0人关注 / 一年前发布,124.8,"13,750元/平"
此房格局通透，楼层好，采光好，房东诚心出售,鑫海国际 -三岔口片区,2室2厅 | 69.17平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 21天以前发布,85,"12,289元/平"
楼层高采光充足，视野开阔，可拎包入住,昌平建材小区 -城南片区,3室2厅 | 120.94平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 8个月以前发布,105,"8,682元/平"
航天商业广场 3室2厅 西,航天商业广场 -城南片区,3室2厅 | 112.45平米 | 西 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,95.8,"8,520元/平"
此房为标准的套四双为  楼层好户型好  彩光好,五十三号家园 -老城片区,4室2厅 | 169.7平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,156,"9,193元/平"
大成 龙眼井街电梯标准套三出售,驰骋汽贸综合楼小区 -市中心片区,3室2厅 | 138平米 | 东南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 7个月以前发布,99.8,"7,232元/平"
市心此房满五 税费低，大客厅，使用面积大，采光充足,越西县驻西昌干休所 -市中心片区,3室2厅 | 126.7平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,98,"7,735元/平"
房子手续齐全，出行方便，户型方正，居住方便舒适,马水河街64号 -老城片区,3室2厅 | 70平米 | 东南 西南 | 精装 | 中楼层(共4层)  | 平房,5人关注 / 9个月以前发布,69.6,"9,943元/平"
精装龙眼井套四，家具家电齐全，关门卖，停车方便。,凉山州恒力建筑公司 -市中心片区,4室2厅 | 112.54平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 1个月以前发布,106,"9,419元/平"
出行方便，户型方正，居住购物方便舒适,乐荟城 -三岔口片区,4室2厅 | 164.7平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,3人关注 / 11个月以前发布,222,"13,480元/平"
宁远桥西昌学院 电梯标准精装套三 朝南家具家电齐全,西昌家园 -老城片区,3室2厅 | 108.08平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,79.5,"7,356元/平"
西客站旁，精装修套三双卫，带大平台，带花园。,航天阳光 -长安片区,6室4厅 | 94.77平米 | 西南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 19天以前发布,140,"14,773元/平"
房子带车位，户型方正，交通便利，一医院旁，地段好,州政协小区 -老城片区,4室2厅 | 130平米 | 东南 | 其他 | 低楼层(共6层)  | 平房,0人关注 / 21天以前发布,113.5,"8,731元/平"
此房位于小区中庭 西南朝向 视野好 采光好 装修保养好,领地凯旋公馆 -三岔口片区,2室1厅 | 60平米 | 东南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 24天以前发布,76,"12,667元/平"
邛海十七度 标准套一 精装修 拎包入住,邛海17度 -邛海片区,1室1厅 | 40.42平米 | 南 北 | 精装 | 高楼层(共15层)  | 塔楼,0人关注 / 22天以前发布,51.5,"12,742元/平"
月亮湖公园一路之隔 业主精装修40万 中楼层 正对中庭,外滩16区 -城南片区,4室2厅 | 135平米 | 东 | 其他 | 高楼层(共14层)  | 塔楼,5人关注 / 11个月以前发布,156,"11,556元/平"
此房满五不唯一，房东诚心出售，精装修家具家电齐全,西昌市第六中学校教师保障性住房 -三岔口片区,3室2厅 | 90.37平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 28天以前发布,79.3,"8,776元/平"
小区环境好，房龄新，精装电梯套三，诚心出售,金色极地 -西部新城片区,3室2厅 | 86.3平米 | 北 | 精装 | 中楼层(共18层)  | 板塔结合,8人关注 / 一年前发布,83.5,"9,676元/平"
西部新城房龄新，出行方便，户型方正，居住方便舒适,月城丽景二期 -西部新城片区,3室2厅 | 108.5平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,88,"8,111元/平"
月城家园小区，好房出售，家具齐全，拎包入住，精装修,月城家园 -长安片区,3室2厅 | 114.5平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,87,"7,599元/平"
，采光好，精装修带家具，交通方便,领地凯旋公馆 -三岔口片区,3室1厅 | 88.8平米 | 东南 | 其他 | 低楼层(共20层)  | 板塔结合,0人关注 / 23天以前发布,138,"15,541元/平"
一梯两户电梯入户洋房 精装四室带全屋品牌家具家电,阳光城文澜府 -西部新城片区,4室2厅 | 116平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 12天以前发布,135,"11,638元/平"
标准套二    精装修  关门卖  户型方正  采光好,碧海蓝天 -城南片区,2室1厅 | 89.42平米 | 东 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 4天以前发布,90,"10,065元/平"
星月湖公园边上，航天套三清水房新小区,领地锦绣蘭台 -西部新城片区,3室2厅 | 95平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,80,"8,422元/平"
此房满五年，出行方便，户型方正，中间楼层,鑫海小区 -市中心片区,2室2厅 | 97.13平米 | 东南 | 其他 | 中楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,81,"8,340元/平"
东延线标准套三中间楼层，诚心出售,山水阳光新城 -三岔口片区,3室2厅 | 99.8平米 | 西 | 简装 | 18层  | 板塔结合,17人关注 / 一年前发布,106,"10,622元/平"
此房满二，户型方正，楼层适中，采光好，带车位,西昌市地税局宁远小区职工住宅 -老城片区,3室2厅 | 122.57平米 | 北 | 其他 | 7层  | 平房,0人关注 / 2个月以前发布,98,"7,996元/平"
此房精装修，南北朝向，阳光，采光好，拎包入住。,金地丽都 -三岔口片区,3室1厅 | 115.97平米 | 西南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,126.8,"10,934元/平"
领地凯旋国际公馆 精装好房出售 价格美丽,领地凯旋公馆 -三岔口片区,3室2厅 | 88平米 | 南 | 其他 | 高楼层(共19层)  | 塔楼,6人关注 / 10个月以前发布,125,"14,205元/平"
州卫生局 4室2厅 南,州卫生局 -三岔口片区,4室2厅 | 130.17平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,114.8,"8,820元/平"
采光好，大套四，户型方正，小区位置好，居住舒适,乐荟城 -三岔口片区,4室2厅 | 163.2平米 | 东 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 10个月以前发布,200,"12,255元/平"
相邻月亮湖公园，出行方便，小区环境好，户型方正。,凉山彝族自治州疾病预防控制中心 -城南片区,2室2厅 | 79.08平米 | 西北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 16天以前发布,74.6,"9,434元/平"
阳光路苑三期 2室1厅 南,阳光路苑三期 -城南片区,2室1厅 | 88.3平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,65,"7,362元/平"
邛海湿地公园旁威尼斯半岛阳光学期精致户型阳光充足,鹭洲·威尼斯半岛 -三岔口片区,1室1厅 | 44.51平米 | 南 | 简装 | 中楼层(共13层)  | 塔楼,0人关注 / 一年前发布,58.2,"13,076元/平"
城东湿地万达旁，精装大一室，满二,鑫海国际 -三岔口片区,1室1厅 | 55.63平米 | 东 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,75,"13,482元/平"
月城广场 达达百货楼上 精装套一,达达春天百货 -市中心片区,1室1厅 | 48.6平米 | 东南 | 精装 | 高楼层(共19层)  | 塔楼,1人关注 / 8个月以前发布,55,"11,317元/平"
城东万达旁精装一居室，全新新中式香樟木家具,鑫海国际 -三岔口片区,2室1厅 | 48.56平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,69.8,"14,374元/平"
城东万达旁大一居，精装修全新新中式香樟木家具,鑫海国际 -三岔口片区,2室1厅 | 48.56平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,69.8,"14,374元/平"
两梯4户，优质房源，价格可谈，关门出售,山水阳光新城 -三岔口片区,3室2厅 | 123平米 | 西北 | 精装 | 18层  | 板塔结合,2人关注 / 一年前发布,165.8,"13,480元/平"
月亮湖公园旁电梯阳光精装修家具家电齐全拎包入住,合信南山别墅 -城南片区,3室1厅 | 76.52平米 | 东南 | 精装 | 中楼层(共9层)  | 塔楼,3人关注 / 3个月以前发布,102,"13,330元/平"
此房带有16平露台，采光好视野广阔。。。。。,蜀鑫·海河上院 -西部新城片区,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 3个月以前发布,124,"11,482元/平"
位置是西部新城比较好的位置，房子在不临主干道，安静,九洲.云海间 -西部新城片区,3室2厅 | 86.3平米 | 西北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,99.8,"11,565元/平"
此房属于洋房，户型方正，小区环境优美，一级物业公司,邦泰花园城三期 -西部新城片区,3室2厅 | 75平米 | 西南 | 简装 | 高楼层(共10层)  | 板塔结合,1人关注 / 一年前发布,112.6,"15,014元/平"
此房为标准的套三双卫  户型好采光好  海景房,邛海湾·长岛 -三岔口片区,3室2厅 | 81.77平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 3个月以前发布,116,"14,187元/平"
东延线万达附件铁投邛海壹号套三带大平台,铁投·邛海壹号 -三岔口片区,3室2厅 | 83平米 | 东北 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,126.5,"15,241元/平"
万达广场朝南大阳台套三诚心出售,乐荟城 -三岔口片区,3室2厅 | 115.92平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,156,"13,458元/平"
沃尔玛旁边标准大套三  错层设计,世纪花园 -城南片区,3室2厅 | 134平米 | 东南 | 简装 | 低楼层(共7层)  | 塔楼,12人关注 / 8个月以前发布,115,"8,583元/平"
西部新城洋房品质小区套三好房出售，带人防车位！！！,九洲.云海间 -西部新城片区,3室1厅 | 99.8平米 | 东 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,90,"9,019元/平"
月亮湖公园   好房出售    标准套三,南山国际社区 -城南片区,3室2厅 | 83.7平米 | 西南 | 精装 | 低楼层(共9层)  | 板塔结合,1人关注 / 一年前发布,111,"13,262元/平"
昌平  电梯中间楼层 大户型 拎包入住,昌平建材小区 -城南片区,3室1厅 | 126平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 6个月以前发布,105.8,"8,397元/平"
邛海湾B区，东部，春城，大平层，房子270度视野无遮挡,合信邛海湾B区 -三岔口片区,3室2厅 | 82平米 | 西北 | 毛坯 | 高楼层(共20层)  | 塔楼,1人关注 / 3个月以前发布,87.9,"10,720元/平"
