标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
枫景上东！一楼带院！标准三室！满五唯一！随时看房！,绿都枫景上东 -宝龙,3室2厅 | 86.15平米 | 南 西南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,75,"8,706元/平"
东区高铁旁 三英里 全新精装 老证 看房随时,诚城三英里 -高铁东站,3室2厅 | 117.52平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,91,"7,744元/平"
理想学府电梯洋房6楼，3室，毛坯,永恒理想学府 -橄榄城,3室2厅 | 128.71平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,66.8,"5,190元/平"
精装修步梯标准全明三室两厅两卫三居室,融通香槟小镇 -新乡县,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 一年前发布,68,"5,667元/平"
宝龙旁，新区东1中，经典3房户型，老证可按揭，随时看,辉龙阳光城 · 怡苑 -市政府,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,128.8,"9,007元/平"
银星小区 1楼 2室 南北通 户型好 小区幽静 交通便利,银星小区(解放大道) -市中心医院,2室2厅 | 92.3平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,56,"6,068元/平"
建业壹号城邦好楼层好位置视野好精装拎包即住,建业壹号城邦 -宝龙,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,98,"8,377元/平"
天鹅第  一城，精装，中间楼层，边户，南北通透,天鹅第一城一期 -市中心医院,3室2厅 | 120.79平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,86.9,"7,195元/平"
光彩大市场 美大花园  电梯可上到三楼  精装修三室,美大花园二期 -光彩,3室2厅 | 111.85平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 1个月以前发布,49.8,"4,453元/平"
新飞花园大3室，双气干净，带地下室，南北双阳台,新飛花園 -橄榄城,3室2厅 | 127.37平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,86,"6,752元/平"
诚心出售!电梯中层!拎包入驻！出行方便,大景城 -伟业,3室2厅 | 113.82平米 | 西 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,92.5,"8,127元/平"
此房楼层低，通透方正全明，老证双气，出行方便,隆基宜家小区 -恒大,3室1厅 | 102平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58,"5,687元/平"
宝龙旁有露台有阳光房壕装拎包入住，随时看,金博城 -洪门,3室2厅 | 127.07平米 | 东 | 精装 | 高楼层(共12层)  | 板楼,6人关注 / 6个月以前发布,82,"6,454元/平"
满园春色关不住~枫景上东 精装观景大3房 中层 老证,绿都枫景上东 -宝龙,3室2厅 | 128.65平米 | 东 西 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,112,"8,706元/平"
新飞花园大四室业主诚心出售看房方便,新飛花園 -橄榄城,4室2厅 | 174平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,119,"6,840元/平"
绿都塞纳春天 电梯中层 拎包入住,绿都 · 塞纳春天 -二中,3室2厅 | 90.34平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,76.5,"8,469元/平"
东郡府苑西苑大四房南北通透中间楼层采光无遮挡,东郡府苑西苑 -伟业,4室3厅 | 178平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,134,"7,529元/平"
绿都城两室中层，南北通透，绿都物业,绿都城 -柳青路,2室2厅 | 76.64平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 19天以前发布,58.5,"7,634元/平"
金穗大道新飞大道路口西边，步梯一楼,红旗区豫河小区 -汽车东站,3室2厅 | 134平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,60,"4,478元/平"
2卧朝南，毛坯3房，带入户花园,松江·帕提欧 -宝龙,3室2厅 | 123平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,6人关注 / 11个月以前发布,116,"9,431元/平"
万达.河师大.市政府旁大三室两厅,牧野花园 -伟业,3室2厅 | 120平米 | 南 东 北 | 毛坯 | 中楼层(共24层)  | 板楼,20人关注 / 一年前发布,90,"7,500元/平"
洋房产品，即买即装修，契税满两年，那那体现都是细节,建业世和府 -大学城,3室2厅 | 139.48平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,129.8,"9,306元/平"
温莎城堡2.3.4.5层别墅，新风，空调，水电已做好,温莎城堡 -柳青路,6室3厅 | 226.17平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,2人关注 / 4个月以前发布,218,"9,639元/平"
市政府旁 单价4开头 住电梯小高层 毛坯随意装随时看房,进达花园 -大学城,3室2厅 | 139.76平米 | 东 北 | 毛坯 | 高楼层(共18层)  | 板楼,66人关注 / 5个月以前发布,69.8,"4,995元/平"
牧野湖 万达旁文萃源 简装 老证 可按揭 看房有钥匙,文萃源 -牧野公园,4室2厅 | 139.64平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,68,"4,870元/平"
有钥匙看房方便，位置在小区里面，户型方正,牧野花园 -伟业,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,3人关注 / 2个月以前发布,98,"7,051元/平"
鑫隆花园，步梯三楼，精装四室，采光无遮挡,鑫隆花园 -市中心医院,4室2厅 | 217平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,115,"5,300元/平"
公安大楼旁边电梯3室总价低位置好,高新区华兰公司家属院 -花卉市场,3室1厅 | 117.33平米 | 东南 | 简装 | 低楼层(共12层)  | 板塔结合,1人关注 / 20天以前发布,69,"5,881元/平"
中南府电梯洋房，南北通透，碧桂园物业，园林小区,东哲·中南府 -柳青路,3室2厅 | 118.5平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,98,"8,271元/平"
诚城三英里 2室2厅 南,诚城三英里 -高铁东站,2室2厅 | 90.58平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 24天以前发布,56,"6,183元/平"
光彩卫校近 恒泰花园 步梯二楼大两室,恒泰花园 -绿地,2室1厅 | 107.11平米 | 东 西 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 18天以前发布,37.8,"3,530元/平"
三楼带平台 首付13w月供2500  精装修 两室,新闻小区 -理想城,2室1厅 | 96.74平米 | 东南 南 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 21天以前发布,65,"6,720元/平"
姜庄 二十二中 新华书店家属院 两室一厅 三楼,新华书店家属院 -新乡站,2室1厅 | 78.79平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 15天以前发布,31,"3,935元/平"
纯南户型，采光好，中层，二院商圈,工人街3巷 -二中,2室1厅 | 45.8平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,17人关注 / 一年前发布,16,"3,494元/平"
老证税低，业主急售，南北直通两室，品质小区优质房源,豫飞金色城邦 -水产大世界,2室2厅 | 92平米 | 西北 南 北 | 简装 | 高楼层(共30层)  | 板塔结合,9人关注 / 5个月以前发布,66,"7,174元/平"
交通方便  配套齐全 户型方正 视野开阔，采光充足,中原明珠花园玫瑰苑 -人民公园,2室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,42.5,"5,822元/平"
两室一厅，非顶层，双气入户，老证,东村 -万达,2室1厅 | 60.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,35.5,"5,833元/平"
天下城电梯两室精装修拎包入住小区环境优美物业优质,开祥天下城 -橄榄城,2室1厅 | 70平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 5个月以前发布,53,"7,572元/平"
莱茵半岛 3室  柳青路小  学采光好有钥匙随时看,万新莱茵半岛 -柳青路,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,62.8,"7,057元/平"
宝龙精装小公寓，朝南，70年产权，拎包入住，看房方便,宝龙钻石公寓 -宝龙,1室1厅 | 44.23平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,27.8,"6,286元/平"
太行电源集团生活区 2室1厅 西,太行电源集团生活区 -二中,2室1厅 | 55平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,15,"2,728元/平"
定国湖畔，正商品质，全屋硅藻泥，实木家具，车位另算,正商城二期 -定国湖,3室1厅 | 129.7平米 | 西 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 20天以前发布,108.8,"8,389元/平"
黄岗十字，温馨三房，房东急售，好楼层,人合苑 -新乡站,3室2厅 | 177.66平米 | 南 北 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 23天以前发布,69.8,"3,929元/平"
精装三室  拎包住 带入户花园  双阳台    楼层佳,诚城•常青藤 -大学城,3室2厅 | 126.7平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,107.5,"8,485元/平"
户型合理，房子装修保养的都不错，诚意出售,高新区管委会家属院 -花卉市场,3室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,36.8,"3,718元/平"
新封小区 3室1厅 南 北,新封小区 -恒大,3室1厅 | 126.8平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 16天以前发布,25,"1,972元/平"
精装修，拎包入住，户型方正，看房方便,紫郡 -大学城,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 13天以前发布,128,"9,847元/平"
河师大市政府牧野花园 二卧一客朝南精装修拎包入住,牧野花园 -伟业,3室2厅 | 140平米 | 西 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,115,"8,215元/平"
临外校园  氛围好   户型房子  看房方便,红旗区教育学院家属院 -人民公园,3室1厅 | 81.21平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,79.8,"9,827元/平"
黄岗十字天福兰庭湾。温馨三室，房东急售,天福兰庭湾 -新乡站,3室2厅 | 111.31平米 | 南 北 | 其他 | 中楼层(共26层)  | 平房,2人关注 / 2个月以前发布,80,"7,188元/平"
首付13万，立享绿都物业 急售步梯 南北通透小3室,绿都城 -柳青路,3室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,66,"7,334元/平"
黄岗十字天福兰庭湾。温馨三室，房东急售,天福兰庭湾 -新乡站,3室2厅 | 111.31平米 | 南 北 | 其他 | 中楼层(共26层)  | 平房,2人关注 / 2个月以前发布,80,"7,188元/平"
精装三室，全明户型，业主诚心出售,万和城 -水产大世界,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,143元/平"
宝龙商圈 精装干净小三室 房东诚意售好商量,绿都枫景上东 -宝龙,3室2厅 | 89.33平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,78,"8,732元/平"
金色城邦 万和城 汇景苑 万达广场 北环 河师大附 中旁,豫飞金色城邦 -水产大世界,3室2厅 | 123平米 | 东 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,86,"6,992元/平"
房子业主诚心出售，户型方正，看房方便,紫锦国际 -光彩,3室2厅 | 123.62平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,83,"6,715元/平"
单价低     楼层低    位置好   生活便利,石牌坊商业街二期工程 -牧野公园,3室2厅 | 110平米 | 北 南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,60,"5,455元/平"
橄榄城11层电梯小高层精装婚房急售老证随时过户,嘉联·橄榄城 -橄榄城,4室2厅 | 126.07平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,115,"9,122元/平"
三院旁 小胖  顶层带阁楼   房龄新,天宝小区 -市中心医院,3室2厅 | 117.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,59.8,"5,097元/平"
牌坊花园 步梯二楼三室 双气车位 证件齐全,牌坊花园 -牧野公园,3室2厅 | 116.96平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,65,"5,558元/平"
九鼎美庐电梯房，精装修 带家具 家电，南北通,九鼎·美庐 -新乡站,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,99,"7,174元/平"
隆基新谊城精装修电梯房三室65万,隆基新谊城 -光彩,3室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 2个月以前发布,65,"7,223元/平"
康泰嘉苑中楼层，精装修婚房，房东诚心卖房,康泰嘉苑 -八里营,3室2厅 | 99.97平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,49.6,"4,962元/平"
房子是精装修，四室两厅两卫，采光充足，居住舒适度高,金龙建业·森林半岛 -橄榄城,4室2厅 | 142.7平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,108,"7,569元/平"
东站十字~福兴国际~精装三室~户型好房东诚售~满五唯一,福兴国际 -汽车东站,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,87,"7,700元/平"
松江帕提欧，精装修4室，带入户花园，全明户型,松江·帕提欧 -宝龙,4室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,175,"10,356元/平"
伟业中央公园 精装修 好楼层采光无遮挡,伟业中央公园 -伟业,3室2厅 | 148.02平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,3人关注 / 4个月以前发布,157,"10,607元/平"
恒大雅苑西邻独院上下两层，老证看房方便有钥匙，,吉祥苑 -新建街,4室2厅 | 134.75平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,14人关注 / 一年前发布,75.6,"5,611元/平"
毛坯两房低楼层，本小区蕞诚心出售房子的房东,新华园(红旗区) -洪门,2室2厅 | 107平米 | 南 | 其他 | 低楼层(共22层)  | 板楼,6人关注 / 一年前发布,63,"5,888元/平"
恒大一楼带前后花园 精装修交付 定制实木柜子 全新房,恒大御景湾三期 -平原新区,5室2厅 | 299.17平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,3人关注 / 10个月以前发布,175,"5,850元/平"
宝龙商圈   繁华区域  三室两厅两卫  毛坯房 中楼层,蓬莱华府小区 -市政府,3室2厅 | 140.69平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,16人关注 / 一年前发布,99.8,"7,094元/平"
房子一层带院，全天采光，户型方正，,辉龙阳光城 · 怡苑 -市政府,3室2厅 | 119.54平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,135,"11,294元/平"
房东诚心出售，此房为独院带60平院子。,孟营小区 -恒大,4室2厅 | 169.4平米 | 南 北 | 其他 | 低楼层(共1层)  | 暂无数据,19人关注 / 一年前发布,130,"7,675元/平"
天鹅城近 标准三室 中层 精装修 带一个单独车库 老证,新乡市建筑材料总公司住宅楼 -市中心医院,3室2厅 | 102平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,45.5,"4,461元/平"
精装两室，客厅落地大阳台，户型美丽。,开祥天下城 -橄榄城,2室2厅 | 71.39平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 13天以前发布,56,"7,845元/平"
大型南院 2室1厅 南,大型南院 -新悦城,2室1厅 | 89平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,39.8,"4,472元/平"
一中家属院  步梯2楼  带车库  外域  适中學区,红旗区一中家属院 -人民公园,2室2厅 | 70平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,78,"11,143元/平"
诚心出售 宝龙国际社区 精装2室 配套齐全  拎包入住,宝龙国际社区 -宝龙,2室2厅 | 96.13平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,80,"8,323元/平"
精装修带家具家电，一楼带南院，户型方正，采光很不错,盛润盛世年华 -橄榄城,3室2厅 | 121平米 | 东 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,99,"8,182元/平"
单价4000+   电梯中层两室   随时看房,华地·云熙府 -恒大,2室2厅 | 97平米 | 西南 | 毛坯 | 高楼层(共24层)  | 板塔结合,1人关注 / 1个月以前发布,44.9,"4,629元/平"
绿都城老证房东诚心出售看房方便,绿都城 -柳青路,2室1厅 | 63平米 | 西 | 精装 | 中楼层(共32层)  | 板楼,10人关注 / 4个月以前发布,49,"7,778元/平"
平原商场东 步梯二楼 精装两室 南北通透 房东急售,五金站家属院 -新乡站,2室2厅 | 77.39平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,1人关注 / 2个月以前发布,40,"5,169元/平"
