标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
碧桂园135平3房2卫房间舒适空间感强南北阳台采光好,丹阳碧桂园 -丹阳华南商圈,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,128,"9,482元/平"
"凤熹台5-2-1-3,190.2平，190.8万",凤熹台 -丹阳华南商圈,5室2厅 | 190.2平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 一年前发布,190.8,"10,032元/平"
爱家尚城 4开间朝南 140平 4房2卫 119.8万,爱家尚城 -丹阳城区商圈,4室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,8人关注 / 7个月以前发布,119.8,"8,558元/平"
好房只等有缘人 万善上院 大三房 三阳台,万善上院 -丹阳华南商圈,3室2厅 | 148平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,153.8,"10,392元/平"
诚心出售  华都锦城102平  精装2房,华都锦城 -丹阳华南商圈,2室2厅 | 102平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,108.8,"10,667元/平"
天颐城和园 4室2厅 南 北,天颐城和园 -丹阳城区商圈,4室2厅 | 156平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,158.8,"10,180元/平"
万善园90平房东精装 三房两厅 采光好 好房只等有缘人,万善园二村东区（万善园） -丹阳华南商圈,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,75.3,"8,367元/平"
好房售 荣诚国际 三室两厅两卫 两房朝南 客厅朝南,荣城国际 -丹阳城区商圈,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,151,"12,080元/平"
吾悦华府4-2-1-2 140.00m² 169.8 万,吾悦华府 -丹阳开发区商圈,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,165.8,"11,843元/平"
交通便利，配套完善，户型方正，空气通透,华都锦城 -丹阳华南商圈,5室2厅 | 208.43平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,173,"8,301元/平"
中南二期 大平层采光好 大横厅现房交付 诚意出售,熙悦城 -丹阳华南商圈,5室2厅 | 186平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,168.8,"9,076元/平"
急售嘉荟新城110平 满二 三室 简单装修 只要76.8万,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共18层)  | 平房,0人关注 / 1个月以前发布,75.8,"6,891元/平"
全屋欧派定制 新装未住 落地窗 *大阳光房 带小花园,国骅天波 -丹阳开发区商圈,4室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共21层)  | 塔楼,7人关注 / 一年前发布,188,"13,624元/平"
金桥世纪城洋房 前后双阳台3房 三开间朝南,金桥·世纪城 -丹阳开发区商圈,3室2厅 | 122平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 2个月以前发布,87.8,"7,197元/平"
幸福里 高层 127平精装3房 145.8万 装修新 拎包入住,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 127平米 | 东 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,140,"11,024元/平"
户型通透，紧靠丹凤公园，出行方便，环境优美,凤熹台 -丹阳华南商圈,5室2厅 | 190平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 11个月以前发布,193.8,"10,200元/平"
嘉荟新城 84平 69.8万 两室两厅 随时看房,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 83.85平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"8,325元/平"
嘉荟新城东区3-2-1-1 97.00m² 70 万,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共11层)  | 平房,1人关注 / 1个月以前发布,70,"7,217元/平"
嘉荟新城 大2房精装 拎包入住 满2年 72万 价格可谈,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 102.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 3个月以前发布,72,"7,018元/平"
国骅天波大平层毛坯大四房 南北通透 小区环境好,国骅天波 -丹阳开发区商圈,4室3厅 | 195平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 塔楼,2人关注 / 一年前发布,198,"10,154元/平"
天波城 湖景四房 四开间朝南 全天采光 全新毛坯 245.8,国骅天波 -丹阳开发区商圈,4室2厅 | 220平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 10个月以前发布,245.8,"11,173元/平"
吾悦附件小区翡翠林三室两卫毛坯122平107.8万,融锦翡翠林御庭 -丹阳开发区商圈,3室2厅 | 122.76平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,107.8,"8,782元/平"
恒大名都278平 精装修 品牌定制家具家电齐全 拎包入住,恒大名都 -丹阳城区商圈,4室2厅 | 278平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,220.8,"7,943元/平"
恒大名都 大平层306平 5房 诚心出售 采光充足,恒大名都 -丹阳城区商圈,5室2厅 | 306平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,11人关注 / 一年前发布,216.8,"7,085元/平"
万善上院，3室2厅2卫，品质装修，配套齐全,万善上院 -丹阳华南商圈,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,168,"13,229元/平"
华都锦城幸福里 电梯2楼 3房2卫 西边户 精装拎包入住,华都锦城·幸福里 -丹阳华南商圈,4室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,153.8,"12,111元/平"
中南君悦府3室2厅128平139.8万 楼层采光好,中南君悦府 -丹阳华南商圈,3室2厅 | 128.3平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,138.8,"10,819元/平"
上善雅苑精装修·全天采光拎包入住,上善雅苑 -丹阳华南商圈,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 20天以前发布,117.8,"11,780元/平"
华都锦城·幸福里 2室2厅 毛坯,华都锦城·幸福里 -丹阳华南商圈,2室2厅 | 90平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 22天以前发布,102.8,"11,423元/平"
吾悦华府公馆 3室2厅 南,吾悦华府公馆 -丹阳开发区商圈,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 24天以前发布,150,"11,112元/平"
龙凤新村 3室2厅 南,龙凤新村 -丹阳华南商圈,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,88.8,"9,653元/平"
滨河凤凰城中间楼层144平3室2厅婚装设全拎包即住178万,濱河鳳凰城 -丹阳华南商圈,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,178,"12,448元/平"
吾悦华府，，135平，3房2厅2卫，3房朝南,吾悦华府 -丹阳开发区商圈,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 24天以前发布,150.8,"11,171元/平"
大亚·2-1-1-1 88.00m² 115.8 万,大亚·第一城 -丹阳开发区商圈,2室1厅 | 88平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 19天以前发布,115.8,"13,160元/平"
房子离省丹中100米 前面护城河 风景好 小区环境优雅,宜和A区 -丹阳城区商圈,2室1厅 | 68.85平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 20天以前发布,93.8,"13,624元/平"
幸福里3房2厅1卫，毛坯116.8万,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 24天以前发布,116.8,"10,619元/平"
华都锦城，楼层佳，137平，全天采光，华南商圈,华都锦城 -丹阳华南商圈,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,143.8,"10,497元/平"
華南新村 3室2厅 南,華南新村 -丹阳华南商圈,3室2厅 | 96.5平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,66.8,"6,923元/平"
锦江花园(丹阳市)3-2-1-2 134.15m² 92.8 万,锦江花园(丹阳市) -丹阳开发区商圈,3室2厅 | 134.15平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,92.8,"6,918元/平"
低单价！佳景天城 毛坯三房 中间楼层 采光好,佳景天城 -丹阳开发区商圈,3室2厅 | 122平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 31天以前发布,105.8,"8,673元/平"
汇金天地130.6平 低楼层 采光好 户型好,汇金天地 -丹阳开发区商圈,3室1厅 | 130.6平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 23天以前发布,143.8,"11,011元/平"
新上！香草苑104平 婚装 大两室两厅 独库只要79.8万,香草苑 -丹阳城区商圈,2室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 23天以前发布,79.8,"7,674元/平"
江南人家 3室2厅 南,江南人家 -丹阳城区商圈,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,98,"8,033元/平"
全新精装，全屋定制家具，视野宽阔，采光充足,上善雅苑 -丹阳华南商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 20天以前发布,129.8,"11,287元/平"
嘉荟新城东区3-2-1-1 112.32m² 73.8 万,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 112.32平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 23天以前发布,73.8,"6,571元/平"
全新精装，全屋定制家具，视野宽阔,上善雅苑 -丹阳华南商圈,2室2厅 | 83平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,89.8,"10,820元/平"
万善园二村 71平 两室 精装 61万,萬善園二村 -丹阳华南商圈,2室2厅 | 71平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 28天以前发布,61,"8,592元/平"
天怡天颐城 4室2厅 南,天怡天颐城 -丹阳城区商圈,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 17天以前发布,132.8,"10,375元/平"
楼栋位置佳 采光好 格局合理 精装,恒大名都 -丹阳城区商圈,4室2厅 | 157平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 18天以前发布,153.8,"9,797元/平"
上善雅苑3-2-1-1 98.00m² 93.8 万,上善雅苑 -丹阳华南商圈,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 22天以前发布,93.8,"9,572元/平"
华云公寓 4室2厅 户型好 精装 拎包即住 视野好 78.8万,华云公寓 -丹阳华南商圈,4室1厅 | 104.34平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,77.8,"7,457元/平"
晶都国际电梯房中间楼层飞机户三房两卫吾悦商圈,晶都国际 -丹阳开发区商圈,3室1厅 | 148平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 15天以前发布,129.8,"8,771元/平"
房屋空置，此房急售，看房方便，提前预约,凤凰新村 -丹阳城区商圈,3室1厅 | 71.93平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,46.8,"6,507元/平"
东方嘉园 3室2厅 南 北,东方嘉园 -丹阳城区商圈,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,108,"8,781元/平"
上善雅苑100平，精装房，三室两厅两卫,上善雅苑 -丹阳华南商圈,3室1厅 | 98平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 13天以前发布,118.8,"12,123元/平"
景阳花园3.5楼 全天采光 精装拎包可住独库 84.8万,景阳花园 -丹阳华南商圈,2室2厅 | 116.36平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,83.8,"7,202元/平"
太阳城小区 2室2厅 南 北,太阳城小区 -丹阳华南商圈,2室2厅 | 83.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,45.8,"5,465元/平"
鳯翔花園城 3室2厅 南 北,鳯翔花園城 -丹阳开发区商圈,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,102.8,"7,908元/平"
万善园二村东区（万善园）3-1-1-1 中间楼层拎包入住,万善园二村东区（万善园） -丹阳华南商圈,3室1厅 | 88.32平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,68.8,"7,790元/平"
电梯房2楼，装修新，拎包入住，看房预约,锦轩华庭 -丹阳华南商圈,3室2厅 | 136.97平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,4人关注 / 7个月以前发布,113.6,"8,294元/平"
大亚·第一城 4室2厅 南 北,大亚·第一城 -丹阳开发区商圈,4室2厅 | 155平米 | 南 北 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 11天以前发布,208,"13,420元/平"
熙悦城5-2-1-3，185平，198.8万,熙悦城 -丹阳华南商圈,5室2厅 | 185平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,1人关注 / 9个月以前发布,198.8,"10,746元/平"
濱河鳳凰城 6室2厅 南,濱河鳳凰城 -丹阳华南商圈,6室2厅 | 203平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,249.8,"12,306元/平"
此房居住感好，采光很足，欢迎咨询,恒大名都 -丹阳城区商圈,4室2厅 | 277平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,239,"8,629元/平"
丹凤公园一梯一户140平飞机户型，精装南北通透可小刀,碧桂园·樾府 -丹阳华南商圈,3室2厅 | 139.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,139.6,"10,010元/平"
房东自己装修，入住很少，有钥匙，看房方便,开泰苑 -丹阳城区商圈,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,97.8,"7,582元/平"
恒大名都 154.59平 精装修 四室两卫 满两年,恒大名都 -丹阳城区商圈,4室2厅 | 154.59平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,156.8,"10,143元/平"
新香草苑洋房 120平 3室 118.8万,新香草苑 -丹阳城区商圈,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,116.8,"9,734元/平"
恒大名都 276平 毛坯房 五室三卫  满两年 中层 采光好,恒大名都 -丹阳城区商圈,5室2厅 | 276平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,208.8,"7,566元/平"
紫竹园 3室2厅 南 北,紫竹园 -丹阳华南商圈,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,146.8,"10,195元/平"
房东直售，华都锦城135平精装3室 148.8万,华都锦城 -丹阳华南商圈,3室2厅 | 135平米 | 东 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,139.8,"10,356元/平"
金鼎城市花园 187平 4房2卫 空中顶复， 装修保养新,金鼎城市花园 -丹阳开发区商圈,4室2厅 | 187平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,168.8,"9,027元/平"
华都锦城·幸福里 3室2厅 南 北,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,126.8,"9,985元/平"
恒大城 306平 大平层 中间楼层  采光好  视野佳,恒大城 -丹阳开发区商圈,5室3厅 | 307平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,198.8,"6,476元/平"
华南 精装3房 业主保养的好拎包入住..........,福康苑 -丹阳华南商圈,4室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,71.8,"5,654元/平"
中南熙悦洋房中层4室2卫飞机户型双阳台采光佳162.8万,熙悦城 -丹阳华南商圈,4室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,161.3,"11,861元/平"
恒大城 4室2厅 南 北,恒大城 -丹阳开发区商圈,4室2厅 | 161平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,122.8,"7,628元/平"
恒大城 306平 大平层 中间楼层 采光好 户型好,恒大城 -丹阳开发区商圈,5室3厅 | 306平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,190,"6,210元/平"
恒大城 306平 毛坯房 中间楼层 满两年 采光好 户型好,恒大城 -丹阳开发区商圈,4室2厅 | 306平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,180,"5,883元/平"
信达国企三房两卫，楼层佳，南北通透户型,信达香堤国际 -丹阳开发区商圈,3室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,110.8,"7,859元/平"
嘉园首 府210平精装修品牌家具家电齐全满两年中间楼层,嘉源首府（丹阳市） -丹阳开发区商圈,5室2厅 | 210平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,238,"11,334元/平"
华都锦城洋房131平 3室2厅 毛坯位置佳户型好 129.8万,华都锦城 -丹阳华南商圈,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,129.8,"9,985元/平"
恒大城 306 毛坯房 满两年 中层 采光好 户型好,恒大城 -丹阳开发区商圈,5室2厅 | 306平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,168.8,"5,517元/平"
南北通透  飞机户型   天怡精品小区,天怡天颐城 -丹阳城区商圈,4室2厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,138.8,"10,359元/平"
世纪豪都 电梯四室两厅一厨两卫，采光好,世纪豪都 -丹阳城区商圈,4室2厅 | 137平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,137,"10,000元/平"
此房为大4房 有大阳台和阳光房 185平,西环路63号小区 -丹阳城区商圈,4室2厅 | 185平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,96.5,"5,217元/平"
华都锦城 3室2厅 南,华都锦城 -丹阳华南商圈,3室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,2人关注 / 一年前发布,138,"10,223元/平"
