标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
三居精装修  看房方便    城东新小区好地段,朋鹰紫城 -汉台区,3室2厅 | 80.83平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,65,"8,042元/平"
市区2室带装修，2楼好楼层，价格低，业主降价出售,莲湖路秦峰家属院东院 -汉台区,2室2厅 | 67.5平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,25,"3,704元/平"
御景湾 品质装修  一线江景房,御锦湾 -汉台区,3室2厅 | 145.45平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 13天以前发布,210,"14,438元/平"
房子精装修入住时间短，14年的现浇房，配套完善,中山街46号商住楼 -汉台区,3室2厅 | 127.31平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,85,"6,677元/平"
此房两室两厅一厨一卫，临江近，适合两人居住,漢府國風 -南郑区,2室2厅 | 86.36平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,5人关注 / 一年前发布,51,"5,906元/平"
城东大社区，视野开阔，采光良好,和谐春天 -汉台区,2室2厅 | 92.21平米 | 北 | 简装 | 高楼层(共17层)  | 板楼,22人关注 / 11个月以前发布,43.5,"4,718元/平"
万邦时代广场  户型方正  精装  高楼层 交通方便,万邦时代广场 -汉台区,2室2厅 | 115.86平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,53,"4,575元/平"
近16㎡阳台面积 视野宽阔无遮挡 带私人物品直接入住,江郡苑 -汉台区,2室2厅 | 95.46平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,12人关注 / 6个月以前发布,65,"6,810元/平"
江边两室，户型方正，满五唯一，低楼层，采光好,金色家园 -汉台区,2室2厅 | 83.51平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,33.5,"4,012元/平"
小区环境优美，绿化面积高，物业服务标准,仁和春天 -汉台区,2室2厅 | 101.44平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,60,"5,915元/平"
江边品质小区，精装带露台，税费少，可按揭,二期网师苑 -汉台区,2室2厅 | 95.12平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,77.3,"8,127元/平"
江边，精装小三室，户型方正明厨明卫，南北通透,中青国际社区 -汉台区,3室2厅 | 97.68平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,26人关注 / 一年前发布,64,"6,553元/平"
南北通透格局好，中间楼层视野开阔，采光充足可观江,吾悦公馆 -汉台区,3室2厅 | 100.36平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,79,"7,872元/平"
江边大三室户型好环境好楼层好采光好,缙颐玫瑰庄园 -汉台区,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,115,"8,847元/平"
城西精装3房 业主诚心出售 价格美丽,汉水名城阅府 -汉台区,3室2厅 | 133.9平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,19人关注 / 11个月以前发布,89.8,"6,707元/平"
"电视塔旁,盛世家园电梯房,精装修未入住,看房随时联系",盛世家园 -汉台区,2室2厅 | 104.24平米 | 东南 南 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,53,"5,085元/平"
适宜各个年龄段的人群，包括小青年结婚的婚房,温莎国际 -汉台区,3室2厅 | 118.88平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,16人关注 / 8个月以前发布,79.5,"6,688元/平"
纯南户型，三室，交通方便，配套齐全,滨江公园壹号 -汉台区,3室2厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,5人关注 / 7个月以前发布,88,"8,302元/平"
精装三室   户型好  业主急售 看房方便,地王熙苑 -汉台区,3室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,50,"5,556元/平"
电梯新小区，小高层顶楼复式，马上满二。,花溪时光C区 -汉台区,4室2厅 | 114.72平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,72,"6,277元/平"
城西大三室，毛柸房随意装修，采光充足视野好,堂宏广场 -汉台区,3室2厅 | 115平米 | 北 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 2个月以前发布,71,"6,174元/平"
106电梯三居室城西 公摊少 税费少 适合刚需 婚房 养老,鑫辉茗都 -汉台区,3室2厅 | 105.12平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,60,"5,708元/平"
兴汉新区火车站北广场，毛坯大三室,时代嘉都 -汉台区,3室2厅 | 138平米 | 东 西 | 毛坯 | 低楼层(共16层)  | 板塔结合,1人关注 / 7个月以前发布,59.9,"4,341元/平"
城西汉水名城 洋房一楼 精装修 带露台 带下叠式花园,汉水名城阅府 -汉台区,3室2厅 | 98.53平米 | 西 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,146,"14,818元/平"
城西优质房源，出行方便，购物便利,清水湾 -汉台区,3室1厅 | 124.18平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 6个月以前发布,83,"6,684元/平"
天致旁，江景房 ，江景房  简洁的自然风景式园林,碧桂园·阅江府 -汉台区,4室2厅 | 206.06平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 1个月以前发布,220,"10,677元/平"
城西吾悦公馆温馨3室优质好房，诚心出售,吾悦公馆 -汉台区,3室2厅 | 101平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 8个月以前发布,79.9,"7,911元/平"
江边精装两室，直接入住，价格可谈,汉江首府 -汉台区,2室1厅 | 81.7平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,66,"8,079元/平"
次新品质小区.优质楼层.环境优美.业主诚心出售,枫桥茗苑 -汉台区,3室2厅 | 133.29平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,61,"4,577元/平"
房子装修的简单大方，中间楼层房子装修的简单大方,红枫苑 -汉台区,3室1厅 | 114.61平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,51,"4,450元/平"
城西江边吾悦广场四室新房环境好，配套完善，交通便利,吾悦公馆 -汉台区,4室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,21人关注 / 5个月以前发布,113,"7,958元/平"
房东诚心出售，价格可谈，看房有钥匙。,滨江公园壹号 -汉台区,3室2厅 | 106.93平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,27人关注 / 一年前发布,95,"8,885元/平"
城西，江景房，三室，毛坯，业主诚意出售。,滨江公园壹号 -汉台区,3室2厅 | 106平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,85,"8,019元/平"
城西，体育场北侧，地源热泵空调，精装，拎包入住。,万邦普罗旺斯 -汉台区,3室1厅 | 92.63平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,65.8,"7,104元/平"
城东   次新房  毛坯大三室  带入户花园,朋鹰紫郡  -汉台区,3室2厅 | 128.92平米 | 北 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,82,"6,361元/平"
配套成熟，小区环境好，高品质，安全系数高,新天汉时代滨江 -汉台区,4室2厅 | 148平米 | 南 北 | 毛坯 | 33层  | 板楼,6人关注 / 7个月以前发布,127,"8,582元/平"
纯南户型，配套齐全，交通便捷，采光好,智诚茗居 -汉台区,3室2厅 | 127.4平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,76,"5,966元/平"
大平台 地理位置优 出门配套完善 出则繁华入则宁静,堂宏广场 -汉台区,2室2厅 | 78.56平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,19人关注 / 一年前发布,40,"5,092元/平"
城西吾悦旁 小高层 中间楼层 电梯入户,中交滨江国际 -汉台区,4室2厅 | 140.06平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,22人关注 / 7个月以前发布,118,"8,425元/平"
城东新小区，莱茵小镇3室毛坯业主急售！,朋鹰紫郡  -汉台区,3室2厅 | 114平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,67.9,"5,957元/平"
城西 明珠北苑 3房户型 南向采光视野都很好 配套齐全,广厦明珠北苑 -汉台区,3室2厅 | 117.55平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,18人关注 / 8个月以前发布,77,"6,551元/平"
户型方正规整通风好，采光好，小区设施齐全此,西新铭座 -汉台区,3室2厅 | 120.43平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,79.5,"6,602元/平"
江边三房户型方正产证满二税费低业主诚心出售,中青国际社区 -汉台区,3室1厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,70,"6,035元/平"
吾悦广场三室精装未入住可观江中间楼层带家具家电,吾悦公馆 -汉台区,3室2厅 | 101.48平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 3个月以前发布,103,"10,150元/平"
江南片区智慧城汉中智能洋房社区,智慧城 -南郑区,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,70,"5,512元/平"
江边大三室  客厅全景落地窗 户型方正无浪费,汉江首府 -汉台区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,4人关注 / 2个月以前发布,82,"6,950元/平"
视野好，观江房，户型合理，采光好,吾悦公馆 -汉台区,3室2厅 | 100.41平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,85,"8,466元/平"
江边品质小区，房东诚心出售，价格美丽。,龙岗一品 -南郑区,4室2厅 | 170.68平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,17人关注 / 5个月以前发布,147,"8,613元/平"
离吾悦广场近，楼层好，可以观江，,吾悦公馆 -汉台区,3室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,3人关注 / 4个月以前发布,82.5,"8,169元/平"
装修保养好，大三居，采光好，公摊小，随时可签,明珠小区 -汉台区,3室2厅 | 139.94平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,50,"3,573元/平"
城西 大三室 高楼层视野开阔，性价高,汉水名城紫薇公馆 -汉台区,3室2厅 | 137.3平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,91,"6,628元/平"
城西 电梯146㎡开阔四居室 户型方正 保本诚意急售,西街上院 -汉台区,4室2厅 | 145.99平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,24人关注 / 5个月以前发布,64,"4,384元/平"
"交通便利,采光不错,成熟小区,适合养老过渡",怡景花园 -汉台区,2室1厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,30.6,"3,067元/平"
现房出售，南边是洋房，楼栋位于中间,中青凯旋门 -汉台区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,13人关注 / 9个月以前发布,92.5,"6,802元/平"
城西高档小区，精装拎包入住，一级物业，居住环境好,恒大帝景 -汉台区,3室2厅 | 127.13平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,12人关注 / 一年前发布,96.5,"7,591元/平"
舒适型三室双卫，中间楼层 ，学 校旁边生活方便,金泰·滨江花城 -汉台区,3室2厅 | 114平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,5人关注 / 4个月以前发布,85,"7,457元/平"
城西高品质小区，南北通透三室， 采光好，位置优越,新天汉时代滨江 -汉台区,3室2厅 | 98.56平米 | 南 北 | 毛坯 | 33层  | 板楼,0人关注 / 1个月以前发布,86.5,"8,777元/平"
房子在滨江新区，大三室，全屋精装休，未入住。,广厦明珠北苑 -汉台区,3室2厅 | 149平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,95,"6,376元/平"
城西 明珠北苑 3房户型 南向采光视野都很好 配套齐全,广厦明珠北苑 -汉台区,3室2厅 | 117.55平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,18人关注 / 8个月以前发布,77,"6,551元/平"
城东新楼盘，全新未入住，临江，成熟大盘,中青凯旋门 -汉台区,3室2厅 | 100.57平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,68.5,"6,812元/平"
城西毛坯金泰滨江花城三室一厅一厨一卫的小三室,金泰·滨江花城 -汉台区,3室1厅 | 86.74平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,26人关注 / 一年前发布,68,"7,840元/平"
纯南户型，配套齐全，交通便捷，采光好,智诚茗居 -汉台区,3室2厅 | 127.4平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,76,"5,966元/平"
滨江新区国企房企大三室 业主诚心出售！！,中交滨江国际 -汉台区,3室2厅 | 131.28平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板楼,36人关注 / 一年前发布,87.9,"6,696元/平"
城西品质小区 天致旁  精装修 江景房,碧桂园·阅江府 -汉台区,4室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,122,"8,592元/平"
江边新小区南北通透 户型方正小区环境优美 交通方便,中青国际社区三期 -汉台区,3室2厅 | 117.33平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,168人关注 / 一年前发布,48.5,"4,134元/平"
高品质小区 精装房 拎包入住 房屋格局好 空间大无浪费,恒大帝景 -汉台区,4室2厅 | 137.77平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,122,"8,856元/平"
城西大三室，经典户型，地理位置优越，小区环境优美。,缙颐玫瑰庄园 -汉台区,3室2厅 | 130.9平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,5人关注 / 4个月以前发布,102,"7,793元/平"
城西精装两室好房，满五满五好地段,汉水名城阅府 -汉台区,2室1厅 | 94.06平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,73,"7,762元/平"
城西精装两室，拎包入住，满五税费低,鑫辉茗都 -汉台区,2室1厅 | 102.74平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,57,"5,548元/平"
南北通透，带了一个大柴房，采光充足,兴航小区 -汉台区,2室1厅 | 76.96平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,26人关注 / 9个月以前发布,33,"4,288元/平"
大河坎镇龙岗路汉江明珠精装三室带花园,汉江明珠 -南郑区,3室2厅 | 97.72平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,10人关注 / 9个月以前发布,62,"6,345元/平"
丰辉花园 产权清晰  可商贷  业主诚心出售,丰辉花园 -汉台区,2室2厅 | 92.46平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,36,"3,894元/平"
汉上名居  精装2室  业主急售,汉上名居 -南郑区,2室1厅 | 95.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,37,"3,879元/平"
精装修带院子，户型方正，拎包入住。,汉江明珠 -南郑区,3室2厅 | 94.44平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,59,"6,248元/平"
城低密东小高层，环境优美，产证清晰，业主诚心出售,花溪时光C区 -汉台区,3室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,58人关注 / 一年前发布,68.8,"5,375元/平"
城西中间楼层 吾悦广场 绿化好 大三居带车位 电梯入户,吾悦公馆 -汉台区,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,108,"8,504元/平"
"汉江首府,开发商精装未住人，江景房效果好",汉江首府 -汉台区,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,103,"7,254元/平"
时代滨江方正小三室，环境优雅，生活便利品质住宅,新天汉时代滨江 -汉台区,3室2厅 | 98平米 | 南 北 | 毛坯 | 33层  | 板楼,12人关注 / 9个月以前发布,86,"8,776元/平"
城西大三室，地段好，交通方便，看房方便,西城丽景 -汉台区,3室2厅 | 134.9平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,48人关注 / 一年前发布,69,"5,115元/平"
南北通透，采光好，无遮挡，环境舒适,缙颐玫瑰庄园 -汉台区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,89,"7,740元/平"
江边新小区，精装零入住，一手更名税费低,汉上第一街 -汉台区,4室2厅 | 155平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,11人关注 / 5个月以前发布,117,"7,549元/平"
