标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
采光足，楼层好，配套足，楼下商圈足，方便人居住,京东紫晶 -宝华商圈,2室1厅 | 46.66平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,29人关注 / 10个月以前发布,30,"6,430元/平"
南京仙林东宝华山下远洋心里山景房全南户型中楼层满二,远洋心里 -宝华商圈,3室2厅 | 88平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,78,"8,864元/平"
临湖地铁口位置，满二有车位，视野开阔无遮挡,碧桂园凤凰城临湖苑 -碧桂园凤凰城,5室2厅 | 270.88平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,6人关注 / 9个月以前发布,198,"7,310元/平"
翡翠华府二期 视野宽阔，采光充足 无遮挡  无遮挡,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,32人关注 / 5个月以前发布,86,"8,959元/平"
仙林东 万达茂 碧桂园伯爵山  宝华山下,碧桂园伯爵山 -宝华商圈,4室2厅 | 145.83平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 一年前发布,138,"9,464元/平"
四季金辉二期，全新精装修未住。满2年税少。,四季金辉 -宝华商圈,3室2厅 | 87.81平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,4人关注 / 4个月以前发布,95,"10,819元/平"
此房经典户型楼层好，采光充足 边户户型,碧桂园仙林东郡 -宝华商圈,4室2厅 | 119.52平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,89,"7,447元/平"
此房户型好 采光好 小区环境好 交通便利..,碧桂园大学印象 -宝华商圈,4室2厅 | 142.87平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,135,"9,450元/平"
仙林悦城 4室1厅 南,仙林悦城 -宝华商圈,4室1厅 | 115平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 1个月以前发布,82,"7,131元/平"
仙林东宝华碧桂园一楼带院子精装房,碧桂园仙林东郡 -宝华商圈,3室1厅 | 82.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 1个月以前发布,86,"10,435元/平"
此房满两年，精装全留，户型方正，全天候采光。,恒大雅苑 -宝华商圈,3室2厅 | 130.97平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 8个月以前发布,110,"8,399元/平"
看房方便 楼层好 采光佳 布局合理 视野开阔,九曲花苑 -宝华商圈,4室2厅 | 139.52平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,33人关注 / 一年前发布,178,"12,759元/平"
一楼带院子 碧桂园大学印象  业主诚心出售 随时看房,碧桂园大学印象 -宝华商圈,3室2厅 | 88.41平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,3人关注 / 2个月以前发布,72,"8,144元/平"
万达旁恒大雅苑 精装修 产权清晰 满两年 房东诚心出售,恒大雅苑 -宝华商圈,2室2厅 | 98.96平米 | 北 | 精装 | 高楼层(共31层)  | 塔楼,26人关注 / 一年前发布,73,"7,377元/平"
彩虹城，全明户型朝南，位置佳，采光好，业主诚心出售,彩虹城 -宝华商圈,3室2厅 | 86.47平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,5人关注 / 5个月以前发布,70,"8,096元/平"
碧桂园翡翠华府 精装修 带地暖 拎包入住 随时可看,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 1个月以前发布,103,"8,957元/平"
低密度洋房，大四房，两卫，高得房率,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 116.17平米 | 南 | 毛坯 | 高楼层(共8层)  | 板塔结合,11人关注 / 一年前发布,119,"10,244元/平"
二次装修 诚意出售 好楼层 价格可谈 随时看房,恒大雅苑 -宝华商圈,4室2厅 | 162平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,6人关注 / 6个月以前发布,135,"8,334元/平"
大平层 万达茂 双线地铁 碧桂园翡翠华府 精装修采光好,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 177.4平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,3人关注 / 4个月以前发布,173,"9,752元/平"
高质量房源，满二。户型正 诚心出售,京东紫晶 -宝华商圈,3室2厅 | 87.25平米 | 南 | 毛坯 | 高楼层(共35层)  | 塔楼,11人关注 / 一年前发布,70,"8,023元/平"
南京东，宝华，金科观天下上叠山景别墅,金科观天下 -宝华商圈,3室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,150,"10,792元/平"
格局好 楼层好 采光充足 视野开阔 朝南 户型方正,恒大雅苑 -宝华商圈,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,140人关注 / 一年前发布,50,"5,377元/平"
彩虹城 居家三房 朝南双阳台 楼层户型好,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,66,"7,675元/平"
楼栋边户 全明户型 举步万达茂 清新装修 随时看房,仙林悦城 -宝华商圈,3室2厅 | 83平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,23人关注 / 10个月以前发布,70,"8,434元/平"
此房户型方正 楼层好 视野无遮挡 采光充足 小区绿化好,四季金辉 -宝华商圈,3室2厅 | 100.36平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,1人关注 / 7个月以前发布,80,"7,972元/平"
仙林东恒大雅苑精装三房，三开间朝南户型业主诚心出售,恒大雅苑 -宝华商圈,3室1厅 | 121平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,100,"8,265元/平"
悦城精致三房，三开间朝南，隔河望南京房价三分一,仙林悦城 -宝华商圈,3室2厅 | 89.9平米 | 南 | 简装 | 中楼层(共29层)  | 塔楼,37人关注 / 一年前发布,71,"7,898元/平"
南京仙林东一河之隔仙林国际花园全南户型高楼层视野好,和昌仙林国际 -宝华商圈,3室2厅 | 89.9平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,75,"8,343元/平"
精装修，价格优，彩光足。南北双阳台，拎包入住,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.42平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,96人关注 / 11个月以前发布,95,"8,231元/平"
仙林东宝华，恒大雅苑精装房 配套齐全 交通方便,恒大雅苑 -宝华商圈,4室2厅 | 159.29平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,132.5,"8,319元/平"
此房小区C位置 业主诚心出售 价格以低于市场成交价,碧桂园仙林东郡 -宝华商圈,3室2厅 | 128.34平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,92,"7,169元/平"
国企泰达，小高层，户型格局好，边户采光足，交通便,泰达青筑 -宝华商圈,4室2厅 | 117平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,102,"8,718元/平"
精装一天未住过 业主诚心出售 价格可议,天正理想城 -宝华商圈,4室1厅 | 105.06平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,92,"8,757元/平"
华府二期大平层 五房三位 南北双阳台 一梯一户,碧桂园翡翠华府二期 -宝华商圈,5室2厅 | 275平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,18人关注 / 一年前发布,300,"10,910元/平"
碧桂园凤凰城芷兰湾精装修好房出售,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,5室2厅 | 260平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,5人关注 / 6个月以前发布,178,"6,847元/平"
万达茂旁 经典三房 精装修中间楼层 诚心出售,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.12平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 3个月以前发布,104,"9,035元/平"
双地铁 万达茂旁 楼层好 采光充足 配套设施全,仙林悦城 -宝华商圈,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,8人关注 / 8个月以前发布,85,"8,019元/平"
彩虹城 大面积 低单价 急售 好楼层,彩虹城 -宝华商圈,4室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,107,"7,868元/平"
采光好 楼层适中 视野开阔 小区环境好 交通便利,玉兰花园 -宝华商圈,3室2厅 | 100平米 | 南 | 简装 | 6层  | 板塔结合,3人关注 / 10个月以前发布,58,"5,800元/平"
翡翠华府 精装三房 好楼层 采光好 诚心出售,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 10个月以前发布,86,"9,053元/平"
仙林大道旁 首望城三房 简装 诚心出售,仙林首望城 -宝华商圈,3室1厅 | 89平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,6人关注 / 一年前发布,87,"9,776元/平"
风景优美，出行便利，成交周期短,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96.1平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,73,"7,597元/平"
装修保养情况好，楼层好，采光好，视野开阔，交通方便,恒大雅苑 -宝华商圈,3室2厅 | 127.94平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,106,"8,286元/平"
凤凰城芷兰湾 三房两卫 家具家电齐全 随时看房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 23天以前发布,65,"5,556元/平"
芷兰湾 两卫设计大三房 未入住次新房 带车位 随时看房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 118.12平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 20天以前发布,66.8,"5,656元/平"
S6地铁口50米 经典三房 总价低 看房方便 满五年,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 119.7平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,3人关注 / 22天以前发布,75,"6,266元/平"
临湖苑经典125 南北通透 看房有钥匙 房东诚心出售,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 30天以前发布,82,"6,508元/平"
满二年无抵押  距离S6黄梅站400米左右   采光好无遮挡,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 123平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 29天以前发布,75,"6,098元/平"
碧桂园发凤凰城准新房 户型方正 位置好 配套全,云玺苑 -碧桂园凤凰城,3室1厅 | 108平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 17天以前发布,75,"6,945元/平"
优质湖景好房，二次精装，价格劲爆,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.53平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 23天以前发布,92,"7,329元/平"
碧桂园凤凰城芷兰湾 3室2厅 南 北,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.86平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 21天以前发布,69.7,"5,914元/平"
新交付中低楼层楼间距大景观二次装修好房,碧桂园凤凰城星悦湾 -碧桂园凤凰城,4室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,2人关注 / 21天以前发布,100,"6,945元/平"
改善大三房  小高层  总价低  户型方正,世茂花园 -句容市区,3室2厅 | 142平米 | 北 东 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,88,"6,198元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,2室2厅 | 87.86平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,0人关注 / 28天以前发布,48,"5,464元/平"
南京东 近地铁 户型方正 交通便利,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,2室1厅 | 59.57平米 | 东 | 精装 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,42,"7,051元/平"
房子格局好，楼层好，采光足，视野好，朝南面多,宝华花园 -宝华商圈,2室1厅 | 57平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,32,"5,615元/平"
地铁口 精装现房 两房朝南 户型方正 满两年 视野开阔,碧桂园凤凰城翰林湾 -碧桂园凤凰城,2室2厅 | 87.56平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,11人关注 / 5个月以前发布,50,"5,711元/平"
汤山东黄梅新村中区84平大两房 精装可拎包入住,黄梅新村中区 -碧桂园凤凰城,2室2厅 | 83.53平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,6人关注 / 8个月以前发布,36,"4,310元/平"
城南 银河之都东苑 毛坯三房两厅一卫！,银河之都东苑 -句容市区,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,75,"7,654元/平"
招商 自持物业 南北通 门口有公交站台 小区环境好。,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,93,"10,215元/平"
玉兰花园 新出精装家装大三房 拎包即住  急售,玉兰花园 -宝华商圈,3室2厅 | 120平米 | 南 | 精装 | 6层  | 板塔结合,5人关注 / 9个月以前发布,75,"6,250元/平"
棕榈园林设计 齐全配套，精致2+1户型，精装修未住,京东紫晶 -宝华商圈,3室2厅 | 61.54平米 | 南 北 | 精装 | 中楼层(共35层)  | 板楼,32人关注 / 一年前发布,66,"10,725元/平"
恒大雅苑 近地铁 业主诚心出售地段好,恒大雅苑 -宝华商圈,2室2厅 | 95.91平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,7人关注 / 一年前发布,75,"7,820元/平"
南京仙林东，精装修带地暖，设计师二次装修,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,13人关注 / 4个月以前发布,88,"9,167元/平"
宝华花园三房  产证在手 随时可交易,宝华花园 -宝华商圈,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 11个月以前发布,56,"5,600元/平"
央企招商 居家精装修 采光好 诚心出售,招商国际E城 -宝华商圈,3室2厅 | 91.53平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 一年前发布,95,"10,380元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,3人关注 / 2个月以前发布,155,"10,916元/平"
好楼层精装两房 实木家具品牌家电 拎包入住,碧桂园仙林东郡 -宝华商圈,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,61,"7,350元/平"
近地铁 多层洋房 环境好品质社区 人性化管理,同城世家 -宝华商圈,3室2厅 | 112平米 | 南 | 毛坯 | 10层  | 板楼,2人关注 / 11个月以前发布,120,"10,715元/平"
九曲花苑 花园洋房 中间楼层 看房方便 采光好好好,九曲花苑 -宝华商圈,3室2厅 | 83平米 | 南 | 毛坯 | 中楼层(共8层)  | 塔楼,1人关注 / 2个月以前发布,73,"8,796元/平"
格局好 楼层好 采光充足 朝南 户型方正,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 3个月以前发布,110,"7,858元/平"
九曲花苑 户型通透 拎包入住 中间楼层,九曲花苑 -宝华商圈,3室2厅 | 83.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,90,"10,798元/平"
碧桂园仙林东郡 精装修 品质楼层 采光充足 视野开阔,碧桂园仙林东郡 -宝华商圈,3室2厅 | 105.94平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,85.5,"8,071元/平"
万达茂 恒大雅苑旁 京东紫晶  业主诚心出售！,京东紫晶 -宝华商圈,4室2厅 | 115.84平米 | 南 北 | 毛坯 | 中楼层(共35层)  | 塔楼,0人关注 / 一年前发布,80,"6,907元/平"
"南北格局通透低楼层湖景房,采光充足，配套设施齐全",碧桂园凤凰城柏丽湾 -碧桂园凤凰城,5室2厅 | 273.7平米 | 南 北 | 精装 | 低楼层(共32层)  | 平房,17人关注 / 一年前发布,155,"5,664元/平"
价格便宜 位置好 湖景房 大四房 业主诚心价格可谈,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室2厅 | 175.02平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,139,"7,942元/平"
小采光足，视野好， 户型方正，购物方便,天正理想城 -宝华商圈,2室1厅 | 74平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,60,"8,109元/平"
房东急售，地铁口满二南北通透大三房 配套设施齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 116.19平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 3个月以前发布,71,"6,111元/平"
楼层好·位置好·采光充足·视野开阔·配套设施齐全,京东紫晶 -宝华商圈,3室2厅 | 115.8平米 | 南 | 精装 | 中楼层(共35层)  | 塔楼,0人关注 / 1个月以前发布,92,"7,945元/平"
此房是小高层电梯洋房户型方正，得房率高，采光充足,润景美邻苑 -句容市区,3室2厅 | 101.4平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,12人关注 / 一年前发布,73,"7,200元/平"
通透格局好，视野宽阔，采光充足，交通方便,百里峯景 -宝华商圈,2室2厅 | 91.7平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,68,"7,416元/平"
恒大雅苑精装自住二次装修 采光好 楼层好急售急售,恒大雅苑 -宝华商圈,2室1厅 | 99平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,74,"7,475元/平"
南京仙林东宝华精装修拎包入住观景洋房,碧桂园仙林东郡 -宝华商圈,4室1厅 | 121平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,21人关注 / 一年前发布,98,"8,100元/平"
此房业主诚心出售，满二，看房方便，小区环境好,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 141.29平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,39人关注 / 4个月以前发布,80,"5,663元/平"
房子格局好楼层好，采光足，视野好，朝南面多，,玉兰花园二期和园 -宝华商圈,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,68,"6,182元/平"
