标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
桃园新村2房  房东诚心出售 采光好 交通便利,桃园新村 -茶山,2室1厅 | 63.72平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 7天以前发布,222,"34,840元/平"
中吴大道旁新城长岛 精装两房 诚售,新城长岛花园 -兰陵街道,2室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,130,"12,381元/平"
路劲城市印象，精装3房出售，诚心卖,路劲城市印象 -永红,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 6个月以前发布,180,"18,000元/平"
路劲城三期满二精装修楼层好采光无遮挡,路劲城三期 -湖塘镇,3室2厅 | 114.57平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,8人关注 / 11个月以前发布,230,"20,076元/平"
香缇湾花园 3房2厅1厨1卫不靠铁路好楼层房东诚心,香缇湾花园 -红梅,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,168,"15,413元/平"
碧桂园百兴澜庭，毛坯三室，含车位,碧桂园百兴澜庭 -璜土,3室2厅 | 129.28平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,130,"10,056元/平"
飞龙新苑 户型佳！三房两厅！房东诚意出售！,飞龙新苑 -三井,3室2厅 | 91.83平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,12人关注 / 5个月以前发布,125,"13,613元/平"
天宁吾悦旁 金新御园 楼层 采光好 随时看房,金新御园 -青龙,4室2厅 | 140.01平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,216,"15,428元/平"
房东诚心卖哦，中间楼层欢迎抢购。,新城桃李郡 -湖塘镇,3室1厅 | 116.86平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 8天以前发布,215,"18,399元/平"
香溢澜桥二期 精装 房东诚售 看房随时,新城香溢澜桥二期 -湖塘镇,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2天以前发布,155,"18,236元/平"
观棠精装洋房 全天采光 满二 看房随时,观棠 -湖塘镇,3室2厅 | 126.98平米 | 南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 3天以前发布,206,"16,224元/平"
天宁吾悦旁 香溢紫郡 精装 拎包即住,香溢紫郡 -青龙,2室2厅 | 83.9平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 5个月以前发布,135.8,"16,186元/平"
"地铁口，楼栋位置佳视野好,宽阔无遮挡，通透格局",勤业一二三村 -五星,2室2厅 | 59.96平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 7天以前发布,66,"11,008元/平"
中间楼层，西边户，价格有来去，看房方便。,花园西村东区 -五星,3室2厅 | 99平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,115,"11,617元/平"
新城悠活城 不靠高架 不是顶楼 精装拎包入住 房东诚心,新城•悠活城 -薛家,3室2厅 | 75平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 12天以前发布,99,"13,200元/平"
鹏欣丽都，楼层好，采光足，大四房通透格局，智能家电,鹏欣丽都 -南大街,4室2厅 | 152.95平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 9个月以前发布,420,"27,460元/平"
长沟河板块 前排位置 精装三房 拎包入住 诚意出售,绿地香颂花园 -湖塘镇,3室2厅 | 110.74平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 3个月以前发布,170,"15,352元/平"
大名城西区  三朝南 前排采光 装修保养新 可随时看房,大名城西区 -三井,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 12天以前发布,288,"20,140元/平"
户型方正，采光好，房东自住房，装修品质高。,翠竹新村 -红梅,2室1厅 | 69.82平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,85,"12,175元/平"
兰陵商品，小高层，精装房，诚心出售，价格可谈 。,兰陵尚品花园A区 -兰陵街道,3室2厅 | 103.32平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,135,"13,067元/平"
飞龙吾悦广场旁  不靠高架 大名城 精装修,大名城西区 -三井,3室2厅 | 122.02平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 5个月以前发布,201,"16,473元/平"
三开间朝南，双阳台设计，采光好,新城锦域 -湖塘镇,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 7个月以前发布,147,"12,783元/平"
美林湖一区，纯别墅区，环境优美，风格独特，舒适安静,美林湖一区 -河海,6室2厅 | 325平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,15人关注 / 8个月以前发布,652,"20,062元/平"
装修好5房两厅拎包入住价格含车位诚心出售价格可谈,御城 -湖塘镇,5室2厅 | 260平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,498,"19,154元/平"
金鼎公寓精装一室一厅房东诚意出售,金鼎公寓 -南大街,1室1厅 | 48平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,220,"45,834元/平"
格局好户型方正 楼间距大 每个房间都有飘窗 明厨明卫,中海凤凰熙岸 -雕庄,3室1厅 | 113.82平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,183,"16,079元/平"
满五唯一万达旁 伟业 精装三房 房东诚心出售,伟业·臻品花园 -兰陵街道,3室2厅 | 118.9平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,160,"13,457元/平"
楼层好，采光佳，一期房源，房东诚心出售,香溢紫郡 -青龙,3室1厅 | 87.6平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,7人关注 / 4个月以前发布,128,"14,612元/平"
中海凤凰熙岸两梯两户精装修随看,中海凤凰熙岸 -雕庄,4室2厅 | 118.15平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,199,"16,843元/平"
（好房推荐，满五唯一）香溢紫郡2房，业主精心装修！,香溢紫郡 -青龙,2室2厅 | 82.41平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 3个月以前发布,120,"14,562元/平"
交通便利 生活设施完善 满五年唯一,喜盈门花苑 -湖塘镇,3室2厅 | 96.68平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,138,"14,274元/平"
龙湖天街旁，采光无遮挡，低总价，此房户型方正，南北,龙湖龙誉城北区 -五星,3室1厅 | 108.9平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,228,"20,937元/平"
新上房源，楼层好，采光佳，户型方正，看房方便~,九龙仓时代上院 -三井,3室2厅 | 89.1平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,175,"19,641元/平"
单价18400，有1个车位，南面是洋房，房东急售，可看,新城郡未来 -湖塘镇,3室2厅 | 110.83平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,205,"18,497元/平"
绿地世纪城二期不靠高架 三开间朝南户型 诚心出售,绿地世纪城c区 -新闸,2室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,110,"11,957元/平"
吾悦边，景潭花园旁，交通便利，配套齐全,翠园新村南区 -东城街道,3室1厅 | 86.5平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 6个月以前发布,40.8,"4,717元/平"
万达商圈，户型方正，通透格局，配套齐全,尚枫澜湾 -三井,4室2厅 | 125.5平米 | 西南 | 毛坯 | 30层  | 板塔结合,0人关注 / 2个月以前发布,218,"17,371元/平"
此房格局方正，视野宽阔，采光充足,新城郡未来 -湖塘镇,4室2厅 | 144平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,350,"24,306元/平"
世茂香槟湖4期 89平 毛坯3房 高楼层 189万,世茂香槟湖四期 -三井,3室2厅 | 88.77平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,189,"21,291元/平"
大名城旁尚枫苑  户型周正双阳台 采光好 房东诚心出售,尚枫澜湾 -三井,4室2厅 | 128.47平米 | 南 | 简装 | 30层  | 板塔结合,24人关注 / 一年前发布,230,"17,904元/平"
三开间朝南 楼层高 采光无忧 诚心出售,新城金樾 -湖塘镇,4室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 3个月以前发布,208,"15,408元/平"
荣盛馨河郦舍 113平精装3房 182万 满2年,荣盛馨河郦舍 -河海,3室1厅 | 113.43平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,10人关注 / 一年前发布,182,"16,046元/平"
此房源性采光好，成交快，欢迎大家来带看。,中海铂悦公馆 -雕庄,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,318,"22,395元/平"
凤凰熙岸格局好 视野开阔 采光足 配套齐全 交通便利.,中海凤凰熙岸 -雕庄,3室1厅 | 119.56平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,207.8,"17,381元/平"
急售万科四季雅苑 纯洋房 总高6层 户型方正 三室两卫,万科公园大道 -东城街道,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,9人关注 / 8个月以前发布,126,"11,776元/平"
星河改善小区 人车分流 高档物业服务 好楼层,星河国际十区 -湖塘镇,3室2厅 | 113.25平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,225,"19,868元/平"
品质新小区 带露天泳池 公园环境 人车分流 全天采光,雅居乐星河湾 -三井,4室2厅 | 140.63平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,9人关注 / 8个月以前发布,280,"19,911元/平"
房东诚售世茂精装2室，小高层中间楼层，户型方正,世茂香槟湖二期 -三井,2室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,155,"17,614元/平"
大润发旁公馆荣域三房 开发商统一精装未入住 中间楼层,新城公馆荣域 -湖塘镇,3室2厅 | 126.04平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 11个月以前发布,270,"21,422元/平"
恐龙园旁精装好房，好户型，好采光,香树湾福园 -三井,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,20人关注 / 一年前发布,203,"17,351元/平"
绿都万和城七区 三室两厅一厨两卫,绿都万和城七区 -三井,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,198,"15,715元/平"
房东诚售世茂精装2室，小高层中间楼层，户型方正,世茂香槟湖二期 -三井,2室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,155,"17,614元/平"
飞龙吾悦旁天山花园，户型方正全天采光，小孩上学方便,天山花园 -三井,2室2厅 | 100.24平米 | 东南 | 精装 | 高楼层(共16层)  | 板塔结合,7人关注 / 7个月以前发布,118,"11,772元/平"
四室两厅两卫，全天采光，边户，楼层好。,御城（六期） -湖塘镇,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 4个月以前发布,228,"16,286元/平"
金坛区华达名都3-2-1-2 130.00m²,华达名都 -东城街道,3室2厅 | 129.89平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,108,"8,315元/平"
怡枫苑精装三房 楼层好，视野佳  看房方便随时可看,怡枫苑 -薛家,3室1厅 | 86.29平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,108,"12,516元/平"
尚枫澜湾 125.83平 精装修 看房方便,尚枫澜湾 -三井,4室2厅 | 125.83平米 | 南 | 精装 | 30层  | 板塔结合,8人关注 / 4个月以前发布,255,"20,266元/平"
璞樾和山，109平层三房两卫，诚心出售，有密码随时看,新城招商·璞樾和山 -雕庄,3室2厅 | 109.74平米 | 南 | 简装 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,187.8,"17,114元/平"
新城南都大四房精装拎包入住看房方便,新城南都御苑 -湖塘镇,4室2厅 | 167.01平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,14人关注 / 一年前发布,252,"15,089元/平"
阳光龙庭全屋地暖130平好楼层238万诚售,阳光龙庭 -青龙,3室2厅 | 129.41平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 25天以前发布,238,"18,392元/平"
凯尔锋度 3室1厅 南,凯尔锋度 -湖塘镇,3室1厅 | 83.47平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 31天以前发布,135,"16,174元/平"
怡美花园，精装拎包住，位置好，视线采光好,怡美花园 -五星,3室2厅 | 111.67平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 21天以前发布,140,"12,537元/平"
花语江南   精装修未入住   楼层好  诚心出售,央著瑞庭 -青龙,4室2厅 | 189平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 26天以前发布,500,"26,456元/平"
满五唯一 精装修 紫金城南区 业主诚售,紫金城南区 -湖塘镇,3室1厅 | 132平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 29天以前发布,245,"18,561元/平"
西新桥三村 3室1厅 南,西新桥三村 -五星,3室1厅 | 78平米 | 南 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 21天以前发布,75,"9,616元/平"
：精装修30万、平时不住、楼层好、诚心出售,中海凤凰熙岸 -雕庄,3室1厅 | 119.56平米 | 东南 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 31天以前发布,208,"17,398元/平"
青枫公园4房 精装修 出门地铁公园 房东诚心出售,景瑞曦城 -北港,4室1厅 | 137.77平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 27天以前发布,185,"13,429元/平"
房东诚心出售！采光好！三房两厅，拎包入住！,飞龙新苑 -三井,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 22天以前发布,126,"13,696元/平"
精装修没怎么住过！采光好！精品小区！,金地格林郡 -三井,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 26天以前发布,168,"17,500元/平"
新城一期 精装 两梯一户大平层 780w 均价1.7w,新城首府一期 -五星,4室2厅 | 433.8平米 | 南 | 精装 | 低楼层(共36层)  | 板塔结合,1人关注 / 2个月以前发布,780,"17,981元/平"
万达商圈，生活便利，户型方正，得房率高,太湖明珠苑 -三井,2室1厅 | 83.54平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 9天以前发布,143,"17,118元/平"
教科院 路劲城市印象 婚房精装大两室 拎包入住,路劲城市印象 -永红,2室2厅 | 97.41平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,188,"19,300元/平"
芳草园精装大三房 中间楼层 房东诚意出售 看房随时,芳草园 -湖塘镇,3室2厅 | 135.97平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 23天以前发布,165,"12,136元/平"
弘阳上城二期 2室2厅 南,弘阳上城二期 -兰陵街道,2室2厅 | 85.36平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 16天以前发布,155,"18,159元/平"
毛坯出售的，采光好，看房子比较方便的,路劲城市花园 -西林,3室2厅 | 85.6平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,2人关注 / 8个月以前发布,140,"16,356元/平"
户型方正，采光无遮，小区环境优美,华润凯旋门 -茶山,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,145,"18,590元/平"
70年产权  复式精装 看房方便 诚心出售,绿地世纪城B区 -新闸,2室1厅 | 60.82平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,4人关注 / 3个月以前发布,74,"12,168元/平"
店长推荐。好房好装修。拎包入住。价格美丽。随时看。,银河湾第一城二期 -三井,2室1厅 | 79.11平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,122,"15,422元/平"
文鑫苑小三房，好楼层，房东急售,文鑫苑 -璜土,3室2厅 | 96.75平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 18天以前发布,82,"8,476元/平"
荣域满两年 精装修 好楼层 新城物业,新城公馆荣域 -湖塘镇,3室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 11天以前发布,207,"23,259元/平"
楼栋位置佳视野好，采光充足，户型格局好，通透明亮,弘阳上城二期 -兰陵街道,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,139,"16,163元/平"
精装修三十万左右 基本未住 三朝南户型 满二,路劲城四期 -湖塘镇,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 17天以前发布,207,"19,167元/平"
房东诚心出售  两房朝南  户型方正 小区环境优美,新城锦域 -湖塘镇,3室2厅 | 116.64平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,14人关注 / 一年前发布,145,"12,432元/平"
