标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
天誉花园3组团 4室1厅 南,天誉花园3组团 -五象文旅,4室1厅 | 90平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,1人关注 / 10天以前发布,80,"8,889元/平"
金湖商圈 机场蓝天小区 精装三房 户型方正 带车位,机场蓝天小区 -金湖,3室2厅 | 103.53平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,0人关注 / 13天以前发布,108,"10,432元/平"
大天下 2室2厅 南,大天下 -北湖南,2室2厅 | 90.57平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 17天以前发布,61,"6,736元/平"
总价不到90万，中海九玺3房，业主诚心出售！,中海九玺 -东沟岭,3室2厅 | 87.69平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 20天以前发布,89.8,"10,241元/平"
人和莱茵鹭湖 4室2厅 南,人和莱茵鹭湖 -心圩区,4室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 29天以前发布,85,"8,948元/平"
五象地铁口 天誉花园6组团精装2房 随时看房,天誉花园6组团 -五象文旅,2室2厅 | 61平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 25天以前发布,71,"11,640元/平"
精装三房 有钥匙 随时可以看房，全新装修未入住,百益牛顿苹果 -经开区,3室2厅 | 97.72平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 31天以前发布,76,"7,778元/平"
东盟商务区万象城地铁口旁边精装修三房 好出租,中新国际 -东盟商务区,3室2厅 | 88平米 | 东 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 20天以前发布,133,"15,114元/平"
荣和山水绿城B1组团 3室2厅 东南,荣和山水绿城B1组团 -北湖南,3室2厅 | 81平米 | 东南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 27天以前发布,75,"9,260元/平"
恒大绿洲三期  电梯精装三房急卖 89万,恒大绿洲3期 -大沙田,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 25天以前发布,89,"8,558元/平"
毛坯现房 双地铁 万象汇 视野好 随时可看,宝能五象湖一号 -五象湖,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共52层)  | 暂无数据,0人关注 / 22天以前发布,131,"12,130元/平"
凤岭北 品质小区 全新精装5房 业主诚心卖房,中铁云景山语城 -凤岭北,5室2厅 | 143平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 19天以前发布,248,"17,343元/平"
盛邦珑湖 全新没入住 中间楼层 南北对流 三层 图书馆,盛邦珑湖 -玉洞,5室2厅 | 128平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 16天以前发布,168,"13,125元/平"
五象湖地铁3号线 光明城市  毛坯南北3房 契税满2,光明城市雅集苑 -五象湖,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 30天以前发布,96,"9,897元/平"
临幸福里，83万，买一得2，业主诚心卖,联盟新城 -东盟商务区,1室1厅 | 47.33平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,1人关注 / 24天以前发布,83,"17,537元/平"
中高楼层，视野看别墅，采光没得说，业主诚心卖房,新希望锦官城 -经开区,4室2厅 | 140.23平米 | 南 | 精装 | 高楼层(共40层)  | 板塔结合,0人关注 / 3个月以前发布,140,"9,984元/平"
设计弹性空间大，视野好，配套成熟商圈,中旭•中央城 -经开区,3室2厅 | 91.38平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,79,"8,646元/平"
民族大道东盟国际 精装三房 朝南东盟地铁口,荣和·东盟国际 -凤岭北,3室2厅 | 111.37平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,126,"11,314元/平"
中楼层看泳池   东站旁   门口brt,万科城北区 -凤岭北,3室2厅 | 91.45平米 | 东南 | 精装 | 中楼层(共41层)  | 板塔结合,2人关注 / 1个月以前发布,128,"13,997元/平"
随时看房，拎包入住，诚心买卖房,昌泰鑫金绿洲 -经开区,3室2厅 | 99.24平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,8人关注 / 5个月以前发布,92,"9,271元/平"
业主闲置房源出售 满五唯一 长期外地发展 无人居住,龙光·君悦华庭 -相思湖,3室2厅 | 87.67平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,92,"10,494元/平"
体育馆旁光明澜湾九里毛坯房，邕江边看青秀山，地铁口,澜湾九里二期 -五象核心区,3室2厅 | 95.41平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,18人关注 / 一年前发布,107,"11,215元/平"
五一路 云星钱隆公馆毛坯4房120平 105万,云星钱隆公馆 -五一路,4室2厅 | 120.09平米 | 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,105,"8,744元/平"
华润万象城毛坯三房，楼层好采光好视野好，地铁300米,华润二十四城 -五象湖,3室2厅 | 96.63平米 | 南 | 毛坯 | 高楼层(共45层)  | 塔楼,7人关注 / 一年前发布,145,"15,006元/平"
保利领秀前城秀程府 经典三房 采光足 格局通透,保利领秀前城秀程府 -凤岭南,3室2厅 | 87.13平米 | 东南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,125,"14,347元/平"
中高楼层，东边套，万象汇，二三号线地铁口,绿地 · 国际花都 -五象湖,3室2厅 | 84.73平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,105,"12,393元/平"
滨江+青山 单价低 业主诚心出售,保利领秀前城翎峯台 -凤岭南,4室2厅 | 102.33平米 | 南 | 简装 | 低楼层(共26层)  | 塔楼,1人关注 / 12天以前发布,139,"13,584元/平"
背靠石门森林公园，东盟商务区商圈配套，天然氧吧,山水方园 -东盟商务区,3室2厅 | 121.01平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,190,"15,702元/平"
双凤翔！带车位一起，高楼层，看游泳池，看房有钥匙,信地伴云居 -凤岭北,3室2厅 | 118.69平米 | 北 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,189,"15,924元/平"
柳沙大观天下精装四房   满五唯一,民发大观天下 -柳沙,4室2厅 | 132.15平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,132,"9,989元/平"
天赐良园 4室2厅 南 北,天赐良园 -凤岭北,4室2厅 | 148平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,13人关注 / 10个月以前发布,175,"11,825元/平"
嘉和城依云堡 3室2厅 南,嘉和城依云堡 -兴宁东,3室2厅 | 89.13平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,76.5,"8,583元/平"
金玖世家 3室2厅 南,金玖世家 -玉洞,3室2厅 | 91.08平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,0人关注 / 9天以前发布,85,"9,333元/平"
业主诚心出售，中高楼层采光通风好产权清晰。,云星钱隆江南 -白沙星光,3室2厅 | 89.64平米 | 东南 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,83.9,"9,360元/平"
翡翠园二期三中旁边楼中楼带100平大露台。看房有钥匙,中房翡翠园二期 -琅东,5室2厅 | 189平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,52人关注 / 一年前发布,220,"11,641元/平"
买房就买江南区，房子又好又舒适。,碧园南城故事 -经开区,3室2厅 | 116.96平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,70,"5,985元/平"
美女业主一手房。进来看看，合适价格都可以谈,南宁奥园雅典组团 -经开区,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 13天以前发布,68,"5,763元/平"
看过来！奥园好三房出售，离地铁口200米！,南宁奥园雅典组团 -经开区,3室2厅 | 108平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,76,"7,038元/平"
龙光普罗旺斯向日葵 3室2厅 南,龙光普罗旺斯向日葵 -经开区,3室2厅 | 89.85平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 14天以前发布,77,"8,570元/平"
龙光·君悦华庭 3室2厅 东 南,龙光·君悦华庭 -相思湖,3室2厅 | 87.82平米 | 东 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,81,"9,224元/平"
五象湖畔全新精装未入住3+1房诚意出售，随时看房,碧桂园天玺湾 -玉洞,3室2厅 | 100.71平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,106,"10,526元/平"
五象总部基地 东侧 良庆桥南 121平米4房出售,天誉花园3组团 -五象文旅,4室2厅 | 121.76平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,3人关注 / 4个月以前发布,100,"8,213元/平"
五象良庆桥头 刚需三房 视野开阔,天誉花园5组团 -五象文旅,3室2厅 | 89平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,82,"9,214元/平"
五象天誉五组团大平层毛坯南北通透,天誉花园5组团 -五象文旅,4室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,105,"8,400元/平"
户型采光好，交通便利，商圈成熟，适合居住,云星尚雅名都 -经开区,4室2厅 | 134平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,88,"6,568元/平"
天誉半岛五象文旅板块，南北通透四房,天誉半岛 -五象文旅,4室2厅 | 119.84平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,114,"9,513元/平"
急卖 ，全新精装4房2卫  龙光地产大房企好服务好品质,龙光玖珑臺 -龙岗,4室2厅 | 115平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,10人关注 / 一年前发布,104.5,"9,087元/平"
看青山，通风采光俱佳，业主诚意出售,保利领秀前城秀程府 -凤岭南,4室2厅 | 128.27平米 | 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,187,"14,579元/平"
总部基地大五房 高楼层 大阳台,绿城春江明月 -五象核心区,5室2厅 | 165平米 | 西南 | 毛坯 | 高楼层(共30层)  | 板楼,3人关注 / 4个月以前发布,250,"15,152元/平"
南北朝向，房间户型方正，面积利用率高，采光通风,天誉花园5组团 -五象文旅,4室2厅 | 92.96平米 | 南 | 毛坯 | 高楼层(共45层)  | 板塔结合,18人关注 / 一年前发布,78,"8,391元/平"
金源一品 4室2厅 东南,金源一品 -五象核心区,4室2厅 | 140.6平米 | 东南 | 精装 | 中楼层(共39层)  | 塔楼,1人关注 / 3个月以前发布,185,"13,158元/平"
天誉半岛地铁口毛坯房三房两厅两卫,天誉半岛 -五象文旅,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共47层)  | 板塔结合,3人关注 / 7个月以前发布,102,"10,737元/平"
天誉花园5区  精装修  大玻璃封窗  随时看,天誉花园5组团 -五象文旅,4室2厅 | 124平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 1个月以前发布,124,"10,000元/平"
房子精装，户型方正，产权清晰，朝南,融创九棠府 -五象湖,4室2厅 | 116.33平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 4个月以前发布,132,"11,348元/平"
五象湖碧桂园精装五房大平层，视野开阔，看房方便,碧桂园天玺湾 -玉洞,5室2厅 | 177.14平米 | 南 北 | 简装 | 低楼层(共45层)  | 塔楼,1人关注 / 3个月以前发布,190,"10,726元/平"
五象湖一线湖景大平层，全新没有住过，一梯一户视野好,龙光玖珑湖二期 -五象湖,5室2厅 | 182.6平米 | 南 北 | 精装 | 中楼层(共22层)  | 板楼,3人关注 / 1个月以前发布,330,"18,073元/平"
玫瑰园  楼中楼  164平 中装修 红本在手 业主诚心出售,玫瑰园住宅楼 -经开区,4室2厅 | 153平米 | 北 | 简装 | 高楼层(共7层)  | 板塔结合,19人关注 / 一年前发布,90,"5,883元/平"
房子精装，户型方正，产权清晰，朝南,融创九棠府 -五象湖,4室2厅 | 116.33平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 4个月以前发布,132,"11,348元/平"
唐樾青山 毛坯现房 两梯三户 证件齐全 随时过户,唐樾青山 -琅东,4室2厅 | 124平米 | 西南 | 其他 | 低楼层(共32层)  | 平房,0人关注 / 1个月以前发布,146,"11,775元/平"
柳沙丽园 4室2厅 南,柳沙丽园 -柳沙,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,12人关注 / 5个月以前发布,100,"7,143元/平"
一线江景大平层，五象总部基地旁精装地铁口,天誉半岛 -五象文旅,4室2厅 | 140平米 | 北 | 简装 | 低楼层(共65层)  | 平房,1人关注 / 1个月以前发布,170,"12,143元/平"
万科城北区云望高层真实在售看房提前约方便看房,万科城北区 -凤岭北,5室2厅 | 223平米 | 南 北 | 精装 | 中楼层(共45层)  | 暂无数据,0人关注 / 3个月以前发布,338,"15,157元/平"
金源一品，满五唯一，三房，17层，视野好，稳赚！,金源一品 -五象核心区,3室2厅 | 99平米 | 东南 | 毛坯 | 中楼层(共39层)  | 塔楼,30人关注 / 一年前发布,125,"12,627元/平"
临万象城  联盟新城4房  得房率高  户型正气,联盟新城 -东盟商务区,4室2厅 | 119.5平米 | 东南 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 10个月以前发布,240,"20,084元/平"
五象湖湖畔书苑毛坯四房，百变风格。,湖畔书院 -五象湖,4室1厅 | 140平米 | 北 | 毛坯 | 中楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,205,"14,643元/平"
五象湖！湖畔书院！140平200万200万,湖畔书院 -五象湖,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 一年前发布,200,"14,286元/平"
满五年 证件齐全 诚心出售 价格可商量,海茵·国际花城(长福路) -仙葫,3室2厅 | 117.8平米 | 东南 | 简装 | 中楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,70,"5,943元/平"
青秀国宾区大四房 靠江边 居住舒适,华发国宾壹号 -柳沙,4室2厅 | 143平米 | 北 | 精装 | 低楼层(共32层)  | 板塔结合,9人关注 / 7个月以前发布,205,"14,336元/平"
此房满五唯一，高楼层采光好，视野好，有独立卫生间,中鼎万象东方 -凤岭北,1室1厅 | 44.37平米 | 西 | 精装 | 高楼层(共18层)  | 板塔结合,2人关注 / 9天以前发布,48,"10,819元/平"
楼层好 户型方正 价格美丽 精装 地铁4号线， 环境好,恒大翡翠华庭 -经开区,3室2厅 | 127.43平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,100,"7,848元/平"
凤岭佳园 2室2厅 南 北,凤岭佳园 -凤岭北,2室2厅 | 85.62平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,72,"8,410元/平"
启美尊府 2室2厅 南,启美尊府 -玉洞,2室2厅 | 68.6平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,3人关注 / 10天以前发布,58.5,"8,528元/平"
利海亚洲国际B区 3室2厅 南 北,利海亚洲国际B区 -东盟商务区,3室2厅 | 123.19平米 | 南 北 | 简装 | 中楼层(共22层)  | 塔楼,6人关注 / 7个月以前发布,168,"13,638元/平"
保利山水怡城 精装两房 朝南 楼层好 实用空间大,保利▪山水怡城 -东沟岭,2室2厅 | 80.49平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,8人关注 / 8个月以前发布,62,"7,703元/平"
步梯房中楼层，两房两厅房子适合刚需居住好选择。,江南新兴苑 -五一路,2室2厅 | 70.7平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,22人关注 / 7个月以前发布,52,"7,356元/平"
业主诚心出售，3号线宜居小户型,城市杰座 -金湖,1室1厅 | 57.22平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,7人关注 / 一年前发布,55,"9,613元/平"
瀚林优质好房 诚心售卖 户型方正采光好 小区环境优美,瀚林新城 -朝阳,3室2厅 | 91.56平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,9人关注 / 11个月以前发布,88,"9,612元/平"
西大圈 优质好房 户型方正采光好 看房方便,瀚林·御景 -西大,3室1厅 | 81.63平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,35人关注 / 7个月以前发布,86,"10,536元/平"
此房满五不唯一 业主诚心出售，产权清晰，红本在手。,上水人家 -仙葫,2室2厅 | 81.67平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,22人关注 / 一年前发布,56,"6,857元/平"
中间楼层 户型方正采光好 电梯房，户型大方，看房方便,中房翡翠园一期 -琅东,3室2厅 | 130.63平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,129,"9,876元/平"
合景香悦四季 不满二 中楼层 南北对流好 小区有泳池,合景香悦四季 -玉洞,4室2厅 | 125.22平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 12天以前发布,94,"7,507元/平"
五象湖建发央玺，是您买房的好选择。,建发央玺 -五象湖,4室2厅 | 106平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 14天以前发布,220,"20,755元/平"
新装修，保养好，南北对流小四房,荣和大地二组团 -凤岭北,4室2厅 | 89平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 9天以前发布,164.5,"18,484元/平"
瀚林·御景 3室2厅 南,瀚林·御景 -西大,3室2厅 | 89.78平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,0人关注 / 8天以前发布,98,"10,916元/平"
瑞和家园 有购物公园 近地铁 景华 五象玉洞大道,瑞华·瑞和家園 -玉洞,3室2厅 | 100.55平米 | 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,80,"7,957元/平"
