标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
天亿城市之星3室2厅1厨2卫光线好，适合居住,天亿城市之星 -射洪县,3室2厅 | 104.39平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"6,687元/平"
户型采光好、通风透气、房间方正，,香溪新城 -北门区,7室2厅 | 155.7平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,84,"5,395元/平"
帝一江岸 2室2厅 东南,帝一江岸 -河东北区,2室2厅 | 72.45平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 12天以前发布,44.6,"6,156元/平"
此房人文环境好，出行交通方便。,一品天下 -大英县,3室2厅 | 114平米 | 西北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,69.8,"6,123元/平"
大英首座小区交通便利 小区环境干净舒适 适合居住,大英首座 -大英县,4室2厅 | 78平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,74,"9,488元/平"
该房地段位于市里面，离商务区距离150米，配套齐全,凯旋中路78号 -市中区,2室1厅 | 85平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 7个月以前发布,29.9,"3,518元/平"
海琪明月花园 3室2厅 南 西南,海琪明月花园 -北门区,3室2厅 | 102.95平米 | 南 西南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,61.8,"6,003元/平"
步行街一品天下小区交通便利， 小区环境干净舒适,一品天下 -大英县,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,68.9,"5,992元/平"
金港名都3室2厅 交通便利 小区环境干净舒适 适合居住,金港名都南区 -市中区,3室2厅 | 132.4平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 17天以前发布,85.8,"6,481元/平"
南津桥 商品房房东诚心出售 正3室,南豪商住楼 -南门区,3室2厅 | 110.9平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,48,"4,329元/平"
市中区 带41平方车库 小区环境好，出行方便，精装修！,锦卫苑 -市中区,4室2厅 | 188.71平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,3人关注 / 10个月以前发布,115,"6,095元/平"
南湖半岛 精装修大三室双卫 房东诚心出售,南湖半岛 -物流港区,3室2厅 | 96.68平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 11个月以前发布,64.8,"6,703元/平"
东城一品，采光充足，诚意出售，钥匙在手方便看房子。,东城一品 -河东北区,3室2厅 | 124.01平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,6人关注 / 一年前发布,84.6,"6,823元/平"
出行方便户型方正居住方便舒适出行方便户型方正居住,遂宁健康城·圣平澜岸 -物流港区,3室2厅 | 106平米 | 西南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 5个月以前发布,70,"6,604元/平"
带车位出售，中间楼层，有钥匙随时可看房子,尚城雅庭 -河东北区,3室2厅 | 91平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,91,"10,000元/平"
此房满2年税低，出行方便，户型方正，居住方便舒适,东湖丽景 -河东北区,2室2厅 | 77.6平米 | 西南 | 精装 | 低楼层(共20层)  | 塔楼,0人关注 / 10天以前发布,85,"10,954元/平"
天一水都钰园 3室2厅 南 北,天一水都钰园 -市中区,3室2厅 | 139.99平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 12天以前发布,85,"6,072元/平"
正黄金域央墅 4室2厅 东南,正黄金域央墅 -河东北区,4室2厅 | 121平米 | 东南 | 其他 | 中楼层(共16层)  | 塔楼,2人关注 / 12天以前发布,136,"11,240元/平"
公园里东门桥艺海艺校内商贸宿舍,商贸校内宿舍 -射洪县,4室2厅 | 131.33平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,40,"3,046元/平"
华翔城经典三房业主急售 拎包入住,华翔城4期 -物流港区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,4人关注 / 一年前发布,61.8,"6,944元/平"
位于商务区育才西路 渠河中路大两室,育才小区 -市中区,2室2厅 | 78.91平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,33.8,"4,284元/平"
德胜西路大都会旁，2楼上平台三室精装拎包入住。,宝善街菜市场 -市中区,3室2厅 | 105.41平米 | 北 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,52,"4,934元/平"
西山路银河家园品质社区精装修 大三房单价5千不到,银河嘉园 -西山路区,3室2厅 | 131.8平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,62.79,"4,765元/平"
尚城鑫苑顶跃5房两厅三卫业主诚心出售看房方便,尚城馨苑 -河东南区,4室2厅 | 145.5平米 | 南 北 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,122.8,"8,440元/平"
急急急售  此房出行方便，户型方正，居住方便舒适,桃花山安置小区 -物流港区,3室2厅 | 93.48平米 | 南 西南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 12天以前发布,58.8,"6,291元/平"
户型方正，交通方便，配套齐全，物业管理制度强,世纪城 -北门区,3室2厅 | 129平米 | 西 | 其他 | 高楼层(共19层)  | 塔楼,6人关注 / 一年前发布,69.8,"5,411元/平"
河东门面业主急售可按揭接手可盈利也可自用,龙腾御锦 -河东南区,2室2厅 | 78.01平米 | 西北 | 其他 | 低楼层(共1层)  | 塔楼,0人关注 / 3个月以前发布,76,"9,743元/平"
此房带花园，品质小区，配套完善，出门就可逛河堤。,翡翠城 -射洪县,3室2厅 | 132平米 | 西南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,73.7,"5,584元/平"
物华天宝步梯好楼层，精装三室，家具家电齐，可按揭,宏升物华天宝 -大英县,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,59.8,"5,921元/平"
可贷款 交通便利 小区环境干净舒适 适合居住,正黄金域香江 -射洪县,3室2厅 | 89平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,71.8,"8,068元/平"
燕山街精装小3房，拎包入住，随时可看。,燕山街72-80号 -北门区,3室2厅 | 75.18平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,32,"4,257元/平"
北门 中层 拎包入住 诚心出售 价格可谈,市福利院综合楼 -北门区,3室2厅 | 96.91平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,39.8,"4,107元/平"
遂宁市船山区明月路与玉龙路交叉口宣传部宿舍,宣传部宿舍 -北门区,4室3厅 | 186平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,70,"3,764元/平"
明月路花园小区，电梯3房，单价四千左右,海琪明月花园 -北门区,3室2厅 | 119.15平米 | 东南 | 其他 | 低楼层(共12层)  | 板塔结合,1人关注 / 7个月以前发布,61.9,"5,196元/平"
高新区物流港精装三房业主诚心出售,华翔城六组团 -物流港区,3室2厅 | 89平米 | 东北 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 14天以前发布,75.8,"8,517元/平"
光华福庭 3室2厅 交通便利 小区环境干净舒适 适合居住,光华福庭 -大英县,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,39.8,"3,290元/平"
南小区综合楼 3室2厅 东,南小区综合楼 -南门区,3室2厅 | 109.7平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,35,"3,191元/平"
房东工作调动诚心出售等待有缘分的你,华翔城一组团 -物流港区,2室2厅 | 75.53平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,55.3,"7,322元/平"
蓬莱花园小区交通便利 小区环境干净舒适 适合居住,蓬莱花园A区 -大英县,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,49,"4,712元/平"
半山枫景 3室2厅 东,半山枫景 -北门区,3室2厅 | 100.7平米 | 东 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42.8,"4,251元/平"
房子产权满两年过户交易税费低，小区环境安静,荣兴丽苑 -北门区,3室2厅 | 113.69平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,65.8,"5,788元/平"
城南电梯3楼，单价低，捡便宜咯,太和一小教师宿舍 -射洪县,3室2厅 | 127.86平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,44,"3,442元/平"
洪升隔壁   三室两厅双卫 拎包入住,新华园 -射洪县,3室2厅 | 136.22平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,49,"3,598元/平"
城南 河边  三室 两厅  双卫  简装  拎包入住,滨江丽景 -射洪县,3室2厅 | 115.16平米 | 西 | 简装 | 高楼层(共21层)  | 平房,0人关注 / 2个月以前发布,58,"5,037元/平"
遂宁花园未来城 4室2厅 北,遂宁花园未来城 -北门区,4室2厅 | 158平米 | 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,93,"5,887元/平"
越秀锦苑 3室2厅 南,越秀锦苑 -北门区,3室2厅 | 63.5平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,28.8,"4,536元/平"
嘉禾路北三巷36号 4室2厅 西,嘉禾路北三巷36号 -北门区,4室2厅 | 153平米 | 西 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,46.8,"3,059元/平"
三桥 电梯 三室两厅双卫  拎包入住  税低,滨江丽景 -射洪县,3室2厅 | 115.36平米 | 西 | 简装 | 中楼层(共21层)  | 平房,1人关注 / 10个月以前发布,65.8,"5,704元/平"
秀水坊南区2室2厅 交通便利小区环境干净舒适 适合居住,欣泽秀水坊南区 -射洪县,3室2厅 | 94.85平米 | 西南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 3个月以前发布,53.8,"5,673元/平"
燕山街精装小3房，拎包入住，随时可看。,燕山街72-80号 -北门区,3室2厅 | 75.18平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,32,"4,257元/平"
价格优急售房源低于小区平均价位户型方正无浪费空间,太空家苑南区 -射洪县,3室2厅 | 114.5平米 | 东 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 13天以前发布,40,"3,494元/平"
银行口 三室两厅一卫 领包入住 可按揭,天龙二巷 -射洪县,3室2厅 | 84平米 | 东 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 5个月以前发布,20,"2,381元/平"
永业金都2室2厅户型方正 通风度好， 配套完善购物方便,永业金都 -市中区,2室2厅 | 69.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,35,"5,044元/平"
婚房，近水楼台客厅带大阳台，95层新精装大三房,近水楼台 -西山路区,3室2厅 | 147平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,84.8,"5,769元/平"
半山枫景 3室2厅 东,半山枫景 -北门区,3室2厅 | 100.7平米 | 东 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42.8,"4,251元/平"
房子产权满两年过户交易税费低，小区环境安静,荣兴丽苑 -北门区,3室2厅 | 113.69平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,65.8,"5,788元/平"
保利江景跃层四房三卫 +住家精装+子母车位,保利江语城 -河东北区,4室2厅 | 112.27平米 | 西南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 7个月以前发布,169.8,"15,125元/平"
此房为ZF打造的示范还迁房小区，有电梯，红本在手.,紫竹美庭 -河东南区,2室2厅 | 78.83平米 | 东 东南 | 简装 | 中楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,59.8,"7,586元/平"
拉斐公馆 位置好 今年才装修好 随时看房,拉斐公馆 -南门区,3室2厅 | 92.96平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,89.8,"9,661元/平"
高新区核位置，出行方便，居住方便舒适,正黄·翡翠湾 -物流港区,3室2厅 | 116.54平米 | 北 东北 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 13天以前发布,88.6,"7,603元/平"
精装修保养好 诚心出售 户型方正 采光通风好,福瑞花园 -南门区,3室2厅 | 129.06平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,72,"5,579元/平"
高新区核位置，出行方便，居住方便舒适,正黄·翡翠湾 -物流港区,3室2厅 | 116.54平米 | 北 东北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 14天以前发布,99.8,"8,564元/平"
此房楼层适中，户型方正采光好，视线开阔无遮挡。,碧桂园中环壹号 -物流港区,4室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 9天以前发布,73.8,"6,474元/平"
此房满2年，户型方正，居住舒适，可以直接拎包入住。,老农业局宿舍 -市中区,2室1厅 | 78平米 | 东南 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 6天以前发布,46.8,"6,000元/平"
小区是新小区，外观绿化都漂亮，位置当道，出行方便！,拉斐公馆 -南门区,3室2厅 | 85平米 | 东 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,65,"7,648元/平"
小区是新小区，外观绿化都漂亮，位置当道，出行方便！,拉斐公馆 -南门区,3室2厅 | 85平米 | 东 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,65,"7,648元/平"
实验高中挨到的品质楼盘 江景房,蓝光香江国际一期 -北门区,3室2厅 | 82.22平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,77,"9,366元/平"
房子精装修，带车位，带大花园。,荣兴遂州新城 -河东南区,3室2厅 | 122.93平米 | 东 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,160,"13,016元/平"
金科美湖湾香山 4室2厅 南,金科美湖湾香山 -仁里场区,4室2厅 | 125.17平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,115,"9,188元/平"
万达旁，霸气3层顶跃 2个电梯 3户人,东城一品 -河东北区,4室4厅 | 162平米 | 东南 | 其他 | 高楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,140,"8,642元/平"
保利养生谷 5室2厅 东南,保利养生谷 -河东南区,5室2厅 | 199平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 5天以前发布,230,"11,558元/平"
此房看江，属于大阳台，房屋装修精致，产权清晰满2年,奥城花园北区 -河东北区,3室2厅 | 114.91平米 | 西南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 3天以前发布,85,"7,398元/平"
河东桥头堡3室2厅交通便利小区环境干净舒适 适合居住,云辰国际 -射洪县,3室2厅 | 83平米 | 西南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,48.9,"5,892元/平"
幸福家苑，三室两厅，交通便利，小区干净舒适.......,幸福家苑 -射洪县,3室2厅 | 150平米 | 东南 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 7天以前发布,52,"3,467元/平"
北门江景天下 3室交通便利 小区环境干净舒适 适合居住,江景天下 -北门区,3室2厅 | 123.4平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,81,"6,565元/平"
位置 房子朝向好 户型方正 三面采光 装修精品,锦城国际 -北门区,3室2厅 | 119平米 | 东南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 8天以前发布,82.6,"6,942元/平"
北门蓝光国际3室交通便利 小区环境干净舒适 适合居住,蓝光香江国际一期 -北门区,3室2厅 | 92.55平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 8天以前发布,92.8,"10,028元/平"
公交公司宿舍 3室2厅 东,公交公司宿舍 -北门区,3室2厅 | 112.25平米 | 东 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 3天以前发布,41,"3,653元/平"
荣海国际温泉社区 5室3厅 南,荣海国际温泉社区 -河东北区,5室3厅 | 360平米 | 南 | 毛坯 | 低楼层(共3层)  | 塔楼,0人关注 / 5天以前发布,345,"9,584元/平"
北门蓝光国际3室交通便利 小区环境干净舒适 适合居住,蓝光香江国际一期 -北门区,3室2厅 | 92.55平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 8天以前发布,92.8,"10,028元/平"
位置 房子朝向好 户型方正 三面采光 装修精品,锦城国际 -北门区,3室2厅 | 119平米 | 东南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 8天以前发布,82.6,"6,942元/平"
幸福家苑，三室两厅，交通便利，小区干净舒适.......,幸福家苑 -射洪县,3室2厅 | 150平米 | 东南 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 7天以前发布,52,"3,467元/平"
北门江景天下 3室交通便利 小区环境干净舒适 适合居住,江景天下 -北门区,3室2厅 | 123.4平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,81,"6,565元/平"
