标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
下中坝万科物业，精装套三，速来!!,万科金润华府二期 -川东北金融中心,3室2厅 | 87.6平米 | 北 | 其他 | 高楼层(共23层)  | 塔楼,55人关注 / 10个月以前发布,55,"6,279元/平"
慢城八岛清水三房出售楼层好房屋格局方正,泰合慢城八岛 -江东大道,3室2厅 | 93平米 | 东南 | 毛坯 | 中楼层(共5层)  | 塔楼,11人关注 / 一年前发布,63,"6,775元/平"
涪江路地段，城市之心精装3室不临街，市中地段,城市之心 -五星花园,3室2厅 | 129.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,89,"6,862元/平"
嘉陵希望城一区精装三房直接拎包入住,希望城一区 -南湖,3室2厅 | 97.7平米 | 西南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,62,"6,346元/平"
房东急售！改善型新小区 好楼层 好朝向,王府井绿洲郡 -安汉广场,3室2厅 | 97.61平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,10人关注 / 5个月以前发布,51.5,"5,277元/平"
白塔路全新精装大三房.中间楼层，价格优美，房东急售,白塔路318号 -川东北金融中心,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,29人关注 / 一年前发布,42.9,"4,248元/平"
可看江 户型方正 朝向好坐北朝南 实用面积大,中南·世纪城 -清泉坝,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 7个月以前发布,76.6,"7,817元/平"
海润滨江大盘小区朝小区可观看小区中庭景观,海润滨江 -延安路,3室1厅 | 77.5平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,51.5,"6,646元/平"
白马湖奥特莱斯旁 精装四房 带车位急售！! !,美宇悦庭 -白马湖,4室2厅 | 119平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,2人关注 / 5个月以前发布,83.8,"7,043元/平"
嘉陵一中对 面，精装三房，无高税无抵押，诚心出售,阳光白马城二区 -白马湖,3室2厅 | 80平米 | 东北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,63,"7,875元/平"
户型方正.采光好.东南朝向.经典三房户型.人车分流.,交投置地上河湾三期 -川东北金融中心,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,12人关注 / 5个月以前发布,63.8,"5,963元/平"
房东急售，三房双卫，出门就是五星新城校区,睿景湾 -市政新区,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,4人关注 / 4个月以前发布,55,"5,556元/平"
出行方便，户型方正，居住方便舒适,北湖盛景 -北湖公园,3室2厅 | 98平米 | 西南 | 简装 | 低楼层(共31层)  | 板塔结合,10人关注 / 一年前发布,63,"6,429元/平"
阳光江山金岸，精装三房带车位出售,阳光江山金岸小区 -江东大道,3室2厅 | 68平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,25人关注 / 一年前发布,43.5,"6,398元/平"
下中吧金融广场旁，精装修大盘小区物业好,万科·金润华府三期 -川东北金融中心,3室1厅 | 107平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 4个月以前发布,70.6,"6,599元/平"
繁华地段，电梯费用交了，房东诚心出售,仪凤街219号 -滨江大道,3室2厅 | 103.8平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,29.5,"2,843元/平"
五星、师范学院、川北医学院- 成熟社区配套齐全,赛场街4号 -北湖公园,3室1厅 | 86平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,51,"5,931元/平"
蓝光·香江国际 3室2厅 东南,蓝光·香江国际 -南门坝,3室2厅 | 114.86平米 | 东南 | 简装 | 高楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,85,"7,401元/平"
金鱼岭单位宿舍诚心卖.产权在手.,金鱼街73号附1号 -延安路,2室2厅 | 63平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 6个月以前发布,26.8,"4,254元/平"
火车北站 绿地城 精装修3房!,绿地城上海滩花园一区 -南充北站,3室2厅 | 90.5平米 | 南 北 | 简装 | 低楼层(共25层)  | 板塔结合,3人关注 / 3个月以前发布,60.5,"6,686元/平"
保利旁，配套齐全，绿化好，精装齐全，拎包入住,万科金润华府 -川东北金融中心,3室2厅 | 95平米 | 东南 | 精装 | 中楼层(共26层)  | 塔楼,6人关注 / 6个月以前发布,66,"6,948元/平"
公园大地 精装三房 直接领包入住 楼层好 急售,公园大地 -南湖,3室2厅 | 109.71平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,65.6,"5,980元/平"
大盘小区，户型方正，大三室，环境好，物业好,瑞露嘉都·彼岸 -南门坝,3室2厅 | 112平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼,5人关注 / 5个月以前发布,68,"6,072元/平"
经典横厅4房 中南品质大盘 人文环境美 无高税,中南漫悦湾二期 -都京坝,4室2厅 | 107.14平米 | 西南 | 毛坯 | 中楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,69,"6,441元/平"
精装四房 拎包入住  配套齐全  交通便利,幸福里 -江东大道,4室2厅 | 129平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,8人关注 / 11个月以前发布,72,"5,582元/平"
房东装修才住两三年，家具家电都新，诚心卖,蓝光·香江国际 -南门坝,3室2厅 | 88.17平米 | 东南 | 其他 | 高楼层(共28层)  | 塔楼,3人关注 / 4个月以前发布,73,"8,280元/平"
现浇顶跃  无高税  楼顶私家花园,格兰星河湾 -南门坝,3室2厅 | 135平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,63,"4,667元/平"
市政新区 北干道  生活交通便利 价格可议,名洲嘉园 -市政新区,3室2厅 | 94.73平米 | 南 | 简装 | 低楼层(共8层)  | 塔楼,0人关注 / 5个月以前发布,45,"4,751元/平"
大盘小区，房东诚心出售...........,蓝光香江国际二期六区 -西山风景区,3室2厅 | 95.28平米 | 东南 | 毛坯 | 高楼层(共20层)  | 塔楼,17人关注 / 一年前发布,53,"5,563元/平"
户型方正，办公经营方便舒适，配套成熟,南湖凯旋广场 -南湖,3室2厅 | 82.46平米 | 东 北 东北 | 毛坯 | 低楼层(共32层)  | 塔楼,20人关注 / 一年前发布,48.5,"5,882元/平"
顺庆主城区，户型方正，采光好，精装房。,西门坝街222号 -西门市场,2室2厅 | 73.74平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,25.8,"3,499元/平"
白土坝繁华商圈大盘品质小区 户型方正合理,佳兆业君临 -白土坝,3室2厅 | 92平米 | 东 | 精装 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,88,"9,566元/平"
房东急 三室两厅两卫现房 中间楼层  带产权车位,阳光御园 -南湖,3室2厅 | 85.33平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 塔楼,10人关注 / 10个月以前发布,38.8,"4,548元/平"
嘉陵广场正规三室，房东诚心出售看房方便,佳龙公寓 -嘉陵广场,3室2厅 | 125平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 9个月以前发布,52,"4,160元/平"
1227彼岸 毛坯大两房 户型方正 房东急售 随时看,瑞露嘉都·彼岸 -南门坝,2室1厅 | 79平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 20天以前发布,54,"6,836元/平"
2 楼 2 楼 大西街2楼 精装修房间采光好 拎包入住,大西街229号 -大西街,2室2厅 | 68平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,29.8,"4,383元/平"
楼层好，户型方正，采光好，江景房，交通方便,凯旋帝景 -滨江大道,2室1厅 | 51平米 | 东南 | 精装 | 低楼层(共26层)  | 平房,1人关注 / 22天以前发布,33,"6,471元/平"
江东大道江东帝景B区精装大三房业主急售,江东帝景B区 -江东大道,3室2厅 | 93平米 | 西南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 19天以前发布,66.5,"7,151元/平"
此房采光好，出行、购物、上学等都方便。,紫云巷21号 -滨江大道,1室1厅 | 52平米 | 西南 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 16天以前发布,15,"2,885元/平"
滨江大道   品质小区   经典2房,上层·上品 -延安路,2室1厅 | 71平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,1人关注 / 10天以前发布,45.6,"6,423元/平"
高坪繁华地段，配套齐全，交通便利,建设人家 -王府井,3室2厅 | 114.89平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,56,"4,875元/平"
天庐二区 3室2厅 东,天庐二区 -南湖,3室2厅 | 127.45平米 | 东 | 毛坯 | 低楼层(共5层)  | 塔楼,1人关注 / 1个月以前发布,78.6,"6,168元/平"
户型方正，精装三房，小区环境优美，停车方便,果城路区政府院 -人民花园,3室2厅 | 91平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,52,"5,715元/平"
精装修，低楼层，适合各类人士居住，可拎包入住,赛场街71号 -北湖公园,3室2厅 | 78平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,1人关注 / 5个月以前发布,43,"5,513元/平"
市政新区  三室两厅一卫  小区环境非 常好 绿化也好,柏林春天 -市政新区,3室2厅 | 87.14平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,19人关注 / 一年前发布,51.5,"5,911元/平"
优质精装房，小区环境好，地段成熟,川中监狱高坪家属区 -川东北金融中心,3室2厅 | 83平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,20人关注 / 一年前发布,36.8,"4,434元/平"
一楼带30平花园 经典两室 诚心出售,长生巷153号 -滨江大道,2室1厅 | 55平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,19.8,"3,600元/平"
精装大三房，户型方正，低楼层，小区可停大小车,西门坝街249号 -金泉路,3室2厅 | 121平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,51.8,"4,281元/平"
精装三房，户型方正，中间楼层，采光好,金鱼街149号 -延安路,3室2厅 | 78平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,28.8,"3,693元/平"
火车北站 绿地大开发商 拎包入住 诚心出售,绿地城上海滩花园三期 -南充北站,3室2厅 | 97平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,4人关注 / 9个月以前发布,70,"7,217元/平"
白土坝佳兆业全新装修 拎包入住 中间楼层,佳兆业君临 -白土坝,3室2厅 | 91.35平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,6人关注 / 9个月以前发布,94,"10,291元/平"
五星花园精装三室 拎包入住 欢迎品鉴,三公巷25号 -五星花园,2室2厅 | 75平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,32.5,"4,334元/平"
无高税，拎包入住，户型方正，居住安静，配套齐全。,玉泉花园 -西山风景区,4室1厅 | 126平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,55,"4,366元/平"
高坪成熟地段 房东急售 精装修,仙鹤巷7号 -王府井,3室2厅 | 97平米 | 东南 | 精装 | 中楼层(共4层)  | 板楼,22人关注 / 一年前发布,44,"4,537元/平"
精装洋房，一梯两户，居住舒适度高,阳光西山秘境 -西山风景区,3室2厅 | 100.95平米 | 东 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 4个月以前发布,62,"6,142元/平"
中间楼层，精装三房，小区能停大小车，看房方便,鑫隆小区 -王府井,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 3个月以前发布,49.6,"4,724元/平"
市政新区 塞维利亚 洋房一梯两户 急售急售,塞维利亚 -市政新区,3室2厅 | 91.54平米 | 东 西 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,50,"5,463元/平"
诚心出售 美宇悦庭正规大三房  户型方正无浪费,美宇悦庭 -白马湖,3室2厅 | 90平米 | 东南 | 毛坯 | 低楼层(共27层)  | 塔楼,2人关注 / 6个月以前发布,54,"6,000元/平"
此房现浇房，中间楼层，房东精装修家具家电全齐,南域世家 -嘉陵广场,3室2厅 | 114.46平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,65.8,"5,749元/平"
华佳小区.简装两房有小区可大小停车,华佳小区 -安汉广场,2室1厅 | 68平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,4人关注 / 5个月以前发布,26,"3,824元/平"
南湖清水三房，无高税，户型方正，视野开阔，中间楼层,南湖凯旋广场 -南湖,3室2厅 | 94.62平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,60.8,"6,426元/平"
正规三室两厅 户型采光好 诚心出售,火药巷3号院 -五星花园,3室2厅 | 97平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 1个月以前发布,24.8,"2,557元/平"
五星旁边电梯精装号房，业主诚心出售,境界 -市政新区,3室1厅 | 81.85平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,14人关注 / 6个月以前发布,58.5,"7,148元/平"
大盘小区 户型方正 配套齐全绿化环境好 江 景房,碧桂园 -文峰,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 1个月以前发布,54,"5,143元/平"
顺庆区市政新区套三双卫明厨明卫,恒河·常春藤大院 -市政新区,3室2厅 | 110平米 | 东 | 毛坯 | 中楼层(共34层)  | 塔楼,34人关注 / 一年前发布,59.5,"5,410元/平"
出行方便，楼层适中，装修可以 配套齐，全产权清析,丁香街73号 -大西街,1室1厅 | 48.39平米 | 东 | 精装 | 中楼层(共9层)  | 板楼,3人关注 / 3个月以前发布,22.8,"4,712元/平"
精装修，2楼，全新未入住·······,龙吟·华城 -延安路,3室1厅 | 91平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,18人关注 / 6个月以前发布,63,"6,924元/平"
诚售 人民花园 单位小区房 有院 中低楼层,果城路70号 -人民花园,3室2厅 | 95.97平米 | 东 东南 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 1个月以前发布,54,"5,627元/平"
此房源是中间楼层，朝南，视野宽阔，采光很好。,中南尚景阅 -清泉坝,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 1个月以前发布,76,"7,103元/平"
此房采光好，交通便利。空气好，！！,西山翠庐 -西山风景区,2室2厅 | 74平米 | 东南 | 其他 | 高楼层(共5层)  | 板塔结合,4人关注 / 一年前发布,29,"3,919元/平"
房东诚心出售  户型方正 朝小区中庭  价格便宜,碧桂园天玺湾 -文峰,3室2厅 | 118平米 | 东北 | 精装 | 中楼层(共28层)  | 塔楼,5人关注 / 3个月以前发布,57,"4,831元/平"
出行方便，，户型方正，居住方便整洁 环境优美,天龙四季花园 -西山风景区,3室1厅 | 107.46平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,46.8,"4,356元/平"
嘉陵主城区精装套三 小区中庭中间楼层！,塘殿堰小区 -南湖,3室2厅 | 106.87平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,44,"4,118元/平"
延安路 海润滨江 精装三房双卫  低楼层,海润滨江 -延安路,3室2厅 | 116.7平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 1个月以前发布,73,"6,256元/平"
精装三房，有电梯，小区可停大小车，户型方正,西山公交公司宿舍 -西山风景区,3室2厅 | 82平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,37.5,"4,574元/平"
3楼的房子 精装三房 户型方正 拎包入住,长丰巷54号 -西门市场,3室2厅 | 77平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,11人关注 / 4个月以前发布,36,"4,676元/平"
下中坝品质物业，大盘小区，出行方便,万科金润华府二期 -川东北金融中心,3室2厅 | 85平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,5人关注 / 6个月以前发布,62,"7,295元/平"
恒大绿洲 精装三房 满五唯一。。。,恒大绿洲 -市政新区,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,68,"6,667元/平"
老南高旁边 有院 现代简约 低楼层 温馨两房 诚售,花市街125号 -北湖公园,2室2厅 | 53平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,9人关注 / 6个月以前发布,28,"5,284元/平"
石油新城东二区 电梯小高层 精装大两房  安静不吵,石油新城东二区 -市政新区,2室2厅 | 92.8平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,50,"5,388元/平"
降价了！电梯中间楼层，不出小区就可以逛公园,川北医学院职工小区 -安汉广场,2室1厅 | 77平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,29.8,"3,871元/平"
南门坝电梯洋房，中间楼层户型方正房东诚心出售。,兴熙南 -南门坝,2室1厅 | 83平米 | 东 | 毛坯 | 中楼层(共11层)  | 塔楼,8人关注 / 4个月以前发布,50.8,"6,121元/平"
南门坝精装两房 户型方正 诚心出售 看房方便,水天阁 -南门坝,2室2厅 | 82.6平米 | 东南 | 简装 | 高楼层(共17层)  | 板塔结合,122人关注 / 一年前发布,45,"5,448元/平"
经典两房套经典两房成熟配套户型方正，,中虹国际一区 -嘉陵广场,2室2厅 | 72平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,7人关注 / 5个月以前发布,44,"6,112元/平"
