标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
明润城市花园 3室2厅 东,明润城市花园 -南站片区,3室2厅 | 89平米 | 东 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 31天以前发布,80,"8,989元/平"
法院宿舍 2室2厅 南,法院宿舍 -海滨片区,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共8层)  | 板塔结合,0人关注 / 16天以前发布,75,"8,427元/平"
3加1户型，南北对流，好楼层，格局好,金海湾二期 -金城片区,4室1厅 | 129平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 21天以前发布,128,"9,923元/平"
南亚郦都一期 3室1厅 南 北,南亚郦都一期 -麻章区,3室1厅 | 113平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 25天以前发布,62,"5,487元/平"
中基新城 3室2厅 东,中基新城 -国贸中心区,3室2厅 | 114平米 | 东 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 20天以前发布,58,"5,088元/平"
海洋大学宿舍 3室2厅 南,海洋大学宿舍 -七小片区,3室2厅 | 69平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 24天以前发布,73,"10,580元/平"
碧瑞花园 精装两房 配套齐全 看房方便,碧瑞花园 -京基片区,2室1厅 | 63平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 19天以前发布,72,"11,429元/平"
饮服公司宿舍（前进路82号） 2室1厅 南,饮服公司宿舍（前进路82号） -百园片区,2室1厅 | 36.75平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 25天以前发布,20,"5,443元/平"
奥园·悦时代 2室1厅 东南,奥园·悦时代 -麻章区,2室1厅 | 77平米 | 东南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 9天以前发布,60,"7,793元/平"
金沙湾一期 电梯房 新装修 户型方正 采光好 诚意出售,金沙湾一期雅韵苑 -金沙湾片区,3室1厅 | 102平米 | 东 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,93,"9,118元/平"
招商国际邮轮城 3室2厅 南,招商国际邮轮城 -赤坎开发区,3室2厅 | 111平米 | 南 | 精装 | 低楼层(共39层)  | 暂无数据,1人关注 / 3个月以前发布,163,"14,685元/平"
保利原景 东南向3房 中楼层 17年入手成本价抛 手慢无,保利·原景花园 -工农片区,3室2厅 | 100平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,4人关注 / 1个月以前发布,85,"8,500元/平"
带160平大平台圆你田园梦  南北对流看花园美景,碧桂园城邦花园 -麻章区,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,17人关注 / 4个月以前发布,80,"6,452元/平"
湛江市第二技工学校宿舍 2室2厅 东,湛江市第二技工学校宿舍 -国贸中心区,2室2厅 | 68平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 4个月以前发布,36.8,"5,412元/平"
三居室 中高楼层 精装空闲  有钥匙随时能看房,碧桂园城邦花园 -麻章区,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,4人关注 / 8个月以前发布,88,"7,458元/平"
西粤京基城三期 5室2厅 南,西粤京基城三期 -赤坎开发区,5室2厅 | 175.66平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,285,"16,225元/平"
玥珑湖精装修  标准三房  业主保养新净,幸福家园·玥珑湖 -遂溪县,3室1厅 | 107.86平米 | 东南 | 精装 | 高楼层(共17层)  | 暂无数据,2人关注 / 4个月以前发布,48,"4,451元/平"
业主急售，毛坯价精装房，落地窗，格局方正,南亚郦都一期 -麻章区,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,50人关注 / 10个月以前发布,57,"5,758元/平"
碧桂园海湾城 3室2厅 东南,碧桂园海湾城 -金沙湾片区,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,92,"9,109元/平"
君临世纪 4室2厅 南,君临世纪 -京基片区,4室2厅 | 117.5平米 | 南 | 毛坯 | 高楼层(共38层)  | 板塔结合,15人关注 / 8个月以前发布,168,"14,298元/平"
碧桂园海湾城，精装3房，业主诚心出售,碧桂园海湾城 -金沙湾片区,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,56人关注 / 一年前发布,89,"8,812元/平"
邮电小区 2室2厅 东南,邮电小区 -鼎盛片区,2室2厅 | 76.8平米 | 东南 | 简装 | 高楼层(共9层)  | 塔楼,4人关注 / 4个月以前发布,34.9,"4,545元/平"
东山花园 3室2厅 南,东山花园 -南站片区,3室2厅 | 94平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,0人关注 / 1个月以前发布,83,"8,830元/平"
蓝天花园小区电梯房，业主诚心放卖，看房方便 有钥匙,蓝天花园 -麻章区,3室2厅 | 79平米 | 东 | 毛坯 | 中楼层(共29层)  | 暂无数据,9人关注 / 一年前发布,55,"6,963元/平"
招商国际邮轮城 3室2厅 西南,招商国际邮轮城 -赤坎开发区,3室2厅 | 107平米 | 西南 | 精装 | 高楼层(共32层)  | 暂无数据,8人关注 / 6个月以前发布,139,"12,991元/平"
文明花园 3室2厅 东,文明花园 -南站片区,3室2厅 | 98平米 | 东 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,63,"6,429元/平"
电梯房 业主诚心放卖 看房方便 有钥匙,南亚郦都三期 -麻章区,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,62,"6,079元/平"
此房好楼层，好景观 价格优惠， 户型方正,鼎能·东盟城二期 -京基片区,4室2厅 | 106平米 | 东 | 简装 | 中楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,95,"8,963元/平"
金沙湾四期碧海园 3室2厅 东南,金沙湾四期碧海园 -金沙湾片区,3室2厅 | 134.91平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,130,"9,637元/平"
湛江市土地开发总公司（海昌路15号）” 2室2厅 北,湛江市土地开发总公司（海昌路15号）” -海滨片区,2室2厅 | 82平米 | 北 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,61,"7,440元/平"
山海华府 3室2厅 南,山海华府 -城市假日片区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,145,"12,832元/平"
三居室 中高楼层 精装空闲  随时能看房,南亚郦都四期 -麻章区,3室2厅 | 97平米 | 东南 | 毛坯 | 低楼层(共26层)  | 板塔结合,11人关注 / 5个月以前发布,50,"5,155元/平"
君临世纪 3室1厅 东北,君临世纪 -京基片区,3室1厅 | 90.26平米 | 东北 | 毛坯 | 低楼层(共38层)  | 板塔结合,14人关注 / 10个月以前发布,125,"13,849元/平"
荣盛华府 4室2厅 东南,荣盛华府 -赤坎开发区,4室2厅 | 143平米 | 东南 | 毛坯 | 中楼层(共38层)  | 板塔结合,2人关注 / 7个月以前发布,175,"12,238元/平"
视野开阔，采光充足，楼层适中。是您的居家首先,丽日花园 -鼎盛片区,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,93,"7,440元/平"
满五年唯一，落地窗，格局方正，靠谱卖,南亚郦都三期 -麻章区,3室2厅 | 98平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,7人关注 / 7个月以前发布,51,"5,205元/平"
此房户型方正，光线充足，业主诚心出售，随时可看房。,保利原宇花园 -工农片区,3室2厅 | 94平米 | 西南 | 精装 | 中楼层(共33层)  | 暂无数据,5人关注 / 9个月以前发布,98,"10,426元/平"
荣基广场旁精装三房看房方便有钥匙,安兴大厦 -海滨片区,3室2厅 | 110平米 | 东北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,78,"7,091元/平"
碧桂园城邦花园 3室2厅 东南,碧桂园城邦花园 -麻章区,3室2厅 | 124平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,88,"7,097元/平"
文化宫宿舍 3室2厅 南,文化宫宿舍 -七小片区,3室2厅 | 104.63平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 7个月以前发布,63,"6,022元/平"
雍豪园  毛坯3大房  诚心出售 看房方便,雍豪园 -湿地公园片区,3室2厅 | 89平米 | 东 | 毛坯 | 低楼层(共29层)  | 暂无数据,3人关注 / 10个月以前发布,98,"11,012元/平"
锦绣华景一二期 2室2厅 南,锦绣华景一二期 -城市假日片区,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,73,"9,359元/平"
启达世家坐落在遂溪河岸两边，绿树成荫！景色宜人！,启达世家 -遂溪县,3室2厅 | 111.12平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,59.88,"5,389元/平"
小区绿化好，空气好，交通出入方便，房子所在楼层靓，,飞鹏万荟世界 -金城片区,3室2厅 | 91.3平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,75,"8,215元/平"
滨湖公园旁 湖景三房 业主诚心出售,帝景银湾 -金城片区,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,126,"13,696元/平"
海港小区南区 3室2厅 东南,海港小区南区 -工农片区,3室2厅 | 80平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,14人关注 / 11个月以前发布,52,"6,500元/平"
荣盛华府 3室2厅 东南,荣盛华府 -赤坎开发区,3室2厅 | 100平米 | 东南 | 精装 | 中楼层(共38层)  | 板塔结合,0人关注 / 2个月以前发布,145,"14,500元/平"
机场小区 低层3房 潜力股 配套齐全 带有车房,机场小区 -城市美林片区,3室2厅 | 91.29平米 | 东 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,65,"7,121元/平"
颐和花园 3室2厅 东,颐和花园 -城市美林片区,3室2厅 | 112平米 | 东 | 精装 | 中楼层(共9层)  | 板塔结合,7人关注 / 6个月以前发布,85,"7,590元/平"
有小区管理 环境优雅 出入方便 生活便利,嘉粤金港华庭 -工农片区,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,1人关注 / 4个月以前发布,68,"7,556元/平"
民享路37号大院 2室2厅 东,民享路37号大院 -国贸中心区,2室2厅 | 72平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,35,"4,862元/平"
万象金沙湾广场 户型方正 繁华地段 一线海景,万象金沙湾广场 -金沙湾片区,4室2厅 | 225平米 | 东 | 精装 | 中楼层(共28层)  | 板塔结合,5人关注 / 10个月以前发布,450,"20,000元/平"
城市假日D区 3室2厅 南 北,城市假日D区 -城市假日片区,3室2厅 | 131.4平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,128,"9,742元/平"
海景路202号 3室2厅 东,海景路202号 -海滨片区,3室2厅 | 73.3平米 | 东 | 精装 | 中楼层(共8层)  | 暂无数据,4人关注 / 4个月以前发布,56,"7,640元/平"
景界A区 3室2厅 东,景界A区 -城市假日片区,3室2厅 | 166平米 | 东 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,137,"8,254元/平"
金科世家 电梯房 业主诚心出售 看房方便,金科世家 -南站片区,2室2厅 | 91平米 | 东 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,82,"9,011元/平"
温馨简约的三房 花园社区 直接入住,城市美林3区 -新澳城市花园片区,3室2厅 | 120.51平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2人关注 / 4个月以前发布,128,"10,622元/平"
国贸大厦 3室2厅 东,国贸大厦 -国贸中心区,3室2厅 | 103平米 | 东 | 精装 | 中楼层(共13层)  | 板楼,9人关注 / 4个月以前发布,65,"6,311元/平"
通透格局，楼层好，视野宽阔，采光充足，交通便利,招商国际邮轮城 -赤坎开发区,4室2厅 | 130.91平米 | 东北 | 精装 | 低楼层(共38层)  | 暂无数据,0人关注 / 1个月以前发布,220,"16,806元/平"
新景豪庭 精装大三房 布局靓 业主诚心出售,新景豪庭 -南站片区,3室2厅 | 126平米 | 东 东南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 一年前发布,100,"7,937元/平"
建实碧绿花园二期 3室2厅 东南,建实碧绿花园二期 -湿地公园片区,3室2厅 | 101平米 | 东南 | 精装 | 低楼层(共23层)  | 暂无数据,5人关注 / 一年前发布,105,"10,397元/平"
丽日花园 精致3房 很通透户型 业主诚心抛 手慢无,丽日花园 -鼎盛片区,3室2厅 | 96平米 | 东 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,92,"9,584元/平"
保利3房2厅精装东南向 厅出阳台，一线海景房,保利宸悦 -工农片区,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共39层)  | 暂无数据,5人关注 / 一年前发布,116,"11,959元/平"
想要海景房的看过来，此房可以满足你的需求,荣盛华府 -赤坎开发区,5室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共35层)  | 板塔结合,7人关注 / 4个月以前发布,200,"13,794元/平"
君临世纪 4室2厅 南 北,君临世纪 -京基片区,4室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,190,"14,616元/平"
金科世家，绿景园林楼盘，精致2房,金科世家 -南站片区,2室2厅 | 60平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,11人关注 / 5个月以前发布,63,"10,500元/平"
海港步梯2房        采光通风好,海港 -工农片区,2室1厅 | 55.6平米 | 北 南 | 简装 | 高楼层(共8层)  | 板楼,25人关注 / 8个月以前发布,15.8,"2,842元/平"
湛江市土地开发总公司（海昌路15号）” 3室2厅 东南,湛江市土地开发总公司（海昌路15号）” -海滨片区,3室2厅 | 77.71平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,45,"5,791元/平"
星月湾 2室1厅 南,星月湾 -工农片区,2室1厅 | 59平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,35,"5,933元/平"
保利原宇花园 3室2厅 南,保利原宇花园 -工农片区,3室2厅 | 94.5平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,98,"10,371元/平"
海宁小区建菉苑 3室2厅 东,海宁小区建菉苑 -海滨片区,3室2厅 | 90.29平米 | 东 | 简装 | 中楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,62,"6,867元/平"
鼎盛商圈，精装修大三房，采光好楼龄新，总价低,中基新城 -国贸中心区,3室2厅 | 110平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 31天以前发布,60,"5,455元/平"
嘉粤百合家园 3室1厅 东,嘉粤百合家园 -国贸中心区,3室1厅 | 90平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,67,"7,445元/平"
格局通透，视野开阔，采光充足此房精装修阳台空间大.,保利原宇花园 -工农片区,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共39层)  | 暂无数据,0人关注 / 9个月以前发布,93.5,"9,740元/平"
标准3房，户型方正，交通便利，配套成熟，生活方便,中基新城 -国贸中心区,3室2厅 | 125平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,58,"4,640元/平"
东盟城新装修三房，业主急卖，价格有惊喜！,鼎能•东盟城 -京基片区,3室2厅 | 86.16平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,9人关注 / 5个月以前发布,91,"10,562元/平"
嘉粤百合家园 3室1厅 东,嘉粤百合家园 -国贸中心区,3室1厅 | 90平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,67,"7,445元/平"
格局通透，视野开阔，采光充足此房精装修阳台空间大.,保利原宇花园 -工农片区,3室2厅 | 96平米 | 南 | 精装 | 中楼层(共39层)  | 暂无数据,0人关注 / 9个月以前发布,93.5,"9,740元/平"
星海湾 3室2厅 东南 南,星海湾 -东风片区,3室2厅 | 120平米 | 东南 南 | 简装 | 低楼层(共10层)  | 板楼,1人关注 / 5个月以前发布,70,"5,834元/平"
带150平的私家平台，实用面积达292平，三代同堂不拥挤,御景珺庭A区 -赤坎开发区,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,4人关注 / 1个月以前发布,230,"15,973元/平"
骏景花园 精装4房 东南向 采光好 户型方正 诚意出售,骏景花园 -国贸中心区,4室2厅 | 139平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,120,"8,634元/平"
标准3房，户型方正，交通便利，配套成熟，生活方便,中基新城 -国贸中心区,3室2厅 | 125平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,58,"4,640元/平"
中基新城 3室2厅 南,中基新城 -国贸中心区,3室2厅 | 89.7平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,3人关注 / 一年前发布,62,"6,912元/平"
海宁小区建菉苑 2室1厅 东南,海宁小区建菉苑 -海滨片区,2室1厅 | 76平米 | 东南 | 精装 | 中楼层(共8层)  | 塔楼,1人关注 / 1个月以前发布,50,"6,579元/平"
拥军路34号 2室2厅 东南,拥军路34号 -百园片区,2室2厅 | 67.55平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,4人关注 / 3个月以前发布,38,"5,626元/平"
京基城，123方，全新装修未入住，欢迎约看！,西粤京基城 -赤坎开发区,4室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 3个月以前发布,150,"12,196元/平"
德祥花园 1室1厅 南,德祥花园 -百园片区,1室1厅 | 71平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,55,"7,747元/平"
南亚郦都三期，大型公园式住宅，配套齐全,南亚郦都三期 -麻章区,3室2厅 | 102平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,68,"6,667元/平"
